Leveranciers;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3150 - Uitbesteden automatiseringsadvies;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;Eindtotaal
Bio-Connect Diagnostics B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3
Bio-Connect Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;;;5
Biogents AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Biognost B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;4
Bioké;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
Biolegio B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;2
bioMÃ©rieux Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;1;;;;2
BioMed Central Limited;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
BIOMED Co. Ltd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bio-Rad AbD Serotec GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Bio-Rad Laboratories B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;4;4;;;;5
Biosimilars Nederland;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Biosisto B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Biotech Training Facility;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bio-Techne Ltd Voorheen R&D Systems Europe Ltd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
BioTop Consultancy B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;2
BIS Bedrijfs Informatie Systemen B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;2
Bisnez Management B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bison Bowling;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bisschoff Medical Research;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;2
Black Bytes B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Blackbird Consultancy;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Blauw Research B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloem;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bloemenboutique Fonville;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bloemsierkunst T. Haasjes B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Blonk Milieu Advies B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3
Blue Boot Company;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BMC;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
BMJ PUBLISHING GROUP;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bobbe International B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Bodinco B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Body & Mind Center Croeselaan B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boekencentrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bohn Stafleu Van Loghum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
BOinK;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bojan Advies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
bol.com B.V.;1;;1;;;;;;;;;1;;;;;;;1;;1;;1;;;;;1;;;;;;1;1;;;;;1;;;;1;2
Bollore Undici;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bonaire Logistics;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Bonne Consult;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bonnema Watersport B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Boom B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;4
Borgwaldt Technik GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1
Bos & Meer;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bouw- en Aannemingsbedrijf Wulverhorst B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
Bowling Scheveningen B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bowlo B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BPI Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Brady B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brain Box Mediatraining B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brainstorm IT B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brandenbarg Advies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
Brasserie Bracke;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie Mijn Streek B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie NUL76;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie Olivier;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Break Free Fun Company;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bredenoord Beheer Apeldoorn B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bredenoord GmbH Rental Sales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bright & Company B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brigitte Hertz Trainingen voor wetenschappers;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brocacef B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Brocacef Groep N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Broekies Entertainment;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bruggink Communicatie Support;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bruker Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;;3
Brunschwig Chemie B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3
Bubbles and Blessings B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buchem B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2
BUCHI Labortechnik GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Budo Centrum Zeist B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bugter Consult;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2;;2
Building Services Amersfoort B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;2;;;;5
Bultman Bedrijfsautoverhuur;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Bundeskasse Halle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1
Bundeskasse Trier - Dienstsitz Kiel Friedrich Loeffler Institut;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau KLB;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
Bureau La Poutre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bureau Mozaiek;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau Stijlzorg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Bureau Veritas Industrial Services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Bureau Zuidema Rotterdam B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureautaal B.V.;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Burgers Beheer B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Burghoorn Trainingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Burghouts Coaching en Trainingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Burgundy Street B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro Blauw B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Buro van Oranje;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro Wittenburg;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Busbus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Business Line Cleanroom;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;2
Butraco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1
Buveco Gasdetection B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Buyitdirect.com N.V.;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;;;;;;;;;;;;2
bvolve;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BWT Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1
Byblos Grand cafe De Tijd;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.R.O.W. Kennisplatform;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C2Results B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
CACI B.V.;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;2;;2
Cadeau Concepten B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cadmus Journal Services American Society for Micribiology;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2
Caesar Consult Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
Café Restaurant Rootz B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe Onder de Linden;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Caf� van Miltenburg;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Caliz B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
cambiamo;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Campai BV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
Canberra NV/SA;;;;;2;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;1;1;;;;2
Capgemini N.V.;;;1;;1;;;;;;2;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;4;7
Capgemini Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Capgemini Nederland BV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2
Car Beauty Centre;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
CareFusion Netherlands 238 B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1
CarePack Holland B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Carl Lens Search Partners B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Carl Roth GmbH+Co.KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Carl Zeiss B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Carla Rodenberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Carolien Somerwil Produkties;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Carrosserie Bakker B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
Carrosseriefabriek Harderwijk B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;1
Carrosseriefabriek Tijmen Ploeg B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
Casa Foresta;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CasaGrande B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Casteren Creatie B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Catec B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Catering Utrecht B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CE Special Courier B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cebeon Centr. Beleidsadviserend Onderz. B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cegeka Solutions and Projects B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
CEN NANO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Cendris Dataconsulting voorheen Omnidata;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
CenSeRe E.A.M. Jacobs;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Center for Evaluation & Program Development bvba;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Centraal Boekhuis B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1
Central Point Nederland B.V.;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Centrale Organis. voor Radioactief Afval N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Centre for Policing and Securirty;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Centric Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
Centrum Media & Gezondheid (CMG);;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Centrum voor Wetenschaps- en Technologische Studies B.V.;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2
Cerulean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;4
Cerulean Logic B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
CGI Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
CGI Nederland B.V.(Logica Ned.B.V.);;;;;;;;;;;2;;;;;;;;;;;;4;;1;2;;;;;;;;;;;;;;;;;;2;5
Charles River Endotoxin Microbial Detection Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Charles River Laboratories Den Bosch B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Chocolaterie Albert B.V.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chocolaterie Winters;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Choco-Paradijs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Chr. J. Straus Praktijk voor Psychologie;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chroma Technology Corp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Chrono@Work Research, Training & Consultancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2
Chubb Fire & Security Groningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
CiEP Personal Quality and Results B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cimsolutions;;2;;;;;;;;;;;;;;;;;;;;;;5;6;;;;;;;;;;;;;;;;;;;;7
Circle Systems, Inc;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Cirquest B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Ciska Pouw - flow facilitator;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CKade B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Clarivate Analytics LLC Techstreet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Cleartone B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
CLI Conference Line International B.V.;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Clindia Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
CLM Onderzoek en Advies B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3
Cloud Seven B.V.;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;3
CloudVPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
CLS Computertrainingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Club van Belle Fleur Prinsenbeek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
CM International B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
CM Partners B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CM Telecom B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Co. Van Beek Generatoren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1
Coöperatie PreventPartner U.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Coaching in Change;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Coach-Inn;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CoaChrom Diagnostica GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Cobidoc B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Coeman Packaging NV;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Combinatie Heijmans Wegen/Heijmans Civiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
Common Eye B.V.;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Compact Video;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
COMPAREX Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;5;7;;;1;;;;;;;;;;;;;;;;;7
Compass Group Nederland B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Compass Group Nederland Holding B.V.;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Competence Factory;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Concept and Me onderdeel van InAmbition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Concept Heidelberg;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Concept Heidelberg GmbH;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Congress Care B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Congress Company B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Congrex Switserland Ltd;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Congrex Switzerland Ltd. c/o ECCMID 2017;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Connexxion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Conny Janssen Productions;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Conrad Electronic Benelux B.V.;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;1;;;;;;1;;;;;1
Consumentenbond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Contimeta B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
CoolBlue BV PDAshop.nl/Smartphoneshop .nl;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;2;;;;;;1;;;;;;;;;;;2
Co�peratie SURF UA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
Coosto B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Copernicus Gesellschaft mbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Copex;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Copyright Clearance Center Inc. (GBP);;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Copyright Clearance Center Inc. (USD);;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2
Cor Loopbaancoaching & Training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cornelissen Projectbegeleiding;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;1
Corona Hotel;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Corporate Communication Centre B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Corporate-Tribes;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
