Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Charterbedrijf de Zeester;1;;;;;;;;1
ChassÃƒÂ© Theater N.V.;;;;;;1;;;1
Chat.hot.-Rest. Havesathe De Havixhorst B.V.;;;;;;;2;;2
China Relations;;;;;;1;;;1
Chocolaterie Leonidas Rijswijk;;;;1;;;;;1
Chogogo Resort Curaþao N.V.;;2;;;;;;;2
CHR Saint Martin;;;;;;;1;;1
Christelijke Hogeschool Ede;;;;;;1;;;1
Christelijke Hogeschool Windesheim;;;;;;1;;;1
Ciano Trading & Services C.T. & S.;;;;1;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;1;;;1
CiEP Personal Quality and Results B.V.;;;;;;2;;;2
CiEP Training & Coaching;;;;;;2;;;2
CIMAC Nat. Members Association Netherlands;;;;;;1;;;1
Cinop Advies B.V.;;;;;;2;;;2
CIO Platform Nederland;;;;;;1;;;1
Cirkel Cleaning B.V.;;;;;;1;;;1
Citytuk & FunEvent;;;;1;;;;;1
Civil-Military Cooperation Centre of Excellence;;;;;;1;;;1
Clean2day;;;1;;;;;;1
Cleanhub B.V.;;;;;;1;;;1
Cliffix Musical Instruments NV;;;1;;;;;;1
CLS Computertrainingen;;;;;;1;;;1
Club Nautique;;;;;;;1;;1
Club Prins Albert;;;;;;1;;;1
Clubgebouw JST Waalsdorp;;;;;;;1;;1
Clubhuiscommissie AR & TV De Adelaa;;;;;;;1;;1
CM Partners B.V.;;;;;;2;;;2
C-Mark B.V.;;;1;;;;;;1
CMB Holding B.V.;;;;;;2;;;2
CMedia B.V.;;;;;;1;;;1
Coachboulevard B.V.;;;;;;3;;;3
Coenen, Gemma;;;;1;;;;;1
Cohen, R.;1;;;;;;;;1
Colfax IMO Pompes SAS;;;;;;1;;;1
CollÃƒÂ© Sittard Verhuur B.V.;;;;1;;;;;1
College of Multimedia;;;;;;2;;;2
Colourcake;;;;;;1;;;1
Comando Logistico A.M.;;;;;;2;;;2
Comando Logistico A.M. Direzione di Commissariato;;;;;;7;;;7
Commection;;;;;;1;;;1
CommITment B.V.;;;;;1;;;;1
COMPAREX Nederland B.V.;;;;;4;2;;;4
Compass Group Nederland B.V.;;;;;;;1;;1
Competence Factory;;;;;;1;;;1
Computer Learning Center;;;;;;1;;;1
Computercollectief.nl;;;;1;;;;;1
Compu'Train;;;;1;;3;;;3
Computrain Opleidingen;;;;;1;2;;;2
Con Fuego;;;;;;1;1;;1
Conclusion Services B.V.;;;;;;1;;;1
Concorde Group B.V.;;;;;;2;;;2
Conducto Opleidingen B.V.;;;;;;2;;;2
Confetti Shopping Group B.V.;;;;;;;1;;1
Conflictbemiddeling.nl;;;;;;1;;;1
Connie Dorough Properties;2;1;;;;;;;2
Conrad Electronic Benelux B.V.;;;;1;;1;;;1
Conseil International Du Sport Mili;;;2;;;;;;2
Consolid Openbaar Vervoer B.V.;;;;;;1;;;1
Continuing Education Institute Euro;;;;;;1;;;1
Coolblue B.V.;;;;;1;1;;;1
Coöperat. Onderwijsgroep Noordwest-Holland UA;;;;;;4;;;4
Coöperatie ACS partners UA;;;;;;3;;;3
Coördinerend Adviesbureau;;;;;;1;;;1
Coosto B.V.;;;;;;1;;;1
Coppens Warenhuis;;;;;;;1;;1
Copyshop De Haan;;;;;;1;;;1
Cor en Jos Nijman;;;;1;;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;;1;;;1
Cornelissen Brouwerij;;;;1;;;;;1
Corona Hotel;;;;;;1;;;1
Coronel Kartracing B.V.;;;;1;;;;;1
Corpus Exploitatie B.V.;;;;;;;1;;1
CORT BUSINESS SERVICES CORPORATION;3;3;;;;;;;4
Cort Business Services Uk Ltd;;1;;;;;;;1
Cortex B.V.;;;;;;3;;;3
Corvias Military Living;;5;;;;;;;5
COT Inst. v. Veiligh. & Crisismanagement B.V.;;;;;;1;;;1
CoThink B.V.;;;;;;2;;;2
Country Store;;;;;;;1;;1
Courtwell Management NV;;;;;;;1;;1
Cranfield University;;;;;;1;;;1
Crazy Piano's Scheveningen B.V.;1;;;;;;;;1
CRH Mobile Fencing & Security B.V.;;;;;;;1;;1
CrossFit Apeldoorn;;;;;;1;;;1
Crossfit Uphold Dongen;;;;;;1;;;1
Crown Lawn Apartments;;2;;;;;;;2
CTG Group B.V.;;;;;;;1;;1
Cum Laude Schoonmaakservice B.V.;;;;;;1;;;1
Curator Hotelbetriebsgesellschaft Berlin mbH;3;;;;;;;;3
Cure & Care Development B.V.;;;;;;1;;;1
Customeyes B.V.;;;;;1;;;;1
CVA Informatica Opleidingen B.V.;;;;1;;1;;;1
CycleNation Arnhem;;;;;1;;;;1
Czech Society for Mechanics;;;;;;1;;;1
D Hosting;;;;;;1;;;1
D&F Consulting B.V.;;;;;;1;;;1
D. van Wijnen Holding B.V;;;;;;1;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;;3;;;3
DÃ©hora advies B.V.;;;;;;2;;;2
DÃ©hora Consultancy Group B.V.;;;;;;1;;;1
Dam, K.S. van;1;;;;;;;;1
Damen CNC B.V.;;;;;;1;;;1
DAN WARD CONSULTING LLC;;;;;;1;;;1
Daniel FÚau Saint-Germain;1;;;;;;;;1
Dansschool Corma;;;;;;1;;;1
Dartshopper.nl;;;;;;;1;;1
DataExpert B.V.;;;;;;2;;;2
Datema-Delfzijl B.V.;;;;;;1;;;1
daVinci Dynamics B.V.;;;;;1;;;;1
Daxtrio B.V.;;;1;;;;;;1
Dazelaar Bewindvoering B.V.;1;;;;;;;;1
DCNED-flex B.V.;;;;;;1;;;1
De 4 Kolommen Cheng;;;;1;;;;;1
De Avontuurfabriek Onroerend Goed B.V.;;;;;;;1;;1
De Baak Administratie;;;;;;2;;;2
De Baak B.V.;;;;;;1;;;1
De Baak Noordwijk B.V.;;;;;;1;;;1
De Biestse Oevers;;;;;;;1;;1
De Bloemenkraam;1;;;;;;;;1
De Blokhut Feesten & Activiteiten;;;;1;;;;;1
De Blomster;;;;1;;;;;1
De Boekettenspecialist;;;;1;;;;;1
De CarriÃ¨rebus B.V.;;;;;1;;;;1
De Commandostichting;;;;1;1;;;;1
De Corenmaet B.V.;;;;;;;1;;1
De Dames IJssalon & Chocolaterie;;;;1;;;1;;1
De Delftse Bedrijvendagen;;;;;1;;;;1
De Dorpskamer;;;;1;;;1;;1
De Duivelsberg B.V.;;;;;;;1;;1
De Dukdalf - MBSOV;;;;1;;;1;;2
De Eerste Verdieping;;;;;;1;;;1
De Effectieve Financial B.V.;;;;;;2;;;2
De Geulhemer Meule;;;;;;1;;;1
De Gezelligheid;;;;1;;;;;1
De Gouden Heren B.V.;;;;;;;1;;1
De Gouden Ton;;;;1;;;1;;1
De Groot Lpmw Lasinstituut;;;;;;1;;;1
De Haagsche Beek;;;;;;;1;;1
De Haagse Hogeschool;;;;;;1;;;1
De Haan Advocaten;1;;;;;;;;1
De Herbergh van Flielant V.O.F.;;;;;;;1;;1
De heren van de Rechter B.V.;;;;;;;1;;1
De Holland Winkel;;;;;;;1;;1
De Hoogwerker;;;;;;1;;;1
De Hulk Grand CafÚ;;;;;;;1;;1
De Japanse Watertuin B.V.;;;;1;;;;;1
DE JONGH'S SPORTHUIS;;;1;;;;;;1
De Kabouterhut B.V.;;;;1;;;;;1
De Kampanje;;;;;;1;;;1
De Keper contextuele begeleiding en therapie;;;;;;1;;;1
De Kom Stadstheater Kunstencentrum;;;;;;;1;;1
De Koppelen;;;;;;;1;;1
De Kort Catering B.V.;;;;;1;;;;1
De Krim Texel B.V.;;;;;;;1;;1
De Lachende Koe II B.V.;;;;;;;1;;1
De Lachende Koe VI B.V.;;;;;;;1;;1
De Leemskuilen Uden B.V.;;;1;;;;;;1
De Leidschendamse Glashandel;;;;1;;;;;1
De Lekkernij;;;;1;;;;;1
De Levensboom;;;;;;1;;;1
De Lisdodde;;;;1;;;;;1
De Muur;;;;1;;;;;1
De Nederlandse Alp Cafe-Restaurant;;;;1;;;;;1
De Nederlandse Fotovakschool;;;;;;1;;;1
De Nonnen in Vught;;;;;;2;;;2
De Onderoff.ver. van 11 Afd. Rijdende Artill.;;;;1;;;;;1
De Onderwijsspecialisten;1;;1;;;;;;2
De orchidee;;;;1;;;;;1
De Oude Betuwe;;;;;;;1;;1
De Peerdestal B.V.;;;;;;;1;;1
de Persgroep Nederland B.V.;1;;;1;;1;;;2
De PreventieCoach;;;;;;1;;;1
DE REE archiefsystemen;;;;;;1;;;1
De Reuselhoeve B.V.;;;;;;;1;;1
De Romein pool, biljart & darts;;;;;;;1;;1
De Rondlopende Goochelaar;1;;;;;;;;1
De Roovertsche Leij;;;;;;;1;;1
De Rosep;;;;1;;;;;1
De Rotterdam B.V.;;;;;1;;;;1
De Ruggestee B.V.;1;;;;;;;;1
De Sallandse Berg B.V.;;;;;;;1;;1
De Schenker B.V.;;;;1;;;;;1
De Schutterij van 's-Hertogenbosch 1813-1907;1;;;;;;;;1
De Spreeuwel B.V.;;;;;;2;;;2
De Stickerkoning B.V.;;;;;;;1;;1
De Stijlacademie voor kleur & kleding;;;;;1;;;;1
De Stok Holding B.V.;;;1;;;;1;;1
De Thermiekbel;;;1;;;;;;1
De Truffel B.V.;;;;1;;;;;1
De Tuinoven;;;;1;;;;;1
De Twirre;;;;;;;1;;1
De Vosselhoeve;;;;;;;1;;1
De Vriendin Eten & Drinken;;;;;;;1;;1
De Vrije Teugel Uden B.V.;;;;;;;1;;1
De Waagh 1612 Nijmegen B.V.;;;;;;;1;;1
de Waker;;;;1;;;;;1
De Weijs Natuursteen;1;;;;;;;;1
De Weistaar' Kaasmuseum, Partijboerderij;;;;;;;1;;1
De Wijnstudio;;;;;1;;;;1
De Wilgenweard;;;;;;;1;;1
De Witte Leeuw Breda B.V.;;;;;;1;;;1
De Wolf Maritime Safety;;;;;;;;1;1
de Zeeuwse Gasten;;;;;;;1;;1
Debatacademie;;;;;;1;;;1
Decaprint;;;;;;;1;;1
DeCardent;;;1;;;;;;1
Decisco B.V.;;;;1;;2;;;2
Decora B.V.;;;;1;;;;;1
DEDALE ASIA PACIFIC PTY LTD;;;;;;1;;;1
Defabrique Evenementen B.V.;;;;;;;1;;1
Defense Trading Corporation;;;1;;;;;;1
Dek Opleidingen B.V.;;;;;;1;;;1
Dekker Zoetermeer;1;;;1;;;1;;1
Delft Congress Support B.V.;;;;;;2;;;2
Delftsche Studenten Bond;;;;;1;;;;1
Delftse Mobiliteits Centrale B.V.;;;;;;1;;;1
DeliNova B.V.;;;;1;;;;;1
Deloitte Accountants B.V.;;;;;3;;;;3
Deloitte Consulting B.V.;;;;;;3;;;3
Deloitte Financial Advisory Services B.V.;;;;;;1;;;1
Delta Hotel B.V.;;;;;;;1;;1
Delta International Promotioneel B.V.;;;;3;2;1;2;;3
Delta International Uniformuitrustingen B.V.;;;;1;;1;1;;2
Delta-N B.V.;;;;;;1;;;1
Den Bosch Evenementen B.V.;;;;1;;;;;1
Den Haag Centrum v. Strategische Studies B.V.;5;;;;;1;;;5
Den Helder Airport C.V.;;;;;;;2;;2
Denise Reklame in Vorm;;;1;;;;;;1
Denk Producties B.V.;;;;;;1;;;1
Dental Design Center B.V.;;;;;;1;;;1
Derion Hotel Maastricht;;;;;;;1;;1
Derks Tuinmachines;;;1;;;;;;1
DESIGN8 B.V.;;;;;;1;;;1
Designed 4u;;;;1;;;1;;1
Destiny Management Consultancy;;2;;;;;;;2
Detex Opleidingen B.V.;;;;;;1;;;1
DEUTSCHE FLUGSICHERUNG GMBH;;;;1;;;;;1
Deventrade B.V.;;;2;;;1;;;2
DevOn BV;;;;;;1;;;1
DFAS-JAXCE/Indianapolis;;;;;;3;;;3
DIAMOND RESORTS;;1;;;;;;;1
Diane Duinhoven Energetisch Therapeut;;;;;;1;;;1
Dickens Horecabedrijven B.V.;;;;1;;1;;;1
Dicks.NL;;;;;;1;;;1
Diedenhoven, A.W. van;1;;;;;;;;1
Dierenpark 'Amersfoort' B.V.;;;;;;;1;;1
Digidoc B.V.;;;;;;2;;;2
DigiTaalbedrijf B.V.;;;;;;1;;;1
Digital Action;;;;;;1;;;1
Digital Ants;;;;;;1;;;1
Digital Revolution B.V.;;;;;;1;;;1
Digitransfer B.V.;;;;1;;;;;1
Dijk van, van 't Velde, J.J.C.;;;1;;;;;;1
Dinee Cafe De Kempen;;;;;;;1;;1
Dior Academy;;;;;;1;;;1
DIOR Opleidingen;;;;;;4;;;4
Direct Pay Services B.V.;1;;;;;;;;1
Dirksen Bedrijfsopleidingen B.V.;;;;;;2;;;2
Dirksen Opleidingen B.V.;;;;;;1;;;1
Dis Teun B.V.;;;;1;;;;;1
DISC Factor B.V.;;;;;;1;;;1
Display Concepts B.V.;;;;;1;;;;1
Display Electronics;;;;;;1;;;1
Distinguished;;;;1;;2;;;2
Divi Aruba Phoenix;;1;;;;;;;1
Divi Resorts;;1;;;;;;;1
DJ-Matic B.V.;;;;;;1;1;;1
Djuri den Tuinder;;;;;;1;;;1
DNV GL Business Assurance;;;;;;3;;;3
Docspro B.V.;;;;;;1;;;1
Doenederland.nl B.V.;;;;;;;1;;1
Dogterom Media Professional DMP;;;;;;1;;;1
Dohsbase V.O.F.;;;1;;;;;;1
Dok 19;;;;;;1;;;1
Dokkumer Vlaggen Centrale B.V.;;;;2;;;;;2
Dokmar Maritime Publishers B.V.;;;;1;;;;;1
Doktersacademie Friesland B.V.;;;;;;1;;;1
Dolfi Laser;;;;1;;;1;;1
Dolphin Maritime Netherlands B.V.;;;;;;;1;;1
Domstad Evenementen B.V.;;;;1;;;1;;1
Doornse Nonna B.V.;;;;;;;1;;1
Dorint - Sanssouci - Berlin/Potsdam;3;;;;;;;;3
Dosaris B.V.;;;;;;1;;;1
DPA Professionals;1;;;;;;;;1
Dr. Martin Thomas;;;;;;2;;;2
DrÃƒÂ¤ger Nederland B.V.;;;;;;3;;;3
DRAGT;;;1;;;;;;1
Drankenhandel en Slijterij Vos;;;;;;1;;;1
Drankenhandel Geers / Gall & Gall;;;;;;;1;;1
Drankenhandel van Dorst;;;;;1;;;;1
Drenthe College;;;1;;;;;;1
Dresdner Sprengschule GmbH;;;;;;1;;;1
Drinxx Groothandel;;;;1;;;;;1
Drõger Nederland B.V. Appendages & Systemen;;;;;;1;;;1
Drone Flight Academy B.V.;;;;;;1;;;1
Drone4Agro B.V.;;;1;;;;;;1
Drs. G.J. v.d. Spek Comm.train. & Tekstadv.;;;;;;4;;;4
Drs. H. Kievit- van den Hoogen;;;;;;1;;;1
Drukkerij Haver;;;;;;;1;;1
Drukkerij Kleen;;;;;1;;;;1
Druk-King;;;;;;;1;;1
Drukland;;;;1;;;;;1
Druktemaker Media;;;;1;;;;;1
DSH Domburg Sportprijzen Holland/Promopin.nl;;;1;;;;;;1
DSP-Groep B.V.;;;;;2;;;;2
DtC - Desire to Communicate;;;;;;1;;;1
Duckcity.nl;;;;1;;;;;1
DÚjÓ Vu Restaurant;;;;;;;1;;1
Duller & Co verf-bladgoud;;;;;;1;;;1
DÚpartment GÚnie Mess de Quartier / Kwartier Mess;;;;;;1;;;1
DÚpot;;;;;;1;;;1
Dusecon;;;;;;3;;;3
DuSigma Holding B.V.;;;;;1;;;;1
Dutch Caribbean Safety Services B.V.;;;;;;1;;;1
dutch club designs;;;;;;1;;;1
Dutch Expo Services B.V.;;;;;3;;;;3
Dutch Memories;;;;;;;1;;1
Dutch Optical B.V.;;;1;;;;;;1
Dutraco Gouda B.V.;;;2;;;;;;2
DWM Trainingen;;;;;;1;;;1
E Z Up Europe B.V.;;;;;1;;;;1
E.ON International Finance B.V.;;;;;;2;;;2
Easy Actors B.V.;;;;;;2;;;2
Easy Fun Events;;;;;;;1;;1
Ebbinge & Company International Holding B.V.;;;;;;2;;;2
EBSCO Information Services B.V.;;;;;;1;;;1
Eburon Uitgeverij B.V.;;;;;1;;;;1
ECHOS Home Baan Zulu;;;;;;1;1;;1
ECHOS Home De Landing;;;;1;;;1;;1
ECHOS Home De Schakel;;;;1;1;;;;1
ECHOS Home De Vrijheid;1;;;1;;;1;;1
ECHOS Home Het Baken;;;;1;;;1;;1
Echte woorden;;;;;;1;;;1
Ecole de Gendarmerie de Rochefort;;;;;;2;;;2
Economic Business & Catering Associ;;;;1;;;;;1
ECORYS Nederland B.V.;;;;;3;;;;3
Edda Huzid;;;;1;;;;;1
Edelburijn;;;;;;1;;;1
Eden Water & Coffee Deutsland GmbH;;;;;;;1;;1
Edgewood;;;;;1;;;;1
Edin B.V.;;;;;;1;;;1
Educatieve Boekhandel Lisette B.V.;;;;;;1;;;1
Edufax B.V.;;;;;;3;;;3
Edumar Vaaropleiding;;;;;;1;;;1
Eduvision B.V.;;;;;;1;;;1
Edwin Koopman;;;;;;1;;;1
Eerstehulpinternationaal.nl;;;;;;1;;;1
EetcafÃƒÂ© Het Wapen van Harskamp;;;;;;1;1;;2
Eetcafe De Woerd B.V.;;;;1;;;;;1
Eetcafe Giethoorn;;;;;;;1;;1
Eetcafe Spinoza;;;;;;;1;;1
Eetcafe Westgaag V.O.F.;;;;1;;;;;1
Eethuis 'De Stoeterij';;;;;;;1;;1
Eethuys- CafÃƒÂ© 'De Generaal';;;;;;1;;;1
Eet-Villa Van den Brink;;;;;;1;1;;1
ee-Xparc NL B.V.;1;;;;;;;;1
EFE;;;;;;2;;;2
Egel Weerbaarheid;;;;;;2;;;2
Egmont;1;;;;;;;;1
EHBO & BHV Amersfoort;;;;;;1;;;1
EHM Hotel Breda B.V.;;;;;;1;;;1
EHM Hotel Hulshorst de Beyaerd B.V.;;;;;;;1;;1
E-hulp Trainingen;;;;;;1;;;1
EIFF Aerodynamics, Inc.;;;1;;;;;;1
Eilers Handel Nederland B.V.;;;1;;;;;;1
Eindhoven Academy B.V.;;;;;;2;;;2
Eindhoven Airport Hotel B.V.;;;;;;;;1;1
Elba Vecindario Aeropuerto Business & Convention Hotel;4;;;;;;;;4
Electric Tours B.V.;;;;;;;1;;1
Electrolux Professional B.V.;;;1;;;;;;1
Elektro DEMA;;;;;;4;;;4
Elektrotechnik Ralf Frenking;1;;;;;;;;1
Element Materials Technology Amsterdam B.V.;;;;;;1;;;1
Elite Productions & Entertainment N.V.;;;1;;;;1;;1
EliteSport;;;1;;;;;;1
Ellmar Terschelling B.V.;;;;;;1;;;1
Eluced B.V.;;;;;;1;;;1
Elycio Talen;;;;;;1;;;1
Elycio Talen B.V.;;;;;;6;;;6
Elysisch Talent;;;;;;1;;;1
EMA Gravures Flevoland V.O.F.;;;;1;;;;;1
Embedded Fitness B.V.;;;;;1;;;;1
EMC & Vergouwen Overduin;;;;;;1;;;1
Emday B.V.;;;;;;1;;;1
Emergency Control Maritime Training B.V.;;;;;;1;;;1
Emid;;;;;;1;;;1
Emken Meisterbetrieb;1;;;;;;;;1
Empacher GmbH;;;;;;2;;;2
Employee Performance Group B.V.;;;;;;2;;;2
Emtek Ergonomics B.V.;;;1;;;;;;1
ENAC;;;;;;1;;;1
Engelen, P;;;;;;;1;;1
Enginia B.V.;;;;;;1;;;1
Enigma Solutions;;;;;;1;;;1
Enjoy Beauty Flowers;;;;1;;;;;1
ENM Design;;;;;;1;;;1
Entalis B.V.;;;;;;2;;;2
Entco Nederland B.V.;;;;;;1;;;1
Entertrain;;;;;;;1;;1
Entz-von Zerssen, Caspari & Partner Coaching & Consulting;;;;;;1;;;1
Enversed Entertainment Eindhoven B.V.;;;;;;1;;;1
EQIN;;;;;;1;;;1
Erdee Media B.V.;;;;1;;;;;1
Ergatis B.V.;1;;;;3;;;;3
ErgoTijm;;;;;;1;;;1
Eriks B.V.;;;;;;1;;;1
Erin de Graaf;;;;1;;;;;1
ERWU-projects B.V.;;;;1;;;;;1
ESAA;;;;;;1;;;1
Escape Hunt Eindhoven B.V.;1;;;;;;;;1
Escape Room Nederland;;;;;;;1;;1
Escape Room Uden;;;;;;;1;;1
Escaperoom 040;1;;;;;;;;1
Ese International B.V.;;;;;;1;;;1
Esri Nederland;;;;;;4;;;4
ESV Sign & Safety Products;;;;;;;1;;1
Etalagepoppengigant B.V.;;;;;1;;;;1
Eten & Zo Zoetermeer B.V.;;;;1;;;1;;1
ETS-Lindgren Inc;;;;;;1;;;1
Eucalypta;;;;1;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;;1;;;1
Eurmedes;;;;;;1;;;1
Euro Events B.V.;;;;;;;1;;1
Euro Indoorkarting Swalmen B.V.;;;;;;;1;;1
Eurocept B.V.;;;3;;;;;;3
Eurocontrol Vroeger crediteur 71247 (K³t Ali);;;;;;2;;;2
Euroforum;;;;;;2;;;2
Euro-Gifts Exports B.V.;;;;;;;1;;1
European Bartender School;;;;;;1;;;1
European Institute for Stress Management B.V.;;;;;;1;;;1
European Tech Serv NV;;;;;;2;;;2
European Union Satellite Centre;;;;;;1;;;1
EuRow.eu - Heeres Boat Service;;;;;;1;;;1
EVC Centrum Nederland B.V.;;;1;;1;5;;;5
Evenementen Ondersteuning EHBO Vereniging Sint Bernhard;;;;1;;;;;1
evenementenamersfoort;;;;;;;1;;1
Evenementenbureau HET B.V.;;;;;;;2;;2
Evenementenhal Gorinchem B.V.;4;;;;;;;;4
Evenementenzorg De Toren B.V.;;;;;;;1;;1
Events Holland B.V.;;;;;;;1;;1
Evertzen, F.A.G.;1;;;;;;;;1
Every Angle Software Solutions B.V.;;;;;;1;;;1
Everything Sweet;;;;;;;1;;1
EVO Fenedex;;;;;;4;;;4
EWE Vertrieb GmbH;1;;;;;;;;1
E-WISE Nederland B.V.;;;;;;3;;;3
eX:plain;;;;;;3;;;3
Exchange Retail Store;;;;1;;;;;1
Experience Island;;;1;;;;1;;2
Expertisecentrum Meubel;;;;;;1;;;1
Explainit Company;;;;;;2;;;2
ExplainIT Special Accounts B.V.;;;;;;1;;;1
Exploitatie FadB B.V.;;;;1;;;;;1
Exploitatie Hotel Zeestraat Den Haag B.V.;;;;;;;1;;1
Exploitatie Maatschappij Komfort B.V.;;;;1;;1;1;;1
Exploitatiemaatsch. Golfbaan Kromme Rijn B.V.;;;;1;;;;;1
EXPO 66 B.V.;;;;;;1;;;1
Exponential Expansion B.V.;;;;;;4;;;4
Export Compliance Training Institut;;;;;;1;;;1
Exquizzit;;;;;;;1;;1
Eye D. Events;;;;;;1;;;1
F÷rsvarsmakten Swedish Armed Forces;;;;;;2;;;2
F³rstliche Hofkammer;;1;;;;;;;1
F5 Networking;;;;;;1;;;1
Fa. Veldwijk;;;1;;;;;;1
Fa. Veldwijk Sportprijzen en Relatiegesch.;;;1;;;;1;;1
Faber Reklame B.V.;;;;;;;1;;1
FaberExposize B.V.;;;;1;;;1;;1
Fade Out;;;;;;;1;;1
Faes Cases B.V.;;;;;;1;;;1
Fagron Nederland B.V.;;;2;;;;;;2
Fahm Instituut;;;;;;1;;;1
Falck AVD;;;;;;1;;;1
Falck B.V.;;;;;;4;;;4
Falco Networks B.V.;;;;;;2;;;2
Family Farm Histomobil;;;;;;;1;;1
Familyland B.V.;;;;1;;;;;1
Famous Audio;;;1;;;2;;;2
Farnell (Netherlands) B.V.;;;;;;1;;;1
Fast Lane Benelux B.V.;;;;;;2;;;2
Fast Lane Nederland B.V.;;;;;;2;;;2
FCC Advisory B.V.;;;;;;2;;;2
Feelgood2GO B.V.;;;;1;;;;;1
Feenstra B.V.;1;;;;;;;;1
Femto Engineering Software B.V.;;;;;;1;;;1
Ferro Explore B.V.;;;;;2;;;;2
Fetum B.V.;;;1;;;;;;1
FHI, Federatie van Technologiebranches;;;;;;1;;;1
Fiedeldij Dop & Tuinte;;;;;;1;;;1
Fiestagrill Zuid Limburg;;;;;;;1;;1
Figs Events Limited;;;;;;1;;;1
Fika B.V.;;;;;;;1;;1
Finders Keepers;;2;;;;;;;2
Finnpilot Pilotage Oy;;;;;;1;;;1
Firelearning.NL;;;;;;1;;;1
Firma De Jong;;;;1;;;1;;1
Firma Harm Krale;;;;;1;;1;;1
Firma S.J. van Kalsbeek en Zonen;;;;;;1;;;1
Firma Wijnhuis Best;;;;;;;1;;1
First Class Education B.V.;;;;;;1;;;1
FIRST ORG INC;;;;;;1;;;1
Firstt Opleidingen B.V.;;;;;;1;;;1
Fit en in Balans;;;;;;1;;;1
Fith B.V.;;;;;4;;;;4
Fitness Import & Services BV;;;1;;;;;;1
Fitt-Outdoor;;;;;;;1;;1
FixedToday B.V.;;;;;;1;;;1
Flanderijn en Bouwman Gerechtsdeurwaarders B.V.;1;;;;;;;;1
Flanderijn Geboers;;;;;;1;;;1
Flantuas Restaurant Lelystad Airpor;;;;1;;;;;1
FlashBay Limited;;;;;;;1;;1
Fletcher Hotel Paleis Het Stadhouderlijk Hof;;;;1;;;1;;1
Fletcher Hotel Restaurant Victoria-Hoenderloo;;;;;;;1;;1
Fletcher Hotels;;;;1;;;;;1
Fleuri Bloemen;;;;1;;;;;1
Fleurtiek Amsterdam B.V.;;;;1;;;;;1
Flevonice B.V.;;;2;;;;;;2
Flex Media Concepts;;;;;;;1;;1
Flex-I.D. B.V.;;;;;;2;;;2
Flexicon B.V.;;;;1;;;;;1
FLIGHTSAFETY INTERNATIONAL INC;;;;;;5;;;5
FlightSafety SARL;;;;;;2;;;2
Flinstering B.V./RODEO Latin Amer. Gr. Rest.;1;;;;;1;;;1
Fliteline B.V.;;;;;;;;5;5
Floor van Duijsen-Fagot;;;;;;1;;;1
Florence Academy;;;;;;1;;;1
Florence Nails B.V.;;;;;;1;;;1
FLOW MENTALE TRAINING Prakt. voor Sportpsych.;;;;1;;;;;1
Flowers4u;;;;1;;;;;1
Flyer Nautical Gifts & Decoration;;;;;;;1;;1
FMTC B.V.;;;;;;1;;;1
FN Herstal S.A.;;;;;;2;;;2
Folux B.V.;;;;;;;1;;1
Fonds Sociale Zorg;;;;2;;;1;;2
Fonk Beach B.V.;;;;;;;1;;1
Fontaine Systems;;;;;2;;;;2
Formido Den Helder B.V.;;;;;;1;;;1
Forsa Advies;;;;;;1;;;1
Forsa Advies B.V.;;;;;;1;;;1
Fort 1881;;;;1;;;2;;2
Fort Eben-Emael;;;;;;1;1;;1
Fort Leavenworth Frontier Heritage;2;;;;;;;;2
Forte Sportswear B.V.;;;1;;;;;;1
Fortes Solutions B.V.;;;;;;1;;;1
Foto Konijnenberg B.V.;;;;;;1;;;1
Fotografie Cor Buser;;;;;;;1;;1
Fourstar Projecten B.V.;;;;;3;;;;3
Franck Bierens Entertainment;;;;;;;1;;1
Frank B.V.;;;1;;;;;;1
Frank Schmitz Metallwaren GmbH;;;;1;;;;;1
Fred's Bloementeam;;;;1;;1;;;1
Fredt met DT B.V.;;;;;1;;;;1
Freerk Wieringa;;;;;1;;;;1
Fresh FM 104.3;;;1;;;;;;1
FREZON;;;;1;1;;;;1
Friese Aero Club;;;;;;;1;;1
Frijters Mind Tuning B.V.;;;;;;1;;;1
Frost, CJ;;1;;;;;;;1
Fruitschaal.nu;;;;;;;1;;1
Fry & Kent Limited.;;2;;;;;;;2
FSN B.V.;;;;;;1;;;1
Fun Beach B.V.;;;;;;;1;;1
Funpix;;;;;;;1;;1
FysioSupplies B.V.;1;;1;;;1;;;1
Fyzzio International B.V.;;;;;;1;;;1
G.F.P. (Gear for Professionals) B.V.;;;;;;1;;;1
G.M.T.O. Alkmaar B.V.;;;;;;3;;;3
G.P.M. van Sleeuwen Motoren;;;;;;;1;;1
G.W.L.M. Verhaak, huisarts;;;;;1;;;;1
G÷tz uw topSlijter;;;;;;;1;;1
Gabriel, J.A.;1;;;;;;;;1
