;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Epidemic Sound, Netherlands Branch;1;;;;;;;1
EPOMM;2;;;;;;;2
Epona Software Productions B.V.;;;1;;;;;1
ER;1;;;;;;;1
Erasmus Centre for Urban,Port&Transp.Ec. B.V.;2;;1;;;;;2
Ergatis B.V.;;;1;;;;;1
Ergo B.V.;2;;;;;;;2
Ergos B.V.;;;2;;;;;2
Eric Burgers Tekst & Redactie;1;;1;;;;;1
Eric Fecken Fotografie;1;;;;;;;1
Eridanos;;;3;;;;;3
Erik Jansen Fotografie;1;;;;;;;1
Ernst & Young Accountants LLP;2;;;;;;;2
Ernst Bos Advies;2;;;;;;;2
Ernst Sillem Hoeve B.V.;;;1;;;;;1
ERS Link B.V.;2;;;;;;;2
ESB B.V.;1;;1;;;;;1
Escher Water Projects;;;;2;;;;2
Esquine Advies B.V.;;;1;;;;;1
Esri Nederland;;;;;;1;;1
EU Legal;1;;;;;;;1
Eubelius;1;;;;;;;1
EUMETNET;;4;;;;;;4
Eureco B.V.;;1;;;;;;1
Eurest Services B.V.;1;;;;;;;1
Euroconsult Mott MacDonald B.V.;2;;;;;;;2
Eurofins Analytico B.V.;;1;;;;;;1
European Hydrogen and Fuel Cell;2;;;;;;;2
European Sustainable Phosphorus;2;;;;;;;2
Eurotext Vertaalbureau Leidschendam;2;;;;;;;2
EuroUSC Italia;2;;;;;;;2
EV Consult B.V.;1;;1;;;;;2
Evers + Manders Subsidieadviseurs B.V.;2;;;;;;;2
Everts Partycatering;1;;;;;;;1
Evite Services B.V.;2;;;;;;;2
EVO Fenedex;1;;;;;;;1
Ex Aequo Pruijssers Management B.V.;2;;;;;;;2
Expertise Centrum de Vries en Rijke;1;;;;;;;1
Expo Houten B.V.;1;;;;;;;1
Exponential Expansion B.V.;3;;;;;;;3
EY Advisory Netherlands LLP;2;;;;;;;2
F.A.X. Translations B.V.;;;1;;;;;1
Factor Vijf;1;;1;;;;;1
FairBoost B.V.;1;;;;;;;1
FAIRNET;1;;;;;;;1
Fascia advies voor Verbinding & Begeleiding;1;;;;;;;1
Fawaka Ondernemersschool B.V.;;1;;;;;;1
Federatie Ned. Rubber- en Kunststofindustrie;2;;;;;;;2
Federation of European Motorcyclist;1;;;;;;;1
FedEx Express Netherlands B.V.;;1;;;;;;1
Feeddex B.V.;;2;;;;;;2
FEV Consulting GmbH;2;;;;;;;2
Ffact Management Consultants B.V.;2;;;;;;;2
Fier B.V.;2;;;;;;;2
Fietscentrum Overdevest;1;;;;;;;1
Film Atelier Den Haag;1;;;;;;;1
Financial Professional Services B.V.;;;1;;;;;1
Fine Arts Productions John van Helvert;1;;;;;;;1
Fingers Catering Service;1;;;;;;;1
Firma Hof der Muzen;1;;;;;;;1
First Dutch Innovations B.V.;6;;2;;;;;6
First Electronic Publishing Center B.V.;2;;;;;;;2
Firstword Media Limited;2;;;;;;;2
Fiscursus;2;;;;;;;2
Flanderijn B.V.;;;;;;;1;1
Flesjewijnbezorgd;1;;;;;;;1
Fletcher Text and Translation Services;;;1;;;;;1
Flex IT Rent B.V.;1;;;;;;;1
Flitsmeister B.V.;4;;;;;;;4
FlowFabric B.V.;;;;;;4;;4
Flying Fish Maritime Operations Systems B.V.;;;2;;;;;2
Fodis;2;;;;;;;2
Fokker Techniek B.V.;1;;;;;;;1
Fondation pour l'Infrastructure Dur;2;;;;;;;2
Forgood;2;;;;;;;2
Fotogeniek;1;;;;;;;1
Fotografie : Paul Voorham;2;;;;;;;2
Fotografie Siebe Swart;1;;;;;;;1
Foxgloves advies;1;;;;;;;1
Fox-IT;4;2;2;;;;;4
frankly spoken;;1;;;;;;1
Fraunhofer-Gesellschaft zur Förderu;2;;;;;;;2
Fred Sanders Advies;1;;;;;;;1
Freek van den Bergh Fotografie;1;;;;;;;1
Frephitophe;;1;1;;;;;1
Frisse Blikken ondernemen met talent B.V.;1;1;;;;;;2
Fritjof Brave;2;;;;;;;2
Froh Presentaties;1;;;;;;;1
Fronteer B.V.;2;;;;;;;2
Frontwise;1;;;;;;;1
Fujitsu Technology Solutions B.V.;;7;;;;5;;7
Fundashion Mangazina di Rei;1;;;;;;;1
Funk-e Animations B.V.;1;;;;;;;1
Future Communication Consultants B.V.;;;;;;1;;1
Future Motions;2;;;;;;;2
Futureconsult Holding B.V.;2;;;;;;;2
FutureFlock;;;2;;;;;2
FVH Facility B.V.;2;;;;;;;2
Fysergo B.V.;;;4;;;;;4
Gamestudio Marthijn;1;;1;;;;;1
Gassner Biologisch Risico Advies;1;;;;;;;1
Gastheeren Bedrijfscatering;1;;;;;;;1
Gawlitta & Nissen GbR;1;;;;;;;1
gefeliciTAART B.V.;1;;;;;;;1
Gemax B.V.;2;;;;;;;2
Geniet Arnhem B.V.;1;;;;;;;1
GeoCat B.V.;;;1;;;;;1
Geodan B.V.;7;;;;;;;7
Geofox-Lexmond - TTE V.O.F.;5;;;;;;;5
Geomatic Ventures Limited;2;;;;;;;2
GeoNamic;1;;;;;;;1
Geonius Infra;;4;;;;;;4
Geovusie;2;;;;;;;2
Gerd de Kruif, beleidswerk en beleidsadvies;1;2;;;;;;2
Gertjan Mulder Advies & Begeleiding;;1;2;;;;;2
Geschenk met Verhaal B.V.;1;;;;;;;1
GESELLSCHAFT FÜR ANLAGEN- UND;7;;;;;;;7
Getting the picture B.V.;;;2;;;;;2
GetYouThere B.V.;2;;;;;;;2
GezondVerkeer;3;;;;;;;3
GFK Panel Services Benelux;1;;;;;;;1
GFSC Consultants and Engineers B.V.;1;;;;;;;1
Gifts to Connect;1;;;;;;;1
Gist B.V.;;2;;;;;;2
GJ Ampt Advies;3;;;;;;;3
Glasblazerij 'Glaswerk';;;1;;;;;1
Global Public Management Consulting B.V.;;1;1;;;;;1
Go About B.V.;2;;;;;;;2
Goedhart Reclame;1;;;;;;;1
Goevaers Consultancy B.V.;1;;;;;;;1
Go-Fast Bicycle Delivery Services;1;;;;;;;1
Gogogo.To;;1;1;;;;;1
Golden Tulip Hotel Central;1;;;;;;;1
Goodyear Tires Netherlands;2;;;;;;;2
Gotcha Monitoring Systems;2;;;;;;;2
Goudappel Coffeng B.V.;5;;;;;;;5
Governance & Integrity Nederland B.V.;;1;;;;;;1
Grafisch Centrum Salland;1;;;;;;;1
Gran Mercado B.V.;1;;;;;;;1
Grand Central Food Market B.V.;1;;;;;;;1
Granny's Corner;1;;;;;;;1
Graydon Nederland B.V.;1;;;;;;;1
Green Dino B.V.;3;;;;;;;3
Green Earth Products;1;;;;;;;1
Green Wave;2;;;;;;;2
Greenberry B.V.;2;;;;;;;2
Greetz B.V.;1;;;;;;;1
Grey Matter Matters B.V.;;;2;;;;2;2
Griffioen Agenturen;;1;;;;;;1
GRM Expertises B.V.;;;;;2;;;2
GrondRR;2;;;;;;;2
GroupStrat B.V.;;2;;2;;;;2
Gumcleaners Nederland B.V.;1;;;;;;;1
H.C. de Vries Digitale Media;;;;1;;;;1
H.J.P. Kaan, thodn Proeflokaal Sijgje Delft;1;;;;;;;1
Haagse Beek organisatieadvies B.V.;;;2;;;;;2
Haai B.V.;;;1;;;;;1
Hackwise;;1;;;;;;1
Hagele kantoormeubilair;;;;;;1;;1
HALITO!;;1;;;;;;1
Han Vermeer Ontwikkel. van Mens & Organisatie;1;;;;;;;1
Han's Adviesbureau Mariene Ecologie (HAME);;;;2;;;;2
Hans Alders Procesregie & Advies B.V.;3;;;;;;;3
Hans Roggen Fotografie;1;;;;;;;1
Happy Stories B.V.;;;2;;;;;2
HaskoningDHV Nederland B.V.;7;3;1;;;;4;7
Haute Equipe;;;;;;;2;2
Haverkamp & Bergers Project Communicatie;1;;;;;;;1
HE Den Haag B.V.;1;;1;;;;;1
HeadFirst B.V.;;1;;;;;;1
Heart Rotterdam;1;;;;;;;1
Helder en Duidelijk;5;;;;;;;5
Heldring Advies;1;;;;;;;1
HELIOS;3;;;;;;;3
Hemelrijk Lelystad B.V.;1;;;;;;;1
Herbig-IT;1;;;;;;;1
Hermes Banket B.V.;1;;;;;;;1
Het Bakkertje;1;;;;;;;1
Het Coachhuis B.V.;1;;;;;;;1
Het Inzichtenlab;;;3;;;;;3
Het Keringhuis;1;;;;;;;1
Het Kookplein;1;;;;;;;1
Het Muntgebouw-Utrecht B.V.;2;;;;;;;2
Het NIC B.V.;;;;;;;1;1
Het Nieuwe Trivium;1;;;;;;;1
Het Notuleercentrum B.V.;;;;;1;;;1
Het Nutshuis;1;;;;;;;1
Het Portaal B.V.;1;;;;;;;1
Het Raadhuis Terschelling;1;;;;;;;1
Het Rieten Dak;1;;;;;;;1
Het Twickelerveld B.V.;;;1;;;;;1
Heuff Schrijft;1;;;;;;;1
HeuvelCommunicatie;;1;;;;;;1
HEYDAY Consultancy & Detachering B.V.;;;1;;;;;1
HEYDAY Facility Management;;;3;;;;;3
Hiemstra & De Vries B.V.;3;;;;;;;3
High Security International B.V.;;;;;;3;;3
Highmark Hoofddorp B.V.;2;;;;;;;2
Hilton International Nederland B.V.;2;;;;;;;2
Hiltra Verhuur B.V.;;;;1;;;;1
HiP Alexandrium B.V.;1;;;;;;;1
HKV Lijn in Water B.V.;3;;;;;;;3
hmCramer advies en coaching;1;;;;;;;1
HMM Exhibitions B.V.;3;;;;;;;3
HMSHost Nederland B.V.;1;;;;;;;1
Hofstad Tours B.V.;1;;1;;;;;1
Hofstad, Advies & Organisatie;2;;;;;;;2
Hoge Noorden B.V.;1;;;;;;;1
Hoge Ogen communicatie;;1;;;;;;1
Hogeschool Schoevers;;1;;;;;;1
Hogeschool Windesheim;1;;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;;1
Holland Geschenkpakket;1;;;;;;;1
Holland Innovative B.V.;;;1;;;;;1
Hollandse Hoogte B.V.;2;;;;;;;2
Hollandse Telecommunicatie Maatschappij;;;1;;;;;1
Hoogcarspel Management & Consultancy;2;;;;;;;2
Hoogland Consulting B.V.;1;;;;;;;1
Horeca Zuidplein B.V.;1;;;;;;;1
Horvat & Partners B.V.;3;;;;;;;3
Hostnet B.V.;1;;;;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;1;1;;;;;;2
Hotel De Essenburgh B.V.;1;;;;;;;1
Hotel De Vigilante B.V.;1;;;;;;;1
Hotel Des Indes B.V.;1;;;;;;;1
Hotel Goes;1;;;;;;;1
Hotel Groningen-Hoogkerk B.V.;1;;;;;;;1
Hotel New York B.V.;1;;;;;;;1
Hotel Restaurant The Kettle B.V.;1;;;;;;;1
Hotel Zaltbommel Exploitatie B.V.;1;;;;;;;1
Hotel-Café-Restaurant De Gouden Leeuw;1;;;;;;;1
Hotel-Café-Restaurant Haarhuis;1;;;;;;;1
Hotel-Café-Restaurant 'W.E.E.V.A.';1;;;;;;;1
House of Sports;;;1;;;;;1
HR Groep Streetcare B.V.;;2;;;;;;2
HSK Interventie B.V.;;;1;;;;;1
Hub Creations;;1;;;;;;1
Hudson Cybertec B.V.;2;;;;;;;2
Hugo van der Steenhoven;1;;;;;;;1
Huibers IT;;;;;;2;;2
huibertvanwijngaarden.com;;3;;;;;;3
Huis van Verbeelding;;1;;;;;;1
Huis voor Beweging;2;;;;;;;2
HumanCapitalCare B.V.;;;1;;;;;1
Hurts Support;2;;;;;;;2
Hutten Business Catering B.V.;1;;;;;;;1
Hutten Catering B.V.;1;;;;;;;1
HVG Law LLP;2;;;;;;;2
Hydrologic B.V.;2;;;;;;;2
HyEnergy Consultancy Limited;2;;;;;;;2
I & O Research B.V.;3;1;1;;;;;3
I2L, instituut voor innovatie en leren;1;;;;;;;1
IAEA;2;;;;;;;2
iBabs B.V.;;;1;;;;;1
IBM Nederland B.V.;2;;;;;6;;6
IceBear Events B.V.;1;;;;;;;1
ICM Opleidingen & Trainingen B.V.;;;1;;;;;1
ID Consultancy B.V.;3;;;;;;;3
Idea Industry;2;;;;;;;2
Ideate;1;;;;;;;1
Ideeaanzee B.V.;2;;;;;;;2
IES Asset Management;;;;1;;;;1
Igluu B.V.;1;;;;;;;1
Imageselect B.V.;1;;;;;;;1
Imago Print Sign & Display;1;;;;;;;1
Imagro B.V.;2;;;;;;;2
imgix;;;;;;1;;1
Impact Company;;;2;;;;;2
ImpactAbility;2;;;;;;;2
IMPEL;;;2;;;;;2
IN Consulting;;;;;;1;;1
In de Driehoek, congres- en vergadercentrum;1;;;;;;;1
In De Ruimte;2;;;;;;;2
in60seconds B.V.;4;2;1;;;;;4
INBC Verhuur B.V.;;1;;;;;;1
Incentro Nederland B.V.;;;1;;;;;1
Indian street food & co;1;;;;;;;1
Indisch Restaurant Garoeda;1;;;;;;;1
Ineke Roest Management en Advies;;1;;;;;;1
Infolutions;;;;;;1;;1
Informa B.V.;;;1;;;;;1
Infram B.V.;6;;2;;;;;6
Infram Participatie B.V.;;;2;;;;;2
Infraspeed B.V.;13;;;;;;;13
Innovactory International B.V.;2;;;;;;;2
Innovatie en Duurzaamheid B.V.;3;;;;;;;3
Innovention Change Management B.V.;2;;;;;;;2
Innovero Software Solutions B.V.;;;1;;;;;1
Inntel Hotels Rotterdam Centre;2;;;;;;;2
InnU B.V.;1;;;;;;;1
Inretail;2;;;;;;;2
Insight Enterprises Netherlands B.V.;;;;;;1;;1
Inspiratie op Locatie B.V.;1;;;;;;;1
Inspired-Group B.V.;2;;;;;;;2
INSPT;1;2;;;;;;2
Inst. for Hous. and Urban Devel. Stud. B.V.;;;1;;;;;1
INSTITUT D'AÉRONOMIE SPATIALE DE;;5;;;;;;5
Institute for European Environmenta;1;;;;;;;1
Institute of Protocol The Hague B.V.;;;;1;;;;1
Instituut voor interventiekunde;;;1;;;;;1
Instock Den Haag;1;;;;;;;1
Interception Consultancy;2;;;;;;;2
Intercontinental Dhaka;2;;;;;;;2
Intergo B.V.;1;;;;;;;1
Intermedius B.V.;2;;;;;;;2
International Institute for Environ;3;;;;;;;3
Intertek Nederland B.V.;1;;;;;;;1
Intraffic B.V.;2;;;;;;;2
Intrafin Systems;3;;;;;;;3
Intus Workforce Solutions B.V.;;1;;;;;;1
Involve B.V.;;;;2;;;;2
IPMA Certificering B.V.;;;1;;;;;1
ISAC CNR;;2;;;;;;2
ISEAL Alliance;;;;;;;1;1
ISEO Consult B.V.;1;;;;;;;1
ISIN _ Ispettorato nazionale per la;1;;;;;;;1
ISS Integrated Facility Services B.V.;2;;;;;;;2
IT Company B.V.;;;;;;1;;1
IT Dordrecht;1;;;;;;;1
ItaQ;;;;;;3;;3
Iuris;1;;;;;;;1
IVN, Instituut voor Natuureducatie;1;;;;;;;1
Jaarbeurs Catering Services B.V.;2;;;;;;;2
Jacob Moehn IT Expertise B.V.;;;2;;;;;2
Jacques Handelé Antwoorden en Vragen;;1;;;;;;1
JAGIELLONIAN UNIVERSITY;1;;;;;;;1
Ja-maar® B.V.;;1;;;;;;1
JanRutten.com;2;;;;;;;2
Janskerkhof B.V.;1;;;;;;;1
Janzzen & Janzzen B.V.;1;;;;;;;1
Jazeker productie & communicatie;1;;;;;;;1
JCF Consultancy;1;;;;;;;1
JCT Horeca B.V.;1;;;;;;;1
Jenneke Drupsteen Grafische Vormgeving;;1;1;1;;;;2
Jessica van Koert Ideeën (F) luisteraar;1;;;;;;;1
Jet Proost Communicatie Adv. en Journalistiek;;1;;1;;;;1
John Wiley & Sons Inc.;;;1;;;;;1
John Wiley & Sons Ltd;;;1;;;;;1
Jonge Honden 18 C.V.;;;;;;1;;1
joost schrijnen ruimte voor ontwikkeling;;1;;;;;;1
Joost Zonneveld Journalist en Onderzoeker;1;;;;;;;1
Joris Fiselier Infographics;1;;;;;;;1
Joseph Kessels B.V.;;;1;;;;;1
JS Consultancy Detachering B.V.;4;;;;;;;4
Julia Wolff Management;;;1;;;;;1
Juncto Advocaten;1;;;;;;;1
Jürgen Theuns Producties;2;;;;;;;2
Juridische Raadgeving LNG B.V.;2;;;;;;;2
JUUL4U;1;;;;;;;1
JVDMedia;;;2;;;;;2
K&B Synergy;;;;;;2;;2
K.D. Oskam;1;;;;;;;1
Kabelfabriek;1;;;;;;;1
Kamera Express;1;;;;;;;1
Kanaal30 Beheer;1;1;;;;;;1
Kanai;1;;;;;;;1
Kantar Netherlands B.V.;4;;;;;;;4
Kantoorinrichter B.V.;1;;;;;;;1
Karakter.TV;1;;;;;;;1
Karel tekst & advies;2;;;;;;;2
Karolien van Eck;;;;1;;;;1
Kassing Tours;1;;;;;;;1
Kasteel Duurstede;3;;;;;;;3
Kasteel Elsloo B.V.;1;;;;;;;1
Kasteel Oud-Poelgeest B.V.;1;;;;;;;1
KBenP;;;;4;;;4;5
KCM Survey B.V.;;;;;;1;;1
keesie;2;;;;;;;2
Keizer Culinair B.V.;1;;;;;;;1
Kemenade Design B.V.;1;;;;;;;1
Kennis- en Adviescentrum Dierplagen;2;;;;;;;2
Kenniscocreatie, onderzoek & advies;;;1;;;;;1
Keolis Mobilities B.V.;2;;;;;;;2
Kern Konsult B.V.;;2;1;;;;;2
Kessels & Smit, the Learning Company B.V.;;;;2;;;;2
Kesselskramer;2;;;;;;;2
KEY PERFORMANCE;;;;;;2;;2
Keypoint Consultancy;5;;;;;;;5
Kick Smeets Fotografie;1;;;;;;;1
Kiel Communicatie, Advisering en Uitvoering;;;;2;;;;2
Kienia Industriële Automatisering B.V.;2;;;;;;;2
Kieran Scannell;1;;;;;;;1
Kiwi Bird Productions;;;1;1;;;;1
Kleijn-Biel;1;;;;;;;1
Klikkesbaus;;;1;;;;;1
Klimaatverbond Nederland;2;;;;;;;2
KLM Health Services B.V.;;;1;;;;;1
Klompenmakerij Traas;1;;;;;;;1
Kloppenburg Beheer B.V.;2;;;;;;;2
KLRWKKR;1;;;;;;;1
Knocom B.V.;1;;;;;;;1
Knowledge Infrastructure S.L.;2;;;;;;;2
Koen Communicatie & Advies;1;;;;;;;1
Koenders Instruments B.V.;;2;;;;;;2
Koken-op-maat;1;;;;;;;1
Komana Project- en Interimmanagement;3;;;;;;;3
Kon. Nederlands Aardrijkskundig Genootschap;2;;;;;;;2
Koninkl. Nederl. Verenig. voor Luchtvaart;1;;;;;;;1
KONINKLIJK BELGISCH INSTITUUT VOOR;2;;3;;;;;3
Koninklijk Instituut van Ingenieurs;1;1;;;;;;1
Koninklijk NIOZ;2;;;;;;;2
Koninklijke Roeiers Vereeniging Eendracht;;2;;;;;;2
Koninkx Coaching en Marketing;;1;;;;;;1
Kop Beveiliging B.V.;;;1;;;;;1
kopconsult;2;;;;;;;2
Kornelis Blok Sustainable Energy;1;;;;;;;1
Korstmos;;;;;;1;;1
Korte Poten 1-3 B.V.;1;;;;;;;1
Kotteman B.V.;1;;1;;;;;2
Koud-Buffetservice 2000;1;;;;;;;1
KPMG Advisory N.V.;1;3;;;;2;;4
KPMG Audit;3;;;;;;;3
KPMG Columbus B.V.;2;;1;;;;;2
KPN B.V.;2;;;;;5;;5
KPN Consulting B.V.;2;;;;;;;2
KPN Corporate Market;6;;;;;;;6
KPN Mobile International B.V.;;;;;;2;;2
Kris Kras Design B.V.;3;;2;;;;;4
Krishna Vilas group of restaurants B.V.;1;;;;;;;1
KVS & PARTNERS;2;;;;;;;2
Kwaraat B.V.;7;;;;;;;7
Kwink Groep B.V.;3;3;;;;;;4
KWR Water B.V.;3;;;;;;;3
La Place Food B.V.;1;;;;;;;1
Ladybuq;2;;;;;;;2
Lagerweij & Partner Consultants B.V.;;;;1;;;;1
Lambda Advisering B.V.;2;;;;;;;2
LANDESHAUPTKASSE BREMEN;;4;;;;;;4
Langedijk Finance & Control;1;;;;;;;1
Langenhuizen & Portier Adviesbureau V.O.F.;;1;;;;;;1
Lapoutre;3;;;;;;;3
Larssen Advies;;;2;;;;;2
Latijnhouwers Media en Communicatie;1;;;;;;;1
LBOMS Consulting;;;1;;;;;1
LBP Sight B.V.;3;;;;;;;3
Le Far West - Landschapsarchitectuur;2;;;;;;;2
Le Strasbourg;2;;;;;;;2
LE:EN Restaurant B.V.;1;;;;;;;1
Leene Communicatie;;;1;;;;;1
Legal Infra B.V.;;;;;;1;;1
Legis Advies;1;;;;;;;1
Len Middelbeek Communicatie Support;1;;;;;;;1
Lengkeek B.V.;;;;;1;;;1
Leo Ringelberg Touringcars;1;;;;;;;1
Leren Filosoferen;;;;1;;;;1
Let's Cook Together;1;;;;;;;1
Leusink Advies B.V.;2;;;;;;;2
Level 5 Group B.V.;;;1;;;;;1
Leveroij B.V.;;1;;;;;;1
Lexenzo;2;;;;;;;2
Libra Revalidatie & Audiologie;;1;;;;;;1
Life Impact Company;2;;;;;;;2
LifeGuard Health Services B.V.;1;;;;;;;1
Lijm & Cultuur B.V.;2;;;;;;;2
Lijn43;2;;;;;;;2
LiveOnlineEvents B.V.;;;1;;;;;1
Livewords;2;;;;;;;2
Lloyd's Register Nederland B.V.;2;;;;;;1;2
Lo&3Co;1;;;;;;;1
LocalFocus B.V.;1;;;;;;;1
Locatienet B.V.;5;;;;;;;5
Locus;2;;;;;;;2
Loek Weijts Illustrator;2;;;;;;;2
Loendersloot Groep B.V.;1;;;;;;;1
Logeion;;1;;;;;;1
Logilabel Nederland;;;;;;1;;1
Lotte Batelaan Art Critic and Editor;;;1;;;;;1
Louis Meulstee Photography;1;;;;;;;1
Louwenaar Communicatie Management B.V.;1;;;;;;;1
LTC, secretariele ondersteuning;;1;;;2;;;2
LTTS Advies;1;;;;;;;1
Lugdunum Hotel B.V.;1;;;;;;;1
Lumido Business Media B.V.;;1;;;;;;1
Lunchroom Figaro;1;;;;;;;1
Lute Kruid B.V.;1;;;;;;;1
Luuk Jacobs Communicatieadvies;2;;;;;;;2
Luxury Airport Services;1;;;;;;;1
Lyreco Nederland B.V.;1;;;;;;;1
M 4 CONSULT APS;2;;2;;;;;2
M.L. Blokland Advisory B.V.;2;;;;;;;2
M.L. Blokland Management Consultancy B.V.;1;;;;;;;1
M+P, raadgevende ingenieurs B.V.;4;;;;;;;4
M3 Consultancy B.V.;5;;4;;;;;5
MAAS ALLIANCE AISBL SECRETARIAT;1;;;;;;;1
Maatschap voor Communicatie;1;;;3;;;;4
Mackworth Associates Ltd;1;;;;;;;1
Madenco B.V.;2;;;;;;;2
Madurodam B.V.;;1;;;;;;1
Magneet Grafische Communicatie B.V.;1;;;;;;;1
Mainnovation B.V.;1;;;;;;;1
Mainpress B.V.;1;;;;;;;1
Makerere University;2;;;;;;;2
Maltha Sport;1;;;;;;;1
Management Producties B.V.;1;;;;;;;1
Manege en Hengstenhouderij Zilfia B.V.;;1;;;;;;1
Mango International B.V.;2;;;;;;;2
Mannen met plannen;2;;;;;;;2
ManpowerGroup Solutions B.V.;;;2;1;;;;2
Manutan B.V.;;1;;;;;;1
MAP traffic management B.V.;3;;;;;;;3
Mapsup;1;;;;;;;1
Mara Verduin communicatie, onderz. en advies;;;1;;;;;1
Marcelien, Media & Presentatie;4;;;;;;;4
Marco Polo Ortigas Manila;1;;;;;;;1
Marcus Evans (Holland) Limited;1;;;;;;;1
Mare Holland B.V.;2;;;;;;;2
Marieke Bos Tekstproducties;1;;;;;;;1
Márion Reizen;1;;;;;;;1
Maritiem Museum Rotterdam;1;;;;;;;1
Marstrat B.V.;4;;;;;;;4
Martel GmbH;2;;;;;;;2
Martijn Beekman Fotografie;1;;1;;;;;1
Martijn de Loor - Organisatiecoaching;1;;;;;;;1
Martine Maes Interventures;;1;;;;;;1
MATHAN;1;;;;;;;1
Matribu BV;1;;;;;;;1
Matrixian Group B.V.;2;;;;;;;2
Mauritshuis;1;;;;;;;1
Maverick;1;;1;;;;;1
MAX PLANCK GESELLSCHAFT ZUR FORDERU;;3;;;;;;3
Maxia Consultancy B.V.;2;;2;;;;;3
Maxilia B.V.;1;;;;;;;1
MAX-PLANCK-SOCIETY FOR ADVANCEMENT;;3;;;;;;3
MCI BENELUX SA;1;;;;;;;1
McKinsey & Company Netherlands;;5;;;;;;5
MCMULLIN-SOKOLOV GROUP EOOD;2;;;;;;;2
MD Communicatie;2;;;;;;;2
MDPI AG;1;;;;;;;1
media971 FZ-LLC;4;;;;;;;4
Mediavrouw;;;;1;;;;1
Medilingua;2;;;;;;;2
Meelfabriek Zijlstroom B.V.;1;;;;;;;1
Meet & Connect 's-Hertogenbosch B.V.;1;;;;;;;1
Meeting at Home;;1;;;;;;1
Meeting Circle Maarssen;1;;;;;;;1
Meeting Plaza Utrecht B.V.;2;;;;;;;2
Meetingselect B.V.;6;2;1;;;;2;6
MEEUS - TIELENS LOOPBAANADV;1;1;;;;;;1
Melkmeisje B.V.;1;;;;;;;1
Meltwater The Netherlands B.V.;1;;;;;;;1
Meneer Frans B.V.;1;;;;;;;1
Mensely B.V.;;;2;;;;;2
Mercure Den Haag Central;1;;;;;;;1
Metabolic B.V.;2;;;;;;;2
Metabolic Coöperatief UA;1;;;;;;;1
METEO FRANCE AGENCE COMPTABLE SECON;;2;;;;;;2
METEOSWISS;;1;;;;;;1
MetrixLab B.V.;2;;;;;;;2
Mett;2;;;;;;;2
Meuwissen Advies B.V.;;;2;;;;;2
MGV Event Service B.V.;1;;;;;;;1
MH Design Marco Haas;1;;;;;;;1
Middin;1;;;;;;;1
Mies/Tekst en Training;;;1;1;;;;1
Mijs Cartografie en Vormgeving;2;;;;;;;2
Miljura;3;;;;;;;3
Millers;1;1;;;;;;1
Millers Launch Inc;1;;;;;;;1
Mind at Work B.V.;;1;;;;;;1
Missing Chapter Foundation;;2;;;;;;2
Mittendorff Consultancy;;;1;;;;;1
MJA Advies;2;;;;;;;2
MKB Punt;;;1;;;;;1
MLA+ B.V.;2;;;;;;;2
Mobiele TV Nederland B.V.;3;;;;;;;3
Mobiliteitsfabriek B.V.;2;;;;;;;2
Mobility Concept B.V.;2;;;;;;;2
MOBILLION DEUTSCHLAND GMBH;2;;;;;;;2
Mobycon B.V.;2;;;;;;;2
Modelit;1;;;;;;;1
MODINT Ond.org. mode, inter, tapijt & textiel;2;;;;;;;2
Moduli Print B.V.;1;;;;;;;1
Molen De Ster;1;;;;;;;1
monetprojects;1;;;;;;;1
Monotch B.V.;4;;;;;;;4
Mooijontwerp;1;;;;;;;1
Moolenaar Fotografie;1;;;;;;;1
moovel Group GmbH;1;;;;;;;1
More Balls Than Most B.V.;;;;1;;;;1
Mostert Consult. Creativity/Innov. Management;;1;;;;;;1
Motivaction International B.V.;3;;2;;;;;3
Mountain Coaching;1;;;;;;;1
Movares Nederland B.V.;7;;4;;;;;7
Move advies;1;;;;;;;1
Move Mobility B.V.;2;;;;;;;2
Movida Transport Solutions;2;;;;;;;2
Muconsult B.V.;6;;;;;;;6
Multi Flora;1;;;;;;;1
Multicom B.V.;2;;;;;;;2
Murphy's Law;1;;;;;;;1
Museum Beelden aan Zee;1;;;;;;;1
Must Stedebouw B.V.;5;;;;;;;5
Muziekcafé de Paraplu;1;;;;;;;1
Mwee beeld licht geluid;;1;;;;;;1
MyGuard B.V.;2;;;;;;;2
Myrthe Veeneman en Marjolein Vermeulen/M.V.;;1;;;;;;1
N.V. Deventer Schouwburg;2;;;;;;;2
N.V. Economische Impuls Zeeland;2;;;;;;;2
N.V. Golf Exploitatie Mij. Schipluiden (GEMS);;1;;;;;;1
N.V. Nederlandse Spoorwegen;6;;;;;;;6
Nachtlab Agency B.V.;2;;;;;;;2
Naeff Consult B.V.;3;;;;;;;3
nai010 uitgevers/publishers;1;;;;;;;1
NAK;;;1;;;;;1
nathanbosch.nl;;;;1;;;;1
Nationale Beeldbank B.V.;1;;;;;;;1
