Leveranciers;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Mahanakorn B.V.;;;1;;;;;1
Maison de la Foret;;;1;;;;;1
MaJe 2015 B.V.;;;1;;;;;1
Management Drives Holding B.V.;;;;;1;;;1
Mango International B.V.;;2;;;;;;2
Mannen met plannen;;1;;;;;;1
Marcel Hammink Media;;;;;2;;;2
Marcel Uljee Teksten;;1;;;;;;1
Mareconsult;;;;;1;;;1
Margriet Bloembinders;;;2;;;;;2
Maria Henneman Media Management B.V.;;;;;1;;;1
Marieke Communiceert;;1;;;;;;1
MARIN Asia B.V.;;2;;;;;;2
MarktOnderzoekAssociatie.nl;;;;;1;;;1
Martine van den Bosch B.V.;;;;;1;;;1
Massage in Bedrijf;;1;;;;;;1
Master it Training B.V.;;;;;1;;;1
Mauritshuis;;;1;;;1;;1
MBO DIENSTEN;;;;;1;;;1
Me Gusta! Zonnige eetwaren;;;1;;;;;1
Meander Medisch Centrum;;;1;;;;;1
MedEduca;;;;;1;;;1
Medi Totaal B.V.;;;1;;;;;1
Media Business Press B.V.;;;;;1;;;1
Mediavision B.V.;;;;;1;;;1
Mediavrouw;;;;;1;;;1
Medilex B.V.;;;;;1;;;1
MedLawConsult;;2;;;;;;2
Mélange Entertainment;;;1;;;;;1
Merkwerk Utrecht B.V.;;1;;;;;;1
Merlijn B.V.;;;;;1;;;1
METS Center B.V.;;;;;1;;;1
Meyburg;;1;;;;;;1
Michiel Jongsma;;;1;;1;;;1
Middin;;;1;;;;;1
Mieke Posthumus;;;;;2;;;2
Mikrocentrum Activiteiten B.V.;;;;;1;;;1
Millers;;;1;;;;;1
Mindful Leven en Werken;;2;1;;;;;2
Mister Rotterdam;;;1;;;;;1
Mitopics B.V.;;2;;;;;;2
MIX B.V.;;;;;2;;;2
MM Visagie;;;1;;;;;1
Mobility Mixx B.V.;;;;;;;7;7
Momo Consultancy en Interimmanagement B.V.;;;;;1;;;1
Mooii Eten & Drinken B.V.;;;1;;;;;1
Multigift Relatiegeschenken B.V.;;;1;;;;;1
Multiply-it;;;;;1;;;1
Museum Catering B.V.;;;1;;;;;1
N.B.C. Exploitatie B.V.;;;1;;;;;1
N.V. Koninklijke Porceleyne Fles;;;1;;;;;1
N.V. Luchthaven Schiphol;;;2;;;;1;2
N.V. Nederlandsch Octrooibureau;;1;;;;;;1
National Instruments Netherlands B.V.;;;;;1;;;1
Natuurlijk in je kracht;;1;;;1;;;1
Navigatiestemmen.nl;;;1;;;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;2
Nederlands Debat Instituut Holding B.V.;;;;;1;;;1
Nederlandse Internisten Vereniging;;;;;1;;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;;;3;;;3
Nederlandse Sociologische Vereniging;;;;;1;;;1
Nederlandse Stichting Geluidshinder;;;;;1;;;1
Nederlandse Vereniging voor Heelkunde;;;;;1;;;1
Nederlandse Vereniging voor Inkoopmanagement;;;;;1;;;1
Nederlandse Vereniging voor Stralingshygiene;;;;1;1;;;1
Nederlandse Vereniging voor Toxicologie;;;;1;1;;;1
NEDFAC B.V.;;;;;2;;;2
Negometrix B.V.;;;;;1;;;1
NelissenConsulting B.V.;;;;;2;;;2
Nestas Communicatie B.V.;;;;;1;;;1
Nevi Opleidingen B.V.;;;;;1;;;1
New Babylon Meeting Center B.V.;;;1;;;;;1
Newpublic B.V.;;1;;;;;;1
NH Groningen;;;;;;;1;1
Nieuwhuis Consult B.V.;;2;;;;;;2
Nieuwland Automatisering;;;;;1;;;1
Niow;;;;;1;;;1
NIZO food research B.V.;;;;;1;;;1
Novotel Den Haag;;;1;;;;1;1
NRC Handelsblad Weekeditie voor buitenland;;;;1;1;;;1
NS Reizigers B.V.;;;;;;;2;2
Nyenrode Services B.V.;;;;;1;;;1
OCA Haaglanden B.V.;1;;;;;;;1
Odyssee Holding;;;;;1;;;1
OKTOBER in huis;;;1;;;;;1
OmnicomMediaGroup Nederland B.V.;;;;;1;;;1
Onderhandelwijzer;;;;;2;;;2
Oosterkamp Training - Consultancy;;1;;;;;;1
Op Koers;;;;;1;;;1
Opleidingscentrum Haaglanden B.V.;;;;;1;;;1
Orange5 Catering & Events B.V.;;;1;;;;;1
Ordina Technologie & Competenties B.V.;;5;;;;;;5
Organisatieregie B.V.;;;;;1;;;1
Org-idee;;1;;;;;;1
Original Tours & Activities Nederland B.V.;;;1;;;;;1
OSR Juridische Opleidingen B.V.;;;;;1;;;1
Oudaen B.V.;;;1;;;;;1
Oudshoorn Bloemen;;;1;;;;;1
Overwijk Koffiesystemen Midden-Nederland B.V.;;;1;;;;;1
Oxforthe Change;;1;;;;;;1
P&S Entertainment;;;1;;;;;1
P.H. Schouten, Bestuursadviseurs B.V.;;;;;2;;;2
P.W. Akkerman B.V.;;;1;;;;;1
P2 Ontwikkeling B.V.;;;;;1;;;1
Paapstvandam B.V.;;;1;;1;;;1
Paardenveld Vastgoed B.V.;;;;;;;1;1
Pageshuis B.V.;;;1;;;;;1
Pantem B.V.;;;1;;;;;1
Parnassia Groep;;;;;1;;;1
Partners in Cultuur en Beleving B.V.;;;1;;;;;1
PCO Kennis B.V.;;;;;1;;;1
PDS Interseco B.V.;;;;;1;;;1
Pelster's Handelsonderneming B.V.;;;1;;;;;1
Performa Uitgeverij B.V.;;1;;;;;;1
PerkinElmer Nederland B.V.;;;;;1;;;1
Phaos Advies B.V.;;1;;;2;;1;2
Phaos Opleidingen B.V.;;;;;1;;;1
Pharmamediair Flex B.V.;1;;;;;;;1
Pharmatech Training B.V.;;;;;1;;;1
Philips Medical Systems Nederland B.V.;;2;;;;;;2
Phoenix Opleidingen;;;;;1;;;1
Piet Claeys Counseling;;;;;1;;;1
Pink Pepper;1;;;;;;;1
Pink Pepper Utrecht B.V.;;;1;;;;;1
Pinkcube B.V.;;;1;;;;;1
Pizzeria Pinocchio;;;1;;;;;1
Planon B.V.;;1;;;1;;;1
Plus Quaedvlieg B.V.;;;;;;1;;1
Pop-up Fun B.V.;;;1;;;;;1
POSG Professionals B.V.;;;;4;;;;4
Positief Gezond;;2;;;;;;2
Postdoc Career Development Forum B.V.;;;;;1;;;1
Postillion Hotels B.V.;;;1;;;;;1
Pouw Vervoer B.V.;;;2;;;;1;2
Pragmavision B.V.;;;;;1;;;1
Prakt. v. haptother. N. van Berkel-Hellemans;;;;1;1;;;1
Praktijk Maud Soeters;;1;;;;;;1
Prelum Uitgevers B.V.;;;1;;;;;1
Prijzenshop B.V.;1;;;;;;;1
Proeflocaal Het Achterom B.V.;;;1;;;;;1
Project Leadership Academy;;;;;1;;;1
Projectil;;1;;;;;;1
Prokwadraat;;;1;;;;;1
Promo De l'Eau;;;1;;;;;1
Promopodium B.V.;1;;1;;;;;1
Promotional Printing;;;1;;;;;1
PRONTO PRONTO;;;1;;;;;1
Prowareness Academy B.V.;;;;;1;;;1
Public Support & More B.V.;;;;;1;;;1
Public Support Groep B.V.;;;;;1;;;1
PuDiDu;;;1;;;;;1
Puur Amsterdam;;;1;;;;;1
QAducation;;;;;1;;;1
Qiagen Benelux B.V.;;;;;1;;;1
QO Storm Utrecht B.V.;;;1;;;;;1
Q-Park Beheer B.V.;;;;;;;2;2
Q-Park Operations Netherlands I B.V.;;;;;;;1;1
Qsn Quality Services Network B.V.;;;;;1;;;1
Q-Tips B.V.;;2;;;;;;2
Quintessence HealthCare B.V.;;;;;1;;;1
QuoVadis Trustlink B.V.;;1;;;;;;1
R.E. Pera;;;;;1;;;1
Raatwerk B.V.;;1;;;;;;1
Rae Benelux B.V.;;;;;1;;;1
Randstad HR Solutions;;1;;1;;;;1
Randstad Professionals B.V.;;;;1;;;;1
Raps B.V.;;;;;1;;;1
RAV Hollands Midden;;1;;;;;;1
Reed Business B.V.;;;;;2;;;2
Regiokantoor thuiszorg Heerenveen;;;;;1;;;1
Regus;;;;;;1;1;1
Reinaerde;;;1;;;;;1
Reinoud van Rooij Trainingen;;;;;1;;;1
Relatics B.V.;;;;;1;;;1
Relatiegeschenken.nl B.V.;;;1;;;;;1
Remyx;;1;;;;;;1
Rene Verleg Fotografie;;;1;;;;;1
Resilience+ Coöperatie UA;;;;;1;;;1
Restaurant Aan Zee Oostvoorne;;;1;;;;;1
Restaurant Alexander;;;1;;;;;1
Restaurant Algarve;;;1;;;;;1
Restaurant Breughel B.V.;;;1;;;;;1
Restaurant De Bank B.V.;;;1;;;;;1
Restaurant De Basiliek B.V.;;;1;;;1;;1
Restaurant De Ripper;;;1;;;;;1
Restaurant De Stadstuyn;;;1;;;;;1
Restaurant Golden Plate;;;1;;;;;1
Restaurant Maxime V.O.F.;;;1;;;;;1
Restaurant Meneer Buscourr;;;1;;;;;1
Restaurant Opium Utrecht B.V.;;;1;;;;;1
Restaurant Pastis B.V.;;;1;;;;;1
Restaurant San Siro;;;1;;;;;1
Restaurant Toque Toque;;;1;;;;;1
Resto VanHarte;;;1;;;;;1
Reynaarde Talentontwikkeling;;;;;1;;;1
Rhumbline Consultancy B.V.;;3;;;;;1;3
Rigo Research en Advies B.V.;;3;;;;;;3
Ristorante Trattoria Impero Romano;;;1;;;;;1
ROHDE & GRAHL B.V.;;1;;;;;;1
ROI B.V.;;;;;2;;;2
Rond Je Stem;;;;;1;;;1
Rotterdam Business Events B.V.;;;1;;;;;1
RuimTeUtrecht B.V.;;1;;;;;;1
S.E. Booij Consultancy;;;;;1;;;1
S.s.b. Nijmegen&C.g. De Vereeniging Hor. B.V.;;;1;;;;;1
SAAM Communicatie;;;;1;1;;;1
SAB CATERING B.V.;;;1;;;;;1
Salc B.V.;;;;;1;;;1
Saline Advies B.V.;;;;;2;;;2
Sallo's Catering & Organisatie;;;1;;;;;1
Sancy Tres B.V.;;;1;;;;;1
Sandwich Expresse V.O.F.;;;1;;;;;1
Santé Horeca Beheer B.V.;;;1;;;;;1
Sardes B.V.;;1;;;;;;1
Scem Conference Services;;;;;1;;;1
Schaap Advocaten en Notarissen;;;1;;;;;1
Scheidegger Opleidingen B.V.;;;;;1;;;1
Schilperoord Packaging Consultancy;;;;;1;;;1
Schoevers Trainingen B.V.;;;;;1;;;1
Scholten Awater B.V.;;;;;1;;;1
Schouten & Nelissen Nederland B.V.;;1;;;2;;;2
Schuttelaar Delicatessen Wijnen;;;1;;;;;1
ScienceWorks B.V.;;;;;1;;;1
Scil For Your Skills;;;;;1;;;1
scrum4gov;;;;;2;;;2
Sdu Uitgevers B.V.;;;;;1;;;1
SEE YOU AT NOON;;;1;;;;;1
Selian;;;;;1;;;1
Sengupta B.V.;;;;;;;1;1
SENS Adviseurs;;;1;;;;;1
Sense Organisatie & Coaching B.V.;;;;;1;;;1
SensusYoga;;;;;1;;;1
Shake It;1;;;;;;;1
Siemens Nederland N.V.;;;;;1;;;1
Significant B.V.;;1;;;;;;1
SineFuma B.V.;;;;;1;;;1
SIR Holding B.V.;;;;;2;;;2
SIR Instit. for Pharmacy Practice & Policy;;;;;1;;;1
Slagerij R.A.M. van der Zalm;;;1;;;;;1
SNR Schouten & Nelissen Recovery B.V.;;;;;2;;;2
Sodexo B.V.;;;1;;;;;1
Sogeti Nederland B.V.;;3;;;;;;3
SolBeach;;;1;;;;;1
Solexverhuur Utrecht;;;1;;;;;1
Space & Cartoon Safari;;;1;;;;;1
Sparkling;;;1;;;;;1
SPARQ;;;;;1;;;1
Speakers Academy Special Projects B.V.;;;1;;;;;1
Specialiteitenhuys Hulsebosch;;;1;;;;;1
Speechless;;;;;1;;;1
's-Peer Catering;;;1;;;;;1
SPITZ congres & event B.V.;;;4;;1;;;4
SpiZe B.V.;;;1;;;;;1
Sportcentrum Oudenrijn B.V.;;;1;;;;;1
Sporttainment Center De Uithof B.V.;;;2;;;;;2
Stadscafé De Observant;;;1;;;;;1
Stads-Koffyhuis;;;1;;;;;1
Stadstaxi Rotterdam Mobiliteit;;;1;;;;;1
Start People;1;;;1;;;;1
Steenbrink Training & Coaching;;;;1;1;;;1
STEK;;;;;1;;;1
Stg. Beh. Derdengeld. Arnold & Siedsma Advoc.;;2;;;;;;2
'Stg. Bev. Informatiek. Gezondheidsz. Nederl.;;;;;1;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;1;;1;;;1
Stg. Centra Integrale Reval./Arb.activ. Ned.;;1;;;;;;1
Stg. Desk.hdsbev./Ond. Kw.bel. Ha.pr. Nw-Ned.;;;;;1;;;1
Stg. Fds. voor het Dove en Slechthorende Kind;;2;;;;;;2
Stg. Huis a/d Werf/Festiv. a/d Werf: Product.;;;;;1;;;1
Stg. PostAcademisch Onderw. Techniek en Man.;;;;;1;;;1
Stg. Postdoctor. Opl. Inf. en Management;;;;;1;;;1
Stg. Sioo, Int.univ. Centr. Veranderkunde;;;;;1;;;1
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;;;;;1;;;1
Sticht. Bevordering Veiligheid en Integriteit;;;;;1;;;1
Sticht. Netw. Manag. en Kwalit.zorg bij Gem.;;;;;1;;;1
Sticht. ROI v/h het Rijks Opleidingsinstituut;;;;;1;;;1
Stichting 1001-Vrouwen;;;1;;;;;1
Stichting Accessibility;;2;;;1;;;2
Stichting Alliantie Nederland Rookvrij!;;;;;1;;;1
Stichting Boogh;;;;1;1;;;1
Stichting Centerdata;;1;;;;;;1
Stichting de Onthaasting;;;1;;;;;1
Stichting De Ooievaart;;;1;;;;;1
Stichting Den Haag Marketing;;;5;;;;;5
'Stichting Diabetes Fonds';;;;;;;1;1
Stichting Domplein 2013;;;1;;1;;;1
Stichting Duister Den Haag;;;1;;;;;1
Stichting Educatie Zorg & Welzijn;;;;;1;;;1
Stichting e-hulp.nl;;1;;;;;;1
Stichting EPH Conference;;;;;1;;;1
Stichting Exploitatie 'Pulchri Studio';;;1;;;;;1
Stichting Glazen Restaurant;;;;;;1;;1
Stichting GO º;;;;;1;;;1
Stichting Het Dolhuys;;;1;;;;;1
Stichting Hoger Beroepsonderwijs Haaglanden;;;;;1;;;1
Stichting Hogeschool Leiden;;;;;1;;;1
Stichting Initiatiefgroep Hl7 Nederland;;;;;1;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;2;;;;;2
Stichting IRun2BFit;;1;;;;;;1
Stichting Iza Kassandra;;;1;;;;;1
Stichting Jonge Ambtenaren;;;;;1;;;1
Stichting Karakter/Denkkracht;;;1;;;;;1
Stichting Leren en Activeren Groep;;;1;;;;;1
Stichting Microbiele Typering;;;;;1;;;1
Stichting MOVISIE;;;;;1;;;1
Stichting Musea en Herinneringscentra 40-45;;;;;1;;;1
Stichting muZIEum 2012;;;1;;;;;1
Stichting MVO Nederland;;;;;1;;;1
Stichting Nationale Herdenking Joure;;;1;;;;;1
Stichting Nederlands Spoorwegmuseum;;;1;;;;;1
Stichting Nieuw Leiden;;;1;;;;;1
Stichting Palm;;;;;1;;;1
Stichting Pharos;;1;;;;;;1
Stichting Present Den Haag;;;1;;;;;1
Stichting Regiocultuurcentrum Idea;;;;;1;;;1
Stichting SBOH;;2;;;;;;2
Stichting Sekondant;;;1;;;;;1
Stichting SOD-Opleidingen;;;;;1;;;1
Stichting STBN;;;;;1;;;1
Stichting Sympopna;;;;;1;;;1
Stichting Tassenmuseum Hendrikje;;;1;;;;;1
Stichting ter Ondersteuning Nebasnsg;;1;;;;;;1
Stichting Theater aan het Spui;;;1;;;;;1
Stichting Toerisme Utrecht;;;3;;;;;3
Stichting Vrijwilligerscentrale Haarlem;;;1;;;;;1
Stichting Werk aan de Linie;;;1;;;;;1
Stichting World Healthcare Forum;;;;;1;;;1
Stokes Consult;;1;;;;;;1
Strandclub DOEN!;;;1;;;;;1
Strandpaviljoen Buiten B.V.;;;1;;;;;1
Strandpaviljoen 'Escubelle';;;1;;;;;1
Strandpaviljoen Thalassa B.V.;;;1;;;;;1
Street-Wear Jeans & Casuals;;;1;;;;;1
STT-Produkties V.O.F.;;;;;1;;;1
StudieArena Zorg en Wonen;;;;;1;;;1
Studio Dorigo;;1;;;;;;1
Sui Sha Ya B.V.;;;1;;;;;1
Sumo Den Haag II B.V.;;;1;;;;;1
Superfun B.V.;;;1;;;;;1
SURFnet B.V.;;;;;1;;;1
Sushi Today Utrecht B.V.;;;1;;;;;1
SVDC;;;;;1;;;1
Synspec B.V.;;;;;1;;;1
Sysqa B.V.;;;;;2;;;2
't Goude Hooft Exploitatie B.V.;;;1;;;;;1
T&T Compet&t.b.v.;;1;;;;;;1
T11 Company B.V.;;;;;1;;;1
Taalnetwerk;;;;;1;;;1
Taartenwinkel.nl B.V.;;;1;;;;;1
Tabasco;;;1;;;;;1
Taleninstituut Nederland;;;;;1;;;1
Talent in Progress;;;;1;1;;;1
Tanja Jans Online Communicatie Advies;;;;;1;;;1
Taoïstische Tai Chi Vereniging Nederland;;;;;1;;;1
Taste Amsterdam B.V.;;;1;;;;;1
Taveerne De Resident;;;1;;;;;1
Taxi De Heer B.V.;;;;;;;1;1
Taxicentrale Den Haag;;;1;;;;;1
TB Brandveiligheid;;;;;1;;;1
TB EVENTS;;;1;;;;;1
Teamacademy B.V.;;;;;2;;;2
Tecan Benelux B.V.B.A.;;;;;1;;;1
Tech Data Nederland B.V.;;;;;;;1;1
Teylers Museum;;;1;;;;;1
Tezet Business Gifts B.V.;1;;1;;;;;1
The Associate, Coaching & Consultancy;;;;;1;;;1
The COW Company B.V.;;;1;;;;;1
The Curious Network;;;;;1;;;1
The Leadership Company B.V.;;;;;3;;;3
The Paulich Company;1;;;;;;;1
The Twins B.V.;;;1;;;;;1
Theehuis Rhijnauwen B.V.;;;1;;;;;1
TiasNimbas Business School;;;;;1;;;1
TIG Sports B.V.;;;1;;;;;1
Tijssen Theaterprodukties;;;;;1;;;1
Time-Lines.NL B.V.;;;;;1;;;1
TNO B.V.;;4;;;1;;;4
TNO MC Customer Management B.V.;;;;;1;;;1
Tochtstrips.nl;;;1;;;;;1
Today Designers B.V.;;2;;;;;;2
Toko Eddo B.V.;;;1;;;;;1
Toko Toet;;;1;;;;;1
Tom van Dijk;;;;;1;;;1
Ton's Muziekcafé;;;1;;;;;1
Tony's Chocolonely Nederland B.V.;;;1;;;;;1
Tony's Factory B.V.;;;1;;;;;1
Topbloemen Nederland B.V.;;;2;;;;;2
Topdesk B.V.;;;;;1;;;1
TOPdesk Nederland B.V.;;2;;;1;;;2
Topra B.V.;;;;;1;;;1
Tornak Groep B.V.;;;;;4;;;4
Tower Leisure B.V.;;;1;;;;;1
Trainspot B.V.;;;;;1;;;1
Traiteur Délicat;;;1;;;;;1
Traiteur Ritt B.V.;;;1;;;;;1
Tranq;;;;;1;;;1
Transfer Education B.V.;;;;;1;;;1
Trias;;;;;1;;;1
Troje Training en Theater;;;;;1;;;1
Tropen Advies Centrum Rotterdam;;;;;1;;;1
Twynstra Gudde;;;;;2;;;2
Tyrilo B.V.;;;1;;;;;1
U-Boot Kanoverhuur Utrecht;;;1;;;;;1
Umami Restaurant B.V.;;;1;;;;;1
Upstream B.V.;;;;;1;;;1
USG Restart B.V.;;1;;;;;;1
Utrecht City Concepts B.V.;;;1;;;;;1
Utrechtse Taxi Centrale (U.T.C.) B.V.;;;;;;;1;1
v. 'n S. Group B.V.;;;1;;;;;1
V.O.F. De Eetkamer van Scheveningen;;;1;;;;;1
V.O.F. De Sleutelkoning;;;1;;;;;1
V.O.F. Elektro-Technisch Bureau C. van Kapel;;;1;;;;;1
V.O.F. Horeca Exploitatie Het Enschedéhuis;;;1;;;;;1
V.O.F. Pharmaceutical Consult. Services PCS;;;;;1;;;1
V.O.F. Restaurant Karaf;;;1;;;;;1
Vaccinatiezorg B.V.;;1;;;;;;1
Valkenburg Trainingen;;;;;1;;;1
Van der Hilst Communicatie-Opleidingen B.V.;;;;;1;;;1
Van der Hilst Communicatie-Trainingen B.V.;;;;;1;;;1
Van der Linde Holding B.V.;;;1;;;;;1
Van der Meijden de Goede B.V.;;;1;;;;;1
Van der Valk Hotels B.V.;;;1;;;;1;1
Van Elteren Food;;;1;;;;;1
Van Harte & Lingsma Manag. en Organis. B.V.;;;;;2;;;2
Van Kleef & Partners B.V.;;;;2;;;;2
Van Laar catering B.V.;;;1;;;;;1
Van Rooijen Catering;;;1;;;;;1
Van Swinden Laboratorium;;2;;;;;;2
Var, Vereniging voor Bestuursrecht;;;;;1;;;1
VCD IT Groep B.V.;;;1;;;;;1
VCK Travel B.V.;;;;;;;7;7
Veer Stichting;;;;;1;;;1
Veilingmeester B.V.;1;;1;;;;;1
Veldhuis Opleidingsadvies;;;;;1;;;1
Ver. Landel. Sam.werk.verband Act. Bewoners;;;;;1;;;1
Ver. Samenw.verb. Chron. Ademhal.ond.;;;;;1;;;1
Verbeter B.V.;;2;;;;;;2
Vereniging Farma en Recht;;;1;;;;;1
Vereniging van Milieuprofessionals;;;;;1;;;1
Vereniging voor Bestuurskunde;;;;;1;;;1
Vereniging voor Familie- en Jeugdrecht;;;;;1;;;1
Vereniging voor Gezondheidsrecht;;;;;1;;;1
Vergadercentrum Domus Medica B.V.;;2;;;;;;2
Vergouwen Overduin B.V.;;;;;2;;;2
Vermaat Leisure B.V.;;;1;;;;;1
Verpleegkundigen & Verzorgenden Nederland;;;;;1;;;1
Verploegen & Vossenberg Training Coach. Int.;;;;;1;;;1
Very Italian Pizza B.V.;;;;;;1;;1
Vicrea Solutions B.V.;;1;;;;;;1
Vijverberg Juristen B.V.;;;;;1;;;1
Virology Education B.V.;;;;;1;;;1
Vis en Meer B.V.;;;1;;;;;1
VistaNova B.V.;;;;;1;;;1
Visumdienst India;;;;;;;1;1
VitalSmarts Benelux;;;;;1;;;1
Vitamine en Zo;;;;;;2;;2
Vitrum;;2;;;;;;2
V-Kam Education B.V.;;;;;1;;;1
Vlieger Special Packaging B.V.;;;1;;;;;1
Vocale Communicatie Training Elizabeth Ebbink;;;;;1;;;1
Voor Claar B.V.;;;1;;;;;1
Voorzet Arbeid;1;;;;;;;1
Voster Events B.V.;;;;;1;;1;1
VostokMedia;;;;1;1;;;1
Vreugdetours B.V.;;;1;;;;1;1
Vuurland Produkties P.A.;;;1;;;;;1
VVV Business B.V.;;;1;;;;;1
Wat is Wijsheid.nu;;;;1;;;;1
Webo Promotion B.V.;;;1;;;;;1
WeCreate Events;;;;;;2;;2
WEKA Business Media B.V.;;;;;1;;;1
Wens Reizen B.V.;;;;;1;;;1
Wereldbusiness B.V.;;;1;;;;;1
Werfkelder Verhuur Utrecht;;;1;;;;;1
Westpoort;;;1;;;;;1
Whisky- en Wijnhandel Verhaar;;;1;;;;;1
Wildlifepresent;;;1;;;;;1
Willy's Snackbar;;;1;;;;;1
Win Advies, Inkoop en Organisatie;;;;;1;;;1
Witte Ballons B.V.;1;;1;;;;;1
Wokrestaurant Taste of Asia;;;1;;;;;1
Woudschoten Conferentiecentrum B.V.;;;;;1;;1;1
WRKSHOP;;;1;;;;;1
Xerox Services B.V.;1;;;;;;;1
Yakimono;;;1;;;;;1
Yellowpharma B.V.;;1;;;;;;1
YK Amsterdam B.V.;;;1;;;;;1
Yoghurt Barn B.V.;1;;;;;;;1
Yumca B.V.;1;;;;;;;1
Zandacademie Zoetermeer B.V.;;;1;;;;;1
Zanders Consulting & Training B.V.;;;;;1;;;1
Zebedeus Café-Restaurant;;;1;;;;;1
Zinnige Zaken;;;1;;;;;1
ZorgmarktAdvies;;;;;2;;;2
Zorgverzekeraars Nederland;1;;;;1;;;2
ZorgVuldig Advies;;3;;;;;;3
Eindtotaal;3;7;7;5;7;3;7;9
