Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
Adoptiepraktijk Vinke;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Adoptiestichting A New Way;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adorabel;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Adrenna B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Adriaanse van der Weel Advocaten;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ADT Advocaten;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adv. en Evenementen Organisatiebureau Jerrink;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1;2
Adv.grp. voor Org. Psychologie (AVOP) B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adv.kant. Distelplein Stg. Beh. Derdengeld.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advast Real Estate Office Support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Adveniat Geloofseducatie B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Adventure King B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advies bij Arbeid B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advies-, Tolk-, Vertaalbureau (ATV Bureau);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adviesbureau Atim B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Adviesbureau Hollander en van der Mey B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;3
Adviesbureau Kap B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adviesbureau Movement;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adviesbureau Planplan;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;1
Adviesbureau Reit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Adviesbureau Skandara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adviesbureau Van Montfoort B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;2
Adviesgroep voor Kantoorinnovatie AVK B.V.;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AdviSum, de rendementadviseur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocaat M.E.M. Jacquemard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocaten Amsterdam Noord;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Advocaten Willemstraat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatencollectief Trias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Alaca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Amsterdam Legal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Baggen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Baken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Boot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Brouwer Porte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Brugman;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Bruls;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Crutzen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor De Kort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor De Praktijck;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Dekker;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Dijkgraaf B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor El Hannouche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor El Makhtari B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Fischer-Fuhler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Geraedts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Govers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Harhangi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor 'In de Praktijk';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor J. Mul;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Jangali;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Jansen & Alderlieste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Jap-A-Joe B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Advocatenkantoor Jhingoer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Kempen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Kloosterziel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Koen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Koopman;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Lammers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Loeff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Looijen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Luijendijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Mor-Yazir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor mr drs J.M. Walls B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor mr. Aboukir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Mr. Drs. R. Dhalganjansing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor mr. Joan A. Younge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor mr. S. Urcun B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor mr. T.O. Sohansingh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Mr.Dr. G.P. Dayala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Mr.J.M.L.G.de Jong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor NA de Kock;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Orhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Palm B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Peeters;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Petkovski;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Pot C.S.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor R.G.E. de Vries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Rasul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Roethof B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenkantoor Ruijsink;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Schouten Legal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Seegers & Lebouille;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Servaas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Stam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Stapert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Advocatenkantoor Starmans;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Steenbergen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Swart;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Tadema;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Tamer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Advocatenkantoor Timmer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Van Berkel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor van Dam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Van de Laar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Van der Woning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor van Veelen- De Hoop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
advocatenkantoor Vellenga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Vermeulen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Vreeken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Westerhuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Westerpark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Zuidhorn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advocatenkantoor Zuid-Oost Drenthe;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatuur mr. Loe P.M. van Erp B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ad-voice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advokatenkantoor De Groot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Advokatenkollektief Rotterdam B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
AEB opleidingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aecom V.O.F.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
AED Solutions B.V.;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;1;1
AEDcompany.nl;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Aegon Nederland N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Aeres;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aerophoto Eelde;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Aerophoto-Schiphol.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
AEVES B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Aeves Groep B.V.;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;1
Ã‰Ã©n voor Twee;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
AFC Ajax N.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Afd. Zuilen van de Kon. Ned. Ver. E.H.B.O.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Afpro Filtertechniek B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Afvalwater Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;1
AG Connect B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
AGA Color Solutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Agaath Brink;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AgapÃ©;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Agatha Producties B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Agathon Coaching & Loopbaanadvies V.O.F.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Agathos M&O;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Agbodo Workshops;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AGC Beverwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Ageeth van der Veen Journalistiek;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
AGIA Speciale Grafische Afwerking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Agile Scrum Group B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Agilent Technologies Netherlands B.V.;;;;;1;;;;;;;;;;;;;;3;;;;;;2;;;;;;;;;4;5;6
Agora catering and fine dining;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Agrifirm Plant B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;2
Agrima II B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Agrip Advies;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Agro-taverne Wijngaardshof;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aha Drukwerk;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Ahrend Nederland B.V.;;1;1;;;;;;;;;;;;;;;6;1;;;;;;;;;;1;;;;;;2;6
Aiki-Training;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ai-Opener;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Air Liquide B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Air Products Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;2
Airblast-Abrasives B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aire Wilbrink;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Airport Medical Services C.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Aisi Consultancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AJN Handelsonderneming;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AKD N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Akihito Sushi B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Akkermans Leisure & Golf;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AKL Rapporteur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AKO B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Akoestiek Comfort B.V.;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;3;;;;;;1;4
Akropolis express;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Aksaray Taxi;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aktief Overijssel B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aktiviteitencentrum Poortershoes;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aku B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Al Fayrouz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Al Mundo;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Al-Andaluz International B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alanya Kebab;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1
Albeka;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Albers B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Albert Heijn B.V.;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Albert Schweitzer Ziekenhuis, Loc. Dordwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alberts Hoveniers- en Bestratingsbedrijf B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Albert-Schweitzergroep - Scouts Troep;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Albertson & Partners C.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Albron Nederland B.V.;;;2;;1;;1;;;;;7;;;;1;;;;;;;;;;;;;;;;;;;1;7
Albyco Nederland B.V.;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;1;;;;;;;1
Alcmaria Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ALcontrol Laboratories;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Aldeneyck Juridisch advies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aldo theater met poppen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aldura Verkoop B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Alert Promotie;;;1;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;1
Alert Systems Benelux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alewijnse Utrecht;;;;;;;;;;;;;2;;;;;1;1;;;;1;;;;;;2;;;;;;2;3
Alex Aalders Bloemist;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alex Coaching Budgetbeh., Bew.voer. en Curat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alexander Gout, training en coaching;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alexandra Bruins-Willig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alfa Glas B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
Alfabeta Tekst & Training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alfa-college, locatie Leek;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alfun Verhuur B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Alga B.V.;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
Algeco B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Algemeen Christelijke Politiebond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Algemeen Octrooi- en Merkenbureau B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Algemene Amersfoortse Glaswacht B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
Algemene Brandstoffen Compagnie Tilburg B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Algemene Doopsgezinde Soci�teit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Algemene Stichting Horeca Onderwijs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ali Hammo Vertaler;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aliquis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Alkaram B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1
Alkema | Vloet | Kuijpers Gerechtsdeurw.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Alkemade Forensic Reasoning (AFR);;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alkmaarse Glashandel De Kroon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Alkondor Innovatie B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
All American Imports B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
All Cartoons Holland;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
All Dent B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1
All In Verhuur B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
All Tactical;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
All-4-Music Events;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Alle Ophangsystemen;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Allekabels B.V.;;;;;;;;;;;;;;;1;;;;1;;;;;1;;1;;;1;;;;;;1;1
Allen & Overy LLP;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allen Carr's Easy Way;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AllFacts;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allgifts.nl B.V.;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1
Alliance Healthcare Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6
Allianz Global Assistance;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;3
Allianz Nederland Schadeverzekering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
All-In Catering Solutions;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AllJazz Magic;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AllPress Metals B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
All-round Catering Service Hapjesgigant M & M;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Allround Service Overwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ALL-SIGNS Visuele Communicatie;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
ALM Afbouwgroep;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;2;2
ALM Groep B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Almere Tours;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Almeva B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alp Lift B.V.;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;1;2
Alpha Architectenbureau;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alpha Bewind;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Alpha Tours Hem B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alpheios B.V.;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;1;1
Alphen aan den Rijn Taxi Service;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alphense Sleutel & Sloten Service;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;1;;;;;;;1
Alrecar B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Als het golft B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Als Zodanig;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Alta Reclame & Marketing B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Altares - Dun & Bradstreet;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;1
Altec Industri�le Identificatie;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
Altenburg Advocatuur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ALTER - HAAGLANDEN sleutels - sloten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Alternate Computerversand Nederland;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;1
Altrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Altrex B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1
Alup Grassair Kompressoren B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Alvero Kantoormeubelverhuur B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Always Green B.V.;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
