Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
QO Storm Utrecht B.V.;;;1;;;1
Quingenti Consultancy;;;;2;;2
Quizworks B.V.;1;;;;;1
raïnaraï;;;;1;;1
Radio Royaal B.V.;;;1;;;1
Radion Amsterdam B.V.;;;;;1;1
Rado Vleugel Media.;;;;;2;2
RAI Amsterdam B.V.;;;;2;;2
Rakos Management en Training;;;1;;;1
Ready for take-off;;;;;1;1
Rebelieve V.O.F.;;;;;1;1
Recreatie & Entertainment NL 3;;;1;;;1
Rederij de Nederlanden B.V.;;;1;;;1
Rederij 't Smidtje B.V.;;;;2;;2
Rederij Thalassa B.V.;;;1;;;1
Reed Business B.V.;1;;;;;1
Reed Business Information Ltd;1;;;;;1
Reed Exhibitions Ltd;;;;2;;2
Refractions;;;;;1;1
Regent Exhibitions Ltd;;;;1;;1
Reisswolf Nederland B.V.;;;;1;;1
Renne Streekproducten;;;1;;;1
Restaurant Alborz;;;;1;;1
Restaurant Assen B.V.;;;1;;;1
Restaurant Bij Jaap;;;1;;;1
Restaurant Chang-i;;;;1;;1
Restaurant De Basiliek B.V.;;;;1;;1
Restaurant Grandcaf� Liff;;;1;;;1
Restaurant Huson;;;;1;;1
Restaurant Indonesisch 'Srikandi';;;;1;;1
Restaurant Onz;;;1;1;;1
Restaurant Pesse B.V.;;;1;;;1
Restaurant Sarinande;;;1;;;1
Restaurant Tafel aan de Gracht.;;;;1;;1
Restaurant Villa La Ruche;;;1;;;1
Restaurant Waterloo;;;1;;;1
Restaurant Wilhelminapark B.V.;;;;1;;1
Ristorante Da Luca;;;1;;;1
Roast Amsterdam B.V.;;;1;;;1
Rock City Escape;;;1;;;1
Rockstart Spaces B.V.;;;;1;;1
Romi & Romi Holding B.V.;;;;;2;2
Roodhart Courzand B.V.;;;;1;;1
S.B.I. Zonheuvel B.V.;;;;1;;1
Sabel Communicatie B.V.;;;;;1;1
Safari Books Online;1;;;;;1
SAFI Salons Francais et Internationaux;;;;4;;4
SAG GmbH - GB Services Inland;;;;1;;1
Sancy Tres B.V.;;;;1;;1
Sanivest;;;;1;;1
Sarphati B.V.;;;;1;;1
Savant Learning Partners B.V.;;;;;1;1
Schiphol Nederland B.V.;;;;1;;1
Schr.-Schrijf, Creat. Conc. & Tekstproducten;;;;;2;2
Schut Consultancy;;1;;;;1
Schweizerbart Science Publishers;1;;;;;1
Screenhouse B.V.;;;1;;;1
Sdu Uitgevers B.V.;;;;;1;1
Seafarm B.V.;;;;1;;1
ShowExpo;;;1;;;1
Sifratex;;;;1;;1
Sign-ing.nl;;;1;;;1
Siletsy-Asperen-Holland B.V.;;;;1;;1
Silver Pond B.V.;;;1;;;1
Simpel;;;;1;;1
Sinc Media B.V.;;;;1;;1
Sinwa;;2;;;;2
Sketch-Me;;;;;1;1
Slea B.V.;1;;;;;1
Smaak Eten&Drinken;;;;;1;1
Smarp Oy;;;;;2;2
Smart.pr B.V.;1;;;;;1
Snoek Promo;;;1;;;1
So Expo B.V.;;;;5;;5
Societas Europaea Lepidopterologica;1;;;;;1
Sodexo B.V.;;;1;;;1
Soenar Chamid Sportfotografie;;;;;1;1
Soundfocus B.V.;;;;;1;1
SP Technical Research Institute of Sweden;;;;;2;2
Space Expo;;;2;;;2
Space Foundation;;;1;;;1
Spaceconsultants;;;;1;;1
SpaceNed;;;1;;;1
Spaces Rode Olifant B.V.;;;;;2;2
Speak Easy Agency B.V.;;;;;2;2
Speciality Coffee Association of Europe;;;;1;;1
SpiZe B.V.;;;;1;;1
Sport eXperience Concept B.V.;;;;2;;2
Sportcity Heidehal B.V.;;;;2;;2
Sporttainment Center De Uithof B.V.;;;1;;;1
Spotler Nederland B.V.;;;;;1;1
St. Atria, kennisinst. emancip./vr.geschied.;;;;1;;1
Stadsbrouwerij De Pelgrim;;;;1;;1
StadscafÃ© De Observant;;;;1;;1
Stadscaf� De Pelikaan;;;1;;;1
Stadscafe De Waag B.V.;;;1;1;;1
Stg. Horeca Het Nationale Park De Hoge Veluwe;;;1;;;1
Stg. Nation. Kennisplatf. Laadinfrastructuur;;;;;2;2
Stg. Ned. Centrum v. Handelsbevordering;;;;3;;3
Stg. ProDemos - Huis voor dem. en rechtsstaat;;;;1;;1
Stg. Public. en Reproductierechten Organ. Pro;1;;;;;1
Stg.Ned.Centr. v. Geodesie en Geo-informatica;;;1;;;1
Sticht. Info.voorzien. Ontwikkel.sam.werk.;1;;;;;1
Stichting Accessibility;;;;;1;1
Stichting Agri-ProFocus;1;;;;;1
Stichting Agrofoodcluster Noordoostpolder;;;;1;;1
Stichting BE-Basic;;;;1;;1
Stichting Betalingen Drink n Dine;;;;1;;1
Stichting BiomimicryNL;;;;1;;1
Stichting BroodNodig;;;;1;;1
Stichting Centrum voor Landbouw en Milieu;;;;3;;3
Stichting Crosswise Works;;;;2;;2
Stichting Cultuurschuur;;;;1;;1
Stichting De Ooievaart;;;1;;;1
Stichting Dutch Cuisine;;;;2;2;2
Stichting Dutchbasecamp;;;;2;;2
STICHTING ECOPOP;;;;1;;1
Stichting ElaadNL;;;;;1;1
Stichting Energie en Samenleving;1;;;;;1
Stichting Food for a better lifestyle;;;;;1;1
Stichting Fraude Film Festival;;;;;2;2
Stichting Green Village;;;;1;;1
Stichting GreenBlue Evenementen;;;;1;;1
Stichting Het Huis;;;;;1;1
Stichting HIER opgewekt;;;;;2;2
Stichting Holland Fresh Group;;;;1;;1
Stichting Huis a/d Werf/Festival a/d Werf: Gebouw;;;;1;;1
Stichting Humanity House;;;;1;;1
Stichting Instituut voor Bouwrecht;2;;;;;2
Stichting Instock;;;1;1;1;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;;;2;2
Stichting iTanks;;;;1;;1
Stichting IVN;;;;;2;2
Stichting Justitia et Pax Nederland;;;;1;;1
Stichting Museum voor Communicatie;;;;1;;1
Stichting MVO Nederland;1;;;;1;1
Stichting Noordzeeboerderij;;;;1;;1
Stichting Pleio;1;;;;;1
Stichting Promotie Theater- en Concertbezoek;;;2;;;2
Stichting PUM Netherlands senior experts;;;;1;;1
Stichting SBRCURnet;1;;;;;1
Stichting Social Enterprise NL;;;;1;;1
Stichting Springtij Festival Terschelling;;;;2;1;2
Stichting Sterkin;1;;;;;1
Stichting Students to Space;;;1;;;1
Stichting SVB-BGT;4;;;;;4
Stichting Task Force Health Care;;;;1;;1
Stichting The Hague Marketing Bureau;;;1;;;1
Stichting Tomato World;;;1;;;1
Stichting Trust Money ECM;;;;1;;1
Stichting VVV Midden-Limburg;;;1;;;1
Stichting Waddenacademie;;;;2;;2
Stichting Waterrecreatie Nederland;;;;;1;1
Stichting Wereldhavenfestival Rotterdam;;;;1;;1
Stichting Wind Energie Evenementen;;;;2;;2
Strandclub Doen! Strand noord;;;;1;;1
Strandpaviljoen Buiten B.V.;;;1;;;1
Stratagem Strategic Research B.V.;;;;4;;4
Strategic Partnerships Global Alliance for Clean Cookstoves;;;;3;;3
STS B.V.;1;;;;;1
Studio 38C;;;;;1;1
Studio Esthic B.V.;;;;2;;2
Studio v. Graf. Vormgeving Jos Tigges B.V.;;;;1;2;2
Studiodet;;;1;;;1
SUEZ Nederland Holding B.V.;;;;1;;1
Sumo Den Haag II B.V.;;;1;;;1
Survalyzer Nederland B.V.;1;;;;;1
SurveyMonkey Europe;;;;;1;1
SurveyMonkey Inc.;;;;;1;1
Sushi Today Amersfoort B.V.;;;1;;;1
Sustainable Business Development;;;;;1;1
Swisscontact;;;;1;;1
Synpact B.V.;;;;2;;2
t Goude Hooft Exploitatie B.V.;;;;1;;1
T&T Compet&t.b.v.;2;;;;;2
Taalstrategie;;;;1;;1
Tabasco;;;1;1;;1
Taftie;1;;;;;1
Take2Media;;;;1;;1
Taller Events B.V.;1;;;;;1
Tanzania Tourist Board;;;;1;;1
Tapas Bar Restaurant Limon;;;1;;;1
Taveerne De Coligny;;;1;;;1
Taverne Les Brasseurs SA;;;;1;;1
Tax Consultants International;2;;;;;2
Taxibedrijf Van der Wijst;;;1;1;;1
TC Management;;;;1;;1
Team Communicatie Management B.V.;;;;;1;1
Techwatch B.V.;;;;;1;1
Teka Groep B.V.;;;;1;;1
Telecom.Paper B.V.;3;;;;;3
Tencourts B.V.;;;;2;;2
Ter;;;;1;;1
Terra Imaging B.V.;;;;;1;1
Terres Nordiques AB;;;;1;;1
Tezet Business Gifts B.V.;;;1;;;1
The Angel Foundation B.V.;;;;1;;1
The Cape Craft and Design Institute (CCDI);;;;1;;1
The Coast;;;;1;;1
The Commons Amsterdam City B.V.;;;;1;;1
The Council of European Energy Regulators CEER;3;;;;;3
The Economist Intelligence Unit Ltd.;2;;;;;2
The Energy Saving Trust Limited;;;;;4;4
The Financial Times Limited;3;;;;;3
The Green Utility Company B.V.;1;;;;;1
The Institution of Engineering and Technology;1;;;;;1
The Magnificent 8 B.V.;;;;1;;1
The Oddshop B.V.;;;;;4;4
The Rat Pack B.V.;;;;1;;1
The Travel Inspiration Company;;;;1;;1
Things To Make And Do B.V.;;;;;1;1
THOMS B.V.;;;1;;;1
Thomson Reuters (Professional) UK Ltd;2;;;;;2
Thomson Reuters (Scientific) Llc;1;;;;;1
Tint, Buro voor Grafische Vormgeving;;;;;1;1
TivoliVredenburg;;;;2;;2
TNS Nipo B.V.;;;;;2;2
Today Designers B.V.;;;;;1;1
Tony's Chocolonely Nederland B.V.;;;1;;;1
Top Boulevard C.V.;;;;1;;1
Topjobcoaching;;;;1;;1
Total Identity;;;;;1;1
Total Identity B.V.;;;;;1;1
Total Public B.V.;;;;1;;1
Totems Architecture B.V.;;;;3;;3
Tower Leisure B.V.;;;1;;;1
Trade Fair Services International B.V.;;;;5;;5
Traiteur Du Parc;;;;1;;1
TVCN;;1;;;;1
UF De Schilde B.V.;;;1;1;;1
Uitgeverij Noordhoek B.V.;1;;;;;1
Uneto-VNI;;;;;4;4
UNIVATE B.V.;;;;;2;2
Unividuals Vastgoed B.V.;;;1;;;1
UNOPS;1;;;;;1
V.O.F. Alpina-van Houweninge & IJsselstijn;;;1;;;1
V.O.F. Bakkerij en Kruideniersbedrijf Caris;;;1;;;1
V.O.F. Bloembinderij Ben Stempher;;;1;;;1
V.O.F. Piepenbrock;;;;1;;1
Vacanta;;;;;1;1
Vakmedianet Food & Horeca B.V.;1;;;;;1
Van der Valk Hotel Den Haag B.V.;;;;1;;1
Van der Valk Hotel Enschede B.V.;;;;1;;1
Van Dijk Zakelijk B.V.;6;;1;;;6
Van Ede & Partners;;;;;2;2
Van Leeuwen Communicatie;;;;;1;1
Van Riemsdijk Verhuizingen B.V.;;;;2;;2
van Toeten en Blazen;;;1;;;1
Van.Eko B.V.;;;;1;;1
Vastgoedjournaal.nl B.V.;;;;1;1;1
VCK Travel B.V.;;;;2;;2
Velders & Novak IMC;;;;;1;1
Ver. Fed. van Alg. Middelenman. bij de Overh.;1;;;;;1
Ver. het Nederlands Membranen Genootschap;1;;;;;1
Ver. voor Klachtrecht in de publieke sector;1;;;;;1
VerdraaidGoed B.V.;;;;1;;1
Vereniging BVF Platform;1;;;;;1
Vereniging Coin;1;;;;;1
vereniging eigen huis;;;;;1;1
Vereniging FME-CWM;;;;3;;3
Vereniging Hendrick de Keyser;;;;1;;1
Vereniging JuristenRijk;1;;;;;1
Vereniging Ondernemend Assen;;;1;;;1
Vereniging Sport en Gemeenten;;;;;1;1
Vereniging Tijgertje;;;;1;;1
Vereniging van Milieuprofessionals;1;;;;;1
Vereniging van Registercontrollers;1;;;;;1
Vereniging VNO-NCW;;;;1;;1
Vereniging voor Intellectuele Eigendom;1;;;;;1
Vereniging voor Milieurecht;1;;;;;1
Verfrist Media & Communicatie;;;;1;;1
Verhuurbedrijf Paul B.V.;;;;1;;1
Vermaat Leisure B.V.;;;;1;1;1
Veron;1;;;;;1
Vertaalbureau Noord-Nederland;;1;;;;1
Vessel 11;;;;1;;1
Veterinair Organisatiebureau Vitaux B.V.;;;;1;;1
Vetho B.V.;;;1;;;1
VEVIDA B.V.;;;;;1;1
VHL Catering B.V.;;;;1;;1
Videonieuwsbericht B.V.;;;;;1;1
Villa Augustus B.V.;;;;1;;1
Vine and Wine Foundation of Armenia;;;;2;;2
Viparis Nord Villepinte;;;;1;;1
Vis en Meer B.V.;;;1;;;1
Vishandel Gebr. Simonis B.V.;;;1;;;1
VNO-NCW West;1;;;;;1
Voor Claar B.V.;;;1;;;1
Voxx Communicatie-Adviseurs B.V.;;;;;1;1
VVV Assen B.V.;;;1;;;1
VVV Business B.V.;;;3;;;3
W S N Developpement;;;;3;;3
Warmtebedrijf EXPLOITATIE N.V.;;;;1;;1
Waterwatch Projects B.V.;;;1;;;1
We Quit Mail;;;;1;;1
Webhelp Nederland B.V.;;;;;6;6
Werkgemeenschap Octrooi-Informatie Nederland;1;;;;;1
westland toerisme;;;;1;;1
Whoosah;;;;1;;1
WOLCK;;;;;1;1
Wolters Kluwer Nederland B.V.;1;;1;;;1
Woolthuiswerkt B.V.;;;;1;;1
Woon- en Zorgcentrum 'Humanitas';;;;1;;1
WTC Expo B.V.;;;;1;;1
WTC Horeca B.V.;;;;1;;1
Xerox (Nederland) B.V.;1;;2;1;7;7
XS4ALL Internet B.V.;;;;;1;1
Yolk B.V.;;;;1;;1
Yune B.V.;;;;;2;2
Zaalverhuur7;;;;1;;1
Zanzibar Association of Tour Operators;;;;1;;1
Zebedeus Caf�-Restaurant;;;;1;;1
ZENIT GmbH;;;;1;;1
Zicht;;;;;1;1
Ziggo B.V.;1;;;;;1
Zilt & Co B.V.;1;;;;;1
Zilt Katwijk B.V.;;;;1;;1
Zimmerman & Zimmerman;;;;;1;1
Zoom Media B.V.;2;;;;;2
Eindtotaal;7;6;6;8;8;9
