Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;Eindtotaal
Tam Tam B.V.;1;;;;;;1
Tappan Communicatie B.V.;;1;;;;;1
Tas & Company B.V.;;;1;;;;1
Tauw B.V.;;3;;;;;3
TCPM B.V.;;4;;;;;4
TéBé B.V.;;;;;;1;1
Tebodin Netherlands B.V.;1;;;;;;1
Technolution B.V.;4;6;;;6;;7
TechnoRAM V.O.F.;;4;;;2;;4
Teledyne CARIS B.V.;;2;;;4;;4
Teledyne Reson B.V.;1;;1;;;;1
Telegrootgebruik B.V.;7;10;5;;;9;11
Telerex Nederland B.V.;;;1;;;;1
Telesignal Europe B.V.;;;2;;;;2
Telindus B.V.;;7;5;;4;;7
TeliTeQ;;3;;;;;3
Telvent Netherlands;;;;;3;;3
Tempcontrol Industr. Electronic Products B.V.;;;1;;;;1
Tempo-Team Capelle aan de IJssel;;1;;;;;1
Tempo-Team Professionals B.V.;;3;;;;;3
Tenuki B.V.;;2;;;;;2
Teqplay B.V.;;2;;;;;2
Terglobo;;2;;;;;2
Termifa;;;1;;;;1
TES Install.techn. Service & Onderhoud B.V.;;;2;;;;2
TES Installatietechniek Tilburg B.V.;;;1;;;;1
Tessensohn Techniek;;;1;;;;1
Th. Vernooy en Zoon B.V.;;;2;;;;2
The Courseware Company B.V.;;;;;2;;2
The MathWorks B.V.;;;;;1;;1
Thermo Fisher Scientific B.V.;;;2;;;;2
THIER SOFTWARE DEVELOPMENT;;;;;3;;3
Tinqwise B.V.;1;;;;;;1
T-Mobile Netherlands B.V.;;;;;;1;1
TNO Bedrijven B.V.;;1;;;;;1
TNO International Agencies B.V.;;4;;;;;4
Toolsandstorage;;;1;;;;1
Tools-n-More;;1;;;;;1
Top Informatie Systemen B.V.;2;1;;;2;;3
Top Movers Nederland B.V.;;1;;;;;1
TOPdesk Nederland B.V.;;2;;;1;;2
Traffic IT Services B.V.;;1;;;;;1
TrafficLink B.V.;;6;;;;;6
Transfer Managed Services B.V.;;1;;;;;1
Transposafe Systems;;;1;;;;1
Traxpert B.V.;;2;;;;;2
Trigion Beveiligingstechniek B.V.;;;1;;;;1
Trinité Automatisering B.V.;;4;;;;;4
TriOpSys B.V.;;5;2;;;;5
Triple P Nederland B.V.;1;;;;;;1
Trivident B.V.;;;2;;;;2
Trots Wijn & Spijs;;1;;;;;1
Trust Krediet Beheer (TKB);1;;;;;;1
TUINTREKKERS.NL;;;1;;;;1
Tulser Technology Factory B.V.;;1;;;;;1
Turific B.V.;;;;;1;;1
Tyco Fire and Security Nederland B.V.;;1;;;;;1
U&I Learning Nederland B.V.;2;;;;;;2
Ultimade;2;;;;;;2
Ultimo Software Solutions B.V.;;2;;;1;;3
Ultimum B.V.;;2;;;;;2
Unishore Bedrijfskleding B.V.;;;1;;;;1
United Parcel Service Nederland B.V.;;;1;;;;1
Universal IT B.V.;;1;;;;;1
Unlimited Visions B.V.;1;;;;;;1
Up2date Trading;;;1;;;;1
UPC Nederland;;;;;;1;1
UPS SCS (Nederland);;;1;;;;1
USG Capacity;;4;;;;;4
V.O.F. J. Bouter en E.J. van der Toolen;1;;;;;;1
V.O.F. Verkeers Management Centrale Rhoon;;2;;;;;2
Vakantiewereld;;;1;;;;1
Valmont Nederland B.V.;6;;;;;;6
Van Bon Installaties - Technisch Beheer B.V.;;1;;;;;1
Van den Berg Installateurs;;;1;;;;1
Van Ede International Moving B.V.;1;;;;;;1
Van Engelenburg Theater;;1;;;;;1
Van Gansewinkel Nederland B.V.;1;;1;;;;1
Van Hulzen Public Relations B.V.;;;;;;1;1
Vancis B.V.;;;1;;;;1
Vandervelde Protection B.V.;;;4;;;;4
VanDoClean B.V.;;;2;;;;2
VCK Travel B.V.;;1;;;;;1
VCU Safetycentre B.V.;;;1;;;;1
VDL Industrial Modules B.V.;3;;;;;;3
VDW CoolSystems B.V.;;;1;;;;1
Vector Eyes;;1;1;;2;;2
Venema Communicatie B.V.;;;1;;;;1
Verdonck, Klooster & Associates B.V.;;4;;;;;4
Verhoeven Vibes;;1;;;;;1
Via B.V.;;2;;;;;2
Via-Direct;;1;;;;;1
Vialis Infratechniek B.V.;;7;2;;;;7
Vialis IT&M B.V.;;1;;;2;;2
Vicrea Solutions B.V.;;2;;;;;2
VID Nederland B.V.;;4;;;;;4
Vink Lisse B.V.;;;1;;;;1
vir2biz;;1;;;;;1
Visio B.V.;2;4;2;;1;;4
Visions Connected Holding B.V.;2;;;;;;2
Visions Connected Netherlands B.V.;2;;;;;;2
Vitasys B.V.;;;;;1;;1
Vlek Verkeerslichten Advies en Ondersteuning;;1;;;1;;2
Vodafone;;;;;;7;7
Volantis B.V.;1;;;;;;1
VolkerRail Nederland B.V.;;1;;;;;1
Volta Limburg B.V.;;;1;;;;1
VORtech B.V.;;2;;;;;2
Vrieservice B.V.;;;1;;;;1
VSAT;;;;;;4;4
VWR International B.V.;;;2;;;;2
W en T Beheer V.O.F.;;;;;1;;1
W. Schuurman Elektrotechnische Groothandel;;;1;;;;1
Wärtsilä SAM Electronics Nederland B.V.;1;;;;;;1
WebEx Communications B.V.;;;;;;1;1
WeSquare B.V.;;;1;;;;1
West AMP Geluid;1;;;;;;1
West Consulting B.V.;;1;;;;;1
WestCord Delft B.V.;;1;;;;;1
Westerik Service & Techniek;;;1;;;;1
Wiegel Art Promotion;;1;;;;;1
Wijma Kampen B.V.;;;1;;;;1
Wilchem B.V.;;1;1;;;;2
Wildkamp;;;1;;;;1
Wit Work B.V.;;;1;;;;1
Witgoedprojecten B.V.;;;1;;;;1
World Nautic Center;;;1;;;;1
Würth-Nederland B.V.;;;1;;;;1
XA Document Solutions;;;1;;;;1
Xantic Sales B.V.;;;;;;2;2
Xerox (Nederland) B.V.;2;6;;;;;6
XI Advies B.V.;;;;;1;;1
Xi-Digital;2;;;;;;2
Xolphin B.V.;1;;;;;;1
XS4ALL Internet B.V.;;;1;;1;1;1
Xtend;;2;;;;;2
Ykoon B.V.;;1;;;;;1
Yocter B.V.;;;;;1;;1
Your PC Store B.V.;;1;;;;;1
Zet Solutions B.V.;;;;;1;;1
Zetacom B.V.;;;;;1;1;2
Zetes B.V.;;;1;;;;1
Zheneco;;2;;;;;2
Zicht Nieuwe Media Ontwerpers B.V.;1;;;;;;1
ZIUT B.V.;2;;;;;;2
Zuidam Transport B.V.;;;1;;;;1
Eindtotaal;10;11;8;7;11;9;13
