Leveranciers;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;Eindtotaal
WING Process Consultancy B.V.;;;;;6;;6
WIV - Wetenschappelijk Instuituut Volksgezondheid;;;;;2;;2
Wolters Kluwer Health, Inc Lippincott Williams & Wilkins;;;;;1;;1
WTS Cleanroom Technology Systems B.V.;;;1;;;;1
Xerox (Nederland) B.V.;;;;;1;;1
X-pact;;;;;;2;2
Z Index B.V.;;;;;;1;1
Zetes B.V.;;1;1;;;;1
Zwart Techniek B.V.;1;;;;;;1
Eindtotaal;8;8;7;6;9;11;11
