Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
Hotel Vianen;1;;;;1
Houben Mediatechniek;1;;;;1
Houtbouw Hilgen & Bos;1;;;;1
Houtvezel Moerdijk;1;;;;1
Hoveniersbedr. 'T Wencop;1;;;;1
Hoveniersbedrijf B. Schuil;1;;;;1
Hoveniersbedrijf Luijendijk;2;;;;2
Hoveniersbedrijf Splint;1;;;;1
Hovenierscombinatie Twente B.V.;1;;;;1
Huber Installatietechniek B.V.;1;;;;1
Hubo Goos;1;;;;1
Hubo Verstraete;1;;;;1
Huisman Hoveniers;1;;;;1
Huize Molenaar Cuisinier;1;;;;1
Hulkenberg;1;;;;1
Human Office BV;1;;;;1
Humanity House;1;;;;1
Hurkens Glasservice & Schildersbedrijf B.V.;1;;;;1
Huurwel;3;;;;3
Hydro2014 V.O.F;1;;;;1
Hydrocraft;1;;;;1
Hydroscope;1;1;;;1
HydroZorg Interieurbeplanting;1;;;;1
I3-groep;1;;;;1
Ibg Advies/Kunstkamer;1;;;;1
Ibn Groep;1;;;;1
Icova;1;;;;1
Iedema Projectstoffering Wateringen (incl. Martin Kok Projectinrichting);1;;;;1
Ief Capital Vastgoed Rietveld;4;;;;4
Igluu Workspace For Professionals;1;;;;1
Ignis Systems;1;;;;1
IIA Instituut van Internal Auditors;;1;;;1
Ikea;1;;;;1
ILC International Lighting Company;2;;;;2
Imming Logistics;1;;;;1
Immolab;1;;;;1
Imtech (incl. Radio Holland, Bostec);4;;;;4
IMV Nederland/GE Digital Energy;2;;;;2
In De Driehoek, Zalencentrum;2;;;;2
Inbraakpreventie;1;;;;1
Incassade Oordijk;;1;;;1
Independency Management;;;;3;3
Indoor Plant Services Ips;1;;;;1
Industriekring Ter Apel en omstreken;1;;;;1
Infra - Wissels Groep;1;;;;1
Infrastructure Services & Projects;1;;;;1
Infratel;1;;;;1
Ingco Shops;1;;;;1
Innax Gebouwenmanagement;1;;;;1
Installatiebedrijf Slagboom;2;;;;2
Installatiebedrijf Wisse B.V.;1;;;;1
Installatietechniek Paul van Vilsteren B.V.;1;;;;1
Interflon Holland;1;;;;1
Intermat Mijdrecht BV, tegelwebshop;1;;;;1
Interparking Nederland;1;;;;1
Intimus (vh Asterion, Pitney Bowes);1;;;;1
Intos Interieurmakers;2;;;;2
Intratuin Groenprojecten Interieurbeplanting;1;;;;1
Intrum Justitia;;1;;;1
Invorderingskantoor Nederland;1;;;;1
Iolan;4;;;;4
IQ Kunstuitleen;2;;;;2
Iron Mountain Nederland;1;;;;1
Isolatiebedrijf Franssen Boven-Leeuwen B.V.;1;;;;1
Isolectra;1;;;;1
ISS Holding;3;;;;3
ISS Holding/Facility Services;2;;;;2
ISVW Instituut voor Wijsbegeerte;1;;;;1
It Frysk Skildershus;1;;;;1
J. de Jager Sliedrecht;1;;;;1
J. Henselmans Bouw;1;;;;1
J.M. Raadsma Dokkum IJzerhandel;1;;;;1
J.P. van Eesteren Aannemening Maatschappij;2;;;;2
Jaarbeurs Catering Services;1;;;;1
Jaarbeurs Utrecht;2;;;;2
Jacobs&Jacobs B.V.;1;;;;1
Jacot (incl. Jacot Audiovisueel, en Technisch Bureau Jacot);1;;;;1
Jacs. Koopman Electrotechnische Agenturen B.V.;1;;;;1
Jager Aannemersbedrijf;2;;;;2
Jalinen Rioleringswerken;1;;;;1
Jan Snel BV;2;;;;2
Jan van der Kroon;1;;;;1
Jansen Glas Hoogvliet;1;;;;1
Jansen Wijhe;1;;;;1
Jansen, C.W. Ijzerhandel;2;;;;2
Janssen & Fritsen;1;;;;1
Jansson Schilderwerken;1;;;;1
Jaski Automaten;1;;;;1
Jaspers Communicatie Techniek;2;;;;2
JC Products;1;;;;1
Jecor;1;;;;1
Jerrink Verhuur;1;;;;1
Jobo Keuringen;1;;;;1
Johan Bragt & Zoon;1;;;;1
Johnson Controls Automation Systems;1;;;;1
Johnson Health Tech. Netherlands;1;;;;1
Jollijst;1;;;;1
Jones Lang Lasalle;3;4;;;4
Jong Europe;2;;;;2
Jongeneel Houthandel;1;;;;1
Jonker Handelsonderneming;1;;;;1
Jonker&Co;1;;;;1
Joosen v.o.f. loodgietersbedrijf;1;;;;1
JooSign;1;;;;1
Jos Ten Berg Handelsmaatschappij;1;;;;1
Jovi Groep (incl. Platina Argenta);2;;;;2
JPeters Enterprises;1;;;;1
Jungheinrich Nederland;1;;;;1
Jurriëns Bouw, Onderhoud, Noord;1;;;;1
Justitiële Jeugdinrichting De Heuvelrug (Eikenstein);1;;;;1
K. Wijma;1;;;;1
K.I.B. Renders;2;;;;2
Kaba Nederland;1;;;;1
Kalkhoven;1;;;;1
Kamp Bouwmarkt;1;;;;1
Kardex Systemen;1;;;;1
Karel V Utrecht Grand Hotel;1;;;;1
Karel Woning En Projectstoffering;1;;;;1
Karmel Drachten;1;;;;1
Karwei;1;;;;1
Kas Feestkleding;;;;1;1
KB Kees Braat Klusbedrijf;1;;;;1
KBKP Korenhof & Partners;1;;;;1
Keers Mijdrecht;1;;;;1
Kemkens Installatietechniek, Gasservice;1;;;;1
Kemkens Utiliteit;3;1;;;3
Kemper en van Twist Diesel;1;;;;1
Kenbri Fire Fighting Equipment (incl. Weber Rescue);1;;;;1
Kentie Afterprint;1;;;;1
Kerstboom.nl (Royal M Decorations);1;;;;1
Kesselaar & Zn. BV;1;;;;1
Keurdokter B.V.;1;;;;1
Keurmerkinstituut;1;;;;1
Kieback & Peter Nederland;1;;;;1
Kiekebos & Bakker klimaattechniek;2;;;;2
Kiekens Herding;1;;;;1
King Disposables Nederland;1;;;;1
Kingma Houtimport Hommerts B.V.;1;;;;1
Kinket Seal;1;;;;1
Kivi Niria Congresbureau;2;;;;2
Klarna;1;;;;1
Klein Poelhuis Installatietechniek;2;;;;2
Klift-Roest Wonen;1;;;;1
KLINK-NIJLAND GWW RAALTE B.V.;2;;;;2
Klok (Glascentrale Assen, Schilderwerken, Project Totaal);1;;;;1
Klunder;1;;;;1
Knol Bouw;3;;;;3
Knowit B.V.;1;;;;1
Koda Woningbeheer;1;;;;1
Koek en Reinders Glas- en Schilderwerken;2;;;;2
Kohler Peutz Geveltechniek;1;;;;1
Koken Op Maat;1;;;;1
Koldijk Voskamp Beveiligingstechniek;1;;;;1
Kone Liften, Deursystemen;2;;;;2
Koninklijke Ahrend (incl. Ahrend Inrichtingen);1;1;;;1
Koninklijke Bammens;1;;;;1
Koninklijke Fabr. Posthumus (PS Groep);1;;;;1
Koninklijke Saan (incl. Horiz. & Vert. Transport, Archiefbeheer);2;;;;2
Koninklijke Schouwburg;2;;;;2
Koninklijke van den Boer Groep (incl. Oseven, happening and food);2;;;;2
Konstruktiebedrijf Rexwinkel B.V.;1;;;;1
Koopmans en Zwart Elektrotechniek;1;;;;1
Koops Verhuizingen;;;1;;1
Kop Beveiliging;1;;1;;1
Kors Hoogwerk Systemen;1;;;;1
KPN (incl. Getronics, PTT Telecom);1;1;;;1
Kralingsche Glashandel;1;;;;1
Kramer Bouw;2;;;;2
KranenSpecialist.nl;1;;;;1
Krauth Verhuizingen;;;1;;1
Kreeft Bouwbedrijf;3;;;;3
K-Rentool;1;;;;1
Kreunen Bouw Zutphen;2;;;;2
Kroon;1;;;;1
Kruizinga;1;;;;1
KSB Repro;1;;;;1
KTD Klimaatbeheersing;1;;;;1
Kuitergroningen;1;;;;1
Kunstpassage;1;;;;1
Kunstuitleen Friesland;1;;;;1
Kwekerij;1;;;;1
Kwekerij Peter Wolfkamp;1;;;;1
L&S Artprint Verhuur;1;;;;1
L&S Specials;1;;;;1
La Place Catering Service Restaurant;1;;;1;1
Laanbroek Schoeman Adviseurs;2;;2;;3
Laboratory Services International bv;1;;;;1
Laman Dexis Zoetermeer Technische Groothandel;1;;;;1
Lamon Bedrijfshygiene;1;;;;1
Lamon Glas;1;;;;1
Lampedirect;1;;;;1
Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia);1;;;;1
Langenhuizen Glasservice;1;;;;1
Langhout Transport;1;;;;1
Lantsink & Koning Loodgietersbedrijf;3;;;;3
Larcom;1;;;;1
Lasaulec;1;;;;1
Lastechniek Valderen Tilburg;1;;;;1
Leaseplan Nederland;1;;;;1
Leba Bakker Sport;1;;;;1
Ledo Building Service;1;;;;1
Leertouwer Schildersbedrijf;2;;;;2
Leitz Service;1;;;;1
Lejeune Multi Electra;1;;;;1
Lemerij B.V.;1;;;;1
Lemmen Tuin en Park;1;;;;1
Lenferink Zwolle;2;;;;2
Lentis Maatschappelijke Onderneming;1;;;;1
Letro Lichtreclame;1;;;;1
Liander;1;7;;;7
Light International;1;;;;1
Linde Gas (incl. Cryoservice en Therapeutics);2;1;;;2
Linssen Electrotechniek;1;;;;1
Linvest;1;;;;1
Lodige Benelux;1;;;;1
Loggere Metaalwerken;1;;;;1
Loonbedrijf Koonstra;1;;;;1
Lotus Sleutels Nederland;1;;;;1
Lourens Cleaning;1;;;;1
Lowa Benelux B.V.;1;;;;1
Lubron Waterbehandeling;1;1;;;1
Luden Restaurant&Brasserie;2;;;;2
Luijten VVZ;1;;;;1
Lumenz Talentontwikkeling (incl. Om de hoek);1;;;;1
Lunastar;2;;;;2
M&I Partners;1;;;;1
M&R Archiefbeheer en Opslag, Micro-Imaging;6;;2;;6
M. Schroevers Installatiebedrijf;2;1;;;2
M.J. Teunissen Aannemersbedrijf;2;;;;2
M.L. van Os/Studio Aan Tafel;1;;;;1
M.M. Projects;2;;;;2
Maars Projecten;1;;;;1
Maas & Hagoort Lampen;1;;;;1
Maas Internationaal - Koffieautomaten;1;;;;1
Maasdam Groep;1;;;;1
Maasmond Groep;1;;;;1
Maatschap Rijp;1;;;;1
Machine Service Noord;1;;;;1
Machinehandel Bruntink;1;;;;1
Mactwin;1;;;;1
Madurodam;1;;;;1
Maen Gevelbeheer;1;;;;1
Maincontracting CWJP;1;;;;1
Makelaars Associatie Verhuur;4;;;;4
Makkelie, P.;1;;;;1
Manntech Gevelinstallaties;1;;;;1
Mansier Tuinmachines;1;;;;1
Manutan (vh Overtoom International);3;;;;3
Marcel de Greef Schilderwerken;1;;;;1
Maretti Projectverlichting;1;;;;1
Mari Frunt;1;;;;1
Martens Ema Support;1;;;;1
Martens Interieurbouw;2;;;;2
Masco;1;;;;1
Massier Technisch Bureau;1;;;;1
Mastermate Arnhem;1;;;;1
Mastermate Brinkman;1;;;;1
Matrix IT B.V.;1;;;;1
MAWI Beveiliging en Toegangsbeheer B.V.;1;;;;1
Mayfield;3;;;;3
ME Design & Safety;1;;;;1
MECC Hotel Service;4;;;;4
Media Post Sanoma Uitgevers;1;;;;1
Media Service Maastricht;1;;;;1
Meer dan Hout B.V.;1;;;;1
Meertens Instituut;1;4;;;4
Meeting Plaza;2;;;;2
Megens Schilders;2;;;;2
Meijer & Van Gessel Advocaten;2;;;;2
Meliskerke Bouwbedrijf;1;;;;1
Mercure Hotels;2;;;;2
Merkelbach;2;;;;2
Mermans Glas Breda;1;;;;1
Metos Kitchen Intelligence;1;;;;1
Meyer Service & Onderhoud;2;;;;2
Meys Schilderwerken;1;;;;1
MGX Exploitaties I;1;;;;1
MHB - Mathijssen Herveld Betuwe;2;;;;2
Michel Doorn Rioolservice BV;1;;;;1
Middeljans Sport en Reclame;1;;;;1
Middin;1;;;;1
Miedema Hout;1;;;;1
Miele;1;;;;1
Misco Solutions (vh SCC Services);1;;;;1
Misset;3;;;;3
Mitsubishi Elevator Europe;1;;;;1
Mixact;1;;;;1
Mix-Fix Noord;1;;;;1
Mk2 Visuele Media;1;;;;1
Mobius Consult;1;;;;1
Mondial Movers;4;;2;;4
Monsdal;2;;;;2
Montferland Landgoed;1;;;;1
Monuta;5;;;;5
Mood Media;1;;;;1
Mooirivier Congreshotel (vh Conferentiecentrum de Bron);1;;;;1
Moonen Onderhoud & Renovatie;4;;;;4
Motive Liften;1;;;;1
Motrac Intern Transport;1;;;;1
Motshagen Glas en Verf;1;;;;1
MSSA Musis Sacrum/Schouwburg Arnhem;1;;;;1
Muller Verlichtingstechniek;1;;;;1
Multi Care Systems;1;;;;1
Multi Service Point B.V.;1;;;;1
Murre-De Visser Afbouwsystemen B.V.;1;;;;1
Museum Catering;2;;;;2
Museum der Koninklijke Marechaussee;1;;;;1
MVGM Bedrijfshuisvesting, Vastgoedmanagement;4;;;;4
Mwee;1;;;;1
My Facilities;1;;;;1
Nassau Indus Deur;1;;;;1
Nationaal Publiciteits Bureau;1;;;;1
Natuurlijk Groen;1;;;;1
Nauta Security Storage;1;;1;;2
NBC - Nieuwegeins Business Center, De Blokhoeve, Exploitatie;5;;;;5
Nedalo Ener-G;;1;;;1
Nederman (incl. Lebon&Gimbrair);1;;;;1
Neerlandia Scheepsservice;;1;;;1
Nemaco Bouwmachines;1;;;;1
Neon Brabant;1;;;;1
Nestle Waters Direct (incl. Nutrition, Aqua System);;1;;;1
Netwerk;1;;;;1
New Babylon Meeting Center;3;;;;3
NFGD Audiovisuele Technieken;1;;;;1
NH Hotels (incl. Nhow hotels);1;;;;1
Nibo Handelsonderneming;1;;;;1
Nic Best Deal;1;;;;1
Nieuw Allardsoog;2;;;;2
Nilfisk Advance;1;;;;1
Niscayah Stanley Security Nederland;1;;;;1
Niwa Elektrotechniek & Automatiseri;1;;;;1
NOC NSF National Olympic Committee;1;;;;1
Nootenboom Sport;1;;;;1
NoRisk KeyManagement (Traka);1;;;;1
Novar Nederland;1;;;;1
NoviaCura;2;;;;2
Novisec Security Systems/Novidata;1;;;;1
Novoferm Nederland;1;;;;1
Novotel;1;;;;1
NRG Nuclear Research And Consultancy Group - Petten, Individual Monitoring, Radiation&Environment;1;;;;1
NS Stations Retailbedrijf (Seats2Meet.com, vh Servex);1;;;;1
Nsecure;2;;;;2
NSI Kantoren en Winkel;4;;;;4
N-Store;1;;;;1
NTC-Vastgoed;2;;;;2
Nu-Air B.V.;1;;;;1
Nuon Business;;6;;;6
NVD Beveiligingen;1;;;;1
NVS Consultancy;;;1;;1
Oase Beach Club;1;;;;1
Oasen;;4;;;4
Odijk & Jasper;1;;;;1
Oenema Aannemings- en Transportbedrijf;1;;;;1
Ogon;3;;;;3
Oil Control Systems;1;;;;1
Okaphone Elektronika;1;;;;1
Oldenhave Technisch Beheer;2;;;;2
Olie Distributie Noord;;1;;;1
Olijslager Verf;2;;;;2
Olro The Promotion Company;1;;;;1
Olssen;1;;;;1
Olympic;1;;;;1
Omega Properties;3;;;;3
Omrin;1;;;;1
On Board On Shore;1;;;;1
Ondernemingshuis Kantorenpand Sittard;2;;;;2
Onrust Handelsonderneming;1;;;;1
Ooperon;1;;;;1
Oostwoud International;1;;;;1
Opleidingsinstituut Mede;1;;;;1
Orionis (vh Leté);1;;;;1
Ortmans Groenvoorziening en Bosbouw;1;;;;1
OTH Ontwerpgroep Trude Hooykaas;2;;;;2
Otos Lmr Systems;1;;;;1
Oud London Catering-Hotel-Restaurant;1;;;;1
Oud Poelgeest;1;;;;1
Oudaen Stadskasteel;1;;;1;1
Oude Wolbers Borne Bouwonderneming;1;;;;1
Oudewaal Bouwkundig Bureau;1;;;;1
Oudgenoeg Coatings;1;;;;1
Oud-Katholieke Kerk van Nederland;1;;;;1
OVM Sales;1;;;;1
P Lammerts;1;;;;1
P Van De Wouw, Dierenvoeders;1;;;;1
P. Hendriks Ijzerwaren en Gereedschap;1;;;;1
P. Looijen en Zn Aannemingsbedrijf;1;;;;1
P. van Loon Houthandel;1;;;;1
P.A. Wiersma Aannemingsmaatschappij;4;;;;4
P.Z. Schilders;1;;;;1
P1 Off Street/On Street;2;;;;2
Packsteen;2;2;;;3
Pactechno;1;;;;1
Paleis Hotel;1;;;;1
Pangea Holland;1;;;;1
Paree Elektro-Telecom;1;;;;1
Park Plaza;2;;;;2
Parkeerbedrijf Gemeente Groningen;1;;;;1
Parkeerbeheer Bergen Op Zoom;1;;;;1
Parkhotel;;;;1;1
Parking Luttenbergstraat;2;;;;2
Parkmobile Benelux;1;;;;1
Parkstad Inspecties;1;1;;;1
Pato Partyservice;1;;;;1
Patrick van Zoest;2;;;;2
Pauropus;2;;;;2
Paushuize;1;;;;1
PBLQ (HEC, ROI, Zenc);1;;;;1
PBM Pennings Bouwmij;;;2;;2
PBS Holland;1;;;;1
PD Houtproducten;1;;;;1
Peercode (vh In2Sports);1;;;;1
Peijnenburg H. Smederij;2;;;;2
Peijnenburg Vught;2;;;;2
Pelican Rouge (vh Autobar Holland, Cafe Bar);1;;;;1
Perfekt Pak;1;;;;1
Peter Dekker Installaties;1;;;;1
Peter Kuil Reinigingsservice;1;;;;1
Peters Plafondsystemen Heesch B.V.;1;;;;1
Phoneshop4u;1;;;;1
Pictogrammenwinkel;1;;;;1
Pieterse Containerhandel en Transport B.V.;1;;;;1
Pigeaud Cleanroomservice;2;;;;2
Pinkster Schilderwerken;1;;;;1
Pioen Partners;1;;;;1
Plaatwerkindustrie Tol;1;;;;1
Planplan Adviesbureau;1;;;;1
Plantenwacht;2;;;;2
Plastiglas;1;;;;1
Platex;2;;;;2
Plint (Poezie en Beeldende Kunst);1;;;;1
Polvo (incl. Leys, VdStad, Dubson, Kruyt, Holtgrefe, Lekkerkerker);1;;;;1
Polypal Netherlands;1;;;;1
Pontmeyer;1;;;;1
Poppelaars Tuincentrum;1;;;;1
Portakabin;1;;;;1
Powerplustools Nederland;1;;;;1
PPG Coatings Nederland;2;;;;2
Pranger-Rosier Installaties;1;;;;1
Presafe (incl. BHV Totaal, AED.nl);1;;;;1
Primair Projekt;1;;;;1
Prime Advice;;1;;;1
Primex B.V.;1;;;;1
Princeville Hotel Breda;1;;;;1
Prins Kasten & Lijsten;1;;;;1
Prins27;1;;;;1
Prisma Beveiliging;1;;;;1
Privapark Nederland - Service Support;1;;;;1
Pro Facility;1;;;;1
Probin;1;;;;1
Profile Project;2;;;;2
Projekt Totaal Assen;1;;;;1
Proline Business Consultancy;1;;;;1
Promopodium;1;;;;1
Proosdij, H. Van;2;;;;2
Property Care Nederland;1;;;;1
Prosat Security Nederland BV;1;;;;1
Protinus It;2;;1;;2
Pruis Elburg Schilderwerken;2;;;;2
Pulchri Studio;1;;;;1
Putten Dierenkliniek;1;;;;1
PWN Waterleidingbedrijf Noord-Holland;1;4;;;4
QleanAir Scandinavia (vh Smoke Free Systems);2;;;;2
Q-Matic Holland;1;;;;1
Q-Park;1;;;1;1
Quatro Systems;1;;;;1
R.I.R. 24/7;1;;;;1
R2B Inspecties;1;;;;1
Raadgevend Ingenieursbureau Eco-Energy Engineering B.V.;1;;;;1
Raayen van Hoveniers;1;;;;1
Rademaker Beheer;2;;;;2
Rajapack;1;;;;1
Ranzijn Tuin & Dier;1;;;;1
RapidLine;1;;;;1
RBce Outdoor;1;;;;1
RD Bouw;1;;;;1
Readme Signing;1;;;;1
Record Automatische Deuren;1;;;;1
Recto Lennox Relatiegeschenken;1;;;;1
Regardz (incl. Iassociate);4;;;;4
Regionaal Veiligheidshuis Maas & Leijgraaf;1;;;;1
Regus;1;;;;1
Reinders Lucht en Milieu;1;;;;1
Remie Transport B.V.;1;;;;1
Rendo;;2;;;2
Rensen Regeltechniek;1;;;;1
Rent A Plant Almelo;2;;;;2
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);3;;;;3
Reuser Technisch Adviesbureau bv;1;;;;1
Revis Verkeerstechniek;1;;;;1
Rexel Nederland;1;;;;1
RF Sports Equipment B.V.;1;;;;1
RGN Restyle Groep Nederland;2;;;;2
RH Brandbeveiliging;1;;;;1
Rhima Nederland;1;;;;1
RIBW Ijssel-Vecht;2;;;;2
Ricoh Groep (incl. Nashuatec, NRG);1;;;;1
Rienties Techniek;1;;;;1
Rietveld Schilders;3;;;;3
Rijksakademie van Beeldende Kunsten;1;;;;1
Rijwielhandel van Doremaele;1;;;;1
Rino Noord-Holland;1;;;;1
Rinus de bruin huis tuin & horeca decoraties;1;;;;1
Rio Garantieplan;1;;;;1
Risse-Westrom Groen VOF;1;;;;1
Ritom Beveiligingstechniek;1;;;;1
RJC Sloop- en grondwerken B.V.;1;;;;1
RM Glas Nederland;1;;;;1
RNN Shanks (Recycle Nederland Netwerk);1;;;;1
Rob Felix Glas B.V.;1;;;;1
Rob in t Groen;1;;;;1
Robby van der Meulen, Beeld en Verhaal;1;;;;1
ROC Horizon College;2;;;;2
Rodeq Dental;1;;1;;2
Roegiers;1;;;;1
Rohde & Grahl (incl. Working Well);1;;1;;1
Rollema Transport;;;1;;1
Ron van Uffelen;2;;;;2
Ronald de Jeu Sound and Light;1;;;;1
Roos en Doorn Elektra;1;;;;1
Ropeni (incl. Schlemmer);1;;;;1
Roscha Vof;1;;;;1
Ross Salland;1;;;;1
Rotom Nederland;;;1;;1
Rova Bedrijven;1;;;;1
Rovecom ICT;1;1;;;1
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);2;;;;2
RPS Advies- en Ingenieursbureau (incl. Analyse, Bcc);1;;;;1
RRS Riool Reinigings Service (incl. HRT Holland Riooltechniek);2;;;;2
Rudde Dakbedekking;1;;;;1
Rutolux;1;;;;1
Ruys Efficiency in Zakenpost, Handelsvereniging;1;;;;1
Rykel Timmerwerken;1;;;;1
S. Schouten Onderhoudsbedrijf;1;;;;1
S.F.M. Duijndam;4;;;;4
S+B Rotterdam;2;;;;2
Safe & Secure van der Meer;1;;;;1
Safety 2 Groep;1;;;;1
Safety Lux Nederland;1;;;;1
Saint-Gobain (incl. Raab Karcher);1;;;;1
Salverda Bouwbedrijf;5;;;;5
Sangers Riooltechniek;1;;;;1
Sauter Building Control Nederland;2;;;;2
Saval;1;;;;1
Savarin Restaurant;1;;;;1
Savills;4;;;;4
Savvy Locations;;;;1;1
SBK Facilitair Bedrijf (Stichting Beeldende Kunst);1;;;;1
SCA Packaging Nederland;1;;;;1
Schaefer Shop;1;;;;1
SCHAUFELI, F.R.;1;;;;1
Scheepvaart- en Handelsonderneming de Boer B.V;1;;;;1
Scheeres (incl. Lockerschop);;;1;;1
Scheffer;1;;;;1
Scheffer Schilders;2;;;;2
Schekman Elektrotechniek;1;;;;1
Schelde Sports;1;;;;1
Schellekens;1;;;;1
Schero Milieu & Sanering;1;;;;1
Schilderbedrijf Sikkens;2;;;;2
Schilders Gilde Friesland B.V.;1;;;;1
Schildersbedrijf A. Groen;1;;;;1
Schildersbedrijf And. Mijnheer & Zn;2;;;;2
Schildersbedrijf Duits-Fleuren;1;;;;1
Schildersbedrijf Habets & Deliège V.O.F.;1;;;;1
Schildersbedrijf Koenen;1;;;;1
Schildersbedrijf Noud van Bussel;2;;;;2
Schildersbedrijf Salet;2;;;;2
Schinfa T.H.O.;1;;;;1
Schiphol Groep (incl. Real Estate);1;4;;;4
Schippers Bouwmaterialen;1;;;;1
Schneider Electric (incl. MGE UPS Systems);2;;;;2
Scholte & De Vries Estoppey;1;;;;1
Schouten en Visschers;1;;;;1
Schouten Techniek;2;;;;2
Schoutenwegenbouw;1;;;;1
Schurgers Sleutelservice;1;;;;1
Scm Group Nederland;1;;;;1
Scope Webwinkel;1;;;;1
SDR Electrotechniek;1;;;;1
SDU - Service Centrum Uitgevers;1;;;;1
Seats2meet.com;1;;;1;1
Seceurtronics Nederland;1;;;;1
Sectra Communications;3;;;;3
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);1;;;;1
Security Retail;1;;;;1
Segers Ontstoppingsbedrijf;1;;;;1
Seijffert & Van Hillo Loodgieters- en Centrale Verwarmingsbedrijf;1;;;;1
Sensor Data;1;;;;1
Sepawand;1;;;;1
Service Centrum Auteurs- en Naburige Rec;1;;;;1
Service Equipe Nederland (vh Service Equipe Kampri);1;;;;1
Service Team Nederland;1;;;;1
SG Equipment;2;;;;2
SGS Ware Care;1;;;;1
Shell;;1;;;1
Shoefix;1;;;;1
Shurgard Self Storage;1;;;;1
Siecru Supply Company;1;;;;1
Siemens Nederland;2;;1;;3
''Sierviskwekerij ''''Waterweelde'''' B.V.'';1;;;;1
Sigma Coatings;1;;;;1
Signplan/Modulex;1;;;;1
Sikkens Verf Behang;1;;;;1
Sikkens Verkoop Nederland;2;;;;2
Sim Holland;1;;;;1
Simonis Oude Visafslag (incl. Catch Restaurant);1;;;;1
Simonis Verf B.V.;4;;;;4
Sinis;2;;;;2
Sip Signproductions;1;;;;1
Sita;2;;;;2
Sleutel- & Dranger Service;1;;;;1
Sleutelcentrale Slobben;1;;;;1
Sleutelservice.com;1;;;;1
Slukom;1;;;;1
SMC Security Monitoring Centre;1;;;;1
Smeba Brandbeveiliging;1;;;;1
Smederij Wessel;1;;;;1
Smeding;1;;;;1
Smit Elektra;4;;;;4
Smits Gemert;1;;;;1
Smits van Burgst;2;;;;2
Smorenberg Alkmaar;1;;;;1
SMSParking;1;;;;1
Snelpas Business Service;1;;;;1
Snijder Schilderwerken;1;;;;1
Snoek Hoveniers Grou;1;;;;1
SNS Reaal Bankverzekeraar;1;;;;1
Sociaal Cultureel Centrum Rosmalen;1;;;;1
Societeit De Witte Nieuwe of Litteraire;2;;;;2
Sodexo;1;;;;1
Solutions for Security;1;;;;1
Sorala Projecten B.V.;1;;;;1
Soweco Industrie;1;;;;1
Spaansen Grondstoffen en Logistiek B.V.;1;;;;1
Spaansen Tuin- en Bestratingsmaterialen B.V.;1;;;;1
Spaarnelanden;1;;;;1
Spaces Rode Olifant;3;2;;;3
SPACES4YOU BV;1;;;;1
SPE Society of Petroleum Engineers;1;;;;1
Special Arts Nederland;1;;;;1
Spiering Handelsonderneming;1;;;;1
Spitz Congres & Event;1;;;;1
Sport Gouda;1;;;;1
Sportcentrum van Asdonck;1;;;;1
Sportinrichtingen Nieuwegein;1;;;;1
Square Four B.V.;4;;;;4
Squizzo Architecten;1;;;;1
St. Pensioenfonds Openbaar Vervoer;2;;;;2
Staalbouw Utrecht B.V.;1;;;;1
Staalglas Bouw B.V.;1;;;;1
Staalimex;1;;;;1
Stads Galerie Woudrichem;1;;;;1
Stage Sound;1;;;;1
Staples (incl. Advantage, Corporate Express);1;;;;1
Star Project;1;;;;1
STAS Picture Hanging Systems;1;;;;1
Stayokay;1;;;;1
Stedin (vh Eneco Netbeheer, Mdds);1;7;;;7
Steegman Groep - Installatie- en Elektrotechniek;1;;;;1
Steendrukkerij Amsterdam;1;;;;1
Steigenberger Airport Hotel;1;;;;1
Steijns Renovatie & Onderhoudsbedrijf;1;;;;1
Stekelenburg Utrecht Glas;1;;;;1
Sterglas B.V.;1;;;;1
Sterling Fluid Systems;1;;;;1
Stetrin;1;;;;1
Stg Exploitatie Schietsportfaciliteit;1;;;;1
Stg Humanitas;6;;;;6
Stg Jade Zorggroep;5;;;;5
Stg Observant;1;;;;1
Stg SBHG;1;;;;1
Stg Sporthal;1;;;;1
Stg 't Huuske Arnhem West;1;;;;1
Stichting Bevrijdingsfestival Overijssel;1;;;;1
Stichting Cascade;1;;;;1
Stichting Dominicanenklooster Zwolle;1;;;;1
Stichting Haags Openbaar Vervoer Mu;1;;;;1
Stichting het Nederlands Persmuseum;1;;;;1
Stichting Kontakt der Kontinenten Conferentiehotel;1;;;;1
Stichting Productiehuis Plaatsmaken;1;;;;1
Stichting Utrechts Centrum Voor De Kunsten;1;;;;1
Stichting Veiligheidshuis Zeeland;3;;;;3
Stichting Vrienden van de O.L.V. Basiliek Maastricht;1;;;;1
Stichting Zorggroep Oude en Nieuwe Land;1;;;;1
Stieva Metalen Puien;1;;;;1
Still Intern Transport;1;;;;1
Stolker Glas;1;;;;1
Strandhotel Seeduyn Vlieland;1;;;;1
Suite Hotel Pincoffs;1;;;;1
