Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
De Goesting;1;;;;;;1
De Graaf Communicatie;1;;;;;;1
De Graaff Elektrotechniek;1;;;;;;1
De Graven van Leuven;1;;;;;;1
De Haan & Martojo Proj.detach., Werving B.V.;1;;;;;;1
De Harmonie B.V.;1;;;;;;1
De Heren 6 Bouwbedrijf B.V.;1;;;;;;1
De Hofstad Taxicentrale B.V.;1;;;;;;1
De Hoog ontwerp en onderzoek;1;;;;;;1
De Hoorneboeg B.V.;1;;;;;;1
De Jong Zuurmond Infrabeheer, Ond.&Serv. B.V.;6;;;;;;6
De keuken van Thijs;1;;;;;;1
De Klein Fietsen B.V.;1;;;;;;1
De kleine toren van Baarland;1;;;;;;1
De Koers;2;;;;;;2
De Kookfabriek Den Haag B.V.;1;;;;;;1
De Leeuw Legal;2;;;;;;2
De Lindenhof;1;;;;;;1
De Meerplaats;1;;;;;;1
De Merkdirectie;2;;;;;;2
De Natuurverdubbelaars;1;;;;;;1
De Notulant;2;;;;;;2
De Overburen;1;;;;;;1
de Persgroep Nederland B.V.;1;;;;;;1
De Personal Branding Coach B.V.;1;;;;;;1
De Politieke Dimensie B.V.;1;;;;;;1
De Praktijk, nat.wetenschapp. onderwijs B.V.;1;;;;;;1
De Processpecialisten B.V.;1;;;;;;1
De Reclamemakers Utrecht B.V.;1;;;;;;1
De Resolutie Utrecht B.V.;1;;;;;;1
De Ridder Consult B.V.;1;;;;;;1
De Roever Milieuadvisering;2;;;;;;2
De Roo Taxi B.V.;1;;;;;;1
De Rotterdam B.V.;1;;;;;;1
De Ruimte Advies;2;;;;;;2
De Schenker;1;;;;;;1
De Sleutelspecialist Leeuwarden V.O.F.;1;;;;;;1
De Slof;1;;;;;;1
De Steen Tekst- & Redactiebureau;2;;;;;;2
De Tombe Consultancy B.V.;1;;;;;;1
de urbanisten;2;;;;;;2
De Utrechtse Haven B.V.;1;;;;;;1
De Verbeeldingh B.V.;1;;;;;;1
De Versnelling B.V.;1;;;;;;1
De Vlieg Techniek B.V.;1;;;;;;1
De Vlinderstichting;2;;;;;;2
De volgende fase B.V.;4;;;;;;4
De Voort Advocaten - Mediators;1;;;;;;1
De Vreugdehoeve;1;;;;;;1
De Vries Projekt Design B.V.;2;;;;;;2
De Vulpen Cards B.V.;1;;;;;;1
De Winkel van Sinkel B.V.;1;;;;;;1
'De Zeemeeuw' Strandpaviljoen;1;;;;;;1
De Zilveren Vosch B.V.;1;;;;;;1
De Zwarte Hond Rotterdam B.V.;3;;;;;;3
Debat.NL B.V.;1;;;;;;1
Decisio B.V.;3;;;;;;3
Decolux Holding B.V.;2;;;;;;2
Dede & Söner V.O.F.;1;;;;;;1
Defabrique Evenementen B.V.;3;;;;;;3
Dehaco B.V.;1;;;;;;1
Déhora detachering B.V.;2;;;;;;2
DEKO Bewaking B.V.;1;;;;;;1
Dekxels B.V.;1;;;;;;1
Delft Interim;2;;;;;;2
Delft Projectmanagement B.V.;1;;;;;;1
Delmeco Fishing Technology B.V.;1;;;;;;1
Deloitte Accountants;3;;;;;;3
Delta III Visuals & Communications;1;;;;;;1
Delta PI;4;;;;;;4
Delta Project Management B.V.;2;;;;;;2
Deltalinqs;2;;;;;;2
Delto Solutions B.V.;1;;;;;;1
Demas Dredging Consultants B.V.;2;;;;;;2
DEMO Consultants B.V.;2;;;;;;2
Den Engh B.V.;1;;;;;;1
Den Haag Centrum v. Strategische Studies B.V.;3;;;;;;3
Den Witten Haen;1;;;;;;1
Dendy B.V.;1;;;;;;1
Denios B.V.;1;;;;;;1
Denkproducties V.O.F.;1;;;;;;1
Denkwerk Kunneman;1;;;;;;1
DeSeizoenen B.V.;1;;;;;;1
Desmet Studio's Amsterdam B.V.;1;;;;;;1
DESSO B.V.;;1;;;;;1
Destiny's Development;1;;;;;;1
Detron ICT Infrastructure Solutions;1;;;;;;1
Detron Telecom Enterprise;3;;;;;;3
Deuts;1;;;;;;1
DFG;1;;;;;;1
DG Beveiliging en Communicatie B.V.;1;;;;;;1
DGMR Industrie Verkeer en Milieu B.V.;3;;;;;;3
DHV B.V.;2;;;;;;2
Dialogic Innovatie & Interactie;1;;;;;;1
Diemex Expertise;1;;;;;;1
Diesel Service West;1;;;;;;1
DIG - Design Innovation Group B.V.;1;;;;;;1
Digital Action;1;;;;;;1
Digital Ants;2;;;;;;2
Digital Revolution B.V.;1;;;;;;1
DigitalsOnline;1;;;;;;1
Dijksterhuis & van Baaren Werkmaatsch. B.V.;2;;;;;;2
Dijkstra Wadlooptochten;;1;;;;;1
Dimples;1;;;;;;1
Diner Thuis;1;;;;;;1
Direct2Improve B.V.;4;;;;;;4
Divide B.V.;1;;;;;;1
DNA Projecten B.V.;1;;;;;;1
DNV GL Business Assurance;1;;;;;;1
Doclife B.V.;3;;;;;;3
Documa GMT B.V.;2;;;;;;2
Dokkumer Vlaggen Centrale B.V.;1;;;;;;1
Don Bureau B.V.;4;;;;;;4
Dopper;1;;;;;;1
Dörr Kampen B.V.;1;;;;;;1
Double Green Projects B.V.;1;;;;;;1
DoubleSense;4;;;;;;4
Douwe E. Buis B.V.;2;;;;;;2
Douwe Egberts Horeca;1;;;;;;1
Down Town Nijmegen B.V.;1;;;;;;1
Down Under Horecaexploitatie B.V.;1;;;;;;1
Doxa Communicatie B.V.;3;;;;;;3
Doxis;7;;;;;;7
DP Scheveningen B.V.;1;;;;;;1
DPA Cauberg-Huygen;2;;;;;;2
DPI Animation House B.V.;2;;;;;;2
Dräger Nederland B.V.;3;;;;;;3
Drentea Kantoormeubelen;2;;;;;;2
Drijvend Paviljoen;2;;;;;;2
Drukkerij De Lange C.V.;1;;;;;;1
Drukkerij Kempers B.V.;1;;;;;;1
Drukkerij Skyline Asten;1;;;;;;1
Drukkerij Wilco;1;;;;;;1
Druko B.V.;1;;;;;;1
Drukzo;1;;;;;;1
Drupsteen + Straathof;1;;;;;;1
D-SIGN makers;1;;;;;;1
DtC - Desire to Communicate;1;;;;;;1
DTV Consultants B.V.;2;;;;;;2
Du Nord Rijwielen;1;;;;;;1
Dubbel E. Acteerservice B.V.;1;;;;;;1
Duerinck Holding B.V.;1;;;;;;1
Duikers- & Bergingsbedrijf W. Smit B.V.;1;;;;;;1
Duke Faunabeheer;3;;;;;;3
Duo Market Research B.V.;1;;;;;;1
Dutch Golf Supplies B.V.;1;;;;;;1
Dutch Leisure Concepts;1;;;;;;1
Dutch Marine Holding B.V.;2;;;;;;2
Dutch Marines Rowing Challenge;1;;;;;;1
Dutch Research Institute for Transitions B.V.;2;;;;;;2
Dutch Space;;2;;;;;2
Duurzaamheid4all;2;;;;;;2
DuurzaamNL B.V.;1;;;;;;1
DVP Europe B.V.;2;;;;;;2
Dwarsverband;3;;;;;;3
Dymospecialist;1;;;;;;1
DynaVision B.V.;3;;;;;;3
E. & H. Brunekreef t.h.o.d.n. Spar Brunekreef;1;;;;;;1
E. van der Boom Advies;2;;;;;;2
E.A.M. Groenewegen Holding B.V.;1;;;;;;1
E.B.O. van Weel Beheer B.V.;1;;;;;;1
E.T. Ebbens Wateradvies & Projecten;1;;;;;;1
Easy Access;2;;;;;;2
easy2rent B.V.;1;;;;;;1
ECN Wind Energy Facilities B.V.;4;;;;;;4
Eco Services B.V.;3;;;;;;3
Ecofys Netherlands B.V.;4;;2;;;;4
Ecologica B.V.;1;;;;;;1
Ecologisch Adviesbureau Bleijerveld;1;;;;;;1
Ecoloss Project B.V.;2;;;;;;2
Ecomediagroep B.V.;1;;;;;;1
ECORYS Nederland B.V.;7;;;;;;7
Eden Den Haag Hotel Exploitatie I B.V.;1;;;;;;1
Eden Springs Nederland B.V.;1;;;;;;1
Edialux Nederland B.V.;1;;;;;;1
Edo Advies;1;;;;;;1
EDV Holding B.V.;1;;;;;;1
Een dag in Vorm;1;;;;;;1
Eerst doen, dan denken;1;;;;;;1
Eetcafe 't Keershuys;1;;;;;;1
Effectory B.V.;;;2;;;;2
Egona Instruments;1;;;;;;1
EHM Hotel Breda B.V.;1;;;;;;1
EHS crew;1;;;;;;1
EIC Mainport Rotterdam;1;;;;;;1
Eidhof Advies;2;;;;;;2
Eiffel B.V.;1;;;;;;1
Eight Media B.V.;4;;;;;;4
Eighty 2 Concepts B.V.;1;;;;;;1
Elba Media B.V.;2;;;;;;2
Elbenk Com.;1;;;;;;1
Elec.techn. Bureau Van den Meerendonk B.V.;1;;;;;;1
Electrabel Invest B.V.;1;;;;;;1
Electro-Techn. Inst.bedr. 'Leerkes' B.V.;2;;;;;;2
Elektro Weerts B.V.;1;;;;;;1
Elektro-Four B.V.;1;;;;;;1
Elektro-Groeneweg Installatie B.V.;2;;;;;;2
Elements Interactive;2;;;;;;2
Elja Daae Marketingadvies;1;;;;;;1
Ellen Olde Bijvank;1;;;;;;1
Elleni;1;;;;;;1
Elles van Happen Communicatie;2;;;;;;2
Ellinikon;1;;;;;;1
Elycio Talen B.V.;1;;;;;;1
Elzinga & Oterdoom Procesmanagement;1;;;;;;1
EMA Gravures Flevoland V.O.F.;1;;;;;;1
Emeritor Procurement Services B.V.;2;;;;;;2
EMMA Communicatie B.V.;4;;;;;;4
Ems Films Holland B.V.;3;;;;;;3
en andere ontwerpen;1;;;;;;1
Eneco B.V.;1;;;;;;1
Energieonderzoek Centrum Nederland;5;;;;;;5
Enexis B.V.;3;;;;;;3
Enexis Meetbedrijf B.V.;1;;;;;;1
Engel & Zo B.V.;2;;;;;;2
Engelen en Partners Organisatieontwikk. B.V.;1;;;;;;1
Engels & Partners;2;;;;;;2
ENGIE Infra & Mobility B.V.;1;;;;;;1
ENGIE Services Noord B.V.;3;;;;;;3
Enginar B.V.;1;;;;;;1
Enno Zuidema Stedebouw B.V.;1;;;;;;1
Enprodes Management Consultancy B.V.;1;;;;;;1
Enterprise Engineering Institute;1;;;;;;1
Entopic B.V.;1;;;;;;1
Eo Wijers-stichting;3;;;;;;3
E-PLACE;1;;;;;;1
Epona Software Productions B.V.;2;;;;;;2
Erdi Wegbebakening B.V.;1;;;;;;1
Ergolift B.V.;1;;;;;;1
Erinkveld rentmeesters;1;;;;;;1
Ernst & Young Accountants LLP;4;;;;;;4
Ernst Sillem Hoeve B.V.;1;;;;;;1
Escher MC;1;;;;;;1
Espero B.V.;1;;;;;;1
Espi Designers B.V.;3;;;;;;3
Esquine Advies B.V.;2;;;;;;2
Esra Handelmaatschappij B.V.;1;;;;;;1
Esri Nederland;1;;;;;;1
Esri Nederland Groep;1;;;;;;1
Essencia B.V.;1;;;;;;1
Essentium B.V.;3;;;;;;3
Eten & Drinken B.V.;1;;;;;;1
Eten & Zo Zoetermeer B.V.;1;;;;;;1
Eureka Internationaal B.V.;1;;;;;;1
Eurofins Analytico B.V.;2;;;;;;2
Euro-Index B.V.;1;;;;;;1
EV-Box;1;;;;;;1
Evera en Ondernemershuis Groningen;1;;;;;;1
Everett NL B.V.;2;;;;;;2
Evite Services B.V.;2;;;;;;2
Evura;1;;;;;;1
Ewegh;1;;;;;;1
Ex Aequo Pruijssers Management B.V.;2;;;;;;2
Excedo Consult B.V.;1;;;;;;1
EXED B.V.;1;;;;;;1
Experian Nederland B.V.;1;;;;;;1
Exploitatie Maatschappij Spant B.V.;1;;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;;;;1
Extrarius Adventures;1;;;;;;1
Eyehear B.V.;1;;;;;;1
F. C. Nienhuis Wegbeveiliging;1;;;;;;1
F.A.X. Translations B.V.;2;;;;;;2
Faber Vlaggen;1;;;;;;1
Fabrique [merken, design & interactie];3;;;;;;3
Facilitor B.V.;2;;;;;;2
Facility Support;1;;;;;;1
Factor Vijf;2;;;;;;2
FAIRVIEW-IMAGES;1;;;;;;1
Fakton B.V.;2;;;;;;2
Falck Nutec B.V.;1;;;;;;1
Falco B.V.;1;;;;;;1
Fanplay;4;;;;;;4
Farwick Groenspecialisten;1;;;;;;1
Faunaland Axel V.O.F.;1;;;;;;1
Febo Druk B.V.;1;;;;;;1
Feddes/Olthof Landschapsarchitecten B.V.;2;;;;;;2
FEDERATIE DE;1;;;;;;1
Feller Media B.V.;2;;;;;;2
Fellini Rotterdam Exploitatie B.V.;1;;;;;;1
Fennec;1;;;;;;1
Ferro Explore B.V.;2;;;;;;2
Ffact Management Consultants B.V.;2;;;;;;2
FHT Perslucht B.V.;1;;;;;;1
Fibéo;1;;;;;;1
Fidato B.V.;1;;;;;;1
Fietsersbond;2;;;;;;2
Fietsned B.V.;1;;;;;;1
Fietspoint Leeuwarden V.O.F.;1;;;;;;1
Fietspunt B.V.;1;;;;;;1
Filtrex Services;1;;;;;;1
Finaps B.V.;4;;;;;;4
Finitouch Interieurbouw B.V.;1;;;;;;1
Fiori Interim & Advies B.V.;1;;;;;;1
Firma Hof der Muzen;1;;;;;;1
First Class Amersfoort;1;;;;;;1
First Dutch Services B.V.;4;;;;;;4
Fitnesscentrum De Bataaf;1;;;;;;1
Five Spices B.V.;2;;;;;;2
FixFiets.nl;1;;;;;;1
Flamengo Beach Exploitatie;1;;;;;;1
Flanderijn en v. Eck Gerechtsdeurwaard. B.V.;1;;;;;;1
Fleishman-Hillard B.V.;3;;;;;;3
Fletcher Hotel-Restaurant Heiloo;1;;;;;;1
Flex Professionals;4;;;;;;4
Flexprof B.V.;2;;;;;;2
Flink Productrealisatie;2;;;;;;2
FloraNL;1;;;;;;1
Flow Innovation;2;;;;;;2
Flowers Insight;1;;;;;;1
Flycatcher Internet Research B.V.;1;;;;;;1
FM Projekten B.V.;1;;;;;;1
Focus Green B.V.;1;;;;;;1
Folkline Enterprises;1;;;;;;1
Food & Biobased Research;4;;;;;;4
Food Cabinet B.V.;1;;;;;;1
Form International B.V.;2;;;;;;2
Fort Resort Beemster B.V.;1;;;;;;1
Fortune Factory B.V.;1;;;;;;1
Foto-Atelier C.P.D.;1;;;;;;1
Fotografie : Paul Voorham;1;;;;;;1
Fotografie Siebe Swart;1;;;;;;1
Four Digits B.V.;1;;;;;;1
Foxgloves advies;2;;;;;;2
Frame B.V.;1;;;;;;1
Francisca Rosner, Art and the City;1;;;;;;1
Franke Interim Management B.V.;1;;;;;;1
Frankwatching B.V.;1;;;;;;1
Frans van de Polder Gr. & Fr. Specialiteiten;1;;;;;;1
Frephitophe;2;;;;;;2
Fri-Jado Super Service;1;;;;;;1
Friso Spoelstra Fotografie;1;;;;;;1
frits van drunen consultancy;2;;;;;;2
FriZZ Communicatie;2;;;;;;2
Froger Consultancy;1;;;;;;1
Fruitful Office Nederland B.V.;1;;;;;;1
Fugro GeoServices B.V.;1;;;;;;1
Fujitsu Technology Solutions B.V.;;;;;2;;2
Fundar B.V.;3;;;;;;3
Fundata Computers;1;;;;;;1
Future Communication Consultants B.V.;3;;;;;;3
Futures Studies & Manag. Consultancy B.V. FSM;1;;;;;;1
Fysergo B.V.;4;;;;;;4
G.J.J. Scholte Holding B.V.;2;;;;;;2
Gabo Twente B.V.;1;;;;;;1
Gait Rigter Fietsenwinkel;1;;;;;;1
Gall & Gall (B.J. Wühl);1;;;;;;1
Gardepoort;1;;;;;;1
Gartner Nederland B.V.;4;;;;;;4
Gasned B.V.;1;;;;;;1
Gastheeren Bedrijfscatering;1;;;;;;1
Gebo Tours B.V.;1;;;;;;1
gefeliciTAART B.V.;1;;;;;;1
Gelders Genootschap;1;;;;;;1
Gemaco B.V.;1;;;;;;1
Gemeenschapshuis 'De Zevensprong';1;;;;;;1
Geo.xyz B.V.;4;;;;;;4
Geochip;1;;;;;;1
Geodan B.V.;6;;;;;;6
Geodan Holding B.V.;1;;;;;;1
GeoFort Exploitatie B.V.;1;;;;;;1
Geofox-Lexmond B.V.;1;;;;;;1
Geomarc;1;;;;;;1
Geovusie;2;;;;;;2
Gerard Borkus;1;;;;;;1
Gerdes Translations;1;;;;;;1
Gerdo B.V.;1;;;;;;1
Gert Jakobs B.V.;1;;;;;;1
Geschenkbezorgen.nl B.V.;1;;;;;;1
Getronics N.V.;4;;;;;;4
Getting the picture B.V.;1;;;;;;1
Gewoon aan de slag;2;;;;;;2
Gewoon! Commandeur;1;;;;;;1
GezondVerkeer;3;;;;;;3
GGN van Mastrigt & Partners;1;;;;;;1
Giant Leap Technologies B.V.;1;;;;;;1
Giant Publicity B.V.;1;;;;;;1
GIBA service;2;;;;;;2
GIDEAS;2;;;;;;2
Gijs Veerhoek Producties;1;;;;;;1
Gispen Groningen;1;;;;;;1
GITP B.V.;2;;;;;;2
GITP Training & Opleiding B.V.;1;;;;;;1
GKB Interim Management;1;;;;;;1
Glassinstruments;1;;;;;;1
gloedcommunicatie;1;;;;;;1
GoDataDriven B.V.;;1;;;;;1
Godelieve Spaas Consultancy B.V.;1;;;;;;1
Golden Tulip Hotel Central;1;;;;;;1
Gom Schoonhouden;1;;;;;;1
Goodbrandz;2;;;;;;2
Gotcha Monitoring Systems;2;;;;;;2
Goud Activatie;1;;;;;;1
Goudappel Coffeng B.V.;5;;;;;;5
Gouweloos Elektrotechniek B.V.;1;;;;;;1
Grand Hôtel Amrâth Kurhaus B.V.;1;;;;;;1
Grand Kasteel Woerden B.V.;1;;;;;;1
Grandcruwijnen.nl;1;;;;;;1
Granny's Finest B.V.;1;;;;;;1
Gravioli;1;;;;;;1
Green Earth Products;1;;;;;;1
Greenlight Solutions;2;;;;;;2
GreyPOSSIBLE Amsterdam B.V.;2;;;;;;2
Grizzly B.V.;1;;;;;;1
GRM Expertises B.V.;2;;;;;;2
GroenBlauw;1;;;;;;1
Grondslag B.V.;1;;;;;;1
Grondwerk Projectmanagers B.V.;2;;;;;;2
Grontmij N.V.;6;;;;;;6
Grontmij Nederland B.V.;3;;;;;;3
GT-Advies;1;;;;;;1
Gunnebo Nederland B.V.;1;;;;;;1
Gusto;1;;;;;;1
Guy Honée;1;;;;;;1
Guy Wolfs Hoveniersbedrijf;1;;;;;;1
GVB Veren B.V.;1;;;;;;1
GVG Holding B.V.;2;;;;;;2
h eerlijk ondernemend;1;;;;;;1
H. v/d Galiën-F. Verbeek/I QUIT SMOKING;1;;;;;;1
H.C. de Vries Digitale Media;1;;;;;;1
H.J.M. Zonderland Fotografie;1;;;;;;1
H.O.D. Nederland B.V.;1;;;;;;1
H+N+S B.V.;3;;;;;;3
H2H advies;2;;;;;;2
Haai B.V.;2;;;;;;2
Haarlem Hydraulics;1;;;;;;1
HACH;1;;;;;;1
Hafo B.V.;1;;;;;;1
Hago Electronics;1;;;;;;1
Hakvoort Professional Zuid B.V.;1;;;;;;1
Handels- en Verhuurbedrijf Krans B.V.;2;;;;;;2
Handelsonderneming Boshuis;1;;;;;;1
Hanno Automaterialen;1;;;;;;1
Hans Cox V.O.F.;1;;;;;;1
Hans de Bruijn Training & Advies;1;;;;;;1
Hans Roetert Advies Onroerende Zaken;1;;;;;;1
Hans Roggen Fotografie;1;;;;;;1
Hansa Service B.V.;1;;;;;;1
Happy Meat B.V.;1;;;;;;1
Harbour Horeca B.V.;1;;;;;;1
Harms Communicatie;1;;;;;;1
Harmsen Heftrucks B.V.;1;;;;;;1
Hartemink Verkeersopleidingen B.V.;1;;;;;;1
HaskoningDHV Nederland B.V.;7;;;;;;7
Haute Equipe;4;;;;;;4
Havenbedrijf Amsterdam N.V.;2;;;;;;2
Havenbedrijf Rotterdam N.V.;2;;;;;;2
Haverkamp & Bergers Project Communicatie;1;;;;;;1
HCR Wilhelmina B.V.;1;;;;;;1
HeadFirst B.V.;;2;;;;;2
Heart & Soul Events B.V.;1;;;;;;1
Hebo Maritiem Service B.V.;2;;;;;;2
HEC B.V.;5;;;;;;5
Hecla Professional Audio & Video Systems B.V.;1;;;;;;1
Hectas Facility Services C.V.;1;;;;;;1
Hefas Branddetectie B.V.;1;;;;;;1
Hefmatic B.V.;1;;;;;;1
Heigo Nederland B.V.;1;;;;;;1
Heijmans Technische Infra Regio Zuid-West;1;;;;;;1
Heijmans Wegen B.V.;2;;;;;;2
Heijnen Infra Contractmanagement;2;;;;;;2
Heinis Waterbeheer en Ecologie;1;;;;;;1
Heleen Schaaf Communicatie;1;;;;;;1
Heli Holland Air Service B.V.;4;;;;;;4
HERBERGH VAN BADHOEVEDORP;1;;;;;;1
Hereitcomes B.V.;1;;;;;;1
Hermeion B.V.;1;;;;;;1
Hertzinger Satelliet Ontvangst B.V.;1;;;;;;1
Hesbak 2 B.V.;1;;;;;;1
Hestair Aviation Consultancy;2;;;;;;2
Het Balkon;1;;;;;;1
Het Bureau van Sintnicolaas;1;;;;;;1
Het Gegeven Paard B.V.;1;;;;;;1
Het Gezelschap 'Practische Studie';1;;;;;;1
Het Keringhuis;1;;;;;;1
Het Kookplein;1;;;;;;1
Het Lab grafisch ontwerpers B.V.;1;;;;;;1
Het Meterhuis;1;;;;;;1
Het Muntgebouw-Utrecht B.V.;2;;;;;;2
Het Nederlands Vestingmuseum;1;;;;;;1
Het Nederlandse Rode Kruis;1;;;;;;1
Het NIC B.V.;2;5;;;;;5
Het NIC Inkoop Interim Management;4;;;;;;4
Het Notuleercentrum B.V.;2;;;;;;2
Het Nutshuis;1;;;;;;1
Het Nwe Rijden Elektrisch Verv. Centrum B.V.;1;;;;;;1
Het Restaurant van Piet Hein Eek B.V.;1;;;;;;1
Het Rijk van de Keizer B.V.;1;;;;;;1
Het Twickelerveld B.V.;1;;;;;;1
Het Venster op Waterland;1;;;;;;1
Het Voorster Nieuws;1;;;;;;1
Heuvelman Ibis B.V.;2;;;;;;2
Heuvelman Sound & Vision B.V.;1;;;;;;1
Hewlett-Packard Nederland B.V.;4;;;;;;4
Hiemstra & De Vries B.V.;3;;;;;;3
HIG Traffic Systems;1;;;;;;1
High Security International B.V.;1;1;;;;;1
Hilgers Recruitment;3;;;;;;3
Hillsafety B.V.;1;;;;;;1
Hillson Holding B.V.;1;;;;;;1
Hiltra Verhuur B.V.;1;;;;;;1
Hilversum Events;1;;;;;;1
Hinowa Nederland B.V.;1;;;;;;1
HintTech B.V.;1;;;;;;1
Hirez;1;;;;;;1
HKH Mailorder Solutions;1;;;;;;1
HKV Lijn in Water B.V.;5;;;;;;5
Hobru Wegenonderhoud B.V.;1;;;;;;1
Hoek Zakelijk Vervoer B.V.;1;;;;;;1
Hoekstra Vastgoedbeheer B.V.;1;;;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;2;;;;;;2
Hoffmann Bedrijfsrecherche B.V.;2;;;;;;2
Hofkens HIG B.V.;1;;;;;;1
Hofstad, Advies & Organisatie;1;;;;;;1
Hoge Bomen;1;;;;;;1
Hogeschool Domstad Facilitaire Zaken B.V.;1;;;;;;1
HOI4U Rental International B.V.;1;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;1
Holland Consulting Group;1;;;;;;1
Holland Floor Projectstoffering B.V.;2;;;;;;2
Holland Mast B.V.;1;;;;;;1
Holland Riooltechniek;1;;;;;;1
Holland Solar;2;;;;;;2
Hollandse Hoogte B.V.;2;;;;;;2
Homij Technische Installaties B.V.;1;;;;;;1
Homo Ludens;2;;;;;;2
Hooch Watersport Bootliften;1;;;;;;1
Hoogteyling BNO;1;;;;;;1
Hoppinger;1;;;;;;1
Horatio, Schade-auditors B.V.;2;;;;;;2
Horeca Exploitatie Maatschappij Schiphol B.V.;1;;;;;;1
Horequip B.V.;;1;;;;;1
Horizon Photoworks;1;;;;;;1
Horizon, Design & Development;2;;;;;;2
Hornbach Bouwmarkt (Nederland) B.V.;1;;;;;;1
Horvat & Partners B.V.;2;;;;;;2
Hostnet B.V.;1;;;;;;1
Hot ITem B.V.;5;;;;;;5
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;2;;;;;;2
Hotel Café Le Bonheur;1;;;;;;1
Hotel Contact B.V.;4;;;;;;4
Hotel Drachten B.V.;1;;;;;;1
Hotel Exploitatie Kerckebosch B.V.;1;;;;;;1
Hotel Exploitatiemaatschappij Chagall B.V.;1;;;;;;1
Hotel Maatschappij Schiphol B.V.;2;;;;;;2
Hotel New York B.V.;1;;;;;;1
Hotel Restaurant De Vossenberg B.V.;1;;;;;;1
Hotel Venlo;1;;;;;;1
Hotel Vianen B.V.;1;;;;;;1
Hotel Vue-La Caverne B.V.;2;;;;;;2
Hotel Zaanstad B.V.;1;;;;;;1
Hotel Zuiderduin B.V.;1;;;;;;1
Houblon Management;4;;;;;;4
House of Generations B.V.;1;;;;;;1
Hoveniersbedrijf Jkh;1;;;;;;1
Hoveniersbedrijf Kees de Bruin B.V.;1;;;;;;1
HOW2SE B.V.;2;;;;;;2
HowAboutYou B.V.;1;;;;;;1
HRGroep B.V.;4;;;;;;4
HSM B.V.;1;;;;;;1
HTCE Site Management B.V.;1;;;;;;1
HTMC Holding B.V.;1;;;;;;1
Huis ten Haghe;1;;;;;;1
Huize Molenaar B.V.;1;;;;;;1
Huizer Bouw B.V.;4;;;;;;4
Hulskamp Audiovisueel Zwolle;1;;;;;;1
HumanCapitalCare B.V.;2;;;;;;2
HumanDimensions Training & Development;1;;;;;;1
Humphrey's Den Haag B.V.;1;;;;;;1
Hurts Support;3;;;;;;3
Husmann Technisch Product Advies;2;;;;;;2
HUSS B.V.;1;;;;;;1
Hutten Business Catering B.V.;1;;;;;;1
Hutten Catering B.V.;1;;;;;;1
HVR PA/PR;2;;;;;;2
Hypercube Business Innovation B.V.;1;;;;;;1
I & O Research B.V.;4;;;;;;4
I.D. Image Development;1;;;;;;1
I.F.C. International Freight (Caribbean) B.V.;1;;;;;;1
I.P.R. Haarlem B.V.;2;;;;;;2
IASAS;2;;;;;;2
IBG Advies;1;;;;;;1
Ibou B.V.;1;;;;;;1
Ibuildings.NL Zeeland B.V.;2;;;;;;2
iCURO Projecten;1;;;;;;1
Id Checker.Nl B.V.;1;;;;;;1
IDA Projectadvies;3;;;;;;3
Ideate;2;;;;;;2
Ideeaanzee B.V.;2;;;;;;2
Idétrading Electronics B.V.;1;;;;;;1
i-did slow fashion B.V.;2;;;;;;2
Iduna Marketing;1;;;;;;1
If Technology B.V.;1;;;;;;1
IFS Interim B.V.;5;;;;;;5
Igluu B.V.;1;;;;;;1
IHS Global B.V.;1;;;;;;1
IJzeren Man B.V.;1;;;;;;1
IJzerhandel Zwaard B.V.;1;;;;;;1
Imagro B.V.;2;;;;;;2
IMARES;4;;;;;;4
Imouse B.V.;2;;;;;;2
Impromex Technics B.V.;1;;;;;;1
Improofit;2;;;;;;2
ImproSophie;1;;;;;;1
Improve Quality Services B.V.;1;;;;;;1
Imtech Industrial Services;1;;;;;;1
Imtech Infra Data B.V.;5;;;;;;5
In de Driehoek, congres- en vergadercentrum;1;;;;;;1
In de Keten B.V.;2;;;;;;2
In De Ruimte;1;;;;;;1
In de Steigers B.V.;1;;;;;;1
In2Content B.V.;4;;;;;;4
In2Flow Consulting B.V.;2;;;;;;2
In2Talent B.V.;3;;;;;;3
in60seconds;2;;;;;;2
Incensio B.V.;2;;;;;;2
Incentro Nederland B.V.;1;;;;;;1
Incontrol Management Consultants B.V.;2;;;;;;2
Indisch Restaurant Garoeda;1;;;;;;1
IndoorSolution B.V.;1;;;;;;1
Industrieel Toerisme B.V.;1;;;;;;1
Inf.- & Comm.techn. Stud.ver. Inter-Actief;1;;;;;;1
Infinity;2;;;;;;2
Info Support MITS B.V.;1;;;;;;1
Infologistics B.V.;1;;;;;;1
Infoplaza B.V.;;1;;;;;1
Informaat B.V.;5;;;;;;5
infostrait Services B.V.;1;;;;;;1
Infram B.V.;7;;;;;;7
Infram Participatie B.V.;2;;;;;;2
Infrasio;2;;;;;;2
Infraspeed B.V.;13;;;;;;13
