"project_no","title","county","school_district","census_tract","how_far_north","how_far_east","number","direction","name","suffix","location","completion_year_estimate","status","cost_in_millions_of_dollars","overall_classification_type","primary_project_type","primary_activity_type","primary_use_type","complex_project_type","complex_activity_type","complex_use_type","housing_sub_type","office_square_feet","retail_and_commercial_square_feet","industrial_warehouse_heavy_commercial_sq_ft","hotel_rooms","housing_units","description","developer","also_in_1983_to_1989_database","also_in_river_crown_plaza_housing_database"
"1530","Benson Place Townhomes","Clay","Liberty","213.1","* 2,793,166","* 1,129,245","8612","NE","98th","Ct","8612 NE 98th Ct","2007","Completed","* 21","Residential","Building","New","Housing","Building","New","Housing","Townhouses",,,,,"* 172","172 townhouses built since 2002","Hunt Midwest Real Estate Development","No","No"
"1166","Benson Place Brookview Townhomes","Clay","Liberty","213.1","* 2,793,166","* 1,129,245","8500","NE","97th","Te","8500 NE 97th Te","2008","Completed","* 9","Residential","Building","New","Housing","Building","New","Housing","Townhouses",,,,,"* 44","44 townhouses built since 2003","Hunt Midwest Real Estate Development","No","No"
"1845","Benton House of Shoal Creek","Clay","Liberty","213.1","* 2,794,028","* 1,129,242","9601","N","Tullis","Dr","9601 N Tullis Dr","2012","Completed","* 8","Residential","Building","New","Housing","Building","New","Housing","Group Quarters",,,,," ","80-bed assisted living facility for seniors","Hunt Midwest Real Estate Development and Principal Senior Living Group","No","No"
"992","Montclair Single Family Homes","Clay","Liberty","213.09","* 2,799,732","* 1,129,069","9600","N","Arlington","Av","9600 N Arlington Av","2018","Underway","* 52","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 131","131 single family homes built since 1990","AHD, LLC","No","No"
"1214","Good Shepherd Church Addition","Clay","North Kansas City","212.05","* 2,767,405","* 1,128,972","9555","N","Oak","Tfwy","9555 N Oak Tfwy","2005","Completed","* 3","Non-Residential","Building","Expansion","Social Service","Building","Expansion","Social Service"," ",,,,," ","$3 million church addition","Good Shepherd Church","No","No"
"1665","Steeple Oaks Multifamily","Clay","Platte County","213.06","* 2,765,569","* 1,128,936","9580","N","Main","St","9580 N Main St","2010","Completed","* 4","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 28","28 multifamily units built 2006 to 2010"," ","No","No"
"825","Park Ridge Single Family Homes","Clay","North Kansas City","212.05","* 2,768,829","* 1,128,426","9501","N","Kenwood","Ct","9501 N Kenwood Ct","2005","Completed","* 28","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 111","111 single family homes built 1990 to 2005"," ","No","No"
"1191","Villas of Montclair Single Family Homes","Clay","Liberty","213.09","* 2,798,184","* 1,128,311","9423","N","Ditzler","Av","9423 N Ditzler Av","2015","Underway","* 12","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 45","45 single family homes built since 1990","AHD, LLC","No","No"
"1216","North Oak Medical Office Building","Clay","North Kansas City","212.05","* 2,767,365","* 1,128,275","9501","N","Oak","Tfwy","9501 N Oak Tfwy","2005","Completed","* 3","Non-Residential","Building","New","Medical","Building","New","Medical"," ",,,,," ","new $3 million medical office building","Jones & Co.","No","No"
"1641","Genesis Place Estates Single Family Homes","Platte","Platte County","302.01","* 2,752,870","* 1,128,250","9458","N","Adrian","Pl","9458 N Adrian Pl","2018","Underway","* 20","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 56","56 single family homes built since 2006"," ","No","No"
"1193","Northview Single Family Homes","Clay","North Kansas City","213.03","* 2,779,221","* 1,128,122","3705","NE","95th","St","3705 NE 95th St","2019","Underway","* 98","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 235","235 single family homes built since 2002"," ","No","No"
"1368","North Oak Townhomes","Clay","Platte County","212.07","* 2,766,180","* 1,128,106","9519","N","Main","St","9519 N Main St","2006","Completed","* 6","Residential","Building","New","Housing","Building","New","Housing","Townhouses",,,,,"* 46","46 townhomes built since 2004"," ","No","No"
"1581","Genesis Place Single Family Homes","Platte","Platte County","302.05","* 2,752,944","* 1,127,968","9512","N","Adrian","Pl","9512 N Adrian Pl","2018","Underway","* 15","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 66","66 single family homes built since 2006","Genesis Development Team","No","No"
"1582","Genesis Trails Duplexes","Platte","Platte County","302.01","* 2,754,172","* 1,127,832","9338","N","Gower","Av","9338 N Gower Av","2008","Completed","* 7","Residential","Building","New","Housing","Building","New","Housing","Duplex",,,,,"* 46","46 duplex units built 2006 to 2008","Genesis Development Team","No","No"
"1740","Worth Harley-Davidson North","Platte","Park Hill","303.08","* 2,742,187","* 1,127,788","9400","NW","Prairie View","Rd","9400 NW Prairie View Rd","2010","Completed","* 3","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 62,000 sq. ft. motorcycle dealership","Rick Worth","No","No"
"1658","Genesis Crossing Multifamily","Platte","Platte County","302.05","* 2,752,378","* 1,127,772","9411","N","Amoret","Av","9411 N Amoret Av","2013","Completed","* 8","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 57","57 single family homes built 2007 to 2013"," ","No","No"
"1028","North Oak Crossing Apartments","Clay","Platte County","212.07","* 2,766,586","* 1,127,756","9400","N","Oak","Tfwy","9400 N Oak Tfwy","2003","Completed","* 16","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 64","new 64-unit apartment complex","Brisben Development Company","No","No"
"824","Willow Brooke Single Family Homes","Clay","North Kansas City","212.05","* 2,771,179","* 1,127,739","9420","N","Lydia","Av","9420 N Lydia Av","2004","Completed","* 73","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 239","239 single family homes built 1990 to 2004","Willow Brooke Development Co.","No","No"
"1388","Woodneath Farms, The Villas Single Family Homes","Clay","Liberty","213.09","* 2,797,645","* 1,127,644","9004","NE","94th","Te","9004 NE 94th Te","2006","Completed","* 8","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 20","20 single family homes built since 2003","Hunt Midwest Real Estate Development","No","No"
"1266","Tiffany Hills Youth Athletic Complex","Platte","Park Hill","303.08","* 2,740,363","* 1,127,628","7700","NW","Tiffany Springs","Rd","7700 NW Tiffany Springs Rd","2005","Completed","* 8","City Capital Improvement","Infrastructure","New","Recreation","Infrastructure","New","Recreation"," ",,,,," ","new $8 million baseball and soccer complex","City of Kansas City, MO","No","No"
"1267","Springs Aquatic Center","Platte","Park Hill","303.08","* 2,740,363","* 1,127,628","9400","N","Congress","Av","9400 N Congress Av","2006","Completed","* 8","City Capital Improvement","Infrastructure","New","Recreation","Infrastructure","New","Recreation"," ",,,,," ","new $8 million aquatic center","City of Kansas City, MO","No","No"
"826","Oak Hill Estates Single Family Homes","Clay","North Kansas City","212.05","* 2,768,952","* 1,127,431","9309","N","Charlotte","Ct","9309 N Charlotte Ct","1999","Completed","* 29","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 132","132 single family homes built 1990 to 1999","Oak Hill Estates Development","No","No"
"1383","Tiffany Woods at Rose Creek Single Family Homes","Platte","Park Hill","302.01","* 2,748,046","* 1,127,246","5405","NW","93rd","St","5405 NW 93rd St","2019","Underway","* 30","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 90","90 single family homes built since 2004","Genesis Custom Homes","No","No"
"1583","Genesis Village Single Family Homes","Platte","Platte County","302.01","* 2,754,730","* 1,127,218","9220","N","Belton","Av","9220 N Belton Av","2009","Completed","* 7","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 22","22 single family homes built since 2006","Genesis Development Team","No","No"
"2042","View Crest Senior Housing","Clay","North Kansas City","212.07","* 2,765,718","* 1,127,170","111","NW","94th","St","111 NW 94th St","2015","Underway","* 9","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 116","new 116-unit senior apartment building",,"No","No"
"1662","Estates at Willow Brooke Single Family Homes","Clay","North Kansas City","212.05","* 2,772,202","* 1,127,122","1512","NE","92nd","Te","1512 NE 92nd Te","2017","Underway","* 9","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 24","24 single family homes built since 2004"," ","No","No"
"1677","Serrano Fourplexes","Clay","Platte County","212.07","* 2,765,840","* 1,127,069","31","NE","93rd","St","31 NE 93rd St","2011","Completed","* 4","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 32","32 new 4-plex units built since 2007"," ","No","No"
"725","Gashland Clinic","Clay","North Kansas City","212.05","* 2,767,316","* 1,127,050","9411","N","Oak","Tfwy","9411 N Oak Tfwy","1997","Completed","* 5","Non-Residential","Building","New","Medical","Building","New","Medical"," ",,,,," ","new 58,000 sq. ft.  medical office building","Jones & Co.","No","No"
"2066","Tiffany Woods Reserve Single Family Homes","Platte","Park Hill","302.01","* 2,748,338","* 1,126,959","9225","N","Dawn","Av","9225 N Dawn Av","2019","Underway","* 6","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 19","19 single family units built since 2014",,"No","No"
"1376","Fountain Hills Single Family Homes","Clay","Platte County","212.07","* 2,760,585","* 1,126,856","1401","NW","92nd","Te","1401 NW 92nd Te","2019","Underway","* 83","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 293","293 single family homes built since 2004","New Mark Homes","No","No"
"305","Courtyard by Marriott - NW 79th","Platte","Park Hill","303.08","* 2,740,071","* 1,126,850","7901","NW","Tiffany Springs","Pkwy","7901 NW Tiffany Springs Pkwy","1990","Completed","* 10","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 149-room hotel","Marriott Corp.","Yes","No"
"1330","Residence Inn by Marriott - KCI","Platte","Park Hill","302.01","* 2,743,579","* 1,126,737","6800","NW","Tiffany Springs","Rd","6800 NW Tiffany Springs Rd","2006","Completed","* 23","Non-Residential","Building","New","Lodging","Building","New","Lodging"," ",,,,," ","new 150-room hotel","John Q. Hammons","No","No"
"2095","Residence Inn by Marriott - KCI","Platte","Park Hill","302.01","* 2,743,579","* 1,126,737","6800","NW","Tiffany Springs","Rd","6800 NW Tiffany Springs Rd","2018","Approved","* 16","Non-Residential","Building","Renovation","Lodging","Building","Renovation","Lodging"," ",,,,," ","$16 million hotel renovation","Grady Hotel Investments","No","No"
"1208","Woodneath Farms, Highlands Single Family","Clay","Liberty","213.09","* 2,796,994","* 1,126,644","9226","N","Manning","Av","9226 N Manning Av","2019","Underway","* 66","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 165","165 single family homes built since 2003","Hunt Midwest Real Estate Development","No","No"
"1529","Tiffany Hills Townhomes","Platte","Park Hill","302.10000000000002","* 2,747,341","* 1,126,508","5931","NW","91st","Te","5931 NW 91st Te","2008","Completed","* 22","Residential","Building","New","Housing","Building","New","Housing","Townhouses",,,,,"* 176","176 townhouses built since 2006"," ","No","No"
"764","Northview Elementary School","Clay","North Kansas City","213.03","* 2,777,742","* 1,126,454","9201","N","Indiana","Av","9201 N Indiana Av","1999","Completed","* 8","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $8 million school","North Kansas City School District","No","No"
"1005","Tiffany Place Single Family Homes","Platte","Park Hill","302.10000000000002","* 2,750,272","* 1,126,419","4707","NW","91st","St","4707 NW 91st St","2003","Completed","* 24","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 89","89 single family homes built 1990 to 2003"," ","No","No"
"1172","Brooklyn Highlands Single Family Homes","Clay","North Kansas City","212.05","* 2,773,059","* 1,126,267","1809","NE","92nd","St","1809 NE 92nd St","2017","Underway","* 25","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 80","80 single family homes built since 2003","DCB Development","No","No"
"1846","Tiffany Ridge Elementary School","Platte","Park Hill","302.10000000000002","* 2,749,516","* 1,126,227","5301","NW","Tiffany Springs","Rd","5301 NW Tiffany Springs Rd","2013","Completed","* 12","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $12 million elementary school","Park Hill School District","No","No"
"2012","Seven 301 Apts. Conversion from Ramada Inn","Platte","Park Hill","303.08","* 2,742,992","* 1,126,086","7301","NW","Tiffany Springs","Rd","7301 NW Tiffany Springs Rd","2016","Underway","* 19","Residential","Building","Use Conversion","Housing","Building","Use Conversion","Housing","Multifamily",,,,,"* 103","conversion of hotel into 103 apartments","Meecorp Capital Markets","No","No"
"1856","Northview Meadows Single Family Homes","Clay","North Kansas City","212.05","* 2,781,072","* 1,126,029","4401","NE","91st","Te","4401 NE 91st Te","2019","Underway","* 18","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 61","61 single family homes built since 2011"," ","No","No"
"1521","Essex North Single Family Homes","Clay","North Kansas City","212.05","* 2,779,401","* 1,125,972","9120","N","Mersington","Av","9120 N Mersington Av","2009","Completed","* 8","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 46","46 single family homes built 2005 to 2009"," ","No","No"
"1557","Tiffany Springs Market Center","Platte","Park Hill","302.10000000000002","* 2,745,241","* 1,125,902","9040","N","Skyview","Av","9040 N Skyview Av","2010","Completed","* 116","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 926,000 sq. ft. retail center","Cousins Properties","No","No"
"1522","Oak Hill Village Single Family Homes","Clay","North Kansas City","212.07","* 2,765,612","* 1,125,865","10","NW","90th","Pl","10 NW 90th Pl","2008","Completed","* 5","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 18","18 single family homes built since 2005","Pulte Homes","No","No"
"812","Woodneath Farms Single Family Homes","Clay","Liberty","213.09","* 2,797,144","* 1,125,812","9020","N","Lane","Av","9020 N Lane Av","2009","Completed","* 101","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 259","259 single family homes built since 1990","Hunt Midwest Real Estate Development","No","No"
"1518","Bigham Heights Single Family Homes","Clay","North Kansas City","212.07","* 2,765,776","* 1,125,758","9","NW","90th","Pl","9 NW 90th Pl","2010","Completed","* 5","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 19","19 single family homes built 2005 to 2010"," ","No","No"
"1558","Amity Ridge Village Shopping Center","Platte","Park Hill","303.08","* 2,735,413","* 1,125,738","8800","N","Amity","Av","8800 N Amity Av","2009","Completed","* 31","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 250,000 sq. ft. shopping center","JCRE LLC","No","No"
"1556","The Reserve at Riverstone Single Family Homes","Platte","Park Hill","303.08","* 2,738,748","* 1,125,570","8401"," ","Tiffany Springs","Rd","8401   Tiffany Springs Rd","2018","Underway","* 12","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 29","29 single family homes built since 2007","Hunt Midwest Real Estate Development","No","No"
"844","Autumn Ridge Single Family Homes","Platte","Park Hill","302.10000000000002","* 2,749,556","* 1,125,455","5011","NW","90th","St","5011 NW 90th St","2013","Completed","* 89","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 354","354 single family homes built 1990 to 2013","Lumbermen's Investment Corp.","No","No"
"1210","Woodneath Farms, The Links Single Family","Clay","Liberty","213.09","* 2,795,487","* 1,125,185","9012","N","Lewis","Av","9012 N Lewis Av","2017","Underway","* 50","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 110","110 single family homes built since 2003","Hunt Midwest Real Estate Development","No","No"
"637","Shoal Creek Elementary School","Clay","Liberty","213.09","* 2,798,518","* 1,125,123","9000","NE","Flintlock","Rd","9000 NE Flintlock Rd","2000","Completed","* 7","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $7 million school","Liberty School District","No","No"
"999","Manor Homes of Foxcrest Multifamily","Platte","Platte County","302.05","* 2,756,320","* 1,124,947","9000","N","Allenton","Av","9000 N Allenton Av","2002","Completed","* 26","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 272","272 new multifamily housing units","Line Creek Development Partners","No","No"
"993","Pembrooke Estates Single Family Homes","Clay","North Kansas City","212.05","* 2,776,938","* 1,124,909","9029","N","Bellefontaine","Av","9029 N Bellefontaine Av","2018","Underway","* 45","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 155","155 single family homes built since 1990"," ","No","No"
"2055","Benton House of Tiffany Springs Senior Living","Platte","Park Hill","302.10000000000002","* 2,747,422","* 1,124,884","5901","NW","88th","St","5901 NW 88th St","2014","Completed","* 8","Residential","Building","New","Housing","Building","New","Housing","Group Quarters",,,,," ","$8 million assisted living facility for seniors",,"No","No"
"1387","Waterford Single Family Homes","Clay","North Kansas City","212.05","* 2,777,815","* 1,124,774","8908","N","Bales","Av","8908 N Bales Av","2018","Underway","* 16","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 56","56 single family homes built since 2004","Waterford Building Company","No","No"
"375","Flintlock Road Widening: NE 76th to 96th","Clay","Liberty","213.09","* 2,798,523","* 1,124,688",," "," "," ","       ","2003","Completed","* 5","City Capital Improvement","Infrastructure","Upgrade","Road","Infrastructure","Upgrade","Road"," ",,,,," ","widening of arterial to 4 lanes","City of Kansas City, MO","No","No"
"772","Vintage at Pheasant Run Apartments","Platte","Park Hill","303.08","* 2,741,203","* 1,124,609","8837","N","Congress","Av","8837 N Congress Av","2000","Completed","* 19","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 308","308 new multifamily housing units","SIA Partners","No","No"
"368","Shoal Cr Pw: I-435/72nd to Brighton/96th","Clay","Liberty","213.09","* 2,792,231","* 1,124,480",," "," "," ","       ","2005","Completed","* 15","City Capital Improvement","Infrastructure","New","Road","Infrastructure","New","Road"," ",,,,," ","new $34 million boulevard","City of Kansas City, MO","No","No"
"1821","Lakeview Villas Single Family Homes","Clay","North Kansas City","212.05","* 2,777,017","* 1,124,461","3116","NE","89th","St","3116 NE 89th St","2014","Underway","* 9","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 47","47 new single family homes built since 2010","McBride and Son Homes","No","No"
"2100","Savannah West Apartments","Clay","North Kansas City","212.05","* 2,774,999","* 1,124,411","8900","N","Prospect","Av","8900 N Prospect Av","2017","Underway","* 35","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 209","new 209-unit luxury apartments","EPC Real Estate Group","No","No"
"1770","Highlands of Northview Single Family Homes","Clay","North Kansas City","212.05","* 2,779,180","* 1,124,408","8905","N","Essex","Dr","8905 N Essex Dr","2019","Underway","* 22","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 101","101 single family homes built since 2006"," ","No","No"
"1093","M-152 & Ambassador Drive Interchange","Platte","Park Hill","302.10000000000002","* 2,746,273","* 1,124,377",," "," "," ","       ","2003","Completed","* 8","Other Capital Improvement","Infrastructure","New","Road","Infrastructure","New","Road"," ",,,,," ","new highway interchange","Missouri Department of Transportation","No","No"
"972","M-152 Hy. Widening - I-29 to Green Hills","Platte","Park Hill","302.10000000000002","* 2,747,678","* 1,124,325",," "," "," ","       ","2004","Completed","* 10","Other Capital Improvement","Infrastructure","Upgrade","Road","Infrastructure","Upgrade","Road"," ",,,,," ","$10 million road widening","Missouri Department of Transportation","No","No"
"1094","M-152 & Greenhills Interchange","Platte","Platte County","302.05","* 2,751,621","* 1,124,262",," "," "," ","       ","2003","Completed","* 13","Other Capital Improvement","Infrastructure","New","Road","Infrastructure","New","Road"," ",,,,," ","new highway interchange","Missouri Department of Transportation","No","No"
"1374","Copper Leaf Single Family Homes","Clay","Liberty","213.09","* 2,798,996","* 1,124,196","8909","N","Oxford","Av","8909 N Oxford Av","2019","Underway","* 127","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 286","286 single family homes built since 2004"," ","No","No"
"1840","Woodneath Branch Library","Clay","Liberty","213.09","* 2,797,958","* 1,124,107","8900","N","Flintlock","Rd","8900 N Flintlock Rd","2013","Completed","* 22","Non-Residential","Building","Expansion","Education","Building","Expansion / Renovation","Education / Meeting Space"," ",,,,," ","expansion to, and renovation of, historic mansion for use as library and meeting rooms ","Mid-Continent Public Library","No","No"
"1209","Woodneath Farms, The Lake Single Family","Clay","Liberty","213.09","* 2,796,515","* 1,123,945","8827","N","Farley","Av","8827 N Farley Av","2008","Completed","* 7","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 16","16 single family homes built since 2002","Hunt Midwest Real Estate Development","No","No"
"1133","The Shops at Boardwalk","Platte","Park Hill","302.11","* 2,745,757","* 1,123,930","8700","N","Ambassador","Dr","8700 N Ambassador Dr","2003","Completed","* 17","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 136,000 sq. ft. retail center","RED Development","No","No"
"1573","Barry School Expansion","Platte","Platte County","302.01","* 2,758,927","* 1,123,694","2001","NW","87th","Te","2001 NW 87th Te","2010","Completed","* 10","Non-Residential","Building","Expansion","Education","Building","Expansion","Education"," ",,,,," ","$10 million school expansion for classrooms for 400 students, multipurpose room and media center","Platte County R-3 School District","No","No"
"1794","Fred and Shirley Pryor YMCA Challenger Sports Complex","Platte","Kansas City","302.01","* 2,759,748","* 1,123,683","2100","NW","87th","Te","2100 NW 87th Te","2010","Completed","* 4","Other Capital Improvement","Infrastructure","New","Recreation","Infrastructure","New","Recreation"," ",,,,," ","$4 million sports complex for disabled children","YMCA of Greater Kansas City","No","No"
"406","Line Creek Pkwy.: Barry to Stagecoach","Platte","Platte County","302.05","* 2,755,507","* 1,123,472",," "," "," ","       ","1996","Completed","* 5","City Capital Improvement","Infrastructure","New","Road","Infrastructure","Expansion","Road"," ",,,,," ","$5 million boulevard extension","City of Kansas City, MO","No","No"
"1192","Northfield Single Family Homes","Platte","Platte County","302.05","* 2,756,076","* 1,123,443","3029","NW","87th","St","3029 NW 87th St","2014","Completed","* 17","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 57","57 single family homes built 2002 to 2014","Thomson Sailors Homes","No","No"
"1475","U.S. Oncology","Platte","Park Hill","302.11","* 2,751,583","* 1,123,400","8700","N","Green Hills","Rd","8700 N Green Hills Rd","2007","Completed","* 5","Non-Residential","Building","New","Medical","Building","New","Medical"," ",,,,," ","new $5 million medical building","U.S. Oncology","No","No"
"1577","Carrington Place Apartments at Shoal Creek","Clay","Liberty","213.09","* 2,798,175","* 1,123,392","8731","N","Ditzler","Av","8731 N Ditzler Av","2007","Completed","* 14","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 270","270 multifamily units built since 2006"," ","No","No"
"838","Ashford Manor Single Family Homes","Platte","Park Hill","303.08","* 2,734,301","* 1,123,354","9709","NW","87th","St","9709 NW 87th St","1999","Completed","* 18","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 184","184 single family homes built 1990 to 1999","Five Star Homes","No","No"
"822","The Park Single Family Homes","Clay","North Kansas City","212.05","* 2,771,523","* 1,123,107","8624","N","Wayne","Av","8624 N Wayne Av","2001","Completed","* 12","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 56","56 single family homes built 1990 to 2001"," ","No","No"
"1526","Shoal Creek Townhomes at The Preserve","Clay","Liberty","213.09","* 2,792,743","* 1,123,106","8701","N","Sycamore","Av","8701 N Sycamore Av","2006","Completed","* 15","Residential","Building","New","Housing","Building","New","Housing","Townhouses",,,,,"* 20","20 townhouses built since 2005","Shoal Creek Valley Development LLC","No","No"
"1026","Essex Townhomes & Single Family","Clay","North Kansas City","212.05","* 2,779,104","* 1,123,037","8625","N","Mersington","Av","8625 N Mersington Av","2004","Completed","* 14","Residential","Building","New","Housing","Building","New","Housing","Mix",,,,,"* 84","56 townhouses, 26 single family, and 2 duplex units built 1990 to 2004","Essex Investments Inc.","No","No"
"570","KCI Corridor Road Improvements","Platte","Park Hill","302.11","* 2,744,261","* 1,123,026",," "," "," ","       ","2008","Completed","* 29","City Capital Improvement","Infrastructure","New","Road","Infrastructure","New / Expansion / Upgrade","Road"," ",,,,," ","extension of Ambassador Drive (formerly Executive Hills Blvd.) to Barry Rd.; new highway interchanges at I-29 & Tiffany Springs Pkwy. and at Highway 152 & Ambassador Drive; plus improvements to other roads","City of Kansas City, MO","No","No"
"823","Highland View Single Family Homes","Clay","North Kansas City","212.05","* 2,770,737","* 1,123,023","8609","N","Lathrop","Av","8609 N Lathrop Av","1994","Completed","* 12","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 59","59 single family homes built 1990 to 1994"," ","No","No"
"1151","Barrewoods Apartments","Clay","North Kansas City","212.05","* 2,775,422","* 1,123,020","8701","N","Kansas","Av","8701 N Kansas Av","2004","Completed","* 30","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 340","new 340-unit apartment complex","ePartment Communities","No","No"
"2091","Menards","Platte","Platte County","302.05","* 2,756,186","* 1,123,019","8800","N","Green Hills","Rd","8800 N Green Hills Rd","2017","Approved","* 16","Non-Residential","Building","New","Retail","Building","New","Retail",,,,,,,"new 160,000 sq. ft. home improvement retail store","Menards","No","No"
"385","Shoal Creek Golf Course","Clay","Liberty","213.09","* 2,791,306","* 1,123,012",," "," "," ","       ","1994","Completed","* 20","City Capital Improvement","Open Space","Expansion","Recreation","Open Space","Expansion","Recreation"," ",,,,," ","18-hole golf course east of the existing Hodge Park Golf Course","City of Kansas City, MO","No","No"
"923","Barry West Place - I Office Park","Platte","Park Hill","303.08","* 2,730,272","* 1,123,002","10900","NW","Barry","Rd","10900 NW Barry Rd","2007","Completed","* 40","Non-Residential","Building","New","Office","Building","New","Office / Retail"," ",,,,," ","new 315,000 sq. ft. first phase of office park, and five retail shops","Bob Ryals","No","No"
"1476","Shoppes at Shoal Creek / Shoal Creek Plaza","Clay","Liberty","213.09","* 2,798,396","* 1,122,977","8670","N","Flintlock","Rd","8670 N Flintlock Rd","2008","Completed","* 100","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 600,000 sq. ft. of retail in two shopping centers facing each other","Block & Co.","No","No"
"382","Essex Square Retail","Clay","North Kansas City","212.05","* 2,777,749","* 1,122,878",," "," "," ","       ","2004","Completed","* 33","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","223,000 sq. ft. of new retail space"," ","No","No"
"845","The Coves North Residential","Platte","Park Hill","302.11","* 2,748,845","* 1,122,848","8523","N","Chatham","Cir","8523 N Chatham Cir","2008","Completed","* 32","Residential","Building","New","Housing","Building","New","Housing","Mix",,,,,"* 156","115 single family homes, 38 duplex units, and 3 triplex units built 1990 to 2008"," ","No","No"
"1074","Metro North Mall Renovation","Clay","Platte County","212.07","* 2,764,113","* 1,122,841","400","NW","Barry","Rd","400 NW Barry Rd","2003","Completed","* 4","Non-Residential","Building","Renovation","Retail","Building","Renovation","Retail"," ",,,,," ","$4 million shopping mall remodeling"," ","No","No"
"1190","Lake Forest Estates Single Family Homes","Platte","Park Hill","302.11","* 2,750,687","* 1,122,830","8623","N","Oregon","Av","8623 N Oregon Av","2003","Completed","* 18","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 48","48 single family homes built 1990 to 2003"," ","No","No"
"839","Wildwood West Single Family Homes","Platte","Park Hill","303.08","* 2,732,546","* 1,122,796","10305","NW","86th","St","10305 NW 86th St","2007","Completed","* 64","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 403","403 single family homes built since 1990","Wildwood West Inc.","No","No"
"441","Zona Rosa Lifestyle Center - I","Platte","Park Hill","303.08","* 2,742,985","* 1,122,683","7400","NW","86th","St","7400 NW 86th St","2004","Completed","* 100","Non-Residential","Building","New","Retail","Building","New","Retail / Office / Housing","Multifamily",,,,,"* 24","new mixed use complex with 486,000 sq. ft. of retail, 45,000 sq. ft. of offices, and 24 apartment units","Bonnie Poteet","No","No"
