Project No.,Title,County,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
455,Squier Pk. Townhomes/Armour Bl. Infill Hsg,Jackson,1306,E,Armour,Bl,1998,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,32,32 new infill housing units,Neighborhood Housing Services,No,No,"1306 Armour
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
622,Poindexter Office Building Renov./Addition,Jackson,330,W,9th,St,1998,Completed,20,Non-Residential,Building,Renovation,Office,Building,Renovation / Expansion,Office, ,252000,,,,,"renovation and addition to office building for a total of 252,000 sq. ft.",DST Realty Inc.,No,No,"330 9th St
Kansas City, MO
(39.10377745000045, -94.58783855899969)",5,4,7,72
486,Westport Branch Library Improvements,Jackson,118, ,Westport,Rd,1998,Completed,2,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,"$2 million remodeling to improve children's section, access to the disabled, computerization and security",Kansas City Public Library,No,No,"118 Westport Rd
Kansas City, MO
(39.05454628300049, -94.58796292199969)",42,4,7,50
545,Leon Jordan Post Office,Jackson,3231, ,Prospect,Av,1998,Completed,1,Non-Residential,Building,New,Distribution,Building,New,Distribution, ,,,20000,,,new post office,U.S. Postal Service,No,No,"3231 Prospect Av
Kansas City, MO
(39.067447340000456, -94.55291745399967)",67,3,7,36
810,Oakcrest Single Family & Duplex Homes,Clay,7400,N,Lane,Av,1998,Completed,20,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,193,77 single family homes and 116 duplex units built 1990 to 1998, ,No,No,"7400 Lane Av
Kansas City, MO
(39.22773420200048, -94.47158520799968)",244,6,4,122
762,Prairie Point Elementary School,Platte,8101,NW,Belvidere,Pkwy,1998,Completed,5,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $5 million school,Park Hill School District,No,No,"8101 Belvidere Pkwy
Kansas City, MO
(39.232562284000494, -94.6704919879997)",182,5,3,77
704,Federal Inspection Service Center,Platte,59, ,Beirut,Cir,1998,Completed,3,Non-Residential,Building,Use Conversion,Transportation,Building,Use Conversion ,Transportation, ,,,,,,$3.2 million expansion of customs facilities in Terminal C of KCI,"City of Kansas City, MO",No,No,"59 Beirut Cir
Kansas City, MO
(39.29502328800049, -94.71447938599965)",203,5,3,130
410,Charles Whittaker Federal Court House,Jackson,422,E,10th,St,1998,Completed,130,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,"new 596,000 sq. ft. courthouse with 21 courtrooms",U.S. Government,No,No,"422 10th St
Kansas City, MO
(39.102425463000486, -94.5887004709997)",185,4,7,72
743,Extended Stay Hotel- 105th & Holmes,Jackson,550,E,105th,St,1998,Completed,4,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,120,,new 120-room hotel,Extended Stay America,No,No,"550 105th St
Kansas City, MO
(38.93823844800045, -94.58547921499968)",51,1,7,163
621,Praxair Surface Technologies Plant,Jackson,6701, ,St. John,Av,1998,Completed,30,Non-Residential,Building,Renovation,Industrial,Building,Renovation,Industrial, ,,,,,,$30 million industrial building renovation,Praxair Surface Technologies Inc.,No,No,"6701 St John Av
Kansas City, MO
(39.111852755000484, -94.50358203199966)",53,4,7,144
467,Gates Headquarters,Jackson,4621, ,Paseo, ,1998,Completed,3,Non-Residential,Building,New,Office,Building,New,Office, ,30000,,,,,new office building,Ollie Gates,No,No,"4621 Paseo
Kansas City, MO
(39.04301346400047, -94.56807213499968)",25,3,7,165
623,Kansas City Community Release Center,Jackson,651, ,Mulberry,St,1998,Completed,8,Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,new 250-bed prison work-release center,State of Missouri,No,No,"651 Mulberry St
Kansas City, MO
(39.106918504000475, -94.5995452629997)",241,4,7,56
306,Courtyard by Marriott - 105th & Holmes,Jackson,500,E,105th,St,1998,Completed,5,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,149,,new 149-room hotel,Marriott Corp,Yes,No,"500 105th St
Kansas City, MO
(38.93826805800046, -94.5861187969997)",51,1,7,163
432,Union Station Restoration and Science City,Jackson,2300, ,Main,St,1999,Completed,253,Non-Residential,Building,Use Conversion,Entertainment,Building,Use Conversion / Renovation,Entertainment / Meeting Space / Transportation, ,,,,,,"restoration of the Grand Hall as public space, and development of a 234,000 sq. ft. science museum and transportation center",Union Station Assistance Corp.,No,No,"2300 Main St
Kansas City, MO
(39.08630267200044, -94.58393592999965)",97,4,7,92
767,Guaranty Bank and Trust,Clay,9601,NE,Barry,Rd,1999,Completed,5,Non-Residential,Building,New,Retail,Building,New,Retail, ,,60000,,,,new $5 million commercial building, ,No,No,"9601 Barry Rd
Kansas City, MO
(39.24706258200047, -94.69206067799968)",203,5,3,77
712,Storage Trust Self Storage,Jackson,3440, ,Main,St,1999,Completed,3,Non-Residential,Building,Use Conversion,Warehouse,Building,Use Conversion / Expansion,Warehouse, ,,,100000,,,"conversion of former auto dealership and expansion to create 100,000 sq. ft. storage building",Storage Trust Realty,No,No,"3440 Main St
Kansas City, MO
(39.06425251900049, -94.58568530299965)",2,4,7,50
463,McDonalds Training Center,Jackson,2800, ,Prospect,Av,1999,Completed,1,Non-Residential,Building,Use Conversion,Education,Building,Use Conversion,Education, ,,,,,,$1 million conversion of a McDonalds restaurant into a job-training facility, ,No,No,"2800 Prospect Av
Kansas City, MO
(39.07482434400049, -94.55261555699968)",26,3,7,36
973,Arrowhead Pump Station and Reservoir,Clay,, , , ,1999,Completed,7,City Capital Improvement,Infrastructure,New,Water Service,Infrastructure,New,Water Service, ,,,,,,new $8 million pump station and reservoir,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
567,Traders Bank Office Renovation,Jackson,1125, ,Grand,Av,1999,Completed,8,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,210000,,,,,"$8 million renovation of 210,000 sq. ft. office building",Cecil Van Tuyl,No,No,"1125 Grand Av
Kansas City, MO
(39.10024791000046, -94.58085528099969)",5,4,7,75
826,Oak Hill Estates Single Family Homes,Clay,9309,N,Charlotte,Ct,1999,Completed,29,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,132,132 single family homes built 1990 to 1999,Oak Hill Estates Development,No,No,"9309 Charlotte Ct
Kansas City, MO
(39.263166998000486, -94.57017545999969)",30,5,4,82
711,Nazarene Publishing House Expansion,Jackson,2916, ,Troost,Av,1999,Completed,4,Non-Residential,Building,Expansion,Industrial,Building,Expansion,Industrial, ,,,75000,,,$4 million expansion to Nazarene Publishing House,Nazarene Publishing House,No,No,"2916 Troost Av
Kansas City, MO
(39.07376590000047, -94.57120846999965)",158,3,7,19
968,Northeast Industrial District Drainage,Jackson,, , , ,1999,Completed,4,City Capital Improvement,Infrastructure,New,Flood Control,Infrastructure,New,Flood Control, ,,,,,,new $4 million storm sewer outfall and detention pond,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
422,Briarcliff West Office Building I,Clay,4100,N,Mulberry,Dr,1999,Completed,15,Non-Residential,Building,New,Office,Building,New,Office, ,72000,,,,,"new 72,000 sq. ft. office building",Briarcliff Development Co.,No,No,"4100 Mulberry Dr
Kansas City, MO
(39.16904552400047, -94.5989945129997)",63,4,4,167
802,Woodfield Single Family Homes,Clay,5135,NE,63rd,Te,1999,Completed,11,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,76,76 single family homes built 1990 to 1999, ,No,No,"5135 63rd
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
634,Business and Technology Center,Jackson,6899, ,Executive,Dr,1999,Completed,5,Non-Residential,Building,Use Conversion,Education,Building,Use Conversion / Renovation,Education, ,,,,,,"converted 170,000 sq. ft. job training facility",Metropolitan Community Colleges,No,No,"6899 Executive Dr
Kansas City, MO
(39.13912615400045, -94.5006458799997)",53,4,7,144
530,South Consolidated Service Center,Jackson,4850,E,87th,St,1999,Completed,3,Non-Residential,Building,New,Transportation,Building / Infrastructure,New,Transportation, ,15000,,,,,new vehicle storage facilities and field offices,"City of Kansas City, MO",No,No,"4850 87th St
Kansas City, MO
(39.251903004000496, -94.6363988229997)",14,5,3,81
499,H & R Block Service Center,Jackson,4300,E,49th,Ter,1999,Completed,20,Non-Residential,Building,New,Office,Building,New,Office, ,84000,,,,,"new 84,000 sq. ft. office building",Community Builders of Kansas City,No,No,"4300 49th Ter
Kansas City, MO
(39.184647751000455, -94.52884074999969)",31,6,4,135
592,Crown Center Shops Remodeling,Jackson,2450, ,Grand,Av,1999,Completed,8,Non-Residential,Building,Renovation,Retail,Building,Renovation / Reconfiguration,Retail, ,,,,,,$8 million retail renovation,Crown Center Redevelopment Corp.,No,No,"2450 Grand Av
Kansas City, MO
(39.08256467600046, -94.58183597099969)",97,4,7,92
542,Jesus Christ Latter Day Saints Church,Jackson,2530, ,Brooklyn,Av,1999,Completed,4,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,new church,Church of Jesus Christ of Latter Day Saints,No,No,"2530 Brooklyn Av
Kansas City, MO
(39.07972209200045, -94.55701548499968)",234,3,7,95
730,Camp Lake of the Woods,Jackson,5601,E,Gregory,Bl,1999,Completed,2,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,"new 22,000 sq. ft. recreation facility","City of Kansas City, MO",No,No,"5601 Gregory
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
719,Days Inn,Platte,11120,N,Ambassador,Dr,1999,Completed,3,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,55,,new 55-room hotel, ,No,No,"11120 Ambassador Dr
Kansas City, MO
(39.29312426900049, -94.68152890899967)",203,5,3,130
473,Midwest Research Institute Renovation,Jackson,425, ,Volker,Bl,1999,Completed,6,Non-Residential,Building,Renovation,Office,Building,Renovation / Expansion,Office, ,10000,,,,,$6 million research facility renovation and expansion,Midwest Research Institute,No,No,"425 Volker
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
482,Flarsheim Science & Technology Hall,Jackson,5100, ,Rockhill,Rd,1999,Completed,29,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,"new 175,000 sq. ft. building to house classrooms, teaching labs and offices",UMKC,No,No,"5100 Rockhill Rd
Kansas City, MO
(39.034414841000455, -94.57572674699969)",235,4,7,165
708,Country Inn and Suites,Clay,4231,N,Corrington,Av,1999,Completed,4,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,70,,new 70-unit hotel,Country Inn and Suites,No,No,"4231 Corrington Av
Kansas City, MO
(39.16984500100045, -94.49558134599965)",240,6,4,166
372,Bayer Herbicide Plant,Jackson,8400, ,Hawthorne,Rd,1999,Completed,30,Non-Residential,Building,Expansion,Industrial,Building,Expansion,Industrial, ,,,125000,,,new $30 million industrial plant,Bayer Corp.,No,No,"8400 Hawthorne Rd
Kansas City, MO
(38.96951278300048, -94.4660113759997)",,,7,98
409,National Weather Service Training Center,Platte,7600,NW,101st,Te,1999,Completed,10,Non-Residential,Building,New,Office,Building,New,Office, ,95000,,,,,"new 95,000 sq. ft. office building",John Hill and Mike Penland,No,No,"7600 101st
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
632,Burd & Fletcher Office Building Renovation,Jackson,700, ,Central,St,1999,Completed,7,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,80000,,,,,"renovation of 80,000 sq. ft. office building",DST Realty Inc.,No,No,"700 Central St
Kansas City, MO
(39.10554434700049, -94.58616551599965)",5,4,7,72
391,Children's Cen. Campus Day Care/Services,Jackson,3101, ,Main,St,1999,Completed,11,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,"new facility for several youth services, including 24,000 sq. ft. child care center","YWCA, Children's Therapeutic Learning Center, and Children's Center for the Visually Impaired",No,No,"3101 Main St
Kansas City, MO
(39.070328540000446, -94.58528497199967)",2,4,7,50
453,Post Office Bulk Mail Center (Sears Reuse),Jackson,1701, ,Cleveland,Av,1999,Completed,45,Non-Residential,Building,New,Distribution,Building,New / Use Conversion,Distribution, ,,,926000,,,"926,000 sq. ft. mail distribution complex created by conversion of former Sears warehouse and new construction",U.S. Postal Service,No,No,"1701 Cleveland Av
Kansas City, MO
(39.090990606000446, -94.53793592999966)",17,3,7,95
569,Stadium Industrial Park -I,Jackson,3715, ,Enterprise,Dr,1999,Completed,2,Non-Residential,Building,New,Industrial,Building,New,Industrial / Warehouse, ,,,50000,,,"new 50,000 sq. ft. industrial building",Bill Moulder,No,No,"3715 Enterprise Dr
Kansas City, MO
(39.05644224800045, -94.49526824799966)",211,3,7,155
969,Elmwood Lake,Jackson,, , , ,1999,Completed,11,City Capital Improvement,Open Space,New,Lake,Open Space,New,Lake, ,,,,,,new 23 acre lake,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
764,Northview Elementary School,Clay,9201,N,Indiana,Av,1999,Completed,8,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $8 million school,North Kansas City School District,No,No,"9201 Indiana Av
Kansas City, MO
(39.26195060900045, -94.53882532299968)",244,6,4,126
568,Tower Properties Garage,Jackson,900, ,Walnut,St,1999,Completed,12,Non-Residential,Building,New,Parking,Building,New,Parking, ,,,,,,new 600-space parking garage,Tower Properties Co.,No,No,"900 Walnut St
Kansas City, MO
(39.1034221270005, -94.58191532699965)",5,4,7,75
468,Hampton Inn Hotel,Jackson,4600, ,Summit,St,1999,Completed,23,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,203,,new 203-room hotel,S & G LC,No,No,"4600 Summit St
Kansas City, MO
(39.04338322300049, -94.59620641299966)",148,4,7,44
434,Uptown Theater Improvements,Jackson,3700, ,Broadway, ,1999,Completed,10,Non-Residential,Building,Renovation,Entertainment,Building,Renovation / New,Entertainment / Office, ,11000,,,,,"restoration of the existing theater and construction of a new 33,000 sq. ft. building for concession stands, dressing rooms, other theater support services and office space",Larry Sells,No,No,"3700 Broadway
Kansas City, MO
(39.06110080500048, -94.59054611999966)",228,4,7,50
991,Mullins Corner Duplexes and Fourplexes,Clay,533,NE,107th,St,1999,Completed,8,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,68,36 duplex units and 32 fouplex units built 1990 to 1999, ,No,No,"533 107th St
Kansas City, MO
(39.287623872000495, -94.57274207499967)",105,5,4,82
713,Super 8 Motel - Worlds of Fun,Clay,4321,N,Corrington,Av,1999,Completed,4,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,68,,new 68-unit hotel,Super 8,No,No,"4321 Corrington Av
Kansas City, MO
(39.172750357000496, -94.49508507799965)",240,6,4,166
749,4707 Bannister Shopping Center,Jackson,4707,E,Bannister,Rd,1999,Completed,6,Non-Residential,Building,New,Retail,Building,New,Retail, ,,70000,,,,new $6 million shopping center, ,No,No,"4707 Bannister Rd
Kansas City, MO
(38.953434820000496, -94.53459834399968)",178,2,7,149
478,St. Luke's Hosp. Emergency Services Expan.,Jackson,4401, ,Wornall,Rd,1999,Completed,28,Non-Residential,Building,Expansion,Medical,Building,Expansion,Medical, ,,,,,,"$28 million hospital expansion for emergency services, surgery rooms, and a 350-space parking garage",St. Luke’s Hospital,No,No,"4401 Wornall Rd
Kansas City, MO
(39.045921803000454, -94.59012896499968)",44,4,7,50
629,Grace and Holy Trinity Cathedral Addition,Jackson,415,W,13th,St,1999,Completed,5,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,$5 million meeting and social facility addition to cathedral,Grace and Holy Trinity Cathedral,No,No,"415 13th St
Kansas City, MO
(39.09874371000046, -94.58883227899969)",185,4,7,72
710,Kansas City Board of Trade Renovation,Jackson,4800, ,Main,St,1999,Completed,3,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,$3 million exchange and office building renovation,Kansas City Board of Trade,No,No,"4800 Main St
Kansas City, MO
(39.038923921000446, -94.58714567899966)",36,4,7,44
731,Marlborough Community Center,Jackson,8200, ,Paseo, ,1999,Completed,2,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,"new 8,000 sq. ft. community center","City of Kansas City, MO",No,No,"8200 Paseo
Kansas City, MO
(38.97896200200046, -94.56713626499965)",205,2,7,163
561,DST Garage - 9th & Central,Jackson,300,W,9th,St,1999,Completed,13,Non-Residential,Building,New,Parking,Building,New,Parking, ,,,,,,new 980-space parking garage ,DST Realty Inc.,No,No,"300 9th St
Kansas City, MO
(39.10373469400048, -94.58693937599969)",5,4,7,72
636,Drury Inn,Platte,7900,NW,Tiffany Springs,Pkwy,1999,Completed,6,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,124,,new 124-room hotel, ,No,No,"7900 Tiffany Springs Pkwy
Kansas City, MO
(39.27278677300046, -94.67123165199968)",203,5,3,130
633,Crossland Economy Studios Hotel,Clay,4301,N,Corrington,Av,1999,Completed,7,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,136,,new 136-unit hotel,Crossland Economy Studios,No,No,"4301 Corrington Av
Kansas City, MO
(39.17131129900048, -94.49507560299969)",240,6,4,166
707,Comfort Inn,Clay,7300,NE,Parvin,Rd,1999,Completed,4,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,86,,new 86-unit hotel,Comfort Inns and Suites,No,No,"7300 Parvin Rd
Kansas City, MO
(39.168417786000475, -94.49487306799966)",240,6,4,166
630,LifeTouch Publishing,Platte,10800,N,Ambassador,Dr,1999,Completed,7,Non-Residential,Building,New,Office,Building,New,Office / Warehouse, ,30000,,92000,,,"new 122,000 sq. ft. office / warehouse building",B.A. Karbank and Co.,No,No,"10800 Ambassador Dr
Kansas City, MO
(39.28844111400048, -94.67799581499969)",203,5,3,130
477,Seville on the Plaza Renovation,Jackson,500, ,Nichols,Rd,1999,Completed,38,Non-Residential,Building,Style Conversion,Entertainment,Building,Style Conversion / Renovation,Entertainment / Retail, ,,260000,,,,"renovation and use conversion to a 14-screen movie complex and 260,000 sq. ft. of retail space",J.C. Nichols Co.,No,No,"500 Nichols Rd
Kansas City, MO
(39.041356504000476, -94.59362151499965)",103,4,7,44
428,Federal Aviation Administration/DOT Hq.,Jackson,901, ,Locust,St,1999,Completed,25,Non-Residential,Building,New,Office,Building,New,Office, ,200000,,,,,"new 200,000 sq. ft. office building",U.S. Government,No,No,"901 Locust St
Kansas City, MO
(39.10313905400045, -94.57719545399965)",5,4,7,75
565,Aquila Energy Office Relocation,Jackson,1101, ,Main,St,1999,Completed,16,Non-Residential,Equipment,Upgrade,Office,Equipment,Acquisition,Office, ,,,,,,space conversion and equipment funded by $20 million in bonds issued by the Land Clearance for Redevelopment Authority,Utilicorp United Inc.,No,No,"1101 Main St
Kansas City, MO
(39.19486552900048, -94.68346763499966)",,,3,77
433,United Missouri Bank Tech/Operations Cen.,Jackson,1008, ,Oak,St,1999,Completed,30,Non-Residential,Building,New,Office,Building,New,Office, ,204000,,,,,"new 204,000 sq. ft. office building and 750-space parking garage",UMB Financial Corp.,No,No,"1008 Oak St
Kansas City, MO
(39.101523519000466, -94.57849593599968)",5,4,7,75
304,Tremont Square Shopping Center,Platte,5934,N,Chatham,Av,1999,Completed,18,Non-Residential,Building,New,Retail,Building,New,Retail, ,,243000,,,,"new 243,000 sq. ft. shopping center",Tremont Manor Development,Yes,No,"5934 Chatham Av
Kansas City, MO
(39.20335668400048, -94.64492591599969)",246,5,3,66
379,M-152 Impvts.: US 169 to N Brighton,Clay,, , , ,1999,Completed,11,Other Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Road, ,,,,,,new 4-lane freeway,Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
747,Quintiles New Office Equipment,Jackson,10236, ,Marion Park,Dr,1999,Completed,45,Non-Residential,Equipment,Acquisition,Office,Equipment,Acquisition,Office, ,540000,,,,,"$11 million in tax breaks for new computers, lab equipment and furniture financed by $45 million in bonds",Quintiles Transnational Corp.,No,No,"10236 Marion Park Dr
Kansas City, MO
(38.94449331600049, -94.53340546499965)",108,2,7,149
780,Olive Park Village Housing Renovation,Jackson,2310,E,9th,St,1999,Completed,3,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,137,renovation of 137 multifamily units,Old Northeast Inc. and Bank of America CDC,No,No,"2310 9th St
Kansas City, MO
(39.10262042000045, -94.55446023699966)",109,3,7,70
631,Ascension Lutheran Chuch Remodeling,Jackson,4900, ,Blue Ridge,Bl,1999,Completed,7,Non-Residential,Building,Renovation,Social Service,Building,Renovation,Social Service, ,,,,,,$7 million remodeling of church,Ascension Lutheran Chuch,No,No,"4900 Blue Ridge
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
390,Children's Mercy Hospital Expansion I,Jackson,2401, ,Gillham,Rd,1999,Completed,88,Non-Residential,Building,Expansion,Medical,Building,Expansion,Medical, ,,,,,,"1.4 million sq. ft. of expansions for hospital beds, medical offices and research facilities",Children's Mercy Hospital,No,No,"2401 Gillham Rd
Kansas City, MO
(39.08397100400049, -94.57899781199967)",11,4,7,92
589,Park Gate Apartment Rehab,Jackson,3601,E,Meyer,Bl,1999,Completed,1,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,,rehabilitation of apartment complex, ,No,No,"3601 Meyer
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
838,Ashford Manor Single Family Homes,Platte,9709,NW,87th,St,1999,Completed,18,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,184,184 single family homes built 1990 to 1999,Five Star Homes,No,No,"9709 87th St
Kansas City, MO
(39.252153174000455, -94.69318231499966)",203,5,3,130
738,Visitation School Renovation,Jackson,5134, ,Baltimore,Av,2000,Completed,6,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$6 million school renovation,Visitation School,No,No,"5134 Baltimore Av
Kansas City, MO
(39.033532488000446, -94.58860605599966)",36,4,7,44
563,Kelly Crossing Apartments,Platte,7831,NW,Roanridge,Rd,2000,Completed,29,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,624,624 new multifamily housing units, ,No,No,"7831 Roanridge Rd
Kansas City, MO
(39.23755058900048, -94.65752803299966)",144,5,3,66
562,Sheffield Junction Flyover Railroad Bridge,Jackson,, , , ,2000,Completed,74,Other Capital Improvement,Infrastructure,New,Bridge,Infrastructure,New,Bridge, ,,,,,,new $74 million 1.5 mile viaduct to carry Kansas City Terminal Railway tracks over  other tracks on both sides of the Blue River,Kansas City Terminal Railway,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
727,Reynolds Aluminum Distribution Center,Platte,10707,N,Pomona,Av,2000,Completed,6,Non-Residential,Building,New,Distribution,Building,New,Distribution, ,,,77000,,,"new 77,000 sq. ft. distribution center",Reynolds Aluminum Supply ,No,No,"10707 Pomona Av
Kansas City, MO
(39.289694220000456, -94.67106583399965)",203,5,3,130
714,Folly Theater Renovation,Jackson,300,W,12th,St,2000,Completed,3,Non-Residential,Building,Renovation,Entertainment,Building,Renovation / Reconfiguration,Entertainment, ,,,,,,"theater renovation involving paint restoration, lobby enlargement, and renovation of seats, curtains, carpeting, and sound and lighting systems",Folly Theater,No,No,"300 12th St
Kansas City, MO
(39.100088015000495, -94.58727951699967)",5,4,7,72
502,Mount Cleveland Heights Duplexes,Jackson,5212, ,Mersington,Av,2000,Completed,9,Residential,Building,New,Housing,Building,New,Housing,Duplex,,,,,88,88 new duplex units,Community Builders of Kansas City,No,No,"5212 Mersington Av
Kansas City, MO
(39.030514241000446, -94.53993735799969)",206,2,7,157
794,Bethel Greencastle Apartments,Clay,5901,NE,42nd,St,2000,Completed,4,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,75,75 new multifamily housing units, ,No,No,"5901 42nd St
Kansas City, MO
(39.169413876000476, -94.51095142799966)",240,6,4,166
598,Plaza Pavilion Apartments,Jackson,4949, ,Wornall,Rd,2000,Completed,5,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,51,new 51-unit apartment complex,Saul and Jim Ellis,No,Yes,"4949 Wornall Rd
Kansas City, MO
(39.03678043800045, -94.59195126299966)",167,4,7,44
490,85th Street Bridge over Blue River,Jackson,, , , ,2000,Completed,5,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Bridge, ,,,,,,new bridge over the Blue River to help to allow 85th and 87th streets to flow into one another,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
376,Guinotte Manor Townhomes,Jackson,1108,E,4th,St,2000,Completed,47,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,219,219 new multifamily units,Kansas City Housing Authority,No,Yes,"1108 4th St
Kansas City, MO
(39.111890884000445, -94.56975202999968)",102,4,7,75
639,McKesson Medical-Surgical Distrib. Cen.,Jackson,1305,N,Chouteau,Tfwy,2000,Completed,13,Non-Residential,Building,New,Distribution,Building,New,Distribution, ,,,258000,,,"new 258,000 sq. ft. distribution building",B.A. Karbank and Co.,No,No,"1305 Chouteau
Tfwy Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
870,SoHo South Loft Conversion,Jackson,1601, ,Walnut,St,2000,Completed,16,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,102,conversion of the former Emery Bird Thayer warehouse and the Campbell Paint Building into 102 loft apartments,Master Realty Properties,No,Yes,"1601 Walnut St
Kansas City, MO
(39.094368501000474, -94.58234526699965)",125,4,7,92
859,Clayton Meadows West Single Family,Platte,2211,NW,62nd,St,2000,Completed,13,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,88,88 single family homes built 1990 to 2000,MDM Development Inc.,No,No,"2211 62nd St
Kansas City, MO
(39.205113164000466, -94.60644326399967)",153,5,3,66
775,New Mark Apartments,Clay,10397,N,Cherry,Dr,2000,Completed,15,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,323,323 new multifamily housing units,Tower Properties Co.,No,No,"10397 Cherry Dr
Kansas City, MO
(39.282372368000495, -94.56916180199966)",80,5,4,82
734,Rockhurst University Enhancements,Jackson,5225, ,Troost,Av,2000,Completed,10,Non-Residential,Building,Expansion,Education,Building,Expansion / Renovation,Education, ,,,,,,"new visitor center, art galleries, bell tower, fountain, entry, and renovations",Rockhurst University,No,No,"5225 Troost Av
Kansas City, MO
(39.03086813200048, -94.57356337999965)",1,2,7,165
425,Hope Lodge for Cancer Patients & Families,Jackson,1130, ,Pennsylvania,Av,2000,Completed,6,Residential,Building,New,Housing,Building,New,Housing,Group Quarters,,,,,47,47 suites for temporary residence of cancer patients and their families who are visiting Kansas City for treatment at local hospitals,American Cancer Society,No,No,"1130 Pennsylvania Av
Kansas City, MO
(39.1004971750005, -94.59116864399965)",185,4,7,72
479,Stowers Institute Medical Research Center,Jackson,4949, ,Rockhill,Rd,2000,Completed,100,Non-Residential,Building,New,Medical,Building,New / Use Conversion / Renovation,Medical, ,,,,,,"590,000 sq. ft. medical research complex with 240,000 sq. ft. newly constructed and 350,000 sq. ft. renovated and converted from the former Menorah Hospital and a medical office building",Stowers Institute for Medical Research,No,No,"4949 Rockhill Rd
Kansas City, MO
(39.03741461500044, -94.5771727239997)",235,4,7,165
