Project No.,Title,County,School District,Census Tract,West to East Coordinate,South to North Coordinate,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
402,KCI Terminal Parking Garages,Platte,Platte County,303.07,2726436,1139857,58, ,Beirut,Cir,1998,Completed,48,Non-Residential,Building,Expansion,Parking,Building,Expansion,Parking, ,,,,,,"two new parking garages with 4,250 spaces completed since 1990","City of Kansas City, MO",No,No,"58 Beirut Cir
Kansas City, MO
(39.29356452000047, -94.71229143699969)",203,5,3,130
525,Longview Parkway: 107th – Raytown Rd.,Jackson,Hickman Mills,9883,2795717,1003338,, , , ,1995,Completed,11,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Road, ,,,,,,$11 million new boulevard,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
959,Wheeler Airport Drainage,Clay,North Kansas City,221,2760126,1073471,, , , ,2009,Completed,56,City Capital Improvement,Infrastructure,Upgrade,Flood Control,Infrastructure,Upgrade,Flood Control, ,,,,,,$56 million drainage system rehabilitation,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1535,Shoal Creek Patrol Division Road Impvts.,Clay,North Kansas City,209.02,2787984,1110380,, , , ,2007,Completed,3,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$3 million in upgrades to roads near police station,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1082,Police Communications Center Addition,Jackson,Kansas City,159,2766990,1068108,1111, ,Locust,St,2006,Completed,13,Non-Residential,Building,Expansion,Public Safety,Building,Expansion,Public Safety, ,,,,,,$13 million addition of two floors to police communications building,"City of Kansas City, MO",No,No,"1111 Locust St
Kansas City, MO
(39.10067846300046, -94.57731550299968)",5,4,7,75
951,Blue Parkway Bridge Replacement Over Blue R.,Jackson,Kansas City,163,2781215,1044200,, , , ,2008,Completed,10,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$6 million bridge replacement with a wider bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
526,Longview Widening - 71 Hy. To Spring Val.,Jackson,Hickman Mills,132.03,2788158,1000659,, , , ,2010,Completed,13,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$10 million project to widen Longview Rd. from U.S. 71 Highway to Spring Valley Road,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
768,Fire Station # 3,Clay,North Kansas City,213.05,2767394,1138930,11101,N,Oak,Tfwy,1997,Completed,3,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new $3 million fire station,"City of Kansas City, MO",No,No,"11101 Oak
Tfwy Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1754,Central Industrial District Stormwater Project,Jackson,Kansas City,152,2760414,1069635,, , , ,2011,Completed,6,City Capital Improvement,Infrastructure,Upgrade,Flood Control,Infrastructure,Upgrade,Flood Control, ,,,,,,$6 million upgrade to improve stormwater capacity,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1871,Penn Valley Park Improvements,Jackson,Kansas City,44,2763206,1060034,, , , ,2012,Underway,7,City Capital Improvement,Open Space,Upgrade,Recreation,Open Space / Infrastructure,Upgrade,Recreation / Road, ,,,,,,"$7 million of park improvements, including brush removal, wall replacement, stone cleaning and repair, historic lighting, fountain improvements, island removal, fishing piers, better lake access, enhanced skate park, road realignment and traffic calming","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
613,Municipal Auditorium Renovation,Jackson,Kansas City,157,2764348,1067550,1310, ,Wyandotte,St,1997,Completed,5,Non-Residential,Building,Renovation,Entertainment,Building,Renovation,Entertainment, ,,,,,,$5 million renovation of theater,"City of Kansas City, MO",No,No,"1310 Wyandotte St
Kansas City, MO
(39.098453116000485, -94.58569761499967)",5,4,7,72
576,Trans-Missouri River Water Tunnel,Jackson,Kansas City,152,2765663,1073836,, , , ,1992,Completed,27,City Capital Improvement,Infrastructure,New,Water Service,Infrastructure,New,Water Service, ,,,,,,$27 million 2.7 mile second water tunnel under the Missouri River to provide backup and maintenance flexibility in the provision of water south of the river,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
958,Upper Blue River Levee,Jackson,Center,96,2775128,1021540,, , , ,2015,Underway,44,City Capital Improvement,Infrastructure,Upgrade,Flood Control,Infrastructure,Upgrade,Flood Control, ,,,,,,$37 million levee,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
551,KCMO Health Department Headquarters,Jackson,Kansas City,43,2768462,1061965,2400, ,Troost,Av,1997,Completed,18,Non-Residential,Building,New,Office,Building,New,Office, ,122000,,,,,"new 122,000 sq. ft. office building, with meeting rooms, auditorium and a medical/public health library","City of Kansas City, MO",No,No,"2400 Troost Av
Kansas City, MO
(39.083092922000446, -94.57071554999965)",11,3,7,92
905,Downtown Airport Runway Overlay,Clay,North Kansas City,221,2762776,1075981,400,N,Richards,Rd,2001,Completed,13,City Capital Improvement,Infrastructure,Upgrade,Aviation,Infrastructure,Upgrade,Aviation, ,,,,,,$13 million overlay of airport runway,"City of Kansas City, MO",No,No,"400 Richards Rd
Kansas City, MO
(39.121376592000445, -94.5884497139997)",241,4,4,167
1033,Zoo Maintenance,Jackson,Kansas City,9801.01,2781686,1033006,6700, ,Zoo,Dr,,Underway,12,City Capital Improvement,Infrastructure,Upgrade,Recreation,Infrastructure / Building,Upgrade,Recreation, ,,,,,,new orangutan exhibit and other upgrading of exhibit facilities,"City of Kansas City, MO",No,No,"6700 Zoo Dr
Kansas City, MO
(39.00800628100046, -94.53158861099968)",52,2,7,151
1402,Fire Station # 29 Renovation,Jackson,Kansas City,81,2769086,1036592,1414,E,63rd,St,2007,Completed,3,Non-Residential,Building,Renovation,Public Safety,Building,Renovation,Public Safety, ,,,,,,$3 million renovation of fire station,"City of Kansas City, MO",No,No,"1414 63rd St
Kansas City, MO
(39.013068260000466, -94.56910949099967)",64,2,7,165
1793,Highland Place Apartments Conversion,Jackson,Kansas City,161,2771150,1064579,1821, ,Highland,Av,2012,Underway,4,Residential,Building,Use Conversion,Housing,Building,Use Conversion / Style Conversion,Housing,Multifamily,,,,,22,conversion of hotel and 6 houses into 22 apartments,"City of Kansas City, MO",No,Yes,"1821 Highland Av
Kansas City, MO
(39.09042797100045, -94.56213568699968)",234,3,7,92
1391,Wheeler Airport Runway 1/19 Overlay & Safety Area,Clay,North Kansas City,221,2762776,1075981,400,N,Richards,Rd,2007,Completed,39,City Capital Improvement,Infrastructure,Upgrade,Aviation,Infrastructure,Upgrade / Expansion,Aviation, ,,,,,,$39 million overlay of airport runway and expansion of safety area,"City of Kansas City, MO",No,No,"400 Richards Rd
Kansas City, MO
(39.121376592000445, -94.5884497139997)",241,4,4,167
1832,East Patrol / Crime Lab Campus,Jackson,Kansas City,166,2773164,1060121,2620, ,Olive,St,2015,Approved,57,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new $57 million public safety campus with police station and crime lab,"City of Kansas City, MO",No,No,"2620 Olive St
Kansas City, MO
(39.07856622000048, -94.55473322999967)",234,3,7,95
658,Water Laboratory Expansion,Clay,North Kansas City,202.02,2765151,1088172,2,NE,32nd,St,1992,Completed,6,Non-Residential,Building,Expansion,Industrial,Building,Expansion,Industrial, ,,,21000,,,Water Laboratory Expansion,"City of Kansas City, MO",No,No,"2 32nd St
Kansas City, MO
(39.06918313400047, -94.5844410259997)",2,4,7,50
573,Tony Aguirre Community Center,Jackson,Kansas City,153,2761716,1063770,2050, ,West Pennway, ,2001,Completed,4,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,"new 26,000 sq. ft. community center","City of Kansas City, MO",No,No,"2050 Pennway
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
550,Bartle Hall Expansion,Jackson,Kansas City,158,2763729,1066646,1401, ,Broadway, ,1994,Completed,130,Non-Residential,Building,Expansion,Meeting Space,Building,Expansion,Meeting Space / Entertainment, ,,,,,,"338,000 sq. ft. expansion to meeting and exhibition space, much of it built over a freeway","City of Kansas City, MO",No,No,"1401 Broadway
Kansas City, MO
(39.09736275300048, -94.58851905399968)",5,4,7,72
456,22nd-23rd Street Corridor - McGee to I-70,Jackson,Kansas City,161,2772950,1062843,, , , ,2014,Underway,22,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$22 million reconstruction and widening of parts of 22nd and 23rd Streets from McGee Av. to I-70,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1634,American Royal Drive Bridge Replacement,Jackson,Kansas City,152,2759034,1063556,, , , ,2008,Completed,7,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$7 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1267,Springs Aquatic Center,Platte,Park Hill,303.08,2740363,1127628,9400,N,Congress,Av,2006,Completed,8,City Capital Improvement,Infrastructure,New,Recreation,Infrastructure,New,Recreation, ,,,,,,new $8 million aquatic center,"City of Kansas City, MO",No,No,"9400 Congress Av
Kansas City, MO
(39.26441661300049, -94.66827648699967)",203,5,3,130
406,Line Creek Pkwy.: Barry to Stagecoach,Platte,Platte County,302.05,2755507,1123472,, , , ,1996,Completed,5,City Capital Improvement,Infrastructure,New,Road,Infrastructure,Expansion,Road, ,,,,,,$5 million boulevard extension,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1458,Starlight Theater Backstage & Dining Improvements,Jackson,Kansas City,9801.01,2779556,1034241,4600, ,Starlight,Rd,2006,Completed,6,Non-Residential,Building,Renovation,Entertainment,Building,Renovation / Expansion,Entertainment, ,,,,,,"$6 million renovation of backstage area and concession stands, and addition of restaurant at Starlight Theater","City of Kansas City, MO",No,No,"4600 Starlight Rd
Kansas City, MO
(39.00825718100049, -94.5348882139997)",52,2,7,151
491,Blue Parkway Improvements,Jackson,Kansas City,171,2778492,1044385,, , , ,2000,Completed,12,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$12 million project for realignment and reconstruction of Blue Parkway from Swope Pkwy. to Elmwood Av. to meet boulevard standards and to allow better drainage for both the roadway and the uses along it,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1091,Paseo / Independence Ave. Impvts.,Jackson,Kansas City,154,2770640,1070556,, , , ,2004,Completed,1,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,"turn lanes, signals and drainage improvements at intersection","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
516,Zoo / IMAX Theater,Jackson,Kansas City,9801.01,2781684,1033004,6700, ,Zoo,Dr,1995,Completed,76,Non-Residential,Building,Expansion,Recreation,Building / Open Space,Expansion / Upgrade,Recreation, ,75000,,,,,"expansion and upgrade of exhibit facilities, plus new 75,000 sq. ft. entrance building for education, offices and 400-seat IMAX Theater","City of Kansas City, MO",No,No,"6700 Zoo Dr
Kansas City, MO
(39.00800628100046, -94.53158861099968)",52,2,7,151
1397,Shoal Creek Patrol Division Police Station,Clay,North Kansas City,209.02,2787984,1110380,6801,NE,Pleasant Valley,Rd,2006,Completed,10,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new 22,000 sq. ft. police station","City of Kansas City, MO",No,No,"6801 Pleasant Valley Rd
Kansas City, MO
(39.2165853730005, -94.49988053799967)",187,6,4,135
969,Elmwood Lake,Jackson,Kansas City,171,2777337,1044933,, , , ,1999,Completed,11,City Capital Improvement,Open Space,New,Lake,Open Space,New,Lake, ,,,,,,new 23 acre lake,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
564,American Royal Show and Exhibit Facilities,Jackson,Kansas City,152,2759042,1064456,1701, ,American Royal,Ct,1992,Completed,33,Non-Residential,Building,New,Entertainment,Building,New / Renovation,Entertainment / Office, ,25000,,,,,"new 5,100-seat arena and exhibition hall and remodeling of Governor's Exposition Building","City of Kansas City, MO",No,No,"1701 American Royal Ct
Kansas City, MO
(39.09075531300044, -94.60513438399965)",241,4,7,20
1037,Town of Kansas Footbridge,Jackson,Kansas City,152,2764491,1072389,, , , ,2002,Completed,4,City Capital Improvement,Infrastructure,New,Bridge,Infrastructure,New,Bridge, ,,,,,,new 650-foot footbridge plus a 30-foot river overlook extension,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1265,Lydia Bridge over Indian Creek,Jackson,Center,101.03,2768130,1014999,, , , ,2004,Completed,3,City Capital Improvement,Infrastructure,New,Bridge,Infrastructure,New,Bridge, ,,,,,,new $3 million bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
956,"Turkey Crk. Channels, Levees, Interceptors",Jackson,Kansas City,153,2759512,1059567,, , , ,2015,Underway,107,City Capital Improvement,Infrastructure,Upgrade,Flood Control,Infrastructure,Upgrade,Flood Control, ,,,,,,"$107 million drainage channelization, levee and interceptor system","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
393,Downtown Airport Improvements,Clay,North Kansas City,221,2762776,1075681,300, ,Richards,Rd,1994,Completed,8,Non-Residential,Building,Renovation,Transportation,Building,Renovation / Expansion,Transportation / Office, ,30000,8000,,,,$8 million renovation and expansion of office and retail space,"City of Kansas City, MO",No,No,"300 Richards Rd
Kansas City, MO
(39.12090282800045, -94.58973124599964)",241,4,4,167
908,KCI Consolidated Rental Car Facility,Platte,Park Hill,303.07,2729000,1141470,575, ,London,Dr,2007,Completed,90,Non-Residential,Building,New,Transportation,Building / Infrastructure,New,Transportation, ,,,152000,,,"new 152,000 sq. ft. consolidation of 10 rental car facilities","City of Kansas City, MO",No,No,"575 London Dr
Kansas City, MO
(39.30366311600045, -94.71135327999968)",203,5,3,130
1234,N. Agnes Bridge Replacement over Shoal Cr.,Clay,North Kansas City,212.06,2776432,1117745,, , , ,2006,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement / Upgrade,Bridge / Road, ,,,,,,$3 million bridge replacement and approach realignment,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
449,Central Patrol Division Police Station,Jackson,Kansas City,52,2769004,1056855,1200,E,Linwood,Bl,1993,Completed,3,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new 18,000 sq. ft. police station","City of Kansas City, MO",No,No,"1200 Linwood
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
446,Gregg-Klice Community Center,Jackson,Kansas City,161,2770637,1065339,1600,E,17th,Ter,1998,Completed,4,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,"new 31,000 sq. ft. community center","City of Kansas City, MO",No,No,"1600 17th Ter
Kansas City, MO
(39.09210643300048, -94.56317189199967)",54,3,7,92
1566,Wheeler Airport Facility Improvements,Clay,North Kansas City,221,2760126,1073471,, , , ,2015,Underway,188,City Capital Improvement,Infrastructure,Upgrade,Aviation,Infrastructure,Upgrade,Aviation, ,,,,,,"$188 million of improvements to terminal, parking lots, roads, relief wells, and runway safety area","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
539,Linwood Bridge,Jackson,Kansas City,54,2771509,1056503,, , , ,1990,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,new bridge over Bruce Watkins Roadway with many decorative elements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
403,KCI Terminal Renovation,Platte,Platte County,303.07,2726766,1139003,2, ,Amsterdam,Cir,2004,Completed,253,Non-Residential,Building,Renovation,Transportation,Building,Renovation / Expansion,Transportation, ,,,,,,"$253 million airport terminal improvements through upgrading of floors, walls, roofing, electrical sytems, HVAC, concessions, signs, displays, equipment and furnishings; expansions into sidewalk areas; and reallocation of uses","City of Kansas City, MO",No,No,"2 Amsterdam Cir
Kansas City, MO
(39.29928402200045, -94.71930302499965)",203,5,3,130
536,Holmes Widening - Minor Drive to 142nd,Jackson,Grandview,134.08,2764667,995808,, , , ,2013,Underway,21,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$21 million road widening to 5 lanes from Minor Drive to 142nd Street,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1405,Southeast Community Center,Jackson,Kansas City,9801.01,2778008,1035763,4201,E,63rd,St,2008,Completed,12,Non-Residential,Building,New,Entertainment,Building / Infrastructure,New,Entertainment / Meeting Space, ,,,,,,new $11 million community center,"City of Kansas City, MO",No,No,"4201 63rd St
Kansas City, MO
(39.01194533100045, -94.53493995599968)",52,2,7,151
466,Brookside Main Connection,Jackson,Kansas City,73,2764458,1046008,, , , ,1994,Completed,8,City Capital Improvement,Infrastructure,New,Bridge,Infrastructure,New,Bridge, ,,,,,,$8 million new bridge and roadway to connect Main St. and Brookside Blvd. over Brush Creek,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1721,South Patrol Division,Jackson,Hickman Mills,174,2779142,1013742,9701, ,Marion Park,Dr,2012,Completed,26,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new $26 million police complex including police station, helicopter building, kennel, multipurpose building and special operations building","City of Kansas City, MO",No,No,"9701 Marion Park Dr
Kansas City, MO
(38.950729579000495, -94.53584451299969)",178,2,7,149
570,KCI Corridor Road Improvements,Platte,Park Hill,302.11,2744261,1123026,, , , ,2008,Completed,29,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New / Expansion / Upgrade,Road, ,,,,,,extension of Ambassador Drive (formerly Executive Hills Blvd.) to Barry Rd.; new highway interchanges at I-29 & Tiffany Springs Pkwy. and at Highway 152 & Ambassador Drive; plus improvements to other roads,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1412,Music Hall Expansion / Renovation,Jackson,Kansas City,157,2764062,1067482,211,W,13th,St,2007,Completed,15,Non-Residential,Building,Expansion,Entertainment,Building,Expansion / Renovation,Entertainment, ,,,,,,"$15 million expansion of stage depth by 16 ft. and stage width by 10 ft. and renovation of seats, dressing rooms, rigging gear, curtains, plumbing and mechanical systems","City of Kansas City, MO",No,No,"211 13th St
Kansas City, MO
(39.09865369500045, -94.58603233499969)",5,4,7,72
1591,"12th St. Streetscape, Wyandotte to Locust",Jackson,Kansas City,157,2765565,1068038,, , , ,2007,Completed,3,City Capital Improvement,Infrastructure,Upgrade,Streetscape,Infrastructure,Upgrade,Streetscape, ,,,,,,"$3 million of streetscape improvements including streetlights, pedestrian lights, curbs, sidewalks, benches, trash receptacles and benches","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1239,Swope Park Industrial Area Flood Control,Jackson,Kansas City,96,2778460,1027422,, , , ,2015,Underway,26,City Capital Improvement,Infrastructure,New,Flood Control,Infrastructure,New,Flood Control, ,,,,,,$26 million flood control project,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1083,Police Headquarters Renovation,Jackson,Kansas City,159,2766863,1068091,1125, ,Locust,St,2006,Completed,18,Non-Residential,Building,Renovation,Public Safety,Building,Renovation,Public Safety, ,,,,,,$18 million renovation to police building,"City of Kansas City, MO",No,No,"1125 Locust St
Kansas City, MO
(39.10022072000049, -94.57733859099966)",5,4,7,75
954,City Hall South Plaza Reconstruction,Jackson,Kansas City,159,2766577,1068107,414,E,12th,St,2005,Completed,3,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,$3 million structural deck rehabilitation,"City of Kansas City, MO",No,No,"414 12th St
Kansas City, MO
(39.09976822400046, -94.57760052299966)",5,4,7,75
1606,Zoo Entrance Transformation,Jackson,Kansas City,9801.01,2781686,1033006,6700, ,Zoo,Dr,2008,Completed,11,City Capital Improvement,Infrastructure,Reconfiguration,Recreation,Infrastructure / Building / Open Space,Reconfiguration / New,Recreation / Education / Parking, ,,,,,,"$11 million reconfiguration of zoo entrance to allow nearer parking and drop-off, close exhibits and educational space","City of Kansas City, MO",No,No,"6700 Zoo Dr
Kansas City, MO
(39.00800628100046, -94.53158861099968)",52,2,7,151
552,KCI Control Tower,Platte,Platte County,303.07,2727713,1140458,1, ,International,Sq,1997,Completed,11,Non-Residential,Building,New,Transportation,Building,New,Transportation, ,,,,,,new 257-foot-high airport control tower,"City of Kansas City, MO",No,No,"1 International Sq
Kansas City, MO
(39.29791973100049, -94.71656401399969)",203,5,3,130
427,Liberty Memorial Restoration/Shell Expan.,Jackson,Kansas City,44,2764312,1061191,100,W,26th,St,2002,Completed,90,Non-Residential,Building,Renovation,Entertainment,Building,Renovation / Expansion,Entertainment, ,,,,,,"restoration of the existing 140,000 sq. ft. structure and expansion of the museum shell","City of Kansas City, MO",No,No,"100 26th St
Kansas City, MO
(39.07973710800047, -94.5861767079997)",97,4,7,92
976,City Market Renovation,Jackson,Kansas City,152,2765395,1071469,400, ,Grand,Av,2004,Completed,8,Non-Residential,Building,Renovation,Retail,Building / Infrastructure,Renovation,Retail, ,,,,,,"$8 million project for market and open areas renovation and remodeling, and 195-space parking lot","City of Kansas City, MO",No,No,"400 Grand Av
Kansas City, MO
(39.109626714000456, -94.58078076699968)",71,4,7,75
1622,Vehicle Impound Facility,Jackson,Kansas City,155,2790615,1079047,7750,E,Front,St,2008,Completed,20,City Capital Improvement,Infrastructure,New,Parking,Infrastructure / Building,New,Parking, ,,,,,,new 25-acre tow lot and associated buildings,"City of Kansas City, MO",No,No,"7750 Front St
Kansas City, MO
(39.129829101000496, -94.4903010649997)",53,4,7,144
1056,Bartle Hall Ballroom and Renovation,Jackson,Kansas City,157,2764152,1066845,301,W,13th,St,2007,Completed,189,Non-Residential,Building,Expansion,Meeting Space,Building,Expansion / Renovation,Meeting Space, ,,,,,,"$189 million convention facility 130,000 sq. ft. expansion and renovation including a new 46,000 sq. ft. ballroom and renovation of meeting rooms","City of Kansas City, MO",No,No,"301 13th St
Kansas City, MO
(39.0987243780005, -94.58717195899965)",5,4,7,72
1048,Water Services Dept. Hq. Remodeling,Jackson,Kansas City,78.02,2779979,1036618,, , , ,2003,Completed,6,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,93000,,,,,$6 million remoding of office building,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
949,12th Street Viaduct Rehabilitation,Jackson,Kansas City,11,2761731,1068216,, , , ,2009,Completed,12,City Capital Improvement,Infrastructure,Renovation,Bridge,Infrastructure,Renovation,Bridge, ,,,,,,$12 million bridge rehabilitation,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1406,KCI Departure Lounge Restrooms,Platte,Platte County,303.07,2726766,1139003,2, ,Amsterdam,Cir,2006,Completed,5,Non-Residential,Building,Reconfiguration,Transportation,Building,Reconfiguration,Transportation, ,,,,,,reconfiguration of airport departure lounges to include 12 restrooms,"City of Kansas City, MO",No,No,"2 Amsterdam Cir
Kansas City, MO
(39.29928402200045, -94.71930302499965)",203,5,3,130
1087,Metro Patrol Division New Location,Jackson,Kansas City,89,2772483,1027122,7601, ,Prospect,Av,2010,Completed,16,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new $16 million police station,"City of Kansas City, MO",No,No,"7601 Prospect Av
Kansas City, MO
(38.987090734000446, -94.55744031999967)",93,2,7,151
953,Beardsley Bridge Replacement- 12th-17th,Jackson,Kansas City,152,2761318,1067021,, , , ,2007,Completed,6,City Capital Improvement,Infrastructure,Renovation,Bridge,Infrastructure,Renovation,Bridge, ,,,,,,$6 million bridge rehabilitation,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
385,Shoal Creek Golf Course,Clay,Liberty,213.09,2791306,1123012,, , , ,1994,Completed,20,City Capital Improvement,Open Space,Expansion,Recreation,Open Space,Expansion,Recreation, ,,,,,,18-hole golf course east of the existing Hodge Park Golf Course,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1088,Blue River Flood Control Project,Jackson,Kansas City,163,2787690,1060218,, , , ,2014,Underway,290,City Capital Improvement,Infrastructure,Upgrade,Flood Control,Infrastructure,Upgrade,Flood Control, ,,,,,,"$290 million project straightening and widening the channel, reclaiming a brownfield, and creating space for wildlife and recreation; completed MO River to I-70; underway I-70 to Stadium Dr.; future construction Stadium Dr. to 63rd St.","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
692,Aviation Department Headquarters,Platte,Platte County,303.07,2727606,1143589,601, ,Brasilia,Av,1995,Completed,4,Non-Residential,Building,New,Office,Building,New,Office, ,40000,,,,,"new 40,000 sq. ft. office building","City of Kansas City, MO",No,No,"601 Brasilia Av
Kansas City, MO
(39.30965033600046, -94.71534735499966)",203,5,3,130
1543,Robert J. Mohart Multipurpose Center Improvements,Jackson,Kansas City,52,2770227,1056419,3200, ,Wayne,Av,2008,Completed,4,Non-Residential,Building,Renovation,Social Service,Building,Renovation,Social Service / Recreation, ,,,,,,$4 milllion renovation to community center,"City of Kansas City, MO",No,No,"3200 Wayne Av
Kansas City, MO
(39.068277143000444, -94.56446542099968)",78,3,7,19
447,HAZMAT Fire Station,Jackson,Kansas City,21,2787306,1065958,6600,E,Truman,Rd,1995,Completed,4,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new 17,000 sq. ft. hazardous materials response fire station","City of Kansas City, MO",No,No,"6600 Truman Rd
Kansas City, MO
(39.093774608000444, -94.50544257999968)",83,3,7,94
367,Berkley Riverfront Park,Jackson,Kansas City,3,2768770,1074177,, , , ,1998,Completed,20,City Capital Improvement,Open Space,New,Recreation,Open Space / Bridge / Road,New,Recreation, ,,,,,,"32-acre park, plus roadways and viaduct to provide access","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1762,Aviation Department Fleet Maintenance Facility,Platte,Platte County,303.07,2728520,1150570,125,N,Paris,St,2010,Completed,5,Non-Residential,Building,Expansion,Heavy Commercial,Building,Expansion,Heavy Commercial, ,,,37000,,,"37,000 sq. ft. fleet maintenance facility expansion","City of Kansas City, MO",No,No,"125 Paris St
Kansas City, MO
(39.30350812800049, -94.71986194999965)",203,5,3,130
