"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","structure_class","class_description","subdivision","project_description","county","council_district","school_district","pin","parcel","applicant_name","applicant_representative","owner_name","legal_description","property_description","location_1"
"8526",,"NW","PRAIRIE VIEW","RD","3","22","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","50000","2742831","1123035","201223077","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"EUROPEAN WAX CENTER TF","Platte","2","Park Hill",,"Z2008","NRGC CONTRACTORS","DIRK DREW",,,,"8526 NW PRAIRIE VIEW RD
,  
(39.249409, -94.661225)"
"215",,"W","PERSHING","RD","11","12","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","5500","2764115","1061981","201118147","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"UMKC","Jackson","4","Kansas City","125083","JA29530040500000000","SIEMENS INDUSTRY, INC.","PERMIT SERVICE",,,,"215 W PERSHING RD
,  64108
(39.083438, -94.587031)"
"8600",,"NW","PRAIRIE VIEW","RD","12","23","2011","Non-Residential","Additions, Alterations, Repairs","NA","0","300000","2741610","1123137","201219651","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","ZONA ROSA 2ND PLAT","BAR LOUIE AT ZONA ROSA","Platte","2","Park Hill","227683","PL201012100005005015","MUNLAKE CONTRACTORS INC","STEVE WIKE",,,,"8600 NW PRAIRIE VIEW RD
,  64153
(39.250409, -94.661557)"
"215",,"W","PERSHING","RD","3","31","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","22500","2764115","1061981","201023262","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"THE PERSHING BUILDING, ELEVATOR & SOUTH ENTRANCE ADDITION","Jackson","4","Kansas City","125083","JA29530040500000000","AMBIENT TEMPCO, INC.","CYNTHIA CASTRO LUNDQUIST",,"215 W PERSHING RD / N 5 FT LOT51 ALL LOT 52 WALNUT RIDGE ALLLOTS 13 & 14 & THAT PRT OF LOT15 LY S OF PERSHING RD WALDO  PLACE LOTS 1 2 3 & 4 WALDO    TRACT",,"215 W PERSHING RD
,  64108
(39.083438, -94.587031)"
"3001",,,"POPLAR","AVE","9","26","2013","Residential","Additions, Alterations, Repairs","NA","0","2000","2781160","1057409","201416730","97","Existing One Or Two Family Residence",,"SINGLE FAMILY - REMODEL","Jackson","3","KANSAS CITY","22756","JA28820330200000000","JEFFREY BRYANT",,"BRYANT JEFFREY","3001 POPLAR / LOT 136 & N 30  FT LOT 137 RUGBY ADD",,"3001 POPLAR AVE
,  64128
(39.070605, -94.526747)"
"4469",,,"PENNSYLVANIA","AVE","6","5","2012","Residential","Demolition","Single Family","1","0","2762266","1048201","201311468","645","Demolition - One-Family Dwelling",,"SINGLE FAMILY","Jackson","4","Kansas City","140903","JA30410142300000000","KAW VALLEY WRECKING, LLC","TOM LYNCH",,,,"4469 PENNSYLVANIA AVE
,  64111
(39.045364, -94.593345)"
"1601",,"NW","PLATTE","RD","11","4","2010","Non-Residential","New Construction","NA","0","2000","2760331","1092298","201117833","324","Office, Bank And Professional Buildings","BRIARCLIFF PROFESSIONAL PLAZA 3AC","SOCIAL SECURITY ADMINISTRATION (SSA) IVT STUDIO AT BRIARCLIFF","Clay","2","North Kansas City","254776","CL1720400010030201","ACCURATE MECHANICAL, LLC","MALINDA ROBERSON",,,,"1601 NW PLATTE RD
,  64116
(39.16703, -94.600555)"
"2420",,,"PERSHING","RD","1","28","2013","Non-Residential","Additions, Alterations, Repairs","NA","0","4500","2765706","1061869","201321448","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"CMH SUPPLY CHAIN DOOR RELOCATE","Jackson","4","Kansas City","125066","JA29530250101000000","STACO ELECTRIC CONSTRUCTION COMPANY","PERMIT SERVICE, INC.","CROWN POWER & REDEV CORP","2400-2480 PERSHING RD         200 E 25TH ST                 SCARRITT AND PEERYS SUB LOTS  5-8 & LOTS 8-12 & LOTS 17-26  & LOTS 35-37 AMENED PLAT OF   JAMES DOWLINGS ADD & LOTS 1-9 NAYLAND PLACE & PRT SE 1/4 &  PRT VAC MCGEE TFWY & PRT VAC  25TH & OAK STS",,"2420 PERSHING RD
,  64108
(39.082482, -94.578972)"
"2241",,,"POPLAR","AVE","8","3","2010","Residential","Additions, Alterations, Repairs","NA","0","2800","2781512","1062162","201113862","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","3","Kansas City","18743","JA28520371700000000","EXTREME COMFORT, INC.","MIKE CHRISTOPHER",,,,"2241 POPLAR AVE
,  64127
(39.083795, -94.525527)"
"115",,"E","POCAHONTAS","LN","10","6","2010","Residential","Additions, Alterations, Repairs","NA","0","400","2763595","1021821","201116550","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Center","149652","JA48220140100000000","SUSAN'S SERVICE COMPANY, L.L.C.","SUSAN EVANS",,,,"115 E POCAHONTAS LN
,  64114
(38.973121, -94.588386)"
"7115",,,"PENNSYLVANIA","AVE","9","18","2013","Residential","Additions, Alterations, Repairs","NA","0","600","2761448","1031349","201416324","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","KANSAS CITY","110547","JA47440020500000000","WALSH VIRGINIA","OWNER","WALSH DANNY L & VIRGINIA","7115 PENNSYLVANIA             ARMOUR LAWN LOT 45 S 2.5 FT   LOT 46",,"7115 PENNSYLVANIA AVE
,  64114
(38.999143, -94.59614)"
"30",,"W","PERSHING","RD","8","16","2011","Non-Residential","Additions, Alterations, Repairs","NA","0","5460","2764373","1062524","201214345","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","MARSH'S ADD","PARISI COFEE SHOP AT UNION STATION","Jackson","4","Kansas City","239600","JA29530260101200000","PROGRESSIVE ELECTRONICS, INC.","PERMIT SERVICE INC",,,,"30 W PERSHING RD
,  64108
(39.084068, -94.584514)"
"7715",,"NW","PRAIRIE VIEW","RD","8","18","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","10000","2743872","1117143","201114484","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"SUBWAY #39418","Platte","2","Park Hill","162805","PL194018200004006000","EAST KANSAS CITY ELECTRIC, LLC","PERMIT SERVICE, INC.",,,,"7715 NW PRAIRIE VIEW RD
,  64151
(39.234594, -94.658806)"
"500",,"W","PERSHING","RD","7","27","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","7818","2763027","1062075","201113603","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","MARSH'S ADD","KC BALLET, TODD BOLENDER CENTER FOR DANCE & CREATIVITY","Jackson","4","Kansas City","239601","JA29530260101300000","KISSICK CONSTRUCTION CO., INC.","PERMIT SERVICE INC",,,,"500 W PERSHING RD
,  64108
(39.083359, -94.589258)"
"11707",,,"PENNSYLVANIA","AVE","4","13","2012","Residential","Additions, Alterations, Repairs","NA","0","500","2760003","1000631","201224060","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Grandview","156435","JA65410181100000000","SUSAN'S SERVICE COMPANY, L.L.C.","SUSAN EVANS",,,,"11707 PENNSYLVANIA AVE
,  64114
(38.914678, -94.601104)"
"2601",,,"PASEO",,"3","25","2010","Residential","New Construction","Multifamily","5","576800","2770198","1060622","201023014","105","Five- Or More Family Dwelling",,"BEACON PARK ASSOCIATES, MULTI-FAMILY RES","Jackson","3","Kansas City","254253","T85.LT1","WOODCO,INC.","PAUL LAUGHLIN",,,,"2601 PASEO
,  64108
(39.079594, -94.565529)"
"6416",,"N","PENNSYLVANIA","AVE","5","2","2011","Residential","Additions, Alterations, Repairs","NA","0","5000","2763814","1108593","201210057","97","Existing One Or Two Family Residence",,"SINGLE FAMILY - DECK","Clay","2","North Kansas City","96572","CL1352000050030001","GINGRICH MITTIE TRUST","JOHN GINGRICH",,"LOPEZ JOHN J & ROBERT F",,"6416 N PENNSYLVANIA AVE
,  64118
(39.211237, -94.587492)"
"1608",,,"PROSPECT","AVE","1","19","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","5000","2773764","1065567","201220448","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"BLUE VALLEY INDUSTRIES","Jackson","3","Kansas City","12534","JA29140411300000000","GENERAL PLUMBING CONTRACTORS","PERMIT SERVICE INC",,,,"1608 PROSPECT AVE
,  64127
(39.092721, -94.551729)"
"7715",,"NW","PRAIRIE VIEW","RD","9","8","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","7050","2743872","1117143","201115341","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"SUBWAY #39418","Platte","2","Park Hill","162805","PL194018200004006000","B & C MECHANICAL SERVICES, LLC","PERMIT SERVICE, INC.",,,,"7715 NW PRAIRIE VIEW RD
,  64151
(39.234594, -94.658806)"
"30",,"W","PERSHING","RD","9","14","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","5383","2764373","1062524","201115603","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","MARSH'S ADD","UNION STATION IRS TENANT FINISH","Jackson","4","Kansas City","239601","JA29530260101300000","SHEET METAL CONTRACTORS, INC.",,,,,"30 W PERSHING RD
,  64108
(39.084068, -94.584514)"
"3027",,,"PROSPECT","AVE","5","6","2013","Non-Residential","Additions, Alterations, Repairs","NA","0","6000","2773774","1057424","201410256","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"HOPE FAMILY CARE","Jackson","3","Kansas City","24738","JA28920163500000000","A.B. MAY COMPANY","PERMIT SERIVCE","LAND CLEARANCE FOR REDEV","3015-43 PROSPECT              CDC-KC LINWOOD SQUARE 2ND PLATLOT 1",,"3027 PROSPECT AVE
,  64128
(39.070672, -94.5528)"
"118",,"W","POCAHONTAS","LN","9","14","2010","Residential","Additions, Alterations, Repairs","NA","0","3400","2762320","1021996","201115576","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Center","149485","JA48220104200000000","POOR JOHNS PLUMBING","TERRI WELKER",,,,"118 W POCAHONTAS LN
,  64114
(38.973268, -94.592807)"
"4124",,,"PITTMAN","RD","9","26","2013","Residential","Additions, Alterations, Repairs","NA","0","99","2799562","1048679","201416774","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","3","KANSAS CITY","48384","JA32240061500000000","ADT LLC","JUANITA FARR","STROUT WARREN ANDREWS","4124 PITTMAN RD / LOT 7       HENDRIX RESURVEY",,"4124 PITTMAN RD
,  64133
(39.046744, -94.461582)"
"6301",,,"PENNSYLVANIA","AVE","8","25","2010","Residential","Additions, Alterations, Repairs","NA","0","499","2761510","1036779","201114785","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","4","Kansas City","108979","JA47340011000000000","BROADVIEW SECURITY, INC.","LISA PARK",,,,"6301 PENNSYLVANIA AVE
,  64113
(39.013982, -94.595906)"
"9420",,"NW","PRAIRIE VIEW","RD","5","31","2012","Non-Residential","New Construction","NA","0","3450","2742187","1127788","201311279","327","Stores And Customer Service Buildings","TIFFANY SPRINGS AUTO PLAZA II","HARLEY DAVIDSON WORTH PARK, EVENTS RESTAURANT","Platte","2","Park Hill","220207","PL201001000000033000","LOUCO INDUSTRIES, INC.","ZACH TAYLOR",,,,"9420 NW PRAIRIE VIEW RD
,  64153
(39.265515, -94.664092)"
"4455",,,"PROSPECT","AVE","1","9","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","22000","2773405","1047977","201220088","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"COMMERCIAL","Jackson","3","Kansas City","34637","JA31420091100000000","BRUSH CREEK HEATING AND COOLING","PERMIT SERVICE",,,,"4455 PROSPECT AVE
,  64130
(39.044817, -94.554155)"
"8815",,"NE","PAWPAW","DR","5","19","2011","Residential","New Construction","Single Family","0","4850","2796622","1143369","201210720","101","New Single Family Dwelling","HUNTERS GLEN NORTH SECOND PLAT","new single family","Clay","1","Liberty","233890","CL1061300130060001","MCDANIEL FURNACE & SHEET METAL, INC.","SHEILA DAVIS",,"HUNT MIDWEST REAL ESTATE DEVELOPMENT INC",,"8815 NE PAWPAW DR
,  64157
(39.307108, -94.471821)"
"5840",,"NW","PRAIRIE VIEW","RD","9","10","2010","Non-Residential","New Construction","NA","0","10000","2752343","1104599","201115413","320","Industrial Buildings",,"CRIPPLE CREEK ROCK COMPANY","Platte","2","Park Hill","230461","PL199029400009040000","CRIPPLE CREEK ROCK CO","JENNIFER WHEELER",,,,"5840 NW PRAIRIE VIEW RD
,  64151
(39.201219, -94.628583)"
"9550",,"N","POLO","DR","8","24","2011","Non-Residential","New Construction","NA","0","270000","2741754","1129910","201214664","213","Hotels, Motels And Tourist Cabins",,"HOLIDAY INN EXPRESS HOTEL (Executive Hills Lot 12J)","Platte","2","Park Hill","172031","PL177036000015008000","TEAGUE ELECTRIC CONSTRUCTION, INC.","ANN GARCIA",,,,"9550 N POLO DR
,  64153
(39.270724, -94.664452)"
"1",,"E","PERSHING","RD","12","10","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","11842","2764884","1061942","201319685","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"WESTIN CROWN CENTER HOTEL ph 3 main lobby","Jackson","4","Kansas City","125060","JA29530241200000000","U.S. ENGINEERING COMPANY","PERMIT SERVICE, INC.",,,,"1 E PERSHING RD
,  64108
(39.083995, -94.583523)"
"11205",,"N","PENNSYLVANIA","AVE","12","5","2012","Residential","New Construction","Single Family","0","4350","2764454","1140240","201319525","101","New Single Family Dwelling","BRISTOL NORTH-FOURTH PLAT","SINGLE FAMILY","Clay","2","North Kansas City","241208","CL0952000040380001","PALMER ELECTRIC COMPANY","RACHEL A. MILLER",,,,"11205 N PENNSYLVANIA AVE
,  64155
(39.298123, -94.586102)"
"4057",,,"PENNSYLVANIA","AVE","1","26","2011","Non-Residential","Additions, Alterations, Repairs","NA","0","24282","2762861","1051064","201120867","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"MCCOYS PUBLIC HOUSE","Jackson","4","Kansas City","131078","JA30340220500000000","CAPITAL ELECTRIC CONSTRUCTION COMPANY, INC.","PERMIT SERVICE, INC.",,"BROOK CHRISTOPHER",,"4057 PENNSYLVANIA AVE
,  64111
(39.053526, -94.591982)"
"7304",,"N","POTTER","AVE","3","22","2010","Residential","Additions, Alterations, Repairs","NA","0","3300","2792492","1113541","201022820","97","Existing One Or Two Family Residence","ESTATES OF NORTH BROOK-SECOND PLAT","SINGLE FAMILY","Clay","1","Liberty","211919","CL1451100100260001","YOSANOVICH  JEANETTE","HOMEOWNER",,"ESTATES OF NORTH BROOK-SECOND PLAT LOT 206",,"7304 N POTTER AVE
,  
(39.224905, -94.486427)"
"8754",,"NW","PRAIRIE VIEW","RD","3","13","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","6200","2742011","1123627","201222590","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","ZONA ROSA 2ND PLAT","WHITE HOUSE / BLACK MARKET AT ZONA ROSA","Platte","2","Park Hill","222869","PL201012100005001000","HEARTLAND PLUMBING, INC.","PERMIT SERVICE, INC",,,,"8754 NW PRAIRIE VIEW RD
,  64153
(39.252634, -94.66456)"
"11209",,"N","PENNSYLVANIA","AVE","4","23","2013","Residential","New Construction","Single Family","0","150","2764454","1140311","201325047","101","New Single Family Dwelling","BRISTOL NORTH-FOURTH PLAT","NEW SINGLE FAMILY","Clay","2","North Kansas City","241209","CL0952000040370001","HUNT PLUMBING CO., INC.","JAMES B HUNT","SHOAL CREEK PARTNERS LLC","BRISTOL NORTH 4TH PLAT LT 98",,"11209 N PENNSYLVANIA AVE
,  64155
(39.298324, -94.586096)"
"360",,"W","PERSHING","RD","11","9","2011","Residential","Additions, Alterations, Repairs","NA","0","30000","2763318","1062126","201217928","434","EXIST - RESIDENTIAL BLDG-ADDN-ALTER-CONV","THE LIBERTY CONDOMINIUMS","LIBERTY CONDOMINIUMS","Jackson","4","Kansas City Missouri","244921","JA29440100600000000","BRIGHTERGY, LLC","ALEX NORMAN",,,,"360 W PERSHING RD
,  64108
(39.083348, -94.589409)"
"9550",,"NW","PRAIRIE VIEW","RD","8","31","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","15350","2741839","1128555","201315647","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","TIFFANY SPRINGS AUTO PLAZA","RANDY REED DEALERSHIP, DETAIL SHOP","Platte","2","Park Hill","214237","PL201001000000029000","TEMP-CON, INC.","PERMIT SERVICE, INC",,,,"9550 NW PRAIRIE VIEW RD
,  64153
(39.266789, -94.665021)"
"5223",,,"PLEASANT","ST","3","19","2012","Residential","Additions, Alterations, Repairs","NA","0","1000","2810539","1040976","201222840","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Raytown","63979","JA33820041300000000","ABLE ELECTRIC OF KANSAS CITY LLC","TOM SUPER",,,,"5223 PLEASANT ST
,  64133
(39.025609, -94.423358)"
"7414",,,"PENNSYLVANIA","AVE","9","1","2011","Residential","Additions, Alterations, Repairs","NA","0","1485","2761251","1029384","201215005","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Kansas City","111086","JA47440301900000000","TAYLOR ELECTRIC, INC.","KENT TAYLOR",,,,"7414 PENNSYLVANIA AVE
,  64114
(38.993784, -94.596432)"
"4038",,,"PASEO",,"1","25","2013","Residential","Additions, Alterations, Repairs","NA","0","7500","2769412","1050848","201321355","97","Existing One Or Two Family Residence","TROOST HILL","SINGLE FAMILY","Jackson","3","Kansas City","228186","JA30130123901000000","BLUE ATOMS ENERGY, LLC","CUONG NGUYEN","ROWE STEPHANIE","SEC 21-49-33 TROOST HILLS S 37.99 OF W 110.82'  OF LOT 14",,"4038 PASEO
,  64110
(39.052696, -94.567656)"
"9420",,"NW","PRAIRIE VIEW","RD","6","7","2012","Non-Residential","New Construction","NA","0","20800","2742187","1127788","201311631","327","Stores And Customer Service Buildings","TIFFANY SPRINGS AUTO PLAZA II","HARLEY DAVIDSON WORTH PARK, EVENTS RESTAURANT","Platte","2","Park Hill","220207","PL201001000000033000","MULLER MECHANICAL","ROBERT MULLER",,,,"9420 NW PRAIRIE VIEW RD
,  64153
(39.265515, -94.664092)"
"5625",,"N","POTTER","AVE","9","9","2013","Residential","Additions, Alterations, Repairs","NA","0","3295","2792703","1103039","201415815","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","1","NORTH KANSAS CITY","89265","CL1481100060110001","HEALTH & COMFORT EQUIPMENT SERVICE LLC","ROGER BLAKLEY","AURORA LOAN SERVICES LLC","5625 N POTTER                 GRACEMOR 8TH PLAT LOT 10 EXC  S 3 FT & S 6 FT LOT 11 BLK 12",,"5625 N POTTER AVE
,  64119
(39.196012, -94.486107)"
"7107",,"N","POLK","AVE","6","6","2012","Residential","New Construction","Single Family","0","4350","2749975","1113411","201311581","101","New Single Family Dwelling","OVERLAND RIDGE FIRST PLAT","NEW SINGLE FAMILY","Platte","2","Park Hill","240148","PL194020200009003000","PALMER ELECTRIC COMPANY","DEBBIE JOINER",,,,"7107 N POLK AVE
,  64151
(39.223841, -94.635909)"
"7667",,"NW","PRAIRIE VIEW","RD","7","18","2013","Non-Residential","Additions, Alterations, Repairs","NA","0","5600","2744285","1116847","201413416","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","PLATTE WOODS CENTER-REPLAT","CLAY-PLATTE FAMILY MEDICINE","Platte","2","PARK HILL","228724","PL194018200004007002","JOHNSON'S CONSTRUCTION LLC","RICKY A JOHNSON","RLH PRAIRIE VIEW LLC","SEC 18-51-33 SW1/4 NW1/4 PLATTE WOODS CENTER-REPLAT LOT 2-A",,"7667 NW PRAIRIE VIEW RD
,  64151
(39.23317, -94.658526)"
"6404",,,"PROCTOR","AVE","6","18","2010","Residential","Additions, Alterations, Repairs","NA","0","7236","2806006","1033760","201111886","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Raytown","65042","JA44330051300000000","KEN PRIEST'S C & S FURNACE CO.","KENDALL SCHOTTEL",,"6404 PROCTOR                  TIMBER VALLEY 3RD PLAT        LOT 165",,"6404 PROCTOR AVE
,  64133
(39.005621, -94.438972)"
"333",,"W","PERSHING","RD","1","13","2011","Non-Residential","Additions, Alterations, Repairs","NA","0","1562123","2763682","1061735","201120478","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","PERSHING ROAD ADDITION","IRS SOLAR PANEL","Jackson","4","Kansas City","240682","JA29530041400000000","MARK ONE ELECTRIC COMPANY, INC.","CARL PRIVITERA, II",,"BURKHEAD DONNA L TRUSTEE",,"333 W PERSHING RD
,  64108
(39.083432, -94.587857)"
"8441",,"NW","PRAIRIE VIEW","RD","9","7","2010","Non-Residential","New Construction","NA","0","68000","2743435","1122036","201115297","327","Stores And Customer Service Buildings","REPLAT OF LOT 2 ZONA ROSA 4TH PLAT","BUFFALO WILD WINGS RESTAURANT","Platte","2","Park Hill","237718","PL201012100004015001","ST.  CLAIR CONSTRUCTION, INC.","JUDE SIEKER",,,,"8441 NW PRAIRIE VIEW RD
,  64153
(39.247852, -94.661043)"
"1601",,"NW","PLATTE","RD","10","26","2010","Non-Residential","New Construction","NA","0","43750","2760331","1092298","201117381","324","Office, Bank And Professional Buildings","BRIARCLIFF PROFESSIONAL PLAZA 3AC","SOCIAL SECURITY ADMINISTRATION (shell) BRIARCLIFF DEVELOPMENT COMPANY","Clay","2","North Kansas City","254776","CL1720400010030201","TOWNSEND MECHANICAL, L.L.C","PERMIT SERVICE",,,,"1601 NW PLATTE RD
,  64116
(39.16703, -94.600555)"
"14651",,,"PETERSON","RD","8","10","2011","Non-Residential","Additions, Alterations, Repairs","NA","0","3000","2799410","979600","201214168","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","KC CENTRAL SDA CHURCH","KC CENTRAL SDA CHURCH: DAYCARE OCCUPANCY","Jackson","6","Grandview","237817","JA68600040200000000","KC CENTRAL SDA CHURCH","RAUL CAMPOS",,,,"14651 PETERSON RD
,  64149
(38.856518, -94.46352)"
"3821",,,"PROSPECT","AVE","10","15","2012","Residential","Demolition","Single Family","1","0","2773588","1052213","201317483","645","Demolition - One-Family Dwelling",,"SINGLE FAMILY","Jackson","3","Kansas City","29045","JA31320331000000000","INDUSTRIAL SALVAGE & WRECKING CO., INC.","CHARLES CACIOPPO, JR.",,,,"3821 PROSPECT AVE
,  64128
(39.056406, -94.553527)"
"7110",,"N","POLK","AVE","11","1","2010","Residential","Additions, Alterations, Repairs","NA","0","950","2749915","1113220","201117639","97","Existing One Or Two Family Residence","OVERLAND RIDGE FIRST PLAT","SINGLE FAMILY","Platte","2","Park Hill","240151","PL194020200010003000","ROZIER ELECTRIC, INC.","PERMIT SERVICE, INC.",,,,"7110 N POLK AVE
,  64151
(39.223844, -94.635912)"
"8673",,"NW","PRAIRIE VIEW","RD","11","16","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","31556","2743016","1123392","201118296","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","ZONA ROSA 2ND PLAT","BUILDING M SPACE 105, LANDLORD IMPROVEMENTS AT ZONA ROSA SHOPPING CENTER","Platte","2","Park Hill","222868","PL201012100004009000","MEYER BROTHERS BUILDING CO.","PERMIT SERVICE",,,,"8673 NW PRAIRIE VIEW RD
,  64153
(39.251173, -94.661999)"
"8520",,"NW","PRAIRIE VIEW","RD","3","11","2011","Non-Residential","Additions, Alterations, Repairs","NA","0","975","2742908","1122641","201122413","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","ZONA ROSA 3RD PLAT","BROW THREADING","Platte","2","Park Hill","225481","PL201012100001097000","JAYHAWK FIRE SPRINKLER CO INC","DREW ROBBINS",,,,"8520 NW PRAIRIE VIEW RD
,  64153
(39.249317, -94.661224)"
"7901",,,"PENNSYLVANIA","AVE","3","17","2010","Residential","Additions, Alterations, Repairs","NA","0","327","2761306","1026191","201022661","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Kansas City","120816","JA47940020200000000","ADT SECURITY SERVICES, INC.","DIANA CARMAN",,"7901 PENNSYLVANIA             TURNER 2ND ADD LOT 10         EXC S 10 FT",,"7901 PENNSYLVANIA AVE
,  64114
(38.984989, -94.596644)"
"6912",,"N","PENNSYLVANIA","AVE","4","9","2012","Residential","Additions, Alterations, Repairs","NA","0","950","2763668","1111922","201223784","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","95900","CL1351600030150001","PARKER'S ELECTRIC, INC.","ANNETTE WILSON",,,,"6912 N PENNSYLVANIA AVE
,  64118
(39.220358, -94.588197)"
"608",,"E","PORTE CIMI PAS",,"10","11","2012","Residential","Additions, Alterations, Repairs","NA","0","675","2765074","1020014","201317355","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Center","150375","JA48240021500000000","TAYLOR ELECTRIC, INC.","KENT TAYLOR",,,,"608 E PORTE CIMI PAS
,  64131
(38.967815, -94.583108)"
"30",,"W","PERSHING","RD","10","27","2011","Non-Residential","Additions, Alterations, Repairs","NA","0","423708","2764373","1062524","201217410","437","EXIST - NONRESIDNTL BLDG-ADDN-ALTER-CONV","MARSH'S ADD","SCIENCE CITY ENGINEERING ALTERATION & EXHIBITSPHERE","Jackson","4","Kansas City Missouri","239601","JA29530260101300000","BURN & MC DONNELL","ERIC GOULDSMITH",,,,"30 W PERSHING RD
,  64108
(39.084068, -94.584514)"
"30",,"W","PERSHING","RD","4","23","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","15250","2764373","1062524","201024212","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","MARSH'S ADD","VACANT SPACE","Jackson","4","Kansas City","239601","JA29530260101300000","J E DUNN CONST","JOSH CHRISTOPHER",,"SEC 08-49-33 NW1/4 SW1/4 MARSH'S ADD---PT OF MARSH'S ADD, LUDLOW PLACE, JAMESON SUB & PT SEC 07-49-33 & 08-49-33 DAF: BEG AT INTERSEC OF W ROW LI MAIN ST & N ROW LI PERSHING RD TH SWLY ALG NLY",,"30 W PERSHING RD
,  64108
(39.084068, -94.584514)"
"805",,,"PENNSYLVANIA","AVE","1","4","2011","Non-Residential","Additions, Alterations, Repairs","NA","0","697000","2762960","1069870","201120100","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"STATE STREET CORPORATION 2ND FLOOR","Jackson","4","Kansas City","122905","JA29310183200000000","J.E.DUNN","JOEL GRIMMETT",,,,"805 PENNSYLVANIA AVE
,  64105
(39.104783, -94.590956)"
"215",,"W","PERSHING","RD","10","20","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","3200","2764115","1061981","201117202","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"UMKC TENANT FINISH","Jackson","4","Kansas City","125083","JA29530040500000000","ALLIANCE FIRE PROTECTION, LLC","STEVE VOGL",,,,"215 W PERSHING RD
,  64108
(39.083438, -94.587031)"
"9550",,"NW","PRAIRIE VIEW","RD","10","18","2012","Non-Residential","Additions, Alterations, Repairs","NA","0","800","2741839","1128555","201317664","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","TIFFANY SPRINGS AUTO PLAZA","RANDY REED DEALERSHIP, DETAIL SHOP","Platte","2","Park Hill","214237","PL201001000000029000","KANSAS CITY CCTV, LLC","KAMRON DISCIACCA",,,,"9550 NW PRAIRIE VIEW RD
,  64153
(39.266789, -94.665021)"
