"project_no","title","how_far_east","how_far_north","number","direction","name","suffix","location","completion_year_estimate","status","cost_estimate","rent_low_cost","rent_high_cost","rent_midpoint","sale_low_price","sale_high_price","sale_midpoint","rent_sale_price_source_year","activity","housing_units","tenure","developer","also_in_1990_onward_database"
"1157","W Lofts","* 2,764,387","* 1,065,068","1803",,"Wyandotte","St","1803  Wyandotte St","2005","Completed","3000000",,,,"150000","400000","275000","2006","Use Conversion","17","Owner","Shaul Jolles and Doug Krtek","Yes"
"1472","Washington Lofts","* 2,763,110","* 1,064,858","1820",,"Washington","St","1820  Washington St","2005","Completed","1600000",,,,"344000","525000","434500","2006","Use Conversion","4","Owner","Nottingham Apartment Associates","Too Small"
"1279","Jazz District Apartments II","* 2,770,638","* 1,064,819","1635","E.","18th","St","1635 E. 18th St","2007","Completed","16000000","548","900","724",,,,"2007","New","78","Renter","Jazz District Redevelopment Corp. and McCormack Baron Salazar","Yes"
"652","Creative Arts District","* 2,763,842","* 1,064,807","1900",,"Central","St","1900  Central St","2017","Underway","7500000",,,,,,,,"Use Conversion","50","Renter","Nate Accardo","Yes"
"1464","Ferrous Park Townhouses","* 2,766,616","* 1,064,788","1800",,"Locust","St","1800  Locust St","2017","Proposed","1080000",,,,"275000","325000","300000","2006","New","6","Owner","Jeff Rumaner","Too Small"
"1429","East Armour Apartment Renovations","* 2,767,384","* 1,054,788","900","E.","Armour","Bl","900 E. Armour Bl","2009","Completed","57000000",,,,,,,,"Renovation","303","Renter","Eagle Point Enterprises","Yes"
"572","Jazz District Apartments I","* 2,770,804","* 1,064,788","1851",,"Paseo",,"1851  Paseo ","2001","Completed","19000000","455","826","641",,,,"2007","New / Renovation","73","Renter","Jazz District Redevelopment Corp. and McCormack Baron & Assocs.","Yes"
"1252","1819 Lofts","* 2,764,738","* 1,064,778","1819",,"Baltimore","Av","1819  Baltimore Av","2004","Completed","6000000",,,,"160000","460000","310000","2006","Use Conversion / New","26","Owner","Accardo Family","Yes"
"1793","Highland Place Apartments Conversion","* 2,771,150","* 1,064,579","1821"," ","Highland","Av","1821   Highland Av","2012","Completed","4000000","370","700","535",,,,"2011","Use Conversion / Style Conversion","22","Renter","City of Kansas City, MO","Yes"
"1902","Switzer School Housing Phase I","* 2,761,893","* 1,064,572","1810",,"Madison","Av","1810  Madison Av","2015","Proposed","21500000",,,,,,,,"Use Conversion / New","98","Renter","McCormack Baron and Assocs. And Westside Housing","Too Uncertain"
"1286","Popcorn Lofts","* 2,764,203","* 1,064,520","1920",,"Wyandotte","St","1920  Wyandotte St","1998","Completed","1000000",,,,,,,,"Use Conversion","6","Owner","Jason Johntz","Too Small"
"435","Villa Del Sol Residential","* 2,761,228","* 1,064,484","1915",,"Holly","St","1915  Holly St","1998","Completed","11820850",,,,,,,,"New","120","Renter","Kansas City Housing Authority","Yes"
"396.04","Hotel Monroe","* 2,764,866","* 1,064,466","1904",,"Main","St","1904  Main St","2006","Completed","4700000",,,,"400000","670000","535000","2006","Use Conversion","8","Owner","Ben Sundermaier / JoAnn Nero","Yes - Grouped"
"1528","18th & Vine Townhouses","* 2,770,757","* 1,064,416","1612","E.","19th","St","1612 E. 19th St","2007","Completed","4000000",,,,,,,,"New","19",,,"Yes"
"2014","West High Conversion to Apartments","* 2,761,957","* 1,064,388","1936",,"Summit","St","1936  Summit St","2017","Proposed","15600000",,,,,,,,"Use Conversion","95","Renter","Foutch Brothers","Too Uncertain"
"2102","Switzer Lofts","* 2,762,021","* 1,064,388","1936",,"Summit","St","1936  Summit St","2017","Underway","24000000","600","1400","1000",,,,"2015","Use Conversion","114","Renter","Foutch Brothers LLC","Yes"
"1947","1914 Main Apartments","* 2,764,854","* 1,064,343","1914",,"Main","St","1914  Main St","2015","Underway","8000000","1200",,,,,,"2014","New","44","Renter","Linden Street Partners","Yes"
"396.02","Rieger Bldg. ","* 2,764,864","* 1,064,263","1922",,"Main","St","1922  Main St","2003","Completed","1000000",,,,,,,,"Use Conversion","2","Renter","Don Omar","Yes - Grouped"
"443","Basie Court Apartments","* 2,771,190","* 1,064,262","1940",,"Woodland","Av","1940  Woodland Av","1995","Completed","8000000",,,,,,,,"New","88","Owner","Black Economic Union","Yes"
"396.08","Liquid Carbonics Co.","* 2,764,597","* 1,064,102","2000",,"Baltimore","Av","2000  Baltimore Av","2009","Completed","2000000",,,,"440000","690000","565000","2006","Use Conversion","6","Owner","Melissa Stevens","Yes - Grouped"
"396.03","Piper Lofts (HD Lee) ","* 2,764,371","* 1,064,041","117","W.","20th","St","117 W. 20th St","2007","Completed","32000000","875","2200","1538",,,,"2010","Use Conversion","118","Renter","McGowen & Walsh and Mike Rainen","Yes - Grouped"
"1301","2004 Grand Lofts","* 2,765,478","* 1,063,985","2004",,"Grand","Av","2004  Grand Av","2012","Completed","875000",,,,,,,,"Use Conversion","5","Owner","Brian Williams","Too Small"
"396.13","Columbia Lofts","* 2,764,175","* 1,063,981","2006",,"Wyandotte","St","2006  Wyandotte St","2012","Completed","7000000","500","700","600",,,,"2010","Use Conversion","35","Renter","Dale Schulte","Yes - Grouped"
"1473","Firestone Building","* 2,765,695","* 1,063,971","2001",,"Grand","Av","2001  Grand Av","2017","Proposed","15750000",,,,,,,,"Use Conversion","90","Owner","Nicholas Abnos","Too Uncertain"
"396.01","Freight House Lofts","* 2,764,383","* 1,063,953","2029",,"Wyandotte","St","2029  Wyandotte St","2001","Completed","7000000",,,,"185000","340000","262500","2007","Use Conversion","33","Renter","Master Realty","Yes - Grouped"
"1619","ARTerra","* 2,764,238","* 1,063,786","2100",,"Wyandotte","St","2100  Wyandotte St","2016","Proposed","27000000","1000","2000","1500",,,,"2015","New","125","Renter","Copaken Brooks","Too Uncertain"
"1294","Lofts at Fleming Place","* 2,765,467","* 1,063,686","2030",,"Grand","Av","2030  Grand Av","2003","Completed","1050000",,,,"200000","350000","275000","2006","Use Conversion","6","Owner","Ed Roitz","Too Small"
"1998","Pabst Lofts","* 2,763,949","* 1,063,682","2107",,"Central","St","2107  Central St","2016","Proposed","13000000",,,,,,,,"Use Conversion","62","Renter","Jordon Ringel","Too Uncertain"
"981","Western Auto Lofts","* 2,765,658","* 1,063,527","2107",,"Grand","Av","2107  Grand Av","2006","Completed","30000000",,,,"233000","346000","289500","2006","Use Conversion","157","Owner","MCZ Development Corp. and Centrum Properties","Yes"
"396.10","Freighthouse Flats","* 2,764,136","* 1,063,522","2120",,"Wyandotte","St","2120  Wyandotte St","2006","Completed","4025000",,,,"180000","600000","390000","2006","Use Conversion","23","Owner","2121 Wyandotte Developers","Yes - Grouped"
"396.05","Freighthouse Lofts at Stuart Hall","* 2,763,939","* 1,063,508","2121",,"Central","St","2121  Central St","2004","Completed","14000000","800","2500","1650",,,,"2006","Use Conversion","115","Renter","Master Realty","Yes - Grouped"
"396.14","Meriden Creamery Conversion to Apts/Office","* 2,763,725","* 1,063,443","2100"," ","Central","St","2100   Central St","2014","Completed","2600000",,,,,,,,"Use Conversion","14","Renter","Gary Hassenflu","Yes"
"396.12","Haden Lofts","* 2,763,505","* 1,063,326","2109",,"Broadway",,"2109  Broadway ","2008","Completed","8100000",,,,"200000","500000","350000","2007","Use Conversion","34","Owner","Andrew Haden","Yes - Grouped"
"2112","301 E. Armour Conversion to Apartments","* 2,765,539","* 1,054,648","301","E","Armour","Blvd","301 E Armour Blvd","2016","Underway","6000000",,,,,,,,"Use Conversion","56","Renter","MAC Properties","Yes"
"396.11","Windows Lofts (former J.I. Case Building)","* 2,763,485","* 1,062,945","2117",,"Broadway",,"2117  Broadway ","2010","Completed","32000000","1105","1580","1343",,,,"2012","Use Conversion","105","Renter","McGowen & Walsh Historic Renovators","Yes - Grouped"
"1990","Crossroads West","* 2,762,845","* 1,062,665","2311",,"Jefferson","St","2311  Jefferson St","2016","Proposed","60000000",,,,,,,,"New","275","Renter","Cityscape Residential","Yes"
"1123","The Liberty (Dakota Lofts)","* 2,763,263","* 1,062,120","360","W.","Pershing","Rd","360 W. Pershing Rd","2007","Completed","8900000",,,,"124000","600000","362000","2007","Use Conversion","44","Owner","Ben Bryan","Yes"
"2025","Sweeney Building","* 2,764,005","* 1,061,985","215","W","Pershing","Rd","215 W Pershing Rd","2016","Proposed","9000000",,,,,,,,"Use Conversion","55","Renter","Mike Rainen","Too Uncertain"
"1934","215 W. Pershing  Apartments","* 2,763,983","* 1,061,982","215","W","Pershing","Rd","215 W Pershing Rd","2015","Proposed","18000000",,,,,,,,"Use Conversion","60","Renter","Mike Rainen","Yes"
"1285","Anne's Lofts","* 2,762,782","* 1,060,986","501","W.","26th","St","501 W. 26th St","1997","Completed","600000",,,,,,,,"Use Conversion","12","Owner","David Sosland","Too Small"
"575","Longfellow Heights Residential","* 2,768,231","* 1,060,607","2600",,"Harrison","St","2600  Harrison St","2001","Completed","23000000","340","485","413",,,,"2001","New","302","Renter","McCormack Baron and Assocs.","Yes"
"1620","Union Hill II Housing","* 2,766,329","* 1,058,881","2821",,"Mc Gee","Tfwy","2821  Mc Gee Tfwy","2010","Underway","28000000",,,,,,,,"New / Renovation","100","Both","Union Hill Development Group","Yes"
"1538","Dutch Hill Apartments","* 2,767,818","* 1,058,765","2843",,"Campbell","St","2843  Campbell St","2010","Underway","2500000","500","800","650",,,,"2006","Renovation","36","Renter","Dutch Hill Apartments LLC","Too Small"
"431","Union Hill Place","* 2,765,029","* 1,058,744","2900",,"Grand","Av","2900  Grand Av","2002","Completed","9000000",,,,,,,,"New","114","Renter","Frye & Co.","Yes"
"1118.05","Twenty9 Gillham","* 2,766,394","* 1,058,732","2901",,"Gillham","Rd","2901  Gillham Rd","2015","Completed","3000000","1025","1400","1213",,,,"2015","New","22","Renter","John Hoffman","Yes - Grouped"
"1118.04","Cherry Hill Row","* 2,766,786","* 1,058,611","2901",,"Cherry","St","2901  Cherry St","2007","Completed","3750000",,,,"150000","325000","237500","2006","New","15","Owner","Urban Coeur Development","Yes - Grouped"
"1156","Founders at Union Hill I","* 2,766,268","* 1,058,610","2929",,"McGee","St","2929  McGee St","2008","Completed","50000000","700","1295","998","210000","1300000","755000","2006","Use Conversion / New","276","Both","Robert Frye","Yes"
"1118.01","30 Gillham Row","* 2,766,461","* 1,058,427","2939",,"Gillham","Rd","2939  Gillham Rd","2006","Completed","2400000",,,,"197000","298000","247500","2006","New","11","Owner","Urban Coeur Development","Yes - Grouped"
"1683","Park Reserve Condos Phase I","* 2,764,212","* 1,058,327","2980",,"Baltimore","Av","2980  Baltimore Av","2010","Completed","16000000",,,,"120000","190000","155000","2008","Use Conversion","88","Owner","Park Reserve LLC","Yes"
"1928","Founders at Union Hill II","* 2,765,795","* 1,058,213","300","E","30th","St","300 E 30th St","2015","Underway","32000000","750","1800","1275",,,,"2013","New","181","Renter","Robert Frye","Yes"
"1118.02","Triangle Townhomes","* 2,766,612","* 1,058,172","2938",,"Cherry","St","2938  Cherry St","2004","Completed","1400000",,,,"168000","398000","283000","2006","New","6","Owner","Urban Coeur Development","Yes - Grouped"
"1118.03","Battery Lofts","* 2,766,428","* 1,058,048","3001",,"Gillham","Rd","3001  Gillham Rd","2004","Completed","3000000",,,,"175000","221000","198000","2006","Use Conversion","16","Owner","Urban Coeur Development","Yes - Grouped"
"1278","One Park Place Condos (BMA Tower)","* 2,762,130","* 1,057,976","700",,"Karnes","Bl","700  Karnes Bl","2006","Completed","17000000",,,,"400000","5000000","2700000","2006","Use Conversion","106","Owner","SWD Communities","Yes"
"2108","3410 Broadway Phase III","* 2,762,498","* 1,055,706","3421",,"Pennsylvania","Av","3421  Pennsylvania Av","2019","Proposed","5500000",,,,,,,,"New","20","Owner","Joseph Kashani","Too Uncertain"
"2107","3410 Broadway Phase II","* 2,762,694","* 1,055,702","3420",,"Broadway",,"3420  Broadway ","2018","Proposed","27000000",,,,,,,,"New","108","Renter","Joseph Kashani","Too Uncertain"
"2106","3410 Broadway Phase I","* 2,762,954","* 1,055,685","3420",,"Broadway",,"3420  Broadway ","2017","Proposed","13000000",,,,,,,,"Use Conversion","101","Renter","Joseph Kashani","Yes"
"1158","Ellison Apartments","* 2,763,346","* 1,055,170","300","W.","Armour","Bl","300 W. Armour Bl","2004","Completed","9400000",,,,,,,,"Style Conversion","68","Renter","Bank of America Community Development Corp.","Yes"
"1565","Antheus Armour Renovations","* 2,765,581","* 1,054,961","350","E.","Armour","Bl","350 E. Armour Bl","2013","Completed","30000000",,,,,,,,"Renovation","409","Renter","Antheus Capital LLC","Yes"
"1792","Antheus Armour Renovations II","* 2,765,581","* 1,054,961","214","E","Armour","Bl","214 E Armour Bl","2015","Underway","62000000","618","1995","1307",,,,"2011","Renovation","800","Renter","Antheus Capital LLC","Yes"
"2103","Studio Lofts","* 2,760,255","* 1,054,906","3612",,"Karnes","Blvd","3612  Karnes Blvd","2015","Underway","3000000",,,,,,,,"Use Conversion","14","Renter","Hufft Projects","Yes"
"1773","Commonwealth Project","* 2,766,098","* 1,054,875","500","E.","Armour","Bl","500 E. Armour Bl","2017","Proposed","57000000",,,,,,,,"Renovation","635","Renter","Antheus Capital LLC","Yes"
"1256","Midtown Marketplace Apts.","* 2,765,711","* 1,054,835","3500",,"Gillham","Rd","3500  Gillham Rd","2007","Completed","12000000",,,,,,,,"Renovation","285","Renter","1st General Management","Yes"
"1944","Congress Building","* 2,763,167","* 1,054,529","3535",,"Broadway",,"3535  Broadway ","2016","Underway","10000000",,,,,,,,"Use Conversion","53","Renter","Del Hedgepath","Yes"
"1999","Ambassador Conversion - Studio to Bedroom Apartments","* 2,762,959","* 1,054,427","3560",,"Broadway",,"3560  Broadway ","2016","Underway","14500000",,,,,,,,"Style Conversion","116","Renter","3560 Broadway LLC","Yes"
"1995","Gillham Park Row","* 2,765,228","* 1,053,710","3630",,"Gillham","Rd","3630  Gillham Rd","2015","Completed","3000000","1050","1050","1050",,,,,"New","23","Renter","Urban Coeur Development","Yes"
"1788","Chatham Hotel Conversion to Senior Apartments","* 2,763,398","* 1,053,579","3701"," ","Broadway"," ","3701   Broadway  ","2011","Completed","9000000","520","625","573",,,,"2011","Use Conversion","40","Renter","Tont Krsnich","Yes"
"1293","Lofts @ 39/Wyoming ","* 2,759,171","* 1,052,710","3820",,"Wyoming","St","3820  Wyoming St","2002","Completed","300000",,,,,,,,"Use Conversion","2",,"Umbrella Group Arts","Too Small"
"1841","West 39th Street Apartments","* 2,758,362","* 1,052,678","3895"," ","State Line","Rd","3895   State Line Rd","2013","Completed","10000000","800","1300","1050",,,,"2011","New","71","Renter","Price Development Group","Yes"
"1614","Hawthorn Plaza Apartments Renovation","* 2,764,344","* 1,052,427","3835",,"Main","St","3835  Main St","2016","Underway","26000000","769","1600","1185",,,,"2007","Style Conversion","56","Renter","Howard Fischer","Yes"
"776","Loretto Apartment Conversion","* 2,760,354","* 1,052,409","1111","W.","39th","St","1111 W. 39th St","1997","Completed","9000000",,,,,,,,"Use Conversion","144","Both","Loretto Redevelopment Corp.","Yes"
"1874","39th Terrace Redevelopment","* 2,763,071","* 1,051,732","3954"," ","Central","St","3954   Central St","2016","Proposed","22000000","750","1200","975",,,,"2012","New","118","Renter","Dr. Ahmed Awad","Yes"
"1290","40 Penn Row","* 2,762,257","* 1,051,713","4000",,"Pennsylvania","Av","4000  Pennsylvania Av","2002","Completed","1800000",,,,"130000","200000","165000","2000","New","11","Owner","Urban Coeur Development","Too Small"
"1282","Penn-40 Lofts","* 2,762,267","* 1,051,526","4000",,"Pennsylvania","Av","4000  Pennsylvania Av","2004","Completed","4900000",,,,,,,,"Use Conversion","28","Owner","Steve Block","Yes"
"1281","Manor Square Condos","* 2,762,433","* 1,051,308","4050",,"Pennsylvania","Av","4050  Pennsylvania Av","2004","Completed","10150000",,,,,,,,"Use Conversion","58","Owner","Manor Square Development","Yes"
"1283","Westport-Mill Townhomes","* 2,762,890","* 1,051,090","400",,"Westport","Rd","400  Westport Rd","2004","Completed","3850000",,,,,,,,"New","14","Owner","Doug Weltner","Yes"
"1536","41 Penn Condos","* 2,763,010","* 1,050,602","4129",,"Pennsylvania","Av","4129  Pennsylvania Av","2008","Completed","9000000",,,,"210000","440000","325000","2006","New","32","Owner","Classical Developments","Yes"
"940","CityPlace @ Westport","* 2,762,107","* 1,049,956","700","W","43rd","St","700 W 43rd St","2003","Completed","35000000","840","1320","1080",,,,"2002","New","288","Renter","Lincoln Property Co. and DST Realty","Yes"
"465","Bishop Spencer Place I","* 2,761,314","* 1,049,591","4301",,"Madison","Av","4301  Madison Av","1995","Completed","14000000",,,,"70000","180000","125000","2002","New","134","Renter","Episcopal Diocese of West Missouri","Yes"
"939","Bishop Spencer Place II","* 2,761,775","* 1,049,210","700","W.","44th","St","700 W. 44th St","2005","Completed","22000000",,,,,,,,"New","54","Renter","Episcopal Diocese of West Missouri","Yes"
"2104","Westport Today Renovations","* 2,761,910","* 1,049,113","4400",,"Jefferson","St","4400  Jefferson St",,"Underway","4000000",,,,,,,,"Renovation","142","Both","Westport Today","Yes"
"1310","The Metropolitan (Plaza)","* 2,761,198","* 1,048,846","4417",,"Madison","Av","4417  Madison Av","2006","Completed","20000000",,,,,,,,"New","132","Renter","MacKenzie House LLC","Yes"
"1671","Bunker Hill Multifamily","* 2,761,167","* 1,048,596","4435",,"Madison","Av","4435  Madison Av","2015","Underway","3504600",,,,,,,,"New","134","Renter",,"Yes"
"2105","Plaza North Townhomes","* 2,761,341","* 1,048,551","4428",,"Summit","St","4428  Summit St","2015","Completed","2000000",,,,"350000","475000",,"2015","New","5","Owner","Westport Today","Yes"
"2111","Vernon on Washington","* 2,762,569","* 1,048,533","4443",,"Washington","St","4443  Washington St","2016","Proposed","2250000",,,,,,,,"New","18","Renter","Jewel Box Homes","Too Small"
"1277","Wornall Park","* 2,763,014","* 1,048,159","4500",,"Wornall","Rd","4500  Wornall Rd","2006","Completed","4000000",,,,"540000","1106000","823000","2006","New","10","Owner","Victoria Sexton","Yes"
"1553","Mill Creek Condos and Townhouses","* 2,763,319","* 1,048,093","4506",,"J.C. Nichols","Pkwy","4506  J.C. Nichols Pkwy","2010","Completed","20000000",,,,"350000","550000","450000","2006","New","61","Owner","MacKenzie House LLC","Yes"
"1155","4528 Belleview","* 2,760,700","* 1,048,071","4528",,"Belleview","St","4528  Belleview St","2004","Completed","3000000",,,,,,,,"Use Conversion","9","Owner","Wilson Group","Yes"
"982","The Madison Townhouses","* 2,761,180","* 1,047,978","4541",,"Madison","Av","4541  Madison Av","2004","Completed","7000000",,,,"220000","360000","290000","2003","New","26","Owner","MacKenzie House LLC","Yes"
"1842","46 Penn Apartments","* 2,762,274","* 1,047,915","516","W","46th","St","516 W 46th St","2014","Completed","30000000","1200","2200","1700",,,,"2011","New","177","Renter","Price Development Group","Yes"
"1276","46 Washington Townhomes","* 2,762,567","* 1,047,862","4537",,"Washington","St","4537  Washington St","2006","Completed","8000000",,,,"265000","659000","462000","2006","New","18","Owner","MacKenzie House LLC","Yes"
"1621","46 Summit","* 2,761,620","* 1,047,729","4600",,"Jefferson","St","4600  Jefferson St","2016","Proposed","72600000","4100","6990","5545",,,,"2008","New","264","Both","MacKenzie House LLC","Yes"
"1344","Villas on Plaza West","* 2,760,510","* 1,047,714","4600",,"Roanoke","Pkwy","4600  Roanoke Pkwy","2006","Completed","10000000",,,,"1200000","1600000","1400000","2005","New","7","Owner","Plaza West Development LLC","Yes"
"1263","4646 Broadway Lofts","* 2,762,535","* 1,047,553","4646",,"Broadway",,"4646  Broadway ","2006","Completed","16000000",,,,"575000","1600000","1087500","2005","New","18","Owner","George Birt","Yes"
"2101","City Apartments","* 2,761,897","* 1,047,358","4621",,"Jefferson","St","4621  Jefferson St","2016","Underway","20000000",,,,,,,,"Renovation","214","Renter","Village Green","Yes"
"1926","Swinney School Conversion to Apartments","* 2,760,234","* 1,047,300","1106","W","47th","St","1106 W 47th St","2015","Underway","16000000",,,,,,,,"Use Conversion / New","80","Renter","Kansas City Sustainable Development Partners","Yes"
"1554","47th and Belleview Condos","* 2,760,797","* 1,047,106","4701",,"Belleview","St","4701  Belleview St","2016","Proposed","18000000",,,,"600000","1200000","900000","2006","New","24","Owner","Stonerose Development","Yes"
"1618","The 4700 Condos","* 2,760,965","* 1,047,046","4700",,"Roanoke","Pkwy","4700  Roanoke Pkwy","2010","Underway","5500000",,,,"175000","350000","262500","2007","Style Conversion","26","Owner","Wilson Group","Yes"
"470","Jefferson on the Plaza Apartments","* 2,764,910","* 1,046,311","4800",,"Oak","St","4800  Oak St","2000","Completed","39235700","795","1780","1288",,,,"2004","New","396","Renter","JPI","Yes"
"1343","Sulgrave / Regency Condos","* 2,763,403","* 1,045,872","121","W.","48th","St","121 W. 48th St","2002","Completed","20000000",,,,"150000","1000000","575000","2001","Style Conversion","274","Owner","Mike Rainen","Yes"
"920","501 Ward Pkwy.","* 2,761,719","* 1,045,844","501",,"Ward","Pkwy","501  Ward Pkwy","2004","Completed","12000000",,,,,,,,"New","9","Owner","B.B. Anderson","Yes"
"1101","Kirkwood","* 2,763,297","* 1,045,414","5000",,"Wyandotte","St","5000  Wyandotte St","2008","Completed","85000000",,,,"400000","2500000","1450000","2006","New","115","Owner","DST Realty and SCOL Inc.","Yes"
"598","Plaza Pavilion Apartments","* 2,762,715","* 1,045,189","4949",,"Wornall","Rd","4949  Wornall Rd","2000","Completed","4590000",,,,"170000","305000","237500","2001","New","51","Owner","Saul and Jim Ellis","Yes"
"1892","51 Main","* 2,763,814","* 1,044,478","5030"," ","Main","St","5030   Main St","2015","Completed","39000000","1195","3095","2145",,,,"2015","New","204","Renter","VanTrust Real Estate","Yes"
