"number","fraction","prefix","street","suffix","full_address","zip","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or","permit_value","how_far_east","how_far_north","permit_number","structure_class","class_description","subdivision","project_description","county","council_district","school_district","pin","parcel","address","applicant_name","applicant_representative","legal"
"8059",,"NE","100TH","PL","8059 NE 100TH PL","64157","7","31","2014","Residential","Additions, Alterations, Repairs","NA","0","$   800","2793799","1131988","201514633","97","Existing One Or Two Family Residence","BENSON PLACE FIELDSTONE - FOURTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","256912","T3400.198","8059 NE 100TH PL","PALMER ELECTRIC COMPANY","DEBBIE JOINER","BENSON PLACE FIELDSTONE 4TH PLAT LT 198"
"8059",,"NE","100TH","PL","8059 NE 100TH PL","64157","8","1","2014","Residential","New Construction","Single Family","0","$   1,000","2793799","1131988","201514737","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256912","T3400.198","8059 NE 100TH PL","ROBERTSON PLUMBING, LLC","PERMIT SERVICE INC","BENSON PLACE FIELDSTONE 4TH PLAT LT 198"
"8059",,"NE","100TH","PL","8059 NE 100TH PL","64157","9","30","2014","Residential","Additions, Alterations, Repairs","NA","0","$   150","2793799","1131988","201517758","97","Existing One Or Two Family Residence","BENSON PLACE FIELDSTONE - FOURTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","256912","T3400.198","8059 NE 100TH PL","WESTLAND PLUMBING, INC.","PERMIT SERVICE, INC.","BENSON PLACE FIELDSTONE 4TH PLAT LT 198"
"8060",,"NE","100TH","PL","8060 NE 100TH PL",,"3","17","2014","Residential","New Construction","Single Family","0","$   10,000","2793964","1132169","201423701","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","256916","T3400.202","8060 NE 100TH PL","CENTURY PLUMBING CO.","PERMIT SERVICE, INC.","BENSON PLACE FIELDSTONE 4TH PLAT LT 202"
"8060",,"NE","100TH","PL","8060 NE 100TH PL","64157","4","24","2014","Residential","New Construction","Single Family","0","$   3,500","2793964","1132169","201425550","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","256916","T3400.202","8060 NE 100TH PL","UNITED HEATING & COOLING, INC.","KAYLA YORK","BENSON PLACE FIELDSTONE 4TH PLAT LT 202"
"8060",,"NE","100TH","PL","8060 NE 100TH PL","64157","5","12","2014","Residential","New Construction","Single Family","0","$   6,001","2793964","1132169","201510535","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","256916","T3400.202","8060 NE 100TH PL","TEAGUE ELECTRIC CONSTRUCTION, INC.","CAROL HARRIS","BENSON PLACE FIELDSTONE 4TH PLAT LT 202"
"8063",,"NE","100TH","PL","8063 NE 100TH PL","64157","6","27","2014","Residential","New Construction","Single Family","1","$   210,000","2793896","1131963","201512954","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT",,"Clay","1","LIBERTY","256911","T3400.197","8063 NE 100TH PL","SUMMIT CUSTOM HOMES, LLC","PERMIT SERVICE INC","BENSON PLACE FIELDSTONE 4TH PLAT LT 197"
"8063",,"NE","100TH","PL","8063 NE 100TH PL","64157","7","8","2014","Residential","New Construction","Single Family","0","$   10,000","2793896","1131963","201513409","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256911","T3400.197","8063 NE 100TH PL","CENTURY PLUMBING CO.","PERMIT SERVICE, INC.","BENSON PLACE FIELDSTONE 4TH PLAT LT 197"
"8063",,"NE","100TH","PL","8063 NE 100TH PL","64157","9","22","2014","Residential","New Construction","Single Family","0","$   4,200","2793896","1131963","201517339","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256911","T3400.197","8063 NE 100TH PL","UNITED HEATING & COOLING, INC.","KAYLA YORK","BENSON PLACE FIELDSTONE 4TH PLAT LT 197"
"8063",,"NE","100TH","PL","8063 NE 100TH PL","64157","9","26","2014","Residential","New Construction","Single Family","0","$   6,001","2793896","1131963","201517613","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256911","T3400.197","8063 NE 100TH PL","TEAGUE ELECTRIC CONSTRUCTION, INC.","CAROL HARRIS","BENSON PLACE FIELDSTONE 4TH PLAT LT 197"
"8064",,"NE","100TH","PL","8064 NE 100TH PL","64157","5","12","2014","Residential","New Construction","Single Family","1","$   190,000","2793965","1132056","201510579","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256917","T3400.203","8064 NE 100TH PL","MCFARLAND CUSTOM BUILDERS, INC","RALPH YEATER","BENSON PLACE FIELDSTONE 4TH PLAT LT 203"
"8064",,"NE","100TH","PL","8064 NE 100TH PL","64157","6","24","2014","Residential","New Construction","Single Family","0","$   6,000","2793965","1132056","201512686","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256917","T3400.203","8064 NE 100TH PL","BARSCO MECHANICAL, L.L.C.","PERMIT SERVICE, INC.","BENSON PLACE FIELDSTONE 4TH PLAT LT 203"
"8064",,"NE","100TH","PL","8064 NE 100TH PL","64157","7","28","2014","Residential","New Construction","Single Family","0","$   7,030","2793965","1132056","201514355","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256917","T3400.203","8064 NE 100TH PL","MIKE BRYANT","MIKE BRYANT","BENSON PLACE FIELDSTONE 4TH PLAT LT 203"
"8064",,"NE","100TH","PL","8064 NE 100TH PL","64157","8","8","2014","Residential","New Construction","Single Family","0","$   6,800","2793965","1132056","201515097","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256917","T3400.203","8064 NE 100TH PL","JOE KILOWATT INC.","PERMIT SERVICE, INC","BENSON PLACE FIELDSTONE 4TH PLAT LT 203"
"8068",,"NE","100TH","PL","8068 NE 100TH PL","64157","5","11","2015","Residential","New Construction","Single Family","1","$   230,000","2794047","1132042","201610517","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256918","T3400.204","8068 NE 100TH PL","SUMMIT CUSTOM HOMES, LLC","PERMIT SERVICE INC","BENSON PLACE FIELDSTONE 4TH PLAT LT 204"
"8068",,"NE","100TH","PL","8068 NE 100TH PL","64157","5","18","2015","Residential","New Construction","Single Family","0","$   10,000","2794047","1132042","201610937","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256918","T3400.204","8068 NE 100TH PL","CENTURY PLUMBING CO.","PERMIT SERVICE, INC.","BENSON PLACE FIELDSTONE 4TH PLAT LT 204"
"8068",,"NE","100TH","PL","8068 NE 100TH PL","64157","6","24","2015","Residential","New Construction","Single Family","0","$   6,000","2794047","1132042","201612848","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256918","T3400.204","8068 NE 100TH PL","ARROW CIRCLE ELECTRIC, INC.","DAVID M CLEARY","BENSON PLACE FIELDSTONE 4TH PLAT LT 204"
"8068",,"NE","100TH","PL","8068 NE 100TH PL","64157","7","2","2015","Residential","New Construction","Single Family","0","$   4,200","2794047","1132042","201613365","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256918","CL1081600150080001","8068 NE 100TH PL","UNITED HEATING & COOLING, INC.","ASHLEY FINDLEY","BENSON PLACE FIELDSTONE 4TH PLAT LT 204"
"8068",,"NE","100TH","PL","8068 NE 100TH PL","64157","9","18","2015","Residential","New Construction","Single Family","0","$   150","2794047","1132042","201617481","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","256918","CL1081600150080001","8068 NE 100TH PL","CENTURY PLUMBING CO.","PERMIT SERVICE, INC.","BENSON PLACE FIELDSTONE 4TH PLAT LT 204"
"8069",,"NE","100TH","PL","8069 NE 100TH PL","64157","5","4","2016","Residential","New Construction","Single Family","1","$   300,000","2793948","1131916","201710187","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","256910","CL1081600150160001","8069 NE 100TH PL","MCFARLAND CUSTOM BUILDERS, INC","RALPH YEATER","BENSON PLACE FIELDSTONE 4TH PLAT LT 196"
"8069",,"NE","100TH","PL","8069 NE 100TH PL","64157","5","5","2016","Residential","New Construction","Single Family","0","$   7,000","2793948","1131916","201710321","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","256910","CL1081600150160001","8069 NE 100TH PL","RELIABLE MECHANICAL SERVICES, INC.","PERMIT SERVICE, INC","BENSON PLACE FIELDSTONE 4TH PLAT LT 196"
"8069",,"NE","100TH","PL","8069 NE 100TH PL","64157","7","7","2016","Residential","New Construction","Single Family","0","$   6,800","2793948","1131916","201713570","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","256910","CL1081600150160001","8069 NE 100TH PL","JOE KILOWATT INC.","PERMIT SERVICE, INC","BENSON PLACE FIELDSTONE 4TH PLAT LT 196"
"8069",,"NE","100TH","PL","8069 NE 100TH PL","64157","7","21","2016","Residential","New Construction","Single Family","0","$   7,030","2793948","1131916","201714205","101","New Single Family Dwelling","BENSON PLACE FIELDSTONE - FOURTH PLAT","SINGLE FAMILY","Clay","1","LIBERTY","256910","CL1081600150160001","8069 NE 100TH PL","MIKE BRYANT HEATING AND COOLING","MIKE BRYANT","BENSON PLACE FIELDSTONE 4TH PLAT LT 196"
"8069",,"NE","100th","Pl","8069 NE 100th Pl","64157","7","17","2018","Residential","Additions, Alterations, Repairs","NA","0","$   1,500","2793911","1131892","CPBR-201834605","0",,,"SINGLE FAMILY","Clay","1","LIBERTY","256910","CL1081600150160001","8069 NE 100th Pl","Needs Contact","Needs Contact","ERROR: #N/A"
"1511",,"E","100TH","ST","1511 E 100TH ST","64131","2","16","2012","Residential","Additions, Alterations, Repairs","NA","0","$   2,200","2768407","1011966","201221561","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Center","154149","JA48720018300000000","1511 E 100TH ST","MORTON MECHANICAL, INC.","PAUL MORTON","1511 E 100TH ST / LOT 1       INDIAN HEIGHTS EAST"
"1522",,"E","100th","St","1522 E 100th St","64131","7","12","2019","Residential","Additions, Alterations, Repairs","NA","0","$   2,488","2768720","1012175","CPMR-2019-01672","97","Existing 1 or 2 Family Residence","INDIAN HEIGHTS","Existing Single Family","Jackson","5","CENTER","154147","JA48720017500000000","1522 E 100th St","ANTHONY PLUMBING, HEATING AND COOLING",,"1522 E 100TH ST               INDIAN HEIGHTS 4TH PLAT LOT   173 & BEG SE COR SD LOT TH E  ALG ELY PROLO S LI SD LOT 43.2FT TO WLY LI MO PAC RR R/W TH NELY ALG CUR TO RT ALG SD WLY R/W 103.89 FT TH NWLY 64.25 FTTO NE COR SD LOT 173 TH S ALG ELY LI SD LOT"
"5504",,"E","100TH","ST","5504 E 100TH ST","64137","5","6","2015","Residential","Additions, Alterations, Repairs","NA","0","$   6,144","2781645","1011521","201610264","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","57807","JA49810030800000000","5504 E 100TH ST","A.B. MAY COMPANY","ELYSE BASS","5504 E 100TH ST / LOT 130     HILLCREST HEIGHTS"
"5508",,"E","100TH","ST","5508 E 100TH ST","64137","7","14","2016","Residential","Additions, Alterations, Repairs","NA","0","$   1,500","2781721","1011499","201713866","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","57808","JA49810030900000000","5508 E 100TH ST","BENCHMARK PROPERTIES VIII LLC","TRAVIS THONEN","5508 E 100TH ST / LOT 131     HILLCREST HEIGHTS"
"5601",,"E","100TH","ST","5601 E 100TH ST","64137","3","16","2015","Residential","Additions, Alterations, Repairs","NA","0","$   250","2781827","1011320","201525962","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","57855","JA49810060800000000","5601 E 100TH ST","RW ELECTRIC AND CONSTRUCTION, INC.","RONALD WILLIAMS","5601 E 100TH ST / HILLCREST   HEIGHTS LOT 208"
"5604",,"E","100TH","ST","5604 E 100TH ST","64137","9","28","2012","Residential","Additions, Alterations, Repairs","NA","0","$   249","2781944","1011454","201316832","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","57820","JA49810020800000000","5604 E 100TH ST","ADT SECURITY SERVICES, INC.","JUANITA FARR","5604 E 100TH ST / LOT 153     HILLCREST HEIGHTS"
"5611",,"E","100TH","ST","5611 E 100TH ST","64137","5","27","2010","Residential","Additions, Alterations, Repairs","NA","0","$   900","2782024","1011336","201111033","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Hickman Mills","57852","JA49810060500000000","5611 E 100TH ST","SHOCK WAVE ELECTRIC","VIRGAL WILLIAMS","5611 E 100TH ST / LOT 205     HILLCREST HEIGHTS"
"5700",,"E","100th","St","5700 E 100th St","64137","5","13","2019","Residential","Additions, Alterations, Repairs","NA","0","$   3,500","2782150","1011471","CPMR-2019-00959","97","Existing 1 or 2 Family Residence","HILLCREST HEIGHTS","Existing Single Family","Jackson","5","HICKMAN MILLS","57834","JA49810010700000000","5700 E 100th St","A.B. May Company","Angela Reuscher","5700 E 100TH ST / LOT 176     HILLCREST HEIGHTS"
"5705",,"E","100th","St","5705 E 100th St","64137","11","5","2019","Residential","Additions, Alterations, Repairs","NA","0",,"2782161","1011302","CPER-2019-05246","97","Existing 1 or 2 Family Residence","HILLCREST HEIGHTS","Existing S/F","Jackson","5","HICKMAN MILLS","57850","JA49810060300000000","5705 E 100th St","CPD-Homeowner","CPD Homeowner","5705 E 100TH ST / LOT 203     HILLCREST HEIGHTS"
"5705",,"E","100th","St","5705 E 100th St","64137","11","19","2019","Residential","Additions, Alterations, Repairs","NA","0","$   100","2782161","1011302","CPBR-2019-01938","97","Existing 1 or 2 Family Residence","HILLCREST HEIGHTS","Existing S/F","Jackson","5","HICKMAN MILLS","57850","JA49810060300000000","5705 E 100th St","CPD-Homeowner","CPD Homeowner","5705 E 100TH ST / LOT 203     HILLCREST HEIGHTS"
"5705",,"E","100th","St","5705 E 100th St","64137","11","19","2019","Residential","Additions, Alterations, Repairs","NA","0","$   300","2782161","1011302","CPMR-2019-02843","97","Existing 1 or 2 Family Residence","HILLCREST HEIGHTS","Existing S/F","Jackson","5","HICKMAN MILLS","57850","JA49810060300000000","5705 E 100th St","CPD-Homeowner","CPD Homeowner","5705 E 100TH ST / LOT 203     HILLCREST HEIGHTS"
"5705",,"E","100th","St","5705 E 100th St","64137","11","19","2019","Residential","Additions, Alterations, Repairs","NA","0","$   500","2782161","1011302","CPPR-2019-02720","97","Existing 1 or 2 Family Residence","HILLCREST HEIGHTS","Existing S/F","Jackson","5","HICKMAN MILLS","57850","JA49810060300000000","5705 E 100th St","CPD-Homeowner","CPD Homeowner","5705 E 100TH ST / LOT 203     HILLCREST HEIGHTS"
"5708",,"E","100TH","ST","5708 E 100TH ST","64137","12","11","2012","Residential","Additions, Alterations, Repairs","NA","0","$   1,486","2782316","1011437","201319750","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","57836","JA49810010900000000","5708 E 100TH ST","A.B. MAY COMPANY","LISA DEMOSS","5708 E 100TH ST / LOT 178     HILLCREST HEIGHTS"
"5804",,"E","100TH","ST","5804 E 100TH ST","64134","1","24","2013","Residential","Additions, Alterations, Repairs","NA","0","$   1,200","2782533","1011272","201321277","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","58509","JA49720051000000000","5804 E 100TH ST","A-TEAM ELECTRIC, LLC","MATTHEW CONKLIN","5804 E 100TH ST / LOT 9       SKYLINE HEIGHTS"
"5805",,"E","100TH","ST","5805 E 100TH ST","64134","7","7","2014","Residential","Additions, Alterations, Repairs","NA","0","$   1,000","2782530","1011131","201513309","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58510","JA49720080200000000","5805 E 100TH ST","SHOCK WAVE ELECTRIC","VIRGAL WILLIAMS","5805 E 100TH ST / LOT 10      SKYLINE HEIGHTS"
"5905",,"E","100TH","ST","5905 E 100TH ST","64134","4","9","2012","Residential","Additions, Alterations, Repairs","NA","0","$   660","2782876","1011152","201223733","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","58576","JA49720070900000000","5905 E 100TH ST","TRITON PLUMBING INC.","JAMES R WIEDUWILT","5905 E 100TH ST / LOT 85      SKYLINE HEIGHTS"
"6000",,"E","100TH","ST","6000 E 100TH ST","64134","9","21","2017","Residential","Additions, Alterations, Repairs","NA","0","$   5,400","2783150","1011288","201818184","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58568","JA49720061700000000","6000 E 100TH ST","METRO PLUMBING","JON P. SHANNON","6000 E 100TH ST / LOT 77      SKYLINE HEIGHTS"
"6600",,"E","100TH","ST","6600 E 100TH ST","64134","11","6","2014","Residential","Additions, Alterations, Repairs","NA","0","$   22,453","2785229","1011220","201519836","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58289","JA49710041400000000","6600 E 100TH ST","RIDINGS CONSTRUCTION & RENOVATION","JAMES J RIDINGS","6600 E 100TH ST / LOT 90      PARK LANE"
"6600",,"E","100TH","ST","6600 E 100TH ST","64134","12","5","2014","Residential","Additions, Alterations, Repairs","NA","0","$   3,900","2785229","1011220","201521333","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58289","JA49710041400000000","6600 E 100TH ST","UNITED HEATING & COOLING, INC.","KAYLA YORK","6600 E 100TH ST / LOT 90      PARK LANE"
"6600",,"E","100TH","ST","6600 E 100TH ST","64134","12","10","2014","Residential","Additions, Alterations, Repairs","NA","0","$   2,500","2785229","1011220","201521547","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58289","JA49710041400000000","6600 E 100TH ST","LC SOLUTIONS LLC","LEE CARUTHERS","6600 E 100TH ST / LOT 90      PARK LANE"
"6600",,"E","100TH","ST","6600 E 100TH ST","64134","12","23","2014","Residential","Additions, Alterations, Repairs","NA","0","$   3,100","2785229","1011220","201522216","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58289","JA49710041400000000","6600 E 100TH ST","UNITED PLUMBING AND SERVICE CO. INC.","PERMIT SERVICE, INC","6600 E 100TH ST / LOT 90      PARK LANE"
"6601",,"E","100TH","ST","6601 E 100TH ST","64134","6","22","2017","Residential","Additions, Alterations, Repairs","NA","0","$   850","2785115","1011059","201813141","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58311","JA49710051000000000","6601 E 100TH ST","AD'S TEAM ELECTRIC, LLC","ANTHONY DAVIS","6601 E 100TH ST / LOT 112     PARK LANE"
"6603",,"E","100TH","ST","6603 E 100TH ST","64134","2","5","2015","Residential","Additions, Alterations, Repairs","NA","0","$   300","2785228","1011049","201524006","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58310","JA49710050900000000","6603 E 100TH ST","CHAPPELL ELECTRIC, L.L.C.","GERMAINE CHAPPELL","6603 E 100TH ST / LOT 111     PARK LANE"
"6611",,"E","100TH","ST","6611 E 100TH ST","64134","1","21","2014","Residential","Additions, Alterations, Repairs","NA","0","$   1,000","2785388","1011043","201421390","97","Existing One Or Two Family Residence",,"SINGLE FAMILY - electrical","Jackson","5","HICKMAN MILLS","58308","JA49710050700000000","6611 E 100TH ST","LINDA HERRIN",,"6611 E 100TH ST               PARK LANE LOT 109"
"6612",,"E","100TH","ST","6612 E 100TH ST","64134","12","10","2014","Residential","Additions, Alterations, Repairs","NA","0","$   425","2785388","1011214","201521549","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58291","JA49710041600000000","6612 E 100TH ST","WENGER ENTERPRISES, INC.","JOHN WENGER III","6612 E 100TH ST / LOT 92      PARK LANE"
"6702",,"E","100TH","ST","6702 E 100TH ST","64134","9","20","2013","Residential","Additions, Alterations, Repairs","NA","0","$   900","2785458","1011177","201416457","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58292","JA49710041700000000","6702 E 100TH ST","ABLE ELECTRIC OF KANSAS CITY LLC","TOM SUPER","6702 E 100TH ST / LOT 93      PARK LANE"
"6703",,"E","100TH","ST","6703 E 100TH ST","64134","2","8","2012","Residential","Additions, Alterations, Repairs","NA","0","$   4,000","2785452","1011073","201221111","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","58307","JA49710050600000000","6703 E 100TH ST","MORTON MECHANICAL, INC.","PAUL MORTON","6703 E 100TH ST / LOT 108     PARK LANE"
"6705",,"E","100TH","ST","6705 E 100TH ST","64134","6","29","2012","Residential","Additions, Alterations, Repairs","NA","0","$   1,800","2785528","1011065","201312860","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","58306","JA49710050500000000","6705 E 100TH ST","B & L PLUMBING SERVICE, INC.","KERRI CLAYTON","6705 E 100TH ST / LOT 107     PARK LANE"
"6705",,"E","100TH","ST","6705 E 100TH ST","64134","2","8","2013","Residential","Additions, Alterations, Repairs","NA","0","$   1,526","2785528","1011065","201322010","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","58306","JA49710050500000000","6705 E 100TH ST","A.B. MAY COMPANY","LISA DEMOSS","6705 E 100TH ST / LOT 107     PARK LANE"
"6804",,"E","100TH","ST","6804 E 100TH ST","64134","1","5","2016","Residential","Additions, Alterations, Repairs","NA","0","$   2,300","2785844","1011198","201622770","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58297","JA49710042200000000","6804 E 100TH ST","SAM'Z HEATING & COOLING, LLC","SAMUEL WRIGHT","6804 E 100TH ST / LOT 98      PARK LANE"
"6907",,"E","100TH","ST","6907 E 100TH ST","64134","10","27","2017","Residential","Additions, Alterations, Repairs","NA","0","$   6,000","2786109","1011018","201820373","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58243","JA49710080200000000","6907 E 100TH ST","EAGLE ELEVATOR CORP.","ROBERT MUELLER","ERROR: #N/A"
"6907",,"E","100TH","ST","6907 E 100TH ST","64134","4","27","2018","Residential","Additions, Alterations, Repairs","NA","0","$   3,252","2786109","1011018","201830058","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","58243","JA49710080200000000","6907 E 100TH ST","A.B. MAY COMPANY","LEANNE BALANDRON","ERROR: #N/A"
"7400",,"E","100TH","ST","7400 E 100TH ST","64134","6","21","2016","Residential","Additions, Alterations, Repairs","NA","0","$   1,200","2787734","1010823","201712674","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","70295","JA50920023100000000","7400 E 100TH ST","C-R ELECTRICAL, LLC","RANDAL L. REDFORD","7400 E 100TH ST               BANNISTER SLOPES 2ND PLAT     LOT 61 & BANNISTER ACRES      S 124 FT LOT 95"
"7401",,"E","100TH","ST","7401 E 100TH ST","64134","7","19","2012","Residential","Additions, Alterations, Repairs","NA","0","$   6,000","2787715","1010673","201313671","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","70294","JA50920052000000000","7401 E 100TH ST","ROTO-ROOTER SERVICES COMPANY","PERMIT SERVICE INC","7401 E 100TH ST / LOT 60      BANNISTER SLOPES 2ND PLAT"
"7404",,"E","100th","St","7404 E 100th St","64134","12","4","2019","Residential","Additions, Alterations, Repairs","NA","0","$   2,212","2787814","1010819","CPMR-2019-02947","97","Existing 1 or 2 Family Residence","BANNISTER SLOPES","Existing Single Family","Jackson","5","HICKMAN MILLS","70296","JA50920020900000000","7404 E 100th St","UNITED HEATING & COOLING, INC.","CHARLIE BAILEY","7404 E 100TH ST / LOT 62      BANNISTER SLOPES 2ND PLAT"
"7405",,"E","100th","St","7405 E 100th St","64134","9","6","2018","Residential","Additions, Alterations, Repairs","NA","0","$   2,000","2787807","1010633","CPER-2018-36131","0",,"BANNISTER SLOPES",,"Jackson","5","HICKMAN MILLS","70293","JA50920051900000000","7405 E 100th St","FULTON ELECTRIC","DANIEL FULTON","ERROR: #N/A"
"7409",,"E","100TH","ST","7409 E 100TH ST","64134","6","29","2011","Residential","Additions, Alterations, Repairs","NA","0","$   350","2787885","1010671","201212409","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","70292","JA50920051800000000","7409 E 100TH ST","DANNY THE PLUMBER, INC.","PAT PEREZ","7409 E 100TH ST / LOT 58      BANNISTER SLOPES 2ND PLAT"
"7409",,"E","100TH","ST","7409 E 100TH ST","64134","11","2","2011","Residential","Additions, Alterations, Repairs","NA","0","$   274","2787885","1010671","201217642","97","EXISTING ONE OR TWO FAMILY RESIDENCE",,"SINGLE FAMILY","Jackson","5","Hickman Mills","70292","JA50920051800000000","7409 E 100TH ST","ADT SECURITY SERVICES, INC.","LINDA CASTRO","7409 E 100TH ST / LOT 58      BANNISTER SLOPES 2ND PLAT"
"7409",,"E","100TH","ST","7409 E 100TH ST","64134","12","30","2014","Residential","Additions, Alterations, Repairs","NA","0","$   1,936","2787877","1010630","201522402","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","70292","JA50920051800000000","7409 E 100TH ST","A.B. MAY COMPANY","LISA DEMOSS","7409 E 100TH ST / LOT 58      BANNISTER SLOPES 2ND PLAT"
"7409",,"E","100TH","ST","7409 E 100TH ST","64134","4","24","2017","Residential","Additions, Alterations, Repairs","NA","0","$   1,000","2787877","1010630","201728577","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","70292","JA50920051800000000","7409 E 100TH ST","R-MECH HEATING, COOLING, & PLUMBING LLC","GREG KENNEDY","7409 E 100TH ST / LOT 58      BANNISTER SLOPES 2ND PLAT"
"7500",,"E","100TH","ST","7500 E 100TH ST","64134","12","27","2017","Residential","Additions, Alterations, Repairs","NA","0","$   3,564","2787956","1010813","201823526","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","HICKMAN MILLS","70298","JA50920021100000000","7500 E 100TH ST","ANTHONY PLUMBING, HEATING AND COOLING","CHUCK REED","ERROR: #N/A"
