"facility","project_measure","location","type","color"
"Theis Park Rain Garden","Rain Garden","4801 Oak St Kansas City Missouri Kansas City (39.039848 -94.582413)
, MO 64110
(39.040091037000025, -94.58238798999997)","Water","Blue"
"Tony Aguirre Community Center","Electric Vehicle Charging Stations","2050 West Pennway
Kansas City, Missouri 64108
(39.088395, -94.594527)","Electric","Orange"
"Tony Aguirre Community Center","Solar Power Lease","2050 West Pennway
Kansas City, MO 
(39.088497, -94.594598)","Electric","Orange"
"Tony Aguirre Community Center Rain Garden","Rain Garden","2050 W Pennway Kansas City Missouri Kansas City (39.088497 -94.594598)
, MO 64108
(39.088372685000024, -94.59460770399994)","Water","Blue"
"Tower Park Rain Garden","Rain Garden (along trail north end of park)","7500 Holmes Rd Kansas City Missouri Kansas City (38.991542 -94.580304)
, MO 64131
(38.99158331700005, -94.58032517099997)","Water","Blue"
"Traffic Operations Center","Solar Power Lease","5310 Municipal
Kansas City, MO 
(39.134806, -94.520862)","Electric","Orange"
"Troost Ave 23rd St to 30th St Rain Gardens","Streetside Rain Gardens (near listed address)","2701 Troost Ave Kansas City Missouri Kansas City (39.077534 -94.570973)
, MO 64109
(39.07750897200003, -94.57094559699999)","Water","Blue"
"Troost Bridge Rain Garden","Rain Garden (near listed address)","4800 Troost Ave Kansas City Missouri Kansas City (39.039883 -94.57306)
, MO 64110
(39.03975214700006, -94.57309805999995)","Water","Blue"
"Troost MAX Streetscape","Rain Gardens","3212 Troost Ave. Kansas City Missouri Kansas City (39.068028 -94.571468)
, MO 64109
(39.068022236000445, -94.57148601799969)","Water","Blue"
"Troost MAX Streetscape","Rain Garden","4531 Troost Kansas City Kansas City MO (39.044074 -94.572816)
, MO 64110
(39.044597498000485, -94.57274546099967)","Water","Blue"
"Water Services Administration Building","Rain Garden","4800 East 63rd Street Kansas City Kansas City MO
, MO 64130
(39.01314711900045, -94.52945999499968)","Water","Blue"
"Water Services Fleet Maintenance","Solar Power Lease","1901 Brooklyn
Kansas City, MO 
(39.090418, -94.556465)","Electric","Orange"
"Water Treatment Plant","Rain Garden","1 Briarcliff Rd Kansas City MO Kansas City MO (39.170368 -94.58148)
, NW 64116
(39.170352927000465, -94.5813000019997)","Water","Blue"
"Wolf Parking Garage","Photovoltaics","1100 Oak
Kansas City, MO 
(39.100377, -94.578521)","Electric","Orange"
"Woodbridge Bioswale","Bioswale","310 Woodbridge Ln Kansas City Kansas City MO (38.89211 -94.590619)
, MO 64119
(38.89219143600047, -94.59069980899966)","Water","Blue"
"WSD Headquarters","rain garden","4800 East 63rd Street
MO Kansas City, MO 
(39.01314761600048, -94.52945901199968)","Water","Blue"
