"type","name","address","artist","architect","owner","operator","medium","date_of_creation","inside_outside","operating_hours","special_instructions","coordinates","contact_information","description","geocoded_column"
"Historical Monuments and Memorials","Sister Cities International Bridge","Ward Pkwy at Central Street, Kansas City, MO 64112",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"2000","Outside",,,"39.0407144 -94.5902943",,,"POINT (-94.59027 39.040715)"
"Historical Monuments and Memorials","Bridge Of Friendship Statue","N.E. Vivion Road and N. Oak Trafficway, Kansas City, MO 64118","Yao Xilai",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stainless Steel and Bronze","2000","Outside","24/7",,"39.1811499 -94.5767138",,,"POINT (-94.576642 39.1812)"
"Historical Monuments and Memorials","Skywalk Memorial Plaza","Hospital Hill Park, 22nd Street and Gillham Road, Kansas City, MO 64108","Rita Blitt",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"2015","Outside","M-Sun 5am-12am",,"39.0845349 -94.5788865",,,
"Historical Monuments and Memorials","Mormon Memorial","Dr. Martin Luther King Jr. Blvd and E. 29th Street, Kansas City, MO 64109",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"1963","Outside","M-Sun 5am-12am",,"39.0739642 -94.5667157",,,
"Theater","GEM Theater","1615 E 18th St, Kansas City, MO 64108",,"George Carman","Kansas City Parks & Recreation Department","American Jazz Museum",,,,,,"39.090915 -94.562616","https://americanjazzmuseum.org/gemtheater","Originally named the Star Theater, the Gem was built in 1912 by the Shriner and Powellson Amusement Company as a silent movie palace serving Kansas City’s African American population. It was renamed the Gem in 1913, and by the time motion pictures could talk in 1929, it had become an established fixture on 18th Street.

Unfortunately, its years as a movie theatre ended in 1960 and by the 1980s, it had faded into a shadow of its former glory. However, when Mayor Richard Berkley and then City Councilman Emanuel Cleaver spearheaded the revitalization of 18th & Vine in the 1980s, the Gem Theater became a centerpiece of the district’s renovation efforts. As a result of the vision and perseverance of Kansas City’s civic leaders, the Gem was restored into a beautiful, state-of-the art performance venue. It stands today as one of the crown jewels of the 18th & Vine corridor.

Behind the restored 1912 façade is a modern 500-seat performing arts center, complete with state-of-the-art technology and equipment. In addition to our annual ""Jammin' at the Gem"" jazz masters' concert series, the theater hosts many community events and theatre productions. Space is also available for meetings, workshops and seminars.","POINT (-94.562626 39.091177)"
"Historical Monuments and Memorials","Charlie Parker Memorial – Bird Lives","E. 18th Street and Vine Street, Kansas City, MO 64108","Robert Graham",,"Kansas City Parks & Recreation Department","American Jazz Museum","Bronze","1999","Outside","M-Sun 5am-12am",,"39.0912122 -94.5633278","https://www.kcfountains.com/single-post/2016/07/23/Bird-Lives-aka-Charlie-Parker-Memorial","A large bronze depiction of Charlie Parker's face with his eyes cast downward.  The face has a green patina.  It sits atop a bronze trapezoidal base with a brown patina.  The face was not cast as a whole but rather in pieces that were later assembled together.  This is what gives the face its grid-like appearance.

This sculpture memorializes legendary jazz artist Charlie ""Bird"" Parker.  He was a major part of the Kansas City jazz scene and culture.  It is located in the middle of a plaza, also named after Parker, in the historic Jazz District and just west of the American Jazz Museum at 18th and Vine Streets.","POINT (-94.563361 39.091201)"
"Public Art","Spirit Catcher: Arrival of the Travelers","11th and 17th Floors of City Hall, 414 E 12th St, Kansas City, MO 64106","Warren Rosser",,"Municipal Art Commission","General Services Department","Wood and Steel","1994","Inside",,"Must pass security to access","39.1005498 -94.5778294",,"Warren Rosser's Spirit Catcher: Arrival of the Travelers adds energy to the spaces it now occupies in City Hall. Originally adorning the lobby of the Charles B. Wheeler Airport, the work was moved to City Hall's 11th and 17th floors in 2016. Constructed from poplar and painted in primary colors, the sculture translates the kinetics of the human body into figurative rhythms. Rosser's inspiration came from the Dogon of Mali, who place structures on their houses in order to pull spirits from the air.",
"Museums","American Jazz Museum","1616 E 18th St, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","American Jazz Museum",,,,,,"39.0914216 -94.5626844","https://americanjazzmuseum.org/",,"POINT (-94.562704 39.09118)"
"Fountains","Sixty-Ninth Street Fountain","Ward Pkwy and W. 69th Street, Kansas City, MO 64113",,,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Stone","1930","Outside","24/7",,"39.0049906 -94.6030409","https://www.kcfountains.com/single-post/2016/08/01/SixtyNinth-Street-Fountain","The JC Nichols Company installed this fountain in the median of Ward Parkway between West 68th Terrace and West 69th Street in 1930.  The pedestal fountain is mounted on a stone base and sits in a 30' x 36' pool.","POINT (-94.602672 39.004965)"
"Historical Monuments and Memorials","The Eagle","Ward Pkwy at 67th Street, Kansas City, MO 64113","Unknown -Japanese",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Limestone and Bronze","1935","Outside",,,"39.0076221 -94.6025108",,,
"Historical Monuments and Memorials","Mrs. Bea Davis Memorial","Median, The Paseo from 62nd Street to 63rd Street Kansas City, MO 64110",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"2008","Outside","24/7",,"39.0403815 -94.5681066",,"A Sioux Quartzite boulder was brought from Minnesota to the farm of Ralph Dooley of Bosworth, Missouri by glaciers over 500,000 years ago. Upon the boulder now stands Massasoit, a Wampanoag Indian Warrior, who befriended the Pilgrims who settled in Massachusetts. Massasoit and his people showed the Pilgrims  new foods and planting methods. In the fall he went to Plymouth to celebrate the harvest – an event known as the first Thanksgiving. This 13 ft. bronze statue is one of five originals in the United States. It was purchased by Mr. and Mrs. Miller Nichols and donated to the city.  Its first location was east of the Plaza Tennis Courts at 47th and J. C. Nichols Parkway but with the construction of new courts, the massive sculpture was moved to it’s present location.",
"Historical Monuments and Memorials","Bernard Powell Memorial","Woodland Ave and E. 27th Street, Kansas City, MO 64127","Eugene Bortner",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze and Stone Fountain","1985","Outside","M-Sun 5am-12am",,"39.0774142 -94.5617287",,,"POINT (-94.561713 39.077396)"
"Public Art","Three Figures/Fifteen Elements","Kansas City International Airport, Kansas City, MO 64153","Joel Shapiro",,"Municipal Art Commission","Aviation","Bronze","1996","Outside","24/7",,"39.2991181 -94.7107786",,"Welcoming visitors at the Kansas City International Airport, the bronze sculptures are geometric shapes from one angle, but active figures when viewed from a slightly different perspective. Heavy beams connected at angles create the reclining, bending and balancing figures that almost come alive. The figures can be viewed as geometric abstractions of the human form, kneeling, standing or dancing and waving in recognition of those arriving or departing the airport.",
"Public Art","Pair Of Hippos","Kansas City Zoo (framing vehicle gate), Swope Park, 6800 Zoo Drive, Kansas City, MO 64132","Jennifer Walker",,"Kansas City Parks & Recreation Department","Kansas City Zoo",,"1994",,"Check for seasonal hours",,"39.0075608 -94.5296046",,,
"Historical Monuments and Memorials","Ilus W. Davis Memorial","E. 11th Street and Oak Street, Kansas City, MO 64106","Bruce Wolfe",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","2004","Outside","M-Sun 5am-12am",,"39.1009847 -94.578456",,,"POINT (-94.578484 39.100957)"
"Fountains","Carl J. Dicapo Fountain","Kessler Park, 4212 Cliff Drive, Kansas City, MO 64123","Larkin Associates",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Rock","1989","Outside","M-Sun 5am-12am","Kessler Park","39.1188687 -94.5309338","https://www.kcfountains.com/single-post/2016/07/29/Carl-J-DiCapo-Fountain","This fountain is named for Carl J. DiCapo, a restaurateur and community volunteer.  It is located in Kessler Park on scenic Cliff Drive in Kansas City's north end. Converted and dedicated in 1989, the recirculating waterfall was constructed to draw attention to a natural spring with a rustic cliffside setting.

 

When visiting the Carl J. DiCapo Fountain, please note that Cliff Drive is closed to vehicular traffic on the weekends.  The fountain is located about a quarter mile (the address above is approximate) from the intersection of Cliff Drive with Gladstone Boulevard.  While you cannot drive to the fountain on the weekend, you can walk, bike or whatever else to it.",
"Fountains","Hillside Fountain","Brush Creek Parkway, Blue Pkwy and Cleveland Ave, Kansas City, MO 64130","Robin Frye",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Limestone","1998","Outside","24/7",,"39.0375145 -94.5396507","https://www.kcfountains.com/single-post/2016/09/11/Hillside-Fountain","Water cascades down several limestone terraces above Brush Creek.  This waterfall is located along the Brush Creek Parkway near the intersection of Cleveland Avenue and Blue Parkway and is across the creek from the Spirit of Freedom Fountain.  It is located behind the Bruce R. Watkins Cultural Center at 3700 Blue Parkway.",
"Public Art","To Serve and Protect","KCPD North Patrol Division, 11000 N.W. Prairie View Road, Kansas City, MO 64153","Frank Swanson",,"Municipal Art Commission","Kansas City Police Department","Mesabi Black Granite","2017","Outside","24/7",,"39.292013 -94.6841347",,"Swanson explains, ""To serve and protect are lofty goals for the Kansas City Police Department. To complete the mission, the police force must mold itself to the needs and nuances of the community it serves. My sculpture is designed to relate to and reflect the relationship between those who are working in law enforcement and the community they serve and protect. The sculpture starts as a single block of stone that is shaped and then cut into three interlocking pieces. Theses three pieces fit together as one, representing the family of police and community and their direct relationship with each other. Each piece shapes the other pieces as they work together to form the whole. The sculpture represents the strong relationship between the Kansas City Police Department and community it serves.""",
"Fountains","William T. Fitzsimons Memorial Fountain","Dr. Martin Luther King Jr. Blvd and E. 12th Street, Kansas City, MO 64106","John Van Brunt",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Limestone","1922","Outside","24/7",,"39.0992698 -94.5635175","https://www.kcfountains.com/single-post/2016/08/20/William-T-Fitzsimons-Memorial-Fountain","This fountain was constructed to honor the memory of William T. Fitzsimons, a 1st Lieutenant in the United States Medical Corps.  Lt. Fitzsimons was the first American officer to give his life in World War I.

This is a bas-relief memorial fountain which is embedded in a curved, Dakota limestone wall 19 feet high and 80 feet long.  Steps on both sides of the wall lead up to a grass deck.

Carved pilasters with Corinthian capitals frame a memorial plaque at the base of which is a bronze lion’s head and a carved limestone basin.  Egg and dart detail over dentils surround a semi-circular pediment and cap a garland carved entablature.  There is a bronze eagle in the center of the pediment.  Beneath the entablature is a bronze caduceus approximately 2 feet high and 2 feet wide.  Water comes out of the lion's head and into the limestone basin.",
"Public Art","Construction Walls","Kansas City International Airport, Kansas City, MO 64153","Michael Toombs and Storytellers Inc.",,"Municipal Art Commission","Aviation","Painted Dry-Wall","2002-2005","Inside","24/7",,"39.2991181 -94.7107786",,"Toombs worked with his team from Storytellers Inc., local artists, and youth from reStart, a non-profit organization established to help homeless people, to create billboard-sized images that bacame temporary, moveable walls in the airport terminals to seperate construction areas from passengers. The panel designs were based on aviation history.",
"Public Art","Gathering, Watching, and Passing by (5th & Walnut)","E. 5th Street & Walnut Street, Kansas City, MO 64106","Celina Curry",,"Municipal Art Commission","Kansas City Streetcar Autority","Acrylic","2015","Outside","24/7",,"40.7248612 -73.98442",,"The canopies of three streetcar stops at the River Market terminus portay the flourishing activity of the many people who ride the streetcar. The three separate and visually distinct shelter roofs show images that were drawn in graphite and digitized to different degrees, and then printed on the acrylic panels. The colorful depiction of passengers in the canopies lends a joyous, even whimsical tone while serving a protective function. The works are found at 3rd adn Grand, 4th adn Delaware, and 5th and Walnut.","POINT (-94.581661 39.108552)"
"Fountains","Eighth Street Fountain","Broadway Blvd & W. 8th Street, Kansas City, MO 64105","Theis Sickbert Associates",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bricks","1989","Outside","24/7",,"40.9081977 -73.8965742","https://www.kcfountains.com/single-post/2016/09/14/Eighth-Street-Fountain","The Eighth Street Fountain serves as an unofficial gateway to the Garment District and Quality Hill in the northwest section of downtown Kansas City.  A red brick wall divides this fountain and gives it two distinct appearances.

On the east side, facing Broadway, is a cascade of water down the red brick wall into the basin below.  The patterns one can see in the cascade changes with perspective and light.  Due to the sheerness of the wall, the water moves down the wall fairly quickly to match the hustle and bustle of downtown and the traffic on Broadway.  This side also features the fountain's two plaques.

On the west, water streams through five stone scuppers at the top giving it more traditional fountain effect as the water works it way down into the basins below.  This side of the fountain is more leisurely.  It abuts a small courtyard where workers and residents can stop to rest and enjoy its beauty.","POINT (-94.588213 39.104654)"
"Historical Monuments and Memorials","Chinese Warriors","Ward Parkway and Central Street, Kansas City, MO 64112",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Terra Cotta",,"Outside","24/7",,"39.0407144 -94.5902943",,,"POINT (-94.59027 39.040715)"
"Public Art","n Architectural Folly from a Future Place","Swope Memorial Dr, Kansas City, MO 64132","Jill Downen",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Concrete and Stone with a Fissure","2018","Outside","24/7","Swope Park near Swope Memorial","38.9992678 -94.5176937","https://kcparks.org/places/architectural-folly-future-place/","n Architectural Folly from a Future Place, a concrete and stone low wall with a fissure, is designed to be a social space —a bench for visitors to sit on and enjoy the serene green space of Swope Park. Gifted to the people of Kansas City by the R.C. Kemper Charitable Trust in September 2019.",
"Public Art","Tingmissartoq","Aviation Dept. Administration Bldg., 601 Brasilia Ave Kansas City, MO 64153, Kansas City International Airport","Christopher Brown",,"Municipal Art Commission","Aviation","Oil on Canvas","2000","Inside",,,"39.3054095 -94.7159967",,"Tingmissartoq (""one who flies like a big bird') was the Inuit name given the plane flown by Charles and Anne Morrow Lindbergh in their 1930 flight from Maine to Japan and China, via the great arc route. The trip was recounted in North to the Orient, Anne Morrow Lindbergh's bestselling account of the adventure which won the first National Book Award in 1935. Christopher Brown's painting, based on a picture of the Lindberghs at a dock in the Tindmissartoq is a grayscale, oil-based mural which hangs the lobby of the Aviation Department Administration building at Kansas City International Airport.",
"Fountains","Thomas H. Swope Memorial Fountain","Swope Park, 6900 Swope Memorial Drive, Kansas City, MO 64132",,"Wight and Wight","Kansas City Parks & Recreation Department","City of Fountains Foundation","Stone","1922","Outside","M-Sun 5am-12am","Swope Memorial Golf Course","38.9978438 -94.5118722","https://www.kcfountains.com/single-post/2016/09/14/Thomas-H-Swope-Memorial-Fountain","n 1896, Thomas H. Swope donated two square miles of land to the City of Kansas City for use as a park.  Today, Swope Park is home to Starlight Theatre, the Kansas City Zoo and Swope Memorial Golf Course, among others, but is still a work in progress.  It has become an important part of the surrounding area and Kansas City.

The Swope Memorial is located on top of a hill overlooking Swope Park near the Swope Memorial Golf Course.  The 6-foot tall pedestal fountain sits at the hill's edge.  It is framed by a 4-foot wide balustrade of white stone.   The fountain was updated in 2003.  It is one of two fountains in the Kansas City Parks system that is solar-powered.

84 feet east of the fountain is the granite mausoleum and memorial for Thomas Swope. The mausoleum is U-shaped colonnade in the Greek Doric style.  It has twelve 14-foot high columns supporting an entablature.  There are inscriptions in the entablature and eight medallions embedded in the entablature representing eight different species of tree found in the park.  In the center is a bronze plaque memorial of Thomas Swope.  In the center of the floor of the memorial is an inscribed stone under which Mr. Swope was buried in April 1918, about nine years after his passing in 1909.  A pair of urns are at the top of each end of the staircase.  The bottom of the staircase is flanked by two lions keeping watch over the site.",
"Historical Monuments and Memorials","Delbert J. Haff Memorial","E. Meyer Blvd and Monroe Ave, Kansas City, MO 64132",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze",,"Outside","M-Sun 5am-12am",,"39.0078947 -94.5436338",,,"POINT (-94.543594 39.007883)"
"Public Art","Rock & Steel","Kansas City Zoo, Swope Park, 6800 Zoo Drive, Kansas City, MO 64132","Craig Grimm",,"Kansas City Parks & Recreation Department","Kansas City Zoo","Steel and Rock",,"Inside","Check for seasonal hours","Entry fee required","39.0075608 -94.5296046",,,
"Historical Monuments and Memorials","Bronco Buster, Dutton Brookfield Memorial","Barney Allis Plaza, 12th & Wyandotte","unknown",,"City Trust","Convention and Facilities Department",,"1980","Outside",,,"39.1007708 -94.5854156",,"The statue is an enlarged replica of Frederic Remington's ""Bronco Buster""; originally cast in 1895 and 12' high. The statue consists of a horse and rider. The horse is rearing up on his hind legs; while the rider leans forward with his right arm extended to the side flashing a whip. The huge monument is a memorial to Kansas City businessman Dutton Brookfield.  His many friends raised funds for the memorial and its  maintenance endowment. Inscription: Heroic size interpretation of Frederic Remington's ""Bronco Buster"" is presented by Friends of Dutton Brookfield, 1917-1979 to memorialize his promotion of the Kansas City spirit through outstanding business, civic and philanthropic leadership.",
"Historical Monuments and Memorials","Meyer Circle Gateway & Memorial Avenue Of Trees","Meyer Blvd and Ward Pkwy, Kansas City, MO 64113",,"Edward Buehler Delk","Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Trees, Stone, and Bronze","1930-1940","Outside","24/7",,"39.011754 -94.592913",,,
"Museums","Bruce R. Watkins Cultural Heritage Center","3700 Blue Pkwy, Kansas City, MO 64130",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,,"T-Sat, 10am-6pm",,"39.036761 -94.5425795","http://www.brucewatkinscenter.com/","The mission of Bruce R. Watkins Cultural Heritage Center is to commemorate and interpret the African-American diaspora particularly in the State of Missouri, the City of Kansas City, Mo., and its surrounding areas through fostering educational and cultural programs regarding the past, present and contemporary contributions of African Americans who served to shape the city and state’s history and culture. A major component of contemporary and future interests involves the conscientious development of the state environmental policies.","POINT (-94.542468 39.036332)"
"Public Art","SunBurst, Dancing Crescents, and Dusk","Kansas City International Airport, Kansas City, MO 64153","STRETCH",,"Municipal Art Commission","Aviation","Mixed Media","2002","Inside","24/7","Located in the stair towers, one at each Terminal parking garages","39.2991181 -94.7107786",,"Kansas City artist STRETCH created three pieces for the stair towers, one in each of the Terminal parking garages at Kansas City International Airport. Dancing Crescentsis made of strands with steel crescents that cradle dichroic glass pieces, hanging from the tower ceiling. The installation moves as people traverse the stairways. Sunburst appears as a simple, three-dimensional sun, its lighted rays providing a yellow aura. In Dusk, the artist uses dichroic glass to capture and reflect a range of colors to mimic an ever-changing sunset.",
"Fountains","Northland Fountain","N.E. Vivion Road and N. Oak Trafficway, Kansas City, MO 64118","Homer Williams",,"Kansas City Parks & Recreation Department","City of Fountains Foundation",,"1983","Outside","M-Sun 5am-12am",,"39.1811499 -94.5767138","https://www.kcfountains.com/single-post/2016/07/06/Northland-Fountain","This fountain located in Kansas City North is one of the few fountains that runs year round. It has also been called the “Spirit of Cooperation”, because it illustrates the unified effort of the public and private sectors worked together to achieve a common goal. Its benefactors range from Farmland’s $30,000 contribution to a three-cent donation from a schoolchild. An 80′ circular base contains a center geyser which can propel water to a height of 35′. In winter it becomes an ice sculpture attracting people to view varied shapes created by the frozen water. The Northland Fountain is one of three KC Parks fountains that remains on year-round.","POINT (-94.576642 39.1812)"
"Public Art","Ambit","Kansas City Police Department South Patrol, 9643 Marion Park Drive, Kansas City, MO 64137","Gordon Huether",,"Municipal Art Commission","Kansas City Police Department","Painted Steel and Glass","2012","Outside","24/7",,"38.9497812 -94.5352485",,"The boundaries of the city and patrol areas are rendered in two layers of plasma-cut steel; one side is gold, the other blue. The different areas served are outlined with complementary blue or gold, with dichroic glass squares denoting the different stations. The colors blue, gold, and red come from traditional colors associated with law enforcement. The stacked glass grounding the sculpture is a metaphor for the limestone lying just below the surface of the station. The sculpture measures 12 feet high and 7.5 feet wide, weighing approximately 3 1/2 tons. Overall, the composition is bold, straightforward, dinified and orderly -- words that describe the Kansas City Police Department.",
"Historical Monuments and Memorials","The Parade","Dr. Martin Luther King Jr. Blvd and E. 11th Street, Kansas City, MO 64106","John Van Brunt",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside",,,"39.1004822 -94.5634637",,,
"Historical Monuments and Memorials","Loose Flagpole","Swope Park, Swope Parkway and Meyer Boulevard, Kansas City, MO 64132","Jacob Loose and George Kessler",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Marble and flagpole","1915","Outside","M-Sun 5am-12am",,"39.0078963 -94.5373105",,,
"Historical Monuments and Memorials","Remembered Angels Memorial","N. Oak Trafficway and NE. 32nd Ave, Kansas City, MO 64116",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","24/7",,"39.1525928 -94.5772936",,,"POINT (-94.578706 39.152314)"
"Public Art","The Needle","Broadway Blvd & W. 8th Street, Kansas City, MO 64105","Dave Stevens",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stainless Steel","2002","Outside",,,"40.9081977 -73.8965742",,,"POINT (-94.588213 39.104654)"
"Historical Monuments and Memorials","Clark’s Point Memorial","West Terrace Park, 611 W 8th Street, Kansas City, MO 64105",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","M-Sun 5am-12am",,"39.1058745 -94.5912291",,,
"Public Art","Pulse","Between 11th and 12th Streets on Oak Street, Kansas City, MO 64106","Elwood (James and el dorado, inc.)",,"Municipal Art Commission",,"Steel, LED Lights, Computer Circuits, and Speakers","2002","Inside","24/7","Loated in stair wells of George E. Wolf Parking Facility, can be seen from outside","39.1013302 -94.5784427",,"Pulse consists of 15 light arrays installed in the two stair towers of the parking facility. Each array faces east and includes 21 blue LED ligths that are programmed to pulse independently and as people pass sensors in the stairwells. Adding to the effect are continuous low-level sound patterns that react to people passing by. This work is visible from inside and outside the building, casting ambient blue light throughout the stair towers. Pulse is a collaboration of Kansas City artist James Woodfill and el dorado inc., a Kansas City achitectual firm.",
"Public Art","Fishing Rock","Kansas City Zoo, Swope Park, 6800 Zoo Drive, Kansas City, MO 64132","Bob Gulich",,"Kansas City Parks & Recreation Department","Kansas City Zoo",,,"Inside","Check for seasonal hours","Entry fee required","39.0075608 -94.5296046",,,
"Historical Monuments and Memorials","Dedication Wall","In Memorial Hill, 30 W. Pershing Road, Kansas City, MO 64108","Wight and Wight, and Walker Hancock",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stone and Bronze",,"Outside",,,"39.0853299 -94.5855766",,,
"Public Art","Modern Communication","Kansas City, MO Communications Center, 12th Street and Cherry Street, Kansas City, MO 64106","Terry Allen",,"Municipal Art Commission",,"Bronze","1995","Outside","24/7","Entry fee required","39.0997133 -94.5762382",,"Believing ""work should raise questions,"" Terry Allen bronze businessmen know for the tongue-in-cheek social commentaries. With a tie covering his eyes, fingers in his ears and a shoe in his mouth, this realistic figure, standing on a briefcase, blocks out the courtyard he stands in. The implications are endless.",
"Public Art","Salute","Kansas City Police Department Metro Patrol Station, 7601 Prospect Ave, Kansas City, MO 64132","Michael Davis",,"Municipal Art Commission","Kansas City Police Department","Bronze, Stainless Steel, Glass, Copper, and Concrete","2010","Outside","24/7",,"38.9880966 -94.5541708",,"As described by the artist, the artwork includes a weather vane mounted atop a compass rose. The vane is topped with a copper silhouette of a police officer saluting the surrounding community, The figure brings into focus the person behind the badge who shares in the life of the community. Below the vane, a structure of stainless steel, bronze, granite and blue glass creates a sun dial. As the earth revolves and orbits the sun throughout the day, a shadow records the movement of the sun's path. At midday, the tower aligns with a solar noon line in the plaza, illuminating it with a line of blue light marking the sun's path."" This phenomenon will continually change, marking time and the seasons. Witnessing time in this way connects us to forces outside our day-to-day activity and is a reminder of our orientation to the forces of nature.",
"Museums","Shoal Creek Living History Museum","7000 N.E. Barry Road, Kansas City, MO 64156",,,"Kansas City Parks & Recreation Department","Shoal Creek Living History Museum",,,,"Inside open for events",,"39.2506407 -94.4979463","https://www.shoalcreeklivinghistorymuseum.com","Covering more than 80-acres of beautiful rolling hills in Kansas City North’s Hodge Park, the Shoal Creek Living History Museum dedicates itself to bringing the 19th century Missouri to life through special events, programs, tours and reenactments. Offering year-around peaceful wooded walking trails, a pioneer village re-creation, interesting civil war era buildings, architecture and a nice atmosphere for a picnic in a country setting, Shoal Creek Living History Museum provides a great, quiet get away.  The facility is open from dawn to dusk, free of charge for self-guided walking tours, maps are located at ticket booth, flag pole kiosk and front porch of mercantile.  Admission is charged during special events.","POINT (-94.500032 39.245408)"
"Historical Monuments and Memorials","Santa Fe Trail Marker","Minor Park, Between Holmes Street and Blue River Road on Red Bridge Road, Kansas City, MO 64131","Maud Maple Miles",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Red Granite",,"Outside","M-Sun 5am-12am",,"38.925269 -94.5713066",,,
"Fountains","J.C. Nichols Memorial Fountain","Emanuel Cleaver II and J.C. Nichols Pkwy, Kansas City, MO 64112","Henri Greber",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bronze and Concrete","1910","Outside","M-Sun 5am-12am",,"39.0421455 -94.5880325","https://www.kcfountains.com/single-post/2016/06/02/JC-Nichols-Memorial-Fountain","The JC Nichols Memorial Fountain is the best known and most-photographed of all of Kansas City’s fountains. On any televised event from Kansas City, you can count on seeing a shot or footage of this fountain at some point. It sits at the south end of Mill Creek Park on the east side of Country Club Plaza.

 The figures were sculpted by Henri Gerber in 1910 and adorned the mansion of Clarence Mackay in Long Island, New York. Over the years, the fountain was vandalized and parts went missing. The purchase and installation of the fountain was funded by the JC Nichols family, the city and private contributions, including a collection by school children in the Kansas City area. It was brought to Kansas City in 1951, refurbished by Herman Frederick Simon and dedicated in 1960.

The fountain has four heroic horsemen which are said to represent four of the world’s mighty rivers: the Mississippi, the Volga, the Seine and the Rhine. It also has four smaller figures of children playing on fish, commonly referred to as dolphins. However, one of the original four dolphins had gone missing prior to purchase and so a replica was commissioned.

The fountain underwent an extensive renovation in 2014 that was funded by the Miller Nichols Charitable Foundation. As part of the renovation, the missing dolphin was found and took its rightful place in the fountain. The replica dolphin now sits nearby on a concrete base with an accompanying plaque describing its history and the history of the original it replaced.",
"Historical Monuments and Memorials","Spanish Cannon","Dr. Martin Luther King Jr. Blvd and E. 12th Street, Kansas City, MO 64106","Rotal Arsenal at Seville, Spain",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze Cannon and Wood","1899","Outside",,,"39.0992698 -94.5635175",,,
"Fountains","Sea Horse Fountain at City Hall","Kansas City, MO City Hall, 414 E 12th Street, Kansas City, MO","Carl Paul Jennewein",,"General Services Department","City of Fountains Foundation","Bronze","1938","Outside","24/7",,"39.1005914 -94.577828","https://www.kcfountains.com/single-post/2016/07/28/Sea-Horse-Fountain-at-Kansas-City-MO-City-Hall","The City Hall Fountains consist of two rows of four pool basins. The northernmost sculpture of each row is a bronze mythological sea horse flanked by dolphins. The remaining basins have sculptures in the form of concave bronze seashells with dolphin heads shooting water. This fountain facility is intricate, creating a terraced effect, as the basins are lower as they descend to the street. 

In 1942, the fountains were the subject of controversy. In an effort to economize for the war effort, they were turned off to save the city $1.50 per day in electricity.  Installed 1938, Endowed by Muriel McBrien Kauffman Foundation in 1996",
"Historical Monuments and Memorials","Sam Lacey Recognition Plaque","Gregg/Klice Community Center, 1600 John Buck O'Neil Way, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Plaque","2018","Inside","M-Th 5am-9pm, F 5am-6pm, Sat-Sun 9am-6pm",,"39.0927655 -94.5633548",,,
"Historical Monuments and Memorials","John F. Kennedy Memorial","The Concourse, 200 Benton Blvd, Kansas City, MO 64123",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Limestone and Bronze","1965","Outside","M-Sun 5am-12am",,"39.1125003 -94.5447145",,,
"Theater","Just Off Broadway Theatre","3051 Penn Valley Dr, Kansas City, MO 64108",,"Root and Siemens","Kansas City Parks & Recreation Department","KC Melting Pot Theatre",,"1910",,,,"39.0720278 -94.5881989","https://justoffbroadway.org/","For over ten years, Just Off Broadway Theatre has hosted live, local theatre in the “black box” performance space located in Penn Valley Park. Over 60 performing arts companies have performed over 200 shows in the theatre for over 40,000 audience members. The Just Off Broadway Theatre Association is the steward of the Just Off Broadway Theater for KC Parks and their goal of providing support for performing arts companies in metropolitan Kansas City.","POINT (-94.588803 39.072004)"
