"parcel_number","property_class","property_status","inventory_type","zoned_as","address1","city","state","postal_code","county","neighborhood","council_district","sold_date","school_district","potential_use","demo_needed","market_value_year","market_value","square_footage","property_condition","structure_square_footage","number_of_bedrooms","number_of_full_baths","date_evaluated","location"
"JA46410310700000000","Residential Vacant","Acquired","Land Bank","R-5","4019 E 70th Ter","Kansas City","MO","64132","Jackson","Foxtown East","5th",,"Kansas City Missouri 110","Side Yard","false","2019","9000.0","6152.918472","Vacant lot or land - usable",,,,,"POINT (-94.539834 38.99852)"
"JA31230230800000000","Residential Vacant","Acquired","Land Bank","R-2.5","4702 E 43RD ST","Kansas City","MO","64130","Jackson","Vineyard","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","3700.0","6612.267361","Vacant lot or land - usable",,,,,"POINT (-94.529544 39.047424)"
"JA29740242000000000","Residential Improved","Disposed","Land Bank","R-2.5","3348 MICHIGAN AVE","KANSAS CITY","MO","64109","Jackson","Key Coalition","3rd","2015-08-06T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2012","36564.0","4044.424375","Structure - fair condition",,,"3","2013-12-27T00:00:00.000","POINT (-94.56118 39.064745)"
"JA46420270800000000","Residential Improved","Acquired","Land Bank","R-5","7021 Chestnut Ave","Kansas City","MO","64132","Jackson","Self Help Neighborhood Council","5th",,"Kansas City Missouri 110","Affordable Housing","false","2019","24498.0","5587.973785","Structure - fair condition",,,"1",,"POINT (-94.554522 38.998971)"
"JA28830222500000000","Residential Improved","Disposed","Land Bank","R-5","3310 Spruce Ave","Kansas City","MO","64128","Jackson","Knoches Park","3rd","2016-09-16T00:00:00.000","Kansas City Missouri 110","Affordable Housing","false","2012","19098.0","5431.867396","Structure - fair condition",,,"1","2014-08-05T00:00:00.000","POINT (-94.533493 39.065165)"
"JA31940011000000000","Residential Improved","Disposed","Land Bank","R-6","5546 Jackson Ave","Kansas City","MO","64130","Jackson","Swope Parkway-Elmwood","5th","2018-07-31T00:00:00.000","Kansas City Missouri 110","Affordable Housing","false","2012","19458.0","11391.484653","Structure - fair condition","1708","3","1","2014-04-01T00:00:00.000","POINT (-94.536811 39.024225)"
"JA46320121600000000","Residential Vacant","Acquired","Land Bank","R-2.5","6015 Agnes Ave","Kansas City","MO","64130","Jackson","South Town Fork Creek","5th",,"Kansas City Missouri 110","Assemblage","false","2019","7300.0","5011.89826389","Vacant lot or land - usable",,,,,"POINT (-94.551255 39.016855)"
"JA28540010302000000","Residential Improved","Disposed","Land Bank","R-2.5","5707 E 23RD ST","KANSAS CITY","MO","64127","Jackson","South Blue Valley","3rd","2014-10-27T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2012","7709.0","4924.656878","Structure - fair condition",,,,,"POINT (-94.515864 39.083142)"
"JA31330100700000000","Residential Vacant","Acquired","Land Bank","R-2.5","4011 Montgall Ave","Kansas City","MO","64130","Jackson","Oak Park Southwest","3rd",,"Kansas City Missouri 110","Side Yard","false","2019","2800.0","5039.36270833","Vacant lot or land - usable",,,,,"POINT (-94.552565 39.052973)"
"28-110-11-07-00-0-00-000","Residential Vacant","ACQUIRED","LAND BANK","R-2.5","623 Ewing Ave","KANSAS CITY","MO","64124","JACKSON","Sheffield","4TH",,"KANSAS CITY MISSOURI 110",,"false","2019","3850.0","3414.25",,,,,,"POINT (-94.502787 39.103757)"
"JA31930150800000000","Residential Vacant","Acquired","Land Bank","R-2.5","5634 Bellefontaine Ave","Kansas City","MO","64130","Jackson","North Town Fork Creek","5th",,"Kansas City Missouri 110","Infill construction","false","2019","8450.0","7936.64767361","Vacant lot or land - usable",,,,,"POINT (-94.549348 39.023362)"
"JA31740044000000000","Residential Vacant","Acquired","Land Bank","R-7.5","5605 Ewing Ave","Kansas City","MO","64129","Jackson","Brown Estates","5th",,"Raytown 150",,"false","2019","10000.0","20407.244653","Vacant lot or land - little or no use",,,,"2014-01-29T00:00:00.000","POINT (-94.506591 39.022194)"
"JA46320030600000000","Residential Improved","Disposed","Land Bank","R-2.5","3033 E 59th St","Kansas City","MO","64130","Jackson","South Town Fork Creek","5th","2018-06-05T00:00:00.000","Kansas City Missouri 110","Affordable Housing","false","2012","20690.0","4349.928576","Structure - fair condition",,"2","1","2014-01-20T00:00:00.000","POINT (-94.549581 39.019087)"
"JA31940170300000000","Residential Vacant","Acquired","Land Bank","R-6","3911 E 58th St","KANSAS CITY","MO","64130","JACKSON","Swope Parkway-Elmwood","5th",,"KANSAS CITY MISSOURI 110",,"false","2019","9950.0","12522.78","Vacant lot or land - usable",,,,,"POINT (-94.539936 39.020554)"
"JA45330060801000000","Residential Vacant","Acquired","Land Bank","R-7.5","6511 RICHMOND AVE","KANSAS CITY","MO","64133","Jackson","East Swope Highlands","5th",,"RAYTOWN 150",,"false","2019","14650.0","16278.245729","Vacant lot or land - usable",,,,,"POINT (-94.498386 39.005443)"
"JA28530160700000000","Residential Vacant","Acquired","Land Bank","R-2.5","2413 Lister Ave","KANSAS CITY","MO","64127","JACKSON","East Community Team South","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","1700.0","3070.08",,,,,,"POINT (-94.527571 39.081476)"
"JA28930314300000000","Residential Improved","Disposed","Land Bank","R-2.5","3418 CHESTNUT AVE","Kansas City","MO","64128","Jackson","Oak Park Northwest","3rd","2016-02-04T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2015","27335.0","4801.867292","Structure - fair condition","1740","6","1","2015-12-04T00:00:00.000","POINT (-94.550848 39.063628)"
"JA28540104900000000","Residential Vacant","Disposed","Land Bank","R-2.5","2512 DENVER AVE","KANSAS CITY","MO","64127","JACKSON","East Community Team South","3rd","2017-01-09T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing, Wildlife Conservation Area","false","2015","479.0","4555.091285","Vacant lot or land - usable",,,,,"POINT (-94.522443 39.079095)"
"JA31330030100000000","Residential Improved","Disposed","Land Bank","R-2.5","3900 BENTON BLVD","Kansas City","MO","64130","Jackson","Oak Park Southwest","3rd","2017-12-28T00:00:00.000","KANSAS CITY MISSOURI 110",,"false","2015","31437.0","5032.579271","Structure - severely distressed","1668","3","2","2016-01-06T00:00:00.000","POINT (-94.546735 39.055066)"
"JA28810181900000000","Residential Vacant","Acquired","Land Bank","R-2.5","5212 E 29th St","Kansas City","MO","64128","Jackson","East Community Team South","3rd",,"Kansas City Missouri 110","Assemblage","false","2019","2250.0","4014.394063","Vacant lot or land - usable",,,,,"POINT (-94.522483 39.072515)"
"JA32440080200000000","Residential Vacant","Acquired","Land Bank","R-7.5","8609 E 47th St","Kansas City","MO","64129","Jackson","Eastwood Hills East","3rd",,"Raytown 150","Infill construction","false","2019","44941.0","87948.0984375","Vacant lot or land - usable",,,,,"POINT (-94.48215 39.037773)"
"JA46220050500000000","Residential Improved","Acquired","Land Bank","R-6","4503 E 59TH ST","Kansas City","MO","64130","Jackson","Swope Parkway-Elmwood","5th",,"KANSAS CITY MISSOURI 110","Affordable Housing","false","2019","22235.0","6826.881076","Structure - good condition","768","2","1","2015-12-10T00:00:00.000","POINT (-94.533467 39.018525)"
"JA29720021000000000","Commercial Vacant","Disposed","Land Bank","B1-1","2733 Vine St","Kansas City","MO","64109","Jackson","Mount Hope","3rd","2014-09-12T00:00:00.000","Kansas City Missouri 110","Side Yard","false","2012","836.0","2987.189306","Vacant lot or land - usable",,,,,"POINT (-94.564087 39.076377)"
"JA46420010500000000","Residential Vacant","Acquired","Land Bank","R-5","6715 College Ave","Kansas City","MO","64132","Jackson","Self Help Neighborhood Council","5th",,"Kansas City Missouri 110",,"false","2019","10300.0","7041.239514","Vacant lot or land - usable",,,,,"POINT (-94.548442 39.004357)"
"JA28840180900000000","Residential Vacant","Disposed","Land Bank","R-2.5","5614 E 34th Ter","Kansas City","MO","64128","Jackson","Dunbar","3rd","2018-11-07T00:00:00.000","Kansas City Missouri 110","Side Yard","false","2012","139.0","3517.905938","Vacant lot or land - usable",,,,,"POINT (-94.518096 39.062719)"
"JA28140130500000000","Residential Vacant","Acquired","Land Bank","R-2.5","6827 E 14th St","Kansas City","MO","64126","Jackson","East Blue Valley","3rd",,"Kansas City Missouri 110","Side Yard","false","2019","3800.0","3352.27","Vacant lot or land - usable",,,,,"POINT (-94.502188 39.094571)"
"JA31940202900000000","Residential Vacant","Acquired","Land Bank","R-2.5","5839 Norton Avenue","Kansas City","MO","64119","Jackson","Swope Parkway-Elmwood","5th",,"Kansas City Missouri 110",,"false","2019","3450.0","2778.505833","Vacant lot or land - little or no use",,,,,"POINT (-94.530814 39.200575)"
"JA28240013200000000","Residential Vacant","Acquired","Land Bank","R-2.5","1222 Topping Ave","Kansas City","MO","64127","Jackson","West Blue Valley","3rd",,"Kansas City Missouri 110",,"false","2019","3300.0","3309.682986","Vacant lot or land - usable",,,,"2014-01-09T00:00:00.000","POINT (-94.514627 39.096681)"
"JA50800040200000000","Residential Vacant","Disposed","Land Bank","R-80","10300 Raytown Rd","Kansas City","MO","64134","Jackson","Longview","6th","2020-01-28T00:00:00.000","Hickman Mills 140",,"false","2019","3700.0","22147.902674","Vacant lot or land - little or no use",,,,"2014-01-02T00:00:00.000","POINT (-94.472184 38.936322)"
"JA31910084100000000","Residential Vacant","Acquired","Land Bank","R-2.5","3420 E 55TH ST","Kansas City","MO","64130","Jackson","North Town Fork Creek","5th",,"KANSAS CITY MISSOURI 110","Infill construction","false","2019","20150.0","24976.7044097","Vacant lot or land - usable",,,,,"POINT (-94.545391 39.026191)"
"JA31430143100000000","Residential Improved","Disposed","Land Bank","R-2.5","4920 AGNES AVE","Kansas City","MO","64130","Jackson","North Town Fork Creek","3rd","2018-05-23T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2015","25801.0","4863.273993","Structure - fair condition","1115","3","1","2015-12-04T00:00:00.000","POINT (-94.54998 39.036388)"
"JA28140170200000000","Commercial Improved","Disposed","Land Bank","M1-5","7115 E TRUMAN RD","KANSAS CITY","MO","64126","Jackson","East Blue Valley","3rd","2014-12-05T00:00:00.000","KANSAS CITY MISSOURI 110","Commercial Use","false","2012","29687.0","2429.354236","Structure - fair condition","2492",,,,"POINT (-94.499203 39.093459)"
"JA46310081800000000","Residential Vacant","Acquired","Land Bank","R-2.5","6105  INDIANA AVE","Kansas City","MO","64130","Jackson","South Town Fork Creek","5th",,"KANSAS CITY MISSOURI 110",,"false","2019","8700.0","5962.426701","Vacant lot or land - usable",,,,,"POINT (-94.546695 39.01523)"
"JA31320330900000000","Commercial Vacant","Disposed","Land Bank","B3-2","3815 Prospect Ave AKA 3817 Prospect Ave","Kansas City","MO","64128","Jackson","Oak Park Northwest","3rd","2019-12-19T00:00:00.000","Kansas City Missouri 110","Assemblage","false","2019","3100.0","6409.050903","Vacant lot or land - usable",,,,,
"JA31410160500000000","Residential Vacant","Disposed","Land Bank","R-2.5","4413  NORTON AVE","Kansas City","MO","64130","Jackson","Vineyard Northwest","3rd","2015-04-17T00:00:00.000","KANSAS CITY MISSOURI 110",,"false","2014","5000.0","10784.13559","Vacant lot or land - usable",,,,,"POINT (-94.536819 39.045293)"
"JA28240045200000000","Residential Vacant","Acquired","Land Bank","Multiple-Refer to City Map","5509 E 14th St","Kansas City","MO","64127","Jackson","West Blue Valley","3rd",,"Kansas City Missouri 110","Assemblage","false","2019","6650.0","26842.63066","Vacant lot or land - little or no use",,,,"2014-01-02T00:00:00.000",
"JA28820043100000000","Residential Vacant","Acquired","Land Bank","R-2.5","2820 CHELSEA AVE","KANSAS CITY","MO","64128","JACKSON","East Community Team South","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","2650.0","9038.635764","Vacant lot or land - little or no use",,,,,"POINT (-94.527434 39.073656)"
"JA28110116600000000","Residential Vacant","Acquired","Land Bank","R-2.5","804  CAMBRIDGE AVE","Kansas City","MO","64125","Jackson","Sheffield","4th",,"KANSAS CITY MISSOURI 110",,"false","2019","5650.0","5321.752361","Vacant lot or land - little or no use",,,,,"POINT (-94.50176 39.102029)"
"JA28430381800000000","Commercial Vacant","Acquired","Land Bank","B3-2","2643 Agnes Ave","Kansas City","MO","64127","Jackson","Washington Wheatley","3rd",,"Kansas City Missouri 110","Side Yard","false","2019","1950.0","3450.156285","Vacant lot or land - usable",,,,,"POINT (-94.547821 39.077254)"
"JA31330122500000000","Residential Improved","Acquired","Land Bank","R-2.5","4030 AGNES AVE","KANSAS CITY","MO","64130","Jackson","Oak Park Southwest","3rd",,"KANSAS CITY MISSOURI 110","Affordable Housing","false","2019","23304.0","4173.327847","Structure - fair condition","1046","2","1","2014-06-13T00:00:00.000","POINT (-94.549173 39.052299)"
"JA28420411400000000","Residential Vacant","Disposed","Land Bank","R-2.5","2216 Agnes Ave","Kansas City","MO","64127","Jackson","Washington Wheatley","3rd","2018-03-22T00:00:00.000","Kansas City Missouri 110","Assemblage","false","2012","1276.0","3373.867604","Vacant lot or land - usable",,,,,"POINT (-94.547474 39.084741)"
"JA28820122202000000","Residential Vacant","Acquired","Land Bank","R-2.5","2812 Wenzel Ave","KANSAS CITY","MO","64128","JACKSON","East Community Team South","3rd",,"KANSAS CITY MISSOURI 110",,"false","2020","4550.0","4005.05",,,,,,"POINT (-94.53246 39.074113)"
"28-910-20-28-00-0-00-000","Residential Vacant","ACQUIRED","LAND BANK","R-2.5","2912 MONROE AVE","KANSAS CITY","MO","64110","JACKSON","Ingleside","3RD",,"KANSAS CITY MISSOURI 110",,"false","2019","2250.0","3998.95",,,,,,"POINT (-94.540079 39.072252)"
"JA28430103100000000","Residential Vacant","Acquired","Land Bank","R-2.5","2404 Chestnut Ave","Kansas City","MO","64127","Jackson","Washington Wheatley","3rd",,"Kansas City Missouri 110","Assemblage","false","2019","1850.0","3308.42399306","Vacant lot or land - usable",,,,,"POINT (-94.549904 39.082784)"
"JA28520260400000000","Residential Improved","Disposed","Land Bank","R-2.5","4303 E 19TH ST","KANSAS CITY","MO","64127","Jackson","East Community Team North","3rd","2017-07-14T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2012","17514.0","3234.044757","Structure - fair condition",,,"1",,"POINT (-94.532201 39.088693)"
"JA28810012500000000","Residential Vacant","Acquired","Land Bank","R-2.5","5642 E 27th Ter","Kansas City","MO","64128","Jackson","South Blue Valley","3rd",,"Kansas City Missouri 110",,"false","2019","3200.0","6663.16691","Vacant lot or land - usable",,,,,"POINT (-94.515909 39.07521)"
"JA28540072300000000","Residential Vacant","Acquired","Land Bank","R-2.5","2328  DENVER AVE","Kansas City","MO","64127","Jackson","East Community Team South","3rd",,"KANSAS CITY MISSOURI 110","Side Yard","false","2019","2650.0","4771.12927083","Vacant lot or land - usable",,,,,"POINT (-94.522251 39.082386)"
"JA31320012100000000","Residential Vacant","Disposed","Land Bank","R-2.5","3308 E 36th St","Kansas City","MO","64128","Jackson","Oak Park Northwest","3rd","2019-04-17T00:00:00.000","Kansas City Missouri 110","Side Yard","false","2012","1702.0","3798.651632","Vacant lot or land - usable",,,,,"POINT (-94.544717 39.060554)"
"JA31920210200000000","RESIDENTIAL VACANT","ACQUIRED","Land Bank","R-2.5","2807 E 53rd St","KANSAS CITY","MO","64130.0","JACKSON","North Town Fork Creek","5th",,"KANSAS CITY MISSOURI 110",,"false","2019","8600.0","5878.91","Awaiting evaluation",,,,,"POINT (-94.552145 39.030028)"
"JA27310033000000000","Residential Improved","Disposed","Land Bank","R-2.5","805 DITMAN AVE","KANSAS CITY","MO","64125","Jackson","North Blue Ridge","4th","2019-06-12T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2012","21328.0","5661.953542","Structure - severely distressed","780","2","1","2014-06-20T00:00:00.000","POINT (-94.480804 39.100373)"
"JA28920232800000000","Residential Vacant","Acquired","Land Bank","R-2.5","3020 Indiana Ave","Kansas City","MO","64128","Jackson","Santa Fe","3rd",,"Kansas City Missouri 110","Side Yard","false","2019","2400.0","4312.31857639","Vacant lot or land - usable",,,,,"POINT (-94.543588 39.070599)"
"JA28130031200000000","Residential Vacant","Acquired","Land Bank","R-2.5","6001 A E 12th St","Kansas City","MO","64126","Jackson","West Blue Valley","3rd",,"Kansas City Missouri 110",,"false","2019","6550.0","7534.13441","Vacant lot or land - little or no use",,,,,"POINT (-94.512079 39.097547)"
"JA29330100800000000","Commercial Vacant","Disposed","Land Bank","M3-5","1317-B W 13th Ter","Kansas City","MO","64102-1055","Jackson",,"4th","2014-06-30T00:00:00.000","KANSAS CITY MISSOURI 110","Industrial Use","false","2012","1869.0","1553.769653","Vacant lot or land - usable",,,,,"POINT (-94.600833 39.098731)"
"JA28440120800000000","Residential Improved","Disposed","Land Bank","R-2.5","2421  CLEVELAND AVE","Kansas City","MO","64127","Jackson","East Community Team South","3rd","2019-05-01T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2014","20204.0","6039.318229","Structure - fair condition",,,"1","2014-12-16T00:00:00.000","POINT (-94.53847 39.081414)"
"JA49430021302000000","Residential Vacant","Acquired","Land Bank","R-7.5","9517 Red Bud Dr","KANSAS CITY","MO","64137","JACKSON","Oakwood","5th",,"HICKMAN MILLS 140","Wildlife Conservation Area","false","2019","15950.0","14578.53","Vacant lot or land - little or no use",,,,,"POINT (-94.551839 38.953758)"
"JA31330212700000000","Residential Improved","Disposed","Land Bank","R-2.5","4124 Chestnut Ave","Kansas City","MO","64130","Jackson","Oak Park Southwest","3rd","2016-07-14T00:00:00.000","Kansas City Missouri 110","Affordable Housing","false","2012","12687.0","4679.713542","Structure - fair condition","1470","3","1","2014-06-13T00:00:00.000","POINT (-94.551533 39.050847)"
"JA31520150600000000","Residential Improved","Disposed","Land Bank","R-2.5","4715 E 44TH TER","KANSAS CITY","MO","64130","Jackson","Vineyard","3rd","2018-03-22T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2012","31562.0","9233.601111","Structure - fair condition",,"3","2","2014-01-13T00:00:00.000","POINT (-94.529235 39.044641)"
"JA47640040300000000","Residential Vacant","Disposed","Land Bank","R-5","2045 E GREGORY BLVD","KANSAS CITY","MO","64132","Jackson","East Meyer 7","5th","2015-12-28T00:00:00.000","KANSAS CITY MISSOURI 110","Side Yard","false","2012","21300.0","5234.258125","Vacant lot or land - usable","938","2","1","2014-05-14T00:00:00.000","POINT (-94.561922 38.99826)"
"JA28830020500000000","Residential Vacant","Acquired","Land Bank","R-1.5","3119 Poplar Ave","Kansas City","MO","64128","Jackson","Knoches Park","3rd",,"Kansas City Missouri 110","Assemblage, Urban Agriculture","true","2019","2300.0","4108.315521","Vacant lot or land - usable",,,,,"POINT (-94.526789 39.068275)"
"JA28430150600000000","Residential Vacant","Acquired","Land Bank","R-2.5","3201 E 24th St","Kansas City","MO","64127","Jackson","Washington Wheatley","3rd",,"Kansas City Missouri 110","Side Yard","false","2019","1100.0","1987.18340278","Vacant lot or land - little or no use",,,,,"POINT (-94.545624 39.082878)"
"JA29640271100000000","Residential Improved","Disposed","Land Bank","R-1.5","2537 WABASH AVE","KANSAS CITY","MO","64127","Jackson","Wendell Phillips","3rd","2015-06-09T00:00:00.000","KANSAS CITY MISSOURI 110","Assemblage, Side Yard, Urban Agriculture","true","2012","3488.0","3152.202292","Structure - severely distressed",,,"1","2014-01-22T00:00:00.000","POINT (-94.553545 39.079403)"
"JA31410131200000000","Commercial Vacant","Acquired","Land Bank","B1-1","4441 CLEVELAND AVE","Kansas City","MO","64130","Jackson","Vineyard Northwest","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","16300.0","10634.014375","Vacant lot or land - usable",,,,,"POINT (-94.540326 39.044294)"
"JA30640240400000000","Residential Vacant","Disposed","Land Bank","R-6","4907 EUCLID AVE","KANSAS CITY","MO","64130","Jackson","Blue Hills","3rd","2017-12-14T00:00:00.000","KANSAS CITY MISSOURI 110","Assemblage, Side Yard","false","2012","2820.0","5736.849583","Vacant lot or land - usable",,,,,"POINT (-94.561547 39.037302)"
"JA28810122100000000","Residential Vacant","Acquired","Land Bank","R-2.5","5622 BONITA ST","KANSAS CITY","MO","64128","Jackson","South Blue Valley","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","4150.0","9006.24434","Vacant lot or land - little or no use",,,,,"POINT (-94.51685 39.073802)"
"JA29610321900000000","Residential Vacant","Disposed","Land Bank","R-1.5","2112 Wabash Ave","Kansas City","MO","64127","Jackson","Wendell Phillips","3rd","2019-09-11T00:00:00.000","Kansas City Missouri 110","Assemblage","false","2012","1335.0","4815.218194","Vacant lot or land - usable",,,,,"POINT (-94.553222 39.086275)"
"JA28920131100000000","Residential Vacant","Acquired","Land Bank","R-5","3205 E 29th St","KANSAS CITY","MO","64128","JACKSON","Santa Fe","3rd",,"KANSAS CITY MISSOURI 110",,"false","2020","36554.0","7753.64",,,,,,"POINT (-94.545754 39.072467)"
"JA31930141300000000","Residential Vacant","Acquired","Land Bank","R-2.5","5616 Jaudon Ave","Kansas City","MO","64130","Jackson","North Town Fork Creek","5th",,"Kansas City Missouri 110","Public Purpose","false","2019","9400.0","9655.762708","Vacant lot or land - usable",,,,"2014-03-13T00:00:00.000","POINT (-94.550146 39.024417)"
"JA28220282000000000","Residential Vacant","Acquired","Land Bank","R-2.5","4402  CLOON AVE","Kansas City","MO","64127","Jackson","Lykins","3rd",,"KANSAS CITY MISSOURI 110","Side Yard","false","2019","8750.0","9430.21816","Vacant lot or land - usable",,,,,"POINT (-94.530001 39.100028)"
"JA13920120500000000","Industrial Vacant","Acquired","Land Bank","M1-5","400 Guinotte Ave","Kansas City","MO","64120","Jackson","Northeast Industrial District","4th",,"Kansas City Missouri 110","Side Yard","false","2019","5500.0","3304.511563","Vacant lot or land - little or no use",,,,,"POINT (-94.580938 39.111602)"
"JA28520050900000000","Residential Improved","Disposed","Land Bank","R-2.5","1712 Elmwood Ave","Kansas City","MO","64127","Jackson","East Community Team North","3rd","2017-12-07T00:00:00.000","Kansas City Missouri 110","Affordable Housing","false","2012","14705.0","3990.801771","Structure - fair condition","1584","5",,,"POINT (-94.529071 39.090202)"
"JA28810020200000000","Residential Improved","Disposed","Land Bank","R-2.5","5441 E 27TH ST","KANSAS CITY","MO","64128","Jackson","South Blue Valley","3rd","2016-08-08T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2012","17517.0","4476.2625","Structure - fair condition","1334","1","1","2014-10-01T00:00:00.000","POINT (-94.518247 39.075984)"
"JA31410071100000000","Residential Vacant","Acquired","Land Bank","R-2.5","4341 Bales","Kansas City","MO","64130","Jackson","Oak Park Southeast","3rd",,"Kansas City Missouri 110","Side Yard","false","2019","3100.0","5546.994687","Vacant lot or land - usable",,,,,"POINT (-94.543674 39.046365)"
"JA28120341800000000","Residential Vacant","Disposed","Land Bank","R-2.5","1020 Fuller Ave","Kansas City","MO","64126","Jackson","Sheffield","4th","2017-12-05T00:00:00.000","Kansas City Missouri 110","Assemblage, Side Yard","false","2012","1869.0","3753.250833","Vacant lot or land - usable",,,,"2013-12-31T00:00:00.000","POINT (-94.506472 39.098979)"
"JA30730160400000000","Residential Improved","Disposed","Land Bank","R-6","5607 HIGHLAND AVE","KANSAS CITY","MO","64110","JACKSON","Blue Hills","5th","2017-06-20T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2015","41200.0","4527.392986","Awaiting evaluation",,,,,"POINT (-94.565786 39.024776)"
"31-310-29-17-01-0-00-000","Residential Vacant","Not owned",,"R-2.5","3836 Myrtle","Kansas City","MO","64128","Jackson","Palestine East",,,,"Side Yard","false","2014","1872.0","5.0","Vacant lot or land - usable",,,,,
"JA46220091800000000","Residential Vacant","Disposed","Land Bank","R-2.5","5952 Spruce Ave","Kansas City","MO","64130","Jackson","Swope Parkway-Elmwood","5th","2014-01-14T00:00:00.000","Kansas City Missouri 110","Urban Agriculture","false","2012","466.0","4292.101042","Vacant lot or land - usable",,,,,"POINT (-94.536379 39.016863)"
"JA28930191100000000","RESIDENTIAL VACANT","ACQUIRED","Land Bank","R-2.5","3319 Chestnut Ave","KANSAS CITY","MO","64128.0","JACKSON","Oak Park Northwest","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","2600.0","4660.42","Awaiting evaluation",,,,,"POINT (-94.550758 39.065506)"
"JA46420120100000000","Residential Vacant","Acquired","Land Bank","R-5","2919 E 68TH ST","Kansas City","MO","64132","Jackson","Self Help Neighborhood Council","5th",,"KANSAS CITY MISSOURI 110","Side Yard","false","2019","7450.0","5086.710174","Vacant lot or land - usable",,,,,"POINT (-94.552152 39.003264)"
"JA30110270800000000","Residential Improved","Disposed","Land Bank","R-2.5","3818 GARFIELD AVE","KANSAS CITY","MO","64109","Jackson","Ivanhoe Northeast","3rd","2013-08-08T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","true","2012","14352.0","3713.017917","Structure - fair condition",,,"1",,"POINT (-94.559619 39.056981)"
"JA49740040200000000","Residential Vacant","Acquired","Land Bank","R-7.5","6605 E 103rd St","Kansas City","MO","64134","Jackson","Fairlane","6th",,"Hickman Mills 140",,"false","2019","1400.0","5153.649688","Vacant lot or land - little or no use",,,,,"POINT (-94.51306 38.938058)"
"JA28310292000000000","Residential Vacant","Acquired","Land Bank","R-2.5","1024 Myrtle Ave","Kansas City","MO","64127","Jackson","Lykins","3rd",,"Kansas City Missouri 110",,"false","2019","400.0","372.641771","Vacant lot or land - little or no use",,,,"2014-01-02T00:00:00.000","POINT (-94.53592 39.099911)"
"JA28130302600000000","Residential Vacant","Acquired","Land Bank","R-2.5","No Address Assigned By City","Kansas City","MO","99999","Jackson","West Blue Valley","3rd",,"Kansas City Missouri 110",,"false","2019","2250.0","4058.214063","Vacant lot or land - usable",,,,,
"JA27910062201000000","Residential Vacant","Acquired","Land Bank","R-2.5","2910 Stark Ave","Kansas City","MO","64129","Jackson","Western Blue Township","3rd",,"Kansas City Missouri 110","Infill construction","false","2019","10100.0","19228.2683681","Vacant lot or land - usable",,,,,"POINT (-94.47923 39.069705)"
"JA28720070300000000","Residential Vacant","Acquired","Land Bank","R-2.5","2933 Topping Ave","Kansas City","MO","64129","Jackson","South Blue Valley","3rd",,"Kansas City Missouri 110","Assemblage","false","2019","23883.0","11271.91625","Vacant lot or land - usable",,,,,"POINT (-94.515836 39.071241)"
"JA46420052400000000","Residential Vacant","Acquired","Land Bank","R-5","6712  AGNES AVE","Kansas City","MO","64132","Jackson","Self Help Neighborhood Council","5th",,"KANSAS CITY MISSOURI 110",,"false","2019","9850.0","6752.354097","Vacant lot or land - usable",,,,,"POINT (-94.551881 39.004519)"
"JA28620010200000000","Residential Vacant","Acquired","Land Bank","R-2.5","6517 E 17th St","KANSAS CITY","MO","64126","JACKSON","East Blue Valley","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","2950.0","5263.67",,,,,,"POINT (-94.5062 39.090141)"
"JA28520220100000000","RESIDENTIAL VACANT","ACQUIRED","Land Bank","R-2.5","1900 Lister","KANSAS CITY","MO","64127.0","JACKSON","East Community Team North","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","5850.0","12918.18","Awaiting evaluation",,,,,"POINT (-94.527014 39.088293)"
"JA32130044500000000","Residential Vacant","Acquired","Land Bank","R-7.5","3900 Ash Ave","Kansas City","MO","64133","Jackson","Ashland Ridge","3rd",,"Kansas City Missouri 110","Wildlife Conservation Area","false","2019","500.0","383.294097","Vacant lot or land - little or no use",,,,"2013-12-24T00:00:00.000","POINT (-94.458598 39.051665)"
"JA31310092500000000","Residential Vacant","Disposed","Land Bank","R-2.5","3624 Bales Ave","Kansas City","MO","64128","Jackson","Palestine West And Oak Park Northeast","3rd","2016-09-21T00:00:00.000","Kansas City Missouri 110","Side Yard","false","2012","1702.0","4345.046111","Vacant lot or land - usable",,,,,"POINT (-94.542985 39.059606)"
