"project_no","title","area","project_district","address_concatenation","finish_year","status","cost_in_millions","activity_type","use","office_sq_ft_in_1000_s","retail_sq_ft_in_1000_s","industrial_sq_ft_in_1000_s","hotel_rooms","parking_spaces","developer","also_in_1990_onward_database","none"
"241.00","Country Inn -Antioch","6","North","2633 NE 43rd St.
Kansas City, MO 
(39.17146639176951, -94.54771890417464)","1987","Completed","1.3","New","Lodging","0","0","0","45","0","Finney Hotel Corp.","No",
"Developer","developer names","to note patterns in who is sponsoring development","when available","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"101.00","Graphic Arts Building","11","Downtown","934 Wyandotte St.
Kansas City, MO 
(39.10254235144396, -94.58549942262556)","1984","Completed","2.5","Rehab","Office","75","0","0","0","0","John Meara","No",
"297.00","Shin Fu","1","North","10939 N Pomona Av.
Kansas City, MO 
(39.292596075895915, -94.67160950693102)","1990","Underway","3.4","New","Industrial/Office/Showroom","10","0","40","0","0","Shin Fu Co.","No",
"Industrial Sq. Ft. in 1000's","actual or estimated square feet of industrial, warehouse, heavy commercial, or similar space","to show the magnitude of single projects or analyze the supply of industrial space","when appropriate","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"116.00","Hanover Building","11","Downtown","15 W 10th St.
Kansas City, MO 
(39.10219161585252, -94.58377272432926)","1985","Completed","2.0","Rehab","Office","57","0","0","0","0","Hadley/McHugh Partnership","No",
"41.00","Airworld - 9 & 10","1","North","8400 NW 107th Te.
Kansas City, MO 
(39.288068414629535, -94.67435926256935)","1985","Completed","2.0","New","Industrial/Office/Showroom","20","0","58","0","0","Zimmer Companies","No",
"283.00","Gomer's Corner","29","South","9900 Holmes Rd.
Kansas City, MO 
(38.94820391676398, -94.58243547575498)","1989","Completed","3.0","New","Retail","0","68","0","0","0","Ed Moody","No",
"129.00","Holmes Corporate Center -1","29","South","1001 E 101st Te.
Kansas City, MO 
(38.942804772599686, -94.57854766333907)","1983","Completed","10.0","New","Office","100","0","0","0","0","Linclay Corp.","No",
"165.00","Hillcrest Plaza","25","East","8511 Hillcrest Rd.
Kansas City, MO 
(38.970000270765695, -94.5209460873624)","1986","Completed","3.0","New","Office","35","0","0","0","0","Hilco Assocs.","No",
"2.00","AT&T Garage","11","Downtown","1201 Walnut St.
Kansas City, MO 
(39.09984658471962, -94.58200486844282)","1986","Completed","24.0","New","Garage","0","0","0","0","2200","AT&T; Copaken; Dreiseszun/Morgan","No",
,"32 **","Longview **",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"111.00","Kryger Auto Glass","21","East","1221 Harrison St.
Kansas City, MO 
(39.0983335243468, -94.57115523625822)","1986","Completed","1.3","New","Industrial/Office/Showroom","8","0","31","0","0","W.M. Kryger Co.","No",
"268.00","Greyhound Terminal","21","East","1111 Troost Av.
Kansas City, MO 
(39.10051699632414, -94.56976942557237)","1989","Completed","2.9","New","Transportation","0","0","0","0","0","Greyhound Lines","No",
"225.00","Hampton Inn","1","North","11212 N Newark Circle
Kansas City, MO 
(39.298369723324015, -94.68345357805691)","1986","Completed","5.0","New","Lodging","0","0","0","120","131","Midland Properties","No",
"324.00","Best Buy","30","South","8944 Hillcrest Rd.
Kansas City, MO 
(38.96220821573049, -94.51912210963101)","1989","Completed","1.5","New","Retail","0","35","0","0","0","Best Buy","No",
"294.00","Marriott Suites Hotel","19","Plaza","720 W 47th St.
Kansas City, MO 
(39.04245051690492, -94.59498087702211)","1991","Underway","30.0","New","Lodging","0","0","0","270","0","Marriott Corp.","Yes",
"194.00","John Chezik Buick","6","North","3623 N Oak Tfwy.
Kansas City, MO 
(39.15979892590812, -94.57686770775186)","1985","Completed","2.3","New","Retail","0","48","0","0","0","John Chezik","No",
"308.00","Wornall Village Upgrade","27","South","8430 Wornall Rd.
Kansas City, MO 
(38.97516520734657, -94.59509979852129)","1989","Completed","2.5","New","Retail","0","12","0","0","0","Tutera Group","No",
"132.00","Executive Hills E. - F1","29","South","1250 E 104th St.
Kansas City, MO 
(38.93855703560918, -94.57537193446905)","1984","Completed","2.8","New","Office","46","0","0","0","0","Executive Hills","No",
"328.00","Midland Office/Theater Ren","11","Downtown","1228 Main St.
Kansas City, MO 
(39.098756205700624, -94.5832691039929)","1989","Completed","4.6","Rehab","Office","72","0","0","0","0","AMC Theaters","No",
"74.00","Union Bank Addition","11","Downtown","1301 Oak Tfwy.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1986","Completed","6.3","New","Office","90","0","0","0","560","William Pickett","No",
"47.00","Value World","6","North","4300 N Corrington Av.
Kansas City, MO 
(39.170791900247536, -94.49516252478236)","1985","Completed","9.0","New","Retail","0","212","0","0","0","Hunt Midwest","No",
"346.00","School of Arts Rehab","27","South","8201 Holmes Rd.
Kansas City, MO 
(38.97826504021498, -94.58094885315728)","1988","Completed","4.5","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"     area numbers reduced by 1 to become Areas 30 to 34",,,,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"224.00","Residence Inn - Union","16","Midtown","2975 Main St.
Kansas City, MO 
(39.07313452108582, -94.58521163957619)","1988","Completed","7.0","New","Lodging","0","0","0","96","0","RHW Development","No",
"291.00","Medical Plaza III","19","Plaza","4320 Wornall Rd.
Kansas City, MO 
(39.046766399186765, -94.59022086327934)","1991","Underway","21.5","New","Medical","0","0","0","0","1000","St. Luke's Hospital","Yes",
"186.00","Mo. State Office Building","11","Downtown","615 E 13th St.
Kansas City, MO 
(39.0983605040077, -94.57598459555555)","1987","Completed","4.9","Rehab","Public","0","0","0","0","0","State of Missouri","No",
,"Office","primarily office",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"315.00","Crittenton Expansion - II","32","South","10918 Elm Av.
Kansas City, MO 
(38.9250521557413, -94.4778955418198)","1990","Underway","4.0","New","Medical","0","0","0","0","0","Crittenton Center","Yes",
"212.00","Cen for Health Enhancement","17","Midtown","400 W 42nd St.
Kansas City, MO 
(39.05141589407822, -94.58976220904441)","1988","Completed","1.6","New","Medical","0","0","0","0","0","St. Luke's Hospital","No",
"211.00","St. Paul's Church Ren.","18","Midtown","11 E 40th St.
Kansas City, MO 
(39.054101805783475, -94.58558792109407)","1988","Completed","3.0","Rehab","Religious","0","0","0","0","0","St. Paul's Episcopal Church","No",
"340.00","Volker School Rehab","17","Midtown","3715 Wyoming St.
Kansas City, MO 
(39.060166297423336, -94.60362076151591)","1988","Completed","1.2","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"244.00","Wagner Warehouse","12","Midtown","1705 St. Louis Av.
Kansas City, MO 
(39.101885831755126, -94.60583216336029)","1987","Completed","1.2","New","Storage / Distribution","0","0","81","0","0","Liberty Street Investors","No",
"312.00","Swope Park Baptist Church","32","South","10415 Chestnut Av.
Kansas City, MO 
(38.922856850792016, -94.55777022931932)","1990","Underway","7.0","New","Religious","0","0","0","0","0","Swope Park Baptist Church","No",
"326.00","Bannister Sq. Business - 3","30","South","9626 Marion Park Dr.
Kansas City, MO 
(38.95078098476698, -94.53617015771385)","1989","Completed","1.6","New","Industrial/Office/Showroom","8","0","16","0","0","Terrydale Management Corp.","No",
"167.00","South Crest Centre","32","South","11400 Hickman Mills Dr.
Kansas City, MO 
(38.91870294221445, -94.52353613480676)","1987","Completed","4.6","New","Retail","0","180","0","0","0","Terra Ventures","No",
"256.00","Metro North AMC Theaters","4","North","220 Metro North Mall
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1987","Completed","2.0","New","Entertainment","0","0","0","0","0","Metro North Mall","No",
"81.00","Bannister Business Center","29","South","500 E Bannister Rd.
Kansas City, MO 
(38.955706133152034, -94.58326020870487)","1985","Completed","1.7","New","Office/Retail","19","15","0","0","112","J.C. Nichols Co.","No",
"7.00","Twelve Wyandotte Plaza","11","Downtown","120 W 12th St.
Kansas City, MO 
(39.09999727010103, -94.58522063279645)","1985","Completed","31.4","New","Office/Retail","336","15","0","0","400","Executive Hills","No",
"143.00","Superior Nissan","29","South","10401 Madison Av.
Kansas City, MO 
(38.94014277939294, -94.60246962931842)","1986","Completed","1.5","New","Retail","0","17","0","0","0","Cecil Van Tuyl","No",
"38.00","Plazaview","19","Plaza","4739 Belleview Av.
Kansas City, MO 
(39.041073690741314, -94.59859355137218)","1985","Completed","2.0","New","Office","30","0","0","0","0","Santa Fe Investment Co.","No",
"85.00","Mid-America Clinic","9","East","6401 E Front St.
Kansas City, MO 
(39.13021449028554, -94.50675478574004)","1986","Completed","1.8","New","Medical","0","0","0","0","0","Universal Medical Corp.","No",
"48.00","Corrugated Box Plant","7","North","8600 NE 38th St.
Kansas City, MO 
(39.162203374867715, -94.48151081637758)","1984","Completed","11.0","New","Industrial","0","0","187","0","0","Owens Illinois","No",
"Project District *","one of 6 geographical areas of the city *","to quickly group projects by a few, broad areas of the city","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"8.00","Allis Plaza Hotel","11","Downtown","200 W 12th St.
Kansas City, MO 
(39.100060222643094, -94.58660558872157)","1985","Completed","60.0","New","Lodging","0","0","0","574","369","K.C. Hotel Venture","No",
"145.00","Miller & Bash Building","17","Midtown","4310 Madison Av.
Kansas City, MO 
(39.04927550764853, -94.59706470392234)","1985","Completed","1.9","New","Office","15","0","0","0","0","Miller & Bash Development Co.","No",
"239.00","Hickman Business Cen. - 1","32","South","10450 Hickman Mills Dr.
Kansas City, MO 
(38.93628468788728, -94.52868925003469)","1987","Completed","1.0","New","Storage / Distribution","0","0","33","0","0","Varnum/Armstrong/Deeter","No",
"197.00","U.S. Dept. of Energy","29","South","2000 E Bannister Rd.
Kansas City, MO 
(38.95475763563171, -94.56662909615876)","1986","Completed","5.2","New","Storage / Distribution","0","0","150","0","0","U.S. Dept. Of Energy; Bendix","No",
"Address","part of real or estimated address (e.g. 8301)","to convey specific location with commonly used geographic references","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"139.00","Marion Laboratories Ren. 1","26","East","6633 Troost Av.
Kansas City, MO 
(39.00743904684549, -94.57485144979864)","1985","Completed","2.3","Rehab","Industrial","0","0","98","0","0","Marion Laboratories","No",
"263.00","Sheraton Rehab","1","North","7301 NW Tiffany Springs Rd.
Kansas City, MO 
(39.2724336443893, -94.66340769601608)","1990","Underway","1.0","Rehab","Lodging","0","0","0","250","0","Sheraton Corp.","No",
"248.00","Western Mo. Rec'l. Therapy","15","Midtown","600 E 22nd St.
Kansas City, MO 
(39.08644448711948, -94.57682096504277)","1987","Completed","1.1","New","Medical","0","0","0","0","0","Missouri Department Of Health","No",
,"14","Crossroads",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"220.00","Ten Central Garage","11","Downtown","1016 Central St.
Kansas City, MO 
(39.10159895547246, -94.58701023491432)","1986","Completed","3.5","New","Garage","0","12","0","0","450","Ten Central Garage Assocs.","No",
"311.00","Executive Hills E. - C","29","South","903 E 104th St.
Kansas City, MO 
(38.93864091160401, -94.5764252633499)","1990","Underway","23.0","New","Office","200","0","0","0","700","Executive Hills","Yes",
"218.00","Crittenton Expansion - I","32","South","10918 Elm Av.
Kansas City, MO 
(38.9250521557413, -94.4778955418198)","1988","Completed","6.0","New","Medical","0","0","0","0","0","Crittenton Center","No",
"301.00","Ambassador Professional Pz","1","North","10502 NW Ambassador Dr.
Kansas City, MO 
(39.282874404759184, -94.67197822896304)","1990","Underway","2.5","New","Office","25","0","0","0","0","Ambassador Properties","No",
,"25","Blue Ridge",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"360.00","Wheatley School Addition","23","East","2415 Agnes Av.
Kansas City, MO 
(39.08278424646022, -94.54751206010792)","1990","Underway","1.2","New","Educational","0","0","0","0","0","Kansas City School District","No",
"233.00","Baptist Outpatient","27","South","6601 Rockhill Rd.
Kansas City, MO 
(39.00784276167563, -94.57807738457484)","1988","Completed","8.5","New","Medical","0","0","0","0","223","Baptist Medical Center","No",
"208.00","Jamestown Square","17","Midtown","1701 W 39th St.
Kansas City, MO 
(39.057252494048385, -94.60510464286426)","1987","Completed","2.1","Rehab","Office/Retail","5","20","0","0","0","Westport Developers","No",
"Activity Type *","whether new or rehab *","to describe the type of work done to carry out the project","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"202.00","Grace & Holy Trinity","11","Downtown","1300 Broadway
Kansas City, MO 
(39.09871006119831, -94.5885663268475)","1987","Completed","1.5","Rehab","Religious","0","0","0","0","0","Grace & Holy Trinity Cathedral","No",
"258.00","North Hills Hospital","3","North","4800 NW 88th St.
Kansas City, MO 
(39.255858770999, -94.63547474779375)","1988","Completed","8.0","New","Medical","0","0","0","0","0","Psychiatric Insts. Of America","No",
"159.00","Price Chopper","6","North","4820 N Oak Tfwy.
Kansas City, MO 
(39.181880540868804, -94.57668606673843)","1985","Completed","2.1","New","Retail","0","23","0","0","0","Four-B Corp.","No",
"240.00","White Oak","4","North","7920 N Oak Tfwy.
Kansas City, MO 
(39.238223657976775, -94.57609870625983)","1988","Completed","1.5","New","Retail","0","37","0","0","0","White Oak Partnership","No",
"359.00","KC Tech Addition","21","East","1215 E Truman Rd.
Kansas City, MO 
(39.09529381588777, -94.56876303966027)","1990","Underway","12.4","New","Educational","0","0","0","0","0","Kansas City School District","Yes",
"72.00","Palace Building","11","Downtown","1128 Grand Av.
Kansas City, MO 
(39.10067995152665, -94.58093564602396)","1986","Completed","3.5","Rehab","Office","93","0","0","0","0","Palace Assocs. Ltd. Partnership","No",
"329.00","Old Spaghetti Factory","11","Downtown","306 W 8th St.
Kansas City, MO 
(39.1046557582128, -94.58678545312745)","1989","Completed","1.5","Rehab","Retail","0","14","0","0","0","OSF International","No",
"195.00","Metro North Square","4","North","701 NW Barry Rd.
Kansas City, MO 
(39.246266573789605, -94.58859505256751)","1988","Completed","12.0","New","Retail","0","307","0","0","893","Barway Investment; Mark Morgan","No",
"21.00","Scarritt Arcade","11","Downtown","819 Walnut St.
Kansas City, MO 
(39.10375643618352, -94.58183018874598)","1985","Completed","2.2","Rehab","Office","24","0","0","0","0","Ameritas","No",
"156.00","Park Hill High Rehab","3","North","7701 NW Barry Rd.
Kansas City, MO 
(39.24686555070599, -94.67077313744375)","1985","Completed","1.9","Rehab","Educational","0","0","0","0","0","Park Hill R-5 School District","No",
,"31 **","Little Blue **",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"77.00","3900 Main Improvement","18","Midtown","3931 Main St.
Kansas City, MO 
(39.05554378219273, -94.58612894804605)","1989","Completed","1.6","Rehab","Retail","0","35","0","0","0","Main Street Corridor Development","No",
"114.00","Griffith Building","11","Downtown","401 E 13th St.
Kansas City, MO 
(39.09839534636825, -94.57858551093331)","1985","Completed","2.5","Rehab","Office","43","0","0","0","0","William Pickett","No",
"228.00","Executive Hills N. - 12C","1","North","7501 NW Tiffany Springs Pkwy.
Kansas City, MO 
(39.27269527432754, -94.66463738065428)","1988","Completed","4.2","New","Office","85","0","0","0","0","Executive Hills","No",
"15.00","Lucas Place","11","Downtown","323 W 8th St.
Kansas City, MO 
(39.10460179889105, -94.58665954804331)","1985","Completed","10.0","Rehab","Office","150","0","0","0","0","R. Bradley Hansen;Western Equity","No",
"349.00","Paseo Middle School","26","East","4700 Flora Av.
Kansas City, MO 
(39.04074386235126, -94.56695889372355)","1990","Underway","4.6","New","Educational","0","0","0","0","0","Kansas City School District","No",
"287.00","Bizmart","18","Midtown","3732 Main St.
Kansas City, MO 
(39.058943219463515, -94.58599404974166)","1989","Completed","1.5","New","Retail","0","18","0","0","0","Commercial Realty Resources","No",
,"10","River Market Area / Columbus Park / Riverfront",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"115.00","Gumbel Building","11","Downtown","801 Walnut St.
Kansas City, MO 
(39.10422408363877, -94.5818122023054)","1984","Completed","4.0","Rehab","Office","50","0","0","0","0","Murfin Oil Co.","No",
"91.00","Park Hill S. Jr. High Addn.","3","North","6501 NW 72nd St.
Kansas City, MO 
(39.225110950817225, -94.65443245617138)","1985","Completed","2.3","New","Educational","0","0","0","0","0","Park Hill R-5 School District","No",
"28.00","Landmark Building","18","Midtown","3901 Main St.
Kansas City, MO 
(39.05620928049444, -94.58608398194457)","1985","Completed","2.0","New","Office/Retail","14","15","0","0","0","Block & Co.","No",
"100.00","De Vry Institute","29","South","11224 Holmes Rd.
Kansas City, MO 
(38.92300170151452, -94.58361084636402)","1984","Completed","6.5","New","Educational","0","0","0","0","0","Bell & Howell","No",
"6.00","Wyandotte Garage","11","Downtown","1021 Wyandotte St.
Kansas City, MO 
(39.10160187401238, -94.58542493085605)","1987","Completed","12.5","New","Garage","0","13","0","0","1100","Downtown Council Devt. Corp.","No",
"183.00","Hickman Business Cen. - 3","32","South","10400 Hickman Mills Dr.
Kansas City, MO 
(38.93739085398329, -94.52980440935102)","1987","Completed","1.6","New","Office","39","0","0","0","0","Varnum/Armstrong/Deeter","No",
"82.00","Two Pershing Square","15","Midtown","2300 Main St.
Kansas City, MO 
(39.08630059559482, -94.58393460229456)","1987","Completed","62.0","New","Office","490","0","0","0","0","Trizec Properties","No",
"267.00","Watkins Cultural Center","23","East","3700 Blue Pkwy.
Kansas City, MO 
(39.03667480735498, -94.54318795924333)","1989","Completed","1.9","New","Entertainment","0","0","0","0","0","City of Kansas City, Missouri","No",
"200.00","Reich's Food Distribution","12","Midtown","1919 W 14th St.
Kansas City, MO 
(39.09635546846857, -94.55947416058913)","1986","Completed","8.0","New","Storage / Distribution","0","0","139","0","0","Reich's","No",
"Activity Type","New","primarily creation of something new",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"15","Crown Center / Pershing / Hospital Hill",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"262.00","North-East Library","20","East","6000 Wilson Rd.
Kansas City, MO 
(39.1060587005785, -94.51157515181711)","1988","Completed","1.5","New","Educational","0","0","0","0","0","Kansas City Public Library","No",
"65.00","Belfonte Ice Cream","21","East","1511 Brooklyn Av.
Kansas City, MO 
(39.09295557861162, -94.55628044989356)","1986","Completed","1.1","New","Industrial","0","0","30","0","0","Bel's Blue Velvet","No",
"164.00","Residence Inn - KCI","1","North","9900 NW Prairie View Rd.
Kansas City, MO 
(39.27458557023629, -94.67126455728301)","1986","Completed","7.0","New","Lodging","0","0","0","112","0","RHW Development","No",
"274.00","Progress Club Rehab","11","Downtown","1051 Washington St.
Kansas City, MO 
(39.10167000907552, -94.5899240870097)","1990","Underway","1.3","Rehab","Entertainment","0","0","0","0","0","YMCA;McCormack Baron & Assocs.","No",
"318.00","Holiday Inn - Stadium","25","East","4011 Blue Ridge Cutoff
Kansas City, MO 
(39.04960825679933, -94.47556629776392)","1990","Underway","1.5","Rehab","Lodging","0","0","0","172","0","Missouri Sunway Hotels","No",
,"20","Northeast",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"355.00","Pitcher Greek Academy","25","East","3800 Pittman Av.
Kansas City, MO 
(39.053945741905146, -94.4613384974644)","1990","Underway","4.8","New","Educational","0","0","0","0","0","Kansas City School District","Yes",
"320.00","Sheplers","30","South","9111 Hillcrest Rd.
Kansas City, MO 
(38.96013432155849, -94.5200080598003)","1989","Completed","1.0","New","Retail","0","15","0","0","0","Sheplers","No",
"124.00","Panhandle Eastern","17","Midtown","3420 Broadway
Kansas City, MO 
(39.06602667872049, -94.59026974880578)","1984","Completed","12.4","New","Office","151","0","0","0","0","Panhandle Eastern Pipe Line Co.","No",
"Field","Codes","Meanings",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"142.00","Security Self Storage","29","South","8901 Troost Av.
Kansas City, MO 
(38.965188897908945, -94.57696485656749)","1986","Completed","1.2","New","Storage / Distribution","0","0","50","0","0","Security Storage Properties","No",
"16.00","Auditorium Plaza Garage","11","Downtown","1241 Central St.
Kansas City, MO 
(39.099512092759205, -94.58695605502594)","1985","Completed","10.0","Rehab","Garage","0","0","0","0","1050","City of Kansas City, Missouri","No",
"34.00","Westport Marketplace","17","Midtown","4120 Pennsylvania Av.
Kansas City, MO 
(39.05206340593935, -94.59086837514047)","1985","Completed","1.0","New","Retail","0","29","0","0","0","R.G. Pilley Co.","No",
"179.00","Air Cargo & Fuel Facility","1","North","880 Mexico City Av.
Kansas City, MO 
(39.31481291780768, -94.71569985089505)","1987","Completed","1.3","New","Storage / Distribution","0","0","6","0","0","City of Kansas City, Missouri","No",
"4.00","Commerce Bank Building","11","Downtown","1000 Walnut St.
Kansas City, MO 
(39.10227435681748, -94.58200209609957)","1986","Completed","45.0","New","Office/Retail","378","29","0","0","650","Tower Redevelopment Corp.","No",
"219.00","Hillcrest Bank Building","30","South","5800 E Bannister Rd.
Kansas City, MO 
(38.95294013186992, -94.52113494498855)","1987","Completed","4.0","New","Office","68","0","0","0","0","Copaken, White & Blitt","No",
"191.00","Executive Hills N. - 7","1","North","10383 N Executive Hills Blvd.
Kansas City, MO 
(39.28115238917965, -94.67069203145273)","1986","Completed","3.0","New","Office","30","0","0","0","0","Executive Hills","No",
"131.00","Park Lane Medical Building","25","East","5151 Raytown Rd.
Kansas City, MO 
(39.02927336518732, -94.4701363158698)","1984","Completed","3.5","New","Medical","0","0","0","0","0","Park Lane Medical Center","No",
"254.00","Northland Park - 3","7","North","3700 N Kimball Dr.
Kansas City, MO 
(39.16179867995453, -94.44024092845302)","1988","Completed","1.5","New","Industrial/Office/Showroom","9","0","18","0","0","Beneficial Development Co.","No",
"57.00","Marion Laboratories Office","28","South","9300 Ward Pkwy.
Kansas City, MO 
(38.95957712844614, -94.59940294119855)","1986","Completed","42.0","New","Office","500","0","0","0","0","Kroh Brothers","No",
"316.00","8320 Ward Parkway","28","South","8320 Ward Pkwy.
Kansas City, MO 
(38.977635514794486, -94.6068583208214)","1990","Underway","16.0","New","Office","107","0","0","0","0","Executive Hills","Yes",
"66.00","Gate City Building","11","Downtown","1111 Grand Av.
Kansas City, MO 
(39.10087911540752, -94.5807805807719)","1986","Completed","1.2","Rehab","Office","30","0","0","0","0","Roosevelt Holdings","No",
"189.00","Multipurpose Rec. Center","26","East","5000 Cherry St.
Kansas City, MO 
(39.03642397849927, -94.58075387184833)","1988","Completed","12.5","New","Educational","0","0","0","0","0","University Of Missouri","No",
"226.00","Econo Lodge","1","North","11300 NW Prairie View Rd.
Kansas City, MO 
(39.29594580460453, -94.687051794974)","1987","Completed","2.0","New","Lodging","0","0","0","59","0","Econo Lodge","No",
,"Industrial","primarily industrial",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"52.00","Massman Hall Expansion","26","East","5201 Troost Av.
Kansas City, MO 
(39.03243389147886, -94.57344092239744)","1985","Completed","2.0","New","Educational","0","0","0","0","0","Rockhurst College","No",
"3.00","One Kansas City Place","11","Downtown","1200 Main St.
Kansas City, MO 
(39.099878976588556, -94.58321669547726)","1988","Completed","90.0","New","Office/Retail","825","36","0","0","1200","Executive Hills","No",
"56.00","8330 Ward Parkway","28","South","8330 Ward Pkwy.
Kansas City, MO 
(38.976844111408695, -94.6068853004823)","1986","Completed","7.0","New","Office","80","0","0","0","0","Kroh Brothers","No",
"342.00","Bingham School Addition","27","South","7618 Wyandotte St.
Kansas City, MO 
(38.98955153168271, -94.59203749377855)","1988","Completed","2.4","New","Educational","0","0","0","0","0","Kansas City School District","No",
"22.00","Scarritt Building","11","Downtown","816 Grand Av.
Kansas City, MO 
(39.104253637873924, -94.58074727884757)","1985","Completed","9.0","Rehab","Office","136","0","0","0","0","Ameritas","No",
"252.00","Martin Sprocket","9","East","1520 N Commerce Av.
Kansas City, MO 
(39.13482801229583, -94.50834658573189)","1986","Completed","1.1","New","Industrial/Office/Showroom","10","0","27","0","32","Martin Sprocket & Gear Co.","No",
"103.00","St. Luke's Outpatient","19","Plaza","4400 Wornall Rd.
Kansas City, MO 
(39.046430579933194, -94.59021976795513)","1987","Completed","8.0","New","Medical","0","0","0","0","0","St. Luke's Hospital","No",
,"12","Central Industrial District",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"207.00","Dillard's Renovation","11","Downtown","1034 Main St.
Kansas City, MO 
(39.10143618534789, -94.58309823280729)","1987","Completed","3.5","Rehab","Retail","0","200","0","0","0","Copaken, White & Blitt","No",
"     small amount of development that materialized in that small area. What had been Areas 31 to 35 had their",,,,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"137.00","U.S. Sprint Place","28","South","8140 Ward Pkwy.
Kansas City, MO 
(38.9805852910506, -94.60670543607642)","1987","Completed","23.0","New","Office","206","0","0","0","803","Kroh Brothers","No",
"30.00","Comfort Inn - Westport","17","Midtown","801 Westport Rd.
Kansas City, MO 
(39.05119106357091, -94.59568874121749)","1987","Completed","7.0","New","Lodging","0","0","0","109","0","Mel Kleb","No",
,"33 **","Richards Gebaur **",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"43.00","Spelman Memorial Center","3","North","5800 NW Barry Rd.
Kansas City, MO 
(39.24693749646838, -94.64829907993158)","1985","Completed","2.0","New","Medical","0","0","0","0","0","Spelman Development Corp.","No",
"299.00","Clay Co. Courthouse Annex","6","North","2001 NE 48th St.
Kansas City, MO 
(39.18094431572508, -94.55657524764727)","1989","Completed","1.8","New","Public","0","0","0","0","0","Clay County, Missouri","No",
"19.00","Columbia Building","11","Downtown","921 Walnut St.
Kansas City, MO 
(39.103258718581316, -94.58182350532122)","1986","Completed","3.3","Rehab","Office","60","0","0","0","0","Roosevelt Holdings","No",
"1.00","AT&T Town Pavilion","11","Downtown","1111 Main St.
Kansas City, MO 
(39.10066831284679, -94.58302547296714)","1987","Completed","140.0","New","Office/Retail","900","190","0","0","0","AT&T; Copaken; Dreiseszun/Morgan","No",
"29.00","Quarterage Hotel","17","Midtown","560 Westport Rd.
Kansas City, MO 
(39.052018439837866, -94.59327855817901)","1986","Completed","5.6","New","Lodging","0","0","0","123","0","Westport Hotel Assocs.","No",
"182.00","Manor Square","17","Midtown","4050 Pennsylvania Av.
Kansas City, MO 
(39.05327749067891, -94.59181266327124)","1987","Completed","22.0","New","Office/Retail","35","135","0","0","700","Roosevelt Holdings","No",
"112.00","Corrington Center - 1 & 2","9","East","1700 N Corrington Av.
Kansas City, MO 
(39.13575431398601, -94.49612479935371)","1986","Completed","4.8","New","Industrial/Office/Showroom","38","0","38","0","0","R.L. Bryant","No",
"Also in 1990 Onward Database?","does the project also appear in the 1990 onward database? (begun in the 1980's and completed in the 1990's or 2000's)        .","to help in merging data with the 1990 onward database","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"64.00","Regal 8 Inn","25","East","6400 E 87th St.
Kansas City, MO 
(38.967284318237205, -94.51586491789686)","1984","Completed","2.0","New","Lodging","0","0","0","112","0","Centralia-Watseka Enterprises","No",
,"9","Northeast Industrial / Executive Park",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"45.00","Picture Hills Center","3","North","210 NW Platte Valley Dr.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1986","Completed","10.0","New","Retail","0","137","0","0","0","Picture Hills Properties","No",
