"fiscal_year","service","department","program","revenue_category","recommended_amount","approved_amount","fund","fund_type","description","revenue_type"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","HUD Supportive Housing Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","HUD Supportive Housing Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","HUD Supportive Housing Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","HUD Supportive Housing Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","267323","267323","Governmental Grants Fund","Governmental Grants Fund","Home Visiting Blocks of MO","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","5600","5600","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","264335","264335","Ryan White HIV/AIDS","Ryan White HIV/AIDS","Minority Aids Initiative","Federal Grants"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Licenses & Permits","35000","35000","Parking Garage","Parking Garage","Parking Meter Occupancy Fee","Licenses & Permits"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes Redirection","-3807800","-3807800","Convention and Tourism","Convention and Tourism","Hotel/Motel - Contra","Convention & Tourism Taxes Redirection"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","0","0","KC Airports","KC Airports","Car Rent-Lse-On Site (Conces)","KCI Airport"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","1071600","1071600","KC Airports","KC Airports","Conces-News & Gifts (Paridies)","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","8500","8500","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Public Safety","Police","Police Revenues","Federal Grants","356845","356845","Police Grant","Police Grant","Mo - Fed Reimbursmnt Income","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Service Charges-Public Safety","7100","7100","General Fund","General Fund","Periodic & Reinspection","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","620000","620000","Golf Operations","Golf Operations","Green Fees - Hodge Park","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Water","158000","158000","Water","Water","Water Warranty Program ","Service Charges-Water"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","8603","8603","Convention and Tourism","Convention and Tourism","American Royal Misc Charges","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","3418","3418","Parks and Recreation","Parks and Recreation","Comm Ctr Sports","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","5400","5400","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Natural Gas Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Environmental Health Services","Service Charges-Health","1800","1800","Health Levy","Health Levy","Medicaid","Service Charges-Health"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Cities Readiness Initiative","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Cities Readiness Initiative","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Cities Readiness Initiative","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Cities Readiness Initiative","Federal Grants"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","0","134077","Parking Garage","Parking Garage","Rental From Parking Concession","Rental Income"
"2019","Finance and Governance","General Services","Procurement","Miscellaneous Revenues","150000","150000","General Fund","General Fund","Sale of Vehicles","Miscellaneous Revenues"
"2019","Public Safety","Police","Police Revenues","Service Charges-General Gov't","600000","600000","Police Grant","Police Grant","Traffic Overtime Fee/Reimb","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","0","0","STIF 12th and Wyandotte","STIF 12th and Wyandotte","EAT-County","Other Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","265445","265445","Governmental Grants Fund","Governmental Grants Fund","Public Health Preparedness","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","4000","4000","Parks and Recreation","Parks and Recreation","Comm Ctr Sports","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","5000","5000","Parks and Recreation","Parks and Recreation","Recreation Fees","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","66354","66354","Convention and Tourism","Convention and Tourism","Equipment Rentals","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Service Charges-General Gov't","767196","767196","General Fund","General Fund","Adm Service Fees-Stormwater","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","2960","2960","Parks and Recreation","Parks and Recreation","Sports-Youth Leagues","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Environmental Health Services","Service Charges-Health","50000","50000","Health Levy","Health Levy","Asbestos Removal Permits","Service Charges-Health"
"2019","Public Safety","Municipal Court","Court Operations","Service Charges-General Gov't","4000","4000","General Fund","General Fund","Misc Fees For Information","Service Charges-General Gov't"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Licenses & Permits","1000000","1000000","Parking Garage","Parking Garage","Parking Meter Receipts","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","370180","370180","Governmental Grants Fund","Governmental Grants Fund","HUD Shelter Plus Care Grant","Federal Grants"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Miscellaneous Revenues","7500","7500","KC Airports","KC Airports","Sale Of Property","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","1301650","1301650","Housing Oppor for Persons With Aids","Housing Oppor for Persons With Aids","HOPWA - HUD Grant","Federal Grants"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","2000000","2000000","KC Airports","KC Airports","PX Boarding Bridge - Sig","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","197900","197900","STIF Brush Creek-Blue Pkwy Town Center","STIF Brush Creek-Blue Pkwy Town Center","Tax Increment Revenues","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","30000","30000","General Fund","General Fund","Taxicab Drivers Licenses","Licenses & Permits"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Licenses & Permits","4370","4370","Street Maintenance","Street Maintenance","Oversize Load Permits","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Environmental Health Services","Service Charges-Health","273956","273956","Health Levy","Health Levy","Swimmng Pool Oper & Maint Prmt","Service Charges-Health"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","1872236","1872236","Health Levy","Health Levy","Real Property Tax-Prior","Property Taxes"
"2019","Public Safety","Fire","Emergency Operations","Miscellaneous Revenues","2500","2500","General Fund","General Fund","Misc Non-Revenue Receipts","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","0","0","Convention and Tourism","Convention and Tourism","Box Office Charges","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","2253600","2253600","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Planning, Zoning, and Economic Development","Economic Development","Economic Development Management","Other Contributions","77370","77370","KCATA Sales Tax","KCATA Sales Tax","Cont-TIF Shoal Crk Prkwy Plan","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","-77200","-77200","General Fund","General Fund","Natural Gas Co-Emerg Contra","Utility Taxes - Contra"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","STP3301-BRTrail Swope-Brush Cr","Federal Grants"
"2019","Finance and Governance","General Services","Facilities Management","Rental Income","0","0","Sewer","Sewer","Wharf & Rvr Front Prop Rentals","Rental Income"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Rental Income","0","0","Brownfields Revolving","Brownfields Revolving","Program Income","Rental Income"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Rental Income","0","0","Brownfields Revolving","Brownfields Revolving","Program Income","Rental Income"
"2019","Public Safety","Fire","Emergency Operations","Service Charges-General Gov't","186226","186226","Fire Sales Tax","Fire Sales Tax","Reimb Fire Protect Serv-KCI","Service Charges-General Gov't"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","1640300","1640300","KC Airports","KC Airports","Apron Lease - Sig","KCI Airport"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","7852","7852","Development Services","Development Services","Periodic & Reinspection","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","55000","55000","Golf Operations","Golf Operations","Restaurant-Hodge Pk","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","18301","18301","STIF Midtown","STIF Midtown","Interest On Investments","Interest"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","17000","17000","Parks and Recreation","Parks and Recreation","Comm Ctr Rental","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","0","0","STIF Valentine","STIF Valentine","Valentine Net Operating Inc","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","1100","1100","Health Levy","Health Levy","Adult Immunization Medicaid","Service Charges-Health"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Other Contributions","6000","6000","General Fund","General Fund","Recycling Sponsorships","Other Contributions"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Licenses & Permits","84880","84880","Development Services","Development Services","Contractors Licenses","Licenses & Permits"
"2019","Public Safety","Municipal Court","Municipal Court Revenues","Fines & Forfeitures","256742","256742","Inmate Security","Inmate Security","Traffic Fines-Court Costs","Fines & Forfeitures"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","47714","47714","Golf Operations","Golf Operations","Pro Shop Sales & Rent-Blue Rvr","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","577000","577000","KC Airports","KC Airports","Transportation â€“ Concession","KCI Airport"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","781450","781450","Development Services","Development Services","Permit Review Fee","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","69000","69000","Golf Operations","Golf Operations","Golf Cart Rent-Blue River","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","84000","84000","Parks and Recreation","Parks and Recreation","Comm Ctr Services","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","0","0","STIF Uptown","STIF Uptown","Natural Gas Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","460235","460235","Governmental Grants Fund","Governmental Grants Fund","03 AIDS Counseling & Testing","State Grants"
"2019","Public Safety","Fire","Emergency Operations","Service Charges-Health","30000","30000","General Fund","General Fund","Medical Records","Service Charges-Health"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","25000","25000","General Fund","General Fund","Dance Hall Permits","Licenses & Permits"
"2019","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Miscellaneous Revenues","0","0","General Fund","General Fund","Employees Jury & Witness Fees","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Service Charges-General Gov't","4054309","4054309","General Fund","General Fund","Adm Service Fees-Water Dept","Service Charges-General Gov't"
"2019","Public Safety","Fire","Fire Revenues","State Grants","2000000","2000000","General Fund","General Fund","State Grants C-290589-03","State Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax","83600000","83600000","Capital Improvements","Capital Improvements","Sales Tax","Sales Tax"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes","110000","110000","General Fund","General Fund","Hotel/Motel Tax","Convention & Tourism Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Rental Income","160345","160345","Community Development Funds","Community Development Funds","Program Income","Rental Income"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Miscellaneous Revenues","0","0","Capital Improvements","Capital Improvements","Reimbursmnt-KC Port Authority","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Rental Income","0","0","Downtown Arena Project Fund","Downtown Arena Project Fund","Arena User Fees","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","4000","4000","Health Levy","Health Levy","Medicaid","Service Charges-Health"
"2019","Public Safety","Municipal Court","Court Operations","Service Charges-Public Safety","0","0","Inmate Security","Inmate Security","Probation Fees","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Other Contributions","0","0","General Fund","General Fund","Recycling Sponsorships","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","STIF Tower-909 Walnut","STIF Tower-909 Walnut","Interest On Investments","Interest"
"2019","Public Safety","Municipal Court","Court Operations","Fines & Forfeitures","71545","71545","General Fund","General Fund","Mun Crt Diversion Program Fee","Fines & Forfeitures"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","7825605","7825605","Community Development Funds","Community Development Funds","Community Dev Grant","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","851107","851107","Health Levy","Health Levy","Rr & Util Tax Pers Prop-Curr","Property Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Other Contributions","0","0","General Fund","General Fund","Contr from Arena","Other Contributions"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Miscellaneous Revenues","0","0","KC Airports","KC Airports","Misc Non-Revenue Receipts","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","19667","19667","Governmental Grants Fund","Governmental Grants Fund","06 Children Special Needs","State Grants"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","37609","37609","Water","Water","Cass Co #10 Cap Repayment","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Cultural Facilities","Miscellaneous Revenues","0","0","Museum","Museum","Miscellaneous Income","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Cultural Facilities","Service Charges-Parks & Rec","24000","24000","General Fund","General Fund","Bruce R Watkins Center Rentals","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","0","0","Parks and Recreation","Parks and Recreation","Aquatics-Swimming","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","0","0","Parks and Recreation","Parks and Recreation","Aquatics-Swimming","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","135231","135231","Parks and Recreation","Parks and Recreation","Ice Rink Admissions","Service Charges-Parks & Rec"
"2019","Finance and Governance","General Services","Facilities Management","KCI Airport","200000","200000","KC Airports","KC Airports","Prop Rent-NonAviation-Ground","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","222500","222500","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Power and Light Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Home Visiting Blocks of MO","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Home Visiting Blocks of MO","Federal Grants"
"2019","Transportation and Infrastructure","Public Works","Street Lighting","Service Charges-General Gov't","40000","40000","Street Maintenance","Street Maintenance","Pole Attachment Fees","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","270000","270000","General Fund","General Fund","Pet Licenses/Permits","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","457800","457800","KC Airports","KC Airports","Fuel Sales","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","STIF HOK Sport Garage","STIF HOK Sport Garage","Interest On Investments","Interest"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Licenses & Permits","31500","31500","Street Maintenance","Street Maintenance","Safety & Loading Zone Permits","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","97300","97300","KC Airports","KC Airports","Landing Fees - CX - NonSig","KCI Airport"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","1696369","1696369","Parking Garage","Parking Garage","Rental From Parking Concession","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Local Use Tax - Contra","11500","11500","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Local Use Tax - Contra","Local Use Tax - Contra"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-General Gov't","0","0","Arterial Street Impact Fee","Arterial Street Impact Fee","Birmingham Devel Impact Fee","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","1500","1500","STIF HOK Sport Garage","STIF HOK Sport Garage","Earnings Tax Profit-Contra","Earnings Tax - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","Other Contributions","0","0","Economic Development","Economic Development","Contribution From Edc/Lcra","Other Contributions"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Licenses & Permits","1400","1400","Street Maintenance","Street Maintenance","Parade Permits","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","188718","188718","Governmental Grants Fund","Governmental Grants Fund","Cities Readiness Initiative","Federal Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Service Charges-Sewer","0","0","Capital Improvements","Capital Improvements","Capital Contr-Port Authority","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Other Contributions","9500","9500","Parks and Recreation","Parks and Recreation","Contr For J L Loose Memr Grdn","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Special Assessments","154800","154800","STIF Hotel President","STIF Hotel President","Collections From Assessments","Special Assessments"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-General Gov't","535000","535000","Sewer","Sewer","HHW Outreach Activity","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","HOPWA/Violence Against Woman","Federal Grants"
"2019","Finance and Governance","Human Resources","Retirement","Miscellaneous Revenues","522855","522855","General Fund","General Fund","Misc Non-Revenue Receipts","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Rental Income","0","0","Strategic Neighborhoods","Strategic Neighborhoods","Loan Repayment Account","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","50000","50000","Golf Operations","Golf Operations","Pro Shop Sales & Rent-Hodgepk","Service Charges-Parks & Rec"
"2019","Finance and Governance","General Services","Administration","Rental Income","41000","41000","Strategic Neighborhoods","Strategic Neighborhoods","Municipal Farm Lease Payments","Rental Income"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","CMAQ Bicycle Routes Project","Federal Grants"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","CMAQ Bicycle Routes Project","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","0","0","Health Levy","Health Levy","Immunizations","Service Charges-Health"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","11250","11250","Parks and Recreation","Parks and Recreation","Sports-Meet/Torn Etc","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","0","0","General Fund","General Fund","Trash Receptacle Program","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","0","0","STIF Uptown","STIF Uptown","Telephone Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","115000","115000","Health Levy","Health Levy","Adult Immunization Fees","Service Charges-Health"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","450230","450230","Sewer","Sewer","Weatherby Lk Sewer Serv Chrgs","Service Charges-Sewer"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-General Gov't","0","0","Arterial Street Impact Fee","Arterial Street Impact Fee","Airport Devel Impact Fee","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","0","0","STIF Uptown","STIF Uptown","Earnings Tax Profit-Contra","Earnings Tax - Contra"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","MKC-Other Grants","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","10000","10000","General Fund","General Fund","Informal Disposition","Licenses & Permits"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","29200","29200","STIF Brush Creek-Blue Pkwy Town Center","STIF Brush Creek-Blue Pkwy Town Center","Earnings Tax W/H-Contra","Earnings Tax - Contra"
"2019","Public Safety","Municipal Court","Municipal Court Revenues","Fines & Forfeitures","0","0","Inmate Security","Inmate Security","Mun Crt Specialty Court Fee","Fines & Forfeitures"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Water","50000","50000","Water","Water","Water Maint Serv Reimb","Service Charges-Water"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","92500","92500","Health Levy","Health Levy","Medicaid","Service Charges-Health"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","3849","3849","Parks and Recreation","Parks and Recreation","Comm Ctr Sports","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","126879","126879","Governmental Grants Fund","Governmental Grants Fund","Rand-Addressing HIV Care","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Interest","68443","68443","Liberty Memorial Trust Fund","Liberty Memorial Trust Fund","Other Interest","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","0","0","General Fund","General Fund","Wireless Telephone Co-Emerg","Utility Taxes"
"2019","Public Safety","Fire","Emergency Operations","Other Contributions","52734","52734","General Fund","General Fund","Reimb Fire Prot-Platte Woods","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","2700","2700","STIF HOK Sport Garage","STIF HOK Sport Garage","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Public Safety","Municipal Court","Municipal Court Revenues","Service Charges-General Gov't","0","0","Inmate Security","Inmate Security","Bio Metric Service Fee","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","STIF Valentine","STIF Valentine","Interest On Investments","Interest"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","7652","7652","Parks and Recreation","Parks and Recreation","Comm Ctr Services","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","2303951","2303951","General Fund","General Fund","Interest On Investments","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","1046839","1046839","Museum","Museum","Real Property Taxes-Current","Property Taxes"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Redevelopment Services","Service Charges-General Gov't","0","0","General Fund","General Fund","Fees - Land Trust","Service Charges-General Gov't"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Licenses & Permits","1500000","1500000","Street Maintenance","Street Maintenance","Street Excavation Permits","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Land Bank","Service Charges-General Gov't","15000","15000","Land Bank","Land Bank","Miscellaneous Service Fees","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","7506","7506","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","37738","37738","Water","Water","Dearborn Cap Repymnt","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","970000","970000","Golf Operations","Golf Operations","Green Fees-Shoal Creek","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","4416839","4416839","Ryan White HIV/AIDS","Ryan White HIV/AIDS","04 Ryan White Title I Emerg.Gr","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Fines & Forfeitures","60000","60000","General Fund","General Fund","Code Enforcement Fines - Dem","Fines & Forfeitures"
