"fiscal_year","source_of_report","program","number_of_reporters"
"2015","Anonymous","RCI","90"
"2015","Blank/Unknown","RCI","1"
"2015","Community Agency","RCI","687"
"2015","DFPS Staff","RCI","1011"
"2015","Day Care Provider","RCI","48"
"2015","Financial Institution","RCI","1"
"2015","Friend-Neighbor","RCI","39"
"2015","Institutional Personnel","RCI","231"
"2015","Law Enforcement","RCI","184"
"2015","Legal/Court","RCI","114"
"2015","Medical Personnel","RCI","638"
"2015","Other","RCI","328"
"2015","Parent","RCI","222"
"2015","Parent's Paramour","RCI","1"
"2015","Provider","RCI","102"
"2015","Relative","RCI","90"
"2015","Religious Entity","RCI","5"
"2015","School","RCI","390"
"2015","State Agency","RCI","23"
"2015","Unrelated Home Member","RCI","11"
"2015","Victim","RCI","62"
"2015","All Sources","RCI","4566"
"2015","All Sources","All Programs","410771"
"2014","24 Hour Care Provider","APS","25"
"2014","Anonymous","APS","3017"
"2014","Blank/Unknown","APS","67"
"2014","Community Agency","APS","13885"
"2014","DFPS Staff","APS","1724"
"2014","Day Care Provider","APS","181"
"2014","Financial Institution","APS","2310"
"2014","Friend-Neighbor","APS","6150"
"2014","Institutional Personnel","APS","343"
"2014","Law Enforcement","APS","5209"
"2014","Legal/Court","APS","426"
"2014","Medical Personnel","APS","22171"
"2014","Other","APS","7627"
"2014","Parent","APS","1372"
"2014","Parent's Paramour","APS","26"
"2014","Provider","APS","7210"
"2014","Relative","APS","17449"
"2014","Religious Entity","APS","178"
"2014","School","APS","615"
"2014","State Agency","APS","845"
"2014","Unrelated Home Member","APS","431"
"2014","Victim","APS","13134"
"2014","All Sources","APS","104395"
"2014","24 Hour Care Provider","API","11"
"2014","Anonymous","API","702"
"2014","Blank/Unknown","API","17"
"2014","Community Agency","API","1062"
"2014","DFPS Staff","API","393"
"2014","Day Care Provider","API","23"
"2014","Financial Institution","API","4"
"2014","Friend-Neighbor","API","99"
"2014","Institutional Personnel","API","3457"
"2014","Law Enforcement","API","142"
"2014","Legal/Court","API","110"
"2014","Medical Personnel","API","1377"
"2014","Other","API","829"
"2014","Parent","API","356"
"2014","Provider","API","366"
"2014","Relative","API","226"
"2014","Religious Entity","API","3"
"2014","School","API","135"
"2014","State Agency","API","223"
"2014","Unrelated Home Member","API","141"
"2014","Victim","API","2856"
"2014","All Sources","API","12532"
"2014","24 Hour Care Provider","CPS","506"
"2014","Anonymous","CPS","13850"
"2014","Blank/Unknown","CPS","176"
"2014","Community Agency","CPS","8979"
"2014","DFPS Staff","CPS","7581"
"2014","Day Care Provider","CPS","1955"
"2014","Financial Institution","CPS","24"
"2014","Friend-Neighbor","CPS","13516"
"2014","Institutional Personnel","CPS","339"
"2014","Law Enforcement","CPS","36458"
"2014","Legal/Court","CPS","4028"
"2014","Medical Personnel","CPS","45642"
"2014","Other","CPS","18968"
"2014","Parent","CPS","23962"
"2014","Parent's Paramour","CPS","1225"
"2014","Provider","CPS","1010"
"2014","Relative","CPS","28501"
"2014","Religious Entity","CPS","475"
"2014","School","CPS","46789"
"2014","State Agency","CPS","1660"
"2014","Unrelated Home Member","CPS","608"
"2014","Victim","CPS","973"
"2014","All Sources","CPS","257225"
"2014","24 Hour Care Provider","DCI","16"
"2014","Anonymous","DCI","153"
"2014","Blank/Unknown","DCI","3"
"2014","Community Agency","DCI","92"
"2014","DFPS Staff","DCI","287"
"2014","Day Care Provider","DCI","603"
"2014","Friend-Neighbor","DCI","75"
"2014","Institutional Personnel","DCI","1"
"2014","Law Enforcement","DCI","352"
"2014","Legal/Court","DCI","13"
"2014","Medical Personnel","DCI","391"
"2014","Other","DCI","301"
"2014","Parent","DCI","802"
"2014","Parent's Paramour","DCI","9"
"2014","Provider","DCI","12"
"2014","Relative","DCI","132"
"2014","Religious Entity","DCI","2"
"2014","School","DCI","89"
"2014","State Agency","DCI","11"
"2014","Unrelated Home Member","DCI","2"
"2014","Victim","DCI","5"
"2014","All Sources","DCI","3351"
"2014","24 Hour Care Provider","RCI","267"
"2014","Anonymous","RCI","85"
"2014","Blank/Unknown","RCI","7"
"2014","Community Agency","RCI","574"
"2014","DFPS Staff","RCI","912"
"2014","Day Care Provider","RCI","44"
"2014","Financial Institution","RCI","2"
"2014","Friend-Neighbor","RCI","38"
"2014","Institutional Personnel","RCI","207"
"2014","Law Enforcement","RCI","159"
"2014","Legal/Court","RCI","100"
"2014","Medical Personnel","RCI","561"
"2014","Other","RCI","320"
"2014","Parent","RCI","189"
"2014","Parent's Paramour","RCI","2"
"2014","Provider","RCI","80"
"2014","Relative","RCI","73"
"2014","Religious Entity","RCI","2"
"2014","School","RCI","369"
"2014","State Agency","RCI","20"
"2014","Unrelated Home Member","RCI","10"
"2014","Victim","RCI","44"
"2014","All Sources","RCI","4065"
"2014","All Sources","All Programs","381568"
"2013","24 Hour Care Provider","APS","16"
"2013","Anonymous","APS","2377"
"2013","Blank/Unknown","APS","46"
"2013","Community Agency","APS","11591"
"2013","DFPS Staff","APS","1837"
"2013","Day Care Provider","APS","114"
"2013","Financial Institution","APS","1575"
"2013","Friend-Neighbor","APS","5352"
"2013","Institutional Personnel","APS","295"
"2013","Law Enforcement","APS","4375"
"2013","Legal/Court","APS","378"
"2013","Medical Personnel","APS","19312"
"2013","Other","APS","6535"
"2013","Parent","APS","1047"
"2013","Parent's Paramour","APS","22"
"2013","Provider","APS","6501"
"2013","Relative","APS","15170"
"2013","Religious Entity","APS","139"
"2013","School","APS","500"
"2013","State Agency","APS","653"
"2013","Unrelated Home Member","APS","302"
"2013","Victim","APS","10220"
"2013","All Sources","APS","88357"
"2013","24 Hour Care Provider","API","8"
"2013","Anonymous","API","643"
"2013","Blank/Unknown","API","15"
"2013","Community Agency","API","1054"
"2013","DFPS Staff","API","343"
"2013","Day Care Provider","API","39"
"2013","Financial Institution","API","3"
"2013","Friend-Neighbor","API","74"
"2013","Institutional Personnel","API","3344"
"2013","Law Enforcement","API","137"
"2013","Legal/Court","API","72"
"2013","Medical Personnel","API","1380"
"2013","Other","API","835"
"2013","Parent","API","337"
"2013","Parent's Paramour","API","2"
"2013","Provider","API","340"
"2013","Relative","API","206"
"2013","Religious Entity","API","5"
"2013","School","API","146"
"2013","State Agency","API","201"
"2013","Unrelated Home Member","API","105"
"2013","Victim","API","2583"
"2013","All Sources","API","11872"
"2013","24 Hour Care Provider","CPS","454"
"2013","Anonymous","CPS","12195"
"2013","Blank/Unknown","CPS","142"
"2013","Community Agency","CPS","8136"
"2013","DFPS Staff","CPS","6927"
"2013","Day Care Provider","CPS","1907"
"2013","Financial Institution","CPS","13"
"2013","Friend-Neighbor","CPS","13098"
"2013","Institutional Personnel","CPS","296"
"2013","Law Enforcement","CPS","33540"
"2013","Legal/Court","CPS","3367"
"2013","Medical Personnel","CPS","40842"
"2013","Other","CPS","16901"
"2013","Parent","CPS","21814"
"2013","Parent's Paramour","CPS","1101"
"2013","Provider","CPS","987"
"2013","Relative","CPS","26015"
"2013","Religious Entity","CPS","495"
"2013","School","CPS","40901"
