Agency Number,Agency Name,Solicitation Number,Category,Quantity,"Unit of Sale (Each, Lot, Package, etc.)",Description,Estimated Worth,Contact Name,Contact Phone,Contact Email,Comments,Specs and Drawings,Agency Terms and Conditions,Solicitation Document
802,Texas Parks and Wildlife Department,890-64-42469,Commodities,1,Each,Pipe Inspection Camera,4000.00,Kelly Hamby,512-389-8336,kelly.hamby@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/4eca8523-368e-40bf-b719-d17526b86c10?filename=890-64_42469_SP.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,35,BOX,"Procell Alkaline Batteries, AA and AAA",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/8238f8f5-a85f-41ad-8388-89cc5f46abed?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,15,EA,"Portable Minidesk Calculator, 8-Digit LCD",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/3f2dd3ec-0b66-4e12-8d67-fedfc53dad4c?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,35,DOZ,"Comfort Grip Mechanical Pencil, .5mm and .7mm, Black, Dozen",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/eb12dcc2-9ad3-4d4e-a101-7544d78ea193?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,5,PKG,"Wausau Paper Exact Index Card Stock, 90 lb., 8-1/2 x 11, White, 250 Sheets/Pkg",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/61e8253c-e031-40a4-8060-767fd8e128d1?filename=IFB+303-8-01280+Office+Supplies.pdf
734,Lamar University,734-18-0001,Commodities,1000,ea,T-Shirts with Department Logo,,Tabitha Evans,409.880.8387,trlewis@lamar.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/6e36345a-895b-4dfe-b022-55c04ea4ff26?filename=734-18-0001_Promotional+Items_Tshirts.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,5,EA,Canon MP25DV-3 Printing Calculator,,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/f9d2d183-4ea5-4f8b-bfcd-40ec2ec2c18a?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,15,EA,Marker Board Eraser,,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/09597193-4def-418d-ad9e-1dcf2bf2fca1?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,3,PKG,"Adding Machine/Calculator Roll, 16 lb., 2-1/4"" x 130 ft., White, 12/PKG",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/30fa58e4-27c6-42bf-8618-fc183042e9c3?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,50,BOX,"File Pocket, 5-1/4"" Expansion, Straight Tab, Letter, Redrope/Manila, 10/Box",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/2cf29b68-9616-4107-a69a-f5cc79de8986?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,100,EA,Padfolios,,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/ac0c2da3-d3c5-408d-8f69-0ae0dbff2c93?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,20,PKG,"Paper Clips, No. 1 and Jumbo",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/703a5779-2108-4fa2-8282-b68cd5cf0dc2?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,75,DOZ,"Profile Elite Retractable Ballpoint Pen, Black and Blue Ink, Bold, Dozen",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/59673654-e37d-4cca-be71-7c4b75df11fd?filename=IFB+303-8-01280+Office+Supplies.pdf
303,Texas Facilities Commission,303-8-01280,Commodities,5,PKG,"ImageLast Laminating Pouches with UV Protection, 5mil, 11-1/2 x 9, 100/PKG",,Rico Gamino,512-936-3567,rico.gamino@tfc.state.tx.us,,,,https://data.texas.gov/views/hxv2-6hcs/files/ff1b1e51-30a0-4ae9-93fc-5c1ef442d123?filename=IFB+303-8-01280+Office+Supplies.pdf
734,Lamar University,734-18-0003,Commodities,1500,ea,Reusable Shopping Bag,,Tabitha Evans,409.880.8387,trlewis@lamar.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/21655cb1-7d11-49e7-87cb-ce60404fcbe9?filename=734-18-0003_Promotional+Items_Reusable_Shopping_Bags.pdf
734,Lamar University,734-18-0004,Commodities,3,ea,Solar Umbrellas and Tables,,Tabitha Evans,409.880.8387,trlewis@lamar.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/480e73c0-add2-405f-99e0-81396827125e?filename=734-18-0004_Solar+Umbrellas_Tables.pdf
320,Texas Workforce Commission,14654L,Commodities,5,BOX,"OIC Binder Clips, Medium, 1-1/4"", Black, 12/BX",2.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #99050,,,
320,Texas Workforce Commission,14295A,Commodities,6,CASE,"Clorox Disinfecting Wipes, 6/CS",43.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #CLO15949CT,,https://data.texas.gov/views/hxv2-6hcs/files/d3ede3f5-8339-4cd1-ad7e-27f78dd4f3ae?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14295B,Commodities,6,PACKAGE,Liquid Paper All Purpose Correction Pen,6.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"7 ml, 2/PK, MFG #576025 or 5622432",,https://data.texas.gov/views/hxv2-6hcs/files/3943eea3-fbdf-40e0-9bc7-e08b63239a67?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
764,Texas A&M University-Texarkana,203540-0039,Commodities,18,cases,"copy paper, white 8.5 x 11, 20lb., poster paper, 11 x 17, 80 #",,Cynthia Henderson,903-223-3053,cynthia.henderson@tamut.edu,All freight charges must be included with bid pricing submitted,https://data.texas.gov/views/hxv2-6hcs/files/0fc117b4-e3b0-48bd-a716-fa41a825609e?filename=ACCESS.2018.CoverPage.041618.doc,https://data.texas.gov/views/hxv2-6hcs/files/b83c1c0c-8c14-45cd-b554-975513478f08?filename=Terms+and+Conditions+of+Purchase.TAMUT.FY2018.pdf,https://data.texas.gov/views/hxv2-6hcs/files/5bc7e618-c124-4eb8-98cc-8fbe1ffc3bda?filename=764-18-203540-0039.copy+paper.pdf
764,Texas A&M University-Texarkana,764-18-203600-A027,Commodities,27,cases / reams,"copy paper, ledger paper, paper rolls",,Cynthia Henderson,903-223-3053,cynthia.henderson@tamut.edu,All freight charges must be included with bid pricing submitted,https://data.texas.gov/views/hxv2-6hcs/files/6e93c37e-409d-4545-9df7-8d33e10fbf29?filename=ACCESS.2018.CoverPage.041618.doc,https://data.texas.gov/views/hxv2-6hcs/files/2ed54e3b-5a2d-43f4-930f-3b9053eca98c?filename=Terms+and+Conditions+of+Purchase.TAMUT.FY2018.pdf,https://data.texas.gov/views/hxv2-6hcs/files/75964ad1-5a39-47c7-b440-476103045e61?filename=764-18-203600-A027.copy.roll.paper.pdf
320,Texas Workforce Commission,14295C,Commodities,10,EACH,"BIC Wite-Out EZ Correction Tape, 1/6"" x 472"",",1.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #BICWOTAP1SGK,,https://data.texas.gov/views/hxv2-6hcs/files/cffdd655-1127-4d1b-a638-309bda2e58b6?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14295D,Commodities,5,EACH,"Post-it Notes Cube, 3"" x 3"", Blue Ice, 490 sheets",6.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #MMM2056PP,,https://data.texas.gov/views/hxv2-6hcs/files/6dec3e9b-e440-4d92-a094-138ca09b049e?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14295E,Commodities,6,PACKAGE,Avery Permanent Glue Stick,1.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #191,,https://data.texas.gov/views/hxv2-6hcs/files/fb352106-c98c-4aee-ae33-e5e55549ab47?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
764,Texas A&M University-Texarkana,764-18-203677-B501,Commodities,5,each,Toner Cartridges,,Cynthia Henderson,903-223-3053,cynthia.henderson@tamut.edu,All freight charges must be included with bid pricing submitted,https://data.texas.gov/views/hxv2-6hcs/files/3be9f96b-917e-48bc-a40c-257b4c248193?filename=ACCESS.2018.CoverPage.041618.doc,https://data.texas.gov/views/hxv2-6hcs/files/6e8c01ce-7844-4538-bbf7-05fe3520b0aa?filename=Terms+and+Conditions+of+Purchase.TAMUT.FY2018.pdf,https://data.texas.gov/views/hxv2-6hcs/files/25737104-8491-4679-b90f-8e63af8154fe?filename=764-18-203677-B501_toner.pdf
320,Texas Workforce Commission,14025I,Commodities,1,PACKAGE,Brother P-Touch TZe Standard Adhesive Laminated,1.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Labeling Tapes, 1/2w, Black on White, 2/PK, MFG #BRTTZE2312PK",,https://data.texas.gov/views/hxv2-6hcs/files/4a35264c-41b1-45a4-9382-c91df47830c0?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
764,Texas A&M University-Texarkana,764-18-203600-B027,Commodities,2,packages,laser address labels,,Cynthia Henderson,903-223-3053,cynthia.henderson@tamut.edu,All freight charges must be included with bid pricing submitted,https://data.texas.gov/views/hxv2-6hcs/files/a58d9c19-de19-445d-9b91-0e50a6111c51?filename=ACCESS.2018.CoverPage.041618.doc,https://data.texas.gov/views/hxv2-6hcs/files/65ceb1d5-ff8b-4cf2-9c78-37cec3579ce6?filename=Terms+and+Conditions+of+Purchase.TAMUT.FY2018.pdf,https://data.texas.gov/views/hxv2-6hcs/files/4ca00ceb-1aec-4bb7-bc9d-583b8aa7537b?filename=764-18-203600-B027_labels.pdf
753,Texas State University,01,Commodities,,,Copy/Fine Paper,,Dan Alden,5122452521,purchasing@txstate.edu,"Truck Load of Copy paper 8 1/2 x 11 inch, white, 20lb bond, 840 cartons, 5000 sheets per carton.  Delivery in hand estimated date 6/1/18. Final delivery date will be provided one month prior to date. Shipping price, if applicable, should be included in the quote.  Customer has loading dock.",https://data.texas.gov/views/hxv2-6hcs/files/24c110fa-a92f-4c3b-b885-d540e71405a3?filename=Copy+Paper+Description.docx,https://data.texas.gov/views/hxv2-6hcs/files/cc81aec2-081d-4733-9c1f-2e62b23f6307?filename=General+Terms+and+Conditions.docx,https://data.texas.gov/views/hxv2-6hcs/files/0d2958e9-7a6a-443a-b0cc-83aae22a5660?filename=Execution+of+offer.docx
764,Texas A&M University-Texarkana,764-18-203600-C027,Commodities,4,each,Toner Cartridges,,Cynthia Henderson,903-223-3053,cynthia.henderson@tamut.edu,All freight charges must be included with bid pricing submitted,https://data.texas.gov/views/hxv2-6hcs/files/8b0448c4-13d6-4307-8c02-ef5fcc78288f?filename=ACCESS.2018.CoverPage.041618.doc,https://data.texas.gov/views/hxv2-6hcs/files/0b7a843a-cdb1-44e1-8d6e-12a621c07bfb?filename=Terms+and+Conditions+of+Purchase.TAMUT.FY2018.pdf,https://data.texas.gov/views/hxv2-6hcs/files/dc8f157a-0b61-4077-91b8-d7411239ba0d?filename=764-18-203600-C027_toner.pdf
734,Lamar University,734-18-0013,Commodities,3,doz,Papermate Inkjoy Gel Pens,,Tabitha Evans,409.880.8387,trlewis@lamar.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/3f2b0f0b-03ff-4b05-9cf1-86bab5900242?filename=734-18-0013_Office_Supplies_MarketingCommunications.docx
320,Texas Workforce Commission,14025A,Commodities,6,EACH,"Award Plaque, 8.5"" x 11"" Document, Clear Cover,",15.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Walnut Grain, MFG #08065571005",,https://data.texas.gov/views/hxv2-6hcs/files/7b62cc7a-2414-4cbd-a401-332660585b0f?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025B,Commodities,8,CARTON,"Paper, Bond, Recycled, Premium No. 4,",37.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"20 lb. Letter, MFG #64521210100-1",,https://data.texas.gov/views/hxv2-6hcs/files/7a838324-90ae-4e4f-8ae1-ff5c372e41d1?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025C,Commodities,10,EACH,"Xerox Multipurpose Copy Paper, 8-1/2"" x 11"",",11.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Yellow, 50 Sheets/RM, MFG #345660",,https://data.texas.gov/views/hxv2-6hcs/files/de03a9cf-c80f-404b-9ca9-a665098b8c88?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025D,Commodities,10,EACH,"Super Sani-Cloth Disinfecting Wipes, Large,",8.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"160 Wipes/CTN, MFG #Q55172",,https://data.texas.gov/views/hxv2-6hcs/files/2e50fb50-cfc3-4a17-a901-cfd3e5b9c13d?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025E,Commodities,8,EACH,"Correction Tape, White, Single Line, ",2.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Sideways Delivery, MFG #61529311005",,https://data.texas.gov/views/hxv2-6hcs/files/3a92ac36-3349-45c7-aa7a-bcd41cc7cba9?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025F,Commodities,5,DOZEN,"Paper Mate FlexGrip Elite Ballpoint Pen,",7.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Retractable, Med. Pt., Blue, MFG #PAP85581",,https://data.texas.gov/views/hxv2-6hcs/files/23228922-2cfe-4c21-8535-d9e7c5c0f0a7?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025G,Commodities,5,DOZEN,"Paper Mate FlexGrip Elite Ballpoint Pen,",7.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Retractable, Med. Pt., Black, MFG #PAP85580",,https://data.texas.gov/views/hxv2-6hcs/files/550d6853-c711-4198-8431-c6def88c5c3c?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025H,Commodities,2,DOZEN,"TOPS Green Tint Steno Books, 70 Sheets, Wire Bound,",1.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Ruled, 6"" x 9"", Green Paper, MFG #TOP8011",,https://data.texas.gov/views/hxv2-6hcs/files/f70f8014-53c3-4661-82d6-9f0504215b71?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025J,Commodities,5,PACKAGE,"Post-it Flags, 1"" x 1-7/10"", Red, 2 Pads/PKG, ",6.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #7510013152020,,https://data.texas.gov/views/hxv2-6hcs/files/2a3c3238-1234-4ae2-ab92-b7e0f9d58b66?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025K,Commodities,6,EACH,"Self-Stick Flag, 1 X 1.75, Green, Ability One",3.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #7510013152020,,https://data.texas.gov/views/hxv2-6hcs/files/ae683a55-7b0d-4346-8cd5-d54cb10017b5?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14025L,Commodities,8,EACH,"Lysol Disinfectant Spray, Professional Waterfall Scent, ",7.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"19 oz., MFG #REC76075",,https://data.texas.gov/views/hxv2-6hcs/files/697d4693-ae04-4293-b1f8-1569fc19b0cf?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
802,Texas Parks and Wildlife Department,802-18-42396,Commodities,9,each,Printer Toner Cartridges,372.00,Kelly Hamby,512-389-8336,kelly.hamby@tpwd.texas.gov,Re-manufactured items not acceptable,,,https://data.texas.gov/views/hxv2-6hcs/files/e94822a0-bdfd-4286-8dad-48beb9d0262f?filename=207-72_42396_SP.pdf
761,Texas A&M International University,761-18-011,Commodities,15,,Apple iPads (32GB),,Annie Gutierrez,,ann.gutierrez@tamiu.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/d8fca471-5bbc-4ffb-8bac-d777643e252c?filename=761-18-011+iPads.pdf
320,Texas Workforce Commission,14654A,Commodities,5,CARTON,"Paper, Bond,, Recycled, Premium No. 4, 20 lb.",37.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Letter, MFG #64521210100-1",,https://data.texas.gov/views/hxv2-6hcs/files/0b68708b-413d-41d7-9e2d-4e8897167fbf?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654B,Commodities,2,EACH,"Ballpoint Pen, Stick, Med. Pt., Blue, 12/PK",7.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #BICMS11BE,,https://data.texas.gov/views/hxv2-6hcs/files/09b8fa43-4622-4807-919b-8414194deec1?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654C,Commodities,2,EACH,"Ballpoint Pen, Stick, Med. Pt., Black, 12/PK",4.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #BICGSMG11BK,,https://data.texas.gov/views/hxv2-6hcs/files/2cbdf52b-9abd-4b07-83d5-fd6647e94023?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654D,Commodities,4,PACK,"Standard Page Flags in Dispenser, Purple,",4.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"100 Flags/Dispenser, MFG #MMM680-PU2",,https://data.texas.gov/views/hxv2-6hcs/files/7874bb10-338a-4e20-89b8-189c39c9e272?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
 802,Texas Parks and Wildlife Department,802-18-42404SP,Commodities,3,each,Printer Toner Cartridges,312.00,Kelly Hamby,512-389-8336,kelly.hamby@tpwd.texas.gov,Re-manufactured items not acceptable,,,https://data.texas.gov/views/hxv2-6hcs/files/db72a9d7-f104-4144-924c-05aaad2087e5?filename=207-72_42404_SP.pdf
320,Texas Workforce Commission,14654E,Commodities,4,PACK,"Standard Page Flags in Dispenser, Blue,",4.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"100 Flags/Dispenser, MFG #MMM680-BE2",,https://data.texas.gov/views/hxv2-6hcs/files/986d9a31-a8e8-4f44-8d1e-87e715a8ac84?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654F,Commodities,4,PACK,"Standard Page Flags in Dispenser, Green,",4.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"100 Flags/Dispenser, MFG #MMM680-GN2",,https://data.texas.gov/views/hxv2-6hcs/files/a41e2541-bb7d-47e7-b781-1a414832c178?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654G,Commodities,4,PACK,"Standard Page Flags in Dispenser, Yellow, ",4.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"100 Flags/Dispenser, MFG #MMM680-YW2",,https://data.texas.gov/views/hxv2-6hcs/files/5212175a-9dd3-451d-b316-fdf27c41b7e6?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654H,Commodities,4,PACK,"Standard Page Flags in Dispenser, Red,",4.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"100 Flags/Dispenser, MFG #MMM680-RD2",,https://data.texas.gov/views/hxv2-6hcs/files/1fd95440-61b6-4d91-82db-6228d824b590?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654M,Commodities,2,EACH,"Writing Pad, 8-1/2 X 11-3/4, 12/PK",20.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #UNV20630,,https://data.texas.gov/views/hxv2-6hcs/files/7fb63b65-5052-4791-a7c7-c6974d977708?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654I,Commodities,2,PACKAGE,"Self Stick Note Pad, 3"" X 3"", Yellow",9.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #6152384000,,https://data.texas.gov/views/hxv2-6hcs/files/610d1429-80fa-402a-af35-36b0fe8720c0?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654J,Commodities,2,PACK,"Note Pad, Self Stick, 1.5"" X 2"", Yellow",4.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #61562381501,,https://data.texas.gov/views/hxv2-6hcs/files/ffe4f0d4-93f4-4782-856b-1ff24767bf21?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14654K,Commodities,2,PACK,"Binder Clip, Small, 3/4"" Wide, 144/PK",2.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #61569146553,,https://data.texas.gov/views/hxv2-6hcs/files/187b0bd8-e71f-4b79-b418-e21a68ff7c8f?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
739,Texas Tech University Health Sciences Center,739-SL7437398,Commodities,25,Each,CPU Stand,39.00,John Haynes,806-743-7390,john.g.haynes@ttuhsc.edu,,https://data.texas.gov/views/hxv2-6hcs/files/ecd6563c-15ae-436b-afc6-d4aa9e294ebe?filename=CPU+Stand+Spot+Bid.pdf,,https://data.texas.gov/views/hxv2-6hcs/files/7afc0102-231e-456b-bca9-c09758231223?filename=CPU+Stand+Spot+Bid+2018.pdf
320,Texas Workforce Commission,14654N,Commodities,2,DOZEN,"Writing Pad, Perforated, 8-1/2 X 11-3/4, Legal Ruled,",6.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"50 Sheets, Canary, 12/PK, MFG #UNV10630",,https://data.texas.gov/views/hxv2-6hcs/files/d6fd264e-b090-4fd8-b63e-ad8afb7324b2?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14572L,Commodities,2,BOX,"Quality Park Redi-Seal Catalog Envelope, 10 X 13, Brown Kraft, 100/BX, MFG #QUA4",,,,,,,,
320,Texas Workforce Commission,14753A,Commodities,50,EACH,"Fire Extinguisher Sign, MFG #NHE-7470TRI",22.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,,,https://data.texas.gov/views/hxv2-6hcs/files/1fd5289f-e276-49ed-b17c-dcaaefd39b3e?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14645A,Commodities,10,EACH,"Purell Pump Bottle, Hand Sanitizer, Green Certified,",4.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"8 oz., MFG #9691-12",,https://data.texas.gov/views/hxv2-6hcs/files/cff46262-7cf9-4c53-bf29-1a8e1811b9ad?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14645B,Commodities,8,BOX,"OIC Binder Clips, Medium, 1-1/4"", Black, 12/BX",2.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #99050,,https://data.texas.gov/views/hxv2-6hcs/files/0a1c103a-01c6-441e-afd4-247105477e06?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14645C,Commodities,4,BOX,"OIC Binder Clips, Large, 2"", Black, 12/BX",6.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #99100,,https://data.texas.gov/views/hxv2-6hcs/files/84044744-cbac-464a-8f27-06a5015298e4?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
802,Texas Parks and Wildlife Department,802-18-42381SP,Commodities,24,each,"Smart HDTV 32"" with Stand",7200.00,Kelly Hamby,512-389-8336,kelly.hamby@tpwd.texas.gov ,,,,https://data.texas.gov/views/hxv2-6hcs/files/502fcc4f-a30f-4b7f-8351-ae6aaad77e88?filename=840-62_42381_SP.pdf
320,Texas Workforce Commission,14645D,Commodities,7,CARTON,"Paper, Bond, Recycled, Premium No. 4, 20 lb, Letter",37.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,MFG #64521210100-2,,https://data.texas.gov/views/hxv2-6hcs/files/03ae4b15-6fce-4c37-9af7-78a990c568f7?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
320,Texas Workforce Commission,14645E,Commodities,20,EACH,"BIC Wite-Out EZ Correct Correction Tape, 1/16"" X 472""",1.00,Gaye Smith,(512) 936-3481,dawn.smith@twc.state.tx.us,"Pink Ribbon Dispenser, MFG #BICWOTAP1SGK",,https://data.texas.gov/views/hxv2-6hcs/files/04e03c19-2ea6-44ba-aed7-b10c0b73fbd2?filename=Terms+and+Conditions+11-1-2017+%28003%29+%28002%29.docx,
802,Texas Parks and Wildlife Department,802-18-42384SP,Commodities,4,Each,"Dell 24"" Monitor",1200.00,Kelly Hamby,512-389-8336,kelly.hamby@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/cc68b957-cdfc-48d3-835c-83c212e3db57?filename=204-60_42384_SP.pdf
764,Texas A&M University-Texarkana,764-18-203525-0006,Commodities,4,each,"Toner Cartridges, various",,Cynthia Henderson,903-223-3053,cynthia.henderson@tamut.edu,All freight charges must be included with bid pricing submitted,https://data.texas.gov/views/hxv2-6hcs/files/ee9b03d3-5628-48e8-a202-312ced7eaa05?filename=ACCESS.2018.CoverPage.041618.doc,https://data.texas.gov/views/hxv2-6hcs/files/ed1ad0ce-23ae-47cb-a11b-acfda9527fec?filename=Terms+and+Conditions+of+Purchase.TAMUT.FY2018.pdf,https://data.texas.gov/views/hxv2-6hcs/files/c1e44596-e033-45d9-949b-af413b8b61df?filename=764-18-203525-0006_toner.pdf
