"rowid","fiscal_year","fund","fund_description","project_id","project_description","dept","department_description","actuals","budget"
"2013-470-9750014-7500","2013","12","PARKING SYSTEM GROSS INCOME","9750014","SWURA HOTEL PROJECT","7500","PROJECTS PARKING","0.00","899707.00"
"2013-470-9750015-7500","2013","12","PARKING SYSTEM GROSS INCOME","9750015","GARAGE LIGHT REPLACEMENT","7500","PROJECTS PARKING","219525.00","255000.00"
"2013-480-9080014-4800","2013","12","DEVELOPMENT REVIEW ENTERPRISE","9080014","INDIAN HILLS SUBDIVISION","4800","PROJECTS DEVELOPMENT REVIEW","198738.85","198740.00"
"2014-001-9080013-4800","2014","12","GENERAL FUND","9080013","ENTERPRISE LAND MGMT SYS SFTWR","4800","PROJECTS DEVELOPMENT REVIEW","0.00","45000.00"
"2014-001-9080015-4800","2014","12","GENERAL FUND","9080015","COMPREHENSIVE PLAN UPDATE","4800","PROJECTS DEVELOPMENT REVIEW","8512.80","150000.00"
"2014-001-9090033-2200","2014","12","GENERAL FUND","9090033","STETSON RIDGE FIRE STATION 21","2200","PROJECTS FIRE","321127.00","321127.00"
"2014-001-9090038-2200","2014","12","GENERAL FUND","9090038","OEM WALDO CANYON FIRE STUDY","2200","PROJECTS FIRE","0.00","100000.00"
"2014-001-9090039-2200","2014","12","GENERAL FUND","9090039","OEM EMRCY PREPD AFTR ACTN RPT","2200","PROJECTS FIRE","41473.02","82373.00"
"2014-001-9100500-2100","2014","12","GENERAL FUND","9100500","SALARY TEMPORARY HOLDING ACCT","2100","PROJECTS POLICE","0.00","0.00"
"2014-001-9160035-1300","2014","12","GENERAL FUND","9160035","CAB RENOVATIONS","1300","PROJECTS FINANCE","392961.30","840000.00"
"2014-001-9160036-1300","2014","12","GENERAL FUND","9160036","FACILITIES ANALYSIS","1300","PROJECTS FINANCE","0.00","0.00"
"2014-001-9160037-1300","2014","12","GENERAL FUND","9160037","STORMWATER CIP OPTIMIZATION","1300","PROJECTS FINANCE","0.00","0.00"
"2014-001-9300023-3000","2014","12","GENERAL FUND","9300023","SEPTEMBER 2013 FLOOD REPAIRS","3000","PROJECTS PUBLIC WORKS","588878.90","2000000.00"
"2014-001-9310223-3100","2014","12","GENERAL FUND","9310223","SUBDIVISION DEFAULT CONSTRUCT","3100","PROJECTS CITY ENGINEERING","0.00","16646.00"
"2014-001-9310236-3100","2014","12","GENERAL FUND","9310236","SRTS HANCOCK FILLMORE","3100","PROJECTS CITY ENGINEERING","1124.17","9704.00"
"2014-001-9310242-3100","2014","12","GENERAL FUND","9310242","DETENTION PONDS 3 AND 6","3100","PROJECTS CITY ENGINEERING","0.00","0.00"
"2014-001-9310243-3100","2014","12","GENERAL FUND","9310243","NORTH SOUTH DOUGLAS CREEK","3100","PROJECTS CITY ENGINEERING","0.00","0.00"
"2014-001-9310244-3100","2014","12","GENERAL FUND","9310244","CAMP CREEK FLOOD MITIGATION","3100","PROJECTS CITY ENGINEERING","0.00","0.00"
"2014-001-9310260-3100","2014","12","GENERAL FUND","9310260","POWERS BLVD DRAINAGE REPAIRS","3100","PROJECTS CITY ENGINEERING","0.00","0.00"
"2014-001-9349065-3505","2014","12","GENERAL FUND","9349065","CO-90-X185 2010 ANNUAL FTA","3505","TRANSIT","0.00","0.00"
"2014-001-9370001-3700","2014","12","GENERAL FUND","9370001","DBPS PROJECTS","3700","PROJECTS GEN FUND STRMWTR","133645.67","181179.00"
"2014-001-9370014-3700","2014","12","GENERAL FUND","9370014","DETENTION PONDS 3 AND 6","3700","PROJECTS GEN FUND STRMWTR","1387366.32","1942318.00"
"2014-001-9370015-3700","2014","12","GENERAL FUND","9370015","NORTH SOUTH DOUGLAS CREEK","3700","PROJECTS GEN FUND STRMWTR","4408108.67","4408118.00"
"2014-001-9370016-3700","2014","12","GENERAL FUND","9370016","GM-CAMP CREEK FLOOD MITIGATION","3700","PROJECTS GEN FUND STRMWTR","1437804.96","3118768.00"
"2014-001-9370019-3700","2014","12","GENERAL FUND","9370019","POWERS BLVD DRAINAGE REPAIRS","3700","PROJECTS GEN FUND STRMWTR","0.00","500000.00"
"2014-001-9400415-5000","2014","12","GENERAL FUND","9400415","FORESTRY FIRE MITIGATION","5000","PROJECTS PARKS AND REC","509268.82","519044.00"
"2014-115-9160022-1300","2014","12","BALLFIELD CAPITAL IMPROVEMENTS","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","152.56","0.00"
"2014-115-9400132-5000","2014","12","BALLFIELD CAPITAL IMPROVEMENTS","9400132","ADULT SPORTS COMPLEX","5000","PROJECTS PARKS AND REC","100000.00","100000.00"
"2014-117-9110016-4700","2014","12","BICYCLE TAX","9110016","GM-AIR RD BIKE PED IMPR","4700","PROJECTS CITY PLANNING","-20000.00","0.00"
"2014-117-9160022-1300","2014","12","BICYCLE TAX","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","403.21","0.00"
"2014-117-9160022-3300","2014","12","BICYCLE TAX","9160022","FOR FINANCE JOURNALS","3300","PROJECTS TRAFFIC ENG","0.00","300.00"
"2014-117-9160028-1300","2014","12","BICYCLE TAX","9160028","SALES AND USE TAX REFUNDS","1300","PROJECTS FINANCE","889.64","0.00"
"2014-117-9330037-3300","2014","12","BICYCLE TAX","9330037","ON STREET BIKEWAY IMPROVEMENTS","3300","PROJECTS TRAFFIC ENG","21108.00","140000.00"
"2014-117-9330038-3300","2014","12","BICYCLE TAX","9330038","BICYCLE PARKING","3300","PROJECTS TRAFFIC ENG","8750.00","8750.00"
"2014-117-9330040-3300","2014","12","BICYCLE TAX","9330040","PLANNING","3300","PROJECTS TRAFFIC ENG","57979.43","86280.00"
"2014-117-9330041-3300","2014","12","BICYCLE TAX","9330041","TRAIL ST CROSSING SFTY IMPROV","3300","PROJECTS TRAFFIC ENG","9993.19","58204.00"
"2014-117-9330043-3300","2014","12","BICYCLE TAX","9330043","BICYCLE FRIENDLY COMMUNITIES","3300","PROJECTS TRAFFIC ENG","4563.61","15000.00"
"2014-117-9330045-3300","2014","12","BICYCLE TAX","9330045","PROJECT MANAGEMENT ENGINEERING","3300","PROJECTS TRAFFIC ENG","0.00","900.00"
"2014-117-9330054-3300","2014","12","BICYCLE TAX","9330054","URBAN TRAIL CONSTRUCTION","3300","PROJECTS TRAFFIC ENG","18202.82","105369.00"
"2014-117-9400318-5000","2014","12","BICYCLE TAX","9400318","TRAIL WAYFINDING SIGNAGE","5000","PROJECTS PARKS AND REC","9202.15","9895.00"
"2014-117-9400407-5000","2014","12","BICYCLE TAX","9400407","TRAIL BICYCLE COUNTING EQUIP","5000","PROJECTS PARKS AND REC","18247.08","18248.00"
"2014-118-9160028-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9160028","SALES AND USE TAX REFUNDS","5901","TOPS TRAILS","58675.10","0.00"
"2014-118-9400040-5902","2014","12","TRAILS OPEN SPACE PARKS FUND","9400040","LAND ACQUISITION","5902","TOPS OPEN SPACE","12788.00","18408.00"
"2014-118-9400085-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400085","ROCK ISL TRL SHKS RN PP GRNWY","5901","TOPS TRAILS","45000.00","196813.00"
"2014-118-9400115-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400115","ROCK ISLAND TRAIL ACQUISITION","5901","TOPS TRAILS","0.00","11390.00"
"2014-118-9400120-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400120","SAND CRK TRAIL PLN ACQ DEV","5901","TOPS TRAILS","8508.10","667167.00"
"2014-118-9400175-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400175","SKYLINE TRAIL","5901","TOPS TRAILS","1377.00","138489.00"
"2014-118-9400241-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400241","TRAIL CROSSINGS SFTY IMPROV","5901","TOPS TRAILS","26683.00","26683.00"
"2014-118-9400302-5902","2014","12","TRAILS OPEN SPACE PARKS FUND","9400302","BLODGETT OS IMPROVEMENTS","5902","TOPS OPEN SPACE","0.00","15252.00"
"2014-118-9400309-5902","2014","12","TRAILS OPEN SPACE PARKS FUND","9400309","RED ROCKS CANYON","5902","TOPS OPEN SPACE","1008427.00","1008427.00"
"2014-118-9400315-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400315","S SHOOKS RUN TRAIL PP COSTILLA","5901","TOPS TRAILS","4000.00","358250.00"
"2014-118-9400343-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400343","UNIVERSITY PRK TRAIL PHASE II","5901","TOPS TRAILS","0.00","113169.00"
"2014-118-9400344-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400344","COTTONWOOD TRAIL PHASE II","5901","TOPS TRAILS","1150418.79","2027607.00"
"2014-118-9400348-5902","2014","12","TRAILS OPEN SPACE PARKS FUND","9400348","RED ROCK MASTR PLAN IMPLEMEN","5902","TOPS OPEN SPACE","25810.57","234216.00"
"2014-118-9400356-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400356","TEMPLETON GAP TRAIL","5901","TOPS TRAILS","122725.97","170973.00"
"2014-118-9400363-5902","2014","12","TRAILS OPEN SPACE PARKS FUND","9400363","OPEN SPACE TRAIL DEVELOPMENT","5902","TOPS OPEN SPACE","694.24","28114.00"
"2014-118-9400370-5903","2014","12","TRAILS OPEN SPACE PARKS FUND","9400370","MEMORIAL PARK HANDBALL CRTS","5903","TOPS PARKS","3559.62","3560.00"
"2014-118-9400381-5903","2014","12","TRAILS OPEN SPACE PARKS FUND","9400381","VENEZIA COM PRK DEV PHASE I","5903","TOPS PARKS","0.00","1994543.00"
"2014-118-9400396-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400396","MANITOU INCLINE","5901","TOPS TRAILS","79942.00","79942.00"
"2014-118-9400399-5903","2014","12","TRAILS OPEN SPACE PARKS FUND","9400399","GM-MCREYNOLDS DAY USE","5903","TOPS PARKS","-61283.00","4155.00"
"2014-118-9400408-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400408","MILTON PROBY TRAIL EXTENSION","5901","TOPS TRAILS","0.00","75000.00"
"2014-118-9400410-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400410","SAND CRK TRL CONSTIT PALMER PR","5901","TOPS TRAILS","5993.00","1056280.00"
"2014-118-9400411-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400411","SAND CRK TRL HANCOCK CROSSING","5901","TOPS TRAILS","0.00","390897.00"
"2014-118-9400412-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400412","SAND CRK TRL STETHILL DUBLIN","5901","TOPS TRAILS","4583.08","314275.00"
"2014-118-9400413-5903","2014","12","TRAILS OPEN SPACE PARKS FUND","9400413","MEMORIAL PARK TENNIS LIGHTING","5903","TOPS PARKS","1170.00","1170.00"
"2014-118-9400416-5903","2014","12","TRAILS OPEN SPACE PARKS FUND","9400416","ARTIFICIAL TURF FIELDS","5903","TOPS PARKS","1018128.47","1018130.00"
"2014-118-9400417-5903","2014","12","TRAILS OPEN SPACE PARKS FUND","9400417","PLAYGROUND RENOVATION","5903","TOPS PARKS","369014.32","500000.00"
"2014-118-9400418-5903","2014","12","TRAILS OPEN SPACE PARKS FUND","9400418","IRRIGATION RENOVATION","5903","TOPS PARKS","58104.51","283776.00"
"2014-118-9400419-5903","2014","12","TRAILS OPEN SPACE PARKS FUND","9400419","TENNIS COURT REPLACEMENT","5903","TOPS PARKS","244773.87","250765.00"
"2014-118-9400423-5903","2014","12","TRAILS OPEN SPACE PARKS FUND","9400423","PARK MAINTENANCE","5903","TOPS PARKS","454291.32","532000.00"
"2014-118-9400424-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400424","ROCK ISLAND TRL PP GREEN SHOOK","5901","TOPS TRAILS","0.00","425000.00"
"2014-118-9400425-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400425","ROCK ISLD TRL SAND CRK CONSTIT","5901","TOPS TRAILS","0.00","339820.00"
"2014-118-9400426-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400426","UTE VALLEY FOREST MNGMNT","5901","TOPS TRAILS","0.00","0.00"
"2014-118-9400426-5902","2014","12","TRAILS OPEN SPACE PARKS FUND","9400426","UTE VALLEY FOREST MNGMNT","5902","TOPS OPEN SPACE","3425.00","30000.00"
"2014-118-9400427-5901","2014","12","TRAILS OPEN SPACE PARKS FUND","9400427","UTE VALLEY PRK MANAGE PLAN","5901","TOPS TRAILS","0.00","0.00"
"2014-118-9400427-5902","2014","12","TRAILS OPEN SPACE PARKS FUND","9400427","UTE VALLEY PRK MANAGE PLAN","5902","TOPS OPEN SPACE","33535.80","35000.00"
"2014-119-9400019-5000","2014","12","CONSERVATION TRUST","9400019","TRAILS","5000","PROJECTS PARKS AND REC","3960.60","14851.00"
"2014-119-9400029-5000","2014","12","CONSERVATION TRUST","9400029","EMERG REPAIR","5000","PROJECTS PARKS AND REC","18188.99","26581.00"
"2014-119-9400332-5000","2014","12","CONSERVATION TRUST","9400332","MAINT OF OUTDOOR SCULPTURE","5000","PROJECTS PARKS AND REC","0.00","6369.00"
"2014-119-9400378-5000","2014","12","CONSERVATION TRUST","9400378","RED ROCK LANDFILL MONITOR","5000","PROJECTS PARKS AND REC","7369.00","7369.00"
"2014-119-9400396-5000","2014","12","CONSERVATION TRUST","9400396","MANITOU INCLINE","5000","PROJECTS PARKS AND REC","50000.00","50000.00"
"2014-119-9400401-5000","2014","12","CONSERVATION TRUST","9400401","PEDESTRIAN BRIDGE REPAIRS","5000","PROJECTS PARKS AND REC","2990.00","73775.00"
"2014-119-9400402-5000","2014","12","CONSERVATION TRUST","9400402","VILLAGE GREEN IRRIG REPLACMENT","5000","PROJECTS PARKS AND REC","0.00","13639.00"
"2014-119-9400414-5000","2014","12","CONSERVATION TRUST","9400414","MASTER PLN PRKS-TRLS-OPEN SP","5000","PROJECTS PARKS AND REC","139536.70","139538.00"
"2014-119-9400417-5000","2014","12","CONSERVATION TRUST","9400417","PLAYGROUND RENOVATION","5000","PROJECTS PARKS AND REC","621546.50","650000.00"
"2014-119-9400420-5000","2014","12","CONSERVATION TRUST","9400420","TURF REDUCTION","5000","PROJECTS PARKS AND REC","169809.74","343825.00"
"2014-119-9400421-5000","2014","12","CONSERVATION TRUST","9400421","BUILDING RENOVATION","5000","PROJECTS PARKS AND REC","0.00","200810.00"
"2014-119-9409091-5000","2014","12","CONSERVATION TRUST","9409091","MTN SHADOWS PARK RENOVATION","5000","PROJECTS PARKS AND REC","0.00","0.00"
"2014-151-9160022-1300","2014","12","PUBLIC SPACE AND DEVELOPMENT","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","6476.87","0.00"
"2014-151-9400369-5000","2014","12","PUBLIC SPACE AND DEVELOPMENT","9400369","MON VALLEY PRK MICKELSON AREA","5000","PROJECTS PARKS AND REC","300.00","46218.00"
"2014-151-9400370-5000","2014","12","PUBLIC SPACE AND DEVELOPMENT","9400370","MEMORIAL PARK HANDBALL CRTS","5000","PROJECTS PARKS AND REC","500.00","500.00"
"2014-151-9400381-5000","2014","12","PUBLIC SPACE AND DEVELOPMENT","9400381","VENEZIA COM PRK DEV PHASE I","5000","PROJECTS PARKS AND REC","24310.00","824148.00"
"2014-151-9400405-5000","2014","12","PUBLIC SPACE AND DEVELOPMENT","9400405","SAND CREEK LAND ACQUISITION","5000","PROJECTS PARKS AND REC","0.00","54100.00"
"2014-166-9160015-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160015","TRANSFER TO GEN FUND","1300","PROJECTS FINANCE","452146.00","452146.00"
"2014-166-9160022-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","166.97","0.00"
"2014-166-9160024-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160024","COPPER WEB EVENTS CALENDAR","1300","PROJECTS FINANCE","43000.00","43000.00"
"2014-166-9160032-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160032","ECONOMIC DEVELOP AGENCIES","1300","PROJECTS FINANCE","155000.00","155000.00"
"2014-166-9160033-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160033","COLO SPGS PHILHARMONIC","1300","PROJECTS FINANCE","114000.00","114000.00"
"2014-166-9160038-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160038","RCKY MTN ST GMS OLYMPIC CELEBR","1300","PROJECTS FINANCE","25000.00","25000.00"
"2014-166-9160039-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160039","PROJECTS TO BE DETERMINED","1300","PROJECTS FINANCE","89894.37","91400.00"
"2014-166-9160040-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160040","PIKES PEAK PERSPECTIVE","1300","PROJECTS FINANCE","20000.00","20000.00"
"2014-166-9160041-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160041","DOWNTOWN CULTURAL FESTIVAL","1300","PROJECTS FINANCE","0.00","6500.00"
"2014-166-9160042-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160042","ST PATRICKS DAY PARADE","1300","PROJECTS FINANCE","15000.00","15000.00"
"2014-166-9160043-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160043","CO INTERNATIONAL TATTOO","1300","PROJECTS FINANCE","75000.00","75000.00"
"2014-166-9160044-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160044","PIKES PEAK DOWNHILL SKATEBOARD","1300","PROJECTS FINANCE","6600.00","6600.00"
"2014-166-9160045-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160045","CARIBBEAN VOLLEYBALL CONF","1300","PROJECTS FINANCE","5000.00","5000.00"
"2014-166-9160046-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160046","US GRAND PRIX OF SPRINTING","1300","PROJECTS FINANCE","0.00","0.00"
"2014-166-9160047-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160047","EPICENTRAL COWORKING","1300","PROJECTS FINANCE","15000.00","15000.00"
"2014-166-9160048-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160048","I-25 ECO-DEVELOPMENT","1300","PROJECTS FINANCE","5000.00","5000.00"
"2014-166-9160049-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9160049","SK-8 STRONG","1300","PROJECTS FINANCE","10000.00","10000.00"
"2014-166-9520004-4900","2014","12","LODGERS AND AUTO RENTAL TAX","9520004","TOUR PROMO","4900","PROJECTS ECON DEVELOP","3017753.99","3143666.00"
"2014-166-9730003-7300","2014","12","LODGERS AND AUTO RENTAL TAX","9730003","PIKES PEAK HILL CLIMB","7300","PROJECTS PIKES PEAK","90000.00","90000.00"
"2014-166-9730005-7300","2014","12","LODGERS AND AUTO RENTAL TAX","9730005","PP MARATHON AND ASCENT","7300","PROJECTS PIKES PEAK","8350.00","10000.00"
"2014-166-9730010-1300","2014","12","LODGERS AND AUTO RENTAL TAX","9730010","PIKES PEAK CYCLING HILL CLIMB","1300","PROJECTS FINANCE","5000.00","5000.00"
"2014-166-9730010-7300","2014","12","LODGERS AND AUTO RENTAL TAX","9730010","PIKES PEAK CYCLING HILL CLIMB","7300","PROJECTS PIKES PEAK","0.00","0.00"
"2014-166-9730013-7300","2014","12","LODGERS AND AUTO RENTAL TAX","9730013","USA PROCYCLING CHALLENGE","7300","PROJECTS PIKES PEAK","100000.00","100000.00"
"2014-167-9400090-5000","2014","12","STREET TREE FEE FUND","9400090","TREES","5000","PROJECTS PARKS AND REC","123.79","12000.00"
"2014-170-9050008-1100","2014","12","CABLE FRANCHISE","9050008","SPRINGS TV","1100","PROJECTS CITY MANGEMENT","330346.50","383827.00"
"2014-170-9160022-1300","2014","12","CABLE FRANCHISE","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","265.32","0.00"
"2014-170-9870001-8700","2014","12","CABLE FRANCHISE","9870001","PEOPLESOFT PROJECT","8700","PROJECTS INFO TECHNOLOGY","463631.90","467589.00"
"2014-170-9870007-8700","2014","12","CABLE FRANCHISE","9870007","S CO EDUC TV CONSORTIUM","8700","PROJECTS INFO TECHNOLOGY","203918.88","198780.00"
"2014-171-9090024-2200","2014","12","PUBLIC SAFETY SALES TAX","9090024","VENTILATION IMPROVEMENTS","2200","PROJECTS FIRE","153818.60","245975.00"
"2014-171-9090027-2200","2014","12","PUBLIC SAFETY SALES TAX","9090027","FIRE STATION 01 REMODEL","2200","PROJECTS FIRE","0.00","2375000.00"
"2014-171-9090033-2200","2014","12","PUBLIC SAFETY SALES TAX","9090033","STETSON RIDGE FIRE STATION 21","2200","PROJECTS FIRE","-195558.59","574647.00"
"2014-171-9090042-2200","2014","12","PUBLIC SAFETY SALES TAX","9090042","FDC PHASE II B","2200","PROJECTS FIRE","0.00","0.00"
"2014-171-9160028-1300","2014","12","PUBLIC SAFETY SALES TAX","9160028","SALES AND USE TAX REFUNDS","1300","PROJECTS FINANCE","233810.77","0.00"
"2014-202-9080013-4800","2014","12","CITY FUNDED CIP","9080013","ENTERPRISE LAND MGMT SYS SFTWR","4800","PROJECTS DEVELOPMENT REVIEW","120745.45","255738.00"
"2014-202-9090003-2200","2014","12","CITY FUNDED CIP","9090003","FIRE FAC RPR","2200","PROJECTS FIRE","22416.90","87500.00"
"2014-202-9090036-2200","2014","12","CITY FUNDED CIP","9090036","SELF-CONTAINED BREATHING APP","2200","PROJECTS FIRE","163679.55","500000.00"
"2014-202-9090040-2200","2014","12","CITY FUNDED CIP","9090040","CIRITCAL FIRE STATION REPAIRS","2200","PROJECTS FIRE","33847.67","100000.00"
"2014-202-9090041-2200","2014","12","CITY FUNDED CIP","9090041","EQUIPMENT FIRE STATION 22","2200","PROJECTS FIRE","0.00","150000.00"
"2014-202-9100023-2100","2014","12","CITY FUNDED CIP","9100023","POC CARPET REPLACEMENT","2100","PROJECTS POLICE","2212.60","2213.00"
"2014-202-9100024-2100","2014","12","CITY FUNDED CIP","9100024","POC UNIVERSAL POWER SUPPLY","2100","PROJECTS POLICE","62544.00","113425.00"
"2014-202-9100025-2100","2014","12","CITY FUNDED CIP","9100025","POLICE IMPOUND LOT LIGHT UPGRA","2100","PROJECTS POLICE","0.00","51000.00"
"2014-202-9110016-4700","2014","12","CITY FUNDED CIP","9110016","GM-AIR RD BIKE PED IMPR","4700","PROJECTS CITY PLANNING","-4967.68","0.00"
"2014-202-9150001-8000","2014","12","CITY FUNDED CIP","9150001","PRIORITIZED CIP PROJECTS","8000","PROJECTS FACIL ENG","14798.20","194957.00"
"2014-202-9160001-1300","2014","12","CITY FUNDED CIP","9160001","EMERGENCY REPAIRS","1300","PROJECTS FINANCE","6224.69","24195.00"
"2014-202-9160022-1300","2014","12","CITY FUNDED CIP","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","18663.81","0.00"
"2014-202-9160025-1300","2014","12","CITY FUNDED CIP","9160025","CAB REPAIRS PAYMENT 1 OF 15","1300","PROJECTS FINANCE","174211.38","174233.00"
"2014-202-9160027-1300","2014","12","CITY FUNDED CIP","9160027","REPLC WAHSATCH DATA CTR PYMNT","1300","PROJECTS FINANCE","1220467.48","1225246.00"
"2014-202-9270001-4000","2014","12","CITY FUNDED CIP","9270001","COMMUNITY CTR MAINTENANCE","4000","PROJECTS NEIGHBORHOOD","61549.93","61936.00"
"2014-202-9270005-4000","2014","12","CITY FUNDED CIP","9270005","CITY AUD RESTROOM UPGRADE","4000","PROJECTS NEIGHBORHOOD","0.00","300000.00"
"2014-202-9310008-3700","2014","12","CITY FUNDED CIP","9310008","LORRAINE KINNIKINNIK DRAIN","3700","PROJECTS GEN FUND STRMWTR","0.00","0.00"
"2014-202-9310018-3100","2014","12","CITY FUNDED CIP","9310018","ARTERIAL REIMBURSEMENTS","3100","PROJECTS CITY ENGINEERING","150000.00","150000.00"
"2014-202-9310027-3100","2014","12","CITY FUNDED CIP","9310027","DANGEROUS STRUCTURES","3100","PROJECTS CITY ENGINEERING","0.00","6528.00"
"2014-202-9310032-3100","2014","12","CITY FUNDED CIP","9310032","SIDEWALK REP","3100","PROJECTS CITY ENGINEERING","3428.00","3428.00"
"2014-202-9310063-3100","2014","12","CITY FUNDED CIP","9310063","DRNG STUDIES","3100","PROJECTS CITY ENGINEERING","0.00","0.00"
"2014-202-9310077-3100","2014","12","CITY FUNDED CIP","9310077","GRNT MTCH WOODMEN RD WIDENING","3100","PROJECTS CITY ENGINEERING","0.00","619913.00"
"2014-202-9310198-3100","2014","12","CITY FUNDED CIP","9310198","MISC CHANNEL STORM SEWER RPR","3100","PROJECTS CITY ENGINEERING","12848.51","12962.00"
"2014-202-9310209-3100","2014","12","CITY FUNDED CIP","9310209","CSU CONSTITUTION CIR DR INTER","3100","PROJECTS CITY ENGINEERING","0.00","5973.00"
"2014-202-9310211-3100","2014","12","CITY FUNDED CIP","9310211","CSU WDMN CORIDR I25 TO PWRS P1","3100","PROJECTS CITY ENGINEERING","6084.54","596799.00"
"2014-202-9310212-3100","2014","12","CITY FUNDED CIP","9310212","NORTHGATE BLVD REALIGNMENT","3100","PROJECTS CITY ENGINEERING","309273.92","1395570.00"
"2014-202-9310221-3100","2014","12","CITY FUNDED CIP","9310221","CSU PROBY PARKWAY","3100","PROJECTS CITY ENGINEERING","24190.00","24190.00"
"2014-202-9310229-3100","2014","12","CITY FUNDED CIP","9310229","CSU AUSTIN BLUFFS CORRIDOR","3100","PROJECTS CITY ENGINEERING","92461.98","995000.00"
"2014-202-9310230-3100","2014","12","CITY FUNDED CIP","9310230","CSU VINCENT DR BRIDGE","3100","PROJECTS CITY ENGINEERING","12141.00","12141.00"
"2014-202-9310241-3100","2014","12","CITY FUNDED CIP","9310241","CSU FILLMORE CORRIDOR","3100","PROJECTS CITY ENGINEERING","284046.79","446152.00"
"2014-202-9310245-3100","2014","12","CITY FUNDED CIP","9310245","AIRPORT RD TO ACADEMY LOOP","3100","PROJECTS CITY ENGINEERING","81250.00","81250.00"
"2014-202-9310246-3100","2014","12","CITY FUNDED CIP","9310246","HANCOCK EXPRESSWAY PEL","3100","PROJECTS CITY ENGINEERING","100000.00","100000.00"
"2014-202-9310247-3100","2014","12","CITY FUNDED CIP","9310247","CASCADE AVE CHEYENNE RUN REPLA","3100","PROJECTS CITY ENGINEERING","11902.70","12000.00"
"2014-202-9310248-3100","2014","12","CITY FUNDED CIP","9310248","CIRCLE BRIDGE REHAB","3100","PROJECTS CITY ENGINEERING","181000.00","181000.00"
"2014-202-9310249-3100","2014","12","CITY FUNDED CIP","9310249","CITYWIDE PEDESTRIAN IMPROVE","3100","PROJECTS CITY ENGINEERING","70934.50","100000.00"
"2014-202-9310250-3100","2014","12","CITY FUNDED CIP","9310250","DELTA DR SANDCREEK TRIB REPLAC","3100","PROJECTS CITY ENGINEERING","38756.74","45000.00"
"2014-202-9310251-3100","2014","12","CITY FUNDED CIP","9310251","EL MORRO DR SANDCREEK TRIB REP","3100","PROJECTS CITY ENGINEERING","30710.16","35000.00"
"2014-202-9310252-3100","2014","12","CITY FUNDED CIP","9310252","LAS VEGAS STREET PEL","3100","PROJECTS CITY ENGINEERING","96000.00","96000.00"
"2014-202-9310253-3100","2014","12","CITY FUNDED CIP","9310253","PASEO RD BRIDGE REPLACEMENT","3100","PROJECTS CITY ENGINEERING","156000.00","156000.00"
"2014-202-9310254-3100","2014","12","CITY FUNDED CIP","9310254","ROCKRMN BRIDGE REPLACE","3100","PROJECTS CITY ENGINEERING","176000.00","176000.00"
"2014-202-9310255-3100","2014","12","CITY FUNDED CIP","9310255","VAN BUREN SAFE ROUTES TO SCHOO","3100","PROJECTS CITY ENGINEERING","0.00","48880.00"
"2014-202-9310256-3100","2014","12","CITY FUNDED CIP","9310256","VERDE DR SPRNG CRK BRIDGE REPL","3100","PROJECTS CITY ENGINEERING","37018.70","45000.00"
