"bill_number","title","sponsors","action_taken_by_the_governor"
"HB14-1396","Med Pot Registry Access Health Dept Contractors","Ryden/King","Signed 6/6/2014"
"HB14-1398","Authorize Marijuana Financial Service Cooperatives","Singer / Steadman & Balmer","Signed 6/6/2014"
"SB 14-083","County Payment Of State Property Reappraisal Costs","Crowder / Ferrandino","Signed 3/20/2014"
"SB14-001","College Affordability Act","Jahn & Kerr / Garcia & McLachlan","Signed 5/1/2014"
"SB14-002","Safe2tell Program In Department Of Law","Carroll & Cadman / Ferrandino & DelGrosso","Signed 5/21/2014"
"SB14-003","Colorado Child Care Assistance Program","Nicholson / Pettersen","Signed 5/22/2014"
"SB14-004","Community College Four-year Programs","Todd / Wilson & May","Signed 2/27/2014"
"SB14-005","Wage Protection Act","Ulibarri / Singer","Signed 5/29/2014"
"SB14-007","County General Fund for Road & Bridge Flood Damage","Lundberg & Jones / Foote & DelGrosso","Signed 2/19/2014"
"SB14-008","Create Wildfire Information & Resource Center","Roberts / Dore & Exum","Signed 5/14/2014"
"SB14-009","Disclose Separate Ownership Mineral Estate","Hodge / Moreno","Signed 3/27/2014"
"SB14-011","Colorado Energy Research Authority","Heath / Hullinghorst","Signed 5/16/2014"
"SB14-012","Aid To The Needy Disabled Program","Kefalas / Exum","Signed 5/22/2014"
"SB14-014","Property Tax Rent Heat Fuel Grants For Low-income","Kefalas / Pettersen","Signed 5/22/2014"
"SB14-015","Hospitality Career Ed Grant Program","Kerr / Young & Melton","Signed 6/5/2014"
"SB14-017","Limit Use Of Ag Water For Lawn Irrigation","Roberts & Hodge / Vigil & Coram","Signed 4/11/2014"
"SB14-018","Prohibit Nicotine Product Distribution To Minors","Nicholson & Jones / Hamner & Young","Signed 4/11/2014"
"SB14-019","Status of Taxpayers Who May File Joint Returns","Steadman / Moreno & Ginal","Signed 2/27/2014"
"SB14-021","Persons With Mental Illness Criminal Justice","Tochtrop & King / Wright","Signed 6/6/2014"
"SB14-022","Community Development Financial Institutions","Kefalas / Fields","Signed 4/7/2014"
"SB14-023","Transfer Water Efficiency Savings To Instream Use","Schwartz/Becker","Vetoed 6/5/2014"
"SB14-024","FPPA Volunteer Firefighter Plans","Tochtrop / Scott","Signed 3/20/2014"
"SB14-025","Wastewater Treatment Small Communities Grants","Hodge / Fischer","Signed 2/27/2014"
"SB14-026","Division Water Resources Remove Printing Requirements","Hodge/Vigil","Signed 2/19/2014"
"SB14-027","Judicial Dept Background Checks","Guzman / Lee","Signed 5/2/2014"
"SB14-028","Expand Electric Vehicle Charging Station Grants","Jones / Duran & Tyler","Signed 4/11/2014"
"SB14-029","Architectural Paint Stewardship Program","Newell / Fischer","Signed 6/6/2014"
"SB14-030","Distinguished Flying Cross License Plate Waive Fee","Crowder / Wilson","Signed 5/26/2014"
"SB14-031","FPPA Old Hire Plans","Tochtrop / Rosenthal","Signed 3/20/2014"
"SB14-036","Emergency Medical Services License Plate","Baumgardner / Garcia & Lawrence","Signed 6/5/2014"
"SB14-039","Preveterinary Emergency Care For Dogs And Cats","Balmer / McCann & Court","Signed 3/20/2014"
"SB14-041","USS Colorado Submarine Special License Plate","Herpin / Gardner & Swalm","Signed 6/4/2014"
"SB14-043","Greenhouses & Nurseries Other Ag Prop","Grantham / Priola","Signed 3/20/2014"
"SB14-046","Local Firefighter Safety Grant Program","Nicholson / Exum","Signed 5/15/2014"
"SB14-047","Wildland Firefighters Death Benefit Payments","Tochtrop & Roberts/Dore","Signed 3/20/2014"
"SB14-048","Update Mortality Table Civil Actions","Guzman / Waller","Signed 3/20/2014"
"SB14-049","Public Transportation And Utility Endangerment","Heath / Priola","Signed 5/29/2014"
"SB14-050","Financial Assistance In Colorado Hospitals","Aguilar / Moreno","Signed 5/29/2014"
"SB14-051","Access To Adoption Records & Birth Certificates","Tochtrop / Saine","Signed 5/22/2014"
"SB14-052","Soil Erosion County Board Of Commissioners","Crowder / Sonnenberg","Signed 3/20/2014"
"SB14-054","Alcohol Beverage License Suspensions Fines","Balmer / Pabon","Signed 4/11/2014"
"SB14-055","Vehicles Subject To Daily Rental Fee","Steadman / Coram","Signed 3/27/2014"
"SB14-058","GED or High School Equivalency Examinations","Todd / Murray","Signed 4/7/2014"
"SB14-059","Statute Of Limitations Crime Related To Sex Crimes","Guzman / Lawrence","Signed 3/21/2014"
"SB14-060","CDOT Training For Flagpersons","Todd & King / Coram & Williams","Signed 3/27/2014"
"SB14-062","Reinstatement Of Parent-child Legal Relationship","Guzman & Roberts / Foote & Gardner","Signed 3/27/2014"
"SB14-063","Mandatory Review Of State Agency Rules","Marble / Saine & Williams","Signed 3/27/2014"
"SB14-064","Use Of Isolated Confinement Mental Illness","Ulibarri / Salazar","Signed 6/6/2014"
"SB14-067","Medical Assistance Program Align With Federal Law","Aguilar / Singer","Signed 2/27/2014"
"SB14-073","Brownfield Contaminated Land Income Tax Credit","Jahn / Gerou","Signed 5/15/2014"
"SB14-075","Deployed Military Motor Vehicle Fee & Taxes","Baumgardner / Sonnenberg","Signed 5/26/2014"
"SB14-076","New Limited-impact Mining Permit Category","Tochtrop / Becker","Signed 3/20/2014"
"SB14-080","Statutory Property Valuation Arbitrator Qualifications","Grantham / Fields","Signed 3/27/2014"
"SB14-087","Identification Card Issuance Standards","Ulibarri / Fields","Signed 5/31/2014"
"SB14-088","Suicide Prevention Commission","Kraft-Tharp/Newell","Signed 5/29/2014"
"SB14-089","Prohibit State Agreements Payment In Lieu Of Tax","Schwartz / Fischer","Vetoed 3/28/2014"
"SB14-092","Insurance Fraud Crime","Rivera / Williams","Signed 5/15/2014"
"SB14-095","Pharmacies Compounding Drugs For Hospitals","Kefalas / McCann","Signed 3/27/2014"
"SB14-096","Veterans Community Living Centers In Colorado","Crowder / Exum & Pettersen","Signed 3/21/2014"
"SB14-097","Immunity Public Agencies Insurance Wildfire Mitigation","Tochtrop / Hamner","Signed 3/21/2014"
"SB14-098","Crimes Against At-risk Elders","Zenzinger / Foote & Schafer","Signed 4/7/2014"
"SB14-099","Provisional Physical Therapy License","Hodge / May","Signed 5/31/2014"
"SB14-102","Employment Opportunity Act Financial Institutions","Ulibarri / Gardner & Rosenthal","Signed 3/27/2014"
"SB14-103","Phase In High-efficiency Water Fixture Options","Guzman / Fischer","Signed 6/6/2014"
"SB14-104","Disputed Payments Of Tobacco Settlement Moneys","Lambert / Duran","Signed 3/27/2014"
"SB14-105","Stop Water Cash Fund Transfers To General Fund","Joint Budget Committee","Signed 3/20/2014"
"SB14-106","Appropriations From Local Government Permanent Fund","Joint Budget Committee","Signed 3/27/2014"
"SB14-107","Continue Gifts Grants & Donations For Dept Of Law","Joint Budget Committee","Signed 3/20/2014"
"SB14-108","Target Reserve For DPA Revolving Fund","Joint Budget Committee","Signed 3/20/2014"
"SB14-109","Use Of Prevention Early Detection & Treatment Fund","Joint Budget Committee","Signed 4/7/2014"
"SB14-110","Recommendations For Financing Capital Construction","Joint Budget Committee","Signed 4/7/2014"
"SB14-112","Pub School Cap Construction Assistance Fund Approp","Steadman / Duran & Gerou","Signed 3/20/2014"
"SB14-114","Student Access To CSU Global Campus","Todd / Hamner & Holbert","Signed 5/2/2014"
"SB14-115","State Water Plan Public Review & GA Approval","Roberts & Schwartz / Fischer & Coram","Signed 5/15/2014"
"SB14-117","Reauthorize Regulation Real Estate Appraisers","Jahn / Fischer","Signed 6/6/2014"
"SB14-118","Protections For Individuals With Disabilities","Steadman / Melton","Signed 5/22/2014"
"SB14-119","Decriminalize Prohibited Practices For Lobbyists","Heath & Cadman / Hullinghorst & DelGrosso","Signed 4/7/2014"
"SB14-120","State Employee Workers' Comp Account Appropriation","Joint Budget Committee","Signed 3/27/2014"
"SB14-121","Assistance To Local Government After A Disaster Emergency","Lambert / Young","Signed 3/21/2014"
"SB14-123","POST Board Rule Authority Training Suspensions","Guzman / Kagan","Signed 5/21/2014"
"SB14-124","School Turnaround Leaders Development Program","Zenzinger / Fields","Signed 6/5/2014"
"SB14-125","Transportation Network Companies Regulation","Jahn & Harvey/Pabon & Szabo","Signed 6/5/2014"
"SB14-127","Statewide Radio Systems New Subcommittee & Report","Roberts / Dore & Exum","Signed 6/6/2014"
"SB14-129","Marijuana Criminal Provision Clean Up","Steadman / May","Signed 6/6/2014"
"SB14-130","Increase Personal Care Allowance Nursing Facility","Tochtrop / Primavera","Signed 6/5/2014"
"SB14-131","Motor Vehicle Registration Card Information","King / Wright","Signed 6/6/2014"
"SB14-132","Fallen Soldier License Plate Combat Zone","Crowder & Ulibarri / Gardner & Exum","Signed 5/14/2014"
"SB14-133","Mandatory Licensure Private Investigators","Newell / Melton","Signed 6/6/2014"
"SB14-135","Repeal Firearms Purchases In Contiguous States","Brophy / Wright","Signed 5/2/2014"
"SB14-137","Certification of Workers' Compensation Forms","Jahn / McNulty","Signed 3/27/2014"
"SB14-138","Civil Immunity For Volunteers At Emergencies","Kefalas & Lundberg / Sonnenberg & Foote","Signed 3/21/2014"
"SB14-142","Pesticide Inspection Water And Wastewater Systems","Schwartz / Fischer","Signed 3/27/2014"
"SB14-143","Payment Of Appeals Nursing Facility Cash Fund","Joint Budget Committee","Signed 5/15/2014"
"SB14-144","Family Medicine Residency Programs In Rural Areas","Aguilar & Nicholson / Ginal","Signed 5/31/2014"
"SB14-146","Use Local Traffic Info For CDOT Speed Limit Study","Schwartz / Wilson","Signed 5/2/2014"
"SB14-149","Private Occupational Schools Standards","Johnston / Young","Signed 3/27/2014"
"SB14-150","School Counselor Corps Grant Program","Todd & Zenzinger / Hamner","Signed 5/16/2014"
"SB14-151","Nursing Home Innovations","Tochtrop / Young","Signed 6/5/2014"
"SB14-152","Standardize Insurers' Financial Transaction Req","Jahn / Melton","Signed 5/31/2014"
"SB14-153","Legislative Members Compensation Boards & Commns","Heath & Cadman / DelGrosso & Hullinghorst","Signed 6/6/2014"
"SB14-154","Wildfire Preparedness & Emergency Response Funds","Joint Budget Committee","Signed 5/31/2014"
"SB14-155","Medical Marijuana Health Effects Grant Program","Steadman / May & Duran","Signed 5/21/2014"
"SB14-156","Public Benefit Corp Must File Annual Reports","Kefalas & Heath / Lee","Signed 5/15/2014"
"SB14-157","DMVA Commission Report Value US Military Activities","Carroll & Cadman / Ryden & Nordgerg","Signed 5/14/2014"
"SB14-158","Recall Elections How Conducted & Align Article XXI","Steadman & Jones / Hullinghorst","Signed 5/9/2014"
"SB14-159","Implement Med Clean Claims Recommendations","Aguilar/Primavera","Signed 5/29/2014"
"SB14-160","Transitional Living Program For Brain Injured","Newell / Primavera","Signed 5/9/2014"
"SB14-161","Update Uniform Election Code Of 1992","Ulibarri & Johnson / Hullinghorst","Signed 5/9/2014"
"SB14-162","Quality Management Prehospital EMS Providers","Nicholson / Mitsch Bush","Signed 6/5/2014"
"SB14-163","Clean-up SB13-250 Drug Sentencing","Steadman & King / Lee & DelGrosso","Signed 6/6/2014"
"SB14-164","CO Aerial Firefighting Fleet Aircraft Acquisitions","Carroll & King / Gardner & McLachlan","Signed 5/12/2014"
"SB14-165","K-12 Academic Growth Performance Evaluation 2014-15","Johnston & Kerr / Murray & Peniston","Signed 5/9/2014"
"SB14-166","Create By Colorado App To Promote Businesses In CO","Carroll & Rivera / Tyler & Garcia","Signed 5/29/2014"
"SB14-168","Teacher Salaries At CO School For Deaf & Blind","Joint Budget Committee","Signed 5/15/2014"
"SB14-169","Office Of Information Technology Reports To GA","Joint Budget Committee","Signed 5/15/2014"
"SB14-171","New Energy District Finance Water Conservation","Schwartz & Jones / Tyler","Signed 5/15/2014"
"SB14-172","Firefighter Heart Circulatory Malfunction Benefits","Tochtrop & Newell / Kraft-Tharp","Signed 6/5/2014"
"SB14-173","Offer Hepatitis C Screening Testing","Jahn & King / Singer & McNulty","Signed 5/19/2014"
"SB14-174","Prosecution Fellowship Program","Heath & Johnston / McLachlan & Pabon","Signed 5/19/2014"
"SB14-176","Criminal Penalties For Chop Shops","Johnston / Murray & Court","Signed 6/6/2014"
"SB14-179","Flood Debris Cleanup Grants","Nicholson & Renfroe/Foote & Sonnenberg","Signed 5/17/2014"
"SB14-180","Transfer Senior Dental Program To DHCPF","Kefalas / Swalm","Signed 5/31/2014"
"SB14-182","School Boards Meeting In Executive Session","Hodge / Peniston","Signed 6/6/2014"
"SB14-183","Business Incentive Agreement Maximum Term","Heath & Scheffel / Pabon & Holbert","Signed 5/15/2014"
"SB14-184","Oversight of the Industrial Hemp Program","Schwartz / Coram","Signed 5/31/2014"
"SB14-186","Efficient School & Community Performance Contract","Schwartz & Kerr / Tyler & Hamner","Signed 6/6/2014"
"SB14-187","Colorado Commission Affordable Health Care","Aguilar & Roberts / Stephens & Schafer","Signed 5/29/2014"
"SB14-188","Species Conservation Trust Fund Project List","Schwartz & Baumgardner/Fischer & Rankin","Signed 5/17/2014"
"SB14-189","FY14-15 Controlled Maintenance Trust Fund Transfer","Joint Budget Committee","Signed 5/15/0201"
"SB14-190","Statewide Discovery Sharing System","Joint Budget Committee","Signed 5/29/2014"
"SB14-191","Work Comp Procedures Settlements Lump Sum Per Diem","Tochtrop/Pabon","Signed 5/31/2014"
"SB14-192","Uranium Processing Groundwater Protection","Hodge / Becker & Wright","Signed 6/5/2014"
"SB14-193","Location Information After US v Jones","Carroll & Lundberg / Singer","Signed 6/6/2014"
"SB14-194","Driver's License Fee Allocations","Steadman / May & Gerou","Signed 6/5/2014"
"SB14-195","South Platte River Post-flood Phreatophyte Study","Nicholson & Renfroe/Singer & Sonnenberg","Signed 6/6/2014"
"SB14-197","Transportation Enterprise Transparency Act","Jones & Herpin / Foote & Kraft-Tharp","Vetoed 6/4/2014"
"SB14-199","Georgetown Charter Updates","Grantham / Becker","Signed 6/5/2014"
"SB14-201","Child Protection Ombudsman Advisory Work Group","Newell / Singer","Signed 5/29/2014"
"SB14-202","Funding For Energy Efficiency In Schools","Kerr/Tyler","Signed 5/15/2014"
"SB14-203","Respondent Parents Counsel Child Abuse And Neglect","Lambert & Newell / May & Gardner","Signed 5/29/2014"
"SB14-205","Talent Pipeline Working Group","Newell / Young","Signed 5/21/2014"
"SB14-206","Criminal Record Sealing Clean-up","Steadman / Singer","Signed 5/31/2014"
"SB14-208","Veteran License Certificate Registration","Jones/Fields","Signed 5/31/2014"
"SB14-209","Insurer Investments In Real Property NAIC Model","Heath & Scheffel / Tyler","Signed 6/6/2014"
"SB14-210","Require Insurance Commissioner Preexam Draft Report Conference","Cadman & Aguilar / Sonnenberg & Kraft-Tharp","Signed 5/29/2014"
"SB14-211","Alzheimers Disease Center","Johnston & Balmer / Hullinghorst & Waller","Signed 6/5/2014"
"SB14-212","Clean-up Bail Bond Statutes","Ulibarri / Lee","Signed 6/6/2014"
"SB14-213","Statutes Of Limitations For Vehicular Homicide","Johnston / Conti & Fields","Signed 6/5/2014"
"SB14-214","PERA Studies Conducted by Actuarial Firm","Lambert & Steadman/Gerou","Signed 6/4/2014"
"SB14-215","Disposition of Legal Marijuana Related Revenue","Steadman/Duran & Gerou","Signed 6/6/2014"
"SB14-217","Increased Transparency Lobbyist Disclosure","Carroll & Cadman / Hullinghorst & DelGrosso","Signed 6/6/2014"
"SB14-222","License Plate Auctions & Disability Benefit Fund","Aguilar/Gerou","Signed 5/22/2014"
"SB14-223","Payment Claims Lower North Fork Wildfire","Nicholson & Cadman/Gerou & Young","Signed 6/6/2014"
