"permit_number","location","additional_reference","parcel_number","permit_type","work_class","apply_date","issue_date","project_name","permit_details","work_description","valuation","sq_ft","number_of_units","owner","applicant","contractor","contractor_phone","company","tenant","lender","designer_of_record","total_fees"
"FIRE-2013-00106","8397 158TH AVE NE
REDMOND, WA 98052
(47.678424032000464, -122.13031832399969)",,"7198900010","Fire Sprinkler - Commercial","New System","2013-01-09T00:00:00.000","2013-04-19T00:00:00.000","7025 PINE FOREST","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-00106","Installation of an new Commercial System NFPA 13 Wet/Dry - 2105 heads and 1 riser/supply/ 1 standpipe system","0","0.00",,,"Corey Sisson",,"4258810100","WESTERN STATES FIRE PROTECTION CO.",,,,"6301.13"
"BLDG-2013-00809","6222 185TH AVE NE
REDMOND, WA 98052
(47.66254977200049, -122.09426948799972)","MICROVISION-BLDG C","7198970010","Commercial","Exterior Alteration","2013-02-01T00:00:00.000","2013-04-19T00:00:00.000","1868 MICROVISION BLDG C","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-00809","Interior work consisting of new grid height walls in 23/917 sq ft first floor. No structural alterations. Change out window to glass doors. Microvision Bldg C","239170","23917.00",,,"Jamie Herring",,"2066823030","SCHUCHART CORPORATION",,"None",,"4285.99"
"ELEC-2013-03184","15050 NE 36TH ST
REDMOND, WA 98052
(47.64062990400049, -122.13721966199972)","MICROSOFT-BLDG 110  ROOFTOP","6448300050","Electrical - OTC","Commercial","2013-04-22T00:00:00.000","2013-04-22T00:00:00.000","MICROSOFT-BLDG 110","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03184","(1) service - altered.","4338.83","0.00",,,"David Williams",,"2067623311","MCKINSTRY ELECTRIC",,,,"201.73"
"ELEC-2013-03183","11539 174TH CT NE
REDMOND, WA 98052
(47.70317924900047, -122.10724994899971)","SEQUOIA RIDGE LOT 11","7695360110","Electrical - OTC","Residential","2013-04-22T00:00:00.000","2013-04-22T00:00:00.000","Sequoia Ridge","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03183","Install new electrical service for new SFR - includes one feeder/ one fire alarm/ one ground ufer-per inspector visit/ one low voltage/ one new circuit/ one new service","10000","5330.00",,,"Dave Neigel",,"4253351407","HERE 2 WIRE/ INC",,,,"375.98"
"BLDG-2013-02387","12268 168TH CT NE
REDMOND, WA 98052
(47.70993866000049, -122.1165636609997)","SYCAMORE PARK - LOT 8","8163500080","Residential","New","2013-03-27T00:00:00.000","2013-04-23T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-02387","New sprinklered 2 story 4 star built green home with 2234 sq ft dwelling space/ 77 sq ft covered porch/ 418 sq ft garage. Total area of construction 2729 sq ft","254699.24","2853.00","1",,"Sharon Hill",,"4254541900","STEVE BURNSTEAD CONSTRUCTION LLC",,"None",,"21353.86"
"BLDG-2013-02392","12236 168TH CT NE
REDMOND, WA 98052
(47.70964167000051, -122.11656124599972)","SYCAMORE PARK - LOT 5","8163500050","Residential","New","2013-03-27T00:00:00.000","2013-04-23T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-02392","New sprinklered 2 story 4 star Built Green home with 2134 sq ft dwelling space/ 79 sq ft covered porch/ 445 sq ft garage/ total area of construction is 2/658 sq ft.","240759.19","2134.00","1",,"Sharon Hill","Kevin Moos",,"Steve Burnstead Construction",,"None","Charles Voelker","21203.72"
"BLDG-2013-02393","12246 168TH CT NE
REDMOND, WA 98052
(47.70973448000046, -122.11656200099969)","SYCAMORE PARK LOT 6","8163500060","Residential","New","2013-03-27T00:00:00.000","2013-04-23T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-02393","New 2 story sprinklered 4 star Built Green Home with 2030 sq ft of dwelling space/ 34 sq ft covered porch/ 465 sq ft garage and 129 sq ft uncovered deck. Total sq ft is 2658","233565.4","2658.00","1",,"Sharon Hill",,"4254541900","STEVE BURNSTEAD CONSTRUCTION LLC",,"None","Charles Voelker","21128.66"
"BLDG-2013-02389","12258 168TH CT NE
REDMOND, WA 98052
(47.709845851000466, -122.11656290599973)","SYCAMORE PARK - LOT 7","8163500070","Residential","New","2013-03-27T00:00:00.000","2013-04-23T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-02389","New sprinklered 2 story 4 star Built Green home with 1533 ssq ft dwelling space/ 38 sq ft covered porch/ 75 sq ft uncovered deck/ 269 sq ft garage/ total area of construction is 1/915 sq ft.","172956.63","1533.00","1",,"Sharon Hill","Kevin Moos",,"Steve Burnstead Construction",,"None","Charles Voelker","20474.5"
"ELEC-2013-03264","12236 168TH CT NE
REDMOND, WA 98052
(47.70964167000051, -122.11656124599972)","SYCAMORE PARK - LOT 5","8163500050","Electrical - OTC","Residential","2013-04-24T00:00:00.000","2013-04-24T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03264","1 service - new.","240759.19","2658.00",,,"Kim Mitchell",,"2536317750","PROVIDENT ELECTRIC INC",,,,"161.13"
"BLDG-2013-01571","10345 156TH LN NE
REDMOND, WA 98052
(47.69290270200048, -122.13145060699969)","MONDAVIO LOT 71- BLDG 27 UNITS 101 & 102","7090208888","Multi-Family","New","2013-02-28T00:00:00.000","2013-04-24T00:00:00.000","Mondavio Lot 71","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-01571","Construction of a new 3 story fire-sprinklered duplex consisting of 3292 sq ft dwelling/ 259 sq ft covered patio/ 202 sq ft uncovered deck/ 603 sq fto garage for a total of 4356 sq ft.","382842.97","4356.00","2",,"Michelle Dittman",,"4255867700","MONDAVIO TOWNHOMES LLC",,,,"20138.13"
"ELEC-2013-03268","12268 168TH CT NE
REDMOND, WA 98052
(47.70993866000049, -122.1165636609997)","SYCAMORE PARK - LOT 8","8163500080","Electrical - OTC","Residential","2013-04-24T00:00:00.000","2013-04-24T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03268","1 service - new.","6000","2853.00",,,"Kim Mitchell",,"2536317750","PROVIDENT ELECTRIC INC",,,,"161.13"
"BLDG-2013-01376","10351 156TH LN NE
REDMOND, WA 98052
(47.692928648000475, -122.13146213899972)","MONDAVIO-BLDG 26  UNITS 101 & 102","7090208888","Multi-Family","New","2013-02-21T00:00:00.000","2013-04-24T00:00:00.000","Mondavio Lot 71","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-01376","Construction of a new 3 story fire-sprinklered duplex consisting of 3/292 sq ft dwelling/ 259 sq ft covered patio/ 202 sq ft uncovered deck/ 728 sq ft garage for a total of 4/481 sq ft.","387674.22","4481.00","2",,"Michelle Dittman",,"4255867700","MONDAVIO TOWNHOMES LLC",,,,"20900.4"
"ELEC-2013-03265","12246 168TH CT NE
REDMOND, WA 98052
(47.70973448000046, -122.11656200099969)","SYCAMORE PARK LOT 6","8163500060","Electrical - OTC","Residential","2013-04-24T00:00:00.000","2013-04-24T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03265","1 service - new.","233565.4","2658.00",,,"Sharon Hill",,"2536317750","PROVIDENT ELECTRIC INC",,,,"161.13"
"MECH-2013-03274","11539 174TH CT NE
Redmond, WA 98052
(47.70317924900047, -122.10724994899971)","Sequoia Ridge Lot 11","7695360110","Mechanical - OTC","Residential","2013-04-24T00:00:00.000","2013-04-24T00:00:00.000","Sequoia Ridge","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2013-03274","1 exhaust hood/ 3 gas applicances & piping/ 1 gas logs insert/ 1 gas wtr heater/ 1 heating equipment including ductwork/ and 4 vent fans.","10000","5330.00",,,"Dave Neigel",,"4258272266","JOHN F BUCHAN HOMES LLC",,,,"241.66"
"B120443","11810 176TH AVE NE
REDMOND, WA 98052
(47.704749810000465, -122.1052691759997)",,"2526059049","Stormwater Vault","None","2012-07-31T00:00:00.000","2013-04-24T00:00:00.000","EASTVIEW SHORT PLAT","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120443","DETENTION VAULT CONCRETE DETENTION TO BE BUILT IN THIS SIX LOT SHORT PLAT.  93' X 23' X 14' DEEP. 2139 SF AREA OF CONST.","120000","2139.00","1",,"PENG TEO",,"4257755161","SEATTLE HOME BUILDERS LLC",,,,"398.22"
"PLUM-2013-03275","11539 174TH CT NE
Redmond, WA 98052
(47.70317924900047, -122.10724994899971)","Sequoia Ridge Lot 11","7695360110","Plumbing - OTC","Residential","2013-04-24T00:00:00.000","2013-04-24T00:00:00.000","Sequoia Ridge","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2013-03275","1 backflow preventer & vacuum breaker/ 3 bathtubs/ 1 clothes washer/ 1 dishwasher/ 1 garbage disposal/ 2 hose bibs/ 2 showers/valve replacement/ 6 sinks - bathroom/ 1 sink- kitche/ 4 toilets/ 1 wtr service.  23 fixtures total.","13000","5330.00",,,"Dave Neigel",,"4258272266","JOHN F BUCHAN HOMES LLC",,,,"362.63"
"SITE-2013-03270","11810 176TH AVE NE
REDMOND, WA 98052
(47.704749810000465, -122.1052691759997)",,"2526059049","Civil Site Construction Permit","Short Plat/Binding Site Plan","2013-04-24T00:00:00.000","2013-04-24T00:00:00.000","EASTVIEW SHORT PLAT","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/SITE-2013-03270","Eastview Short PlatDIVIDE 1.5+ ACRES LOT INTO SIX LOTS","0","0.00",,,,"Ryan Gregerson","4257755161","Seattle Home Builders LLC",,,,"19868.54"
"MECH-2013-03312","12236 168TH CT NE
REDMOND, WA 98052
(47.70964167000051, -122.11656124599972)","SYCAMORE PARK LOT 5","8163500050","Mechanical - OTC","Residential","2013-04-25T00:00:00.000","2013-04-25T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2013-03312","(1) Gas Appliance and Piping","240759.19","2658.00",,,"Sharon Hill",,"4254541900","STEVE BURNSTEAD CONSTRUCTION LLC",,,,"69.82"
"MECH-2013-03315","12246 168TH CT NE
REDMOND, WA 98052
(47.70973448000046, -122.11656200099969)","SYCAMORE PARK LOT 6","8163500060","Mechanical - OTC","Residential","2013-04-25T00:00:00.000","2013-04-25T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/MECH-2013-03315","(1) Gas Appliance and Piping","233565.4","2658.00",,,"Sharon Hill",,"4254541900","STEVE BURNSTEAD CONSTRUCTION LLC",,,,"69.82"
"PLUM-2013-03343","12246 168TH CT NE
REDMOND, WA 98052
(47.70973448000046, -122.11656200099969)","SYCAMORE PARK LOT 6","8163500060","Plumbing - OTC","Residential","2013-04-25T00:00:00.000","2013-04-25T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2013-03343","(2) Back Flow Preventer & Vaccum Breaker/ (1) Kitchen Sink/ (1) Dishwasher/ (1) Garbage Disposal/ (1) Clothes Washer/ (5) Bathroom Sink/ (3) Toilet/ (2) Bathtubs/ (2) Shower/Valve Replacement/ (1) Sink (Floor/ Mop)/ (2) Hose Bibs","233565.4","2658.00",,,"Sharon Hill",,"4254541900","STEVE BURNSTEAD CONSTRUCTION LLC",,,,"335.77"
"ELEC-2013-03300","13505 NE 75TH ST
Redmond, WA 98052
(47.67164934700048, -122.15889985399969)","ROSE HILL MIDDLE SCHOOL","1025059119","Electrical - OTC","Commercial","2013-04-25T00:00:00.000","2013-04-25T00:00:00.000","ROSE HILL JUNIOR HIGH SCHOOL","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03300","1 low voltage.","68000","140479.00",,,"Michael Middleton",,"3606585200","ADVANCED CLASSROOM TECHNOLOGIES",,,,"1657.93"
"PLUM-2013-03356","12268 168TH CT NE
REDMOND, WA 98052
(47.70993866000049, -122.1165636609997)","SYCAMORE PARK LOT 8","8163500080","Plumbing - OTC","Residential","2013-04-25T00:00:00.000","2013-04-25T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2013-03356","(2) Back Flow Preventer & Vaccum Breaker/ (1) Kitchen Sink/ (1) Dishwasher/ (1) Garbage Disposal/ (1) Clothes Washer/ (5) Bathroom Sink/ (3) Toilet/ (2) Bathtubs/ (2) Shower/Valve Replacement/ (1) Laundry Tray & Utility Sink/ (1) Sink (Floor/ Mop)/ (2) Hose Bibs","254699.24","2853.00",,,"Sharon Hill",,"4254541900","STEVE BURNSTEAD CONSTRUCTION LLC",,,,"349.2"
"ELEC-2013-03306","17667 NE 76TH ST
REDMOND, WA 98052
(47.67153987900048, -122.10440957299971)","FRED MEYER STOCK RM","7198930010","Electrical - OTC","Commercial","2013-04-25T00:00:00.000","2013-04-25T00:00:00.000","FRED MEYER","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03306","Pull CAT5 - 2 data drops.","500","0.00",,,"Pete Malone",,,"Applied Telecom Systems Inc",,,,"72.59"
"PLUM-2013-03330","12236 168TH CT NE
REDMOND, WA 98052
(47.70964167000051, -122.11656124599972)","SYCAMORE PARK LOT 5","8163500050","Plumbing - OTC","Residential","2013-04-25T00:00:00.000","2013-04-25T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2013-03330","(2) Back Flow Preventer & Vaccum Breaker/ (1) Kitchen Sink/ (1) Dishwasher/ (1) Garbage Disposal/ (1) Clothes Washer/ (5) Bathroom Sink/ (3) Toilet/ (2) Bathtubs/ (2) Shower/Valve Replacement/ (1) Laundry Tray & Utility Sink/ (1) Sink (Floor/ Mop)/ (2) Hose Bibs","240759.19","2658.00",,,"Sharon Hill",,"4254541900","STEVE BURNSTEAD CONSTRUCTION LLC",,,,"349.2"
"BLDG-2013-02873","13505 NE 75TH ST
REDMOND, WA 98052
(47.67164934700048, -122.15889985399969)","ROSE HILL MIDDLE SCHOOL","1025059119","Stormwater Vault","None","2013-04-11T00:00:00.000","2013-04-26T00:00:00.000","ROSE HILL JUNIOR HIGH SCHOOL","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-02873","Stormwater retention vault #2. Vault size - 40' X 210'.","590605","0.00",,,"Michael Romero",,"2858459544","ABSHER CONSTRUCTION CO",,,,"7191.64"
"ELEC-2013-03394","15563 NE 31ST ST
REDMOND, WA 98052
(47.63811881300046, -122.13297868599972)",,"673100004","Electrical - OTC","Commercial","2013-04-26T00:00:00.000","2013-04-26T00:00:00.000","1863 MICROSOFT BLDG 40","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03394","MICROSOFT-BLDG 40 HUB Add controls for 7 new VAV boxes and relocate 14 pace temp sensors.","3200","0.00",,,"Dan Herriman",,"4257762580","AUTOMATION CONTROLS INC",,,,"170.05"
"ELEC-2013-03393","15571 NE 31ST ST
REDMOND, WA 98052
(47.638149041000474, -122.13377894699971)","MICROSOFT-BLDG 40 HUB","673100004","Electrical - OTC","Commercial","2013-04-26T00:00:00.000","2013-04-26T00:00:00.000","1861 MICROSOFT - BLDG 41","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03393","Microsoft-bldg 41 HUB - Add controls for 9 new VAV boxes and Relocate 25 space temp sensors.","4750","0.00",,,"Dan Herriman",,"4257762580","AUTOMATION CONTROLS INC",,,,"213.16"
"B120745","15440 NE 107TH ST
Redmond, WA 98052
(47.69563986600048, -122.13384923599972)","Verona Lot 22","8895800220","Residential","New","2012-12-31T00:00:00.000","2013-04-26T00:00:00.000","Verona","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120745","CONSTRUCTION OF A NEW TWO-STORY/ FIRE SPRINKLERED SINGLE FAMILY RESIDENCE CONSISTING OF 3570 DWELLING SPACE/  646 SQ FT GARAGE AND 309 SQ FT COVERED PORCHES FOR A TOTAL OF 4/525 SQ  FT","389228","4525.00","1",,,,"4254518188","COSMOS CONSTRUCTION CORP.",,,"Jeffrey DeRoulet","7777.67"
"B120746","10732 154TH PL NE
REDMOND, WA 98052
(47.69576892100048, -122.1343988749997)","VERONA LOT 23","8895800230","Residential","New","2012-12-31T00:00:00.000","2013-04-26T00:00:00.000","Verona","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120746","CONSTRUCTION OF NEW FIRE-SPRINKLERED 2 STORY SFR CONSISTING OF 3582 SQ FT DWELLING/ 206 SQ FT COVERED PORCH/ 647 SQ FT GARAGE FOR A TOTAL OF 4435 SQ FT.","386514.79","4435.00","1",,"Oscar Del Moro",,"4254518188","COSMOS CONSTRUCTION CORP.",,"None",,"7760.85"
"ELEC-2013-03390","16150 NE 85TH ST
REDMOND, WA 98052
(47.67849966500046, -122.12417928199972)","106","9200200020","Electrical - OTC","Commercial","2013-04-26T00:00:00.000","2013-04-26T00:00:00.000","VILLAGE SQUARE SIGN PROGRAM","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03390","Lighting retrofit.","1500","0.00",,,"Art Wagner",,"4257735559","ESCO ELECTRIC LLC",,,,"122.78"
"SITE-2013-03335","0 No Address
REDMOND, WA 98052
(47.673829835000504, -122.1206693049997)",,"2526059034","Civil Site Construction Permit","Plat","2013-04-25T00:00:00.000","2013-04-29T00:00:00.000","Willowmere","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/SITE-2013-03335","Willowmere","0","0.00",,,"Paula Judson",,,,,,,"35991"
"ELEC-2013-03486","16175 CLEVELAND ST
REDMOND, WA 98052
(47.673721179000495, -122.12451437799967)","OLD TOWN MIXED USE","7792400005","Electrical - OTC","Mixed Use","2013-04-30T00:00:00.000","2013-04-30T00:00:00.000","OLD TOWN MIXED USE","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03486","15 t-stats.","1125","0.00",,,"Steven Knobbs",,"4254820584","GB SYSTEMS INC",,,,"112.35"
"ELEC-2013-03468","13505 NE 75TH ST
REDMOND, WA 98052
(47.67164934700048, -122.15889985399969)","ROSE HILL MIDDLE SCHOOL","1025059119","Electrical - OTC","Commercial","2013-04-30T00:00:00.000","2013-04-30T00:00:00.000","ROSE HILL JUNIOR HIGH SCHOOL","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03468","Low Voltage DAS radio.","40000","140479.00",,,"Caleb Lystad",,"2064365200","VECA ELECTRIC CO INC",,,,"1080.92"
"FIRE-2013-03254","18014 REDMOND WAY
Redmond, WA 98052
(47.66525994000045, -122.09933953099971)",,"725069111","Fire Life Safety","Tenant","2013-04-23T00:00:00.000","2013-05-01T00:00:00.000","561 SHERWINWILLIAMS PAINT STORE","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-03254","SHERWIN WILLIAMS PAINT STORE","0","0.00",,,,,,,,,,"100"
"FIRE-2013-03980","7545 166TH AVE NE
Redmond, WA 98052
(47.671095092000485, -122.11886851199972)","D-110","7202410010","Fire Life Safety","Tenant","2013-05-14T00:00:00.000","2013-05-01T00:00:00.000","6013 REDMOND TOWN CENTER-BLDG D","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-03980","PALLINO PASTARIA COMPANY","0","0.00",,,,,,,"Dennis Vanderpool",,,"50"
"FIRE-2013-04967","7210 164TH AVE NE
Redmond, WA 
(47.668789381000465, -122.12151981399973)",,"7202410040","Fire Life Safety","Tenant","2013-06-06T00:00:00.000","2013-05-01T00:00:00.000","1899 CLAIM JUMPER","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-04967","CLAIM JUMPER","0","0.00",,,,,,,"Tara Stewart",,,"300"
"FIRE-2013-04870","16150 NE 85TH ST
Redmond, WA 98052
(47.67849966500046, -122.12417928199972)","212","9200200020","Fire Life Safety","Tenant","2013-06-05T00:00:00.000","2013-05-01T00:00:00.000","565 VILLAGE SQUARE","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-04870","DR. DEBRA CEDERBAUM / BALDWIN ORTHODONTICS","0","0.00",,,,,,,"Debra Cederbaum",,,"100"
"FIRE-2013-03895","7502 164TH AVE NE
Redmond, WA 98052
(47.67124950400046, -122.12148985499971)","A-135","7202410010","Fire Life Safety","Tenant","2013-05-13T00:00:00.000","2013-05-01T00:00:00.000","1891 REDMOND TOWN CENTER - BLDG A","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-03895","Dr. Jeff Files Dental office  A-135","0","0.00",,,,,,,"Jeff Files",,,"100"
"FIRE-2013-04641","7401 164TH AVE NE
Redmond, WA 98052
(47.6712195450005, -122.12148985499971)",,"7202410080","Fire Life Safety","Tenant","2013-05-30T00:00:00.000","2013-05-01T00:00:00.000","4853 MARRIOT HOTEL ","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-04641","MARRIOTT HOTEL","0","0.00",,,,,,,"Christoper Graf",,,"500"
"FIRE-2013-04983","7662 159TH PL NE
Redmond, WA 98052
(47.67289957200046, -122.1278297129997)",,"9270700050","Fire Life Safety","Tenant","2013-06-06T00:00:00.000","2013-05-01T00:00:00.000","765 ACCURATE AUTO BODY","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-04983","ACCURATE AUTO BODY","0","0.00",,,,,,,"Leanne Hansen",,,"500"
"FIRE-2013-04540","7530 164TH AVE NE
Redmond, WA 98052
(47.671859061000475, -122.12147948499972)","A-230","7202410010","Fire Life Safety","Tenant","2013-05-29T00:00:00.000","2013-05-01T00:00:00.000","1891 REDMOND TOWN CENTER - BLDG A","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-04540","SMILES BY DESIGN","0","0.00",,,,,,,"Jesse Farmer",,,"100"
"FIRE-2013-05786","17777 NE 76TH ST
Redmond, WA 98052
(47.671339383000486, -122.10099996999969)",,"7198930020","Fire Life Safety","Tenant","2013-06-26T00:00:00.000","2013-05-01T00:00:00.000","4402  HOME DEPOT","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-05786","HOME DEPOT #4723","0","0.00",,,,,,,"Jackie Wolfram",,,"700"
"FIRE-2013-04883","16150 NE 85TH ST
Redmond, WA 98052
(47.67849966500046, -122.12417928199972)","126","9200200020","Fire Life Safety","Tenant","2013-06-05T00:00:00.000","2013-05-01T00:00:00.000","565 VILLAGE SQUARE","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-04883","SMILE ARTISTRY","0","0.00",,,,,,,"Ashley Barron",,,"100"
"FIRE-2013-04855","16150 NE 85TH ST
Redmond, WA 98052
(47.67849966500046, -122.12417928199972)","104","9200200020","Fire Life Safety","Tenant","2013-06-05T00:00:00.000","2013-05-01T00:00:00.000","565 VILLAGE SQUARE","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-04855","VILLAGE SQUARE CAFÉ","0","0.00",,,,,,,"Ryan Mitchell",,,"50"
"ELEC-2013-03543","14679 NE 95TH ST
REDMOND, WA 98052
(47.6858892510005, -122.14454932999968)","BLACK RAVEN BREWING COMPANY","9430500031","Electrical - OTC","Commercial","2013-05-02T00:00:00.000","2013-05-02T00:00:00.000","BLACK RAVEN BREWING COMPANY","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03543","Add devices to existing low voltage security system (1) Low Voltage","352","0.00",,,"ADT LLC",,"8668093421","ADT LLC",,,,"72.59"
"BLDG-2013-03556","17202 NE 85TH PL
REDMOND, WA 98052
(47.680009155000505, -122.1071888789997)","EAGLE RIM APTS PHASE 1-BLDG M 226","7200002150","Multi-Family","New","2013-05-02T00:00:00.000","2013-05-02T00:00:00.000","EAGLE RIM APARTMENTS","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2013-03556","OTC M/F Remodel - 160 sq ft kitchen - Eagle Rim Apts Phase 1-Bldg M Unit 226.  Inspection history is under B100444.","2000","160.00","1",,"Cosmin Trif",,"2062288593","SALTAIRE CRAFTSMEN LLC",,"None",,"84.72"
"FIRE-2013-03546","16400 NE 74TH ST
REDMOND, WA 98052
(47.67065953600047, -122.12117989099971)","EDDIE BAUER STE B105","7202410010","Fire Sprinkler - Commercial","Quick Start","2013-05-02T00:00:00.000","2013-05-02T00:00:00.000","REDMOND TOWN CENTER","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-03546","Relocate six (6) sprinkler heads; add ten (10) sprinkler heads; cap/plug seven (7) sprinkler heads.","175000","0.00",,,"Jim Thomas",,"2067623311","MCKINSTRY CO LLC",,,,"423.31"
"PLUM-2013-03557","17202 NE 85TH PL
REDMOND, WA 98052
(47.680009155000505, -122.1071888789997)","EAGLE RIM APTS PHASE 1-BLDG M 226","7200002150","Plumbing - OTC","Multi-Family","2013-05-02T00:00:00.000","2013-05-02T00:00:00.000","EAGLE RIM APARTMENTS","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2013-03557","Renovate kitchen and bath - Eagle Rim Apts Phase 1 Bldg M Unit 226. Installing 2 bathtubs/ 1 dishwasher/ 2 sink/bathroom/ 2 sink/untility & laundry tray/ 1 ice/coffee maker for a total of 7 fixtures.","500","160.00",,,"Cosmin Trif",,"2062288593","SALTAIRE CRAFTSMEN LLC",,,,"147.73"
"ELEC-2013-03586","16771 REDMOND WAY
REDMOND, WA 98052
(47.67248429300048, -122.11675224699968)","VALUE VILLAGE","1225059094","Electrical - OTC","Commercial","2013-05-03T00:00:00.000","2013-05-03T00:00:00.000","297 VALUE VILLAGE CENTER","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-03586","Tenant improvement/ reballast/relamp existing lights/ add new lights/ add sub panels Customer Paid For:(210) New Circuit/ (5) Feeder/ (5) Service - Added","131000","25334.00",,,"Kevin Lewis",,"2538520225","A C ELECTRIC SERVICE INC",,,,"2761.06"
"DEMO-2013-02981","14802 NE 61ST WAY
REDMOND, WA 98052
(47.662209849000476, -122.14285893199968)",,"8123450440","Demolition","None","2013-04-15T00:00:00.000","2013-05-07T00:00:00.000","SUNRISE PARK-LOT 44","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/DEMO-2013-02981","Demo fire damaged single-family residence - 1/450 sf.","5000","1450.00","1","Bettye Schuler",,,"4253342475","AERO CONSTRUCTION / PACIFIC COM'L EQUIP",,,,"338.03"
"PLUM-2013-03681","17202 NE 85TH PL
REDMOND, WA 98052
(47.680009155000505, -122.1071888789997)","EAGLE RIM APTS PHASE 1-BLDG B 204","7200002150","Plumbing - OTC","Multi-Family","2013-05-07T00:00:00.000","2013-05-07T00:00:00.000","EAGLE RIM APARTMENTS","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/PLUM-2013-03681","Renovate kitchen and bath.  Install 2 bathtubs/ 1 dishwasher/ 2 sink/bathroom/ 1 sink/kitchen/ 1 ice/coffee maker for a total of 7 fixtures.","1000","0.00",,,"Cosmin Trif",,"2062288593","SALTAIRE CRAFTSMEN LLC",,,,"147.73"
