"fiscal_year","city","comparison_item","comparison_value"
"FY1314","Gilbert","Secondary Rate","1.15"
"FY1314","Glendale","Secondary Rate","1.7915"
"FY1314","Phoenix","Secondary Rate","0.3536"
"FY1314","Scottsdale","Secondary Rate","0.7604"
"FY1314","Tempe","Secondary Rate","1.5705"
"FY1314","Mesa Proposed","Secondary Rate","1.1854"
"FY1314","Mesa","Secondary Annual Cost","79"
"FY1314","Chandler","Secondary Annual Cost","121"
"FY1314","Gilbert","Secondary Annual Cost","157"
"FY1314","Glendale","Secondary Annual Cost","129"
"FY1314","Phoenix","Secondary Annual Cost","25"
"FY1314","Scottsdale","Secondary Annual Cost","167"
"FY1314","Tempe","Secondary Annual Cost","169"
"FY1314","Mesa Proposed","Secondary Annual Cost","130"
"FY1314","Mesa","City Sales Tax Rate","0.0175"
"FY1314","Chandler","City Sales Tax Rate","0.015"
"FY1314","Gilbert","City Sales Tax Rate","0.015"
"FY1314","Glendale","City Sales Tax Rate","0.029"
"FY1314","Phoenix","City Sales Tax Rate","0.02"
"FY1314","Scottsdale","City Sales Tax Rate","0.0165"
"FY1314","Tempe","City Sales Tax Rate","0.02"
"FY1314","Mesa Proposed","City Sales Tax Rate","0.0175"
"FY1314","Mesa","City Sales Tax Annual Cost","548"
"FY1314","Chandler","City Sales Tax Annual Cost","592"
"FY1314","Gilbert","City Sales Tax Annual Cost","533"
"FY1314","Glendale","City Sales Tax Annual Cost","1041"
"FY1314","Phoenix","City Sales Tax Annual Cost","697"
"FY1314","Scottsdale","City Sales Tax Annual Cost","586"
"FY1314","Tempe","City Sales Tax Annual Cost","710"
"FY1314","Mesa Proposed","City Sales Tax Annual Cost","548"
"FY1314","Mesa","Solid Waste Rate","24.37"
"FY1314","Chandler","Solid Waste Rate","15.07"
"FY1314","Gilbert","Solid Waste Rate","16"
"FY1314","Glendale","Solid Waste Rate","16.3"
"FY1314","Phoenix","Solid Waste Rate","26.8"
"FY1314","Scottsdale","Solid Waste Rate","15.96"
"FY1314","Tempe","Solid Waste Rate","19.98"
"FY1314","Mesa Proposed","Solid Waste Rate","26.1"
"FY1314","Mesa","Solid Waste Annual Cost","292"
"FY1314","Chandler","Solid Waste Annual Cost","181"
"FY1314","Gilbert","Solid Waste Annual Cost","192"
"FY1314","Glendale","Solid Waste Annual Cost","196"
"FY1314","Phoenix","Solid Waste Annual Cost","322"
"FY1314","Scottsdale","Solid Waste Annual Cost","192"
"FY1314","Tempe","Solid Waste Annual Cost","240"
"FY1314","Mesa Proposed","Solid Waste Annual Cost","313"
"FY1314","Mesa","Water Rate","39.69"
"FY1314","Chandler","Water Rate","26.11"
"FY1314","Gilbert","Water Rate","25.43"
"FY1314","Glendale","Water Rate","35.59"
"FY1314","Phoenix","Water Rate","31.77"
"FY1314","Scottsdale","Water Rate","37.94"
"FY1314","Tempe","Water Rate","36.77"
"FY1314","Mesa Proposed","Water Rate","43.32"
"FY1314","Mesa","Water Annual Cost","476"
"FY1314","Chandler","Water Annual Cost","313"
"FY1314","Gilbert","Water Annual Cost","305"
"FY1314","Glendale","Water Annual Cost","427"
"FY1314","Phoenix","Water Annual Cost","381"
"FY1314","Scottsdale","Water Annual Cost","455"
"FY1314","Tempe","Water Annual Cost","441"
"FY1314","Mesa Proposed","Water Annual Cost","520"
"FY1314","Mesa","Wastewater Rate","25.53"
"FY1314","Chandler","Wastewater Rate","24.17"
"FY1314","Gilbert","Wastewater Rate","24.58"
"FY1314","Glendale","Wastewater Rate","41.24"
"FY1314","Phoenix","Wastewater Rate","31.93"
"FY1314","Scottsdale","Wastewater Rate","25.17"
"FY1314","Tempe","Wastewater Rate","31.5"
"FY1314","Mesa Proposed","Wastewater Rate","27.96"
"FY1314","Mesa","Wastewater Annual Cost","306"
"FY1314","Chandler","Wastewater Annual Cost","290"
"FY1314","Gilbert","Wastewater Annual Cost","295"
"FY1314","Glendale","Wastewater Annual Cost","495"
"FY1314","Phoenix","Wastewater Annual Cost","383"
"FY1314","Scottsdale","Wastewater Annual Cost","302"
"FY1314","Tempe","Wastewater Annual Cost","378"
"FY1314","Mesa Proposed","Wastewater Annual Cost","336"
"FY1314","Mesa","Annual Total","1702"
"FY1314","Chandler","Annual Total","1539"
"FY1314","Gilbert","Annual Total","1481"
"FY1314","Glendale","Annual Total","2323"
"FY1314","Phoenix","Annual Total","1909"
"FY1314","Scottsdale","Annual Total","1819"
"FY1314","Tempe","Annual Total","2036"
"FY1314","Mesa Proposed","Annual Total","1846"
"FY1314","Mesa","Percent of Mesa","1"
"FY1314","Chandler","Percent of Mesa","0.9"
"FY1314","Gilbert","Percent of Mesa","0.87"
"FY1314","Glendale","Percent of Mesa","1.37"
"FY1314","Phoenix","Percent of Mesa","1.12"
"FY1314","Scottsdale","Percent of Mesa","1.07"
"FY1314","Tempe","Percent of Mesa","1.2"
"FY1314","Mesa Proposed","Percent of Mesa","1.08"
"FY1213","Mesa","Primary Median Value","114800"
"FY1213","Chandler","Primary Median Value","153200"
"FY1213","Gilbert","Primary Median Value","157200"
"FY1213","Glendale","Primary Median Value","90000"
"FY1213","Phoenix","Primary Median Value","90100"
"FY1213","Scottsdale","Primary Median Value","249500"
"FY1213","Tempe","Primary Median Value","149500"
"FY1213","Mesa Proposed","Primary Median Value","100600"
"FY1213","Mesa","Primary Rate","0"
"FY1213","Chandler","Primary Rate","0.3292"
"FY1213","Gilbert","Primary Rate","0"
"FY1213","Glendale","Primary Rate","0.2252"
"FY1213","Phoenix","Primary Rate","1.2397"
"FY1213","Scottsdale","Primary Rate","0.5027"
"FY1213","Tempe","Primary Rate","0.7862"
"FY1213","Mesa Proposed","Primary Rate","0"
"FY1213","Mesa","Primary Annual Cost","0"
"FY1213","Chandler","Primary Annual Cost","35.98"
"FY1213","Gilbert","Primary Annual Cost","0"
"FY1213","Glendale","Primary Annual Cost","24.61"
"FY1213","Phoenix","Primary Annual Cost","135.5"
"FY1213","Scottsdale","Primary Annual Cost","54.95"
"FY1213","Tempe","Primary Annual Cost","85.93"
"FY1213","Mesa Proposed","Primary Annual Cost","0"
"FY1213","Mesa","Secondary Median Value","114800"
"FY1213","Chandler","Secondary Median Value","153200"
"FY1213","Gilbert","Secondary Median Value","157200"
"FY1213","Glendale","Secondary Median Value","90000"
"FY1213","Phoenix","Secondary Median Value","90100"
"FY1213","Scottsdale","Secondary Median Value","249500"
"FY1213","Tempe","Secondary Median Value","149500"
"FY1213","Mesa Proposed","Secondary Median Value","100600"
"FY1213","Mesa","Secondary Rate","0.5104"
"FY1213","Chandler","Secondary Rate","0.9422"
"FY1213","Gilbert","Secondary Rate","1.15"
"FY1213","Glendale","Secondary Rate","1.6753"
"FY1213","Phoenix","Secondary Rate","0.5803"
"FY1213","Scottsdale","Secondary Rate","0.7225"
"FY1213","Tempe","Secondary Rate","1.3552"
"FY1213","Mesa Proposed","Secondary Rate","0.8636"
"FY1213","Mesa","Secondary Annual Cost","58.59"
"FY1213","Chandler","Secondary Annual Cost","144.35"
"FY1213","Gilbert","Secondary Annual Cost","180.78"
"FY1213","Glendale","Secondary Annual Cost","150.78"
"FY1213","Phoenix","Secondary Annual Cost","52.29"
"FY1213","Scottsdale","Secondary Annual Cost","180.26"
"FY1213","Tempe","Secondary Annual Cost","202.6"
"FY1213","Mesa Proposed","Secondary Annual Cost","86.88"
"FY1213","Mesa","City Sales Tax Rate","0.0175"
"FY1213","Chandler","City Sales Tax Rate","0.015"
"FY1213","Gilbert","City Sales Tax Rate","0.015"
"FY1213","Glendale","City Sales Tax Rate","0.029"
"FY1213","Phoenix","City Sales Tax Rate","0.02"
"FY1213","Scottsdale","City Sales Tax Rate","0.0165"
"FY1213","Tempe","City Sales Tax Rate","0.02"
"FY1213","Mesa Proposed","City Sales Tax Rate","0.0175"
"FY1213","Mesa","City Sales Tax Annual Cost","494.18"
"FY1213","Chandler","City Sales Tax Annual Cost","576.19"
"FY1213","Gilbert","City Sales Tax Annual Cost","505.69"
"FY1213","Glendale","City Sales Tax Annual Cost","1044.21"
"FY1213","Phoenix","City Sales Tax Annual Cost","702.55"
"FY1213","Scottsdale","City Sales Tax Annual Cost","556.25"
"FY1213","Tempe","City Sales Tax Annual Cost","674.25"
"FY1213","Mesa Proposed","City Sales Tax Annual Cost","494.18"
"FY1213","Mesa","Solid Waste Rate","23.88"
"FY1213","Chandler","Solid Waste Rate","15.07"
"FY1213","Gilbert","Solid Waste Rate","17.3"
"FY1213","Glendale","Solid Waste Rate","16.3"
"FY1213","Phoenix","Solid Waste Rate","26.85"
"FY1213","Scottsdale","Solid Waste Rate","16"
"FY1213","Tempe","Solid Waste Rate","19.98"
"FY1213","Mesa Proposed","Solid Waste Rate","24.37"
"FY1213","Mesa","Solid Waste Annual Cost","286.56"
"FY1213","Chandler","Solid Waste Annual Cost","180.84"
"FY1213","Gilbert","Solid Waste Annual Cost","207.6"
"FY1213","Glendale","Solid Waste Annual Cost","195.6"
"FY1213","Phoenix","Solid Waste Annual Cost","322.2"
"FY1213","Scottsdale","Solid Waste Annual Cost","192"
"FY1213","Tempe","Solid Waste Annual Cost","239.76"
"FY1213","Mesa Proposed","Solid Waste Annual Cost","292.41"
"FY1213","Mesa","Water Rate","38.21"
"FY1213","Chandler","Water Rate","25.93"
"FY1213","Gilbert","Water Rate","25.13"
"FY1213","Glendale","Water Rate","34.74"
"FY1213","Phoenix","Water Rate","31.44"
"FY1213","Scottsdale","Water Rate","36.78"
"FY1213","Tempe","Water Rate","34.47"
"FY1213","Mesa Proposed","Water Rate","38.98"
"FY1213","Mesa","Water Annual Cost","458.57"
"FY1213","Chandler","Water Annual Cost","311.13"
"FY1213","Gilbert","Water Annual Cost","301.56"
"FY1213","Glendale","Water Annual Cost","416.88"
"FY1213","Phoenix","Water Annual Cost","377.28"
"FY1213","Scottsdale","Water Annual Cost","441.36"
"FY1213","Tempe","Water Annual Cost","413.64"
"FY1213","Mesa Proposed","Water Annual Cost","467.74"
"FY1213","Mesa","Wastewater Rate","2503"
"FY1213","Chandler","Wastewater Rate","22.17"
"FY1213","Gilbert","Wastewater Rate","22.14"
"FY1213","Glendale","Wastewater Rate","32.25"
"FY1213","Phoenix","Wastewater Rate","22.19"
"FY1213","Scottsdale","Wastewater Rate","1894"
"FY1213","Tempe","Wastewater Rate","26.16"
"FY1213","Mesa Proposed","Wastewater Rate","25.53"
"FY1213","Mesa","Wastewater Annual Cost","300.36"
"FY1213","Chandler","Wastewater Annual Cost","266.04"
"FY1213","Gilbert","Wastewater Annual Cost","265.68"
"FY1213","Glendale","Wastewater Annual Cost","387"
"FY1213","Phoenix","Wastewater Annual Cost","266.28"
"FY1213","Scottsdale","Wastewater Annual Cost","227.25"
"FY1213","Tempe","Wastewater Annual Cost","313.9"
"FY1213","Mesa Proposed","Wastewater Annual Cost","306.36"
"FY1213","Mesa","Annual Total","1598.26"
"FY1213","Chandler","Annual Total","1514.56"
"FY1213","Gilbert","Annual Total","1461.31"
"FY1213","Glendale","Annual Total","2219.08"
"FY1213","Phoenix","Annual Total","1856.09"
"FY1213","Scottsdale","Annual Total","1652.1"
"FY1213","Tempe","Annual Total","1930.08"
"FY1213","Mesa Proposed","Annual Total","1647.57"
"FY1213","Mesa","Percent of Mesa","1"
"FY1213","Chandler","Percent of Mesa","0.948"
"FY1213","Gilbert","Percent of Mesa","0.914"
"FY1213","Glendale","Percent of Mesa","1.388"
"FY1213","Phoenix","Percent of Mesa","1.161"
"FY1213","Scottsdale","Percent of Mesa","1.034"
"FY1213","Tempe","Percent of Mesa","1.208"
"FY1213","Mesa Proposed","Percent of Mesa","1.031"
