"company","position","country","email_hosts","domain","location_1"
"City of Centennial","Innovation Team (i-team) Data Analyst","USA","centennialco.gov","gov","
Centennial, CO 
(39.580745, -104.877173)"
"JBTV Music Television","VP IT & Digital Media/Exec Producer","USA","jbtvonline.com","com","
Chicago, IL 
(41.878114, -87.629798)"
"NeuroDigital Technologies SL","Founder & CEO","SPAIN","neurodigital.es","es","
Almeria,  
(36.834047, -2.463714)"
"Mecha Media","Founder & CEO","USA","icloud.com","com","
Los Angeles, CA 
(34.052234, -118.243685)"
"AT&T & Directv","Sr QA Mgr","USA","live.com","com","
Redondo Beach, CA 
(33.849182, -118.388408)"
"Altria","Strategic Prod Planner","USA","altria.com","com","
Richmond, VA 
(37.540725, -77.436048)"
"Dyson","Dir Tech Scouting Head University Research","USA","dyson.com","com","
San Jose, CA 
(37.338208, -121.886329)"
"vArmour","Sr Staff Engineer","USA","varmour.com","com","
Mountain View, CA 
(37.386052, -122.083851)"
"Killer Infographics","Chief of Project Mgmt","USA","killerinfographics.com","com","
Seattle, WA 
(47.60621, -122.332071)"
"Converse EDC","Exec Dir","USA","converseedc.com","com","
Converse, TX 
(29.518008, -98.316124)"
"Sugar men","Luke Fenton","UNITED KINGDOM","gmail.com","com","
Liverpool,  
(53.408371, -2.991573)"
"SXSW Volunteer","James Plunkett","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Rambler & Co","Head of B2B Department","RUSSIAN FEDERATION","rambler-co.ru","ru","
Moscow,  
(55.755826, 37.6173)"
"The University of Texas at Austin","Sr Software Developer/Analyst","USA","austin.utexas.edu","edu","
Austin, TX 
(30.267153, -97.743061)"
"Engine90","CEO","USA","engine90.com","com","
Manchester, MA 
(53.480759, -2.242631)"
"RIT","Prof","USA","mail.rit.edu","edu","
Rochester, NY 
(43.16103, -77.610922)"
"University of Oxford","Doctoral Student","UNITED KINGDOM","gmail.com","com","
Oxford,  
(51.752021, -1.257726)"
"N/A","Web Developer","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Weekly Refresh WNYU FM","Producer","USA","wnyu.org","org","
New York, NY 
(40.712784, -74.005941)"
,"Jack McVann","UNITED KINGDOM","hotmail.co.uk","uk","
London,  
(51.507351, -0.127758)"
"Capital One","Lead Software Developer","USA","capitalone.com","com","
Glen Allen, VA 
(37.665978, -77.506374)"
"Nestle","VP Digital Svcs Innovation","SWITZERLAND","nestle.com","com","
Vevey,  
(46.462833, 6.841919)"
"The American Association for the Advancement of Science","Social Media Dir","USA","aaas.org","org","
Chevy Chase, MD 
(38.994915, -77.077205)"
"Microsoft","Experience Designer","USA","microsoft.com","com","
Redmind, WA 
(47.673988, -122.121512)"
"BitCandy.com","Photographer","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"CHIEF","Brand Warrior","USA","agencychief.com","com","
Washington, DC, DC 
(38.907192, -77.036871)"
"Overstock.com","Interaction Designer","USA","overstock.com","com","
Cottonwood Heights, UT 
(40.618316, -111.816293)"
"O43","Technical Architect","USA","gmail.com","com","
Jersey City, NJ 
(40.728157, -74.077642)"
"Aquarian Technology Systems","Pres","USA","gmail.com","com","
Lexington, OH 
(38.040584, -84.503716)"
"The Van Blargan Groups","Consultant","USA","gmail.com","com","
Dallas, TX 
(32.776664, -96.796988)"
"wonderMakr","Mark Stewart","CANADA","wondermakr.com","com","
Toronto, ON 
(43.653226, -79.383184)"
"Reel FX","SR Mktg & Outreach Mgr","USA","reelfx.com","com","
Dallas, TX 
(32.776664, -96.796988)"
"In-Part","Co Founder","UNITED KINGDOM","in-part.co.uk","uk","
Sheffield,  
(53.381129, -1.470085)"
"SX 800 Congress Stage Crew","Lorena De La Cruz","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"SXSW Crew Chief","Conference Tech","USA","gmail.com","com","
, TX 
(30.267153, -97.743061)"
"Al Jazeera Network","Sr New Media Planner","TURKEY","gmail.com","com","
Istanbul,  
(41.008238, 28.978359)"
"VIMN","Sr Dir Media Technologies","USA","mac.com","com","
Miami Beach, FL 
(25.790654, -80.130045)"
"Loden Hotel","Account Mgr Film & Ent","CANADA","theloden.com","com","
Vancouver, BC 
(45.638728, -122.661486)"
"Matterport","Chief Strategy Officer","USA","matterport.com","com","
Mountain View, CA 
(37.386052, -122.083851)"
"The Things Network","Initiator","NETHERLANDS","thethingsnetwork.org","org","
Amsterdam,  
(52.370216, 4.895168)"
"Edmunds.com","Front-End Engineer","USA","edmunds.com","com","
Santa Monica, CA 
(34.019454, -118.491191)"
"Penguin Random House","Corey Nascenzi","USA","penguinrandomhouse.com","com","
New York, NY 
(40.712784, -74.005941)"
"Globoforce","Head of Prod Innovation Labs","USA","globoforce.com","com","
Southborough, MA 
(42.30565, -71.524509)"
"University of Colorado Denver ","Elysia Smith",,"ucdenver.edu","edu","(39.6766215, -104.9640905)"
"M/C/C","Ad Coord","USA","mccom.com","com","
Dallas, TX 
(32.776664, -96.796988)"
"ChaiOne Inc","Interaction Designer","USA","chaione.com","com","
Austin, TX 
(30.267153, -97.743061)"
"ANG Marketing and Advertising","Chief, ANG Mktg & Advertising","USA","mail.mil","mil","
Joint Base Andrews, MD 
(38.79652, -76.883626)"
"National Instruments","Interaction Designer","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Prezi","Designer","USA","prezi.com","com","
San Francisco, CA 
(37.77493, -122.419416)"
"Dentsu.inc","Copywriter","JAPAN","dentsu.co.jp","jp","
Tokyo,  
(35.689488, 139.691706)"
"Datiotec","CEO","MEXICO","gabay.com.mx","mx","
San Luis Potosi,  
(22.15647, -100.985541)"
"Nottingham Spirk","Principal","USA","nottinghamspirk.com","com","
Westlake, OH 
(41.455323, -81.917917)"
"Trinity Education Group","CIO","USA","trinityeducationgroup.com","com","
Ellicott City, MD 
(39.267328, -76.798307)"
"General Dynamics","Dir Strategic Innovation","USA","gmail.com","com","
Pittsburgh, PA 
(40.440625, -79.995886)"
"iyzico","Mktg Mgr","TURKEY","gmail.com","com","
Istanbul,  
(41.008238, 28.978359)"
"SXSW Volunteer","Kathy Tran","USA","txstate.edu","edu","
San Marcos, TX 
(29.883275, -97.941394)"
"Skift","Sr Editor","USA","skift.com","com","
New York, NY 
(40.712784, -74.005941)"
,,,"cybercodetwins.com","com",
"Lenel Systems International","Sr UX Designer","USA","gmail.com","com","
Pittsford, NY 
(43.090619, -77.514997)"
"Evolve Productions LLC","Founder","USA","evolveprods.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Yomiko Advertising Inc","Creative Dir","JAPAN","yomiko.co.jp","jp","
Tokyo,  
(35.689488, 139.691706)"
"Roar Music Management","Mgr","AUSTRALIA","optusnet.com.au","au","
Templestowe, VIC 
(-37.756871, 145.129965)"
"Schneider Electric","Dir of Strategic Mktg","USA","schneider-electric.com","com","
North Kingstown, RI 
(41.556832, -71.453684)"
"Starfield Productions","Costume Designer","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Hemmersbach","IT Specialist","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
