"organization_name","description_of_services","populations_served","counties_served","website","how_to_access_resources","days_of_operation","hours_of_operation","notes","table3_addressline1","table3_addressline2","table3_city","table3_phone_numb"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","88 Merchants Row","200 Asa Bloomer Building","Rutland","802-786-5837
802-828-8846 TTY"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","27 Federal Street","Suite 100","Saint Albans","802-524-6585
802-524-7987 TTY"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","1197 Main Street","Suite 1","Saint Johnsbury","802-748-3177
802-751-3209 TTY"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","56 Main Street","Suite 101","Springfield","802-289-0999
802-885-1408 TTY"
"Vermont Department of Labor Career Resource Centers","Provides one-stop centers that offer an array of employment and training services. Helps job seekers assess skills and interests, explore training options, create a job search plan, write a resume, and find a job. Job seekers can access computers, educational resources, and information on employers. Provides youth employment services that include vocational testing and assessment to help identify skills, talents and experience; career guidance to help plan and map out a career strategy; tutoring and study skills training; summer employment opportunities; paid work experience including internships and job shadowing; leadership development opportunities; and support services to help overcome employment barriers. Monthly financial capabilities workshops.","General;Individuals","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.labor.vermont.gov","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 7:45 am - 4:30 pm
F: 9:30 am - 4:30 pm","Some locations closed 12:15 pm - 1:00 pm daily","118 Prospect Street","Suite 302","White River Junction","802-295-8805
802-295-4138 TTY"
"Office of the Attorney General: Consumer Assistance Program","Investigates and prosecutes violations of Vermont's consumer laws which prohibit businesses from engaging in unfair or deceptive acts or practices. The Consumer Assistance Program (CAP) is the complaint-handling branch of the Attorney General’s Consumer Protection Division and issues scam alerts to inform the public of fraudulent telephone and internet activities in Vermont. The CAP mediates disputes between consumers and businesses and gathers data for investigation and prosecution by the Attorney General. Automotive Consumer Assistance Program (AUTOCAP) handles complaints about vehicles purchased from a Vermont Auto Dealers Association (VADA) member. The Attorney General's Consumer Assistance Program is also an information clearinghouse for consumer questions about tenant rights, common scams, identity theft, debt collection, and legitimacy of charities.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.uvm.edu/consumer","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","Consumer Protection","23 Mansfield Avenue",,"Burlington","802-489-7150
800-649-2424 Toll Free"
"Vermont Department of Financial Regulation","Provides information and guidance to consumers about all types of commercial insurance. Provides information about insurance rates and products, state insurance laws, licensed Vermont companies, and individual agents. Protects Vermont investors from fraud by responding to investor complaints and investigating potential violations of security laws. Provides educational information about investing basics and securities laws on its website. Provides assistance and education to protect consumers from financial fraud, and offers help with filing complaints. Regulates state-chartered banks, credit unions, and lenders, and can answer related questions and concerns. Provides information about mortgage assistance programs and foreclosure filing.","General;Mature Adults","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.dfr.vermont.gov/insurance/insurance-consumer/insurance-consumer-information","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","7:45 am - 4:30 pm",,"89 Main Street",,"Montpelier","802-828-3302"
"Vermont Department of Motor Vehicles: New Motor Vehicle Arbitration Board","Provides consumers with a forum to resolve car warranty problems. Consumers may file a Demand for Arbitration to request a hearing after demonstration of reasonable repair, which is usually three unsuccessful attempts or thirty cumulative calendar days out of service within the manufacturer's express written warranty.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.lemonlaw.vermont.gov","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","7:45 am - 4:30 pm",,"14 Baldwin Street","Room 103","Montpelier","802-828-2943"
"Community College of Vermont","Offers an educational program consisting of six modules that help unemployed, or underemployed workers develop and enhance their skills.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.ccv.edu/careerreadyvt","Online;Telephone",,,"Days and hours vary.","324 Main Street","Suite 1","Bennington","802-447-2361"
"Community College of Vermont","Offers an educational program consisting of six modules that help unemployed, or underemployed workers develop and enhance their skills.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.ccv.edu/careerreadyvt","Online;Telephone",,,"Days and hours vary.","660 Elm Street",,"Montpelier","802-334-4451"
"Community College of Vermont","Offers an educational program consisting of six modules that help unemployed, or underemployed workers develop and enhance their skills.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.ccv.edu/careerreadyvt","Online;Telephone",,,"Days and hours vary.","10 Merchants Row","Suite 223","Middlebury","802-388-3032"
"Community College of Vermont","Offers an educational program consisting of six modules that help unemployed, or underemployed workers develop and enhance their skills.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.ccv.edu/careerreadyvt","Online;Telephone",,,"Days and hours vary.","60 West Street",,"Rutland","802-786-6996"
"Community College of Vermont","Offers an educational program consisting of six modules that help unemployed, or underemployed workers develop and enhance their skills.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.ccv.edu/careerreadyvt","Online;Telephone",,,"Days and hours vary.","142 South Main Street",,"Saint Albans","802-524-6541"
"Community College of Vermont","Offers an educational program consisting of six modules that help unemployed, or underemployed workers develop and enhance their skills.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.ccv.edu/careerreadyvt","Online;Telephone",,,"Days and hours vary.","1197 Main Street","Suite 3","Saint Johnsbury","802-748-6673"
"Community College of Vermont","Offers an educational program consisting of six modules that help unemployed, or underemployed workers develop and enhance their skills.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.ccv.edu/careerreadyvt","Online;Telephone",,,"Days and hours vary.","307 South Street","Howard Dean Center","Springfield","802-885-360"
"Community College of Vermont","Offers an educational program consisting of six modules that help unemployed, or underemployed workers develop and enhance their skills.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.ccv.edu/careerreadyvt","Online;Telephone",,,"Days and hours vary.","1 Abenaki Way",,"Winooski","802-654-0505"
"BROC Community Action in Southwestern Vermont","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. IDA program. Employment preparation and training. 
Tax Assistance: Provides free assistance with tax preparation and filing by IRS-trained volunteers and/or staff.
Small Business Development: Provides business counseling and technical assistance to individuals who are starting, expanding, or enhancing a small business. Services include one-on-one technical assistance in business plan development, marketing materials, and financial management.","General","Bennington;Rutland","http://www.broc.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"45 Union Street",,"Rutland","802-775-0878 
800-717-2762 Toll Free"
"Champlain Valley SCORE","Provides free, confidential face-to-face and/or online business advice and mentoring. Volunteer mentors can provide insight into how to start a business, operate and grow a business, buy or franchise a business, and sell a business.","General","Addison;Bennington;Chittenden;Franklin;Grand Isle;Rutland;Washington","https://champlainvalley.score.org/","Online;Telephone",,"Service hours vary",,"11 Lincoln Street","Prouty Federal Building","Essex Junction","802-764-5899"
"BROC Community Action in Southwestern Vermont","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. IDA program. Employment preparation and training. 
Tax Assistance: Provides free assistance with tax preparation and filing by IRS-trained volunteers and/or staff.
Small Business Development: Provides business counseling and technical assistance to individuals who are starting, expanding, or enhancing a small business. Services include one-on-one technical assistance in business plan development, marketing materials, and financial management.","General","Bennington;Rutland","http://www.broc.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"332 Orchard Road",,"Bennington","802-447-7515"
"Southeastern Vermont Community Action","Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment training, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. Money management and IDA programs. Tax assistance and small business development.","General","Windham;Windsor","http://www.sevca.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"91 Buck Drive",,"Westminster","802-722-4575
800-464-9951 Toll Free"
"SEVCA Brattleboro Outreach Office","Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. Money management and IDA programs.","General","Windham;Windsor","http://www.sevca.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"15 Grove Street",,"Brattleboro","802-254-2795"
"SEVCA Springfield Outreach Office","Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. Money management and IDA programs.","General","Windham;Windsor","http://www.sevca.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"107 Park Street","Suite 2","Springfield","802-885-6153"
"Windham and Windsor Housing Trust","Provides assistance with locating, securing or maintaining housing. Provides home buyer workshops, pre-purchase counseling, financial counseling, deliquency intervention, foreclosure prevention, and credit repair assistance.","General","Windham;Windsor","http://www.w-wht.org/homeownership-center/","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-T: 8:30 am - 4:30 pm, F: 8:30 am  - 3:00 pm",,"68 Birge Street","Daly Shoe Building","Brattleboro","802-246-2116"
"Windham and Windsor Housing Trust","Provides assistance with locating, securing or maintaining housing. Provides home buyer workshops, pre-purchase counseling, financial counseling, deliquency intervention, foreclosure prevention, and credit repair assistance.","General","Windham;Windsor","http://www.w-wht.org/homeownership-center/","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-T: 8:30 am - 4:30 pm, F: 8:30 am  - 3:00 pm",,"56 Main Street","Suite 210","Springfield","802-246-2116"
"The Dream Center","Provides drop-in help for individuals who are homeless and others who face difficult challenges, to assist them in making needed life changes towards a positive future. Offers case management, confidential mentoring, as well as special events.","General","Rutland","https://www.dreamcenterrutland.org/","Telephone;Walk-In","Monday;Thursday;Tuesday;Wednesday","M: 12:30 pm - 2:00 pm
T-Th: 1:00 pm - 4:00 pm",,"197 West Street",,"Rutland","802-236-0407"
"Veterans Assistance Office","Provides shelter, clothing, food, and an individualized program to reintegrate veterans into the community and help them to achieve self-sufficiency","Veterans","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.dodgehousevt.org/","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","Hours Vary",,"95 Crescent Street",,"Rutland","802-775-6772"
"Umbrella","Culinary Arts and Hospitality Services training for women transitioning out of unsafe or unsustainable living conditions.","General","Caledonia;Essex;Orleans","http://www.umbrellanek.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","24-Hour Crisis Lines available","1216 Railroad Street",,"Saint Johnsbury","802-748-8645"
"Umbrella","Culinary Arts and Hospitality Services training for women transitioning out of unsafe or unsustainable living conditions.","General","Caledonia;Essex;Orleans","http://www.umbrellanek.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm","24-Hour Crisis Lines available","93 East Main Street",,"Newport","802-334-0148"
"Invest EAP Farm First","Provides free and confidential short-term counseling and information & referral for any concern, including legal issues, farm personnel management, stress, financial situations, relationships, medical issues, conflict, elderly parents, anxiety, nutrition, depression, disability, childcare, and addiction. The program also assists with adapting farm equipment so that farmers can continue working their farms with injuries or disabilities.","Employers;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.investeap.org","Telephone","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","24 Hours/7 Days",,"110 Cherry Street","Suite 2-1","Burlington","802-392-0050"
"Saint Joseph Co-Cathedral: Joseph's House","Provides financial assistance on a case-by-case basis for utility disconnects, back rent, personal care items, food vouchers, laundry vouchers, clothing vouchers, bus passes, diapers and wipes, and photo ID payment assistance; Also provides information about other services in the community.","General","Chittenden","http://www.josephshousevt.org","Appointment;Telephone","Thursday;Tuesday;Wednesday","10:00 am - 12:00 pm",,"20 Pine Street","Cathedral of the Immaculate Conception","Burlington","802-951-4290"
"Monadnock SCORE","Provides free, confidential face-to-face and/or online business advice and mentoring. Volunteer mentors can provide insight into how to start a business, operate and grow a business, buy or franchise a business, and sell a business. Provides online workshops through its national website.","General","Windham","https://monadnock.score.org/","Online;Telephone",,"Days and hours of operation vary.",,"34 Mechanic Street",,"Keene","603-352-0320"
"Upper Valley SCORE","Provides free, confidential face-to-face and/or online business advice and mentoring. Volunteer mentors can provide insight into how to start a business, operate and grow a business, buy or franchise a business, and sell a business. Provides online workshops through its national website.","General","Orange;Windsor","http://www.uppervalley.score.org","Online;Telephone",,"Days and hours of operation vary.",,"20 West Park Street","Room 316","Lebanon","603-448-3491"
"Center for Addiction Recognition, Treatment, Education & Recovery","Offers confidential, one-on-one assessment, and online/telephone counseling for problem gamblers and their family and friends. Organization provides referrals to self-help organizations, counseling, and treatment programs. Offers educational materials, presentations to community groups, and training and screening tools for professionals. Website can be used for self-screening and for seeking counselor referrals by county.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://problemgambling.vermont.gov/","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 8:00 pm",,"56 Old Farm Road",,"Stowe","802-373-1434
800-522-4700 24 Hr Hotline"
"Vermont Foodbank","Provides 3SquaresVT (Food Stamps) outreach, including information about the program and eligibility assessment. Offers assistance in completing benefit application. Provides automated texting tool to screen for eligibility. Provides a job training and work readiness program that prepares participants for a career in the food service industry through an intensive program of culinary skills development, career readiness and job placement.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.vtfoodbank.org/nurture-people/3squaresvt","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"33 Parker Road",,"Barre","802-477-4119
855-855-6181"
"Hunger Free Vermont","Provides online information about 3SquaresVT (food stamps) and other food resources, including an anonymous calculator to determine eligibility for 3SquaresVT. Applicants may also contact Hunger Free Vermont for more information.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.vermontfoodhelp.com","Online;Telephone","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","24 Hrs/7 Days",,"38 Eastwood Drive","Suite 100","South Burlington","802-865-0255
800-479-6151"
"COVE","Provides a Medicare error and fraud education and resolution program. Trained volunteers educate about, and provide tools to identify, fraud. The program also assists with resolution by working with Centers for Medicare and Medicaid Services, law enforcement agencies, and the Vermont Attorney General's Office.","Mature Adults;Service Providers","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://vermontelders.org/vt_smp/","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm",,"617 Comstock Road",,"Berlin","802-229-4731
888-865-2683"
"Opportunities Credit Union","Home ownership counseling and mortgages, money management personal finance education, low-interest immigration loans, low-interest auto loans in partnership with Good News Garage, individual development loans, and small business development loans.","General","Chittenden","http://www.oppsvt.org","Appointment;Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 4:00/6:00 pm","Closing hours and services offered vary by office and day of week. 
Languages: English, French, Arabic, Bosnian, and Spanish.","25 Winooski Falls Way",,"Winooski","802-654-4540
800-865-8328"
"Opportunities Credit Union","Home ownership counseling and mortgages, money management personal finance education, low-interest immigration loans, low-interest auto loans in partnership with Good News Garage, individual development loans, and small business development loans.","General","Chittenden","http://www.oppsvt.org","Appointment;Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 4:00/6:00 pm","Closing hours and services offered vary by office and day of week. 
Languages: English, French, Arabic, Bosnian, and Spanish.","92 North Avenue",,"Burlington","802-865-2003
800-865-8328"
"United States Department of Agriculture Rural Development and Forest Service","Provides low-interest loans to residents to purchase or to build a home. Funds can be used to repair, renovate, or relocate a home, or to purchase and repare sites. The Business Development Grant Program supports targeted technical assistance, training, and other activities leading to the development or expansion of small and emerging private businesses in rural areas with under 50 employees.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.rd.usda.gov/vt","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"481 Summer Street","Suite 203","Saint Johnsbury","802-424-3159"
"Housing Trust of Rutland County","Provides affordable apartments for rent to income-qualified households. The website lists all currently available apartments. Owns and manages mobile home parks in Rutland County and in the Town of Ludlow.","General","Rutland","http://housingrutland.org/","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","M-Th: 8:00 am - 4:30 pm, closed 12:00 pm - 1:00 pm. Friday: By appointment only.",,"13 Center Street","2nd Floor","Rutland","800-545-7989 Toll Free
802-775-3139"
"United States Department of Agriculture Rural Development and Forest Service","Provides low-interest loans to residents to purchase or to build a home. Funds can be used to repair, renovate, or relocate a home, or to purchase and repare sites. The Business Development Grant Program supports targeted technical assistance, training, and other activities leading to the development or expansion of small and emerging private businesses in rural areas with under 50 employees.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.rd.usda.gov/vt","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"28 Vernon Street","Suite 333","Brattleboro","802-689-3038"
"United States Department of Agriculture Rural Development and Forest Service","Provides low-interest loans to residents to purchase or to build a home. Funds can be used to repair, renovate, or relocate a home, or to purchase and repare sites. The Business Development Grant Program supports targeted technical assistance, training, and other activities leading to the development or expansion of small and emerging private businesses in rural areas with under 50 employees.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.rd.usda.gov/vt","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"87 State Street","Suite 324 Federal Building/Post Office","Montpelier","802-828-6080"
"City of Burlington Community and Economic Development Office","Provides business services such as help with business planning, licenses and permitting, locating office space, and other general business assistance.","General","Chittenden","http://www.burlingtonvt.gov/cedo/","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm",,"149 Church Street","City Hall","Burlington","802-865-7144"
"Champlain Housing Trust","Offers HomeBuyer's Workshops, as well as education and counseling that include pre-purchase credit and budget counseling, financial literacy and foreclosure issues, guidance on affordable mortgages and refinancing, home maintenance education, and assistance with home rehabilitation planning. Also provides home ownership opportunities along with down payment grants through the Shared Equity Program (SEP). Offers housing down payment loans for manufactured homes through its Housing Loan Fund. Develops and manages affordable rental housing for all types of households.","General","Chittenden;Franklin;Grand Isle","http://www.getahome.org/homes","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 5:00 pm","Registration required for workshops.","88 King Street",,"Burlington","802-861-7394
877-274-7431"
"Champlain Housing Trust","Offers HomeBuyer's Workshops, as well as education and counseling that include pre-purchase credit and budget counseling, financial literacy and foreclosure issues, guidance on affordable mortgages and refinancing, home maintenance education, and assistance with home rehabilitation planning. Also provides home ownership opportunities along with down payment grants through the Shared Equity Program (SEP). Offers housing down payment loans for manufactured homes through its Housing Loan Fund. Develops and manages affordable rental housing for all types of households.","General","Chittenden;Franklin;Grand Isle","http://www.getahome.org/homes","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 5:00 pm","Registration required for workshops.","13 Lake Street",,"Saint Albans","802-527-2361
877-274-7431"
"Vermont Housing Finance Agency","Provides access to low cost, flexible homeownership mortgage products for individuals in need of affordable, low-interest mortgage financing. Program also offers a down payment assistance program for eligible first-time home buyers. Provides a searchable online directory of all state and federally subsidized rental housing in Vermont, along with information about current vacancies. Also provides online information on the health and safety standards that existing residential rental housing in Vermont must meet, as well as the legal rights and responsibilities of landlords and tenants.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.vhfa.org/","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm","Rental directory available online only.","164 Saint Paul Street",,"Burlington","802-854-5743
800-339-5866"
"Addison County Community Trust","Develops single-family houses, mobile home communities, and multi-family and elderly apartment projects on its own, with other Vermont non-profits, and with private developers. Owns nine mobile home parks throughout Addison County where residents own their homes. Grants 20% of the purchase price of a modest house, up to $44,000.","General","Addison","http://www.addisontrust.org","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 4:00 pm",,"272 Main Street",,"Vergennes","802-877-2626 Mobile Home Parks & Home Purchase
802-877-749 Apartments"
"Neighborworks of Western Vermont","Provides instruction and counseling on homebuyer readiness, budgeting and credit, shopping for a home, getting a mortgage loan, home inspections, closing costs, and access to discounts and special loan products. Down payment assistance loan programs.","General","Addison;Bennington;Rutland","http://www.nwwvt.org","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm (4:00 pm on Fridays)","Homebuyer education/financial coaching hours vary.","110 Marble Street","Kazon Building","West Rutland","802-438-2303
877-205-1147"
"Downstreet Housing and Community Development",,"General","Lamoille;Orange;Washington","http://www.downstreet.org","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"22 Keith Avenue","Suite 100","Barre","802-476-4493
802-477-1343 Homeownership Center"
"Sunrise Family Resource Center","Offers assistance in developing skills, attitudes, and behaviors essential for obtaining and maintaining employment, including assessment, modules on specific skills, and work-based learning experiences.","General","Bennington","http://www.sunrisefamilyresourcecenter.com","Appointment;Telephone","Monday;Thursday;Tuesday;Wednesday","9:00 am - 3:00 pm",,"244 Union Street",,"Bennington","802-442-934"
"Sunrise Family Resource Center: Housing Support","Offers a drop-in service for individuals or families looking for support getting started on their search for housing. Local housing applications and landlord lists are available along with help with next steps.","General","Bennington","http://www.sunrisefamilyresourcecenter.com","Walk-In","Tuesday","2:00 pm - 3:00 pm",,"266 Union Street",,"Bennington",
"Northwestern Counseling and Support Services","Provides services to help individuals with developmental disabilities gain independence and overcome barriers that restrict community access, limit housing options, reduce employment opportunities and strain relationships. Residential options include staffed residential homes, shared living providers, and independent apartments. Employment supports include resume building, interviewing skills, job search assistance and on-the-job training and support.","Persons with Disabilities","Franklin;Grand Isle","http://www.ncssinc.org/","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:00 pm",,"130 Fisher Pond Road",,"Saint Albans","802-524-6554
800-834-7793"
"Woodstock Area Job Bank","Provides free referral services to assist individuals in finding jobs, and to assist employers to find employees: part-time, full-time, or odd jobs, temporary or permanent. Also provides volunteers and volunteer matching for individuals and organizations in need.","General","Windsor","http://www.woodstockjobbank.org","Online;Telephone;Walk-In",,"Hours vary.",,"31 The Green",,"Woodstock","802-457-3835"
