"service_provider_id","organization_name","description_of_services","populations_served","eligibility","counties_served","resource_categories","service_areas_detail","website","how_to_access_resources","days_of_operation","email_address","hours_of_operation","notes"
"39","Office of the Attorney General: Consumer Assistance Program","Investigates and prosecutes violations of Vermont's consumer laws which prohibit businesses from engaging in unfair or deceptive acts or practices. The Consumer Assistance Program (CAP) is the complaint-handling branch of the Attorney General’s Consumer Protection Division and issues scam alerts to inform the public of fraudulent telephone and internet activities in Vermont. The CAP mediates disputes between consumers and businesses and gathers data for investigation and prosecution by the Attorney General. Automotive Consumer Assistance Program (AUTOCAP) handles complaints about vehicles purchased from a Vermont Auto Dealers Association (VADA) member. The Attorney General's Consumer Assistance Program is also an information clearinghouse for consumer questions about tenant rights, common scams, identity theft, debt collection, and legitimacy of charities.","General",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Consumer Protection","Statewide","#https://www.uvm.edu/consumer#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","ago.cap@vermont.gov#mailto:ago.cap@vermont.gov#","8:30 am - 4:30 pm","Consumer Protection"
"40","Vermont Department of Financial Regulation","Provides information and guidance to consumers about all types of commercial insurance. Provides information about insurance rates and products, state insurance laws, licensed Vermont companies, and individual agents. Protects Vermont investors from fraud by responding to investor complaints and investigating potential violations of security laws. Provides educational information about investing basics and securities laws on its website. Provides assistance and education to protect consumers from financial fraud, and offers help with filing complaints. Regulates state-chartered banks, credit unions, and lenders, and can answer related questions and concerns. Provides information about mortgage assistance programs and foreclosure filing.","General;Mature Adults",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Consumer Protection;Insurance;Other","Statewide","#http://www.dfr.vermont.gov/insurance/insurance-consumer/insurance-consumer-information#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","dfr.pubinfo@vermont.gov#mailto:dfr.pubinfo@vermont.gov#","7:45 am - 4:30 pm",
"41","Vermont Department of Motor Vehicles: New Motor Vehicle Arbitration Board","Provides consumers with a forum to resolve car warranty problems. Consumers may file a Demand for Arbitration to request a hearing after demonstration of reasonable repair, which is usually three unsuccessful attempts or thirty cumulative calendar days out of service within the manufacturer's express written warranty.","General","New motor vehicles purchased, leased, or registered in Vermont","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Consumer Protection","Statewide","#http://www.lemonlaw.vermont.gov#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","LemonLaw@state.vt.us#mailto:LemonLaw@state.vt.us#","7:45 am - 4:30 pm",
"42","Community College of Vermont","Offers an educational program consisting of six modules that help unemployed, or underemployed workers develop and enhance their skills.","General","Vermont Department of Labor (DOL) assesses potential participants to determine if they are ready for the program, and to identify the skill areas where help is needed.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Career Resources","Statewide.","#http://www.ccv.edu/careerreadyvt#","Online;Telephone",,"inquire@ccv.edu#mailto:inquire@ccv.edu#",,"Days and hours vary."
"43","Vermont Adult Technical Education Association","Provides an interactive web page that provides contact information for all tech centers and the courses they are offering. Technical Career Centers offer classes and trainings in specific technical occupations and skilled and semiskilled trades for individuals who have graduated from high school or the equivalent. Included are programs that prepare people for careers in areas as diverse as business, cosmetology, computer science, allied health occupations, auto mechanics, building trades, and manufacturing. Centers also offer classes to the public that augment self sufficiency in areas such as home gardening, food preservation, cooking, computer use, chainsaw safety, and more.","General",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Career Resources","Statewide","#http://vtadultcte.org/#","Online;Telephone","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday",,"24 Hours/7 Days",
"44","BROC Community Action in Southwestern Vermont","Provides a variety of core services in the communities it serves, including emergency support and assistance for low-income families and individuals in crisis. Other services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. IDA program. Employment preparation and training. 
Tax Assistance: Provides free assistance with tax preparation and filing by IRS-trained volunteers and/or staff.
Small Business Development: Provides business counseling and technical assistance to individuals who are starting, expanding, or enhancing a small business. Services include one-on-one technical assistance in business plan development, marketing materials, and financial management.","General","Income guidelines may apply.","Bennington;Rutland","Adult Financial Education;Career Resources;Federal and State Benefits;Housing and Basic Needs;IDAs;Information and Referral;Small Business Assistance;Tax Assistance","Bennington and Rutland Counties","#http://www.broc.org#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 4:30 pm",
"45","Southeastern Vermont Community Action","Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment training, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. Money management and IDA programs. Tax assistance and small business development.","General","Income guidelines may apply.","Windham;Windsor","Adult Financial Education;Career Resources;Federal and State Benefits;Housing and Basic Needs;IDAs;Information and Referral;Small Business Assistance;Tax Assistance",,"#http://www.sevca.org#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","sevca@sevca.org#mailto:sevca@sevca.org#","8:00 am - 4:30 pm",
"46","SEVCA Brattleboro Outreach Office","Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. Money management and IDA programs.","General","Income guidelines may apply.","Windham;Windsor","Adult Financial Education;Career Resources;Federal and State Benefits;Housing and Basic Needs;IDAs;Information and Referral",,"#http://www.sevca.org#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","sevca@sevca.org#mailto:sevca@sevca.org#","8:00 am - 4:30 pm",
"47","SEVCA Springfield Outreach Office","Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. Money management and IDA programs.","General","Income guidelines may apply.","Windham;Windsor","Adult Financial Education;Career Resources;Federal and State Benefits;Housing and Basic Needs;IDAs;Information and Referral",,"#http://www.sevca.org#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","sevca@sevca.org#mailto:sevca@sevca.org#","8:00 am - 4:30 pm",
"48","SEVCA White River Junction Outreach Office","Provides a variety of core services including emergency support and assistance. Services include problem-solving support, employment goal setting, budget counseling, tenant-landlord mediation, emergency food services, and emergency assistance with other basic needs such as utility payment assistance. Money management and IDA programs.","General","Income guidelines may apply.","Windham;Windsor","Adult Financial Education;Career Resources;Federal and State Benefits;Housing and Basic Needs;IDAs;Information and Referral",,"#http://www.sevca.org#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","sevca@sevca.org#mailto:sevca@sevca.org#","8:00 am - 4:30 pm",
"49","Windham and Windsor Housing Trust","Provides assistance with locating, securing or maintaining housing. Provides home buyer workshops, pre-purchase counseling, financial counseling, deliquency intervention, foreclosure prevention, and credit repair assistance.","General","Income guidelines may apply.","Windham;Windsor","Adult Financial Education;Home Ownership;Housing and Basic Needs","Windham and Southern Windsor Counties","#http://www.w-wht.org/homeownership-center/#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@w-wht.org#mailto:info@w-wht.org#","M-T: 8:30 am - 4:30 pm, F: 8:30 am  - 3:00 pm",
"50","The Dream Center","Provides drop-in help for individuals who are homeless and others who face difficult challenges, to assist them in making needed life changes towards a positive future. Offers case management, confidential mentoring, as well as special events.","General",,"Rutland","Housing and Basic Needs;Information and Referral","City of Rutland, Town of Rutland","#https://www.dreamcenterrutland.org/#","Telephone;Walk-In","Monday;Thursday;Tuesday;Wednesday","ljustin8@gmail.com#mailto:ljustin8@gmail.com#","M: 12:30 pm - 2:00 pm
T-Th: 1:00 pm - 4:00 pm",
"73","Another Way","Housing and employment support.","Individuals;Persons with Disabilities","Individuals who have experienced psychiatric interventions or trauma.","Washington","Career Resources;Housing and Basic Needs",,"#http://www.anotherwayvt.org#","Telephone;Walk-In","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","anotherwayvt@gmail.com#mailto:anotherwayvt@gmail.com#","9:00 am - 8:00 pm",
"51","Veterans Assistance Office","Provides shelter, clothing, food, and an individualized program to reintegrate veterans into the community and help them to achieve self-sufficiency","Veterans","Veterans. Some services require honorable discharge 30 days alcohol and substance free.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Housing and Basic Needs;Information and Referral","Statewide","#http://www.dodgehousevt.org/#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","dodgehouse_vao@comcast.net#mailto:dodgehouse_vao@comcast.net#","Hours Vary",
"52","Umbrella","Culinary Arts and Hospitality Services training for women transitioning out of unsafe or unsustainable living conditions.","General","Women Age 18+  transitioning from unsafe or unsustainable living conditions who need extra support in developing marketable job skills.","Caledonia;Essex;Orleans","Career Resources",,"#http://www.umbrellanek.org#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@umbrellanek.org#mailto:info@umbrellanek.org#","8:30 am - 4:30 pm","24-Hour Crisis Lines available"
"53","Invest EAP Farm First","Provides free and confidential short-term counseling and information & referral for any concern, including legal issues, farm personnel management, stress, financial situations, relationships, medical issues, conflict, elderly parents, anxiety, nutrition, depression, disability, childcare, and addiction. The program also assists with adapting farm equipment so that farmers can continue working their farms with injuries or disabilities.","Employers;General","Vermont farm owners grossing at least $10,000/year from agriculture AND/OR Vermont farmers working with a disability or injury and members of their households are automatically covered. Migrant farm workers not eligible.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Information and Referral;Small Business Assistance","Statewide","#http://www.investeap.org#","Telephone","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","marketing@investeap.org#mailto:marketing@investeap.org#","24 Hours/7 Days",
"54","Champlain Valley SCORE","Provides free, confidential face-to-face and/or online business advice and mentoring. Volunteer mentors can provide insight into how to start a business, operate and grow a business, buy or franchise a business, and sell a business.","General",,"Addison;Bennington;Chittenden;Franklin;Grand Isle;Rutland;Washington","Small Business Assistance",,"#https://champlainvalley.score.org/#","Online;Telephone",,"champlain.valley@scorevolunteer.org#mailto:champlain.valley@scorevolunteer.org#","Service hours vary",
"55","RuralEdge","Money management counseling, homebuyer education, renter education, low-interest home rehabilitation loans.","General","Income guidelines may apply.","Caledonia;Essex;Orleans","Adult Financial Education;Home Ownership;Housing and Basic Needs",,"#http://www.ruraledge.org#","Appointment;Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@ruraledge.org#mailto:info@ruraledge.org#","8:00 am - 12:00 pm, 1:00 pm - 4:30 pm",
"56","Saint Joseph Co-Cathedral: Joseph's House","Provides financial assistance on a case-by-case basis for utility disconnects, back rent, personal care items, food vouchers, laundry vouchers, clothing vouchers, bus passes, diapers and wipes, and photo ID payment assistance; Also provides information about other services in the community.","General","Must have a disconnect notice for utility assistance.","Chittenden","Housing and Basic Needs;Information and Referral","Chittenden County","#http://www.josephshousevt.org#","Appointment;Telephone","Thursday;Tuesday;Wednesday",,"10:00 am - 12:00 pm",
"57","Monadnock SCORE","Provides free, confidential face-to-face and/or online business advice and mentoring. Volunteer mentors can provide insight into how to start a business, operate and grow a business, buy or franchise a business, and sell a business. Provides online workshops through its national website.","General","Start-Up and existing business entrepreneurs","Windham","Small Business Assistance",,"#https://monadnock.score.org/#","Online;Telephone",,"info.monadnock@scorevolunteer.org#mailto:info.monadnock@scorevolunteer.org#","Days and hours of operation vary.",
"58","Upper Valley SCORE","Provides free, confidential face-to-face and/or online business advice and mentoring. Volunteer mentors can provide insight into how to start a business, operate and grow a business, buy or franchise a business, and sell a business. Provides online workshops through its national website.","General","Start-Up and existing business entrepreneurs","Orange;Windsor","Small Business Assistance",,"#http://www.uppervalley.score.org#","Online;Telephone",,"uppervalleyscore@gmail.com#mailto:uppervalleyscore@gmail.com#","Days and hours of operation vary.",
"59","Center for Addiction Recognition, Treatment, Education & Recovery","Offers confidential, one-on-one assessment, and online/telephone counseling for problem gamblers and their family and friends. Organization provides referrals to self-help organizations, counseling, and treatment programs. Offers educational materials, presentations to community groups, and training and screening tools for professionals. Website can be used for self-screening and for seeking counselor referrals by county.","General",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Other","Statewide","#http://problemgambling.vermont.gov/#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","cartervermont@gmail.com#mailto:cartervermont@gmail.com#","8:00 am - 8:00 pm",
"60","Vermont Foodbank","Provides 3SquaresVT (Food Stamps) outreach, including information about the program and eligibility assessment. Offers assistance in completing benefit application. Provides automated texting tool to screen for eligibility. Provides a job training and work readiness program that prepares participants for a career in the food service industry through an intensive program of culinary skills development, career readiness and job placement.","General","Income guidelines may apply.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Career Resources;Federal and State Benefits","Statewide","#https://www.vtfoodbank.org/nurture-people/3squaresvt#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","flongo@vtfoodbank.org#mailto:flongo@vtfoodbank.org#","8:00 am - 4:00 pm",
"61","Hunger Free Vermont","Provides online information about 3SquaresVT (food stamps) and other food resources, including an anonymous calculator to determine eligibility for 3SquaresVT. Applicants may also contact Hunger Free Vermont for more information.","General","Income guidelines.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Federal and State Benefits","Statewide.","#http://www.vermontfoodhelp.com#","Online;Telephone","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","dturner@hungerfreevt.org#mailto:dturner@hungerfreevt.org#","24 Hrs/7 Days",
"62","COVE","Provides a Medicare error and fraud education and resolution program. Trained volunteers educate about, and provide tools to identify, fraud. The program also assists with resolution by working with Centers for Medicare and Medicaid Services, law enforcement agencies, and the Vermont Attorney General's Office.","Mature Adults;Service Providers","Medicare beneficiaries","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Consumer Protection","Statewide","#https://vermontelders.org/vt_smp/#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","anita@vermontelders.org#mailto:anita@vermontelders.org#","9:00 am - 5:00 pm",
"63","Opportunities Credit Union","Home ownership counseling and mortgages, money management personal finance education, low-interest immigration loans, low-interest auto loans in partnership with Good News Garage, individual development loans, and small business development loans.","General",,"Chittenden","Adult Financial Education;Home Ownership;Loans and Asset Building;Small Business Assistance",,"#http://www.oppsvt.org#","Appointment;Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@oppsvt.org#mailto:info@oppsvt.org#","9:00 am - 4:00/6:00 pm","Closing hours and services offered vary by office and day of week. 
Languages: English, French, Arabic, Bosnian, and Spanish."
"64","United States Department of Agriculture Rural Development and Forest Service","Provides low-interest loans to residents to purchase or to build a home. Funds can be used to repair, renovate, or relocate a home, or to purchase and repare sites. The Business Development Grant Program supports targeted technical assistance, training, and other activities leading to the development or expansion of small and emerging private businesses in rural areas with under 50 employees.","General",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Home Ownership;Small Business Assistance",,"#http://www.rd.usda.gov/vt#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","jon.musie@vt.usda.gov#mailto:jon.musie@vt.usda.gov#","8:00 am - 4:30 pm",
"65","City of Burlington Community and Economic Development Office","Provides business services such as help with business planning, licenses and permitting, locating office space, and other general business assistance.","General",,"Chittenden","Small Business Assistance","City of Burlington","#http://www.burlingtonvt.gov/cedo/#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","cedofd@burlingtonvt.gov#mailto:cedofd@burlingtonvt.gov#","8:30 am - 4:30 pm",
"66","Champlain Housing Trust","Offers HomeBuyer's Workshops, as well as education and counseling that include pre-purchase credit and budget counseling, financial literacy and foreclosure issues, guidance on affordable mortgages and refinancing, home maintenance education, and assistance with home rehabilitation planning. Also provides home ownership opportunities along with down payment grants through the Shared Equity Program (SEP). Offers housing down payment loans for manufactured homes through its Housing Loan Fund. Develops and manages affordable rental housing for all types of households.","General","Varies by program.","Chittenden;Franklin;Grand Isle","Home Ownership;Housing and Basic Needs","Chittenden. Franklin, and Grand Isle Counties","#http://www.getahome.org/homes#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","education@getahome.org#mailto:education@getahome.org#","8:30 am - 5:00 pm","Registration required for workshops."
"67","Vermont Housing Finance Agency","Provides access to low cost, flexible homeownership mortgage products for individuals in need of affordable, low-interest mortgage financing. Program also offers a down payment assistance program for eligible first-time home buyers. Provides a searchable online directory of all state and federally subsidized rental housing in Vermont, along with information about current vacancies. Also provides online information on the health and safety standards that existing residential rental housing in Vermont must meet, as well as the legal rights and responsibilities of landlords and tenants.","General","Eligibility requirements available on website.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Home Ownership;Housing and Basic Needs","Statewide","#https://www.vhfa.org/#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","home@vhfa.org#mailto:home@vhfa.org#","8:00 am - 4:30 pm","Rental directory available online only."
"68","Addison County Community Trust","Develops single-family houses, mobile home communities, and multi-family and elderly apartment projects on its own, with other Vermont non-profits, and with private developers. Owns nine mobile home parks throughout Addison County where residents own their homes. Grants 20% of the purchase price of a modest house, up to $44,000.","General","Income and other guidelines apply.","Addison","Home Ownership;Housing and Basic Needs",,"#http://www.addisontrust.org#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","mary@addisontrust.org#mailto:mary@addisontrust.org#","9:00 am - 4:00 pm",
"69","Neighborworks of Western Vermont","Provides instruction and counseling on homebuyer readiness, budgeting and credit, shopping for a home, getting a mortgage loan, home inspections, closing costs, and access to discounts and special loan products. Down payment assistance loan programs.","General",,"Addison;Bennington;Rutland","Adult Financial Education;Home Ownership;Housing and Basic Needs",,"#http://www.nwwvt.org#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@nwwvt.org#mailto:info@nwwvt.org#","9:00 am - 5:00 pm (4:00 pm on Fridays)","Homebuyer education/financial coaching hours vary."
"70","Downstreet Housing and Community Development",,"General","Income guidelines may apply.","Lamoille;Orange;Washington","Adult Financial Education;Home Ownership;Housing and Basic Needs","Rental housing services limited to Washington county and town of Bradford","#http://www.downstreet.org#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@downstreet.org#mailto:info@downstreet.org#","8:00 am - 4:00 pm",
"71","Sunrise Family Resource Center","Offers assistance in developing skills, attitudes, and behaviors essential for obtaining and maintaining employment, including assessment, modules on specific skills, and work-based learning experiences.","General",,"Bennington","Career Resources","Bennington County","#http://www.sunrisefamilyresourcecenter.com#","Appointment;Telephone","Monday;Thursday;Tuesday;Wednesday","sfrc@sunrisepcc.com#mailto:sfrc@sunrisepcc.com#","9:00 am - 3:00 pm",
"72","Sunrise Family Resource Center: Housing Support","Offers a drop-in service for individuals or families looking for support getting started on their search for housing. Local housing applications and landlord lists are available along with help with next steps.","General","Open to all.","Bennington","Housing and Basic Needs",,"#http://www.sunrisefamilyresourcecenter.com#","Walk-In","Tuesday","sfrc@sunrisepcc.com#mailto:sfrc@sunrisepcc.com#","2:00 pm - 3:00 pm",
"74","Homeless Prevention Center","Provides housing search assistance, including help with applying for any available subsidies. Integrates money management education.","General",,"Rutland","Adult Financial Education;Federal and State Benefits;Home Ownership","Rutland county","#http://www.hpcvt.org#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:30 am - 4:30 pm","Interpretation services available."
"75","Northwestern Counseling and Support Services","Provides services to help individuals with developmental disabilities gain independence and overcome barriers that restrict community access, limit housing options, reduce employment opportunities and strain relationships. Residential options include staffed residential homes, shared living providers, and independent apartments. Employment supports include resume building, interviewing skills, job search assistance and on-the-job training and support.","Persons with Disabilities","Age 18+ with intellectual disability","Franklin;Grand Isle","Career Resources;Housing and Basic Needs",,"#http://www.ncssinc.org/#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 5:00 pm",
"76","Vermont Works for Women","Offers a work-readiness training system to help women overcome employment barriers and achieve meaningful employment that can move them toward economic independence. Participants may receive a stipend for the on-the-job portion of this program. The program is customized to meet each individual's needs with long term, post-program support. Online job bank.","General","Women who are transitioning from welfare or incarceration, struggling to hold long-term employment, underemployed, receiving state assistance, or who are New Americans","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Career Resources","Statewide","#http://www.vtworksforwomen.org#","Appointment;Telephone;Walk-In","Monday;Thursday;Tuesday;Wednesday","info@vtworksforwomen.org#mailto:info@vtworksforwomen.org#","1:00 am - 2:30 pm","Appointment preferred or walk-in to orientation Mondays at 10:30 am"
"77","Woodstock Area Job Bank","Provides free referral services to assist individuals in finding jobs, and to assist employers to find employees: part-time, full-time, or odd jobs, temporary or permanent. Also provides volunteers and volunteer matching for individuals and organizations in need.","General","Open to all","Windsor","Career Resources","Towns of Barnard, Bridgewater, Hartland, Pomfret, Reading, Woodstock. Also serves employers and prospective employees in the greater Upper Valley area.","#http://www.woodstockjobbank.org#","Online;Telephone;Walk-In",,"woodstockjobbank@gmail.com#mailto:woodstockjobbank@gmail.com#","Hours vary.",
"78","Pathstone - Vermont Operations Division","Offers employment, training, and support services to migrant workers, seasonal agricultural workers, and farm workers to assist them in obtaining permanent, full-time employment, either in agriculture or in some other line of work. Services provided to enrolled individuals may include emergency housing and limited rent assistance. Pays for necessary training of farmworkers on new farm equipment, in exchange for the farmer giving the worker a new title and a small increase in pay.","General","Farmers and farm workers","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Career Resources","Statewide","#http://www.pathstone.org#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","agarza@pathstone.org#mailto:agarza@pathstone.org#","9:00 am - 5:00 pm",
"79","AARP","Offers supplemental insurance policies that may pay for health care costs not covered by Medicare, including Medicare deductibles and co-payments. Also offers affordable group health, life, dental, and long term care insurance. Provides information about supplemental insurance and long term care insurance. Offers one-on-one counseling, as well as assistance on the telephone and Internet to help individuals prepare basic tax forms, including the 1040, 1040A, 1040EZ, and other standard schedules. Also provides online information about such tax issues as IRS tax scams and tax identity theft.","Mature Adults","Adults 50+","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Consumer Protection;Health Care;Tax Assistance","Statewide","#http://www.aarp.org/vt#","Appointment;Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","vtaarp@aarp.org#mailto:vtaarp@aarp.org#","9:00 am - 5:00 pm",
"80","The Center for an Agricultural Economy","Offers a loan program that supports agricultural entrerprises that directly support the expansion of the Vermont food system. Loans are provided for businesses to invest and innovate for growth, thereby increasing the availability of local foods in Vermont.","General","Vermont farmers","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Small Business Assistance",,"#https://www.vermontfarmfund.org/loan-programs/#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"By appointment.",
"81","Barre Housing Authority","Provides subsidized rental units for eligible applicants which enables the family or individual to find a privately-owned apartment of their choice within a designated county or town. Public housing rental waiting list.","General","Income guidelines apply.","Washington","Housing and Basic Needs","City and town of Barre","#http://www.barrehousingauthority.com#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","barrehousing@charterinternet.com#mailto:barrehousing@charterinternet.com#","8:00 am - 4:30 pm",
"82","Bennington Housing Authority","Provides permanently affordable rental housing, including single room occupancy housing units. Section 8 choice voucher program.","General","Income guideliens apply.","Bennington","Federal and State Benefits;Housing and Basic Needs","Town of Bennington","#http://www.benningtonhousingauthority.org/properties.html#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@benningtonhousingauthority.org#mailto:info@benningtonhousingauthority.org#","8:00 am - 5:00 pm",
"83","Brattleboro Housing Partnerships","Owns and manages public housing developments that include single-room occupancy housing. Programs for residents include the Family Self-Sufficiency Program and a Resident Services Program. Section 8 housing choice voucher program.","General","Income guidelines apply.","Windham","Federal and State Benefits;Housing and Basic Needs","Towns of Brattleboro, Vernon, Guilford, Halifax, Marlboro, Newfane, Brookline, Putney, and Dummerston","#http://www.brattleborohousing.org#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","bhp@brattleborohousing.org#mailto:bhp@brattleborohousing.org#","8:00 am - 4:30 pm, closed 12:00 pm - 1:00 pm",
"84","Burlington Housing Authority","Owns and manages affordable housing properties, including single room occupancy housing. Section 8 housing choice voucher program.","Families;General;Mature Adults;Persons with Disabilities","Income Guidelines Apply; Some properties may limit occupancy to certain populations: Families; Adults with Disabilities; and/or Adults Age 60 and Older","Chittenden","Federal and State Benefits;Housing and Basic Needs","Cities of Burlington and Winooski","#https://tinyurl.com/y9jbjbp5#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:30 am - 4:00 pm",
"85","Vermont State Housing Authority","Public housing services, section 8 voucher & home ownership programs, disabilities/independent living loan program.","Families;General;Mature Adults;Persons with Disabilities","Income guidelines apply.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Housing and Basic Needs","Statewide","#http://www.vsha.org#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","contact@vsha.org#mailto:contact@vsha.org#","7:45 am - 4:30 pm","Milton, Middlebury, Swanton, & Vergennes locations offer senior subsidized housing programs ONLY."
"86","Lamoille Housing Partnership","Develops and manages affordable rental housing.","General","Income guidelines apply.","Lamoille","Housing and Basic Needs","Lamoille county and town of Hardwick.","#http://www.lamoillehousing.org/alliance/#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@lamoillehousing.org#mailto:info@lamoillehousing.org#","9:00 am - 5:00 pm",
"87","Housing Trust of Rutland County","Provides affordable apartments for rent to income-qualified households. The website lists all currently available apartments. Owns and manages mobile home parks in Rutland County and in the Town of Ludlow.","General","Income guidelines apply.","Rutland","Housing and Basic Needs",,"#http://housingrutland.org/#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@housingrutland.org#mailto:info@housingrutland.org#","M-Th: 8:00 am - 4:30 pm, closed 12:00 pm - 1:00 pm. Friday: By appointment only.",
