"propletter","proptitle","month","day","year","date","description","pass_fail","vote_counts_yes","vote_counts_no","percent_vote_yes","percent_vote_no","percent_required_to_pass","kind","howplaced","voter_information_pamphlet"
"12","Civil Service Promotional Lists","March","16","1915","1915-03-16T00:00:00.000","Requires civil service examination within sixty days after exhaustion or abolition of eligible list or creation of new position; requires certification of highest eligible; appointing power to express reasons for specifying sex requirement; all promotional lists to be abolished after three years.","F","18907","27505","0.41","0.59","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"13","City Retirement and Pension Plan For Municipal Employees Other Than Police and Fire Employees","March","16","1915","1915-03-16T00:00:00.000","Authorizes the Supervisors to submit to the voters an ordinance providing for the retirement and pensioning of municipal employees other than members of the Police and Fire Departments, such ordinance to provide for a fund to be accumulated from contributions of employees and such contributions from the City and County as the voters may authorize.","F","13008","35548","0.27","0.73","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"14","Unemployment Fund","March","16","1915","1915-03-16T00:00:00.000","Provides for a fund for the relief of unemployed, and a tax not to exceed one cent on each one hundred dollars assessed valuation and prescribing the method of expenditure.","F","14077","34657","0.29","71.25","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"15","Payment on Contracts","March","16","1915","1915-03-16T00:00:00.000","Provides that progress payments on contracts shall not exceed 90% (percent) of value of work performed instead of 75% (percent) as at present.","F","7487","37399","0.17","0.83","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"16","Street Work, Street Improvement, Powers of Board of Supervisors","March","16","1915","1915-03-16T00:00:00.000","The Board of Supervisors is empowered to adopt by an ordinance passed by the vote of at least three-fourths of its members any general law of the State of California now in force and effect, relating to and providing for street work or street improvements in municipalities, the cost and expense of such work; all powers and provisions shall be applicable to such work or improvements and to the cost and expense in the City and County of San Francisco.","F","10207","33550","0.23","0.77","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"17","Street Grades, Methods For Changing, Delinquent Assessments","March","16","1915","1915-03-16T00:00:00.000","Relates to method of collecting delinquent assessments in proceedings changing street grades; method for changing street grades shall not be exclusive, but Supervisors may provide for alternative methods.","F","9445","34890","0.21","0.79","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"18","Revolving Fund For Street Work On Unimproved Streets","March","16","1915","1915-03-16T00:00:00.000","Bonds to the amount of $1,000,000 may be issued by a vote of the people to provide a ""Revolving Fund"" to be used for street work on unimproved streets.","F","14787","32335","0.31","0.69","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"19","City Expenses For Holiday Celebration","March","16","1915","1915-03-16T00:00:00.000","Reduces from $2,500 to $1,500 the amount allowed for the celebration of the Fourth of July, and provides that $1,000 be divided between Admission Day and Columbus Day.","F","18546","28831","0.39","0.61","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"20","Tax For Publicity Purposes","March","16","1915","1915-03-16T00:00:00.000","Gives Supervisors power to levy tax of not more than one cent of $100 of assessed valuation, to be used for publicity purposes.","F","18106","29247","0.38","0.62","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"21","Superintendent of Schools, Member of Board of Education","March","16","1915","1915-03-16T00:00:00.000","The Superintendent of Schools of the City and County shall be elected by the qualified electors at each gubernatorial election.  He shall be a member of the Board of Education and receive an annual salary of $4,000.","P","25307","22054","0.53","0.47","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"22","Initiative, Referendum and Recall Petitions","March","16","1915","1915-03-16T00:00:00.000","Protects initiative, referendum and recall petitions from misrepresentation and fraud and provides that no candidate shall contest at a recall election","F","22600","23420","0.49","0.51","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"23","Unclaimed Property","March","16","1915","1915-03-16T00:00:00.000","All unclaimed property and money that has been in the custody of the Property Clerk for one year shall be sold at public auction (with the exception of firearms and other deadly weapons, which must be destroyed), after having been five times advertised in the official newspaper. Proceeds of such sales shall be paid into the treasury of the Police Relief and Pension Fund.","P","27787","19513","0.59","0.41","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"24","Police Commission, Permit for the Sale of Liquor","March","16","1915","1915-03-16T00:00:00.000","Gives the Police Commission control over all places where liquor is sold in quantities less than two gallons instead of less than one quart as at present.","F","18223","32956","0.36","0.64","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"25","Parks Tax","March","16","1915","1915-03-16T00:00:00.000","Increases the maximum tax levy for parks, etc., from seven cents to nine cents on each $100 of assessed valuation.","F","15303","31948","0.32","0.68","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"26","Office of the Sheriff, Salary of Jail Guards","March","16","1915","1915-03-16T00:00:00.000","Increases the salary of 22 jail guards in the Sheriff's Office from $600 to $900 each, per year.","F","15273","34140","0.31","0.69","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"27","Police Department, Changes to Ranks and Salaries","March","16","1915","1915-03-16T00:00:00.000","Provides for a Captain - annual salary of $3000, and Lieutenant of Detectives - annual salary of $2400,  to be appointed from the force at large; increases the number of lieutenants to three in 100 patrolmen instead of two in 100; increases the detective force by fifteen; abolishes grade of corporal and makes present corporals sergeants - annual salary of $1800.","F","13272","36161","0.27","0.73","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"28","Salary Increase of Copyists in Recorder's Office","March","16","1915","1915-03-16T00:00:00.000","Increases the pay of copyists in the Recorder's Office from six to seven cents per folio (page), but salary shall not exceed $125 per month.","F","16223","32456","0.33","0.67","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"29","Salary Increase for Hydrantmen and Firemen on Fire Boats","March","16","1915","1915-03-16T00:00:00.000","Increases the salary of Hydrantmen and firemen on the fire boats from $1200 to $1440 per year for each.","F","11618","37937","0.23","0.77","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"30","Salary of the Members of the Board of Health","March","16","1915","1915-03-16T00:00:00.000","Gives the seven members of the Board of Health a yearly salary of $1200 each.","F","7820","40065","0.16","0.84","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"31","Board of Election Commissioners, Candidate Regulations","March","16","1915","1915-03-16T00:00:00.000","No member of the Board of Election Commissioners, nor the Registrar of Voters, nor the Deputy Registrar shall be a member of any convention to nominate candidates for office except they may be by resolution of Board of Supervisors elected to municipal office to frame or revise a municipal charter or elected as a delegate to a State Constitutional Convention.","F","7735","38151","0.17","0.83","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"32","Secretary to Mayor, Salary Increase","March","16","1915","1915-03-16T00:00:00.000","Increases the salary of the Mayor's Secretary from $2400 to $3600 per year.","F","3783","45239","0.08","0.92","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"33","Secretary of Board of Public Works, Salary Increase","March","16","1915","1915-03-16T00:00:00.000","Increases the salary of the Secretary of the Board of Public Works from $1800 to $3000 per year.","F","4052","47670","0.08","0.92","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"34","Playground Commissioners, Term of Office","March","16","1915","1915-03-16T00:00:00.000","Fixes the term of office of Playground Commissioners from one to four years.","F","22572","24334","0.48","0.52","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"35","City Property Exchange, Sutro Estate","March","16","1915","1915-03-16T00:00:00.000","Permits the Board of Supervisors to exchange city property on Van Ness Avenue, between Fell and Hayes streets, for not less than 40 acres of Sutro Estate property north of Lincoln Park.","F","18290","31084","0.37","0.63","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"36","Salary Increases, Municipal Employees, Dates to Begin","March","16","1915","1915-03-16T00:00:00.000","Except as otherwise provided, all Charter amendments submitted and adopted, or all that may hereafter be adopted, that increase the salary of any municipal officer or employee shall not take effect until the end of the fiscal year in which such amendments are ratified by the Legislature of the State of California.","P","26879","20269","0.57","0.43","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/March16_1915.pdf"
"1","Spring Valley Water Company Bond Acquisition, $34,5000,000","April","20","1915","1915-04-20T00:00:00.000","To incur a bonded indebtedness of $34,500,000 for the acquisition of the existing property and plant of the Spring Valley Water Company by the City in connection with and as part of the system of water supply heretofore authorized by the electors of the City on January 14, 1910, and known as the Lake Eleanor Tuolumne System.","F","39951","33455","0.54","0.46","66 2/3%","Bond Issue","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/April20_1915.pdf"
"8","Prohibition of Loitering, Picketing, Carrying Signs or Speaking in a Loud Voice in Public Streets or Places","November","7","1916","1916-11-07T00:00:00.000","It shall be unlawful for any person in or on any public street or place in the City to speak loud or cry out or proclaim for the purpose of influencing any person to refrain from entering any work or place of business, or for the purpose of influencing any person to refrain from purchasing any good or merchandise, or for the purpose of influencing any person to refrain from performing any work at any factory or business, or for the purpose of intimidating any person who is performing any work or seeking any work at any factory or business.","F","74028","68299","0.52","0.48","50%+1","Ordinance","Initiative","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"9","Prohibition of Public Speaking on Streets and in Public Parks","November","7","1916","1916-11-07T00:00:00.000","It shall be unlawful for any person to make or deliver any public speech, lecture or address in any street or public park in the City except that such person shall apply for and receive a permit from the Board of Supervisors to do so.","F","65446","68755","0.49","0.51","50%+1","Ordinance","Initiative","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"10","Operation of Jitney Buses on City Streets","November","7","1916","1916-11-07T00:00:00.000","Jitney Buses may operate on all City streets at all times, subject to such traffic regulations as the Police Department by law exercises over all vehicular traffic. Jitney buses must run to the end of the routes indicated by their terminal signals, but may take side or special trips on routes other than five or ten cent routes.","F","59573","79866","0.43","0.57","50%+1","Ordinance","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"11","Creating the position of City and County Attorney in Place of City Attorney","November","7","1916","1916-11-07T00:00:00.000","Provides for the creation of the position of ""City and County Attorney"" in place of the established ""City Attorney"" position, with a salary of $10,000 per year and to be appointed by the Mayor until January 8, 1922.","F","31900","94567","0.25","0.75","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"12","Election of Municipal Officers; Sample Ballots; Election Results","November","7","1916","1916-11-07T00:00:00.000","Changes to ""municipal elections"" and elected officers required by the Charter; changes to the printing of the sample ballots including rotation of candidate names; changes to the counting of election returns and the determination of election results.","P","75390","44876","0.63","0.37","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"13","Terms, Salary and Appointment of Police Judges","November","7","1916","1916-11-07T00:00:00.000","Providing for the appointment of Police Judges by the Mayor for six year terms and for night sessions of Police Court. Each judge shall receive an annual salary of $3600.","F","42253","84213","0.33","0.67","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"14","Alternative Salary of Police Judges","November","7","1916","1916-11-07T00:00:00.000","To provide for a monthly salary for Police Judges of $400 per month instead of $300 per month as at present.","F","26210","98910","0.21","0.79","50%+1","Charter Amendment","NA","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"15","Tax Levy Refund","November","7","1916","1916-11-07T00:00:00.000","To provide that when a tax levy made prior to the adoption of this amendment has been declared illegal by the California Supreme Court, all of the tax levy shall be refunded to property owners, regardless of whether protest has or has not been made. A special tax to refund the amount necessary may be levied.","F","50318","61098","0.45","0.55","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"16","Municipal Work Contracts; Eight Hour Day and $3.00 Per Day Minimum Wage","November","7","1916","1916-11-07T00:00:00.000","Provides that all contracts or sub-contracts for municipal work in California shall require an eight hour day and a $3.00 per day minimum wage for employment of San Francisco workers.","P","82851","42845","0.66","0.34","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"17","Gift of Public Aquarium","November","7","1916","1916-11-07T00:00:00.000","Gives the Board of Supervisors power to accept a gift of a public aquarium and appropriate not less than $20,000 for maintenance of same.","P","76428","45153","0.63","0.37","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"18","Fireman's Relief Fund","November","7","1916","1916-11-07T00:00:00.000","Gives the Board of Fire Commissioners additional control of the Fireman's Relief Fund.","P","63022","52490","0.55","0.45","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"19","Police Relief and Pension Fund","November","7","1916","1916-11-07T00:00:00.000","Gives Board of Police Commissions additional control of the Police Relief and Pension Fund.","P","60299","53514","0.53","0.47","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"20","Contributions to Police Relief and Pension Fund","November","7","1916","1916-11-07T00:00:00.000","The Treasurer shall retain from each member of the Police force, $2.00 per month which shall be paid into the Police Relief and Pension Fund. There shall be annual tax levied, collected and apportioned to the said fund to meet and pay all demands on the fund including any deficit that may exist for fiscal year ending June 30, 1917.","F","36625","75893","0.33","0.68","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"21","Salary Increase for Treasurer and Bookkeeper","November","7","1916","1916-11-07T00:00:00.000","Increases the annual salary of the Treasurer to $8000 from $4000 and the annual salary of the Bookkeeper to $2400 from $2100.","F","13572","112487","0.11","0.89","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"22","Land Acquisition Tax","November","7","1916","1916-11-07T00:00:00.000","Authorizes the Board of Supervisors to submit to the voters an Ordinance providing for a special tax for the purchase of land or acquisition of improvements, and may extend over a number of years, not to exceed ten. A majority vote adopts the Ordinance.","F","33357","77558","0.30","0.70","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"23","School Lots Reserved Under Van Ness Ordinance","November","7","1916","1916-11-07T00:00:00.000","Provides that certain school lots west of Arguello Boulevard and reserved under the provisions of the Van Ness Ordinance, may be sold and the proceeds to be used exclusively to purchase additions to new or existing sites for school purposes. The lots may be sold only when the Board of Education determines the lots are inadequate for school purposes.","P","79496","38828","0.67","0.33","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"24","Protecting Initiative, Referendum and Recall Elections","November","7","1916","1916-11-07T00:00:00.000","Provides for the protection of petitions for initiative, referendum and recall elections from fraud and forgery and to reduce the expense in verifying such petitions, and of such elections.","P","83053","29840","0.74","0.27","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"25","Filing of Bonds for Municipal Work Contracts","November","7","1916","1916-11-07T00:00:00.000","Provides for bonds of contractors for contracts awarded for municipal and street work to protect persons furnishing materials, labor, etc., for such work.","P","94816","22265","0.81","0.19","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"26","Changes in Street Grades; Installment Payments for Assessments","November","7","1916","1916-11-07T00:00:00.000","Granting the Board of Supervisors by Ordinance to provide a procedure for changes to street grades and street work and providing for installment payments for assessments.","P","66556","42628","0.61","0.39","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"27","Procedures for Street Work; Limitations to Installment Payments","November","7","1916","1916-11-07T00:00:00.000","To provide additional power to Board of Supervisors by Ordinance to provide procedures for street work and for limiting the amount of installment payments of assessments.","P","62403","42534","0.59","0.41","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"28","Treasurer's Responsibilities Concerning Public Money","November","7","1916","1916-11-07T00:00:00.000","To provide that written consent of the Auditor and the Chairman of the Finance Committee of the Board of Supervisors, in addition to that of the Mayor, be required to select depository of public money. The Treasurer shall be responsible for all deposits and records concerning public money. The Treasurer shall not be responsible for any loss of public money resulting from the deposit thereof when made in accordance with the provisions of this act.","P","61843","47748","0.56","0.44","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"29","Civil Service Extension","November","7","1916","1916-11-07T00:00:00.000","To extend civil service to all departments and offices with some exceptions and to confirm without examination all employees under civil service who have been employed by the City for more than one year and to make probationary, civil service employees who have served more than six months and less than one year.","F","44526","74889","0.37","0.63","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"30","Establishes the Department of Weights and Measures","November","7","1916","1916-11-07T00:00:00.000","Provides for the creation of the Department of Weights and Measures, following the State law and placing the Department under the Civil Service. The Sealer of Weights and Measures shall be appointed by the Board of Supervisors. The salary of the Sealer and all other Department employees shall be set by law.","P","81893","39306","0.68","0.33","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"31","Election of Police Judges; Mayor to Appoint Vacancies","November","7","1916","1916-11-07T00:00:00.000","Provides for the election of Police Judges for a term of six years and for the holding of night sessions of Police Court at the discretion of the Mayor. The Mayor shall appoint an eligible person to serve the unexpired term of a Police Judge in the event of a vacancy. The Mayor may also appoint one judge as presiding judge.","F","39693","83158","0.32","0.68","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"32","Salary Increase for Police Judges","November","7","1916","1916-11-07T00:00:00.000","Provides for an increase of salary of Police Judges from $300 to $400 per month.","F","17721","110859","0.14","0.86","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"33","Fire Department; Two Tours of Duty","November","7","1916","1916-11-07T00:00:00.000","Provides for a two platoon system within the Fire Department, whereby firemen shall be on duty not to exceed 14 consecutive hours. Each period of 24 hours shall be divided up into two tours of duty - one from 8:00 AM to 6:00 PM and one from 6:00 PM to 8:00 AM. Officers and members shall alternate at intervals of not more than one week.","P","80019","67675","0.54","0.46","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November7_1916.pdf"
"1","Public School Bonds, $13,500,000","October","30","1917","1917-10-30T00:00:00.000","To incur a bonded indebtedness of $13,500,000 for the acquisition, construction, completion and equipment of permanent buildings and improvements for public schools and for the acquisition of necessary lands therefor.","P","37619","7485","0.83","0.17","66 2/3%","Bond Issue","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/October30_1917.pdf"
"26","Relief for Dependents of Soldiers and Sailors and Marines","November","5","1918","1918-11-05T00:00:00.000","To create a fund to be known as the ""Fund for the relief of dependents of soldiers, sailors and marines now or hereafter serving in the Army or Navy of the United States in the war now being waged by the United States."" Board of Supervisors to levy a tax for three years of not less than two cents and not more than four cents on each $100 assessed valuation to be collected and deposited with the Treasurer for credit to said fund. A Commission is to be established by the Mayor to regulate the fund.","F","24379","54974","0.31","0.69","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"27","Acquisition of and Payment for Any Public Utility","November","5","1918","1918-11-05T00:00:00.000","To empower the Board of Supervisors to adopt by ordinance of two thirds of the members procedures for acquisition of and payment for public utilities for the City. To call for an election to adopt an ordinance for the acquisition and payment of any public utility to be approved by two thirds of the qualified electors at such election.","F","33223","37799","0.47","0.53","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"28","Pension of Fire Department and Police Department Members Serving in the Armed Forces","November","5","1918","1918-11-05T00:00:00.000","Fire Department members who are serving in the military or naval forces of United States in any war shall not be deemed to be in absence from the Department as far as continuity of service is required for pension entitlement.","P","44615","32881","0.58","0.43","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"29","Municipal Employees, Leaves of Absence for Military or Naval Service","November","5","1918","1918-11-05T00:00:00.000","Persons who are serving in the Army or Navy of the United States as of April 6, 1917 shall be granted a leave of absence from their municipal position and shall retain their Civil Service standing with certain provisions.","P","49882","24847","0.67","0.33","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"30","Civil Service Commission; Standardization of Compensation; Elimination of Positions","November","5","1918","1918-11-05T00:00:00.000","Civil Service Commission to be empowered to standardize salaries and base the standardization on the importance of the duties of the position and the efficiency and length of service of the employee; to abolish unnecessary positions where investigation shows the work can be consolidated with other positions; to make temporary or permanent transfers of employees covering similar duties and compensation.","F","34846","35917","0.49","0.51","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"31","Method of Counting Votes at Elections","November","5","1918","1918-11-05T00:00:00.000","Ballots cast at precincts shall not be counted at the precinct but shall be locked as soon as the polls are closed. Boxes shall be sent with not less than two precinct officers to the Registrar of Voters Office. Boxes shall be labeled and Registrar of Voters shall provide the methods for counting, tallying and certifying each vote cast.","P","35196","34515","0.50","0.50","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"32","Power to Impose License Taxes","November","5","1918","1918-11-05T00:00:00.000","License taxes shall be imposed for purposes of regulation and collection of and revenue generated from shall be provided to the City.","F","18267","51201","0.26","0.74","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"33","Permits for Pawnbrokers, Peddlers and Similar Callings","November","5","1918","1918-11-05T00:00:00.000","To empower the Board of Supervisors to grant or refuse to grant permits to any person engaged or desiring to engage in business as a pawnbroker, peddler, junk-shop keeper, used merchandise dealer, auctioneer or similar business or calling. Such permits may be subject to inspection and complaints to revoke must be in writing.","P","37798","34196","0.53","0.48","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"34","Acceptance of Gift of Ignatz Steinhart, Deceased, for Erection and Completion of an Aquarium","November","5","1918","1918-11-05T00:00:00.000","To empower the Board of Supervisors to accept the gift of Ignatz Steinhart, deceased, in  the amount of $250,000 for the erection and completion of and Aquarium to be located in Golden Gate Park for the use and enjoyment of the people. To accept the management and operation of the Aquarium to be under the direction of the California Academy of Sciences.","P","57410","19064","0.75","0.25","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"35","Establishment of Markets, Abattoirs, Pipelines, Reservoirs and Other Similar Utilities","November","5","1918","1918-11-05T00:00:00.000","The City shall have the right and power to purchase, lease, construct, condemn and establish, own, maintain and operate the following utilities: markets, markethouses, depots, coal and fuel yards, oil stations, pipelines, reservoirs, cattle yards, abattoirs, storage plants, ice plants, elevators, warehouses, shipping facilities, delivery services and any and all lands, buildings structures, equipment, etc., for the operation of such utilities.","F","28817","43040","0.40","0.60","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"36","School Lots Reserved Under Ordinance No. 800 of March 27, 1868","November","5","1918","1918-11-05T00:00:00.000","Provides that certain school lots west of Arguello Boulevard and reserved under the provisions of Ordinance No. 800, may be sold and the proceeds to be used exclusively to purchase additions to new or existing sites for school purposes. The lots may be sold only when the Board of Education determines the lots are inadequate for school purposes.","P","38757","26410","0.59","0.41","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"37","Board of Education to Oversee School Department","November","5","1918","1918-11-05T00:00:00.000","School Department shall be under the control of the Board of Education. The Board of Education shall be composed of seven members appointed by the Mayor and shall serve without compensation. The Board shall elect one of its number President. The Board shall meet at least twice a month and establish rules for its proceedings. Records of its proceedings shall be considered public records.","F","27684","53040","0.34","0.66","50%+1","Charter Amendment","Initiative","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"38","City Payments to be Authorized by Auditor","November","5","1918","1918-11-05T00:00:00.000","No contracts shall be made nor assessments paid unless the Auditor shall indorse his certificate that a balance of the appropriation or fund applicable is sufficient to pay the estimated expense of executing such contract or such assessment.","P","35870","32020","0.53","0.47","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"39","Board of Supervisors to Authorize Payment of Compensation for Public Work","November","5","1918","1918-11-05T00:00:00.000","The Supervisors may by ordinance authorize and provide for the payment through the agency of any regularly licensed bank in the State of California of wages, salaries or  compensation due to any person or persons engaged on public work in the City.","P","36785","31802","0.54","0.46","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"40","Board of Public Works to Oversee Operation of all City-Owned Public Utilities","November","5","1918","1918-11-05T00:00:00.000","The Board of Public Works shall have charge and control of all construction, maintenance and operation of any and all public utilities owned, controlled or operated by the City.","P","35655","34783","0.51","0.49","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"41","Sale of Bonds for Less Than Par","November","5","1918","1918-11-05T00:00:00.000","The Board of Supervisors is authorized to sell all bonds below the par or face value. Such price shall not be less than that which will net the purchaser 5 1/2 % (percent) interest per year according to the standard table of bond values.","F","31019","38398","0.45","0.55","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"42","Limit of Bonded Indebtedness","November","5","1918","1918-11-05T00:00:00.000","No indebtedness shall be incurred for the acquisition, construction or completion of any public utility which together with the existing bonded indebtedness of the City shall exceed at any one time 10% (percent) of the assessed value of all real and personal property in the City. Any bonded indebtedness incurred for the acquisition, construction or completion of any earning public utility will be exempt from this section.","F","23525","43994","0.35","0.65","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
"43","Playground Commissioners; Term of Office","November","5","1918","1918-11-05T00:00:00.000","Playground Commissioners shall be seven in number, five of whom shall be appointed by the Mayor for a term of four years. Three of the members appointed by the Mayor shall be men and two shall be women. The President of the Board of Education shall be the sixth member and either the President of the Park Commission or the Superintendent of Golden Gate Park shall be the seventh member. None of the Commissioners shall receive compensation for his or her services.","F","32242","33912","0.49","0.51","50%+1","Charter Amendment","Supervisors","https://webbie1.sfpl.org/multimedia/pdf/elections/November5_1918.pdf"
