"project_id","project_name","project_address","neighborhood","total_units","supervisor_district","affordable_units","project_sponsor","affordable_beds"
"1990-009","Senator Residence","94109","Tenderloin","86","6","86","Community Housing Partnership","0"
"2012-017","Western Park Apartments","94115","Western Addition","182","5","182","Northern California Presbyterian Homes & Services","0"
"1994-006","Goodman 2 Art Complex","94107","Potrero Hill","29","10","5","Artspace Development Corporation","0"
"1989-005","Casa Aviva","94110","Mission","4","9","4","Mission Housing Development Corporation / Latino Commision","0"
"2004-031","Crescent Cove","94107","Mission Bay","236","6","234","Chinatown Community Development Center / Mission Bay Housing Partners","0"
"2006-024","Kelly Cullen Community","94102","Tenderloin","174","6","172","Tenderloin Neighborhood Development Corporation","0"
"2001-011","665 Clay","94111","Chinatown","25","3","25","Chinatown Community Development Center","0"
"2009-020","Mary Helen Rogers Senior Community","94102","Western Addition","100","5","99","Chinatown Community Development Center","0"
"2016-030","462 Green Street","94133","North Beach","6","3","6","Chinatown Community Development Center","0"
"1990-016","Steamboat Point (Parcel K)","94107","Mission Bay","108","6","108","Bridge Housing","0"
"2001-018","Leland Polk Senior Community","94109","Nob Hill","72","3","71","Mercy Housing California","0"
"2012-007","Candlestick Heights","94124","Bayview Hunters Point","196","10","194","New Jamestown, LP","0"
"1996-011","Crocker Amazon Senior Apartments","94112","Excelsior","37","11","36","Bernal Heights Neighborhood Center","0"
"2013-025","345 Arguello - California Corridor","94103","Inner Richmond","69","1","68","Mercy Housing California","0"
"2013-040","Westbrook Apartments","94124","Bayview Hunters Point","223","10","221","Related Company / SFHDC","0"
"1984-009","Rincon Center","94105","Financial District/South Beach","320","6","76","Carmel Partners, Inc (BRE/Rincon, LLC)","0"
"1998-010","Ambassador Hotel","94102","Tenderloin","134","6","134","Tenderloin Neighborhood Development Corporation","0"
"2008-006","95 Laguna Senior Affordable Housing","94102","Western Addition","79","8","79","Mercy Housing California","0"
"1996-006","Bernal Gateway","94110","Bernal Heights","55","9","55","Bernal Heights Neighborhood Center","0"
"1984-003","450 Ellis St","94102","Tenderloin","29","6","24","Asian, Inc.","0"
"1988-005","Geary Courtyard","94102","Tenderloin","164","6","19","Geary Courtyard Associates","0"
"1999-020","Providence Senior Housing","94124","Bayview Hunters Point","50","10","50","Providence Senior Housing Corporation","0"
"2010-001","Edward II","94123","Marina","25","2","24","Community Housing Partnership","0"
"2018-044","654-658 Capp","94110","Mission","7","9","7","Mission Economic Development Agency","0"
"2013-030","100 Appleton - RAD C5 (Holly Courts)","94110","Bernal Heights","118","9","117","Bridge Housing","0"
"2001-014","Seneca Hotel","94103","South of Market","202","6","88","Tenderloin Housing Clinic","0"
"2014-002","626 Mission Bay Boulevard North","94158","Mission Bay","143","6","142","Tenderloin Neighborhood Development Corporation","0"
"1993-007","205 Jones","94102","Tenderloin","50","6","49","Mercy Housing California","0"
"2005-033","Mosaica Senior Apartments","94110","Mission","24","9","24","Tenderloin Neighborhood Development Corporation","0"
"2006-020","Armstrong Place","94124","Bayview Hunters Point","116","10","116","Bridge Housing","0"
"1980-001","Consorcia Apartments","94133","Chinatown","24","3","23","Chinatown Community Development Center","0"
"2012-026","2175 Market","94114","Castro/Upper Market","88","8","18","FC 2175 Market, LLC.","0"
"1994-013","The Rose","94103","South of Market","76","6","75","Mercy Housing California","0"
"1995-013","CATS Eddy Street Apartments (CATS)","94102","Tenderloin","25","6","25","Community Awareness & Treatment Services, Inc.","0"
"2015-052","Dorothy Day Community","94102","Tenderloin","100","6","99","Mercy Housing California","0"
"2008-036","Turk & Eddy Apartments","94102","Tenderloin","82","6","80","Tenderloin Neighborhood Development Corporation","0"
"2017-003","1015 Shotwell","94110","Mission","10","9","10","Mission Economic Development Agency","0"
"1990-013","Fillmore Marketplace Apartments","94115","Western Addition","120","5","120","Fillmore Marketplace Associates, LP","0"
"1999-025","Chinese American Citizens Alliance Grand Lodge","94108","Chinatown","16","3","16","Chinese American Citizens Alliance","0"
"1992-007","Clara House","94102","Hayes Valley","13","5","13","Compass Community Services","0"
"2012-001","Alice Griffith Phase 1","94124","Bayview Hunters Point","93","10","92","McCormack Baron Salazar / Alice Griffith Phase 1, LP","0"
"2015-008","964-966 Oak Street","94117","Hayes Valley","0","5","10","San Francisco Community Land Trust","0"
"1995-008","Mary Elizabeth Inn","94109","Nob Hill","92","3","88","Mary Elizabeth Inn","0"
"1988-001","Mercy Family Plaza","94117","Lone Mountain/USF","36","5","22","Mercy Housing California","0"
"1981-003","Aarti Hotel","94109","Tenderloin","40","6","40","Tenderloin Neighborhood Development Corporation","0"
"1997-017","Avalon At Mission Bay (Tower 2)","94158","Mission Bay","313","6","19","AvalonBay Communities Inc.","0"
"2000-012","Namiki Apartments","94115","Pacific Heights","34","5","33","Chinatown Community Development Center / Namiki Apartments Residents Association","0"
"1990-002","Connecticut St Court","94107","Bayview Hunters Point","10","10","10","Asian Neighborhood Design","0"
"1989-009","525 O'Farrell Street","94102","Tenderloin","26","6","25","Asian, Inc.","0"
"1998-021","Chinese American Citizens Alliance -S.F.","94108","Chinatown","26","3","23","Chinese American Citizens Alliance","0"
"2018-038","289 9th Ave-800 Clement","94118","Richmond","16","1","16","Chinatown Community Development Center","0"
"1991-009","Alcantara Court","94110","Mission","50","8","50","Mission Housing Development Corporation","0"
"1993-011","Leland House","94134","Visitacion Valley","45","10","44","Mercy Housing California","0"
"2007-005","Willie B. Kennedy Senior (Rosa Parks II) Housing","94115","Western Addition","98","5","97","Tenderloin Neighborhood Development Corporation","0"
"2003-031","Edith Witt Senior Community","94103","South of Market","107","6","106","Mercy Housing California","0"
"2013-048","Ping Yuen","94133","Chinatown","234","3","233","Chinatown Community Development Center","0"
"2015-016","70-72C Belcher Street","94114","Castro/Upper Market","5","8","5","San Francisco Community Land Trust","0"
"1994-009","Magdalena Mora House","94110","Mission","2","9","2","Bernal Heights Neighborhood Center","0"
"2016-075","3329-3333 20th Street","94110","Mission","10","9","10","Mission Economic Development Agency","0"
"1990-017","Padre Palou Community","94114","Castro/Upper Market","18","8","18","Mercy Housing California","0"
"2013-034","1760 Bush","94109","Pacific Heights","108","5","107","John Stewart Company","0"
"2001-019","990 Polk","94109","Tenderloin","110","6","109","Tenderloin Neighborhood Development Corporation","0"
"2002-020","The Coronet","94118","Lone Mountain/USF","150","1","148","Bridge Housing","0"
"2017-022","3353 26th Street - Small Sites","94110","Mission","10","9","10","Mission Economic Development Agency","0"
"2004-028","Mission Hotel","94110","Mission","244","9","244","Tenderloin Housing Clinic","0"
"1992-013","Good Samaritan Apartments","94110","Mission","20","9","19","Mission Housing Development Corporation","0"
"1994-007","Ashbury House","94117","Lone Mountain/USF","1","5","0","Progress Foundation","3"
"1993-005","1912 McAllister","94115","Lone Mountain/USF","0","5","0","Westside Community Services","4"
"2000-015","1340 Portola","94127","West of Twin Peaks","6","7","0","Brilliant Corners","6"
"1989-007","SafeHouse","0","Confidential","0","9","0","San Francisco Network Ministries","10"
"2001-021","McAllister Street Co-ops","94115","Lone Mountain/USF","10","5","0","Conard House","10"
"1990-018","Odyssey House","94102","Hayes Valley","10","5","10","Baker Places","10"
"1991-004","St. Olga's Home","94118","Lone Mountain/USF","10","1","0","Russian American Community Services","10"
"1997-009","26th Street Cooperative Apartments","94110","Mission","10","9","0","Conard House","10"
"2008-031","Rafiki House","94115","Western Addition","11","5","0","Rafiki House","11"
"1995-010","Walden Adolescent","94102","Hayes Valley","64","5","0","HealthRight360","12"
"1990-011","Baker's Dozen","94115","Lone Mountain/USF","13","5","0","Northern California Land Trust","12"
"1999-023","Jelani Family Program","94124","Bayview Hunters Point","8","10","0","Jelani, Inc. (Bayview Hunters Point Foundation)","12"
"2008-032","Ferguson Place","94115","Western Addition","12","5","12","Baker Places","12"
"1997-011","Autumn Glow","94102","Hayes Valley","15","5","0","Self Help For The Elderly","15"
"1994-015","Maitri","94114","Castro/Upper Market","15","8","0","Maitri","15"
"1989-004","Jelani House","94124","Bayview Hunters Point","13","10","0","Jelani, Inc. (Bayview Hunters Point Foundation)","16"
"1993-002","Asian Women's Shelter","0","Confidential","5","6","0","Mei Fong And Associates","16"
"1998-017","TIHDI: Female Offender Treatment and Education Program","94130","Treasure Island","6","6","0","HealthRight360","20"
"1993-010","Richmond Hills Family Center","94121","Outer Richmond","20","1","0","Mercy Housing California","20"
"1989-013","St. Joseph's Family Shelter","94110","Mission","10","8","0","Catholic Charities","20"
"1998-018","TIHDI: 1445 Chinook","94130","Treasure Island","6","6","0","HealthRight360","24"
"2010-023","Gum Moon Residence Hall","0","Confidential","33","3","0","Gum Moon","26"
"1993-013","A Woman's Place","0","Confidential","11","6","0","Community Awareness & Treatment Services, Inc.","54"
"1998-019","Halibut Court","94130","Treasure Island","24","6","0","Swords To Plowshares","56"
"1999-014","Friendship House","94103","Mission","20","9","0","Friendship House","80"
"2004-029","Walden House","94117","Haight Ashbury","0","5","0","HealthRight360","86"
"1990-012","Hayes Adult Residence","94117","Hayes Valley","115","5","0","HealthRight360","104"
