LICENSEE,DBANAME,STREET NUMBER,STREET,CITY,STATE,ZIPCODE,PHONE NUMBER,PRIMARY LICENSE,SECONDARY LICENSE,PRIMARY TYPE,SECONDARY TYPE,COUNTY,DISTRICT,SUBDIST,LATLNG,Missouri Counties,School Districts,Counties
SEDALIA COUNTRY CLUB,,5074,HIGHWAY Y,SEDALIA,MO,653019040,6608262044,7579,7592,RBDR,SBD ,PETTIS,2,00,"(38.698095, -93.2994025)",50,201,535
VETERANS OF FOREIGN WARS,POST 2591 PETTIS COUNTY,121,S OHIO STREET,SEDALIA,MO,653013832,6608264543,7581,0,RBDE,    ,PETTIS,2,00,,,,
"WANSING, CHARLES J.",CHEZ-WHEN LOUNGE,121,E 3RD STREET,SEDALIA,MO,653014321,6602812916,7583,0,RBD,    ,PETTIS,2,00,,,,
COLUMBUS CLUB OF ST. CLEMENT INC.,,,HWY 161-ST CLEMENT RFD,BOWLING GREEN,MO,63334,5733243789,7786,0,COL,    ,PIKE,2,00,,,,
AMERICAN LEGION 370,HANEY-PENNOCK POST 370,420,KELLY LANE,LOUISIANA,MO,633532402,5737544370,7787,0,RBD,    ,PIKE,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 791,LODGE 791,120,N 5TH STREET,LOUISIANA,MO,633531620,5737545890,7791,24631,RBD,SBD ,PIKE,2,00,"(39.4492488, -91.04960520000002)",32,105,2169
PLATTE CO. AGRI. MECHANICAL & STOCK ASSN,DIRTY SHAME,,PLATTE COUNTY FAIRGROUNDS,PLATTE CITY,MO,64079,8164312121,7936,0,5BDW,    ,PLATTE,1,00,,,,
AYERS OIL COMPANY INC.,AYERCO #023,4121,MARKET STREET,HANNIBAL,MO,63401,5732216044,8090,71799,OPL,SOP ,RALLS,2,00,,,,
FRATERNAL ORDER OF EAGLES 2669,AERIE 2669,1408,N. MORLEY ST.,MOBERLY,MO,652703695,6602639609,8114,28660,RBD,SBD ,RANDOLPH,2,00,,,,
LOYAL ORDER OF MOOSE 776,LODGE 776,2050,N MORLEY,MOBERLY,MO,65270,6602631128,8119,0,RBDE,    ,RANDOLPH,2,00,,,,
AMERICAN LEGION 312,POST 312,2500,RAYMOND DRIVE,ST CHARLES,MO,633014842,6367249712,8277,20464,RBD,SBD ,ST. CHARLES,3,00,"(38.787259, -90.513261)",48,195,2177
BOGEY HILLS GOLF & COUNTRY CLUB INC.,BOGEY HILLS COUNTRY CLUB,1120,COUNTRY CLUB ROAD,ST CHARLES,MO,633013305,6369466250,8282,14851,RBD,SBD ,ST. CHARLES,3,00,"(38.7847608, -90.5382976)",48,195,2177
WESTBURY CENTER INC.,WESTBURY CENTER,20,WESTBURY DRIVE,ST CHARLES,MO,633012549,6369490222,8316,61006,RBD,SBD ,ST. CHARLES,3,00,"(38.7825851, -90.51961519999999)",48,195,2177
LOYAL ORDER OF MOOSE 1513,LODGE 1513,2705,VETERANS MEM PKWY,ST CHARLES,MO,633033680,6367237794,8330,20284,RBD,SBD ,ST. CHARLES,3,00,"(38.779594, -90.51886999999999)",48,195,2177
O'FALLON BOWLING LANES INC.,O'FALLON LANES,420,SONDEREN STREET,O'FALLON,MO,633662631,6362724393,8334,19664,RBD,SBD ,ST. CHARLES,3,00,"(38.8055665, -90.6947139)",48,173,2177
PIO'S INC.,PIO'S,401,1ST CAPITOL DRIVE,ST CHARLES,MO,633012845,6367245919,8338,8383,RBD,SBD ,ST. CHARLES,3,00,,,,
PIKERS HUNTING FISHING CLUB,,17,E PIKE STREET,ST CHARLES,MO,633013456,0,8514,0,5BDW,    ,ST. CHARLES,3,00,"(38.776817, -90.48293699999999)",48,195,2177
HICKORY LOG INC.,,1314,HWY 60 WEST (BUSINESS),DEXTER,MO,638411653,5736244950,9170,0,RBDR,    ,STODDARD,4,00,,,,
"ELLEDGE, CARROLL",PUXICO BAR & PACKAGE STORE,180,S HWY 51,PUXICO,MO,639600322,5732223684,9182,120842,OPL,SOP ,STODDARD,4,00,,,,
"ELLEDGE, CARROLL",PUXICO BAR,190,E. OWEN STREET,PUXICO,MO,639600322,5732223684,9201,0,5BDW,    ,STODDARD,4,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2505,LODGE 2505 KIMBERLING CITY,37,BEACH BLVD,KIMBERLING CITY,MO,65686,4177392414,9229,193949,RBD,SBD ,STONE,5,00,,,,
HA-BOB'S INC.,BOB'S MARKET,6563,STATE HIGHWAY 13,LAMPE,MO,65681,4177794334,9259,71151,OPL,SOP ,STONE,5,00,,,,
FRATERNAL ORDER OF EAGLES 3770,AERIE 3770,RR 2,HWY K,NEVADA,MO,64772,4176679283,9507,26617,RBDE,SBD ,VERNON,5,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 564,LODGE 564,510,CENTENNIAL BLVD,NEVADA,MO,64772,4176677571,9508,43842,RBDE,SBD ,VERNON,5,00,,,,
NEVADA COUNTRY CLUB,NEVADA COUNTRY CLUB,,COUNTRY CLUB DRIVE,NEVADA,MO,64772,4176677182,9510,9514,RBDR,SBD ,VERNON,5,00,,,,
AMERICAN LEGION 180,DANIEL BOONE POST 180,,HWY 47,MARTHASVILLE,MO,633572864,6364568840,9556,0,COL,    ,WARREN,2,00,,,,
THREE GATES INC.,CHARCOAL HOUSE,9855,MANCHESTER ROAD,ST LOUIS,MO,631191243,3149684842,9826,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.6057891, -90.3771967)",51,228,2210
KARAGIANNIS INVESTMENT CORPORATION,SPIRO'S,1054,WOODSMILL ROAD NORTH,CHESTERFIELD,MO,630173164,3148784449,9829,42323,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6781527, -90.4992027)",51,208,2210
ATHLETIC BOYS CLUB OF ST. LOUIS COUNTY,ATHLETIC BOYS CLUB OF ST. LOUIS COUNTY,10050,LIVINGSTON,ST ANN,MO,630742009,3144233774,9833,60060,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.72758200000001, -90.374901)",51,207,2210
BANQUET ENTERPRISES INC.,ANDRE'S BANQUET HALLS,4254,TELEGRAPH ROAD,ST LOUIS,MO,63129,3148942622,9843,10639,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
BARTOLINO'S SOUTH INC.,BARTOLINO'S,5914,S LINDBERGH BLVD,ST LOUIS,MO,631239998,3144874545,9848,10641,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.52173519999999, -90.34596479999999)",51,239,2210
BELLERIVE COUNTRY CLUB,BELLERIVE COUNTRY CLUB,12925,LADUE ROAD,CREVE COEUR,MO,631418019,3144344400,9856,10642,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6556641, -90.4821001)",51,208,2210
BLUTH'S CRESTWOOD BAR INC.,CRESTWOOD BOWL,9822,WATSON RD.,ST. LOUIS,MO,631251825,3149662905,9864,38983,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5560521, -90.3898768)",51,239,2210
BOGEY INC.,"BOGEY CLUB, THE",9266,CLAYTON ROAD,ST LOUIS,MO,631241534,3149930161,9869,10648,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.63990099999999, -90.372478)",51,217,2210
AMERICAN LEGION 162,CARONDELET TOWNSHIP MEMORIAL POST 162,9305,S BROADWAY,LEMAY,MO,631251603,3146318582,9901,193646,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5352715, -90.27444559999999)",51,244,2210
CITY OF BALLWIN,BALLWIN RECREATIONAL COMPLEX,333,HOLLOWAY ROAD,BALLWIN,MO,630113890,6362278950,9928,10675,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.605297, -90.5410689)",51,208,2210
BENEVOLENT PROTECTIVE ORDER OF ELKS 9,LODGE 9 ST. LOUIS,12481,LADUE ROAD,ST LOUIS,MO,631418100,0,9935,49864,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.656569, -90.466302)",51,208,2210
AMERICAN LEGION,CREVE COEUR MEMORIAL BUILDING ASSN.,934,RUE DE LA BANQUE  E,CREVE COEUR,MO,631415102,3148723186,9956,114049,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6719809, -90.44429099999999)",51,208,2210
DEER CREEK CLUB INC.,DEER CREEK CLUB,9861,DEER CREEK HILL,ST LOUIS,MO,631241121,3149930790,9977,10695,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.629393, -90.38610899999999)",51,217,2210
VETERANS OF FOREIGN WARS,POST 4105 FLORISSANT VALLEY,410,RUE ST FRANCOIS,FLORISSANT,MO,630315018,3148316121,10038,26621,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.7939082, -90.3286988)",51,191,2210
FOREST HILLS COUNTRY CLUB,FOREST HILLS COUNTRY CLUB,36,FOREST CLUB DRIVE,CHESTERFIELD,MO,63005,6362275030,10041,10725,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.618759, -90.589597)",51,219,2210
GLEN ECHO COUNTRY CLUB INC.,GLEN ECHO COUNTRY CLUB,3401,LUCAS-HUNT ROAD,NORMANDY,MO,63121,3143831500,10071,10740,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
GREENBRIAR HILLS COUNTRY CLUB,GREENBRIAR HILLS COUNTRY CLUB,12665,BIG BEND BLVD,KIRKWOOD,MO,63122,3148223011,10090,10750,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
JOHN'S RESTAURANT INC.,JOHN MINEO'S AND ANNA'S,13488,CLAYTON ROAD,ST LOUIS,MO,631411006,3144345244,10155,0,RBD,    ,ST. LOUIS CO.,3,00,,,,
KING DOH RESTAURANT INC.,KING DOH RESTAURANT,10045,MANCHESTER ROAD,WARSON WOODS,MO,631221825,3148216988,10196,10801,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6033541, -90.3873545)",51,228,2210
LOG CABIN CLUB INC.,LOG CABIN CLUB,1140,LOG CABIN LANE,ST LOUIS,MO,631241518,3149930154,10250,10822,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6387463, -90.3792107)",51,217,2210
MASSA LTD.,MASSA'S,4120,N LINDBERGH ROAD,BRIDGETON,MO,63044,3147393894,10301,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.738954, -90.39721899999999)",51,204,2210
MEADOWBROOK COUNTRY CLUB INC.,MEADOWBROOK COUNTRY CLUB,200,MEADOWBROOK COUNTRY CL ESTATES,BALLWIN,MO,63011,6362275361,10312,10848,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
NORWOOD HILLS CORPORATION,NORWOOD HILLS COUNTRY CLUB,5565,LUCAS & HUNT ROAD,JENNINGS,MO,63121,3145210682,10356,10863,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
OLD WARSON COUNTRY CLUB INC.,OLD WARSON COUNTRY CLUB,9841,OLD WARSON ROAD,ST LOUIS,MO,63124,3149680840,10364,10866,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.618377, -90.38444799999999)",51,217,2210
ORLANDO BANQUETS INC.,ORLANDO GARDENS BANQUET CENTER,4300,HOFFMEISTER AVE,ST LOUIS,MO,631252233,3146386660,10367,206608,RBD,RDC5,ST. LOUIS CO.,3,00,,,,
ORLANDO BANQUETS INC.,ORLANDO GARDENS BANQUET CENTER,4300,HOFFMEISTER AVE,ST LOUIS,MO,631252233,3146386660,10367,10869,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
LOYAL ORDER OF MOOSE 1948,LODGE 1948,2625,WOODSON ROAD,OVERLAND,MO,631144815,3144279721,10371,211903,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.706541, -90.361643)",51,207,2210
PEGASUS INC.,BLUEBERRY HILL,6504,DELMAR BLVD,ST LOUIS,MO,631304702,3147274444,10388,10881,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6557666, -90.30495909999999)",51,216,2210
RACQUET CLUB LADUE,RACQUET CLUB LADUE,1600,LOG CABIN LANE,ST LOUIS,MO,631241105,3149932880,10421,10895,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.630805, -90.38288)",51,217,2210
RONZIO-LEMAY CORPORATION,RICH & CHARLIE'S,4487,LEMAY FERRY ROAD,MEHLVILLE,MO,631291757,3148941600,10442,10902,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5002278, -90.335636)",51,248,2210
RONZIO-LEMAY CORPORATION,RICH & CHARLIE'S,9942,WATSON ROAD,CRESTWOOD,MO,631261827,3148224909,10443,10903,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.55584160000001, -90.3956311)",51,239,2210
ROYALE ORLEANS INC.,"ROYALE ORLEANS, THE",2801,TELEGRAPH ROAD,ST LOUIS,MO,63125,3144877006,10449,10905,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.508119, -90.29527499999999)",51,248,2210
ST. ANN'S MENS CLUB,ST. ANNS MENS CLUB,7530,NATURAL BRIDGE ROAD,ST. LOUIS,MO,631214903,3143855090,10457,0,RBD,    ,ST. LOUIS CO.,3,00,"(38.70458199999999, -90.3006248)",51,501,2210
ST. LOUIS COUNTRY CLUB INC.,ST. LOUIS COUNTRY CLUB,400,BARNES ROAD,ST LOUIS,MO,631241634,3149940011,10459,10909,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
ST. LOUIS CLUB INC.,ST. LOUIS CLUB,7701,FORSYTH BLVD,CLAYTON,MO,631051870,3147261964,10460,10908,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6504549, -90.334633)",51,223,2210
SUNSET COUNTRY CLUB,SUNSET COUNTRY CLUB,9555,GEYER DRIVE,ST LOUIS,MO,631271605,3148431100,10535,10946,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5322682, -90.3910823)",51,239,2210
VETERANS OF FOREIGN WARS,BALLWIN MEMORIAL POST #6274 HOME ASSOC.,115,MIMOSA,BALLWIN,MO,630113076,6365279555,10586,10971,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5950051, -90.5668366)",51,219,2210
WASHINGTON U. FACULTY CONFERENCE CENTER,WASHINGTON U. FACULTY CONFERENCE CENTER,6440,FORSYTH BLVD,CLAYTON,MO,631052231,3149355045,10599,10978,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6462399, -90.3091598)",51,223,2210
WESTBOROUGH COUNTRY CLUB INC.,WESTBOROUGH COUNTRY CLUB,631,S BERRY ROAD,ST LOUIS,MO,631224858,3149685333,10604,10979,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #102,10650,OLIVE STREET ROAD,CREVE COEUR,MO,63141,3145673838,11180,83861,OPL,OPT ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #102,10650,OLIVE STREET ROAD,CREVE COEUR,MO,63141,3145673838,11180,71092,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #101,8200,N LINDBERGH,FLORISSANT,MO,63031,3149217060,11181,71090,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.788607, -90.3437749)",51,181,2210
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #101,8200,N LINDBERGH,FLORISSANT,MO,63031,3149217060,11181,83348,OPL,OPT ,ST. LOUIS CO.,3,00,"(38.788607, -90.3437749)",51,181,2210
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #184,#74,GRANDVIEW PLAZA,FLORISSANT,MO,63033,3148384560,11188,83346,OPL,OPT ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #184,#74,GRANDVIEW PLAZA,FLORISSANT,MO,63033,3148384560,11188,71122,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #136,8650,BIG BEND BLVD,WEBSTER GROVES,MO,63119,3149610555,11194,83654,OPL,OPT ,ST. LOUIS CO.,3,00,"(38.582771, -90.35670999999999)",51,228,2210
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #136,8650,BIG BEND BLVD,WEBSTER GROVES,MO,63119,3149610555,11194,71102,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.582771, -90.35670999999999)",51,228,2210
STELMACKI THRIF-TEE SUPER MARKET INC.,STELMACKI THRIF-TEE SUPER MARKET,9965,LEWIS & CLARK BLVD HWY 36,MOLINE ACRES,MO,631365322,3148671733,11223,72407,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
WILLIAM A. STRAUB INC.,STRAUB MARKET,211,LOCKWOOD AVE,WEBSTER GROVES,MO,63119,3149620169,11224,87096,OPL,SOP ,ST. LOUIS CO.,3,00,"(38.593724, -90.36198999999999)",51,228,2210
WILLIAM A. STRAUB INC.,STRAUB MARKET,211,LOCKWOOD AVE,WEBSTER GROVES,MO,63119,3149620169,11224,87097,OPL,OPT ,ST. LOUIS CO.,3,00,"(38.593724, -90.36198999999999)",51,228,2210
KRUSE FLORIST INC.,KRUSE FLORIST,3310,LEMAY FERRY ROAD,ST LOUIS,MO,631254420,3148922666,11326,0,OPL,    ,ST. LOUIS CO.,3,00,"(38.512026, -90.317206)",51,248,2210
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #137,10070,GRAVOIS ROAD,ST LOUIS,MO,63123,3146318220,11367,82857,OPL,OPT ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #137,10070,GRAVOIS ROAD,ST LOUIS,MO,63123,3146318220,11367,70979,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #118,5519,OAKVILLE SHOPPING CENTER,ST LOUIS,MO,63129,3148926401,11371,70965,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #118,5519,OAKVILLE SHOPPING CENTER,ST LOUIS,MO,63129,3148926401,11371,82855,OPL,OPT ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #193,5434,SOUTHFIELD CENTER,ST LOUIS,MO,63123,3148491815,11374,70978,OPL,SOP ,ST. LOUIS CO.,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #193,5434,SOUTHFIELD CENTER,ST LOUIS,MO,63123,3148491815,11374,82856,OPL,OPT ,ST. LOUIS CO.,3,00,,,,
IMMACULATE CONCEPTION CHURCH,IMMACULATE CONCEPTION CHURCH,7240,ANNA AVE,MAPLEWOOD,MO,631433299,3146453307,11485,0,5BDW,    ,ST. LOUIS CO.,3,00,"(38.611539, -90.31582399999999)",51,226,2210
OUR LADY OF GUADALUPE CHURCH,OUR LADY OF GUADALUPE,1115,S FLORISSANT ROAD,ST LOUIS,MO,631211102,3145229264,11507,0,5BDW,    ,ST. LOUIS CO.,3,00,"(38.730069, -90.303122)",51,191,2210
ST. JOHN BOSCO CHURCH,ST. JOHN BOSCO,12934,MARINE AVE,ST LOUIS,MO,631462234,3144341312,11528,0,5BDW,    ,ST. LOUIS CO.,3,00,"(38.7063598, -90.4746285)",51,208,2210
ST. LUKE'S EVANGELIST CATHOLIC CHURCH,"MEN'S GUILD, THE",1414,BELLEVUE,RICHMOND HEIGHTS,MO,631172321,3146451450,11530,0,5BDW,    ,ST. LOUIS CO.,3,00,"(38.6265956, -90.3121731)",51,226,2210
ST. MICHAELS CHURCH & SCHOOL,ST. MICHAELS CHURCH & SCHOOL,7622,SUTHERLAND AVE,SHREWSBURY,MO,631192855,3146475611,11533,0,5BDW,    ,ST. LOUIS CO.,3,00,"(38.5937083, -90.32887679999999)",51,228,2210
ST. RITA'S PARISH,ST. RITA'S,8240,WASHINGTON STREET,ST LOUIS,MO,631146236,3144284845,11535,0,5BDW,    ,ST. LOUIS CO.,3,00,"(38.6842069, -90.3354268)",51,501,2210
AFFTON ATHLETIC ASSOCIATION INC.,AFFTON ATHLETIC FIELD HOUSE,10300,GRAVOIS,ST LOUIS,MO,631232635,3148434207,11702,0,5BD,    ,ST. LOUIS CO.,3,00,"(38.5428827, -90.3470158)",51,239,2210
ASCENSION CATHOLIC CHURCH,,230,SANTA MARIA DRIVE,CHESTERFIELD,MO,630051631,6365323304,11710,0,5BD,    ,ST. LOUIS CO.,3,00,"(38.661378, -90.577753)",51,219,2210
MANCHESTER ATHLETIC ASSOCIATION,MANCHESTER ATHLETIC ASSOCIATION,700,RUSSELL WIRTH LANE,MANCHESTER,MO,630111091,3143911043,11784,0,5BD,    ,ST. LOUIS CO.,3,00,,,,
MOST WORSHIPFUL PRINCE HALL,GRAND LODGE F & A M JURISDICATION,4525,OLIVE STREET,ST LOUIS,MO,63108,3143615298,12039,0,COL,    ,ST. LOUIS CITY,3,00,,,,
ALANTOM INC.,TUCKER'S PLACE,2117,S 12TH STREET,ST LOUIS,MO,631044128,3147725977,12049,12936,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6072301, -90.2101759)",54,200,2223
AMERICAN LEGION 422,BARLOG-KUSZAJ-ZERO MEMORIAL POST 422,2601,S 11TH STREET,ST LOUIS,MO,631181811,3146473111,12090,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.6017948, -90.2114237)",54,200,2223
CHAS & P INC.,CHARLIE GITTO'S ON THE HILL,5226,SHAW AVE,ST LOUIS,MO,631103042,3147728898,12191,15718,RBD,SBD ,ST. LOUIS CITY,3,00,,,,
CONCORDIA GYMNASTIC SOCIETY,CONCORDIA GYMNASTIC SOCIETY,6432,GRAVOIS AVE,ST LOUIS,MO,631161124,3143529388,12218,12968,RBDE,SBD ,ST. LOUIS CITY,3,00,"(38.5729036, -90.2813796)",54,200,2223
DOMINIC'S RESTAURANT INC.,DOMINIC'S RESTAURANT,5101,WILSON AVE,ST LOUIS,MO,631103109,3147711632,12262,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.6156528, -90.27115979999999)",54,200,2223
FAVAZZA'S INC.,FAVAZZA'S,5201,SOUTHWEST AVE,ST LOUIS,MO,631391444,3147724454,12300,54721,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6114474, -90.2739125)",54,200,2223
MISSOURI ATHLETIC CLUB INC.,MISSOURI ATHLETIC CLUB,405,WASHINGTON AVE,ST LOUIS,MO,631022183,3142317220,12591,125063,RBD,EXTH,ST. LOUIS CITY,3,00,,,,
MISSOURI ATHLETIC CLUB INC.,MISSOURI ATHLETIC CLUB,405,WASHINGTON AVE,ST LOUIS,MO,631022183,3142317220,12591,13047,RBD,SBD ,ST. LOUIS CITY,3,00,,,,
MUNICIPAL THEATRE ASSN. INC.,MUNY,1,THEATRE DR (FOREST PARK),ST. LOUIS,MO,63112,3143611900,12612,13049,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6407896, -90.2806884)",54,200,2223
PIETRO'S RESTAURANT INC.,PIETRO'S,3801,WATSON ROAD,ST LOUIS,MO,63109,3146459263,12666,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.5957716, -90.3013337)",54,200,2223
RACQUET CLUB INC.,RACQUET CLUB,476,N KINGSHIGHWAY BLVD,ST LOUIS,MO,631081296,3143612100,12698,13069,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6488576, -90.2634571)",54,200,2223
ST. ANTHONY PARISH,ST. ANTHONY OF PADUA CHURCH,3133-,35 MERAMEC,ST. LOUIS,MO,63118,3143537470,12740,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.5803714, -90.2388965)",54,200,2223
ST. JAMES CHURCH,ST. JAMES CHURCH,1360,TAMM AVE,ST LOUIS,MO,63139,3146450167,12741,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.626006, -90.2934279)",54,200,2223
ST. LOUIS BOCCE CLUB INC.,ST. LOUIS BOCCE CLUB,2210,MARCONI,ST LOUIS,MO,631103114,3147735574,12742,71773,RBDE,SBD ,ST. LOUIS CITY,3,00,"(38.61415, -90.2729501)",54,200,2223
ST. LOUIS SPAGHETTI RESTAURANT INC.,"OLD SPAGHETTI FACTORY, THE",727,N 1ST STREET,ST LOUIS,MO,63102,3146210276,12749,13080,RBD,SBD ,ST. LOUIS CITY,3,00,,,,
ST. LOUIS SYMPHONY ORCHESTRA,ST. LOUIS SYMPHONY ORCHESTRA,718,N GRAND BLVD,ST. LOUIS,MO,631031011,3145332500,12751,28049,RBD,SBD ,ST. LOUIS CITY,3,00,,,,
SOUTH BROADWAY ATHLETIC CLUB INC.,SOUTH BROADWAY ATHLETIC CLUB,2301,S 7TH STREET,ST LOUIS,MO,63104,3147764833,12808,59815,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6042023, -90.2049334)",54,200,2223
GLOBE CUT RATE DRUGS INC.,GLOBE CUT RATE DRUGS,1900,S BROADWAY STREET,ST LOUIS,MO,631044053,3142410967,13187,119964,OPL,SOP ,ST. LOUIS CITY,3,00,"(38.6069764, -90.20090499999999)",54,200,2223
MCNEAL'S SUPERETTE PACKAGE LIQUORS INC.,MCNEAL'S SUPERETTE PACKAGE LIQUOR,5900,LILLIAN AVE,ST LOUIS,MO,631364735,3143826742,13249,195259,OPL,OPT ,ST. LOUIS CITY,3,00,"(38.6996619, -90.259924)",54,200,2223
MCNEAL'S SUPERETTE PACKAGE LIQUORS INC.,MCNEAL'S SUPERETTE PACKAGE LIQUOR,5900,LILLIAN AVE,ST LOUIS,MO,631364735,3143826742,13249,80974,OPL,SOP ,ST. LOUIS CITY,3,00,"(38.6996619, -90.259924)",54,200,2223
"MITCHELL, BERNICE D.",MITCHELL'S PACKAGE STORE-LIQUOR,2840,CASS AVENUE,ST LOUIS,MO,631062125,3145319063,13261,0,OPL,    ,ST. LOUIS CITY,3,00,"(38.6458394, -90.21752339999999)",54,200,2223
MOM'S DELI INC.,MOM'S DELI,4412,JAMIESON AVE,ST LOUIS,MO,631091910,3146441198,13263,72232,OPL,SOP ,ST. LOUIS CITY,3,00,"(38.5917903, -90.3093536)",54,200,2223
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #107,7450,HAMPTON AVE,ST LOUIS,MO,63109,3148323440,13340,71144,OPL,SOP ,ST. LOUIS CITY,3,00,"(38.565573, -90.29378799999999)",54,200,2210
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #107,7450,HAMPTON AVE,ST LOUIS,MO,63109,3148323440,13340,83640,OPL,OPT ,ST. LOUIS CITY,3,00,"(38.565573, -90.29378799999999)",54,200,2210
WILLIAM A. STRAUB INC.,STRAUB MARKET,302,N KINGSHIGHWAY,ST LOUIS,MO,63108,3143616646,13367,87099,OPL,OPT ,ST. LOUIS CITY,3,00,,,,
WILLIAM A. STRAUB INC.,STRAUB MARKET,302,N KINGSHIGHWAY,ST LOUIS,MO,63108,3143616646,13367,87098,OPL,SOP ,ST. LOUIS CITY,3,00,,,,
ST. PIUS THE FIFTH CHURCH,ST. PIUS THE FIFTH CHURCH,3310,S GRAND AVENUE,ST LOUIS,MO,631181002,3147721525,13431,0,5BDW,    ,ST. LOUIS CITY,3,00,"(38.5970427, -90.24271039999999)",54,200,2223
ST. STEPHEN'S PROTOMARTYR CHURCH,,3949,WILMINGTON AVE,ST LOUIS,MO,631163222,3144811133,13432,0,5BDW,    ,ST. LOUIS CITY,3,00,,,,
NATIONAL RAILROAD PASSENGER CORPORATION,AMTRAK,60,MASSACHUSETTS AVE NE 4W,WASHINGTON,DC,200024285,2029063252,13728,13729,RR,SBD ,OUT OF STATE,7,00,"(38.8969676, -77.0054298)",,,1049
BROWN-FORMAN CORPORATION,BROWN-FORMAN BEVERAGE WORLDWIDE,850,DIXIE HIGHWAY,LOUISVILLE,KY,402101038,5025851100,13849,0,LS,    ,OUT OF STATE,7,00,"(38.244955, -85.7837243)",,,1327
