"resource_center","complex_name","drop_box_information","hours_of_operation","location_1","additional_address_info","mailing_address","phone_number","automated_24_hour_information_line","fax"
"Rock Port Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","101 Grant St
Rock Port, MO 64482
(40.40918205, -95.5147815)",,"525 Jules Street
St Joseph, MO 64501
(39.768228, -94.853601)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Buffalo Resource Center",,"M, W","Normal Hours 8 am to 5 pm M and 9 am to 5 pm W.  Closed 12 - 1 pm for lunch.  We continue to honor appointments and accept walk-ins.","719 North Ash
Buffalo, MO 65622
(37.64888355, -93.1040126)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Cameron Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T  and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","207 E McElwain Dr
Cameron, MO 64429
(39.757038, -94.236049)",,"525 Jules Street
St Joseph, MO 64501
(39.768228, -94.853601)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Victory Square Outreach Center",,"NO DROP BOX","Closed","1610 N Broadway
Springfield, MO 65803
(37.22794917, -93.30254604)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Joplin Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","601 Commercial
Joplin, MO 64802
(37.084551, -94.496045)",,"615 E 13th Street, 2nd Floor
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Carrollton Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm T, TH.  We continue to honor appointments and accept walk-ins.","1303 US-65
Carrollton, MO 64633
(39.37366502, -93.48495747)",,"615 E 13th Street, 2nd Floor
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Ozark Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","4715 N Towne Center Drive
Ozark, MO 65721
(37.06309566, -93.22958471)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Aids Project of the Ozarks Outreach Center","Walker Plaza","NO DROP BOX","Closed","1636 S Glenstone Ave
Springfield, MO 65804
(37.184339, -93.26225)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"West Plains Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","3415 Division Drive
West Plains, MO 65775
(36.77593819, -91.88656457)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Osceola Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm T, TH.  We continue to honor appointments and accept walk-ins.","230 Business Hwy 13
Osceola, MO 64776
(38.0454937, -93.6965825)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Monticello Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm T, TH.  We continue to honor appointments and accept walk-ins.","500 S Washington
Monticello, MO 63457
(40.11486813, -91.71481064)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Plattsburg Resource Center",,"NO DROP BOX","Normal Hours 9 am to 5 pm W  and 8 am to 5 pm TH.  We continue to honor appointments and accept walk-ins.","108 Bush Street
Plattsburg, MO 64477
(39.56349074, -94.47331622)",,"525 Jules Street
St Joseph, MO 64501
(39.768228, -94.853601)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Aurora Resource Center",,"M, TH, F","Normal Hours 8 am to 5 pm M, TH, F.  We continue to honor appointments and accept walk-ins.","1419 East Church Street
Aurora, MO 65605
(36.97030987, -93.69760371)",,"736 S Business Highway 13
Lexington, MO 64067
(39.170126, -93.876646)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Bethany Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm T, TH, F.  We continue to honor appointments and accept walk-ins.","2403 Vandivert Street
Bethany, MO 64424
(40.25917431, -94.02802616)",,"525 Jules Street
St Joseph, MO 64501
(39.768228, -94.853601)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Burrell/TransitionsOutreach Center","Burrelll Behavioral Health","NO DROP BOX","Closed","323 E Grand St
Springfield, MO 65802
(37.19690317, -93.29119769)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Warsaw Resource Center",,"M, T, TH, F","Normal Hours 8 am to 5 pm M, T, TH, F.  We continue to honor appointments and accept walk-ins.","1661 Hilltop Drive
Warsaw, MO 65355
(38.25467154, -93.36869114)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Rolla Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","1111 Kingshighway
Rolla, MO 65401
(37.943847, -91.786721)",,"615 E 13th Street, 2nd Floor
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Unionville Resource Center",,"NO DROP BOX","Normal Hours 9 am to 5 pm M and 8 am to 5 pm F.  We continue to honor appointments and accept walk-ins.","702 South 27th Street
Unionville, MO 63565
(40.4712058, -93.01635369)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Mountain Grove Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","1801 North Talcott Avenue
Mountain Grove, MO 65711
(37.13177265, -92.26082721)",,"525 Jules Street
St Joseph, MO 64501
(39.768228, -94.853601)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Alton Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","13985 MO 19
Alton, MO 65606
(36.679556, -91.404874)",,"525 Jules Street
St Joseph, MO 64501
(39.768228, -94.853601)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Galena Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm TH.  We continue to honor appointments and accept walk-ins.","30832 State Highway 413
Galena, MO 65656
(36.81195104, -93.47060891)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Warrenton Resource Center",,"M, TH, F","Normal Hours 8 am to 5 pm M, TH, F.  We continue to honor appointments and accept walk-ins.","513 West Booneslick Road
Warrenton, MO 63383
(38.81204629, -91.15544633)","Suite 1","615 E 13th Street, 2nd Floor
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Salem Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","800 West Scenic Rivers Blvd
Salem, MO 65560
(37.63602176, -91.54302954)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Jennings Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","8501 Lucas & Hunt Road
St Louis, MO 63136
(38.728785, -90.271519)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Southwest Missouri Office on Aging Outreach Center",,"NO DROP BOX","Closed","1735 S Fort Ave
Springfield, MO 65807
(37.18339158, -93.30880523)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Jackson Independence Resource Center",,"M-F","Normal Hours 8 am to 5pm M, T, TH, F and 9 am to  5 pm W. We continue to honor appointments  and accept walk-ins.","3675 South Noland Road
Independence, MO 64055
(39.053596, -94.413777)",,"615 East 13th Street
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Van Buren Resource Center",,"T, TH","Normal Hours 8 am to 5 pm T, TH.  We continue to honor appointments and accept walk-ins.","1306 Broadway Street
Van Buren, MO 63965
(37.008577, -91.011658)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Pemiscot Memorial Hospital Resource Center",,"NO DROP BOX","CLOSED-MAINTENANCE","946 E Reed Street
Hayti, MO 63851
(36.23742, -89.740529)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Community Partnership of the Ozarks Outreach Center",,"NO DROP BOX","Closed","1471 N Benton
Springfield, MO 65802
(37.22578173, -93.28733477)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Warrensburg Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","505-B N Ridgeview
Warrensburg, MO 64093
(38.76865982, -93.71037748)","Suite 100","3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"North Central Community Health Center","St. Louis county Public Health Dept Building","NO DROP BOX","Closed","4000 Jennings Station Rd
St Louis, MO 63121
(38.69480161, -90.27473429)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"St Joseph Resource Center",,"M-F","Normal Hours 7 am to 3:30 pm M-F","525 Jules Street
St Joseph, MO 64501
(39.76823855, -94.8533111)","St. Joseph State Office Building Suite 127","525 Jules Street
St Joseph, MO 64501
(39.768228, -94.853601)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Springfield Affordable Housing Outreach Center","City Government Plaza","NO DROP BOX","Closed","300 E Central
Springfield, MO 65802
(37.21735278, -93.29068099)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Albany Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","809 N 13th
Albany, MO 64402
(40.25293246, -94.32052866)",,"525 Jules Street
St Joseph, MO 64501
(39.768228, -94.853601)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Clay County Health Department Outreach",,"NO DROP BOX","Closed","800 Haines Drive
Liberty, MO 64068
(39.257096, -94.451868)",,"7000 Liberty Drive
Liberty, MO 64068
(39.218306, -94.465624)","(855) 373-4636",,"(573) 526-9400"
"Clinton Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, TH, F.  We continue to honor appointments and accept walk-ins.","1661 North 2nd
Clinton, MO 64735
(38.38937393, -93.77104201)",,"615 E 13th Street, 2nd Floor
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Shelbyville Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm TH.  We continue to honor appointments and accept walk-ins.","306 East Main
Shelbyville, MO 63469
(39.80596771, -92.03915084)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Marble Hill Resource Center",,"T, TH, F","Normal Hours 8 am to 5 pm T, TH, F.  We continue to honor appointments and accept walk-ins.","602 Highway 34 W
Marble Hill, MO 63764
(37.303996, -89.976623)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Park Hills Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","140 Staples Dr
Park Hills, MO 63601
(37.84137855, -90.50621298)","Ste 4","101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Ava Resource Center",,"T, TH, F","Normal Hours 8 am to 5 pm T, TH, F.  We continue to honor appointments and accept walk-ins.","603 Springfield Rd
Ava, MO 65608
(36.961081, -92.665029)","Unit E","101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Steelville Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, TH, F.  We continue to honor appointments and accept walk-ins.","272 Cushing Road
Steelville, MO 65565
(37.96280596, -91.31696572)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Salvation Army Outreach Center",,"NO DROP BOX","Closed","1707 W Chestnut
Ex Springfield, MO 65802
(37.21585827, -93.31386951)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Harrisonville Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","2500 East Mechanic
Harrisonville, MO 64701
(38.65881355, -94.32577921)",,"615 E 13th Street, 2nd Floor
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Centerville Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm T, TH.  We continue to honor appointments and accept walk-ins.","2394 Highway 21
Centerville, MO 63633
(37.430247, -90.95822)",,"615 E 13th Street, 2nd Floor
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Cassville Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","208 East 8th Street
Cassville, MO 65625
(36.67908959, -93.86759273)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Affinia Resource Center",,"NO DROP BOX","Closed","2220 Lemp Avenue
St Louis, MO 63104
(38.60716367, -90.2147465)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Potosi Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","10235 West State Highway E
Potosi, MO 63664
(37.94460251, -90.76804162)",,"3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Milan Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm T, TH.  We continue to honor appointments and accept walk-ins.","309 East 3rd Street
Milan, MO 63556
(40.20212822, -93.12320432)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"National Alliance on Mental Illness Outreach Center",,"NO DROP BOX","Closed","1443 N Robberson Avenue
Springfield, MO 65802
(37.224851, -93.29069866)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Camdenton Resource Center",,"M, TH","Normal Hours 8 am to 5 pm M, TH.  We continue to honor appointments and accept walk-ins.","146 Rodeo Road
Camdenton, MO 65020
(38.00236321, -92.73918739)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Edina Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm T.  We continue to honor appointments and accept walk-ins.","Hwy 6 E
Edina, MO 63537
(40.167597, -92.140049)",,"615 E 13th Street, 2nd Floor
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Fletcher Daniels Office Building Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","615 East 13th Street
Kansas City, MO 64106
(39.09836297, -94.57598107)","Suite 102","615 E 13th Street, 2nd Floor
Kansas City, MO 64106
(39.098377, -94.575677)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Maryville Resource Center",,"NO DROP BOX","Normal Hours 8 am to 5 pm M, T, TH.  We continue to honor appointments and accept walk-ins.","301 East Summit Drive
Maryville, MO 64468
(40.31985539, -94.87237157)",,"101 Park Central Sq
Springfield, MO 65806
(37.20932, -93.291772)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
"Chouteau Resource Center",,"M-F","Normal Hours 8 am to 5 pm M, T, Th, F and 9 am to 5 pm W.  We continue to honor appointments and accept walk-ins.","3101 Chouteau St
Louis, MO 63103-2926
(38.62425777, -90.22818441)","Suite 140","3101 Chouteau St
St. Louis, MO 63103
(38.624234, -90.228235)","(855) 373-4636","(800) 392-1261","(573) 526-9400"
