"business_name","zip_code","license_number","license_type","city"
"MCCLEAN LLC","934224811","269328","22S","ATASCADERO"
"MCCORMICK WINE IMPORTS, LLC","631193765","242081","22S","WEBSTER GROVES"
"MELVIN BREWING COMPANY LLC","831280000","256955","22S","ALPINE"
"MENDOCINO WINE GROUP, LLC","954823015","275331","22S","UKIAH"
"MERCER WINE ESTATES LLC","993506572","214444","22S","PROSSER"
"MERCHANT DU VIN CORPORATION","984024497","99681","22S","TACOMA"
"MERIDIAN PRIME INC.","112314808","272901","22S","BROOKLYN"
"METAMORPHOSIS LLC","945749558","280359","22S","ST. HELENA"
"METTLER WINES LLC","952409331","238204","22S","LODI"
"MEV CORPORATION","950709729","141962","22S","SARATOGA"
"MEYER CELLARS LLC","954940294","183570","22S","YORKVILLE"
"MI SUENO WINERY INC.","945586209","210439","22S","NAPA"
"MID-OAK DISTILLERY INC.","604691547","254811","22S","POSEN"
"MIDNIGHT CELLARS INC.","934469670","272955","22S","PASO ROBLES"
"MILBRANDT FAMILY WINES LLC","993506733","239313","22S","PROSSER"
"MILLER FAMILY WINE COMPANY LLC","934551505","274528","22S","SANTA MARIA"
"MISTARR WINE IMPORTERS","945102930","249150","22S","BENICIA"
"MLJ HOLDINGS LLC","954499819","284357","22S","HOPLAND"
"MONTAGU WINES LLC","94574","262636","22S","ST HELENA"
"MORE THAN GRAPES LLC","60062","247433","22S","NORTHBROOK"
"MORGAN WINERY INC.","939014355","91114","22S","SALINAS"
"MORGEN LONG WINE LLC","97132","271429","22S","NEWBERG"
"MORLET SELECTION, INC., THE","945749655","178724","22S","ST HELENA"
"MORLEY WINERY LLC","954489122","272497","22S","HEALDSBURG"
"MOUNTAIN CREST SRL LLC","535662055","190266","22S","MONROE"
"MOUNTAIN FORK BREWING COMPANY LLC","747287025","285959","22S","BROKEN BOW"
"MOUNTAIN PEAK VINEYARDS LLC","945589410","286261","22S","NAPA"
"MOUNTAIN VALLEY VINEYARDS INC.","954398819","228052","22S","FULTON"
"MOUNTAIN VIEW VINTNERS LLC","950373201","231323","22S","MORGAN HILL"
"MS WINES, LLC","954723495","271418","22S","SEBASTOPOL"
"MULE 2.0 LLC","558022446","243153","22S","DULUTH"
"NAPA WINE COMPANY LLC","945620434","205375","22S","OAKVILLE"
"NAPA WINE PARTNERS LP","945581100","201193","22S","NAPA"
"NAPA WINERY GROUP LLC","945581324","263835","22S","NAPA"
"NATURAL MYSTIC INC.","946191361","279836","22S","OAKLAND"
"NATURAL SELECTIONS 357 LLC","949541200","258848","22S","PETALUMA"
"NBI ACQUISTION LLC","947101521","210180","22S","BERKELEY"
"NEBRASKA BREWING CO. INC.","681285701","258774","22S","LA VISTA"
"NEW BELGIUM BREWING COMPANY, INC","805242457","269581","22S","FORT COLLINS"
"NEW MEXICO WINERIES INC.","880309033","194449","22S","DEMING"
"NEW PARROTT & COMPANY","945509149","102340","22S","LIVERMORE"
"NEW VAVIN INC.","945749657","203590","22S","ST. HELENA"
"NEW VINELAND, LLC","934364901","281128","22S","LOMPOC"
"NEXTERRA WINE COMPANY LLC","605171123","265758","22S","WOODRIDGE"
"NEXUS BRANDS LLC","802212910","242782","22S","DENVER"
"NIEBAUM-COPPOLA ESTATE WINERY LP","945730000","168434","22S","RUTHERFORD"
"NORTH COAST BREWING COMPANY INC.","954373215","273645","22S","FORT BRAGG"
"NORTHERN EMPIRE LLC","945581100","201192","22S","NAPA"
"NOVA WINES INC","94562","276395","22S","OAKVILLE"
"NUCLEAR WINE COMPANY, LLC","934561004","279638","22S","SANTA MARIA"
"NUMBSKUL BEVERAGE COMPANY LLC","600603826","236070","22S","MUNDELEIN"
"OAK RIDGE WINERY LLC","952400804","155162","22S","LODI"
"OCTOPI BREWING LLC","535978947","244290","22S","WAUNAKEE"
"ODELL BREWING COMPANY INC.","805242507","270574","22S","FT. COLLINS"
"OLD BAKERY BEER COMPANY, THE","620022405","233615","22S","ALTON"
"OLD BRIDGE CELLARS","945592424","167584","22S","NAPA"
"OLE IMPORTS LLC","108016560","198981","22S","NEW ROCHELLE"
"OLEA ESTATES LLC","630432417","267520","22S","MARYLAND HEIGHTS"
"OLIVER WINE COMPANY INC.","474040000","274530","22S","BLOOMINGTON"
"ONE TRUE VINE LLC","945749667","280030","22S","ST. HELENA"
"ONX WINERY INC.","934465989","254629","22S","PASO ROBLES"
"ORVINO IMPORTS & DISTRIBUTING INC.","330653164","246156","22S","CORAL SPRINGS"
"OVUM WINES, LLC","971327376","268744","22S","NEWBERG"
"OZARK BEER VENTURES, LLC","727566601","271561","22S","ROGERS"
"PACIFIC RIM WINE MERCHANTS","949451302","285586","22S","NOVATO"
"PALI WINE COMPANY LP","934369777","269543","22S","LOMPOC"
"PANEBIANCO LLC","100017524","271016","22S","NEW YORK"
"PARK WINE COMPANY INC.","940254713","262637","22S","MENLO PARK"
"PATHLIGHT BREWING, LLC","662141203","279832","22S","SHAWNEE"
"PATTON, DENNIS R., & SILVERSTEIN, ANDREA","954013728","244699","22S","SANTA ROSA"
"PAUL HOBBS IMPORTS INC.","954722327","146939","22S","SEBASTOPOL"
"PAULANER USA LLC","106043432","241871","22S","WHITE PLAINS"
"PAX MAHLE WINES LLC","954723495","257788","22S","SEBASTOPOL"
"PEACHY CANYON WINERY","934468753","205656","22S","PASO ROBLES"
"PEIRANO ESTATE WINERY INC.","945039695","266024","22S","AMERICAN CANYON"
"PEJU FAMILY OPERATING PARTNERSHIP, LP","945730478","250795","22S","RUTHERFORD"
"PEPPER BRIDGE WINERY LLC","993627132","280031","22S","WALLA WALLA"
"PETIT HAMEAU LLC","945591998","247773","22S","NAPA"
"PHILLIPS FARMS LLC","952429292","165457","22S","LODI"
"PINE MOUNTAIN VINEYARDS, LLC","954258507","260070","22S","CLOVERDALE"
"PINE RIDGE WINERY LLC","945589417","66330","22S","NAPA"
"PINNACLE IMPORTS LLC","631146124","109462","22S","OVERLAND"
"PIPEWORKS PRODUCTION LLC","606475972","279842","22S","CHICAGO"
"PLATA WINE PARTNERS LLC","945587565","221788","22S","NAPA"
"PLUME RIDGE IRREVOCABLE TRUST","917115766","186977","22S","CLAREMONT"
"PORT WASHINGTON IMPORTS LLC","110504653","239174","22S","PORT WASHINGTON"
"POST WINERY INC.","728219001","120785","22S","ALTUS"
"PRECISION BRAND COLLECTION WINE & SPIRIT","956120000","270421","22S","CLARKSBURG"
"PREMIUM PORT WINES INC.","941034842","81506","22S","SAN FRANCISCO"
"PRESQUILE WINERY","934555811","257327","22S","SANTA MARIA"
"PRESTIGE WINE IMPORTS CORPORATION","100118945","80909","22S","NEW YORK"
"PRESTIGE WORLDWIDE WINE COMPANY LLC","954039015","277847","22S","SANTA ROSA"
"PURPLE WINE COMPANY, LLC","94503","131144","22S","AMERICAN CANYON"
"QUADY SOUTH WINERY LLC","936379087","231918","22S","MADERA"
"QUANTUM WINES, LLC","934279492","260856","22S","BUELLTON"
"QUILCEDA CREEK VINTNERS INC","982905727","281129","22S","SNOHOMISH"
"R.H. KEENAN COMPANY","945749677","107437","22S","ST. HELENA"
"RACINE WINE CO.","971488422","232442","22S","YAMHILL"
"RAGE RECORDS INC.","124461534","251689","22S","KERHONKSON"
"RAMEY WINE CELLARS, INC.","954484003","276820","22S","HEALDSBURG"
"RANCH HAND LLC","787029650","280214","22S","AUSTIN"
"RARE BARREL LLC, THE","947102523","263459","22S","BERKELEY"
"RASA VINEYARDS LLC","993627760","234800","22S","WALLA WALLA"
"RB WINE ASSOCIATES LLC","954480000","205652","22S","HEALDSBURG"
"RBZ VINEYARDS LLC","934460000","203855","22S","PASO ROBLES"
"REED'S INC","06851","281337","22S","NORWALK"
"REEVE WINES LLC","954769295","238639","22S","SONOMA"
"REGAL BRAU BREWING COMPANY LLC","535662055","216817","22S","MONROE"
"REGAL WINE IMPORTS INC.","080574240","193042","22S","MOORESTOWN"
"REN ACQUISITION, INC.","94574","275143","22S","ST HELENA"
"RESERVA WINES LLC","336053510","277421","22S","TAMPA"
"REUSTLE VINEYARDS & WINERY LLC","974719679","258311","22S","ROSEBURG"
"REVELRY VINTNERS LLC","993627002","200785","22S","WALLA WALLA"
"REVOLVER BREWING, LLC","760495347","260249","22S","GRANBURY"
"RHINELANDER BREWING COMPANY LLC","535662055","196762","22S","MONROE"
"RHYS VINEYARDS LLC","950339588","250206","22S","LOS GATOS"
"RIDGE VINEYARDS INC.","950145435","62647","22S","CUPERTINO"
"RO SALES AND DISTRIBUTION SERVICES INC.","954769779","202846","22S","SONOMA"
"ROBERT FOLEY, LLC","945089774","193478","22S","ANGWIN"
"ROBERT MONDAVI INVESTMENTS & B PR R","945620000","126026","22S","OAKVILLE"
"ROCHE MERE WINE SELECTIONS LLC","672064408","243064","22S","WICHITA"
"RODINIA LLC","601621457","196170","22S","HILLSIDE"
"ROESSLER WINE CELLAR LLC","954762817","202017","22S","SONOMA"
"ROOTED SELECTIONS LLC","73142","259650","22S","OKLAHOMA CITY"
"ROOTS RUN DEEP LLC","945587583","177761","22S","NAPA"
"ROSE IMPORTING & DISTRIBUTING LLC","604182205","110837","22S","CRESTWOOD"
"ROSE SPRITZ INC.","60622","282631","22S","CHICAGO"
"ROUGHTAIL BREWING COMPANY, LLC","731142313","279996","22S","OKLAHOMA CITY"
"ROUND HILL CELLARS","945749542","36276","22S","ST HELENA"
"RUBIN WINES LLC","954722158","208527","22S","SEBASTOPOL"
"S & H INDEPENDENT PREMIUM BRANDS EAST","802122101","249740","22S","DENVER"
"S L J GROUP INC.","60045","62619","22S","LAKE FOREST"
"S L J GROUP INC.","431379676","265384","22S","LOCKBOURNE"
"S&H INDEPENDENT PREMIUM BRANDS WEST, LLC","940806816","279831","22S","SOUTH SAN FRANCISCO"
"SAMANDIA WINE IMPORTS LLC","801285455","255746","22S","LITTLETON"
"SAN ANTONIO WINERY INC.","900312514","118410","22S","LOS ANGELES"
"SAN JOAQUIN WINE COMPANY INC.","936378608","235535","22S","MADERA"
"SANDHILLS BREWING KC LLC","662023323","279844","22S","MISSION"
"SANS LIEGE INC.","934492532","219504","22S","PISMO BEACH"
"SAPPORO USA INC.","105915413","275446","22S","TARRYTOWN"
"SAUGATUCK BREWING COMPANY INC.","494065195","236137","22S","DOUGLAS"
"SAVAGE GRACE WINES, LLC","986510000","268513","22S","UNDERWOOD"
"SAVIO SOARES SELECTIONS CORP","100017504","277417","22S","NEW YORK"
"SBRAGIA FAMILY VINEYARDS LLC","954419686","219969","22S","GEYSERVILLE"
"SCALE WINE GROUP, LLC","945593012","284012","22S","NAPA"
"SCENIC ROOT WINEGROWERS LLC","94558","244168","22S","NAPA"
"SCHAEFER, CHRISTIAN PETER","910304011","208526","22S","SOUTH PASADENA"
"SCHEID VINEYARDS CALIFORNIA INC.","939279605","214331","22S","GREENFIELD"
"SCHILLING CIDER LLC","980012461","277420","22S","AUBURN"
"SCHNAER FAMILY WINES, LLC","660612304","280000","22S","OLATHE"
"SCOPERTA IMPORTING CO INC.","441181732","240705","22S","CLEVELAND HEIGHTS"
"SCRATCH BREWING COMPANY, LLC","629072658","272681","22S","AVA"
"SEATTLE CIDER COMPANY LLC","981342360","272417","22S","SEATTLE"
"SELECTIONATUREL, LLC","01938","273154","22S","IPSWICH"
"SELECTIVE WINE ESTATES, INC.","079363301","158578","22S","EAST HANOVER"
"SENS3S LLC","954729790","262638","22S","SEBASTOPOL"
"SERGE DORE SELECTIONS, LTD","10590","279830","22S","SOUTH SALEM"
"SHAFER VINEYARDS INC.","945589748","62567","22S","NAPA"
"SHANNON RIDGE INC.","954232037","176224","22S","CLEARLAKE OAKS"
"SHAPLEY, JEREMY","722275836","183954","22S","LITTLE ROCK"
"SHED HORN CELLARS LLC","598400000","234523","22S","HAMILTON"
"SIERRA NEVADA BREWING COMPANY INC.","959286722","69613","22S","CHICO"
"SIGNORELLO, RAYMOND","945581100","201194","22S","NAPA"
"SILVERADO VINEYARDS, THE","945589415","220834","22S","NAPA"
"SKINNER VINEYARDS LLC","956849583","240883","22S","FAIR PLAY"
"SKY KING INTERNATIONAL LLC","662218008","283248","22S","OVERLAND PARK"
"SLEEPING GIANT BREWING COMPANY LLC","802044803","272001","22S","DENVER"
"SLO DOWN WINES LLC","945586216","265378","22S","NAPA"
"SMITH-ANDERSON ENTERPRISES INC.","945592546","117864","22S","NAPA"
"SOCIAL ENJOYMENTS LLC","563201624","246988","22S","COLD SPRING"
"SOKOL BLOSSER LTD.","971147232","228397","22S","DUNDEE"
"SOLEMN OATH BREWERY LLC","605403969","261849","22S","NAPERVILLE"
"SOMMELIER IMPORTS, INC.","113782305","271281","22S","MASPETH"
"SORTING TABLE, LLC, THE","945592409","162489","22S","NAPA"
"SOUL FLOWER WINE CO.","934244974","281632","22S","ARROYO GRANDE"
"SOUTHERN STARZ, INC.","926491129","137396","22S","HUNTINGTON BEACH"
"SOUTHERN WINE GROUP LLC","945030000","193889","22S","AMERICAN CANYON"
"SPANISH WINE IMPORTERS LLC","201092375","268317","22S","MANASSAS"
"SPARKLING OREGON LLC","971284201","248293","22S","MCMINNVILLE"
"SPB LLC","544815232","182830","22S","STEVENS POINT"
"SPOTTSWOODE WINERY INC.","945742354","211126","22S","ST. HELENA"
"SQUIX LLC","934279565","268315","22S","BUELLTON"
"ST. AUGUSTINE INVESTMENTS LLC","921030000","273925","22S","SAN DIEGO"
"ST. ROMEDIUS LLC","94558","280569","22S","NAPA"
"ST. SUPERY INC.","945730000","239375","22S","RUTHERFORD"
"STAGLIN FAMILY VINEYARD LLC","945730680","148013","22S","RUTHERFORD"
"STAR CATCHER BEVERAGES LLC","24083","280500","22S","DALEVILLE"
"STEPHAN VINEYARD INC.","934466613","139249","22S","PASO ROBLES"
"STEPHEN DOOLEY WINE CO INC","934017502","280751","22S","SAN LUIS OBISPO"
"STEWART CELLARS LLC","954096494","220480","22S","SANTA ROSA"
"STIRM WINE COMPANY LLC","95076","253490","22S","WATSONVILLE"
"STONE BREWING CO LLC","920294158","246351","22S","ESCONDIDO"
"STONE THE CROWS LLC","945740000","238515","22S","ST. HELENA"
"STORYBOOK MOUNTAIN WINERY INC.","945159739","175360","22S","CALISTOGA"
"STRONG BRANDS LLC","66085","282632","22S","STILWELL"
"SUPERSTITION MEADERY LLC","863016151","285027","22S","PRESCOTT"
"SURLY BREWING CO","554293940","246409","22S","BROOKLYN CENTER"
"SVP WINERY LLC","934610195","176398","22S","SHANDON"
"SWEETWATER BREWING COMPANY LLC","303243924","273394","22S","ATLANTA"
"TAFT STREET INC.","954722555","186888","22S","SEBASTOPOL"
"TASHA'S INC.","971288560","230356","22S","MCMINNVILLE"
"TEMPTING FATE LLC","945508045","282421","22S","LIVERMORE"
"TERRAVANT WINE COMPANY LLC","934279565","264839","22S","BUELLTON"
"TGE LLC","970582905","201550","22S","THE DALLES"
"THIENOT USA, INC.","934466613","270058","22S","PASO ROBLES"
"THINK GLOBAL LLC","931013241","237754","22S","SANTA BARBARA"
"THIRD LEAF WINES LLC","949651447","260157","22S","SAUSALITO"
"THIRTY-SEVEN LLC","954037416","266715","22S","SANTA ROSA"
"THIS REALM LLC","945589419","242606","22S","NAPA"
"THOMAS ALLEN VINEYARDS & WINERY LLC","95242","256775","22S","LODI"
"THOMAS FOGARTY WINERY LLC","940288156","233614","22S","PORTOLA VALLEY"
"TOLLIVER RANCH BRANDS LLC","934469616","267683","22S","PASO ROBLES"
"TOMASELLO WINERY INC.","080371868","282211","22S","HAMMONTON"
"TOPPLING GOLIATH INC.","52101","253697","22S","DECORAH"
"TOWE, JODY B.","920291251","248457","22S","ESCONDIDO"
"TREANA WINERY LLC","934466309","119659","22S","PASO ROBLES"
"TREFETHEN VINEYARDS WINERY INC.","945581303","63400","22S","NAPA"
"TRENTADUE WINERY LLC","954410000","237752","22S","GEYSERVILLE"
"TRI-STAR MARKETING INC.","945981531","177922","22S","WALNUT CREEK"
"TRI-VIN IMPORTS INC.","108017402","245380","22S","NEW ROCHELLE"
"TRIM WINES LLC","945581100","208525","22S","NAPA"
"TRIONE VINEYARDS LLC","954419310","212641","22S","GEYSERVILLE"
"TROOP BEVERAGE CO.","941232177","283951","22S","IRWINDALE"
"TRUCHARD, ANTHONY M.","945599701","219430","22S","NAPA"
"TURLEY WINE CELLARS INC.","945749660","263825","22S","ST. HELENA"
"TURNBULL WINE CELLARS","945620029","82924","22S","OAKVILLE"
"TWELVE PERCENT LLC","10550","247266","22S","MOUNT VERNON"
"TWIN PEAKS WINERY INC.","945999471","134413","22S","YOUNTVILLE"
"UINTA BREWING COMPANY","841044215","264212","22S","SALT LAKE CITY"
"UMLAUT BREWING LLC","606473453","255845","22S","CHICAGO"
"UNDERGROUND WINE PROJECT LLC","993524152","252229","22S","RICHLAND"
"UNITED BRANDS LLC","337013421","285960","22S","ST. PETERSBURG"
"V & C LLC","98620","272998","22S","GOLDENDALE"
"VALCKENBERG INTERNATIONAL INC.","60014","247297","22S","CRYSTAL LAKE"
"VAN DUZER VINEYARDS LLC","973389339","122006","22S","DALLAS"
"VANDER MILL LLC","495032011","250888","22S","GRAND RAPIDS"
"VEN-CAL RANCHES LLC","945580141","210056","22S","NAPA"
"VENGE VINEYARDS INC.","94515","268159","22S","CALISTOGA"
"VENTURE MACDUFF LLC","989449771","268910","22S","SUNNYSIDE"
"VERMEIL WINE GROUP LLC","945150000","190916","22S","CALISTOGA"
"VERMONT HARD CIDER COMPANY LLC","057531477","253899","22S","MIDDLEBURY"
"VERTICAL PALATE WINE CO LLC","952208700","280358","22S","ACAMPO"
"VIADER VINEYARDS INC.","945769715","249116","22S","DEER PARK"
"VIEUX VINS INC","940051241","286262","22S","BRISBANE"
"VIGNETTE WINERY LLC","94558","272496","22S","NAPA"
"VILLA CREEK INC","934469692","278373","22S","PASO ROBLES"
"VIN DE ZO LLC","934364951","280002","22S","LOMPOC"
"VINE DIRECT LLC","626263828","277924","22S","CARLINVILLE"
"VINEBURG, LLC","954769615","186234","22S","SONOMA"
"VINEYARD 29, LLC","945749701","192480","22S","ST. HELENA"
"VINIFERA IMPORTS LTD","117796801","149306","22S","RONKONKOMA"
"VINO DEL SOL INC.","934465976","188268","22S","PASO ROBLES"
"VINO LOGICS CORPORATION","025363978","241906","22S","EAST FALMOUTH"
"VINOCOPIA INC.","554232707","248158","22S","MINNEAPOLIS"
"VINOVIA WINE GROUP INC.","926880000","226320","22S","RANCHO SANTA MARGARITA"
"VINTAGE IMPORTS, LLC","802073713","260423","22S","DENVER"
"VINTAGE POINT, LLC","945741906","280032","22S","ST. HELENA"
"VINTAGES, VINES AND WINE LLC","954096494","256390","22S","SANTA ROSA"
"VITAL WINES INC.","993628661","273152","22S","WALLA WALLA"
"VITE GALLERON WINERY LLC","945749540","280215","22S","RUTHERFORD"
"VOLIO VINO IMPORTS, INC.","981023662","268771","22S","SEATTLE"
"VOTTO VINES IMPORTING INC.","065140000","234521","22S","HAMDEN"
"WAGNER WINE COMPANY LLC","945340000","208523","22S","FAIRFIELD"
"WALLA SQUARED LLC","993621053","270936","22S","WALLA WALLA"
"WARROOM VENTURES, LLC","934530000","269610","22S","SANTA MARGARITA"
"WARSTEINER IMPORTERS AGENCY INC.","450693846","237705","22S","WEST CHESTER"
"WASHINGTON VINTNERS LLC","993621810","217173","22S","WALLA WALLA"
"WATERWAY IMPORTS LLC","33952","273328","22S","PORT CHARLOTTE"
"WAYFARER LLC","954031917","272892","22S","SANTA ROSA"
"WBWCO LLC","980728281","271185","22S","WOODINVILLE"
"WEIBEL INC.","952400860","211676","22S","LODI"
"WELL OILED WINE COMPANY LLC","200075208","250960","22S","WASHINGTON"
"WEST COAST WINE PARTNERS LLC","945592129","210753","22S","NAPA"
"WEYGANDT-METZLER IMPORTING LTD.","193750000","78717","22S","UNIONVILLE"
"WG BARR BEVERAGE COMPANY LP","94612","254444","22S","OAKLAND"
"WHITE ROOSTER FARMHOUSE BREWERY LLC","622861667","258310","22S","SPARTA"
"WICHITA BREWING COMPANY PRODUCTIONS, LLC","672114327","269817","22S","WICHITA"
"WILLIAM COLE VINEYARDS LLC","945749655","269668","22S","ST. HELENA"
"WILLIAMS & SELYEM LLC","95448","244009","22S","HEALDSBURG"
"WILSON CREEK WINERY & VINEYARDS INC.","925915088","217969","22S","TEMECULA"
"WIN IT TOO INC.","019492285","285251","22S","MIDDLETON"
"WINE BRIDGE IMPORTS INC","956166206","278809","22S","DAVIS"
"WINE COUNTRY INTERNATIONAL INC.","333111504","250601","22S","OAKLAND PARK"
"WINE CREEK LLC","954489721","179421","22S","HEALDSBURG"
"WINE HOOLIGANS LLC","954032000","223488","22S","SANTA ROSA"
"WINE SOURCE INC., THE","902481913","217754","22S","GARDENA"
"WINE WINE SITUATION","907551803","272947","22S","SIGNAL HILL"
"WINERY DIRECT LLC","660463048","243232","22S","LAWRENCE"
"WINESELLERS LTD.","607143808","14098","22S","NILES"
"WISD LLC","33156","239777","22S","MIAMI"
"WOODMAR GROUP LLC, THE","94558","177512","22S","NAPA"
"WOODWARD CANYON WINERY INC.","993609710","187326","22S","LOWDEN"
"WORLD'S END LLC","945031298","265757","22S","AMERICAN CANYON"
"WORLDWIDE CELLARS INC.","554211132","280200","22S","MINNEAPOLIS"
"YOUNTVILLE WINE IMPORTS, LLC","945996288","279833","22S","NAPA"
"ZIPLINE BREWING CO. LLC","685221027","235467","22S","LINCOLN"
"ZONIN U.S.A., INC.","331801411","140342","22S","AVENTURA"
"ZRS WINES LLC","112371401","275445","22S","BROOKLYN"
"21ST AMENDMENT BREWERY CAFE LLC","945772334","274089","22S","SAN LEANDRO"
"22 HUNDRED CELLARS INC.","934465988","223936","22S","PASO ROBLES"
"8 VINI INC.","945770000","216956","22S","SAN LEANDRO"
"801 DEGREES WOOD FIRED PIZZA & BREWERY","622692046","255157","22S","O'FALLON"
"903 BREWERS, LLC","75090","279835","22S","SHERMAN"
"KENDRICK LLC","971283944","286901","22S","MCMINNVILLE"
"ANCIEN WINES INC","945599713","286920","22S","NAPA"
"RTV WINERY LLC","934549174","286902","22S","SANTA MARIA"
"ELV-OREGON LLC","973043957","286900","22S","SALEM"
