"applicant","award_fiscal_year","project_number","category","eligible_mitigation_action","old_vehicle_type","new_vehicle_type","new_fuel_type","est_lifetime_nox_reduction","funding_requested","actual_funding_awarded","maximum_vw_cost_share","vehicle_cost","address","city","zip","county","state","point"
"Republic Services INC","2020","NG20-REPU-9/30-7902","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","4.84","30726.75","30726.75","0.25","231952.00","7169 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Department of Corrections","2020","DOC-9768-F0596M","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","0.04","100590.00","100590.00","0.97","104207.00","2733 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-20/43-8951","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","3.724","22500.00","22500.00","0.25","117724.00","1136 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Doniphan R-1 School District","2019","SB15-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.253","22000.00","22000.00","0.25","95971.00","309 Pine Street","Doniphan","63935","Ripley","MO","POINT (-90.891344 36.652448)"
"Schreiter Ready Mix & Materials inc","2020","NG21-SCHR-2/3-6683","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","1.852","31394.00","31394.00","0.25","172417.32","201 S Cool Springs Rd","O Fallon","63367","Saint Charles","MO","POINT (-90.789604 38.781329)"
"Milan C-2 School District","2019","SB58-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.619","22000.00","22000.00","0.25","88889.00","373 South Market Street","Milan","63556","Sullivan","MO","POINT (-93.119578 40.184043)"
"West St. Francois County R-IV","2019","SB81-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","Diesel","0.111","22000.00","22000.00","0.25","96940.00","1124 Main Street","Leadwood","63653","St. Francois","MO","POINT (-90.59005 37.86342)"
"David & Jerrie Baum, LLC","2020","NG02-DAVI-3/4-4583","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","3.12","40000.00","40000.00","0.25","169825.00",,"Halltown","65664","Lawrence","MO","POINT (-93.628258 37.193049)"
"Miller R-II School District","2019","SB59-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.582","22000.00","22000.00","0.25","91086.00","306 W. 1st Street","Miller","65707","Lawrence","MO","POINT (-93.835121 37.227787)"
"Republic Services INC","2020","NG20-REPU-4/30-3047","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","5.412","30726.75","30726.75","0.25","176448.39","7164 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"FedEx Freight Corporation","2020","NG27-FEDE-26/35-2732","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.612","9408.74","9408.74","0.25","101275.86","4095 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Purdy R-II","2020","SB17-PURD-0830","Category 1: school Bus","EMA 23","School Bus","School Bus","Diesel","0.82","36000.00","36000.00","0.4","97908.00","201 S. Gabby Gibbons Dr.","Purdy","65734","Barry","MO","POINT (-93.923667 36.799578)"
"L Davis Transports LLC","2020","NG12-LDAV-2/6-5750","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","9.306","40000.00","20000.00","0.25","80000.00","PO Box 419","Saint James","65559","Phelps","MO","POINT (-91.609245 38.007914)"
"City of Waynesville","2019","GT43-WAYN-T1","Category 2 - Medium (Class 4-7)","EMA 6","2004 Dump Truck","Short Haul Single Unit","Diesel","1.980","45000.00","45000.00",,"99093.00","201 Lafayette Cir","Waynesville","65583","Pulaski","MO","POINT (-92.244404 37.813029)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-33/43-0471","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","short haul combination",,"diesel","1.359","17500.00","17500.00","0.25","89854.00","1133 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Lebanon R-III Schools","2019","SB44-B2","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","School Bus","School Bus","diesel","0.237","22000.00","21493.00","0.25","85972.00","224 W. Commercial","Lebanon","65536","Laclede","MO","POINT (-92.646476 37.686845)"
"Republic Services Inc","2020","NG07-REPU-6620","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","4.62","30725.75","0.00","0.25",,"7201 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Elsberry R-II School District","2019","SB19-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.007","22000.00","21423.00","0.25","85692.00",,"Elsberry","63343","Lincoln","MO","POINT (-90.829686 39.15666)"
"Poplar Bluff School District","2019","SB67-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.25","22000.00","21980.00","0.25","87920.00","1110 N. Westwood Blvd","Poplar Bluff","63901","Butler","MO","POINT (-90.437071 36.769948)"
"Department of Corrections","2021","DOC-9769-0595M","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","0.212","81999.00","81999.00","1","81999.00","2730 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Empire District Electric Company","2021","EV04-EMPI-JOP01","Category 8: EV Infrastructure",,"EV charging station",,"all-electric",,"181118.00",,,,,"Joplin","64802","Jasper","MO","POINT (-94.51 37.09)"
"R+L Carriers, Inc","2020","NG18-R+LC-10/33-8024","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","3.066","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Dexter Public Schools","2020","SB33-DEXT-1370","Category 1: school Bus","EMA 50","School Bus","School Bus","Diesel","0.782","22500.00","22500.00","0.25","121709.00","1031 Brown Pilot Lane","Dexter","63841","Stoddard","MO","POINT (-89.974364 36.780439)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-5/43-6543","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","8.238","25000.00","25000.00","0.25","120132.00","1134 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"R+L Carriers, Inc","2020","NG18-R+LC-5/33-2813","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","8.8","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Adair County R-II School District","2019","SB02-B1","State Clean Diesel","Other","School Bus","School Bus","diesel","0.138","22000.00","21112.00","0.25","84448.00","205 W. Dewey Street","Brashear","63533","Adair","MO","POINT (-92.427606 40.210706)"
"Joplin School District R-VIII","2020","SB26-JOPL-0058","Category 1: school Bus","EMA 35","School Bus","School Bus","Diesel","1.178","36000.00","36000.00","0.4","92573.00","825 S. Pearl Ave","Joplin","64801","Jasper","MO","POINT (-94.496695 37.101405)"
"Salisbury R-IV School District","2019","SB71-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.144","22000.00","21293.50","0.25","85174.00","1000 South Maple Avenue","Salisbury","65281","Chariton","MO","POINT (-92.797228 39.487371)"
"Springfield R-XII","2020","SB19-SPRI-2970","Category 1: school Bus","EMA 25","School Bus","School Bus","Diesel","0.946","36000.00","36000.00","0.4","108856.00","2945 E Pythian Street","Springfield","65802","Greene","MO","POINT (-93.331172 37.210611)"
"Logan Rogersville R-VIII School District","2020","SB48-LOGA-9923","Category 1: school Bus","EMA 66","School Bus","School Bus","Diesel","1.294","36000.00","36000.00","0.4","98512.37","100 E Front Street","Rogersville","65742","Webster","MO","POINT (-93.084819 37.124148)"
"City of Columbia","2020","GT23-COLU-6842","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.868",,"40000.00",,"191666.00",,"Columbia","65205","Boone","MO","POINT (-92.328594 38.951551)"
"Grain Valley Schools","2019","SB29-B4","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.324","22000.00","21275.00","0.25","85100.00","31606 E. Pink Hill Rd. Box 304","Grain Valley","64029","Jackson","MO","POINT (-94.214042 39.009318)"
"Linn Co. R-1 School District","2020","D14-LINN-1/1-5501","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","School Bus",,"diesel","0.684","25000.00","22162.00","0.25","88648.00","15533 hwy kk po box 130","Purdin","64674","Linn","MO","POINT (-93.138156 39.96604)"
"Lebanon R-III Schools","2019","SB44-B3","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","School Bus","School Bus","diesel","0.266","22000.00","21493.00","0.25","85972.00","224 W. Commercial","Lebanon","65536","Laclede","MO","POINT (-92.646476 37.686845)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-7/43-6314","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","4.725","18750.00","18750.00","0.25","89854.00","1145 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Republic Services Inc","2020","NG07-REPU-6612","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","5.1","30726.75","0.00","0.25",,"7200 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Ash Grove R-IV School District","2019","SB04-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.494","22000.00","21157.00","0.25","84628.00","101 N. Maple Lane","Ash Grove","65604","Lawrence","MO","POINT (-93.582453 37.305448)"
"Hillsboro R-III School District","2019","SB33-B1","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","School Bus","School Bus","diesel",,"22000.00","22000.00","0.25","96318.00","5 Ridgewood Drive","Hillsboro","63050","Jefferson","MO","POINT (-90.572632 38.261258)"
"City of University City","2020","GT25-UNIC-5032","Category 2: Government Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.675","31895.85","0","0.5",,"1015 Pennsylvania Avenue","University City","63130",,"MO","POINT (-90.324236 38.664363)"
"Ozarks Coca Cola/Dr. Pepper Bottling Company","2020","NG17-OZAR-10/10-4380","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","long haul combination",,"diesel","1.44","14975.00","14975.00","0.25","111831.00","1777 N. Packer Rd.","Springfield","65604","Greene","MO","POINT (-93.582453 37.305448)"
"Dexter R-XI Schools","2019","SB14-B3","State Clean Diesel","Other","School Bus","School Bus","diesel","0.075","22000.00","22000.00","0.25","93965.00","1031 Brown Pilot Ln","Dexter","63841","Stoddard","MO","POINT (-89.974364 36.780439)"
"School of the Osage R-II","2019","SB73-B1","State Clean Diesel","EMA 5","School Bus","School Bus","diesel","0.199","22000.00","21769.50","0.25","87078.00","1501 School Rd.","Lake Ozark","65049","Camden","MO","POINT (-92.673709 38.199954)"
"Republic Services Inc","2020","NG07-REPU-2596","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","5.104","30726.75","0.00","0.25",,"7187 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Junction Hill C-12","2019","SB40-B1","State Clean Diesel","EMA 2","School Bus","School Bus","diesel","0.957","22000.00","22000.00","0.25","93562.00","8004 CR 3010","West Plains","65775","Howell","MO","POINT (-91.8681 36.7125)"
"St James, City of","2020","GT02-STJA-2114","Category 2: Government Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.854",,"32000.00",,"81031.00","100 S Jefferson","St. James","65559","Phelps","MO","POINT (-91.609245 38.007914)"
"Sunrise Transport LLC","2020","NG23-SUNR-1/1-5017","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","12.76","42075.00","37728.80","0.25","150915.18","22889 hmy A","New London","63459","Ralls","MO","POINT (-91.391977 39.585502)"
"David & Jerrie Baum, LLC","2020","NG02-DAVI-4/4-9812","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","1.66","40000.00","40000.00","0.25","169825.00",,"Halltown","65664","Lawrence","MO","POINT (-93.628258 37.193049)"
"Gideon School District 37","2019","SB28-B2","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.216","100000.00","100000.00","1","104539.00","400 Main Street ","Gideon","63848","New Madrid","MO","POINT (-89.898993 36.45122)"
"Ozarks Coca Cola/Dr. Pepper Bottling Company","2020","NG17-OZAR-7/10-4381","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","1.66","14975.00","14975.00","0.25","78673.00","1777 N. Packer Rd.","Springfield","65604","Greene","MO","POINT (-93.582453 37.305448)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-18/43-7611","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","2.321","13500.00","13500.00","0.25","89854.00","1133 e kearny street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"OTL Logistics Inc","2020","AC01-OTLL-k-18","Category 6: Airport and Cargo","8. Forklifts and Port Cargo Handling","Terminal Tractor",,"all-electric","39.567","165000.00","165000.00","0.5","345943.65","PO Box 11174","Kansas City","64119","Clay","MO","POINT (-94.520435 39.207051)"
"St Louis, City of","2020","GT21-STLO-7996","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","1.08",,"32163.83",,"170783.00","1122 Clark Ave","St. Louis","63102","Saint Louis City","MO","POINT (-90.188556 38.631639)"
"Department of Corrections","2021","DOC-6823-0825M","Category 2: Government Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.096","125675.29","125675.29","1","125675.29","2730 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Metropolitan St. Louis Sewer Department","2020","GT17-MSWR-7950","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.663","26000.00","0.00","0.5",,"10 E Grand Ave","St. Louis","63147","Saint Louis City","MO","POINT (-90.221068 38.695471)"
"Liberty Public School District #53","2019","SB47-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.447","22000.00","22000.00","0.25","92770.00","801 Kent Street","Liberty","64068","Clay","MO","POINT (-94.412372 39.252954)"
"Jefferson C-123 School District","2019","SB38-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.048","22000.00","19401.50","0.25","77606.00","37614 US Hwy 136","Conception Junction","64434","Nodaway","MO","POINT (-94.725622 40.267634)"
"Miller R-II","2020","SB04-MILL-5535","Category 1: school Bus","EMA 4","School Bus","School Bus","Diesel","0.946","22500.00","22500.00","0.25","92500.00","110 W. 6th Street","Miller","65707","Lawrence","MO","POINT (-93.835121 37.227787)"
"Capital Sand Company, Inc","2020","LM01-CAPI-60M8","Category 5: Locomotive and Marine","4. Ferries and Tugs","Ferry or Tug",,"diesel","35.04","350000.00",,"0.4","234820.00","700 Mokane Road","Jefferson City","65101","Cole","MO","POINT (-92.147722 38.515439)"
"City of Columbia","2019","TS02-COMO-B2","Category 3: Transit and Shuttle Buses","EMA 2","Transit Bus","Transit Bus",,"4.482","98000.00","98000.00",,"490000.00","126 North Tenth Street","Columbia","65205","Boone","MO","POINT (-92.328594 38.951551)"
"FedEx Freight Corporation","2020","NG27-FEDE-15/35-3352","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","1.31","19961.79","19961.79","0.25","101275.86","4083 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Waste Management of Missouri, INC","2020","NG25-WAST-5/12-7995","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","2.652","42000.00","42000.00","0.25","345115.20","7320 Hall Street","St. Louis","63147","Saint Louis City","MO","POINT (-90.221068 38.695471)"
"Pemiscot County R-III","2020","SB42-PEMI-5419","Category 1: school Bus","EMA 59","School Bus","School Bus","Diesel","0.744","36000.00","36000.00","0.4","103597.00","1727 County Highway 536","Caruthersville","63830","Pemiscot","MO","POINT (-89.700072 36.154753)"
"Leopold R-III School District","2019","SB46-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.727","100000.00","99370.00","1","99370.00","100 Main Street","Leopold","63760","Bollinger","MO","POINT (-89.911097 37.263355)"
"City Utilities of Springfield","2020","D04-CITY-4/7-3492","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","Loader",,"diesel","0.574","43750.00","36537.50","0.25","146150.00",,"Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"R+L Carriers, Inc","2020","NG18-R+LC-31/33-6814","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","2.52","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Gasconade C4","2020","SB27-GASC-6029","Category 1: school Bus","EMA 38","School Bus","School Bus","Diesel","1.033","72000.00","72000.00","0.8","90434.00","32595 Hwy 32","Falcon","65470","Laclede","MO","POINT (-92.388677 37.55481)"
"R+L Carriers, Inc","2020","NG18-R+LC-24/33-5102","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","2.304","25367.63","25251.75","0.25","101007.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Alton R-IV School District","2019","SB03-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.576","22000.00","22000.00","0.25","112519.00","RT 72 ","Alton","65606","Oregon","MO","POINT (-91.366175 36.717693)"
"R+L Carriers, Inc","2020","NG18-R+LC-7/33-6602","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","4.176","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Kirbyville R-VI School District","2020","SB06-KIRB-0172","Category 1: school Bus","EMA 7","School Bus","School Bus","Diesel","1.207","54000.00","54000.00","0.6","100849.00","6225 E. State Hwy 76","Kirbyville","65679","Taney","MO","POINT (-93.110371 36.599308)"
"Breckenridge R-I School District","2020","SB39-BREC-7914","Category 1: school Bus","EMA 56","School Bus","School Bus","Diesel","0.712","72000.00","64720.00","0.8","80900.00","400 W. Colfax","Breckenridge","64625","Caldwell","MO","POINT (-93.809245 39.754803)"
"Estes Express Lines","2020","NG03-ESTE-5/5-2622","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","2.784","26745.00","22082.01","0.25","88328.02","205 Soccer Park Road","Fenton","63026","Saint Louis County","MO","POINT (-90.463646 38.504609)"
"FedEx Freight Corporation","2020","NG27-FEDE-24/35-7933","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","1.562","23055.94","23055.94","0.25","101275.86","4093 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Central R-III School District","2020","SB29-CENT-5524","Category 1: school Bus","EMA 41","School Bus","School Bus","Diesel","1.294","36000.00","36000.00","0.4","101972.00","200 High Street","Park Hills","63601","Saint Francois","MO","POINT (-90.53626 37.836828)"
"Department of Corrections","2019","DOC-5","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","4.788","100590.19","100590.19",,"100590.19","2729 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Republic Services INC","2020","NG20-REPU-25/30-2616","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","0.616","9246.00","9246.00","0.25","176448.39","7160 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-2/43-9246","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","5.545","18750.00","18750.00","0.25","117724.00","1141 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Waste Management of Missouri, INC","2020","NG25-WAST-11/12-4829","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","4.0335","55000.00","55000.00","0.25","345115.20","7320 Hall Street","St. Louis","63147","Saint Louis City","MO","POINT (-90.221068 38.695471)"
"Republic Services INC","2020","NG20-REPU-8/30-7901","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","3.81","30726.75","30726.75","0.25","167866.35","7168 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Houston R-1 School District","2019","SB36-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.249","22000.00","22000.00","0.25","91519.00","423 West Pine","Houston","65483","Texas","MO","POINT (-91.952617 37.305038)"
"Gasconade R-2 School District","2019","SB27-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.224","22000.00","21349.50","0.25","85398.00","402 East Lincoln","Owensville","65066","Gasconade","MO","POINT (-91.488156 38.343261)"
"North Pemiscot County R-I","2019","SB63-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.074","100000.00","100000.00","1","105039.00","102 School Drive","Wardell","63879","Pemiscot","MO","POINT (-89.821912 36.351824)"
"City Utilities of Springfield","2020","TS02-SPRG-2-3404","Category 3: Transit and Shuttle Buses","2. Class 4-8 School Bus, Shuttle Bus, or Transit Bus","Bus","Bus","all-electric","5.537",,,"0.5",,"1508 N Boonville Ave","Springfield","65806","Greene","MO","POINT (-93.298744 37.205772)"
"Republic Services Inc","2020","NG07-REPU-2194","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","2.912","37000.00","0.00","0.25",,"7183 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Department of Corrections","2019","DOC-2","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","3.042","106448.83","106448.83",,"106448.83","2729 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Metropolitan St Louis Sewer District","2020","GT11-METR-6979","Category 2: Government Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","1.106",,"49440.00",,"108710.00","2350 Market St","St. Louis","63103","Saint Louis City","MO","POINT (-90.215039 38.630287)"
"Skyline R-II School District","2019","SB76-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.033","100000.00","99492.00","1","99492.00","Rt 72 Box 486","Norwood","65717","Wright","MO","POINT (-92.434049 37.08251)"
"Republic Services Inc","2020","NG07-REPU-8894","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","4.213","30726.75","0.00","0.25",,"7209 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Republic Services INC","2020","NG20-REPU-19/30-1866","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","long haul combination",,"diesel","3.69","39209.25","39209.25","0.25","186807.00","7174 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"SYSCO St. Louis LLC","2020","NG24-sYSC-4/10-5964","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","3.828","20330.00","20330.00","0.25","90115.91","2754 Elm Point Industiral Drive","St. Charles","63301","Saint Charles","MO","POINT (-90.496858 38.821144)"
"Republic Services Inc","2020","NG07-REPU-7505","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","5.028","30726.75","0.00","0.25",,"7204 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"McDonald County R-1 Schools","2020","SB25-MCDO-4917","Category 1: school Bus","EMA 34","School Bus","School Bus","Diesel","1.294","22500.00","21684.00","0.25","86736.00","10 Stampede Dr.","Anderson","64831","McDonald","MO","POINT (-94.471872 36.664965)"
"L Davis Transports, LLC","2020","NG09-LDAV-5386","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Long Haul Combination",,"diesel","7.95","40000.00","26250.00","0.25",,"PO BOX 419","St. James","65559","Phelps","MO","POINT (-91.609245 38.007914)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-17/43-6154","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","3.516","18000.00","18000.00","0.25","89854.00","1136 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Skyline R-II","2020","SB23-SKYL-6039","Category 1: school Bus","EMA 29","School Bus","School Bus","Diesel","0.712","72000.00","72000.00","0.8","92214.00","Rt. 72 Box 486","Norwood","65717","Wright","MO","POINT (-92.434049 37.08251)"
"Marion C. Early R-V School District","2019","SB51-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.404","22000.00","20947.50","0.25","83790.00","5309 South Main","Morrisville","65710","Polk","MO","POINT (-93.425189 37.485349)"
"FedEx Freight Corporation","2020","NG27-FEDE-22/35-8913","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","1.11","17971.63","17971.63","0.25","101275.86","4091 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"R+L Carriers, Inc","2020","NG18-R+LC-20/33-8667","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","3.795","25367.63","25251.75","0.25","101007.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"City of Bethany","2021","EV01-BETH-BET01","Category 8: EV Infrastructure",,"EV charging station",,"all-electric",,"157990.00",,,,"206 N 16th St","Bethany","64424","Harrison","MO","POINT (-94.02688 40.257334)"
"Gainesville R-V","2020","SB15-GAIN-4216","Category 1: school Bus","EMA 19","School Bus","School Bus","Diesel","0.714","54000.00","53490.00","0.6","89150.00","422 Bulldog Drive","Gainesville","65655","Ozark","MO","POINT (-92.40638 36.578204)"
"Ozarks Coca Cola/Dr. Pepper Bottling Company","2020","NG17-OZAR-5/10-4759","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","long haul combination",,"diesel","4.72","22850.00","22850.00","0.25","115722.00","1777 N. Packer Rd.","Springfield","65604","Greene","MO","POINT (-93.582453 37.305448)"
"City of St. Louis","2019","R-GT2-STLC-T5","Category 2: Government Trucks",,,,"diesel","1.758","43010.00","43010.00","0.5","138944.00","1900 Hampton Ave","St. Louis","63139","Saint Louis City","MO","POINT (-90.292627 38.610541)"
