FACILITY,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,HOURS OF OPERATION,Location,School Districts,Missouri Counties,Counties
Salvation Army of Jasper-Newton Counties,320 East 8th Street,Joplin,64801,Jasper,417-624-4528,"Mon-Thur - 9:00am to 4:00pm
Fri - 9:00am to 2:00pm

Showers and laundry by appointment
Women - Wednesday -9:00am to 1:30pm 
Men - Monday, Tuesday, and Thursday - 9 am to 1:30 pm","(37.082003, -94.510521)",490,94,1966
Cassville Branch Library,301 West 17th Street,Cassville,65625,Barry,417-847-2121,"Mon - Thu 8:30am to 6:00pm
Fri - Sat 8:30am to 5:30pm","(36.688417, -93.867658)",509,107,2649
Albany Carnegie Public Library,101 West Clay Street,Albany,64402,Gentry,660-726-5615,"- Mon and Thu - 9:00am to 7:00pm
- Tue, Wed, Fri and Sat - 9:00am to 5:00pm","(40.247874, -94.331737)",27,10,521
McDonald County Senior Center,624 Johnson Drive,Noel,64854,Mcdonald,417-475-3511,"7:30 am to 1:30 pm, M-F
Lunch served at 11:30 am","(36.537408, -94.485246)",519,113,530
Mount Vernon Senior Center,425 N Main St,Mount Vernon,65712,Lawrence,417-466-2072,Mon-Fri - 8:00am to 3:30pm,"(37.105976, -93.817126)",408,97,528
Sermon Center,201 N Dodgion Ave,Independence,64050,Jackson,816-325-7617,M-Thurs 8 AM until 8 PM ; Varied on weekends due to staffing.,"(39.09275629, -94.41148465)",463,43,525
St Charles City County Library District Kathryn Linnemann Branch,2323 West Elm Street,Saint Charles,63301,St Charles,636-723-0232,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.795498, -90.500299)",195,48,2177
Ferguson Municipal Public Library,35 North Florissant Road,Saint Louis,63135,St Louis,314-521-4820,"Mon-Thu - 9:00am to 6:00pm
- Sat - 9:00am to 1:00pm","(38.745879, -90.305677)",191,51,2210
St. Louis Public Library Charing Cross Branch,356 N Skinker Blvd,Saint Louis,63130,St Louis,314-726-2653,"Mon, Tue, Fri and Say – 11:00am to 5:00pm
Wed and Thu – 1:00pm to 7:00pm","(38.651341, -90.300191)",200,54,2223
Cuba Senior Center,206 N. Smith Street,Cuba,65453,Crawford,573-885-2909,Mon-Fri - 8:00am to 4:00pm,"(38.062947, -91.408089)",484,67,1953
Desoto Rural Fire and Rescue,201 East Miller,DeSoto,63020,Jefferson,636-586-2557,Mon - Fri 9:00am to 5pm;  Call to ensure not responding to emergency before arriving,"(38.133849, -90.554162)",295,62,1967
Madison County Health Department,806 West College Avenue,Fredericktown,63645,Madison,573-783-2747,Mon-Fri - 7:00am to 5:30pm,"(37.558275, -90.304506)",348,83,2121
Grundy County - Jewett Norris Library,1331 Main Street,Trenton,64683,Grundy,660-359-3577,"Mon - 8:30am to 7:00pm
- Tue-Fri  8:30am to 5:00pm
- Sat - 8:30am to 12:00pm (Noon)","(40.078523, -93.617813)",41,15,522
St. Joseph Public Library - East Hills Library,502 N Woodbine Rd,Saint Joseph,64506,Buchanan,816-236-2136,Th 9 a.m. to 6 p.m. and F & S from 9 a.m. to 5 p.m.,"(39.771128, -94.796887)",77,25,2692
Humansville Senior Center,102 West Tilden Street,Humansville,65674,Polk,417-754-8303,Mon-Fri - 8:00am to 3:30pm,"(37.794127, -93.578234)",330,80,537
St. Louis Public Library Baden Branch,8448 Church Road,Saint Louis,63147,St Louis City,314-388-2400,"Mon – 12:00pm(Noon) to 8:00pm
Tue-Thu – 10:00am to 6:00pm
Fri and Sat – 10:00am to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.714977, -90.232877)",200,54,2223
Macon Public Library,210 N Rutherford,Macon,63552,Macon,660-385-3314,"Mon, Tue, Thu, Fri - 10:00am to 6:00pm
- Wed - 10:00am to 5:00pm
- Sat - 10:00am to 3:00pm","(39.739673, -92.469608)",72,20,2120
Fairmont City Library,4444 Collinsville Road,East Saint Louis,62201,St Clair,618-482-3966,"Mon-Thu - 10:00am to 6:00pm
Fri and Sat - 9:00am to 5:00pm","(38.650499, -90.103907)",,,1797
Mountain Grove Library,206 North Greene Avenue,Mountain Grove,65711,Wright,417-926-4453,"Mon - Fri 8:00am to 11:00am and 12:00pm (noon) to 5:00pm
Sat 8:00am to 12:00pm (noon)","(37.130157, -92.262019)",386,90,546
Rock Port Senior Center Center,505 South County Club Drive,Rock Port,64482,Atchison,660-744-5812,Mon-Fri - 7:00am to 2:00pm,"(40.410048, -95.510428)",8,2,2648
City Of Bethany Public Library,101 North 15th Street,Bethany,64424,Harrison,660-425-8008,"Tue, Wed - 9:00am to 4:30pm
- Thu - 12:30pm to 4:30pm
- Fri - 9:00am to 12:00pm (Noon)
- Sat - 9:00am to 12:00pm (Noon)","(40.2689, -94.035772)",22,9,1961
Senior Center of Macon,1404 South Missouri Street,Macon,63552,Macon,660-385-6411,"Mon, Wed, Thu, Fri - 8:00am to 4:00pm","(39.720376, -92.466908)",72,20,2120
St. Joseph Public Library - Downtown Library,927 Felix St,Saint Joseph,64501,Buchanan,816-232-4038,"M, W, F & S 9 a.m. to 5 p.m. and Tu and Th 9 a.m. to 6 p.m.","(39.766785, -94.848575)",77,25,2692
Clara Drinkwater Newnam Library,105 East Marshall Street,Charleston,63834,Mississippi,573-683-6748,"Mon - Fri   8:00am-5:30pm
Sat  10:00 am -2:00pm","(36.92079, -89.349051)",415,99,2125
Salvation Army of Carthage Service Center,125 East Fairview,Carthage,64836,Jasper,417-358-2262,Mon-Fri - 9:00am to 4:00pm,"(37.15487, -94.310253)",398,94,1966
"Albany Senior Center, Inc",209 West Clay,Albany,64402,Gentry,660-726-5645,Mon-Fri - 9:00am to 4:00pm,"(40.248009, -94.333004)",27,10,521
Jefferson County Health Department Arnold Office,1818 Lonedell Road,Arnold,63010,Jefferson,636-282-1010,Mon-Thu - 8:00am to 5:30pm,"(38.445892, -90.403437)",255,62,1967
Shell Knob - Central Crossing Senior Center,20801 YY 15,Shell Knob,65747,Barry,417-858-6952,Mon-Fri - 8:00am to 3:30pm,"(36.624807, -93.60803)",526,107,2649
Humansville Library Branch,101 South Ohio Street,Humansville,65674,Polk,417-754-2455,"Tue and Fri 9:00am to 12:30pm and 1:00pm to 5:00pm
Thu 9:00am to 12:00pm (noon) and 1:00pm to 7:00pm
Sat 9:00am to 12:30pm","(37.795391, -93.577736)",330,80,537
Canton Senior Citizens Center,600 Montgomery Street,Canton,63435,Lewis,573-288-3633,"Mon, Wed, Fri - 9:00am to 1:00pm","(40.127506, -91.521691)",478,16,2117
Senior Americans Multipurpose Center,205 Farror,Moberly,65270,Randolph,660-263-5468,Mon-Fri - 8:00am to 3:00pm,"(39.422501, -92.434361)",112,33,538
Douglas County Public Library,301 South West Third Ave.,Ava,65608,Douglas,417-683-5633,"Mon-Fri - 9:00am to 5:00pm
Sat - 9:00am to 12:00pm (Noon)","(36.950508, -92.662174)",422,102,520
Carlinville Senior Citizens Center,213 N East St,Carlinville,62626,Macoupin,217-854-3622,Mon-Fri - 8:00am to 1:00pm,"(39.281499, -89.88004)",,,1748
KCMO Parks and Recreation - Marlborough Community Center,8200 Paseo Blvd,Kansas City,64131,Jackson,816-784-3100,Mon 12pm-9pm; T-F 9am-9pm; Sa 8am-5pm,"(38.979075, -94.567261)",167,43,525
Hayner Public Library District Downtown,326 Belle Street,Alton,62002,Madison,618-462-0677,"Mon-Thu - 8:30am to 7:00pm
Fri and Sat - 8:30am to 5:00pm
Sun - 1:00pm to 6:00pm","(38.8919165, -90.1877269)",,,1749
Jefferson County Library District,5678 State Road PP,High Ridge,63049,Jefferson,636-677-8689,"Mon-Thu - 9:00am to 9:00pm
Fri - 9:00am to 6:00pm
Sat - 9:00am to 5:00pm","(38.454989, -90.536175)",256,62,1967
St. Louis County Library Headquarters,1640 South Lindbergh Boulevard,Saint Louis,63131,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm Sept-May only - call for more details","(38.630501, -90.405566)",217,51,2210
Windsor Senior Center,201 S. Main,Windsor,65360,Henry,660-647-3224,Mon-Thurs - 9:00am to 2:00pm; Closed Fridays,"(38.531213, -93.522899)",224,60,1962
Ava Senior Center,108 North East 2nd Street,Ava,65608,Douglas,417-683-5712,Mon-Fri - 8:00am to 3:30pm,"(36.952635, -92.659312)",422,102,520
Stone County Recovery Center,150 Keystone Road,Reeds Spring,65737,Stone,417-230-7628,Mon - Fri 10:00am to 6:00pm,"(36.762838, -93.347016)",516,105,2216
Dunklin County Library,208 North Main Street,Kennett,63857,Dunklin,573-888-3561,Mon - Sat 8:30am to 5:30pm,"(36.237471, -90.057259)",549,114,1957
St. Louis Public Library Kingshighway Branch,2260 S Vandeventner,Saint Louis,63111,St Louis City,314-771-5450,"Mon – 12:00pm(Noon) to 8:00pm
Tue-Thu – 10:00am to 6:00pm
Fri and Sat – 10:00am to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.612801, -90.26689)",200,54,2223
Hillsboro Fire Protection District Station Two,5750 State Road B,Hillsboro,63050,Jefferson,636-797-3619,Mon - Sun 8:00am to 4:00pm,"(38.244669, -90.60918)",268,62,1967
Andrew County Senior Center,12737 State Route E,Savannah,64485,Andrew,816-324-4916,"M-F, 7am-3pm","(39.94512, -94.806781)",54,17,2647
Bi-Lingual International Assistant Services (Macklind International Senior Center),1329 Macklind Ave Suite 200,St. Louis,63110,St. Louis City,314-645-7800,Mon – Fri 9am-5pm,"(38.624322, -90.275976)",200,54,2223
St. Louis County Library Prairie Commons Branch,915 Utz Lane,Hazelwood,63042,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.782868, -90.377667)",181,51,2210
Mid-Continent Public Library - Midwest Genealogy Center,3440 S Lee's Summit Rd,Independence,64055,Jackson,816-252-7228,"M-Sat 10am-8pm, Sun 1pm-8pm","(39.055456, -94.390231)",463,43,525
Callaway County Public Library,710 Court Street,Fulton,65251,Callaway,573-642-7261,"Mon, Tue, Thu - 3:00pm to 6:00pm 
- Wed - 10:00am to 6:00pm 
- Sat - 10:00am to 1:00pm","(38.85016, -91.947324)",171,45,513
Washington County Health Department,520 Purcell Dr,Potosi,63664,Washington,573-438-2164,"Mon-Thurs - 8:00am to 5:00pm
Fri - 10:00am to 5:00pm","(37.933991, -90.778058)",301,66,545
Mansfield Public Library,120 North Business 60,Mansfield,65704,Wright,417-924-8068,"Mon - Fri 8:00am to 12:00pm (noon) and 12:30pm to 4:30pm
Sat 8:00am to 12:00pm (noon)","(37.107306, -92.580664)",399,90,546
"Leu Civic Center, Inc.",213 North Market,Mascoutah,62258,St Clair,618-566-2175,"- Mon-Thu - 9:00am to 8:00pm
- Fri - 9:00am to 6:00pm
- Sat - Open for events","(38.492308, -89.796684)",,,1797
"Community Care Center, Inc.",1818 Cleveland Blvd,Granite City,62040,Madison,618-876-8770,"Mon-Thu - 9:00am to 3:00pm
Closed for lunch - 11:30am to 12:00pm (Noon)","(38.700548, -90.153046)",,,1749
"Kansas City, MO Public Library - Waldo Branch",201 E 75th St,Kansas City,64114,Jackson,816-701-3486,"M-F 10am-7pm, Sa 10am-5pm","(38.991887, -94.586891)",151,43,525
McDonald County Health Department,500 Olin Street,Pineville,64856,McDonald,417-223-4351,Mon-Thur - 8:00am to 4:30pm & Fri 8:00-2:00 pm,"(36.593957, -94.384369)",519,113,530
Holcomb Branch Library,212 West Main,Holcomb,63852,Dunklin,573-792-3268,"Mon, Wed, Fri 1:00pm to 5:00pm","(36.405369, -90.024105)",544,114,1957
Mountain Grove Senior Center,700 E State St,Mountain Grove,65711,Wright,417-926-5867,Mon-Fri - 8:00am to 3:30pm,"(37.131004, -92.254918)",386,90,546
Northside Youth and Senior Service Center,4120 Maffitt Avenue,Saint Louis,63113,Saint Louis City,314-531-4161,"- Mon-Thu - 8:30am to 4:30pm
- Fri - 9:00am to 3:00pm","(38.65945, -90.232631)",200,54,2223
St Charles City County Library District Middendorf Kredell Branch,2750 Highway K,O Fallon,63366,St Charles,636-978-7997,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.767854, -90.699915)",173,48,2177
St. Louis County Library Grants View Branch,9700 Musick Road,Saint Louis,63123,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.545438, -90.351527)",239,51,2210
Bunker Hill Police Department,801 South Franklin Street,Bunker Hill,62014,Macoupin,618-585-4422 x1,Mon-Fri - 8:00am to 6:00pm,"(39.034794, -89.949494)",,,1748
Fayette Senior Citizens Center,600 South Cleveland,Fayette,65248,Howard,660-248-3733,Mon-Fri - 8:00am to 4:00pm,"(39.138773, -92.688819)",137,39,1964
Greene County Health Department,310 5th Street,Carrollton,62016,Greene,217-942-6961,Mon-Fri - 8:00am to 4:00pm,"(39.301928, -90.407386)",,,1873
Annapolis Branch Library,204 North Allen Street,Annapolis,63620,Iron,573-598-3706,"Mon, Wed, and Fri 2:00pm to 6:00pm
Tue 2:00pm to 7:00pm
Sat 9:00am- 12:00pm (noon)","(37.360751, -90.698022)",363,82,524
Saint Clair County Library - Main Branch,115 Chestnut Street,Osceola,64776,St Clair,417-646-2214,"Mon - Thu 8:00am to 9:00pm
Fri 8:00am to 5:00pm
Sat 9:00am to 2:00pm","(38.047864, -93.704122)",304,69,539
KCMO Parks and Recreation - Garrison Community Center,1124 E 5th St,Kansas City,64106,Jackson,816-784-1140,M-F 12pm-9pm; Sa 8am-5pm,"(39.111332, -94.568549)",151,43,525
Centralia Public Library,210 South Jefferson Street,Centralia,65240,Boone,573-682-2036,"Mon, Tue, Thu - 9:00am to 8:00pm
- Wed, Fri, Sat - 9:00am to 5:00pm
- Sun - 1:00pm to 4:00pm","(39.208797, -92.133483)",126,40,2691
Mount Vernon Branch Library,206 West Water Street,Mount Vernon,65712,Lawrence,417-466-2921,"Mon - Thu 8:30am to 7:00pm
Fri and Sat 8:30am to 5:30pm","(37.103866, -93.820233)",408,97,528
Jordan Valley Ice Park,735 E. Trafficway,Springfield,65806,Greene,417-866-7444,"Hours vary, approximately 12-5 p.m. daily","(37.21039731, -93.28471724)",493,93,1960
Feed My People High Ridge,3295 Ottomeyer Road,High Ridge,63049,Jefferson,636-677-9885,Tue - Fri 10:00am to 4:00pm,"(38.448983, -90.539132)",256,62,1967
Higginsville Senior Center,21st and Walnut,Higginsville,64037,Lafayette,660-584-7040,Mon-Fr 7:30am to 2:30pm,"(39.07384, -93.718088)",149,42,2116
Macoupin County Public Health Department Gillespie,109 East Maple,Gillespie,62033,Macoupin,217-839-1526,Mon-Fri - 8:30am to 4:30pm,"(39.12926, -89.818638)",,,1748
Osage Beach Library,1064 Gutridge Lane,Osage Beach,65065,Camden,573-348-3282,"Mon, Wed, Thu, Fri - 10:00am to 6:00pm
Tue - 10:00am to 8:00pm
Sat - 9:00am to 5:00pm","(38.148923, -92.623535)",292,68,2694
Saline Valley Fire Protection District Station 2,2198 Saline Road,Fenton,63026,Jefferson,636-343-9199,Mon - Sun 7:00am to 7:00pm,"(38.476699, -90.465339)",256,62,1967
Ash Grove Branch Library,101 East Main,Ash Grove,65604,Greene,417-751-2933,Mon-Fri - 8:30am to 6:00pm,"(37.315115, -93.584718)",385,93,1960
Blue Eye Library Branch,138 State Highway EE,Blue Eye,65611,Stone,417-779-3500,"Mon, Wed, Fri 9:00am to 5:00pm; Tue - Thu 10:00am to 6:00pm; Sat 9:00am to 1:00pm","(36.505052, -93.393406)",553,105,2216
Mosaic Medical Center - Albany,705 North College Street,Albany,64402,Gentry,660-726-3941,Administration Hours: Mon-Fri - 8:00am to 5:00pm,"(40.252257, -94.32529)",27,10,521
Moniteau County Library,501 South Oaks,California,65018,Moniteau,573-796-2642,"Mon, Wed, Fri - 9:00am to 5:00pm
- Tue, Thu - 9:00am to 8:00pm 
- Sat - 9:00am to 12:00pm (noon)","(38.628606, -92.566671)",210,53,532
Ste. Genevieve County Health Department,115 Basler Dr,Sainte Genevieve,63670,Ste Genevieve,573-883-7411,Mon-Fri - 8:00am to 4:00pm,"(37.964074, -90.055111)",303,71,2209
Farmington Public Library,108 West Harrison Street,Farmington,63640,St Francois,573-756-5779,"Mon - Thurs 10:00am to 9:00pm
Fri - 10:00am to 6:00pm
Sat - 10:00am to 4:00pm","(37.779719, -90.422476)",324,74,540
Rock Community Fire Protection District House 2,1299 Main St,Imperial,63052,Jefferson,636-464-9779,Mon - Sun 7:00am to 7:00pm,"(38.369578, -90.389891)",265,62,1967
Glasgow Senior Center,603 2nd Street,Glasgow,65254,Howard,660-338-2975,Mon-Fri - 9:00am to 1:00pm,"(39.226462, -92.846233)",129,39,1964
Farber Branch Library,113 West Front Street,Farber,63345,Audrain,573-249-2012,"Mon, Tue - 1:30 pm to 5:00pm
- Wed 9:00am to 12:00pm (noon) and 1:30pm to 5:00pm
- Sat 9:00am to 12:00pm (noon)","(39.272977, -91.575111)",120,37,510
Bloomfield Public Library,200 Seneca Street,Bloomfield,63825,Stoddard,573-568-3626,"Mon, Tues, Wed, Fri 10:00am -5:00pm
Thurs 10:00am-6:00pm
Sat 9:00am to 12:00pm(noon)","(36.885391, -89.930071)",498,98,2215
Mississippi County Health Department,1200 East Marshall,Charleston,63834,Mississippi,573-683-2191,Mon-Fri - 8:00am to 4:30pm,"(36.92153, -89.334437)",415,99,2125
Ellington Library,130 South Main Street,Ellington,63638,Reynolds,573-663-7289,Mon-Fri - 8:30am to 12:00pm (noon) and 12:30pm to 5:00pm,"(37.241052, -90.969637)",380,87,2175
City of Liberty - Liberty Community Center,1600 S Withers Road,Liberty,64068,Clay,816-439-4360,"M-Th 5am-10pm, F 5am-9pm, Sa 8am-8pm, Su 9am-6pm","(39.224287, -94.439304)",3,36,2701
Bourbon Senior Center,575 E Elm St,Bourbon,65441,Crawford,573-732-4268,Mon-Fri - 8:00am to 4:00pm,"(38.154859, -91.244856)",293,67,1953
St Charles City County Library District Augusta Branch,198 Jackson Street,Augusta,63332,St Charles,636-228-4855,"- Mon, Tue, and Thu - 9:00am to 7:00pm
- Sat - 9:00am to 12:00pm(Noon)","(38.5743, -90.883883)",220,48,2177
Paris Senior Citizen Community Center,112 East Marion,Paris,65275,Monroe,660-327-5824,Mon-Fri - 7:30am to 3:00pm,"(39.483536, -91.999541)",101,30,2126
Bollinger County Health Department,107 Highway 51 North,Marble Hill,63764,Bollinger,573-238-2817,Mon-Fri - 8:00am to 4:30pm,"(37.29548, -89.977768)",370,85,2652
Dixon Senior Center,301 Old Y Road,Dixon,65459,Pulaski,573-759-6313,Mon-Fri - 7:00am to 2:00pm,"(37.999215, -92.086686)",306,75,2171
Ofallon Public Library,120 Civic Plaza,O Fallon,62269,St Clair,618-632-3783,"Mon-Thu - 9:00am to 8:00pm
Fri - 9:00am to 5:00pm
Sat - 9:00am to 4:00pm
Sun - 1:00pm to 5:00pm","(38.581822, -89.913341)",,,1797
Shell Knob Branch Library,24931 State Hwy 39,Shell Knob,65747,Barry,417-858-3618,"Tue - Fri 8:30am to 5:30pm
Sat 8:30am to 12:30pm","(36.624467, -93.621879)",526,107,2649
Malden Community Center,607 North Douglas Street,Malden,63863,Dunklin,573-276-6602,Mon - Fri 8:00am to 5:00pm,"(36.564445, -89.970902)",530,114,1957
St. Louis Public Library Divoll Branch,4234 N Grand Ave,Saint Louis,63107,St Louis City,314-534-0313,"Mon – 12:00pm(Noon) to 8:00pm
Tue-Thu – 10:00am to 6:00pm
Fri and Sat – 10:00am to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.667424, -90.211767)",200,54,2223
"West Plains Senior Citizens, Inc",416 East Main Street,West Plains,65775,Howell,417-256-4055,Mon-Fri - 8:00am to 3:30pm,"(36.727712, -91.848513)",508,104,1965
Oak Street Health-North City,3451 Union Blvd,Saint Louis,63115,St Louis City,314-934-2520,Mon-Fri - 8:00am to 5:00pm,"(38.67983421, -90.26067761)",200,54,2223
St. Louis County Library Samuel C Sachs Branch,16400 Burkhardt Pl,Chesterfield,63017,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.6536, -90.569066)",208,51,2210
Bolivar - Polk County Senior Center,1850 West Broadway,Bolivar,65613,Polk,417-326-5570,Mon-Fri - 8:00am to 3:30pm,"(37.610776, -93.426969)",335,80,537
Caseyville Township Office of General Assistance,10001 Bunkum Road,Fairview Heights,62208,St Clair,618-398-6248,Mon-Fri - 8:00am to 5:00pm,"(38.599846, -90.012024)",,,1797
Martinsburg Branch Library,201 East Washington Street,Martinsburg,65264,Audrain,573-492-6254,"Tue-Thu 1:00 to 5:00pm
- Fri-Sat 9:00 am to 12:00pm (noon)","(39.100649, -91.645742)",130,37,510
YMCA - North Kansas City,1999 Iron Street,Kansas City,64116,Clay,816-300-0531,M-Th 5am-9pm; F 5am-8pm; Sa 7am-6pm; Su 8am-5pm,"(39.142621, -94.570447)",133,36,2701
Neosho Newton County Library,201 West Spring Street,Neosho,64850,Newton,417-451-4231,"Mon - Thu 9:00am to 8:00pm
Fri and Sat 9:00am to 5:00pm","(36.869623, -94.369902)",487,103,2129
Rock Community Fire Protection District House 5,3749 Telegraph Rd,Arnold,63010,Jefferson,636-296-2211,Mon - Sun 7:00am to 7:00pm,"(38.4065, -90.374934)",255,62,1967
Carthage Senior Center,404 E 3rd,Carthage,64836,Jasper,417-358-4741,"7 am to 3 pm, Lunch served at 11:30 am.","(37.176569, -94.307703)",398,94,1966
New Madrid County Library,309 East Main Street,Portageville,63873,New Madrid,573-379-3583,Mon-Sat- 8:00am to 5:00pm,"(36.425222, -89.698851)",542,108,2128
Vienna Senior Center,210 Ballpark Road,Vienna,65582,Maries,573-422-3834,Mon-Fri - 8:00am to 3:00pm,"(38.1904, -91.952814)",282,65,531
KCMO Parks and Recreation - Westport Roanoke Community Center,3601 Roanoke Rd,Kansas City,64111,Jackson,816-784-5200,M-F 7:30am-9pm; Sa-Su 9am-6pm,"(39.060191, -94.60019)",151,43,525
Grand River Multipurpose Center,607 Bus Hwy 36,Chillicothe,64601,Livingston,660-646-2237,Mon-Fri - 8:30am to 4:30pm,"(39.77677, -93.550536)",63,22,2119
Ozark Community Library Branch,1005 N. 4th Avenue,Ozark,65721,Christian,417-581-2432,"Mon-Thurs - 9:00am to 7:00pm
Fri-Sat - 9:00am to 6:00pm","(37.02913, -93.202338)",421,101,515
Hillcrest Community Center,10401 Hillcrest Road,Kansas City,64134,Jackson,816-784-7000,"M-Th 7am-9pm, F 7am-6pm, Sa 9am-6pm, Su 12pm-6pm","(38.93628, -94.520222)",170,43,525
Pulaski County Health Department,101 12th Street,Crocker,65452,Pulaski,573-736-2217,"Mon - 7:00am to 5:00pm
Tues-Fri - 8:00am to 4:00pm","(37.946304, -92.264516)",486,75,2171
St. Louis Public Library Julia Davis Branch,4415 Natural Bridge Ave,Saint Louis,63115,St Louis City,314-383-3021,"Mon-Thu – 9:00am to 8:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.670168, -90.236984)",200,54,2223
Ozarks Regional YMCA - Ward Downtown YMCA,417 S. Jefferson Ave,Springfield,65806,Greene,417-862-7456,"Mon-Thu - 5:00am to 11:00pm
Fri - 5:00am to 8:00pm
Sat - 8:00am to 5:00pm
Sun - 12:00pm(noon) to 5:00pm","(37.206453, -93.290199)",493,93,1960
Webster Groves Municipal Library,301 East Lockwood Avenue,Saint Louis,63119,St Louis,314-961-3784,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 4:30pm
Sun - 2:00pm to 5:00pm","(38.592175, -90.35036)",228,51,2210
Campbell Branch Library,404 West Grand Avenue,Campbell,63933,Dunklin,573-246-2112,Mon - Fri 1:00pm to 5:00pm,"(36.492605, -90.076329)",531,114,1957
High Ridge Fire Department Station 1,2839 High Ridge Blvd,High Ridge,63052,Jefferson,636-677-3371,Mon - Fri 8:00am to 4:30pm,"(38.462126, -90.533459)",256,62,1967
Morgan County Library,600 North Hunter,Versailles,65084,Morgan,573-378-5319,"Mon - Closed
Tue - Fri 9:00am to 5:30pm
Sat 9:00am to 1:00pm","(38.438652, -92.843986)",245,57,2127
Salvation Army Alton,525 Alby Street,Alton,62002,Madison,618-465-7764,Mon-Fri - 9:00am to 12:00pm(Noon) and 1:00pm to 4:00pm,"(38.893045, -90.183765)",,,1749
Monett Branch Library,213 Sixth Street,Monett,65708,Barry,417-235-6646,"Mon - Thu 8:30am to 7:00pm
Fri and Sat 8:30am to 5:30pm","(36.922258, -93.920924)",429,107,2649
Wood River Public Library,326 East Ferguson Avenue,Wood River,62095,Madison,618-254-4832,"- Mon and Thu - 9:00am to 8:00pm
- Tue and Wed - 9:00am to 6:00pm
- Fri and Sat - 9:00am to 5:00pm
- Sun - 12:30pm to 4:00pm","(38.860784, -90.090795)",,,1749
KCMO Parks and Recreation - Kansas City North Community Center,3930 NE Antioch Rd,Kansas City,64117,Jackson,816-784-6100,M-F 6:30am-9pm; Sa 8am-5pm; Su 9am-6pm,"(39.166052, -94.549757)",133,36,2701
Andrew County Council On Aging,12737 State Route E,Savannah,64485,Andrew,816-324-4916,Mon-Fri - 7:00am to 3:30pm,"(39.94532, -94.806831)",54,17,2647
Livingston County Library,450 Locust Street,Chillicothe,64601,Livingston,660-646-0547,"Mon-Thu - 9:00am to 7:00pm
- Fri - 9:00am to 5:00pm 
- Sat - 9:00am to 4:00pm","(39.792322, -93.552707)",63,22,2119
Ripley County Health Center,1003 East Locust Street,Doniphan,63935,Ripley,573-996-2181,Mon-Thu - 7:00 am to 5:30 pm,"(36.618142, -90.813176)",507,110,2176
Tri-City Senior Council Of Holt County Nutrition Site 11a,208 S. 2nd St.,Maitland,64466,Holt,660-935-2241,Mon-Fri - 8:00am to 1:00pm,"(40.201455, -95.074)",30,14,1963
Knox County Library,120 South Main Street,Edina,63537,Knox,660-397-2460,"Mon-Fri - 8:00am to 5:00pm
Sat - 8:00am to 12:00pm (Noon)","(40.166927, -92.172887)",34,13,527
Salvation Army - Northland,5306 N Oak Tfwy,Kansas City,64118,Clay,816-452-5663,M-F 8:30am-12pm & 1pm-4pm,"(39.189039, -94.577556)",133,36,2701
Climax Springs Library,14157 North State Highway 7,Climax Springs,65324,Camden,573-347-2722,Tue-Thu - 9:00am to 5:00pm,"(38.096717, -93.048463)",286,68,2694
Sayers Senior Center,109 Lawrence Street,Potosi,63664,Washington,573-438-3237,Mon-Fri - 8:00am to 4:00pm,"(37.933632, -90.781094)",301,66,545
Reynolds County Health Center,2323 Green Street,Centerville,63633,Reynolds,573-648-2498,Mon-Thurs - 7:30am to 5:30pm,"(37.433609, -90.958899)",368,87,2175
Willard Branch Library,304 E. Jackson Street,Willard,65781,Greene,417-742-4258,Mon-Sat - 8:30am to 6:00pm,"(37.302424, -93.424684)",494,93,1960
Ozarks Family YMCA,One YMCA Drive,Mountain Grove,65711,Wright,417-926-6737,"Mon-Thu - 5:00am to 9:00pm
Fri - 5:00am to 8:00pm
Sat - 9:00am to 4:00pm","(37.135599, -92.257851)",386,90,546
"Kansas City, MO Public Library - Trails West Branch",11401 E 23rd Street,Independence,64052,Jackson,816-701-3483,"M-F 10am-7pm, Sa 10am-5pm
Some locations are experiencing closures or changes in hours during the COVID-19 pandemic. Check the locations page online for details.","(39.07977, -94.441981)",463,43,525
New Madrid County Health Department,406 US Highway 61,New Madrid,63869,New Madrid,573-748-5541,Mon-Fri - 8:00am to 4:30pm,"(36.586023, -89.547791)",448,108,2128
