"business_name","business_address","city","county","state","zipcode","primary_phone_number","additional_phone_numbers","website","permanent_housing","transitional_housing","emergency_shelter","persons_with_hiv_aids","serious_mental_illness","substance_use_disorder","developmental_disabilities","veterans_oth_discharge_or_higher","veteran_general_discharge_or_higher","gender_specific_program","family_unit","rental_assistance_subsidy","meets_hud_s_definition_of_homeless","sex_offender","prior_meth_sales_at_housing_program","felony_conviction","latitude_longitude"
"Catholic Charities of Kansas City-St. Joseph, Inc.","850 Main","Kansas City","Clay,Platte","MO","64105","816-232-2885",,"http://www.catholiccharities-kcsj.org/","No","Yes","No","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(39.103902, -94.583543)"
"Oxford House Holmes","2741 Holmes","Kansas City","Jackson","MO","64109","816-842-1634",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.076276, -94.575956)"
"Salvation Army","2140 North 4th Street","St. Charles","Lincoln,St. Charles,St. Louis (county),Warren","MO","63301","636-946-7966",,"http://www.salvationarmy.org","No","No","Yes","No","No","No","No","No","No","not gender specific","No","No","No","Yes","No","Yes","(38.800004, -90.47678)"
"The Kitchen Inc.","1630 N Jefferson","Springfield","Greene,Webster","MO","65802","417-837-1500",,"http://www.thekitcheninc.org/","Yes","No","No","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(37.2284871, -93.2885761)"
"Duquesne House","4896 East Wellridge Lane","Duquesne","Jasper","MO","64801","417-623-0724",,,"No","Yes","No","No","No","Yes","No","Yes","Yes","not gender specific","No","No","No","Yes","No","No","(37.071204, -94.440004)"
"Salvation Army Joplin","320 E 8th St","Joplin","Jasper","MO","64801","417-624-4528",,,"No","No","Yes","No","No","No","No","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(37.0820859, -94.5105988)"
"Healing House, INC","4420 Saint John Avenue","Kansas City","Jackson","MO","64123","816-216-7395",,,"No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","Yes","No","Yes","No","No","(39.113129, -94.529392)"
"Salvation Army Emergency","1130 S. Hampton Ave","St. Louis","St. Louis (county),St. Louis City (county)","MO","63139","314-646-3000",,"http://stlsalvationarmy.org/","No","Yes","Yes","No","No","Yes","Yes","No","No","not gender specific","Yes","Yes","No","Yes","No","No","(38.628307, -90.28625)"
"Victory Mission; Victory Square for Men","1610 North Broadway","Springfield","Greene","MO","65803","417-864-2235","417-831-6387","http://www.victorymission.com/programs/victory-square-for-men.html","No","No","Yes","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(37.2279865, -93.302199)"
"Lafayette House","1809 South Conner","Joplin","Barry,Barton,Dade,Jasper,Lawrence,McDonald,Newton","MO","64804","417-782-1772",,"http://lafayettehouse.org/services/","No","Yes","Yes","No","No","Yes","No","No","No","Female only","Yes","No","No","Yes","No","No","(37.0717182, -94.5226731)"
"New Beginning Sanctuary","p o box 14431","Springfield","Christian,Greene,Laclede,Taney,Webster","MO","65814","417-234-1647","General 417-234-1647
Men&#039;s housing alternate 573-891-0956
Women&#039;s housing alternate 417-233-1002
www.nbsanctuary.org","http://www.nbsanctuary.org/","No","Yes","No","No","No","Yes","No","Yes","Yes","not gender specific","No","No","No","Yes","No","No","(37.2089572, -93.2922989)"
"Oxford House Marlboro","1410 East 77th Terrace","Kansas City","Jackson","MO","64131","816-333-2267",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.98644, -94.570701)"
"Gateway Homeless Services inc.","1000 N 19th","St. Louis","St. Louis (county),St. Louis City (county)","MO","63106","314-231-1515",,"http://www.gateway180.org/homelessness/programs-and-services/","Yes","Yes","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","Yes","Yes","No","(38.6375733, -90.2046688)"
"Epworth Youth Emergency Services (YES) Shelter","6816 Washington Ave.","University City","St. Louis (county),St. Louis City (county)","MO","63130","314-727-6294",,"http://www.epworth.org/programs/youth-emergency-services/","No","Yes","Yes","No","No","No","No","No","No","not gender specific","No","No","No","Yes","Yes","Yes","(38.6549072, -90.310041)"
"Economic Security Corporation of the Southwest Area","302 S. Joplin Ave.","Joplin","Jasper,Newton","MO","64801","417-781-0352",,"http://www.escswa.org/","Yes","No","No","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","Yes","No","No","(37.0884309, -94.5147134)"
"Welcome Home Inc","1206 Rangeline St","Columbia","Boone","MO","65201","573-443-8001",,"http://www.welcomehomelessveterans.org/services/shelter/","No","Yes","Yes","No","No","No","No","No","Yes","not gender specific","Yes","Yes","Yes","Yes","Yes","No","(38.9635172, -92.32444)"
"Forest Avenue Family Shelter","4300 Forest","Kansas City","Cass,Clay,Jackson,Johnson,Lafayette,Platte,Ray","MO","64110","816-753-4753",,"http://forestavenuefamilyshelter.org/","No","No","No","No","No","No","No","No","No","Female only","Yes","No","No","Yes","No","No","(39.0486606, -94.5716493)"
"Mending Hearts Recovery","219 North Henderson","Cape Girardeau","Cape Girardeau","MO","63701","573-332-7900",,,"No","Yes","No","No","No","Yes","No","No","No","Female only","No","No","No","Yes","No","No","(37.308474, -89.5334945)"
"Sarita Lynne Ministries","2214 Benton Blvd","Kansas City","Jackson","MO","64127","816-561-0035",,"http://www.saritalynneministries.com/About-Us.html","No","Yes","Yes","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(39.084953, -94.550172)"
"Damascus Road Outreach DBA The Road","1005 W. Daugherty","Webb City","Jasper","MO","64870","417-529-1667",,"https://www.facebook.com/notes/the-road/the-roads-mens-recovery-house-discipleship-in-action/128476887314573","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(37.1476127, -94.4747073)"
"Missouri Department of Mental Health","1706 E. Elm St.","Jefferson City","Adair,Andrew,Audrain,Bates,Buchanan,Butler,Callaway,Camden,Carter,Cass,Christian,Clay,Cole,Cooper,DeKalb,Douglas,Dunklin,Franklin,Greene,Henry,Howell,Jackson,Jasper,Jefferson,Johnson,Laclede,Lafayette,Lewis,Marion,Miller,Mississippi,Monroe,New Madrid,Newton,Oregon,Ozark,Pemiscot,Pettis,Phelps,Pike,Platte,Pulaski,Ralls,Ray,Ripley,Saline,Scott,Shelby,St. Francois,St. Louis (county),St. Louis City (county),Stoddard,Stone,Taney,Texas,Vernon,Webster","MO","65101","573-751-9206",,"http://dmh.mo.gov/housing/housingunit/shelterpluscare.html","Yes","No","No","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(38.5544888, -92.1530262)"
"Benee Crews","3369 Sims Ave","Saint Ann","St. Louis City (county)","MO","63074","314-755-1144",,,"Yes","Yes","No","No","Yes","No","Yes","No","No","not gender specific","No","Yes","Yes","No","No","No","(38.7180728, -90.3754791)"
"Harvest House ","1224 Rural Street","Booneville","Cooper","MO","65233","660-537-4278",,"http://www.harvesthouseshelter.org/","No","Yes","Yes","No","No","Yes","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(38.9799077, -92.7336374)"
"Men&#039;s Discipleship Ministry","322 West Seventh Street","Sedalia","Pettis","MO","65301","660-619-0039",,,"No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.7054051, -93.231391)"
"Oxford House Lynncove","1751 Lynncove Lane","St. Charles","St. Charles","MO","63303","636-493-1345",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.776973, -90.525814)"
"Thomas House","1007 Marilyn Court","Washington","Warren","MO","63093","636-390-2199",,,"No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.5403548, -91.0019126)"
"Salvation Army","1 William Booth Drive","O&#039;Fallon","St. Charles","MO","63366","636-240-4996",,"http://www.salvationarmyusa.org/usn/plugins/gdosCenterSearch?query=63304&amp;mode=query_1&amp;limit=20","No","Yes","Yes","No","No","Yes","Yes","No","No","not gender specific","Yes","No","No","Yes","No","No","(38.799698, -90.6897884)"
"Hillcrest Hope","PO Box 17","Liberty","Clay,Jackson","MO","64069","816-781-8988",,"http://hillcresthope.org/","No","Yes","Yes","No","No","No","Yes","No","No","not gender specific","Yes","Yes","Yes","Yes","No","No","(39.25, -94.42)"
"Catholic Charities of Kansas City-St. Joseph, Inc.","850 Main","Kansas City","Clay,Lafayette,Platte,Ray","MO","64105","816-232-2885",,"http://www.catholiccharities-kcsj.org/","Yes","No","No","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(39.103902, -94.583543)"
"Oxford House Chouteau","4401 Walrond Avenue","Kansas City","Jackson","MO","64117","816-800-4085",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.1738659, -94.541029)"
"St. Philippine Home","1015 Goodfellow Boulevard","St. Louis","St. Louis (county),St. Louis City (county)","MO","63112","314-454-1012",,"http://www.qopcstl.org/services-programs/housing/","No","Yes","No","No","No","Yes","No","No","No","Female only","Yes","No","Yes","Yes","Yes","No","(38.6616171, -90.285614)"
"Oxford House Osage","2715 Osage Street","St. Louis","St. Louis (county),St. Louis City (county)","MO","63118","314-932-5871",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Female only","Yes","No","No","Yes","No","No","(38.5831749, -90.2305106)"
"DAEOC","99 Skyview Rd","Portageville","Dunklin,Mississippi,New Madrid,Pemiscot,Scott,Stoddard","MO","63873","573-379-3851","573-471-6014 Housing Office/Homeless Shelter 
","http://www.daeoc.com","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(36.4221206, -89.6852507)"
"One Door","300 E. Central","Springfield","Greene,Webster","MO","65802","417-225-7499",,"http://www.commpartnership.org/what-we-do/by-division/housing/one-door/","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","not gender specific","Yes","No","No","No","No","No","(37.2171127, -93.2907043)"
"Oxford House Hubbell","1700 Country Side Lane","Columbia","Boone","MO","65202","573-219-9597",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Female only","Yes","No","No","Yes","Yes","No","(38.969374, -92.2999059)"
"Hope Faith Ministries: Men&#039;s Shelter","1108 East 10th","Kansas City","Cass,Clay,Jackson,Johnson,Lafayette,Platte,Ray","MO","64106","816-474-4599",,"http://www.hopefaithministries.org/","No","Yes","Yes","No","No","No","No","No","No","Male only","No","No","No","No","No","No","(39.1020955, -94.5693949)"
"Benilde Hall","3320 East 23rd Street","Kansas City","Jackson","MO","64127","816-842-5836",,,"No","Yes","No","No","Yes","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(39.084598, -94.54376)"
"The Salvation Army","1 William Booth Drive","O&#039;Fallon","St. Charles,St. Louis (county)","MO","63366","636-946-7966",,"http://www.salvationarmy.org","No","No","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","No","No","No","(38.799698, -90.6897884)"
"Oxford House Monitor","3633 Meramec","St. Louis","St. Louis (county),St. Louis City (county)","MO","63116","314-752-1213",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Female only","Yes","No","No","Yes","No","No","(38.58169, -90.2452349)"
"House of Hope, Inc.","6630 Troost Ave.","Kansas City","Jackson","MO","64110","816-214-0888",,"http://www.houseofhopekc.net/","No","Yes","No","No","No","Yes","No","No","No","Female only","No","No","No","Yes","No","No","(39.0072169, -94.574891)"
"Oxford House Catalina","1674 South Catalina","Springfield","Greene","MO","65804","417-887-7783",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(37.181657, -93.230614)"
"Building Hope Recovery","81 Spring Street","Reeds Springs","Stone","MO","65737","417-327-3411",,,"No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(36.7131773, -93.3590446)"
"Freedom Dream Center","17044 Hwy 39","Aurora","Lawrence","MO","65605","417-678-6909",,"http://freedomchristianministries.org/","No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","No","No","No","No","No","(36.7731926, -93.6769415)"
"Our House","829 Jefferson","Fulton","Callaway","MO","65251","573-642-6065",,"https://ourhousecallaway.org/","No","No","Yes","No","No","No","No","No","No","not gender specific","Yes","No","Yes","Yes","No","No","(38.8535548, -91.9497264)"
"City Union Mission - Men&#039;s Center","1108 East 10th Street","Kansas City","Jackson","MO","64106","816-474-9380",,,"No","No","Yes","No","No","Yes","No","No","No","Male only","No","No","No","No","No","No","(39.102172, -94.569381)"
"Community Missions--My Brother&#039;s House Cold Weather Shelter","610 Olive","St. Joseph","Buchanan","MO","64501","816-390-8884",,"http://communitymissionscorp.org/index.htm","No","No","Yes","No","Yes","Yes","Yes","No","No","Male only","No","No","No","Yes","No","No","(39.7589844, -94.8527126)"
"Oxford House Blue Ridge","7914 East 105th Street","Kansas City","Jackson","MO","64134","816-216-7539",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.934397, -94.496741)"
"St. Patrick Center","800 N Tucker Blvd","St. Louis","St. Louis (county),St. Louis City (county)","MO","63101","314-802-0700",,"http://www.stpatrickcenter.org/programs/","Yes","Yes","Yes","No","No","Yes","Yes","No","No","not gender specific","Yes","No","No","Yes","No","No","(38.6333972, -90.195599)"
"Hope Royale","105 S. 15th Street","Bethany","Gentry,Harrison,Worth","MO","64424","660-425-7703",,"http://hope-royale.foliotek.me/home","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(40.2686663, -94.0355844)"
"HeartLand Recovery Programs","12599 255th Street","La Belle","Lewis","MO","63447","660-213-4553",,"http://hlandrecovery.org/","No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(40.0280949, -91.9024391)"
"Oxford House Blue Hills","1832 East 49th Street","Kansas City","Jackson","MO","64130","816-921-1012",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.0379239, -94.562159)"
"Oxford House St. Charles","532 Madison Street","St. Charles","St. Charles","MO","63301","636-493-6387",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.7824419, -90.487625)"
"Families in Recovery","12803 Lawrence 2133","Mount Vernon","Lawrence","MO","65712","417-737-1148",,,"No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(37.0846342, -93.8297913)"
"The Healing House New Beginning","1418 West Main Street","Jefferson City","Cole","MO","65109","417-559-7068",,,"No","Yes","No","No","No","Yes","No","No","No","Female only","No","No","No","Yes","No","No","(38.58987, -92.1919489)"
"Sts. Joachim &amp; Ann Care Service","4116 McClay","St. Charles","St. Charles","MO","63304","636-441-1302",,"http://jacares.org/","Yes","Yes","Yes","No","No","Yes","No","No","No","not gender specific","Yes","Yes","Yes","Yes","No","No","(38.7546386, -90.6002283)"
"Salvation Army Center of Hope","927 Jefferson Street","Jefferson City","Cole","MO","65101","573-635-1975",,"http://www.usc.salvationarmy.org/usc/www_usc_columbia.nsf/vw-sublinks/3776B4E0845E99B9862575C400581F71?openDocument","No","Yes","Yes","No","No","Yes","Yes","No","No","not gender specific","Yes","No","No","Yes","No","No","(38.569648, -92.179841)"
"Hillcrest Transitional Housing","PO BOX 901924","Kansas City","Buchanan,Clay,Jackson,Platte","MO","64190","816-694-7849",,,"No","Yes","No","No","No","No","Yes","No","No","not gender specific","Yes","No","No","Yes","Yes","No","(39.3035567, -94.7195096)"
"Economic Security Corporation of the Southwest Area","302 S. Joplin Ave.","Joplin","Jasper,Newton","MO","64801","417-781-0352",,"http://www.escswa.org/","No","Yes","No","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","Yes","No","No","(37.0884309, -94.5147134)"
"Oxford House Humphrey II","3542 Humphrey","St. Louis","St. Louis (county),St. Louis City (county)","MO","63118","314-762-9976",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.597917, -90.24254)"
"Recovery Chapel","217 W Bennett St","Springfield","Greene","MO","65807","417-887-7228","417-865-1997","http://www.recoverychapel.org/","No","Yes","No","No","No","Yes","Yes","No","No","Male only","No","No","No","No","No","No",
"New Life Evangelistic Center Homeless Shelter","PO Box 173","Mineral Point","Crawford,Franklin,Iron,Jefferson,St. Francois,Ste. Genevieve,Washington","MO","63660","573-438-4403",,"http://www.newlifeevangelisticcenter.org/shelters/","No","Yes","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(37.9447722, -90.7242964)"
"Humanitri","1447 East Grand Ave.","St. Louis","St. Louis (county),St. Louis City (county)","MO","63107","314-772-7720",,"http://humanitri.org/","No","Yes","No","No","No","Yes","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(38.6717509, -90.2066524)"
"Christian Associates of Table Rock Lake; Domestic Violence Shelter","13192 State Highway 13","Kimberling City","Stone","MO","65686","417-739-3200",,"http://catrl.org/","No","Yes","Yes","No","No","No","No","No","No","Female only","Yes","No","No","Yes","No","No","(36.6464162, -93.4166129)"
"Liberty House Ministries","PO Box 630","Perryville","Bollinger,Cape Girardeau,Perry","MO","63775","573-846-6447","573-768-5090","http://www.libertyhouseministries.co/","No","Yes","No","No","No","Yes","No","No","No","Female only","No","No","No","Yes","No","No","(37.7242202, -89.8612196)"
"Places for People, Inc.","4130 Lindell Blvd.","St. Louis","St. Louis (county),St. Louis City (county)","MO","63108","314-535-5600",,"http://www.placesforpeople.org","Yes","No","No","Yes","Yes","Yes","No","No","No","not gender specific","Yes","No","No","No","No","No","(38.639539, -90.2470428)"
"Oxford House Ashby Road","4004 Ashby Road","Saint Ann","St. Louis (county)","MO","63074","314-395-8511",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.732819, -90.38459)"
"KCVA - Emergency Housing for Veterans","4801 Linwood Boulevard","Kansas City","Jackson","MO","64128","816-861-4700",,,"No","Yes","Yes","No","No","No","No","No","Yes","not gender specific","No","No","No","Yes","No","No","(39.0641506, -94.5265649)"
"Catholic Charities of Kansas City-St. Joseph, Inc.","850 Main","Kansas City","Nodaway","MO","64105","816-232-2885",,"http://www.catholiccharities-kcsj.org/","Yes","No","No","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(39.103902, -94.583543)"
"Oxford House St. Joseph","507 South 10th Street","St. Joseph","Buchanan","MO","64501","816-232-8988",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.7630712, -94.8478242)"
"Oxford House Sondra","921 Sondra Street","Columbia","Boone","MO","65202","573-875-5721",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.970389, -92.352071)"
"Mission Gate","PO Box 6644","Chesterfield","Crawford,Dent,Franklin,Gasconade,Iron,Phelps,Washington","MO","63006","636-391-8832",,"http://www.missiongateministry.org","No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(38.6599999, -90.58)"
"Oxford House Michigan","7127 Michigan Avenue","St. Louis","St. Louis (county),St. Louis City (county)","MO","63111","314-351-2712",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.5524806, -90.2576102)"
"Teen Challenge of St. Louis","PO Box 213","High Ridge","St. Louis (county),St. Louis City (county)","MO","63049","314-677-1776",,"http://teenchallengestl.com/","No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(38.4589432, -90.5365126)"
"Total Recovery Substance Abuse Program","P O Box 332","Boonville","Cooper","MO","65233","314-329-8586",,"https://www.tresap.org","No","Yes","No","No","No","Yes","No","Yes","Yes","Female only","No","No","No","No","No","No",
"Amethyst Place","2735A Troost","Kansas City","Jackson","MO","64109","816-231-8782",,"http://www.amethystplace.org/","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Female only","Yes","Yes","Yes","Yes","No","No","(39.0764141, -94.5710176)"
"Young Women&#039;s Christian Association (YWCA)","304 N. 8th St.","St. Joseph","Buchanan","MO","64501","816-232-4481","816-232-1225 or 1-800-653-1477","http://ywcasj.org/","No","No","Yes","No","Yes","Yes","Yes","No","No","Female only","Yes","No","No","No","No","No","(39.7685032, -94.8510411)"
"Salvation Army Booth Center Shelter","618 South 6th Street","St. Joseph","Buchanan","MO","64501","816-279-2101",,,"No","No","Yes","No","No","Yes","No","Yes","Yes","not gender specific","Yes","No","Yes","Yes","No","No","(39.7620602, -94.8531962)"
"True North of Columbia","1316 Parkade Blv.","Columbia","Boone","MO","65202","573-875-1370",,"http://truenorthofcolumbia.org/services/","No","Yes","Yes","No","No","No","No","No","No","not gender specific","Yes","Yes","No","Yes","No","No","(38.9733255, -92.3453352)"
"Counselors Obediently Preventing Substance Abuse dba C.O.P.S.","3800 Agness","Kansas City","Jackson","MO","64128","816-923-9212",,"http://www.copskc.com/Home_Page.html","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.056886, -94.549178)"
"Oxford House Calico","2504 Calico Lane","Columbia","Boone","MO","65202","573-474-0035",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.976163, -92.29619)"
"Oxford House Shenandoah","720 Shenandoah","St. Louis","St. Louis (county),St. Louis City (county)","MO","63104","314-776-4883",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.604202, -90.20568)"
"SEMO Christian Restoration Center","HC 4 Box 4555","Wappepello","Butler,Wayne","MO","63966","573-686-2515",,,"No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(36.9430061, -90.2901815)"
"Hope Faith Ministries: Family Shelter","1310 Wabash","Kansas City","Cass,Clay,Jackson,Johnson,Lafayette,Platte,Ray","MO","64127","816-474-4599",,"http://www.hopefaithministries.org/","No","Yes","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(39.0968827, -94.5529918)"
"Covenant House Missouri Youth Shelter","2727 North Kingshighway Boulevard","St. Louis","St. Louis (county),St. Louis City (county)","MO","63113","314-533-2241",,"http://covenanthousemo.org/","No","Yes","Yes","No","No","No","Yes","No","Yes","not gender specific","No","No","No","Yes","Yes","No","(38.6697815, -90.2571287)"
"Beacon House","1207 Main Street","Independence","Jackson","MO","64053","816-254-7089",,,"No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(39.078821, -94.41511)"
"Green Hills Women&#039;s Shelter Cameron Location","PO Box 107","Cameron","Caldwell,Clinton,Daviess,DeKalb,Grundy,Harrison,Linn,Livingston,Mercer,Putnam,Sullivan","MO","64429","800-942-0649","816-632-4900
660-359-3297","http://greenhillswomensshelter.net/blog/about-our-shelter/welcome-to-our-website/","No","Yes","Yes","No","No","Yes","Yes","No","No","Female only","Yes","Yes","No","Yes","No","No","(39.7402801, -94.241057)"
"The Salvation Army ","14700 East Truman Blvd","Independence","Jackson","MO","64050","816-252-3200",,"http://salarmymokan.org/locations/independence-mo/","No","Yes","Yes","No","No","Yes","Yes","No","No","not gender specific","Yes","No","No","Yes","No","No","(39.0944872, -94.4052343)"
"U.S.VETS-St. Louis","8410 Engler Park Ct","St. Louis","St. Louis (county)","MO","63114","314-754-3737",,"http://www.usvetsinc.org/st-louis/","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","not gender specific","Yes","Yes","Yes","Yes","No","Yes","(38.720732, -90.3344735)"
"AGAPE House of Franklin County","1095 N Service Rd W","St. Clair","Franklin","MO","63077","636-629-9899",,,"No","No","Yes","No","No","No","Yes","No","No","not gender specific","Yes","No","No","Yes","No","No","(38.3583701, -90.9826484)"
"Peter and Paul Community Service Inc.; Labre Center","1919 S 7th St","St. Louis","St. Louis (county),St. Louis City (county)","MO","63104","314-588-7111","314-664-3927","http://www.ppcsinc.org/emergency_shelter_s/1821.htm","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Male only","No","No","No","No","No","No","(38.6072708, -90.2032806)"
