"department","employee_title","minimum_salary","maximum_salary"
"Providence/Cranston Workforce ","WFS Instructor & Career Coach ","57119.60","57119.60"
"Public Property Administration","Admin Asst-Pub Property       ","64884.09","64884.09"
"Public Property Administration","Clerk IV                      ","33463.43","33463.43"
"Public Property Administration","Coordinator/Public Property   ","65174.38","65174.38"
"Public Property Administration","Dir.Sustainab/Acting DirPolicy","92700.24","92700.24"
"Public Property Administration","Director Of Purchasing        ","106707.32","106707.32"
"Public Property Administration","Electrician Public Property   ","87847.55","87847.55"
"Public Property Administration","Energy Manager                ","63653.82","66224.91"
"Public Property Administration","Fleet Manager                 ","80691.15","80691.15"
"Public Property Administration","Foreman                       ","51680.30","51680.30"
"Public Property Administration","Laborer                       ","37230.54","37230.54"
"Public Property Administration","Laborer/Custodian             ","37228.67","37228.87"
"Public Property Administration","Mail Room Clerk               ","41355.39","41355.39"
"Public Property Administration","Maint. Man III (Pools & Rec.) ","54433.39","54433.39"
"Public Property Administration","Purchasing Agent II           ","47015.87","47017.88"
"Public Property Administration","Purchasing Agent III          ","57188.58","57188.58"
"Public Property Administration","Stationary Equip Operator     ","38359.15","38359.15"
"Public Property Administration","Supv.Purchasing/MBE/WBE Coord.","72880.80","72880.80"
"Recorder of Deeds             ","Land Records Clerk            ","38518.29","38518.29"
"Recorder of Deeds             ","Limited Clerk II              ","29352.05","29352.05"
"Recorder of Deeds             ","Sr Land Records Clerk         ","43940.44","43940.44"
"Retirement                    ","Clerk IV                      ","33964.29","33964.29"
"Retirement                    ","Pension Administrator         ","72281.11","72281.11"
"Retirement                    ","Sr Ret Div Clerk              ","57336.73","57336.73"
"Roger Williams Park Services  ","Benefits HR Asst./Specialist  ","48829.50","48829.50"
"Roger Williams Park Services  ","Clerk IV                      ","35583.73","35583.73"
"Roger Williams Park Services  ","Director of RW Park Services  ","83660.72","83660.72"
"Roger Williams Park Services  ","Dir-Museum Of Natural History ","60595.99","60595.99"
"Roger Williams Park Services  ","Equip Operator                ","40725.56","40748.44"
"Roger Williams Park Services  ","Foreman                       ","51680.30","51680.30"
"Roger Williams Park Services  ","Heavy Equip Operator          ","48797.42","48797.63"
"Roger Williams Park Services  ","Laborer                       ","37230.33","37230.54"
"Roger Williams Park Services  ","Mgr. of Events Facilities     ","65938.78","65938.78"
"Roger Williams Park Services  ","Museum Educator               ","47868.00","47868.00"
"Roger Williams Park Services  ","Museum Specialist             ","28444.23","28444.23"
"Superintendent                ","City Forester                 ","79670.31","79670.31"
"Superintendent                ","Clerk Steno III Parks         ","38513.74","38513.74"
"Superintendent                ","Dept Switchboard Operator     ","35338.57","35338.57"
"Superintendent                ","Fiscal Adviser                ","70175.74","70175.74"
"Superintendent                ","Pay/Pers Asst Parks           ","47557.14","47557.14"
"Superintendent                ","Senior Secretary              ","39983.03","39983.03"
"Superintendent                ","Superintendent of the Parks   ","112102.9","112102.9"
"Superintendent                ","Supv. of Specifications       ","65561.86","65561.86"
"Superintendent                ","Supv-Proj Plan                ","56141.69","56141.69"
"Traffic Engineering           ","Limited Clerk II              ","29596.84","29596.84"
"Traffic Engineering           ","Traffic Sign Maint Man        ","42765.21","42770.83"
"Traffic Engineering           ","Traffic Signal Electrician    ","62102.76","62102.76"
"Traffic Engineering           ","Traffic Signal Maint Foreman  ","70325.21","70325.21"
"Traffic Engineering           ","Traffic Systems Analyst       ","45640.68","45640.68"
"Treasury                      ","Admin Asst                    ","54385.05","54385.05"
"Treasury                      ","Chief Clerk - Treasury        ","47901.85","47901.85"
"Treasury                      ","City Treasurer                ","60015.04","60015.04"
"Treasury                      ","Clerk IV                      ","35583.73","35583.73"
"Treasury                      ","Senior Auditor/Analyst        ","79670.5","79670.5"
"Vital Statistics              ","Chief Clerk VItal Statistics  ","51406.81","51406.81"
"Vital Statistics              ","Clerk Bilingual /Vital Records","34213.63","34213.63"
"Vital Statistics              ","Sr.Vital Statistic Clerk II   ","41512.74","42229.46"
"WSB Chief Engineer            ","Admin Asst WSB                ","63633.02","63633.02"
"WSB Chief Engineer            ","Confidential Assistant        ","59983.37","59983.37"
"WSB Chief Engineer            ","Dep Gen Mgr Of Operations     ","121933.44","121933.44"
"WSB Chief Engineer            ","Deputy Gen Mgr Admin          ","100315.48","100315.48"
"WSB Chief Engineer            ","General Manager, WSB          ","155000.29","155000.29"
"WSB Chief Engineer            ","LTD Mgr.Planning & Development","80611.62","80611.62"
"WSB Chief Engineer            ","Senior Manager Personnel      ","90730.09","90730.09"
"WSB Chief Engineer            ","Sr Administrative Clerk       ","41508.74","43078.85"
"WSB Commercial Services       ","Account Collector             ","51401.71","51401.71"
"WSB Commercial Services       ","Admin Asst WSB                ","63636.84","63636.84"
"WSB Commercial Services       ","Clerical Coordinator          ","44832.97","44832.97"
"WSB Commercial Services       ","Limited Supv. of Accounting   ","64294.95","64294.95"
"WSB Commercial Services       ","LTD Bi-Lingual WSB Clerk      ","34210.54","34210.54"
"WSB Commercial Services       ","LTD WSB Clerk                 ","33460.69","33460.69"
"WSB Commercial Services       ","Meter Mgr - Commercial Service","70258.18","70258.18"
"WSB Commercial Services       ","Meter Reader Tech             ","42815.96","42817.00"
"WSB Commercial Services       ","Meter Shop Technician         ","45009.12","45009.12"
"WSB Commercial Services       ","Plumber WSB                   ","87847.76","87847.76"
"WSB Commercial Services       ","Sr Admin Asst                 ","65545.48","65545.48"
"WSB Commercial Services       ","Sr Administrative Clerk       ","39981.39","43079.94"
"WSB Commercial Services       ","Sr Meter Reader Tech          ","45289.08","45289.71"
"WSB Commercial Services       ","Sr. Manager,WSB               ","87306.67","87306.67"
"WSB Commercial Services       ","Sr.Supv.Commerical Services   ","61784.08","61784.08"
"WSB Commercial Services       ","Supv. Commercial Services     ","52280.77","52280.77"
"WSB Finance                   ","Clerical Coordinator          ","45985.75","45985.75"
"WSB Finance                   ","Communication Coordinator     ","58842.42","58842.42"
"WSB Finance                   ","Controller Water Supply Board ","75985.36","75985.36"
"WSB Finance                   ","Limited Sr. Admin. Asst.      ","56620.38","56620.38"
"WSB Finance                   ","Ltd Sr. Admin. Clk.           ","39981.39","39981.39"
"WSB Finance                   ","Sr Administrative Clerk       ","40504.46","43080.31"
"WSB Finance                   ","Sr. Director-Administration   ","114933.18","114933.18"
"WSB Finance                   ","Sr. Mgr. of Budget & Regularto","80613.62","80613.62"
"WSB Finance                   ","Staff Acct                    ","49310.71","49310.71"
"WSB Finance                   ","Supervisor Of Acct - WSB      ","64296.95","67511.80"
"WSB Planning & Engineering    ","Aide To Chief Engineer        ","48772.54","48772.54"
"WSB Planning & Engineering    ","Eng Proj Coordinator (Wsb)    ","50827.86","61783.90"
"WSB Planning & Engineering    ","Engineer WSB                  ","60692.08","73771.51"
"WSB Planning & Engineering    ","Engineering Sys.Analyst       ","67513.08","67513.08"
"WSB Planning & Engineering    ","Flushing Technician           ","47862.67","47863.29"
"WSB Planning & Engineering    ","GIS Specialist/ WSB           ","62088.39","62088.39"
"WSB Planning & Engineering    ","Manager Eng. Customer Service ","73771.69","73771.69"
"WSB Planning & Engineering    ","Manager of Records            ","68921.39","68921.39"
"WSB Planning & Engineering    ","Mgr Capital Program           ","80610.16","80610.16"
"WSB Planning & Engineering    ","Mgr Of Constr Ser             ","73118.86","73118.86"
"WSB Planning & Engineering    ","Network Hardware Mgr          ","70260.37","70260.37"
"WSB Planning & Engineering    ","Prin.Engineer WSB             ","78264.55","78264.55"
"WSB Planning & Engineering    ","Real Estate Specialist        ","67510.71","67510.71"
"WSB Planning & Engineering    ","Senior Draftsman              ","48439.66","50188.68"
"WSB Planning & Engineering    ","Sr Admin Asst                 ","63727.3","63727.3"
"WSB Planning & Engineering    ","Sr Administrative Clerk       ","40654.43","43078.85"
"WSB Planning & Engineering    ","Sr. Manager,WSB               ","96255.06","96255.06"
"WSB Support Services          ","Aide To Chief Engineer        ","48753.61","48753.61"
"WSB Support Services          ","Bi-lingual WSB Clerk          ","35579.90","35579.90"
"WSB Support Services          ","Division Manager              ","85521.07","85521.07"
"WSB Support Services          ","LTD Mgr. of Safety & Risk     ","71622.82","71622.82"
"WSB Support Services          ","Manager of Safety & Risk      ","71622.64","71622.64"
"WSB Support Services          ","Manager of Security           ","71623.00","71623.00"
"WSB Support Services          ","Purchasing Agent II           ","49309.80","49309.80"
"WSB Support Services          ","Senior Equip Mech             ","49195.32","49196.36"
"WSB Support Services          ","Sr Admin Asst                 ","65546.20","65546.93"
"WSB Support Services          ","Sr Administrative Clerk       ","40654.43","43078.85"
"WSB Support Services          ","Supv Of Facilities & Equip    ","58318.98","67511.80"
"WSB Support Services          ","Utility Maint Worker          ","37229.91","37230.54"
"WSB Support Services          ","Utility Maintenance Repairman ","44992.89","44994.76"
"WSB T & D                     ","Admin Asst WSB                ","60605.81","60605.81"
"WSB T & D                     ","Clerical Coordinator          ","45985.75","45985.75"
"WSB T & D                     ","Dig Safe Worker               ","47167.74","47167.95"
"WSB T & D                     ","Eng Proj Coordinator (Wsb)    ","56039.62","56039.62"
"WSB T & D                     ","Heavy Equip Operator          ","48797.21","48797.63"
"WSB T & D                     ","Manager-Distribution(WSB)     ","75986.76","75986.76"
"WSB T & D                     ","Mgr Of Distribution           ","80611.85","80612.53"
"WSB T & D                     ","Schedule/Dispatcher WSB       ","50046.46","50046.46"
"WSB T & D                     ","Sr Administrative Clerk       ","43079.94","43079.94"
"WSB T & D                     ","Sr. Manager,WSB               ","96255.06","96255.06"
"WSB T & D                     ","Supv - Water Maint Crew       ","66225.11","69538.55"
"WSB T & D                     ","Utility Laborer               ","37230.54","37230.54"
"WSB T & D                     ","Utility Worker                ","43449.12","43449.95"
"WSB T & D                     ","Water System Mechanic         ","50504.89","50506.55"
"WSB Water Supply              ","Electrical Tech               ","69895.90","69895.90"
"WSB Water Supply              ","Environ Resource Mgr.         ","80590.87","80590.87"
"WSB Water Supply              ","Forest Supervisor             ","63636.48","63636.48"
"WSB Water Supply              ","Instrumentation Tech.         ","52115.02","52115.02"
"WSB Water Supply              ","Jr Chemist II                 ","51404.26","51404.26"
"WSB Water Supply              ","Junior Chemist I Wsb          ","44994.04","44994.04"
"WSB Water Supply              ","Lab Supv. Chem                ","69536.01","69536.01"
"WSB Water Supply              ","Limited-Admin. Asst. WSB      ","50829.87","50829.87"
"WSB Water Supply              ","Mgr Plant Oper                ","80611.62","80611.62"
"WSB Water Supply              ","Mgr Water Lab                 ","80610.16","80610.16"
"WSB Water Supply              ","Sanitarian                    ","46504.63","47560.96"
"WSB Water Supply              ","Senior Equip Mech             ","49195.32","49195.32"
"WSB Water Supply              ","Sr Admin Asst                 ","65546.93","65546.93"
"WSB Water Supply              ","Sr Administrative Clerk       ","43078.85","43078.85"
"WSB Water Supply              ","Sr Waterplant Mech            ","52112.52","52114.81"
"WSB Water Supply              ","Sr. Manager,WSB               ","87307.58","87307.58"
"WSB Water Supply              ","Sr. Watershed Maint. Operator ","46103.61","46104.44"
"WSB Water Supply              ","Supv-Water Plant              ","61236.63","67510.71"
"WSB Water Supply              ","Water Plant Mech.             ","46794.38","46794.8"
"WSB Water Supply              ","Water Supply Bd Clerk         ","36453.50","36453.50"
"WSB Water Supply              ","Water Treatment Op. Class III ","49934.76","49936.43"
"WSB Water Supply              ","Water Treatment Oper.Class I  ","41804.67","41804.67"
"WSB Water Supply              ","Watershed Grnd General Foreman","53499.05","53499.05"
"WSB Water Supply              ","Watershed Inspector           ","40105.72","40107.18"
"WSB Water Supply              ","Watershed Maint. Operator     ","38772.44","38773.07"
"WSB Water Supply              ","WTO in Training III           ","48825.29","48825.29"
"Zoological Services           ","Associate Veterinary Tech.    ","42912.27","42912.27"
"Zoological Services           ","Lead Zookeeper                ","46223.63","46224.46"
"Zoological Services           ","Limited Zookeeper             ","42848","42848"
"Zoological Services           ","Veterinary Technician         ","46228.83","46228.83"
"Zoological Services           ","Zoo Keeper                    ","42910.40","42910.40"
