"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2015","DEBT SERVICE PRINCIPAL","COMMUNITY DEVELOPMENT & PUBLIC WORKS","STORM DRAINAGE","DEBT SERVICE PRINCIPAL","423302","423302","STORM DRAINAGE","NON-TAX SUPPORTED FUNDS","DEBT SERVICE PRINCIPAL","OPERATING EXPENSES"
"2015","OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","STORM DRAINAGE","OTHER SERVICES & CHARGES","26840","26840","STORM DRAINAGE","NON-TAX SUPPORTED FUNDS","UTILITIES","OPERATING EXPENSES"
"2015","ADMINISTRATION","ADMINISTRATION","ECONOMIC ENVIRONMENT","OTHER SERVICES & CHARGES","10000","10000","GENERAL","TAX SUPPORTED FUNDS","TRAVEL","OPERATING EXPENSES"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","SUPPLIES","16550","16550","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2015","ADMINISTRATION","PARKS","CEMETERY","OTHER SERVICES & CHARGES","27400","27400","CEMETERY","NON-TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","AUBURN GOLF COURSE OPERATIONS","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","11700","11700","GENERAL","TAX SUPPORTED FUNDS","COMMUNICATION","OPERATING EXPENSES"
"2015","SPECIAL EVENTS","PARKS","CULTURE AND RECREATION","INTERFUND PAYMENTS FOR SERVICES","12030","12030","GENERAL","TAX SUPPORTED FUNDS","INTERFUND IS SERVICES","OPERATING EXPENSES"
"2015","OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","SEWER","OTHER SERVICES & CHARGES","3000","3000","SEWER","NON-TAX SUPPORTED FUNDS","TRAVEL","OPERATING EXPENSES"
"2015","DEBT SERVICE PRINCIPAL","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","2595.75","2595.75","GENERAL","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","SALARIES & WAGES","592318","592318","ARTERIAL STREET","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","HISTORICAL MUSEUM","PARKS","CULTURE AND RECREATION","INTERFUND PAYMENTS FOR SERVICES","96300","96300","GENERAL","TAX SUPPORTED FUNDS","INTERFUND PRINTING SERVICES","OPERATING EXPENSES"
"2015","EQUIPMENT RENTAL","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","OTHER SERVICES & CHARGES","19800","19800","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","MISCELLANEOUS","OPERATING EXPENSES"
"2015","ADMINISTRATION - EMERGENCY SERVICES","ADMINISTRATION","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","6000","6000","GENERAL","TAX SUPPORTED FUNDS","COMMUNICATION","OPERATING EXPENSES"
"2015","BUILDING/MAINTENANCE","FACILITIES","INTERNAL SERVICE","SALARIES & WAGES","10000","10000","FACILITIES","NON-TAX SUPPORTED FUNDS","OTHER WAGES","PERSONNEL COSTS"
"2015","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","PERSONNEL BENEFITS","3653.6","3653.6","ARTERIAL STREET PRESERVATION","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","EQUIPMENT RENTAL","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","OTHER SERVICES & CHARGES","40000","40000","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","OPERATING RENTALS & LEASES","OPERATING EXPENSES"
"2015","OPERATING TRANSFER OUT","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSFERS-OUT","INTERGOVERNMENTAL/INTERFUND","10053.36","10053.36","ARTERIAL STREET","TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2015","CIVIL SERVICE COMMISSION","HUMAN RESOURCES","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","1448.24","1448.24","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","PERSONNEL BENEFITS","26276.99","26276.99","ARTERIAL STREET","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","BUILDING/MAINTENANCE","FACILITIES","INTERNAL SERVICE","OTHER SERVICES & CHARGES","59800","59800","FACILITIES","NON-TAX SUPPORTED FUNDS","INSURANCE","OPERATING EXPENSES"
"2015","CULTURAL ARTS","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","2000","2000","GENERAL","TAX SUPPORTED FUNDS","TRAVEL","OPERATING EXPENSES"
"2015","LEGISLATIVE SERVICES","MAYOR AND COUNCIL","GENERAL GOVERNMENTAL","OTHER SERVICES & CHARGES","27800","27800","GENERAL","TAX SUPPORTED FUNDS","INSURANCE","OPERATING EXPENSES"
"2015","FIRE SUPPRESSION","NON DEPARTMENTAL","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","20000","20000","GENERAL","TAX SUPPORTED FUNDS","MEDICAL & LIFE INSURANCE","PERSONNEL COSTS"
"2015","SERVICES - PROGRAMS","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","98000","98000","GENERAL","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INCREASE IN FIXED ASSETS","PERSONNEL BENEFITS","13206.92","13206.92","STORM DRAINAGE","NON-TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","DEBT SERVICE PRINCIPAL","PARKS","CULTURE AND RECREATION","INTERFUND PAYMENTS FOR SERVICES","117200","117200","GENERAL","TAX SUPPORTED FUNDS","INTERFUND FACILITIES","OPERATING EXPENSES"
"2015","PROSECUTION/CRIMINAL","NON DEPARTMENTAL","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","2732","2732","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","SPECIAL EVENTS","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","432.6","432.6","GENERAL","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","BUDGET, ACCT & AUDITING","FINANCE","GENERAL GOVERNMENTAL","SUPPLIES","7500","7500","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2015","SYSTEMS","IT","INTERNAL SERVICE","SALARIES & WAGES","10000","10000","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","OTHER WAGES","PERSONNEL COSTS"
"2015","PENSION SERVICES","NON DEPARTMENTAL","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","660000","660000","GENERAL","TAX SUPPORTED FUNDS","HEALTH INSURANCE","OPERATING EXPENSES"
"2015","SUPPORT SERVICES","POLICE","SECURITY OF PERSONS AND PROPERTY","SALARIES & WAGES","17500","17500","GENERAL","TAX SUPPORTED FUNDS","OVERTIME","PERSONNEL COSTS"
"2015","SENIOR CITIZEN SERVICES","PARKS","CULTURE AND RECREATION","SALARIES & WAGES","1000","1000","GENERAL","TAX SUPPORTED FUNDS","OVERTIME","PERSONNEL COSTS"
"2015","OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","OTHER SERVICES & CHARGES","34000","34000","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","OPERATING RENTALS & LEASES","OPERATING EXPENSES"
"2015","ADMINISTRATION","POLICE","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","12700","12700","GENERAL","TAX SUPPORTED FUNDS","REPAIRS & MAINTENANCE","OPERATING EXPENSES"
"2015","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","STORM DRAINAGE","OTHER SERVICES & CHARGES","1250","1250","STORM DRAINAGE","NON-TAX SUPPORTED FUNDS","REPAIRS & MAINTENANCE","OPERATING EXPENSES"
"2015","OPERATING TRANSFER OUT","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","INTERGOVERNMENTAL/INTERFUND","270000","270000","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2015","DEBT SERVICE INTEREST","COMMUNITY DEVELOPMENT & PUBLIC WORKS","SEWER","DEBT SERVICE INTEREST","285042","285042","SEWER","NON-TAX SUPPORTED FUNDS","DEBT SERVICE INTEREST","OPERATING EXPENSES"
"2015","PROSECUTION/CRIMINAL","CITY ATTORNEY","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","36009.1","36009.1","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","FIRE SUPPRESSION","NON DEPARTMENTAL","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","6000","6000","GENERAL","TAX SUPPORTED FUNDS","INSURANCE","OPERATING EXPENSES"
"2015","SYSTEMS","IT","INTERNAL SERVICE","SUPPLIES","25000","25000","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2015","SYSTEMS","IT","INTERNAL SERVICE","OTHER SERVICES & CHARGES","25900","25900","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","INSURANCE","OPERATING EXPENSES"
"2015","SPECIAL UNITS","POLICE","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","9000","9000","GENERAL","TAX SUPPORTED FUNDS","TRAVEL","OPERATING EXPENSES"
"2015","DEBT SERVICE INTEREST","FINANCE","DEBT SERVICE INTEREST PAYMENT","DEBT SERVICE INTEREST","44500","44500","G.O. LIBRARY BOND DEBT","NON-TAX SUPPORTED FUNDS","DEBT SERVICE INTEREST","OPERATING EXPENSES"
"2015","CEMETERY OPERATIONS","PARKS","CEMETERY","PERSONNEL BENEFITS","11491.77","11491.77","CEMETERY","NON-TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","SENIOR CITIZEN SERVICES","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","5200","5200","GENERAL","TAX SUPPORTED FUNDS","ADVERTISING","OPERATING EXPENSES"
"2015","EQUIPMENT RENTAL","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","SALARIES & WAGES","163829.16","163829.16","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","PUBLIC SERVICES","ADMINISTRATION","MENTAL AND PHYSICAL HEALTH","PERSONNEL BENEFITS","1575.94","1575.94","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","CIVIL SERVICE COMMISSION","HUMAN RESOURCES","GENERAL GOVERNMENTAL","OTHER SERVICES & CHARGES","53500","53500","GENERAL","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","MULTI-MEDIA SERVICES","IT","INTERNAL SERVICE","SALARIES & WAGES","282473.14","282473.14","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","SEWER","SALARIES & WAGES","35000","35000","SEWER","NON-TAX SUPPORTED FUNDS","OVERTIME","PERSONNEL COSTS"
"2015","HISTORICAL MUSEUM","PARKS","CULTURE AND RECREATION","INTERFUND PAYMENTS FOR SERVICES","20310","20310","GENERAL","TAX SUPPORTED FUNDS","INTERFUND IS SERVICES","OPERATING EXPENSES"
"2015","SENIOR CITIZEN SERVICES","PARKS","CULTURE AND RECREATION","SALARIES & WAGES","30000","30000","GENERAL","TAX SUPPORTED FUNDS","OTHER WAGES","PERSONNEL COSTS"
"2015","ADMINISTRATION - EMERGENCY SERVICES","ADMINISTRATION","GENERAL GOVERNMENTAL","INTERFUND PAYMENTS FOR SERVICES","2000","2000","GENERAL","TAX SUPPORTED FUNDS","EQUIPMENT RENTAL CHARGE-FUEL","OPERATING EXPENSES"
"2015","SUPPORT SERVICES","POLICE","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","17000","17000","GENERAL","TAX SUPPORTED FUNDS","COMMUNICATION","OPERATING EXPENSES"
"2015","ANIMAL CONTROL","POLICE","PHYSICAL ENVIRONMENT","SUPPLIES","3000","3000","GENERAL","TAX SUPPORTED FUNDS","SMALL TOOLS & MINOR EQUIPMENT","OPERATING EXPENSES"
"2015","INVESTIGATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","22621.76","22621.76","DRUG FORFEITURE FUND","NON-TAX SUPPORTED FUNDS","MEDICAL & LIFE INSURANCE","PERSONNEL COSTS"
"2015","SPECIAL EVENTS","PARKS","CULTURE AND RECREATION","SUPPLIES","400","400","GENERAL","TAX SUPPORTED FUNDS","SMALL TOOLS & MINOR EQUIPMENT","OPERATING EXPENSES"
"2015","CEMETERY OPERATIONS","PARKS","CEMETERY","SALARIES & WAGES","275164.64","275164.64","CEMETERY","NON-TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","SUPPORT SERVICES","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","4000","4000","GENERAL","TAX SUPPORTED FUNDS","OTHER FRINGE BENEFITS","PERSONNEL COSTS"
"2015","DEBT SERVICE INTEREST","FINANCE","DEBT SERVICE INTEREST PAYMENT","DEBT SERVICE INTEREST","374617","374617","2010C&D LOCAL REVITALIZATION","TAX SUPPORTED FUNDS","DEBT SERVICE INTEREST","OPERATING EXPENSES"
"2015","AUBURN GOLF COURSE OPERATIONS","PARKS","CULTURE AND RECREATION","SUPPLIES","20000","20000","GENERAL","TAX SUPPORTED FUNDS","FUEL","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INCREASE IN FIXED ASSETS","SALARIES & WAGES","225353","225353","SEWER","NON-TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","BUILDING/PERMITS & INSPECTIONS","NON DEPARTMENTAL","SECURITY OF PERSONS AND PROPERTY","SALARIES & WAGES","6993","6993","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","OPERATIONS","FINANCE","SOLID WASTE","PERSONNEL BENEFITS","10244.52","10244.52","SOLID WASTE","NON-TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","DEBT SERVICE PRINCIPAL","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","163600","163600","GENERAL","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","SENIOR CITIZEN SERVICES","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","31421.2","31421.2","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","SPECIAL EVENTS","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","31556.28","31556.28","GENERAL","TAX SUPPORTED FUNDS","MEDICAL & LIFE INSURANCE","PERSONNEL COSTS"
"2015","OPERATING TRANSFER OUT","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSFERS-OUT","INTERGOVERNMENTAL/INTERFUND","95463.35","95463.35","ARTERIAL STREET PRESERVATION","TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2015","INVESTIGATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","SUPPLIES","5000","5000","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2014","ADMIN GENERAL COST","FINANCE","AIRPORT","PERSONNEL BENEFITS","1908.81","1908.81","AIRPORT","NON-TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","EQUIPMENT RENTAL","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","INTERFUND PAYMENTS FOR SERVICES","3900","3900","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","INTERFUND PRINTING SERVICES","OPERATING EXPENSES"
"2015","OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","SALARIES & WAGES","3000","3000","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","OVERTIME","PERSONNEL COSTS"
"2015","OPERATING TRANSFER OUT","FACILITIES","INTERNAL SERVICE","INTERGOVERNMENTAL/INTERFUND","759426","759426","FACILITIES","NON-TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2015","ADMINISTRATION","ADMINISTRATION","ECONOMIC ENVIRONMENT","PERSONNEL BENEFITS","19863.01","19863.01","GENERAL","TAX SUPPORTED FUNDS","HEALTH INSURANCE","OPERATING EXPENSES"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","SALARIES & WAGES","18000","18000","GENERAL","TAX SUPPORTED FUNDS","OVERTIME","PERSONNEL COSTS"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INCREASE IN FIXED ASSETS","PERSONNEL BENEFITS","54240.23","54240.23","WATER","NON-TAX SUPPORTED FUNDS","MEDICAL & LIFE INSURANCE","PERSONNEL COSTS"
"2015","INVESTIGATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","2000","2000","GENERAL","TAX SUPPORTED FUNDS","REPAIRS & MAINTENANCE","OPERATING EXPENSES"
"2015","SERVICES - PROGRAMS","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","5000","5000","GENERAL","TAX SUPPORTED FUNDS","OPERATING RENTALS & LEASES","OPERATING EXPENSES"
"2015","ADMINISTRATION","FINANCE","AIRPORT","SALARIES & WAGES","25481.24","25481.24","AIRPORT","NON-TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","AUBURN GOLF COURSE OPERATIONS","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","77500","77500","GENERAL","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","ADMINISTRATION","FINANCE","GENERAL GOVERNMENTAL","SALARIES & WAGES","500","500","GENERAL","TAX SUPPORTED FUNDS","OVERTIME","PERSONNEL COSTS"
"2015","CAPITAL OUTLAY","PARKS","CAPITAL OUTLAY","CAPITAL OUTLAY","5000","5000","GENERAL","TAX SUPPORTED FUNDS","MACHINERY & EQUIPMENT","OPERATING EXPENSES"
"2015","MUNICIPAL COURT","HUMAN RESOURCES","GENERAL GOVERNMENTAL","INTERFUND PAYMENTS FOR SERVICES","4630","4630","GENERAL","TAX SUPPORTED FUNDS","INTERFUND IS SERVICES","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","INTERFUND PAYMENTS FOR SERVICES","1900","1900","ARTERIAL STREET","TAX SUPPORTED FUNDS","INTERFUND PRINTING SERVICES","OPERATING EXPENSES"
"2015","ADMINISTRATION","ADMINISTRATION","ECONOMIC ENVIRONMENT","SUPPLIES","500","500","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2015","HISTORICAL MUSEUM","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","30379.77","30379.77","GENERAL","TAX SUPPORTED FUNDS","MEDICAL & LIFE INSURANCE","PERSONNEL COSTS"
"2015","OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","SEWER","INTERGOVERNMENTAL/INTERFUND","9500","9500","SEWER","NON-TAX SUPPORTED FUNDS","INTERGOVERNMENTAL","OPERATING EXPENSES"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","INTERFUND PAYMENTS FOR SERVICES","159150","159150","GENERAL","TAX SUPPORTED FUNDS","INTERFUND IS SERVICES","OPERATING EXPENSES"
"2015","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","PERSONNEL BENEFITS","217.37","217.37","LOCAL STREET FUND","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","ADMINISTRATION","FINANCE","GENERAL GOVERNMENTAL","SUPPLIES","1000","1000","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2015","BUILDING/MAINTENANCE","FACILITIES","INTERNAL SERVICE","INTERFUND PAYMENTS FOR SERVICES","76660","76660","FACILITIES","NON-TAX SUPPORTED FUNDS","INTERFUND IS SERVICES","OPERATING EXPENSES"
"2015","BUILDING/PERMITS & INSPECTIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","SECURITY OF PERSONS AND PROPERTY","SALARIES & WAGES","25000","25000","GENERAL","TAX SUPPORTED FUNDS","OTHER WAGES","PERSONNEL COSTS"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","PERSONNEL BENEFITS","2500","2500","GENERAL","TAX SUPPORTED FUNDS","OTHER FRINGE BENEFITS","PERSONNEL COSTS"
"2015","CAPITAL OUTLAY","FINANCE","INCREASE IN FIXED ASSETS","CAPITAL OUTLAY","923475","923475","AIRPORT","NON-TAX SUPPORTED FUNDS","CAPITAL OUTLAY","OPERATING EXPENSES"
"2015","ADMINISTRATION","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","4900","4900","GENERAL","TAX SUPPORTED FUNDS","TRAVEL","OPERATING EXPENSES"
"2015","ADMINISTRATION","ADMINISTRATION","ECONOMIC ENVIRONMENT","INTERFUND PAYMENTS FOR SERVICES","6200","6200","GENERAL","TAX SUPPORTED FUNDS","INTERFUND FACILITIES","OPERATING EXPENSES"
"2015","CITY CLERK","CITY ATTORNEY","GENERAL GOVERNMENTAL","INTERFUND PAYMENTS FOR SERVICES","37240","37240","GENERAL","TAX SUPPORTED FUNDS","INTERFUND IS SERVICES","OPERATING EXPENSES"
"2015","HISTORICAL MUSEUM","PARKS","CULTURE AND RECREATION","SUPPLIES","2300","2300","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2015","ANIMAL CONTROL","POLICE","PHYSICAL ENVIRONMENT","PERSONNEL BENEFITS","1000","1000","GENERAL","TAX SUPPORTED FUNDS","OTHER FRINGE BENEFITS","PERSONNEL COSTS"
"2015","BUDGET, ACCT & AUDITING","FINANCE","GENERAL GOVERNMENTAL","INTERFUND PAYMENTS FOR SERVICES","42500","42500","GENERAL","TAX SUPPORTED FUNDS","INTERFUND FACILITIES","OPERATING EXPENSES"
"2015","MAINTENANCE & OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","PERSONNEL BENEFITS","28284.71","28284.71","GENERAL","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","SEWER","OTHER SERVICES & CHARGES","25500","25500","SEWER","NON-TAX SUPPORTED FUNDS","COMMUNICATION","OPERATING EXPENSES"
"2015","DEBT SERVICE PRINCIPAL","FINANCE","DEBT SERVICE PRINCIPAL PAYMENT","DEBT SERVICE PRINCIPAL","235000","235000","G.O. LIBRARY BOND DEBT","NON-TAX SUPPORTED FUNDS","DEBT SERVICE PRINCIPAL","OPERATING EXPENSES"
"2015","CEMETERY OPERATIONS","PARKS","CEMETERY","PERSONNEL BENEFITS","29835.28","29835.28","CEMETERY","NON-TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","ADMINISTRATION","CITY ATTORNEY","GENERAL GOVERNMENTAL","SUPPLIES","8500","8500","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2015","ADMINISTRATION","HUMAN RESOURCES","GENERAL GOVERNMENTAL","OTHER SERVICES & CHARGES","100","100","GENERAL","TAX SUPPORTED FUNDS","REPAIRS & MAINTENANCE","OPERATING EXPENSES"
"2015","ADMINISTRATION - EMERGENCY SERVICES","ADMINISTRATION","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","5000","5000","GENERAL","TAX SUPPORTED FUNDS","OPERATING RENTALS & LEASES","OPERATING EXPENSES"
"2015","ANIMAL CONTROL","POLICE","PHYSICAL ENVIRONMENT","PERSONNEL BENEFITS","4656.36","4656.36","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","SPECIAL EVENTS","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","10905.84","10905.84","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","CULTURAL ARTS","PARKS","CULTURE AND RECREATION","INTERFUND PAYMENTS FOR SERVICES","13210","13210","GENERAL","TAX SUPPORTED FUNDS","INTERFUND IS SERVICES","OPERATING EXPENSES"
"2015","LEGISLATIVE SERVICES","MAYOR AND COUNCIL","GENERAL GOVERNMENTAL","INTERFUND PAYMENTS FOR SERVICES","13670","13670","GENERAL","TAX SUPPORTED FUNDS","INTERFUND IS SERVICES","OPERATING EXPENSES"
"2015","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","STORM DRAINAGE","OTHER SERVICES & CHARGES","24200","24200","STORM DRAINAGE","NON-TAX SUPPORTED FUNDS","INSURANCE","OPERATING EXPENSES"
"2015","CULTURAL ARTS","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","10105.08","10105.08","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","MAINTENANCE & OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","OTHER SERVICES & CHARGES","10000","10000","GENERAL","TAX SUPPORTED FUNDS","OPERATING RENTALS & LEASES","OPERATING EXPENSES"
"2015","CEMETERY OPERATIONS","PARKS","CEMETERY","PERSONNEL BENEFITS","28586.28","28586.28","CEMETERY","NON-TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","PUBLIC SERVICES","ADMINISTRATION","MENTAL AND PHYSICAL HEALTH","OTHER SERVICES & CHARGES","1500","1500","GENERAL","TAX SUPPORTED FUNDS","COMMUNICATION","OPERATING EXPENSES"
"2015","ADMINISTRATION","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","53961.91","53961.91","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","CITY CLERK","CITY ATTORNEY","GENERAL GOVERNMENTAL","SALARIES & WAGES","800","800","GENERAL","TAX SUPPORTED FUNDS","OVERTIME","PERSONNEL COSTS"
