Permit Number,Permit Type,Issued,Address,City,State,Zipcode,Applicant,Contractor License Number,License Type,Fees,Value of Work,Plans Submitted,SBL,Land Use,Inspector,Expiration Date,Description of Work,Location,Latitude,Longitude,Council District,Police District,Census Tract,Census Block Group,Census Block,Neighborhood,Police Districts,Tracts,Council Districts,Zip Codes,Block Groups,Blocks,Local Historic Districts,Neighborhoods,Neighborhoods ,Tax Districts
REP17-9442345,REPAIR,11/06/2017,313 AUBURN,BUFFALO,NY,14213,JOSEPH   HILL,,,75.00,4000.00,0,0992700007009000,281,ANGELA   WHITE,05/06/2018,INSTALL VINYL SIDING TO THE FRONT HOUSE. WORK BY OWNER AS PER SCANNED AFFIDAVIT.,"(42.91844197865571, -78.88899990082852)",42.91844197865571,-78.88899990082852,NIAGARA,District D,61,2,2003,Upper West Side,5,43,3,2,181,1205,,14,26,3
REP17-9435500,REPAIR,08/04/2017,278 HAMPSHIRE,BUFFALO,NY,14213,MEAH FARUQUE,,,75.00,2000.00,0,0994300002020000,220,ANGELA   WHITE,02/04/2018,TEAROFF AND REROOF AT 2-FAMILY DWELLING.,"(42.91328021470339, -78.89157608813315)",42.91328021470339,-78.89157608813315,NIAGARA,District B,61,3,3004,Upper West Side,1,43,3,2,23,1973,,14,26,4
REP17-9430336,REPAIR,05/09/2017,734 PROSPECT,BUFFALO,NY,14213,INVENT GLOBAL INC,,,100.00,2000.00,3,0996600003007000,220,ANGELA   WHITE,11/09/2017,Structural repairs to a 2 fam. dwlg.,"(42.90630316053428, -78.89531706174148)",42.90630316053428,-78.89531706174148,NIAGARA,District B,70,3,3001,West Side,1,69,3,2,144,2657,,40,29,4
REP17-9430017,REPAIR,04/11/2017,49 ARKANSAS,BUFFALO,NY,14213,MS MARYSOL ROSADO,,,75.00,4500.00,0,0994200003003000,281,ANGELA   WHITE,10/11/2017,roof repair-replace shingles/tear off,"(42.91436051691361, -78.89562919242465)",42.91436051691361,-78.89562919242465,NIAGARA,District B,61,3,3009,Upper West Side,1,43,3,2,23,106,,14,26,4
REP17-9433025,REPAIR,06/05/2017,844 NIAGARA,BUFFALO,NY,14213,SURETY CONSTRUCTION,,,100.00,14540.00,0,0996600001003000,220,ANGELA   WHITE,12/05/2017,Tear off/sheath/reroof,"(42.90620746833578, -78.89688319325884)",42.90620746833578,-78.89688319325884,NIAGARA,District B,70,3,3003,West Side,1,69,3,2,144,37,,40,29,4
REP17-9433201,REPAIR,06/08/2017,147 AUBURN,BUFFALO,NY,14213,RYAN   HIGGINS,,,75.00,900.00,0,0992600007003000,210,ANGELA   WHITE,12/08/2017,fixing the front roof,"(42.91836250991333, -78.89534772030316)",42.91836250991333,-78.89534772030316,NIAGARA,District D,61,5,5004,Upper West Side,5,43,3,2,110,3160,,14,26,3
REP17-9426194,REPAIR,01/18/2017,1416 KENMORE,BUFFALO,NY,14216,NAPLES ROOFING & SIDING,LTC11-544601,LIGHT COMMERCIAL CONTRACTOR,150.00,3500.00,0,0783800002036000,482,ANGELA   WHITE,07/18/2017,TEAR OFF AND REROOF AS PER SCANNED CONTRACT.,"(42.95863252447573, -78.87048795300205)",42.95863252447573,-78.87048795300205,NORTH,District D,50,3,3000,North Park,5,70,1,5,164,1012,,5,25,2
REP17-9435583,REPAIR,08/08/2017,126 MASSACHUSETTS,BUFFALO,NY,14213,LOOK AT THAT INDUSTRIES,LTC11-556156,LIGHT COMMERCIAL CONTRACTOR,90.00,12500.00,0,0995800001004000,220,ANGELA   WHITE,02/08/2018,TEAROFF AND REROOF AT 2-FAMILY DWELLING.,"(42.90865815293741, -78.89605346747729)",42.90865815293741,-78.89605346747729,NIAGARA,District B,70,1,1005,West Side,1,69,3,2,256,2804,,40,29,4
REP17-9437875,REPAIR,09/07/2017,699 COLUMBUS PKWY,BUFFALO,NY,14213,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,110.00,16185.00,0,0997400002016000,220,ANGELA   WHITE,03/07/2018,"Complete Roof Tear off and new roof installation on upper main frame, Front porch not included.","(42.903054100736334, -78.89538661050865)",42.903054100736334,-78.89538661050865,NIAGARA,District B,70,3,3007,West Side,1,69,3,2,144,2415,,40,29,4
REP17-9428199,REPAIR,03/21/2017,79 CAMDEN,BUFFALO,NY,14216,AVA ROOFING & SIDING,LTC12-10021580,LIGHT COMMERCIAL CONTRACTOR,85.00,11500.00,0,0786200002055000,210,ANGELA   WHITE,09/21/2017,"Complete tear off, install 6 feet of ice and water shield, install synthetic paper, install 40 years Architectural shingles Landmark Certainteed, install ridge venting and new step flashing.","(42.950223514179385, -78.87278075900136)",42.950223514179385,-78.87278075900136,NORTH,District D,50,1,1002,North Park,5,70,1,5,94,374,,5,25,2
REP17-9434285,REPAIR,07/07/2017,314 HERKIMER,BUFFALO,NY,14213,ANDREW   BATTAGLIA,,,75.00,2000.00,0,0888200004024000,220,ANGELA   WHITE,01/07/2018,PLACE A METAL ROOF OVER EXISTING  2 LAYERS( PER OWNER). WORK BY OWNER W/UNCOMPENSATED ASSISTANCE.,"(42.921317072964264, -78.89276858773218)",42.921317072964264,-78.89276858773218,NIAGARA,District D,171,4,4005,Upper West Side,5,27,3,2,46,1206,,27,26,3
REP17-9435830,REPAIR,08/11/2017,212 BIRD,BUFFALO,NY,14213,MICHAEL ZAK,,,75.00,3000.00,0,0886700003054000,220,ANGELA   WHITE,02/11/2018,ERECT 1-STORY PORCH AT FRONT OF 2-FAMILY DWELLING.,"(42.925915110540544, -78.89115589576744)",42.925915110540544,-78.89115589576744,NIAGARA,District D,171,2,2004,Upper West Side,5,27,3,2,176,260,,27,26,3
REP17-9431592,REPAIR,04/27/2017,620 GRANT,BUFFALO,NY,14213,"CAMPANELLA,MARIO & W",,,75.00,4600.00,0,0885100002014000,281,ANGELA   WHITE,10/27/2017,porch foundation repairs,"(42.930841142562095, -78.88906131743884)",42.930841142562095,-78.88906131743884,NORTH,District D,171,5,5002,Upper West Side,5,27,1,2,239,561,,27,26,3
REP17-9433142,REPAIR,06/07/2017,20 PENFIELD,BUFFALO,NY,14213,PATRICK HIGGINS,LTC17-10039582,LIGHT COMMERCIAL CONTRACTOR,75.00,2000.00,0,0888200008021000,220,ANGELA   WHITE,12/07/2017,Tear off front gabel resheet and shingle repair siding on dormers clean debris,"(42.92131271196351, -78.8980684951102)",42.92131271196351,-78.8980684951102,NIAGARA,District D,171,1,1017,Upper West Side,5,27,3,2,53,2646,,27,26,3
REP17-9441645,REPAIR,10/20/2017,879 WEST,BUFFALO,NY,14213,ERIE CONSTRUCTION MID-WEST INC,,,125.00,19236.00,0,0994200002019000,220,ANGELA   WHITE,04/20/2018,roof over one layer,"(42.9141798719205, -78.89752722207345)",42.9141798719205,-78.89752722207345,NIAGARA,District B,61,1,1024,Upper West Side,1,43,3,2,121,2573,,14,26,4
REP17-9438397,REPAIR,09/20/2017,695 PROSPECT,BUFFALO,NY,14213,MR RYAN LEMA,,,75.00,4000.00,0,0996600004020000,220,ANGELA   WHITE,03/20/2018,Remove old roofing and install new roofing,"(42.90551506841855, -78.89439173435439)",42.90551506841855,-78.89439173435439,NIAGARA,District B,70,3,3000,West Side,1,69,3,2,144,1699,,40,29,4
REP17-9440141,REPAIR,10/06/2017,237 BIRD,BUFFALO,NY,14213,AMY GOODING,LTC16-10034143,LIGHT COMMERCIAL CONTRACTOR,75.00,4500.00,0,0887500001012000,220,ANGELA   WHITE,04/06/2018,"TEAR-OFF AND REROOF, NEW SHEATHING","(42.92582026044461, -78.89015370272602)",42.92582026044461,-78.89015370272602,NIAGARA,District D,171,3,3002,Upper West Side,5,27,3,2,150,1710,,27,26,3
REP17-9435177,REPAIR,07/28/2017,10 CONGRESS,BUFFALO,NY,14213,OMAR SHABAAN,,,75.00,450.00,0,0992700010009000,210,ANGELA   WHITE,01/28/2018,"REPAIR/REPLACE POSTS, RAILINGS AND DECKING AT PORCH LIKE IN KIND AT 1-FAMILY DWELLING.","(42.91805804895332, -78.89195598758774)",42.91805804895332,-78.89195598758774,NIAGARA,District D,61,4,4005,Upper West Side,5,43,3,2,19,1198,,14,26,3
REP17-9431642,REPAIR,04/28/2017,833 PROSPECT,BUFFALO,NY,14213,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,75.00,3774.00,0,0995000008002000,281,ANGELA   WHITE,10/28/2017,tearoff and install flintlastic sa low slope roof system on front porch roof,"(42.90864315343387, -78.89735092186909)",42.90864315343387,-78.89735092186909,NIAGARA,District B,70,1,1005,West Side,1,69,3,2,256,2804,,40,29,4
REP17-9435618,REPAIR,08/08/2017,43 MASSACHUSETTS,BUFFALO,NY,14213,BLACK ROCK ROOFING,LTC11-564078,LIGHT COMMERCIAL CONTRACTOR,125.00,19640.00,0,0995800007016000,220,ANGELA   WHITE,02/08/2018,"complete tear-off and roof replacement new 1/2"" cdx decking ice and water shield at eaves walls and all penetrations through roof new alum flashings new c-teed arch shingles new .032 alum gutter system","(42.90725036900867, -78.89853489713202)",42.90725036900867,-78.89853489713202,NIAGARA,District B,70,3,3003,West Side,1,69,3,2,144,37,,40,29,4
REP17-9435242,REPAIR,07/31/2017,704 PROSPECT,BUFFALO,NY,14213,ALL ACCESS CONSTRUCTION,LTC13-10027014,LIGHT COMMERCIAL CONTRACTOR,110.00,16720.00,0,0996600003017000,210,ANGELA   WHITE,01/31/2018,tearoff/sheath/reroof,"(42.905655361235205, -78.8947058104272)",42.905655361235205,-78.8947058104272,NIAGARA,District B,70,3,3001,West Side,1,69,3,2,144,2657,,40,29,4
REP17-9438103,REPAIR,10/10/2017,329 BRECKENRIDGE,BUFFALO,NY,14213,AARON   MARACLE,,,75.00,150.00,0,0993500002009000,220,ANGELA   WHITE,04/10/2018,Removal of second story porch including the roof and porch floor and covering the 2nd story door to prevent access.,"(42.91673391656903, -78.88942422618994)",42.91673391656903,-78.88942422618994,NIAGARA,District D,61,2,2005,Upper West Side,5,43,3,2,181,2080,,14,26,3
REP17-9437625,REPAIR,08/30/2017,92 BIRD,BUFFALO,NY,14213,TIM ROBSON,,,75.00,2000.00,0,0886600002020000,210,ANGELA   WHITE,02/28/2018,Repairing the front face of the roof.,"(42.92594563322026, -78.89563310789414)",42.92594563322026,-78.89563310789414,NORTH,District D,171,1,1011,Upper West Side,5,27,1,2,53,850,,27,26,3
USE17-9435973,USE,08/16/2017,236 POTOMAC,BUFFALO,NY,14213,ROBBINS RONALD,,,50.00,0.00,0,0887500008026000,220,ANGELA   WHITE,02/16/2018,"ALTER THE USE OF A 2 STORY 2 FAMILY FRAME DWELLING TO A SINGLE. ALTERED USE TO COMPLY FULLY WITH THE RESIDENTIAL CODE OF NY. INCLUDING BUT NOT LIMITED TO THE REQUIREMENTS FOR SMOKE AND CO ALARMS FOUND IN R313. A COPY HAS BEEN PROVIDED TO APPLICANT. NO PHYSICAL, STRUCTURAL OR MECHANICAL CHANGES. OWNER AFFIDAVIT SCANNED.","(42.924067701580334, -78.89071491565173)",42.924067701580334,-78.89071491565173,NIAGARA,District D,171,3,3001,Upper West Side,5,27,3,2,150,3072,,27,26,3
REP17-9442693,REPAIR,11/15/2017,96 PARKDALE,BUFFALO,NY,14213,BLACK ROCK ROOFING,LTC11-564078,LIGHT COMMERCIAL CONTRACTOR,95.00,13500.00,0,0992700007017000,210,ANGELA   WHITE,05/15/2018,"complete tear-off and roof replacement new 1/2"" cdx decking ice and water shield to eaves walls and all penetrations through roof new alum flashings new c-teed arch shingles new .032 alum gutter system","(42.918050769485504, -78.88818399036207)",42.918050769485504,-78.88818399036207,NIAGARA,District D,61,2,2003,Upper West Side,5,43,3,2,181,1205,,14,26,3
REP17-9444385,REPAIR,12/05/2017,19 HERKIMER,BUFFALO,NY,14213,SABRI ELMOUSS,LTC17-10039339,LIGHT COMMERCIAL CONTRACTOR,155.00,26000.00,0,0994300001024000,220,ANGELA   WHITE,06/05/2018,TEAROFF AND REROOF AT 2-FAMILY DWELLING.,"(42.91321159269817, -78.8933936322628)",42.91321159269817,-78.8933936322628,NIAGARA,District B,61,3,3005,Upper West Side,1,43,3,2,23,2142,,14,26,4
REP17-9433247,REPAIR,06/09/2017,929 WEST,BUFFALO,NY,14213,SURETY CONSTRUCTION COMPANY,HIC11-517094,HOME IMPROVEMENT CONTRACTOR,75.00,2470.00,0,0993400003028000,220,ANGELA   WHITE,12/09/2017,"TRIM ON THE DORMERS AND OVERHANGS ON THE HIP ROOF, TRIM","(42.915549824876976, -78.8973745114439)",42.915549824876976,-78.8973745114439,NIAGARA,District D,61,1,1022,Upper West Side,5,43,3,2,121,971,,14,26,3
REP17-9435476,REPAIR,08/04/2017,148 BIRD,BUFFALO,NY,14213,A BEST INC. (HIM),HIC11-517768,HOME IMPROVEMENT CONTRACTOR,75.00,5000.00,0,0886700003074000,281,ANGELA   WHITE,02/04/2018,"Rear Building(Cottage) onlyLeft side ONLYTear-off , plywood as needed and asphalt shingles","(42.92587683040572, -78.89349280334719)",42.92587683040572,-78.89349280334719,NIAGARA,District D,171,2,2005,Upper West Side,5,27,3,2,176,2426,,27,26,3
REP17-9438017,REPAIR,09/11/2017,49 GREENWOOD,BUFFALO,NY,14213,STEPHEN SCARFONE,LTC17-10039866,LIGHT COMMERCIAL CONTRACTOR,90.00,12900.00,0,0888300005038000,220,ANGELA   WHITE,03/11/2018,COMPLETE TEAROFF AND REROOF AT 2-FAMILY DWELLING.,"(42.92169658806189, -78.88886725264453)",42.92169658806189,-78.88886725264453,NIAGARA,District D,61,2,2000,Upper West Side,5,43,3,2,181,2865,,14,26,3
REP17-9442302,REPAIR,11/06/2017,212 BIRD,BUFFALO,NY,14213,BROAD SPECTRUM CONCRETE SPEC.,HIC11-518105,HOME IMPROVEMENT CONTRACTOR,50.00,3900.00,0,0886700003054000,220,ANGELA   WHITE,05/06/2018,Replace front walkway from steps to public sidewalk as is.Replace side walk from public sidewalk to rear of house as is.,"(42.925915110540544, -78.89115589576744)",42.925915110540544,-78.89115589576744,NIAGARA,District D,171,2,2004,Upper West Side,5,27,3,2,176,260,,27,26,3
REP17-9427785,REPAIR,03/07/2017,88 RAMSDELL,BUFFALO,NY,14216,MOISEY TURKEVICH,LTC11-553950,LIGHT COMMERCIAL CONTRACTOR,85.00,11675.00,0,0783800003002000,281,ANGELA   WHITE,09/07/2017,"tear-off,re-toof,new plywood","(42.957552801209104, -78.87280876897512)",42.957552801209104,-78.87280876897512,NORTH,District D,50,3,3003,North Park,5,70,1,5,164,1776,,5,25,2
214247,USE,09/27/2017,114 CABLE,BUFFALO,NY,14206,ATLANTIC GARAGES,,,495.00,10000.00,0,1235000001008000,230,CHARLES DIDIO,03/27/2018,"***Plans required***ZBA required 511-14A (1),(2)b), (3),& (4) *** deficient in Lot, area & yard, to convert a 3 unit MD to a 4 unit MD in a R2 zoning district. Carol 913-4980","(42.86802200308885, -78.80695838251012)",42.86802200308885,-78.80695838251012,LOVEJOY,District A,19,1,1001,Kaisertown,4,21,2,17,186,820,,10,34,12
GC17-9435448,GC,09/15/2017,100 HIGH,BUFFALO,NY,14203,KALEIDA HEALTH,,,1149.00,70000.00,3,1007900002001000,641,CHARLES DIDIO,03/15/2018,CHANGE MECHANICAL EQUIPMENT ROOM TO MEDICAL GAS (OXYGEN TANKS) STORAGE ROOM AT BASEMENT AND EXPAND EXISTING MECHANICAL EQUIPMENT ROOM AT FIRST FLOOR FOR NEW HVAC EQUIPMENT AT BUFFALO GENERAL HOSPITAL.,"(42.900384001912684, -78.86575936429455)",42.900384001912684,-78.86575936429455,ELLICOTT,District B,31,4,4010,Fruit Belt,1,35,4,14,153,1002,,55,32,9
PRKLT17-9433491,PARKINGLOT,06/21/2017,1095 NIAGARA,BUFFALO,NY,14213,ELLICOTT CONSTRUCTION INC.(GNC,GNC11-534646,GENERAL CONTRACTOR,150.00,11000.00,0,0994200001022000,330,CHARLES DIDIO,12/21/2017,"INSTALL TEMPORARY (8 MONTH) PARKING LOT WITH FENCE FOR CONSTRUCTION WORKERS AT 1050 NIAGARA PER COMMISSIONER COMERFORD.  ADD GRAVEL, COMPACT MILLINGS AND STRIPE PER SCANNED SKETCH.","(42.913200276999895, -78.89960133897797)",42.913200276999895,-78.89960133897797,NIAGARA,District B,61,1,1018,Upper West Side,1,43,3,2,121,2270,,14,26,4
GC16-9425519,GC,03/20/2017,1050 NIAGARA,BUFFALO,NY,14213,ELLICOTT CONSTRUCTION INC.(GNC,,,4268.00,300000.00,3,0994900006002000,710,CHARLES DIDIO,09/20/2017,CHANGE OF USE ON A PORTION OF THE 1ST FLOOR FOR OFFICES FOR LAKE SHORE BEHAVIORAL.  PLANS FILED,"(42.912008566766154, -78.89989448680932)",42.912008566766154,-78.89989448680932,NIAGARA,District B,70,1,1000,West Side,1,69,3,2,256,1484,,40,29,4
GC17-9441450,GC,11/09/2017,1050 NIAGARA,BUFFALO,NY,14213,ELLICOTT CONSTRUCTION INC.(GNC,,,2397.00,356212.00,3,0994900006002000,710,CHARLES DIDIO,05/09/2018,FITOUT MEDICAL OFFICE CLINIC (B-OCCUPANCY) AT N.W. PORTION OF 1ST FLOOR AT 2-STORY MASONRY MIXED USE BUILDING.,"(42.912008566766154, -78.89989448680932)",42.912008566766154,-78.89989448680932,NIAGARA,District B,70,1,1000,West Side,1,69,3,2,256,1484,,40,29,4
REP17-9438484,REPAIR,09/21/2017,536 LAFAYETTE AVE,BUFFALO,NY,14222,JOSEPHINE CASTELLI,,,150.00,15000.00,0,0897700004027000,230,CHARLES DIDIO,03/21/2018,PLACE 4' HIGH PATIO WITH CONCRETE STEPS AT REAR OF 3-FAMILY DWELLING IN SAME FOOTPRINT OF EXISTING DECK.,"(42.920378728424964, -78.87849894855083)",42.920378728424964,-78.87849894855083,DELAWARE,District D,63.01,2,2007,Elmwood Bidwell,5,76,7,12,95,3207,,27,27,3
GC17-9437208,GC,09/21/2017,818 Ellicott,BUFFALO,NY,14203,KALEIDA HEALTH,LTC11-543610,LIGHT COMMERCIAL CONTRACTOR,274.00,50000.00,3,1007900001002110,331,CHARLES DIDIO,03/21/2018,"FITOUT 2ND FLOOR SPACE FOR B-OCCUPANCY RESTAURANT ""JOE'S DELI"" AT CHILDREN'S HOSPITAL.","(42.90056851371714, -78.8672264290305)",42.90056851371714,-78.8672264290305,ELLICOTT,District B,31,4,4005,Fruit Belt,1,35,4,14,153,3132,,55,32,9
REP17-9428142,REPAIR,03/20/2017,37 MINNESOTA,BUFFALO,NY,14214,HOME HANDYMAN SERVICE,LTC11-548385,LIGHT COMMERCIAL CONTRACTOR,150.00,1800.00,0,0797000001007000,230,CHARLES DIDIO,09/20/2017,Remove dormer roof and install new sheathing and roll roofing as needed. Repair facia and install new gutter,"(42.947622230430824, -78.82800695583899)",42.947622230430824,-78.82800695583899,UNIVERSITY,District E,47.02,2,2002,University Heights,2,56,8,18,244,2343,,43,30,7
REP17-9442222,REPAIR,11/03/2017,1050 NIAGARA,BUFFALO,NY,14213,D & H PAVING LLC   (SPC),SPC11-549481,SPECIALITY CONTRACTOR,150.00,13000.00,0,0994900006002000,710,CHARLES DIDIO,05/03/2018,Resurfacing drive aisle,"(42.912008566766154, -78.89989448680932)",42.912008566766154,-78.89989448680932,NIAGARA,District B,70,1,1000,West Side,1,69,3,2,256,1484,,40,29,4
GC17-9441856,GC,11/29/2017,1050 NIAGARA,BUFFALO,NY,14213,ELLICOTT CONSTRUCTION INC.(GNC,GNC11-534646,GENERAL CONTRACTOR,658.00,91203.00,3,0994900006002000,710,CHARLES DIDIO,05/29/2018,"FITOUT OFFICE SPACE FOR ""BEST SELF BEHAVORIAL"" AT 1ST FLOOR OF 2-STORY OFFICE BUILDING.","(42.912008566766154, -78.89989448680932)",42.912008566766154,-78.89989448680932,NIAGARA,District B,70,1,1000,West Side,1,69,3,2,256,1484,,40,29,4
REP17-9432327,REPAIR,05/15/2017,338 LINDEN AVE,BUFFALO,NY,14216,MARY KATE   SIDOTI,,,150.00,3800.00,0,0788100002009000,230,CHARLES DIDIO,11/15/2017,SIDING,"(42.944471608439116, -78.85538576307157)",42.944471608439116,-78.85538576307157,DELAWARE,District D,54,4,4000,North Park,5,36,7,5,3,2849,,9,25,2
REP17-9426606,REPAIR,01/31/2017,1225 NIAGARA,BUFFALO,NY,14213,ABRAXAS,LTC11-556151,LIGHT COMMERCIAL CONTRACTOR,170.00,19450.00,0,0992600010011000,482,CHARLES DIDIO,07/31/2017,Masonry Restorationclean masonry with low pressure clean waterRemove loose and shifted brick clean and reset.Repoint as needed.All work to meet NPS Historic Restoration Guidelines.,"(42.91710147335937, -78.89914218796093)",42.91710147335937,-78.89914218796093,NIAGARA,District D,61,1,1012,Upper West Side,5,43,3,2,121,1138,13,14,26,3
FEND17-9438905,FENDRIVE,10/11/2017,118 NORWOOD,BUFFALO,NY,14222,NICK CAPOZZI,SPC11-517803,SPECIALITY CONTRACTOR,100.00,3260.00,0,1005300001030000,411,CHARLES DIDIO,04/11/2018,PAVE AN ADDITIONAL AREA (APPROX. 16' X 37') FOR PARKING IN THE REAR YARD,"(42.90797380814311, -78.88037247104486)",42.90797380814311,-78.88037247104486,NIAGARA,District B,67.01,4,4001,Elmwood Bryant,1,58,3,12,73,258,,20,5,4
GC17-9440068,GC,11/09/2017,1050 NIAGARA,BUFFALO,NY,14213,ELLICOTT GROUP,,LIGHT COMMERCIAL CONTRACTOR,448.00,1.00,3,0994900006002000,710,CHARLES DIDIO,05/09/2018,"ERECT AN ADDITION FOR A NEW ELEVATOR AND STAIRS, LEVEL 2 ALTERATIONS TO A PORTION OF THE BASEMENT AND 1ST FLOOR, NEW EXTERIOR STAIR  PLANS REQ.***PLANS FILED 10/19/17***","(42.912008566766154, -78.89989448680932)",42.912008566766154,-78.89989448680932,NIAGARA,District B,70,1,1000,West Side,1,69,3,2,256,1484,,40,29,4
GC17-9435859,GC,09/21/2017,818 Ellicott,BUFFALO,NY,14203,KALEIDA HEALTH,,LIGHT COMMERCIAL CONTRACTOR,262.00,50000.00,3,1007900001002110,331,CHARLES DIDIO,03/21/2018,"BUILD OUT TENANT SPACE FOR A ""TIM HORTON'S"" ON THE FIRST FLOOR MAIN LOBBY OF THE NEW CHILDREN'S HOSPITAL   PLANS FILED","(42.90056851371714, -78.8672264290305)",42.90056851371714,-78.8672264290305,ELLICOTT,District B,31,4,4005,Fruit Belt,1,35,4,14,153,3132,,55,32,9
GC17-9442486,GC,11/17/2017,118 NORWOOD,BUFFALO,NY,14222,COMFORT WINDOW CO. INC.,LTC11-562530,LIGHT COMMERCIAL CONTRACTOR,200.00,3654.00,3,1005300001030000,411,CHARLES DIDIO,05/17/2018,***plans filed*** frame in for new window in a multiple dwelling.,"(42.90797380814311, -78.88037247104486)",42.90797380814311,-78.88037247104486,NIAGARA,District B,67.01,4,4001,Elmwood Bryant,1,58,3,12,73,258,,20,5,4
GC17-9428119,GC,04/06/2017,536 LAFAYETTE AVE,BUFFALO,NY,14222,JOSEPHINE CASTELLI,,,1500.00,222850.00,3,0897700004027000,230,CHARLES DIDIO,10/06/2017,***plans filed*** alterations to a 2 story 2 family frame dwelling to a 1 family with 3rd floor occupancy previously prepared under tear out permit #9426300.,"(42.920378728424964, -78.87849894855083)",42.920378728424964,-78.87849894855083,DELAWARE,District D,63.01,2,2007,Elmwood Bidwell,5,76,7,12,95,3207,,27,27,3
REP17-9431649,REPAIR,04/28/2017,125 HERTEL,BUFFALO,NY,14207,ROBERT WHITE,LTC16-10034304,GENERAL CONTRACTOR,150.00,3700.00,0,0778100007002200,411,CHARLES DIDIO,10/28/2017,"PORCH REPAIRS AT M.D. INCLUDING TEAROFF/REROOF, NEW 6X6 POSTS, DECKING, STAIRS, RAILINGS, TRIM, AND REPOINT FOUNDATION AT PORCH.","(42.94217001642287, -78.90208186256372)",42.94217001642287,-78.90208186256372,NORTH,District D,59,2,2002,Black Rock,5,72,1,10,122,3231,,38,9,1
USE17-9434745,USE,10/12/2017,561 DELAWARE,BUFFALO,NY,14202,PARTNERS LP,,,100.00,1000.00,0,1007800008012000,481,CHARLES DIDIO,04/12/2018,***Common Council Approval required(Sect.  6.1.5P)*** Add use of indoor Live Entertainment to an existing Restaurant/Tavern (Colter Bay) in a N-2C zoning district.,"(42.899488960088185, -78.87384226452124)",42.899488960088185,-78.87384226452124,FILLMORE,District B,68.01,1,1002,Allentown,1,13,5,3,214,1623,1,32,2,9
GC16-9422058,GC,12/05/2017,637 LINWOOD AVE,BUFFALO,NY,14209,MONTANTE CONSTRUCTION,GNC14-10027898,GENERAL CONTRACTOR,19005.59,7000000.00,3,1002400001001000,331,CHARLES DIDIO,06/05/2018,***BUILDING PLANS / CITY WIDE SITE PLAN APPROVAL REQUIRED*** ERECT A 3 STORY FRAME MULTIPLE DWELLING.*** PLANS FILED 10/12/17***,"(42.919735469646874, -78.86538713851121)",42.919735469646874,-78.86538713851121,ELLICOTT,District D,169,3,3002,Elmwood Bidwell,5,50,4,21,32,2857,18,33,27,5
REP17-9441746,REPAIR,10/23/2017,224 VERMONT,BUFFALO,NY,14213,AMY GOODING,LTC16-10034143,LIGHT COMMERCIAL CONTRACTOR,150.00,13000.00,0,0995900003030000,411,CHARLES DIDIO,04/23/2018,"TEAR-OFF AND REROOF, NEW SHEATHING","(42.90690797933125, -78.89035057101047)",42.90690797933125,-78.89035057101047,NIAGARA,District B,69.01,2,2004,West Side,1,41,3,2,96,2053,,40,29,4
REP17-9437275,REPAIR,08/23/2017,164 NORMAL,BUFFALO,NY,14213,NURJAHAN   BEGUM,,,150.00,250.00,0,0996700007017000,230,CHARLES DIDIO,02/23/2018,Replace drywall at bathroom and a section of gutter. Work by owner. Affidavit and power of attorney scanned.,"(42.90488227848218, -78.88711859449367)",42.90488227848218,-78.88711859449367,NIAGARA,District B,69.04,2,2005,West Side,1,17,3,2,201,2248,,40,29,4
GC17-9442460,GC,12/26/2017,1050 NIAGARA,BUFFALO,NY,14213,ELLICOTT GROUP,,,464.00,22718.00,3,0994900006002000,710,CHARLES DIDIO,06/26/2018,***plans filed*** tenant build out for pharnmacy,"(42.912008566766154, -78.89989448680932)",42.912008566766154,-78.89989448680932,NIAGARA,District B,70,1,1000,West Side,1,69,3,2,256,1484,,40,29,4
REP17-9427068,REPAIR,02/14/2017,1225 NIAGARA,BUFFALO,NY,14213,INFINITY ARCHITECTURAL WINDOW,,,710.00,110000.00,0,0992600010011000,482,CHARLES DIDIO,08/14/2017,WINDOW REPLACEMENT AT 3-STORY COMMERCIAL BUILDING.  SEE ASSOCATIED SKETCHES IN VAULT.,"(42.91710147335937, -78.89914218796093)",42.91710147335937,-78.89914218796093,NIAGARA,District D,61,1,1012,Upper West Side,5,43,3,2,121,1138,13,14,26,3
TEAR17-9426300,TEAROUT,02/14/2017,536 LAFAYETTE AVE,BUFFALO,NY,14222,JOSEPHINE CASTELLI,,LIGHT COMMERCIAL CONTRACTOR,300.00,30000.00,3,0897700004027000,230,CHARLES DIDIO,08/14/2017,***PLANS FILED*** SELECTIVE DEMO OF PORTIONS OF A 2 STORY FRAME 3 FAMILY DWELLING IN PREPARATION FOR WORK TO BE COVERED UNDER SEPARATE PERMITS. This property was never a legal 3 family. It was converted from a 1 family to a 2 family in 1952,"(42.920378728424964, -78.87849894855083)",42.920378728424964,-78.87849894855083,DELAWARE,District D,63.01,2,2007,Elmwood Bidwell,5,76,7,12,95,3207,,27,27,3
