"tipo_de_pqrsdf","tem_tica","remitente","pa_s","departamento","municipio","dependencia_actual","fecha_de_radicaci_n"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","RISARALDA","PEREIRA","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-21T14:09:31.060"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Provincial Ibagué","2017-02-21T14:23:23.087"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cúcuta","2017-02-21T15:07:36.620"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Delegada para Asuntos Ambientales y Agrarios","2017-02-21T15:28:02.060"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CAUCA","POPAYAN","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-21T15:38:12.820"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cali","2017-02-21T15:40:22.650"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Garzón","2017-02-21T15:46:13.813"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sincelejo","2017-02-21T16:31:39.277"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-21T16:50:09.870"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","TOLIMA","IBAGUE","Grupo del Centro de Atención al Servidor ","2017-02-21T17:08:48.547"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","TOLIMA","IBAGUE","SECRETARÍA GENERAL","2017-02-21T17:08:48.547"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-02-21T19:26:56.843"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-02-21T19:37:56.340"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Regional Valle","2017-02-21T19:41:22.433"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-02-21T20:11:04.330"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-02-21T20:24:23.817"
"Queja","Queja","Registrado","COLOMBIA","RISARALDA","PEREIRA","Pr. División de Relacionamiento con el ciudadano","2017-02-21T20:33:10.263"
"Queja","Queja","Registrado"," "," "," ","Proc 2 Del Contratación Estatal","2017-02-22T07:42:07.347"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Pr. División de Relacionamiento con el ciudadano","2017-02-22T07:50:47.290"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Cesar","2017-02-22T08:25:22.287"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","","","Proc Regional Boyacá","2017-02-22T09:40:39.953"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-22T10:18:08.267"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-22T10:42:06.277"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Barrancabermeja","2017-02-22T10:47:02.983"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Valle del Aburrá","2017-02-22T11:15:24.487"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cartagena","2017-02-22T11:55:16.337"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cartagena","2017-02-22T11:55:16.337"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Valle del Aburrá","2017-02-22T15:02:20.627"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Zipaquirá","2017-02-22T15:05:35.060"
"Reclamo","Reclamo","Registrado"," "," "," ","Oficina de Selección y Carrera","2017-02-22T15:29:15.483"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Valle","2017-02-22T15:41:41.693"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-02-22T15:47:05.520"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Neiva","2017-02-22T16:11:28.210"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","","","Proc Provincial Valledupar","2017-02-22T18:07:36.583"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Cundinamarca","2017-02-22T18:18:49.870"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Procuraduría Delegada para las Entidades Territoriales y Diálogo Social","2017-02-22T18:28:34.577"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-22T18:39:36.103"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","HUILA","NEIVA","Proc Provincial Garzón","2017-02-22T19:29:32.220"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Proc Regional Valle","2017-02-22T19:38:19.640"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Oficina de Selección y Carrera","2017-02-22T20:04:32.760"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CAUCA","POPAYAN","Proc Provincial Popayán","2017-02-22T20:05:46.117"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Fusagasugá","2017-02-22T20:49:37.077"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","COPACABANA","Proc Provincial Valle del Aburrá","2017-02-22T21:04:53.167"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","HUILA","NEIVA","Proc Provincial Garzón","2017-02-22T21:28:41.383"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Pr. División de Relacionamiento con el ciudadano","2017-02-22T22:00:23.893"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-02-22T22:18:42.840"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-02-22T22:55:47.337"
"Queja","Queja","Registrado","COLOMBIA","ATLANTICO","BARRANQUILLA","Procuraduria Delegada para la Conciliación Administrativa","2017-02-23T07:39:12.907"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","NORTE DE SANTANDER","CUCUTA","Proc Regional Norte de Santander","2017-02-23T07:39:21.673"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-02-23T07:42:31.087"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Provincial Ibagué","2017-02-23T09:14:19.030"
"Queja","Queja","Registrado","COLOMBIA","RISARALDA","PEREIRA","Proc Provincial Barranquilla","2017-02-23T10:13:18.013"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Cúcuta","2017-02-23T11:31:58.590"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Boyacá","2017-02-23T11:34:58.340"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-23T11:36:50.273"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cúcuta","2017-02-23T11:57:43.020"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Valle","2017-02-23T12:02:35.693"
"Queja","Queja","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-02-23T12:46:33.047"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-23T13:30:24.730"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-23T13:52:23.137"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-23T14:39:22.570"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","CESAR","VALLEDUPAR","Proc Primera Distrital","2017-02-23T15:02:57.387"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","CASANARE","YOPAL","Oficina Jurídica","2017-02-23T15:12:59.287"
"Reclamo","Reclamo","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-02-23T15:47:35.990"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Cali","2017-02-23T16:51:48.490"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-23T17:06:22.090"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Valle del Aburrá","2017-02-23T17:21:46.583"
"Queja","Queja","Registrado","COLOMBIA","NORTE DE SANTANDER","CUCUTA","Proc Provincial Cúcuta","2017-02-23T18:29:24.293"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Boyacá","2017-02-23T19:46:59.603"
"Queja","Queja","Registrado","COLOMBIA","CALDAS","MANIZALES","Proc Primera Distrital","2017-02-23T21:46:48.653"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-02-24T05:44:28.103"
"Reclamo","Reclamo","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-24T08:23:22.720"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Fusagasugá","2017-02-24T09:12:38.757"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-24T09:47:20.547"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Cartagena","2017-02-24T09:50:10.433"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","LA GUAJIRA","RIOHACHA","Proc Regional Guajira","2017-02-24T10:08:05.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-02-24T10:08:10.623"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","LA UNION","Proc Regional Valle","2017-02-24T10:39:18.950"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sincelejo","2017-02-24T10:48:16.687"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Boyacá","2017-02-24T11:12:18.333"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Boyacá","2017-02-24T11:12:18.333"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cúcuta","2017-02-24T11:15:15.413"
"Queja","Queja","Registrado"," "," "," ","Proc Primera Distrital","2017-02-24T13:04:18.617"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Santafé de Antioquia","2017-02-24T13:59:32.820"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Oficina Jurídica","2017-02-24T14:23:22.100"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-24T14:24:34.900"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Oficina de Selección y Carrera","2017-02-24T14:25:32.037"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Barranquilla","2017-02-24T14:35:58.487"
"Reclamo","Reclamo","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-24T14:46:07.267"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","CUNDINAMARCA","CHIA","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-02-24T14:56:54.013"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-24T15:32:28.597"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Guaviare","2017-02-24T15:32:28.597"
"Queja","Queja","Registrado","COLOMBIA","CESAR","VALLEDUPAR","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-24T15:43:14.810"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Administrativa y Judicial   ","2017-02-24T15:49:59.933"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 1 Delegada Para La Vigilancia Administrativa","2017-02-24T15:49:59.933"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Veeduría","2017-02-24T15:49:59.933"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-02-24T15:49:59.933"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-24T16:19:32.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Atlántico","2017-02-24T16:29:11.167"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sincelejo","2017-02-24T16:39:12.300"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Santander","2017-02-24T16:57:47.827"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Barrancabermeja","2017-02-24T17:56:32.910"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Pr. División de Relacionamiento con el ciudadano","2017-02-24T18:43:06.880"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ATLANTICO","BARRANQUILLA","Procuraduría Auxiliar para Asuntos Constitucionales","2017-02-24T19:33:49.097"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ATLANTICO","BARRANQUILLA","Procuraduría Delegada para Asuntos Civiles y Laborales","2017-02-24T21:43:19.060"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Amagá","2017-02-24T21:54:50.357"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-02-27T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-27T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Casanare","2017-02-27T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","División Centro de Atención al Público  - CAP","2017-02-27T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-02-27T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-27T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Valle del Aburrá","2017-02-27T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Chiquinquirá","2017-02-27T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Popayán","2017-02-27T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","SANTANDER","MALAGA","Procuraduría Delegada para las Entidades Territoriales y Diálogo Social","2017-02-27T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Pereira","2017-02-27T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Bolívar","2017-02-27T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-02-27T00:00:01.000"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","SIBATE","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-27T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CORDOBA","MONTERIA","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-02-27T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial San Gil","2017-02-27T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Guajira","2017-02-27T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Provincial Villavicencio","2017-02-27T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Santafé de Antioquia","2017-02-27T08:59:20.290"
"Queja","Queja","Registrado"," "," "," ","Proc Primera Distrital","2017-02-27T09:16:27.537"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Regional Santander","2017-02-27T09:44:10.497"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-02-27T11:15:10.120"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Oficina de Selección y Carrera","2017-02-27T11:15:35.497"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Fusagasugá","2017-02-27T11:36:42.183"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Fusagasugá","2017-02-27T11:48:47.053"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","División de Relacionamiento con el Ciudadano","2017-02-27T11:48:47.053"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-02-27T11:48:47.053"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-02-27T12:43:09.287"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-27T12:44:30.330"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Constitucionales","2017-02-27T12:54:39.683"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Proc Primera Distrital","2017-02-27T13:21:16.840"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-27T13:49:51.427"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-02-27T14:44:33.937"
"Queja","Queja","Registrado"," "," "," ","Veeduría","2017-02-27T15:39:27.823"
"Queja","Queja","Registrado"," "," "," ","Proc Primera Distrital","2017-02-27T16:01:19.567"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Sta. Rosa de Viterbo","2017-02-27T16:01:34.793"
"Solicitud de información con identificación reservada","Solicitud de información con identificación reservada","Registrado"," "," "," ","Procuraduria Delegada para la Defensa del Patrimonio Público, la Transparencia y la Integridad    ","2017-02-27T16:23:21.197"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para Asuntos Civiles y Laborales","2017-02-27T16:41:57.887"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Provincial Ipiales","2017-02-27T16:46:03.620"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-02-27T16:54:47.130"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-02-27T17:31:32.357"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","HUILA","NEIVA","Proc Provincial Garzón","2017-02-27T18:38:05.357"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","TOLIMA","IBAGUE","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-27T20:19:44.017"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","PUTUMAYO","PUERTO ASIS","Proc Regional Putumayo","2017-02-27T21:25:47.850"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Santander","2017-02-27T21:36:23.257"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","BOGOTA D.C.","Procuraduría Delegada para Asuntos Ambientales y Agrarios","2017-02-27T22:19:31.720"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","BOGOTA D.C.","<b>Grupo de Asesores en Minas, Hidrocarburos y Regalías</b>-(desactivado)","2017-02-27T22:19:31.720"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","DESPACHO PROCURADOR GENERAL","2017-02-28T07:47:32.690"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Secretaría Privada","2017-02-28T07:47:32.690"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Buga","2017-02-28T07:53:32.770"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-02-28T08:17:45.920"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-02-28T09:31:00.980"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Procuraduría Delegada para las Entidades Territoriales y Diálogo Social","2017-02-28T10:21:56.767"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-28T10:37:07.620"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","TOLIMA","IBAGUE","Proc Primera Distrital","2017-02-28T10:43:01.027"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-02-28T11:01:13.917"
"Queja","Queja","Registrado","COLOMBIA","CUNDINAMARCA","SUBACHOQUE","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-28T11:02:38.717"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Tunja","2017-02-28T11:16:46.947"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-02-28T11:32:39.197"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-02-28T11:59:13.447"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-02-28T12:07:58.567"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","<b>Grupo de Trabajo de Apoyo Nacional a la Comisión de Control y Asuntos Electorales-(desactivado)","2017-02-28T12:09:18.130"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Comisión Nacional Asuntos Electoral","2017-02-28T12:09:18.130"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Cauca","2017-02-28T12:24:08.563"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Facatativá","2017-02-28T12:29:33.793"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-02-28T12:37:39.927"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Regional Antioquia","2017-02-28T12:52:12.913"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Vélez","2017-02-28T13:07:13.783"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Vélez","2017-02-28T13:14:39.367"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Vélez","2017-02-28T13:25:01.653"
"Reclamo","Reclamo","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Constitucionales","2017-02-28T13:34:29.293"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Vélez","2017-02-28T13:37:38.717"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Bucaramanga","2017-02-28T13:44:37.707"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Proc Provincial Cali","2017-02-28T13:49:34.367"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-02-28T13:57:15.153"
"Reclamo","Reclamo","Registrado","COLOMBIA","VALLE DEL CAUCA","CARTAGO","División de Relacionamiento con el Ciudadano","2017-02-28T13:58:44.387"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Vélez","2017-02-28T13:59:25.950"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-28T14:08:22.817"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-02-28T14:14:34.580"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Proc Provincial Cali","2017-02-28T14:21:36.570"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Bucaramanga","2017-02-28T14:26:02.307"
