"tipooficina","pa_s","pa_s_iso3","localizaci_n_oficina","ciudad","nombre","oficina_c_digo","correo_electr_nico","direcci_n","telefonos"
"CONSULADO","KENIA","KEN","
,  
(-0.023559, 37.906193)","NAIROBI","C. NAIROBI","KENNAI","CNAIROBI@CANCILLERIA.GOV.CO","GIGIRI COURT, OFF UN CRESCENT HOUSE 50.","254 020 2486969"
"CONSULADO","COREA, REPUBLICA DE","KOR","
,  
(35.907757, 127.766922)","SEOUL","C. SEUL","KORSEU","CSEUL@CANCILLERIA.GOV.CO","11 FLOOR, KYOBO LIFE INSURANCE BLDG, 1, JONGNO - 1GA, JONGNO - GU, SEOUL, KOREA (110-714)","82 2 7201369"
"CONSULADO","LIBANO","LBN","
,  
(33.854721, 35.862285)","BEIRUT","C. BEIRUT","LBNBEI","CBEIRUT@CANCILLERIA.GOV.CO","EDIFICIO SARKIS GROUP, ZALKA AMARET CHALHOUB, PISO 8","961 4712646-4712647"
"CONSULADO","MARRUECOS","MAR","
,  
(31.791702, -7.09262)","RABAT","C. RABAT","MARRAB","CRABAT@CANCILLERIA.GOV.CO","(NO REGISTRA)","212 (0) 537 751 768"
"CONSULADO","MEXICO","MEX","
,  
(23.634501, -102.552784)","CANCUN","C. CANCUN","MEXCAN","CCANCUN@CANCILLERIA.GOV.CO","AVENIDA SAYIL ESQUINA AVENIDA SAVIGNAC, MALECÓN TA","+52 998 500 7020"
"CONSULADO","MEXICO","MEX","
,  
(23.634501, -102.552784)","GUADALAJARA","C. GUADALAJARA","MEXGUA","CGUADALAJARA@CANCILLERIA.GOV.CO","AVENIDA ACUEDUCTO 4851. PISO 10. INTERIOR 2 Y 4. E","(33) 2001 6666 (33)"
"CONSULADO","MEXICO","MEX","
,  
(23.634501, -102.552784)","CIUDAD DE MEXICO","C. MEXICO","MEXMEX","CMEXICO@CANCILLERIA.GOV.CO","PASEO DE LA REFORMA N° 379, PISO 1, COL. CUAUHTÉMOC, DELEGACIÓN CUAUHTÉMOC, C.P. 06500, MÉXICO D.F","5255 55110309/5255"
"CONSULADO","MALASIA","MYS","
,  
(4.210484, 101.975766)","KUALA LUMPUR","C. KUALA LUMPUR","MYSKUA","CKUALALUMPUR@CANCILLERIA.GOV.CO","BUSINESS SUITE 19A28-2, LEVEL 28, U.O.A. CENTRE - JALAN PIGNAN 50450 KUALA LUMPUR MALASIA","60 3 21645488"
"CONSULADO","NICARAGUA","NIC","
,  
(12.865416, -85.207229)","MANAGUA","C. MANAGUA","NICMAN","CMANAGUA@CANCILLERIA.GOV.CO","SANTO DOMINGO, ALTOS DEL MIRADOR, 1 CUADRA AL SUR 1 CUADRA AL ESTE, 40 MTS AL SUR, CASA 52. MANAGUA","505 2762149 - 2760864"
"CONSULADO","PAISES BAJOS","NLD","
,  
(52.132633, 5.291266)","AMSTERDAM","C. AMSTERDAM","NLDAMS","CAMSTERDAM@CANCILLERIA.GOV.CO","HERENGRACHT 444-II; 1017 BZ AMSTERDAM, NEDERLAND","312 03050111"
"CONSULADO","NORUEGA","NOR","
,  
(60.472024, 8.468946)","OSLO","C. OSLO","NOROSL","COSLO@CANCILLERIA.GOV.CO","OSCARS GATE 34 0258 OSLO, NORUEGA","47 23120150"
"CONSULADO","NUEVA ZELANDA","NZL","
,  
(-40.900557, 174.885971)","AUCKLAND","C. AUCKLAND","NZLAUC","CAUCKLAND@CANCILLERIA.GOV.CO","LEVEL 16, 191 QUEEN STREET, AUCKLAND, 1010","(NO REGISTRA)"
"CONSULADO","PANAMA","PAN","
,  
(8.537981, -80.782127)","CIUDAD DE PANAMA","C. PANAMA","PANCIU","CPANAMA@CANCILLERIA.GOV.CO","CONDOMINIO POSADA DEL REY, PLANTA BAJA, VÍA ITALIA, PAITILLA, FRENTE AL HOTEL PLAZA PAITILLA INN","507 2233535 - 2640915"
"CONSULADO","PANAMA","PAN","
,  
(8.537981, -80.782127)","COLON","C. COLON","PANCOL","CCOLON@CANCILLERIA.GOV.CO","COLON 2000 LOCAL 61 PRIMER PISO","507 4418057"
"CONSULADO","PANAMA","PAN","
,  
(8.537981, -80.782127)","PUERTO OBALDIA","C. PUERTO OBALDIA","PANPUE","CPUERTOOBALDIA@CANCILLERIA.GOV.CO","CALLE PRINCIPAL CONSULADO DE PUERTO OBALDIA PANAMA","507 2999449"
"CONSULADO","PERU","PER","
,  
(-9.189967, -75.015152)","IQUITOS","C. IQUITOS","PERIQU","CIQUITOS@CANCILLERIA.GOV.CO","CALLE CALVO DE ARAUJO NO. 431","65231461"
"CONSULADO","PERU","PER","
,  
(-9.189967, -75.015152)","LIMA","C. LIMA","PERLIM","CLIMA@CANCILLERIA.GOV.CO","AVENIDA JOSÉ PARDO N° 432/434, EDIFICIO LIT ONE, OFICINAS 102-103, MIRAFLORES, LIMA","51 1 4416922 - 4410530"
"CONSULADO","FILIPINAS","PHL","
,  
(12.879721, 121.774017)","MANILA","C. MANILA","PHLMAN","CFILIPINAS@CANCILLERIA.GOV.CO","40TH STREET, INOZA TOWER - 14TH FLOOR, BONIFACIO GLOBAL CITY, TAGUIG CITY, METRO MANILA, 1630","+63(02) 9035397"
"CONSULADO","POLONIA","POL","
,  
(51.919438, 19.145136)","VARSOVIA","C. VARSOVIA","POLVAR","CVARSOVIA@CANCILLERIA.GOV.CO","UL. ZWYCIEZCÓW 29, POSTAL CODE 03-936 WARSZAWA, POLAND","48 22 6177157"
"CONSULADO","PORTUGAL","PRT","
,  
(39.399872, -8.224454)","LISBOA","C. LISBOA","PRTLIS","CLISBOA@CANCILLERIA.GOV.CO","AVENIDA FONTES PEREIRA DE MELO NO. 16-6 . LISBOA, PORTUGAL. CÓDIGO POSTAL 1050-121","351 213188486"
"CONSULADO","PARAGUAY","PRY","
,  
(-23.442503, -58.443832)","ASUNCION","C. ASUNCION","PRYASU","CASUNCION@CANCILLERIA.GOV.CO","CALLE PAPA JUAN XXIII, ESQUINA CECILIO DA SILVA, PISO 4°","229-889, 229-888,214-775,0985216018"
"CONSULADO","FEDERACION DE RUSIA","RUS","
,  
(0.0, 0.0)","MOSCU","C. MOSCU","RUSMOS","CMOSCU@CANCILLERIA.GOV.CO","ULITSA BURDENKO, 20, 119121, MOSCÚ RUSIA","7 499 2483042"
"CONSULADO","SINGAPUR","SGP","
,  
(1.352083, 103.819836)","SINGAPUR","C. SINGAPUR","SGPSGP","CSINGAPUR@CANCILLERIA.GOV.CO","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","EL SALVADOR","SLV","
,  
(13.794185, -88.89653)","SAN SALVADOR","C. SAN SALVADOR","SLVSAN","CSANSALVADOR@CANCILLERIA.GOV.CO","CALLE LA MASCOTA NO. 923B, COLONIA MAQUILISHUAT, AVENIDA JERUSALÉN - CENTRO COMERCIAL LAS AZALEAS","503 22631947"
"CONSULADO","SUECIA","SWE","
,  
(60.128161, 18.643501)","ESTOCOLMO","C. ESTOCOLMO","SWEEST","CESTOCOLMO@CANCILLERIA.GOV.CO","ÖSTERMALSGATAN 44 PISO- 1 - 114 26 - ESTOCOLMO","46 8 218489"
"CONSULADO","TAILANDIA","THA","
,  
(15.870032, 100.992541)","BANGKOK","C. BANGKOK","THABAN","CBANGKOK@CANCILLERIA.GOV.CO","63 WIRELESS ROAD (WITTHAYU) ATHENEE TOWER, FLOOR 18, UNIT 1807 LUMPHINI, PATHUMWAN BANGKOK","(NO REGISTRA)"
"CONSULADO","TRINIDAD Y TOBAGO","TTO","
,  
(10.691803, -61.222503)","PUERTO DE ESPAÑA","C. PUERTO ESPAÑA","TTOPUE","CPUERTOESPANA@CANCILLERIA.GOV.CO","FOURTH FLOOR, NEWTOWN CENTRE, 30-36 MARAVAL ROAD, PORT OF SPAIN, TRINIDAD AND TOBAGO","(NO REGISTRA)"
"CONSULADO","TURQUIA","TUR","
,  
(38.963745, 35.243322)","ANKARA","C. ANKARA","TURANK","CANKARA@CANCILLERIA.GOV.CO","ABDULLAH CEVDET SOKAK NO. 4, ÇANKAYA/ANKARA","(NO REGISTRA)"
"CONSULADO","URUGUAY","URY","
,  
(-32.522779, -55.765835)","MONTEVIDEO","C. MONTEVIDEO","URYMON","CMONTEVIDEO@CANCILLERIA.GOV.CO","DR. JOSÉ SCOSERIA 2815, MONTEVIDEO URUGUAY","598 2 9157921 - 9161592 - 9161593"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","ATLANTA","C. ATLANTA","USAATL","CATLANTA@CANCILLERIA.GOV.CO","1117 PERIMETER CENTER WEST, EDIFICIO NORTE, CUARTO PISO, OFICINA N401, ATLANTA, GA 30338","1770 6680512-6680552-6680451 EXT 21 A 24"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","BOSTON","C. BOSTON","USABOS","CBOSTON@CANCILLERIA.GOV.CO","31 SAINT JAMES AVE. SUITE 960 BOSTON, MA 02116","1 617 5366222"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","CHICAGO","C. CHICAGO","USACHI","CCHICAGO@CANCILLERIA.GOV.CO","500 NORTH MICHIGAN AVENUE SUITE 1940 CHICAGO, IL 60611","1312 9231196 - 9239034 - 9239035 CONMUT"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","HOUSTON","C. HOUSTON","USAHOU","CHOUSTON@CANCILLERIA.GOV.CO","2400 AUGUSTA DRIVE, SUITE 400 HOUSTON, TEXAS 77057","1 713 5278919 /5279093"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","ORLANDO","C. ORLANDO","USAORL","CORLANDO@CANCILLERIA.GOV.CO","5850 T.G. LEE BOULEVARD, CITADEL 1 SUITE 260, ORLANDO FL 32822","(NO REGISTRA)"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","SAN FRANCISCO","C. SAN FRANCISCO","USASFR","CSANFRANCISCO@CANCILLERIA.GOV.CO","595 MARKET STREET, SUITE 1190, SAN FRANCISCO, CA 94105","1 415 4957195 - 4957196 - 4953450"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","BARINAS","C. BARINAS","VENBAR","CBARINAS@CANCILLERIA.GOV.CO","CRUCE AVENIDA LOS LLANOS CON AVENIDA UNIVERSIDAD CASA 247 SECTOR ALTO BARINAS SUR","58 273 5525026"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","BARQUISIMETO","C. BARQUISIMETO","VENBQU","CBARQUISIMETO@CANCILLERIA.GOV.CO","AVENIDA LOS LEONES, CALLE 2, EDIFICIO TORRE MILENIUM, PISO 8 OFICINA 8-8 - BARQUISIMETO","58251 2543602 - 58251 2543611"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","LOS ANGELES","C. LOS ANGELES","USALAN","CANGELES@CANCILLERIA.GOV.CO","8383 WILSHIRE BOULEVAR,SUITE 420 BEVERLY HILLS, CALIFORNIA 90211","1 323 6534299/6539863"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","MIAMI","C. MIAMI","USAMIA","CMIAMI@CANCILLERIA.GOV.CO","280 ARAGON AVENUE, CORAL GABLES FLORIDA 33134","1305 4485558 - 4488402- 4411235"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","NEWARK","C. NEWARK","USANWK","CNEWARK@CANCILLERIA.GOV.CO","550 BROAD STREET, PISO 15, NEWARK, NJ, 07102","(NO REGISTRA)"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","NEW YORK","C. NUEVA YORK","USANWY","CNUEVAYORK@CANCILLERIA.GOV.CO","10 EAST 46TH STREET NEW YORK, NY 10017","1212-7989000/9017/9031/9048"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","SAN JUAN","C. SAN JUAN PTO RICO","USASJU","CSANJUAN@CANCILLERIA.GOV.CO","2 AVENIDA PONCE DE LEÓN, EDIFICIO MERCANTIL PLAZA, OFICINA 814 SAN JUAN, PUERTO RICO 00918","1 787 7546885 - 7546899 - 2968018"
"CONSULADO","ESTADOS UNIDOS","USA","
,  
(37.09024, -95.712891)","WASHINGTON DC","C. WASHINGTON","USAWAS","CWASHINGTON@CANCILLERIA.GOV.CO","1724 MASSACHUSETTS AVE NW SEGUNDO PISO, WASHINGTON D.C. 20036","1202 3327476 - 3327573"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","CARACAS","C. CARACAS","VENCAR","CCARACAS@CANCILLERIA.GOV.CO","CALLE GUACAIPURO ENTRE PLAZA LUIS BRIÓN Y AVENIDA CASANOVA, SECTOR CHACAITO URBANIZACIÓN EL ROSAL","58 212 9513631 - 9522992 - 9513758"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","EL AMPARO","C. EL AMPARO","VENELA","CELAMPARO@CANCILLERIA.GOV.CO","URBANIZACIÓN RAUL LEONI, CASA QUINTA LOS CHAPARRO, EL AMPARO ESTADO APURE.","58 278 3335067 CELULAR:04262772504"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","MACHIQUES","C. MACHIQUES","VENMAC","CMACHIQUES@CANCILLERIA.GOV.CO","AV. JOVINIANO SÁNCHEZ DIAGONAL IGLESIA DE SAN BENITO MACHIQUES VENEZUELA","5826 34732139"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","MARACAIBO","C. MARACAIBO","VENMAR","CMARACAIBO@CANCILLERIA.GOV.CO","AVENIDA 17 BARALT, CALLE 69A # 17 - 64, SECTOR PARAISO","582 61 7916891 - 7927090 - 7926916"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","MERIDA","C. MERIDA VEN","VENMER","CMERIDA@CANCILLERIA.GOV.CO","FINAL AVENIDA UNIVERSIDAD QUINTA NOEVIA CASA NO. 80 SECTOR VUELTA DE LOLA ,MERIDA - VENEZUELA","58274 2623105"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","PUERTO AYACUCHO","C. PUERTO AYACUCHO","VENPAY","CPUERTOAYACUCHO@CANCILLERIA.GOV.CO","URBANIZACION ARAMARE CALLE YAPACANA QUINTA BEATRIZ CASA NO. 05","58 248 5210789"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","PUERTO LA CRUZ","C. PUERTO LA CRUZ","VENPCZ","CPUERTODELACRUZ@CANCILLERIA.GOV.CO","CALLE LIBERTAD, EDIFICIO TORRE UNIÓN, PISO 3 OFICINA 3-4 PUERTO LA CRUZ, VENEZUELA","58281 2685787"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","PUERTO ORDAZ","C. PUERTO ORDAZ","VENPUE","CPUERTOORDAZ@CANCILLERIA.GOV.CO","URBANIZACION RORAIMA CALLE HUMBODT MANZANA 3 CASA 47 ALTA VISTA SUR","58 286 9616511 - 9616033"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","SAN ANTONIO DE TACHIRA","C. SAN ANT DE TACHIRA","VENSAT","CSANANTONIODELTACHIRA@CANCILLERIA.GOV.CO","CARRERA 20 ENTRE CALLES 3 Y 4, MIRANDA, SAN ANTONIO DEL TÁCHIRA.","58 276 7715890"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","SAN CRISTOBAL","C. SAN CRISTOBAL","VENSCR","CSANCRISTOBAL@CANCILLERIA.GOV.CO","CARRERA 2 NO. 7 - 61 URB. MERIDA - SAN CRISTÓBAL, ESTADO TÁCHIRA","58276 3471960"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","SAN CARLOS DEL ZULIA","C. SAN CARLOS DE ZULIA","VENSCZ","CSANCARLOSDEZULIA@CANCILLERIA.GOV.CO","CALLE 2 CASA NO. 1 - 15 SAN CARLOS DE ZULIA - VENEZUELA","58 27 55554993"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","SAN FERNANDO DE ATABAPO","C. SAN FNDO ATABAPO","VENSFA","CSANFERNANDODEATABAPO@CANCILLERIA.GOV.CO","CALLE ORINOCO, BARRIO NUEVO MÉXICO, CASA SEÑOR GIL DANTAS EN SAN FERNANDO DE ATABAPO","58248 5411114 / 5411041 / 5411156"
"CONSULADO","VENEZUELA","VEN","
,  
(6.42375, -66.58973)","VALENCIA","C. VALENCIA VEN","VENVAL","CVALENCIAVENEZUELA@CANCILLERIA.GOV.CO","AVENIDA BOLÍVAR NORTE LOCAL NO. 108-118 SECTOR SAN JOSÉ, VALENCIA, ESTADO CARABOBO","58241 82270229 - 8246976"
"CONSULADO","VIETNAM","VNM","
,  
(14.058324, 108.277199)","HANOI","C. HANOI","VNMHAN","CHANOI@CANCILLERIA.GOV.CO","CORNERSTONE BUILDING, PISO 14, 16 PHAN CHU TRINH,","+ 84 4 393 65318"
"CONSULADO","SUDAFRICA","ZAF","
,  
(-30.559482, 22.937506)","PRETORIA","C. PRETORIA","ZAFPRE","CPRETORIA@CANCILLERIA.GOV.CO","177 DYER ROAD, HILLCREST OFFICE PARK, WOODPECKER PLACE, 2ND FLOOR, HILLCREST, PRETORIA, 0083","27123420211"
