"nombre_punto_de_recolecci","direcci_n_punto_de_recolecci","ciudad","departamento","pa_s","categoria_residuo","tipo_residuo","nombre_residuo","ubicacion","horario","nombre_programa_posconsumo","persona_contacto","correo_electr_nico"
"DROGUERÍA HEEL SALITRE","Cra. 68d #23b-25, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6531365, -74.1114165)","SAB 08:00:00 a 18:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Universidad de Ciencias Aplicadas y Ambientales","Udca Campo Sur, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Bombillas","Fluorescentes compactas","Residuos de iluminación con mercurio","(4.7996385013791, -74.049489406915)","LUN,MAR,MIE,JUE,VIE 09:00:00 a 17:00:00","Lúmina","Indira Forero","coordinacion@lumina.com.co"
"Octava Brigada","Armenia, Quindío, Colombia","Armenia","Quindío","Colombia","Pilas","De todo tipo","Pilas","(4.5619258704782, -75.652610278946)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CORPOAMAZONIA","Cra. 11 #12-45, Leticia, Amazonas, Colombia","Leticia","Amazonas","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(-4.2108497, -69.9444472)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Makro Ibagué","Calle 83 # 4 - 72 Sur, Ibague, Tolima, Colombia","Ibagué","Tolima","Colombia","Llantas","Para buses","Llantas","(4.4307662, -75.1864253)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Tienda Carlos Duque","Girardota, Antioquia, Colombia","Girardota","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.3785277418505, -75.448046830411)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Red de Servicios Diamante","Carrera 19 Calle 11, Armenia, Quindío,Colombia","Armenia","Quindío","Colombia","Llantas","Para buses","Llantas","(4.5345264, -75.6762209)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Distri Gallego","Andes, Antioquia, Colombia","Andes","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(5.6559298763998, -75.877873013214)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"M. Sacramento","Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.234239473929, -75.545455104755)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Cal llantas","Calle 15 # 18 - 41, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Llantas","Para buses","Llantas","(3.4403258, -76.526059)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Energiteca Palace","Carrera 50 # 39 - 64, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Llantas","Para vehículos de carga","Llantas","(6.2405137684212, -75.571352876652)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"ÉXITO ARANJUEZ - MEDELLIN","Cl. 93 #48-72 a 48-90, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.285615261859, -75.555836971828)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Tu Llanta. Com Usaquen","Calle 116 # 70 C 49, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para buses","Llantas","(4.69897, -74.073477)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Drogueria Indegaal","Puerto Berrío, Antioquia, Colombia","Puerto Berrío","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.5019747111809, -74.418756359863)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"High Lights","Cra 51B, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Bombillas","Fluorescentes compactas","Residuos de iluminación con mercurio","(11.0044963, -74.8143788)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Lúmina","Indira Forero","coordinacion@lumina.com.co"
"UNIMINUTO CALLE 90","Cl. 90, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.7113559, -74.096616)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"VARIEDADESJUANCHIS","Cl. 131 #59a-1 a 59a-53, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.7224008820968, -74.070524212164)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Energiteca Medellín Palacé","Cl. 40 #48-1 a 48-97, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Baterías plomo ácido","Para carros","Baterías plomo ácido","(6.2405217673667, -75.571344830025)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Mac Johnson Controls Colombia SAS","Luis Fernando Londoño","carolina.alvarez.serrano@jci.com"
"Distribuidora De Llantas Canuma","Calle 35 Sur # 72 N 21, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para vehículos de carga","Llantas","(4.6189452979712, -74.143295178556)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"El progreso","Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.23112728794, -75.559725507935)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CARULLA PALMAS - MEDELLIN","Av. Las Palmas #18-1 a 18-105, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.2176466181457, -75.565145182539)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"CORPORACIÓN AUTÓNOMA REGIONAL DEL MAGDALENA","Av. El Libertador #26-101 a 26-217, Santa Marta, Magdalena, Colombia","Santa Marta","Magdalena","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(11.230798236504, -74.175541758791)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"Oscar Marin","Valencia, Córdoba, Colombia","Valencia","Córdoba","Colombia","Pilas","De todo tipo","Pilas","(8.2531344200913, -76.149910105835)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"ÈXITO BELLO","Dg. 51 #35-120, Bello, Antioquia, Colombia","Bello","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.3385162, -75.5434542)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Instituto del Torax","Cl. 57 #50a-37, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2556405, -75.565728)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"POLICÍA METROPOLITANA DEL VALLE DE ABURRÁ","Cl. 48 #45-58, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.2466207759246, -75.565975883467)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"TDA MERQUEDIARIO","Cra. 24 #45-3, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.96652, -74.7911327)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"EDIFICIO PARQUE LA LEONORA","Cra. 20 #52-41, Manizales, Caldas, Colombia","Manizales","Caldas","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(5.0649927, -75.4952264)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"CONJUNTO INMOBILIARIO GUATAPURI P.H.","Cl. 3 #12-157 a 12-411, Valledupar, Cesar, Colombia","Valledupar","Cesar","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(10.494492347894, -73.269032332099)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"Cacharreria alfa","Cra. 7 #4-24, Villagarzón, Putumayo, Colombia","Villagarzón","Putumayo","Colombia","Pilas","De todo tipo","Pilas","(1.0313889, -76.6179558)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"TIENDA LA COLONIA","Cra 13, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.9529652, -74.7718822)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"TIENDA","Cl. 9 #2-52 a 2-152, Simijacá, Cundinamarca, Colombia","Simijacá","Cundinamarca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(5.5076451845403, -73.855259388252)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Excell","Cl. 50 #50-80, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.24973, -75.5685326)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Tu llanta.com","Av Carrera 7A # 123 - 97, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para buses","Llantas","(4.6994470370323, -74.029087317791)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Garzon Narvaez S.A.S","Calle 12 # 81D - 03,Bogota","indefinido","indefinido","Colombia","Llantas","Para camionetas","Llantas","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"HOSPITAL DEPARTAMENTAL DE GRANADA","Cra. 5a, Granada, Meta, Colombia","Granada","Meta","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(3.5471118669728, -73.696936647755)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 00:00:00 a 23:00:00","Corporación Punto Azul","Daniela Duarte","coordinacion@puntoazul.com.co"
"SENA Complejo de Paloquemao Centro de Diseño y Metrologia","Cl. 15 #31-42, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Bombillas","Fluorescentes compactas","Residuos de iluminación con mercurio","(4.6166055, -74.0915012)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Lúmina","Indira Forero","coordinacion@lumina.com.co"
"MULTIDROGAS SANTA MONICA","CARRERA 16 No 18 - 02, Dosquebradas, Risaralda, Colombia","Santa Rosa de Cabal","Risaralda","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.8692723, -75.6238584)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"INDER","Cra. 66b #30a-15, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2325946, -75.5873396)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"FARMACIA SURTIFARMA","CARRERA 42 No. 29 - 14, Medellin, Antioquia, Colombia","Medellín","Antioquia","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(6.2353878, -75.554029)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Alcaldía de Rionegro","Cl. 49 #50-5, Rionegro, Antioquia, Colombia","Rionegro","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1531694, -75.3737855)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CORMACARENA","Cra. 35 #25-57, Villavicencio, Meta, Colombia","Villavicencio","Meta","Colombia","Llantas","Para buses","Llantas","(4.1397621, -73.6333033)","MIE,JUE 09:00:00 a 17:00:00","Ministerio Ambiente Desarrollo Sostenible","Sebastián Santa Moyano","servicioalciudadano@minambiente.gov.co"
"EDIFICIO ADVANCE","Cl. 99 #7A-77, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6797798, -74.0402865)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"La Turbina","Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2216667602655, -75.531264076196)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Variedades Deisy Plast","La Ceja, Antioquia, Colombia","La Ceja","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.0310569051998, -75.431746203705)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"LA 14 AVENIDA SEXTA","Cl. 30 Nte. #6 Norte-2 a 6 Norte-102, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(3.471907327434, -76.527283260049)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"Comunicaciónes y servicios","Cra. 20 Antioquia #18-80, La Ceja, Antioquia, Colombia","La Ceja","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.029985, -75.4315009)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Foto Montoya","Tarazá, Antioquia, Colombia","Tarazá","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(7.5811916144432, -75.399193523804)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Davis Care","Centro Alegre, Planeta Rica, Córdoba, Colombia","Planeta Rica","Córdoba","Colombia","Pilas","De todo tipo","Pilas","(8.1767749, -75.631844)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"SENA","Nechí, Antioquia, Colombia","Nechí","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(8.0964917203627, -74.777228222229)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CORPAMAG","Cra. 32 #32-201, Santa Marta, Magdalena, Colombia","Santa Marta","Magdalena","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(11.2307969, -74.1755441)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"ESTABLECIMIENTO PENITENCIARIO DE BUCARAMANGA","Cl. 45 #5-33 a 5-99, Bucaramanga, Santander, Colombia","Bucaramanga","Santander","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(7.111506046882, -73.132141615344)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Word Thecnology","Cra. 50 #45-55, El Santuario, Antioquia, Colombia","El Santuario","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1355177, -75.2679224)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"DROGUERÍA COLSUBSIDIO CENTRO COMERCIAL TINTAL","Av. Ciudad de Cali con Av. de las Américas, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6614525, -74.1338898)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Rines Y Llantas El Negro J","Carrera 23 # 8 - 40 Local 2 Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para carros","Llantas","(4.6051161697316, -74.09095807424)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"DISTRIBUIDORA COMERCIAL ABRAHAM DELGADO LTDA","Cra. 21b, Pasto, Nariño, Colombia","Pasto","Nariño","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(1.2126914, -77.2759778)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Autoservicios Fanny","Caldas, Antioquia, Colombia","Caldas","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.0509596805082, -75.62939878833)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Almacén Homecenter","Home Center Quinta de San Alejandrino, Santa Marta, Magdalena, Colombia","Santa Marta","Magdalena","Colombia","Pilas","De todo tipo","Pilas","(11.225411383037, -74.173677866132)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Autopacífico","Avenida 3 Norte # 2 F Norte 34, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Llantas","Para camionetas","Llantas","(3.4715087190416, -76.520817618524)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"ALCALDIA MUNICIPAL DE TUNJA","Cl. 19 #9-95, Tunja, Boyacá, Colombia","Tunja","Boyacá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(5.5319066, -73.3620203)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Automundial","Cl. 13 #47-67, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camionetas","Llantas","(4.6261909, -74.105093)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"CEDI Giron","Carrera 17 N 60 - 170, Girón, Santander, Colombia","Girón","Santander","Colombia","Llantas","Para buses","Llantas","(7.0796023353602, -73.16593431377)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"INVIMA - BOGOTA","Cl. 64 #9a-2 a 9a-78, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6498591360241, -74.061598042328)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Ferreteria J.J","San Jerónimo, Antioquia, Colombia","San Jerónimo","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.4392720204862, -75.729746867737)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CORFERIAS","Cra. 37 #24-25 a 24-69, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6294047691729, -74.090018835721)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"COLEGIO LA ENSEÑANZA","Cra. 67 #201-1 a 201-99, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Computadores","Portátiles","Computadores Portátiles O impresoras O perisféricos","(4.7816365169106, -74.052591984625)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"Tu llanta.com","Calle 72 # 20 - 90, Bogota","Bogotá","Bogotá","Colombia","Llantas","Para camionetas","Llantas","(4.6602878, -74.0630975)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"CAN","Cra. 54 #26-54, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6442729, -74.0942721)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"COLSUBSIDIO DROGUERIA CC IWOKA SOGAMOSO","Cra. 11 #21-60 a 21-78, Sogamoso, Boyacá, Colombia","Sogamoso","Boyacá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(5.7241120049803, -72.922720799847)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Colegio Bilingüe Buckingham","Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas","(4.7933256829283, -74.047655729669)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CARULLA AUTOPISTA 116","Ak 45 #116-34, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6998724, -74.054684)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"COLSUBSIDIO CALLE 26 SEGUNDO CONTENEDOR","Av. El Dorado #25-40, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6226816579924, -74.077639836987)","LUN,MAR,MIE,JUE,VIE,SAB 07:00:00 a 20:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"ECONOMÍA 652","Cra. 19 #19-6, Baranoa, Atlántico, Colombia","Baranoa","Atlántico","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(10.7948933, -74.9152118)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"SIKACOLOMBIA - TOCANCIPA","La Caro-Tocancipa, Tocancipá, Cundinamarca, Colombia","Tocancipá","Cundinamarca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.9474807572859, -73.947556947327)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"EDIFICIO SERVIVIENDA","Cra. 48 #95-87, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6855447, -74.0607152)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"MONKEY´S","Cra. 15 #77-5, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6639527, -74.0587807)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"EL PORVENIR","Cl. 36b #19d -35, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.957756865482, -74.789101572491)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Acostallantas S.A.","Carrera 42 # 24 a 25 , Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Llantas","Para vehículos de carga","Llantas","(6.2501074, -75.5765928)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"CENTRO COMERCIAL UNICO","Cl. 52 #3-1 a 3-173, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.4648621632285, -76.500997956128)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"CENTRO COMERCIAL SALITRE PLAZA","Cra. 68b #24-39, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6524113, -74.1093389)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
