"nombreestablecimiento","direccion","telefono","codigo_etc","internado","correo_electronico"
"TALLER DE PREESC PILATUNAS Y LETRAS                                                                 ","KR 53 A 3 A 20","2625162","JANETH FAJARDO ORTEGA",,"pilatunasyletras@terra.com                        "
"COL PSICOPEDAG PILARES DE LA PAZ                                                                    ","CL 90 SUR 5 C 31 ESTE","7686690","MARIA DEL PILAR TRIANA MENDEZ",,"pilaresdelapaz@hotmail.com"
"JARD INF PICARDIAS Y BURBUJAS                                                                       ","KR 51 2 A 64","7270737 / 5653964","ADRIANA RINCON GARCIA",," picarubur@hotmail.com"
"JARD INF EL RENACUAJO PASEADOR                                                                      ","CL 137 B 49 16","2714690","IRMA SAZA PORRAS",,"pgbaldaa@hotmail.com                              "
"LIC PEDAG ENRIQUE PESTALOZZI                                                                        ","CL 96 SUR 4 B 24 ESTE","5688446 -- 2001615","LIGIA PATRICIA TORRES MOLINA",,"pestalozzi98@hotmail.com"
"JARD INF PERSONITAS INGENIOSAS                                                                      ","CL 146 7 B 93","2582034 -- 6274579","NANCY ESPERANZA HERNANDEZ DE ORTIZ",,"personitasingeniosas@yahoo.com"
"JARDÍN INFANTIL PERSONITAS DEL MILENIO","KR 31 A BIS 4 15","4093792 -- 5062283 -- 5602283","JOHANNA PATRICIA GUTIERREZ HUERFANO",,"personitasdelmilenio@hotmail.com"
"GIMN  PEDAG VIDA Y SABER","CL 5 86 C 23","4038283","OMAIRA MEDINA GALLO",,"PERFIBELAIDES@YAHOO.ES   colegiovidaysaber@gmail.com"
"JARD INF PEQUEÑOS ENCANTOS                                                                          ","CL 154 19 A 29 ESTE","2584842 -- 2586986 -- 6152121","DIANA MERCELA RAMIREZ BOLIVAR",,"pequenosencantos@hotmail.com -- dianaramirezdirecciongeneral@hotmail.com -- preescolare@hotmail.com"
"JARD INF PEQUEÑAS MARAVILLAS                                                                        ","CL 8 A SUR 7 A 30","3280435","MARIA DEL CARMEN BENAVIDES ANDRES",,"pequemar96@hotmail.com"
"COLEGIO PENSAR ANDINO","CL 142 18 A 07","8628668 -- 8625360 -- 2581810","JUAN MANUEL RODRIGUEZ ESCOBAR",,"pensarandino@hotmail.com"
"COL MERCEDARIO SAN PEDRO NOLASCO                                                                    ","CL 68 18 14","2173003 / 2173213                                 ","JACK EDUARDO TOLOZA FERNANDEZ ",,"pedronolasco@tutopia.com"
"COL PEDRO DE HEREDIA                                                                                ","KR 18 B 56 09 SUR","2796142 -- 2799710","JORGE ELIECER AREVALO PINILLA",,"pedrodeheredia@etb.net.co"
"LIC PEDAGOGICO                                                                                      ","KR 20 68 31","2174469 / 2174209 ","MARTA LILIA ANTORVEZA RANGEL",,"pedagogicoliceo@hotmail.com"
"LIC  INF GOOFY                                                                                      ","CL 65 F SUR 78 C 32","7761739 / 7762538 / 7753157 /8045802","SANDRA PATRICIA SANTAMARIA OVALLE",,"pattysantaco@yahoo.com   directoragoofy@gmail.com                           "
"TALLER INF PATICOS DEL MAR                                                                          ","CL 165 A 54 C 96","6710336","CLAUDIA PATRICIA CELIS RINCON",,"paticosdelmar2010@yahoo.com -- "
"GIMN SUPER BABY                                                                                     ","CL 22 A 44 C 30","2699460 /2441351","SANDRA LILIANA SERRANO CORTES",,"patber27@yahoo.com                                "
"COL PASOS FIRMES                                                                                    ","KR 109 A 79 05","2280361 / 4334745                                 ","JANETTE CRISTINA GUTIERREZ TRIANA",,"pasosfirmes@hotmail.com                           "
"LIC MATERNO INF PASITOS AL FUTURO                                                                   ","DG. 3B NO.43-12","2373371 / 2015926                                 ","EDNA JEANET SOLANO VIRACACHA",,"pasitosalfuturo@hotmail.com                       "
"COLEGIO PARROQUIAL SAN ANDRES APOSTOL ","TV 68 G 44 31 SUR","2382113","PBRO. PEDRO JOSE RODRIGUEZ BALDION",,"parroquialsanandres@yahoo.es"
"COL PARROQ NSTRA SRA DEL ROSARIO                                                                    ","CL 23 G 111 96","2983585 -- 2671385","PADRE LUIS FERNANDO LEON ROBAYO",,"parroquialrosario@yahoo.es"
"LIC INF Y GUARD LOS TATICOS                                                                         ","CL 47 SUR 78 G 31","2996203 / 4509314","PAOLA ANDREA DIAZ RODRGUEZ",,"paoladiazrodriguez@yahoo.es"
"LIC CULT LAS AMERICAS                                                                               ","CR. 111 NO.137-14/16-44","6892650","ISABEL CRISTINA ROA PORRAS",,"palu2@laciudad.com                                "
"JARD INF MANITAS CREATIVAS ALEGRES                                                                  ","DG 45 SUR 54 A 40","7248004","NORA ESPERANZA HERNANDEZ",,"osoriocontabilidad@yahoo.es"
"JARDÍN INFANTIL OSITO DE MIEL","KR 80 ABIS 22 D 44","2951409 -- 2951881","NANCY HIBETH VARGAS AYALA",,"ositodemiel@etb.net.co"
"LIC CARMELITA                                                                                       ","KR 77 K 57 D 23 SUR","7804206 -- 7804270","ÓSCAR FERNANDO SÁNCHEZ NUÑEZ",,"oscarsanchez33@hotmail.com"
"COLEGIO MARIO LUIS RODRIGUEZ COBOS","KR 3 C ESTE 36 H 74 SUR","3124851088","EDWIN FERNANDO CAPERA GUTIERREZ",,"oscar89tc@hotmail.com"
"COL JOSE SANTOS GUTIERREZ                                                                           ","KR 98 23 H 26","7552841  --  7552842","LIGIA ALICIA IBAÑEZ DE VARGAS",,"oriamnajhasneu@hotmail.com                        "
"INST ORESTES SINDICI                                                                                ","CL 63 A SUR 70 G 84","7754882","JOSE DONATO CRIALES",,"orestesindici@yahoo.com"
"JARD INF JUGANDO CON LA PATITA DEYSI                                                                ","KR 81 A 74 A 00","4341147 / 2525004                                 ","MARIA TERESA BUCHELLY",,"onsanabria@tutopia.com                            "
"GIMN LOS CIPRESES                                                                                   ","CL 69 A 9 62","3475908","GRACIELA RODRIGUEZ POVEDA",,"omep_colombia@hotmail.com"
"CENT ESTUDIOS PSICOPEDAG                                                                            ","CL 69 A 9 62","3475908","GRACIELA RODRIGUEZ POVEDA",,"omep_colombia@hotmail.com"
"COL ENDRICH                                                                                         ","KR 107 70 A 36","4354155","RUBY STELLA ALFONSO PARRA",,"olgamariasr@hotmail.com                           "
"JARD INF OLAS DE ALEGRIA                                                                            ","KR 19 A 61 B 46","2490226 --3172856673","LUCERO CABRERA CUELLAR",,"olasdealegria@hotmail.com"
"NUEVO LIC GRANADINO                                                                                 ","KR 88 G 60 45 SUR","7769014 / 7771072                                 ","CESAR AUGUSTO BOHORQUEZ BERNATE",,"nvo_lic_granadino@hotmail.com                     "
"COL NSTRA SRA DE FATIMA POLINAL                                                                     ","DG 49 SUR 48 71","2702860 / 2301216 / 7130935 / 2707841 / 2702107   ","ADRIANA CAROLINA SEGURA BARACALDO",,"nusefa.dibie@policia.gov.co   nusefabt@hotmail.com                      "
"LIC  AYACUCHO                                                                                       ","KR 78 P BIS 33 A 15 SUR","2648328","NURY LEYVA QUINO",,"nury386@hotmail.com"
"COL NUMEROS Y LETRAS                                                                                ","KR 109 C 63 27","4359612","CLAUDIA PATRICIA CONTRERAS",,"numerosyletras@hotmail.com  colegionumerosyletras@hotmail.com                       "
"COL NSTRA SRA DE LAS VICTORIAS                                                                      ","KR 13 57 52 SUR","2798220 / 2690295 / 5686808                       ","HNA ANA MARIA CUBERO QUIROS",,"nugarte_p@hotmail.com                             "
"GIMN INF NUEVO VIVIR                                                                                ","KR 69 68 56","5421984","AMPARO RUBIANO LEON",,"nuevovivir22@hotmail.com                          "
"COLEGIO NUEVO SAN ANDRES DE LOS ALTOS (IED)","CL 69 SUR 2 B 15","7688210","LUIS ALFREDO RODRIGUEZ RODRIGUEZ",,"nuevosnandre5@gmail.com"
"COL NUEVOS CIUDADANOS DE MARANDU                                                                    ","CL 69 111 C 32","4407454","WILFER PERDOMO JARAMILLO",,"nuevosciudadanos26@gmail.com"
"COL NUEVO SAN LUIS GONZAGA                                                                          ","KR 92 150 61","6833554 / 6815208 / 6923003","JOSE DID CRUZ GUARIN",,"nuevosanluisgonzaga@tutopia.com   nuevosanluisgonzaga@hotmail.com                  "
"COL NUEVO PARAISO                                                                                   ","TV 79 A 6 A 41","2929321 / 4243842                                 ","MARTHA RUTH FALLA DE MARTÍNEZ",,"nuevoparaiso1994@yahoo.com"
"NUEVO LIC SANTA CLARA","KR 10 49 F 90 SUR","7608902 -- 2055591 -- 2796573","CLARA ISABEL ESPINOSA ROMERO",,"nuevoliceosantaclara@hotmail.com"
"NUEVO LIC ACADEMICO                                                                                 ","CL 8 SUR 68 F 17","4203088","ANA ROSA GORDILLO ROCHA",,"nuevoliceoacademico@hotmail.com"
"COL NUEVA CIENCIA                                                                                   ","CL 137 A 112 A 03","/5374585","MARYS STELLA BLANCO",,"nuevaciencia@tutopia.com                          "
"COL BILING NUEVA ALEJANDRIA                                                                         ","KR 80 B 25 C 16","2634453 -- 4297819","ANA MARLENE MEDRANO ROJAS",,"nuevaalejandria@hotmail.com"
"JARD INF CARRUSEL                                                                                   ","KR 6 57 33","2350350","EDELMIRA PIAMBA RUIZ",,"nuestrocarrusel@hotmail.com"
"LICEO Y PREESCOLAR NUESTRA SEÑORA DE LA LUZ","TV 52 C 1 02","7139348","LUZ STELLA CAICEDO DE GARZÓN",,"nuestrasradelaluz@yahoo.com"
"COL DE NSTRA SRA DEL PERPETUO SOCORRO                                                               ","CL 17 106 31","2671243 -- 5443963","RAFAEL LIBARDO GARCIA CIFUENTES",,"nsperpetuosocorro@hotmail.com -- milemanito@hotmail.com"
"GIMN PSICOPEDAG VILLA MADRIGAL (ANTES JARD INF MARAVILLOSO)","DG 76 A 96 A 52","4314530 -- 5489868 -- 3208996707","NORA NANCY RIVERA PUENTES",,"norarivera57@hotmail.com"
"CENTRO EDUCATIVO NOMADE-PROYECTO ARTISTICO AMBIENTAL","CL 29 A 34 A 39","3409693  / 3409694","CALDERON BELTRAN MIGUEL",,"nomade@etb.net.co"
"NUEVO LIC PSICOPEDAGOGICO                                                                           ","CL 35 C SUR 73 F 03","2731063 / 4542152                                 ","HERNEY DARIO RODRIGUEZ BARRAGAN",,"nlsicopedagogico@terra.com.co                     "
"JARDIN INFANTIL NIÑOS MAGICOS","CL 22 J 100 78","2670058","JUAN CAMILO MONCADA SUTACHAN",,"ninosmagficos@yahoo.es -- dianayate@gmail.com"
"INST NIÑOS CIEGOS FUND JUAN ANTONIO PARDO OSPINA","KR 8 A ESTE 12 30 SUR","2464539 -- 2463592 -- 2897302","MARTHA TIQUE GARCIA",,"ninosciegos@hotmail.com"
"JARDIN INFANTIL UNIVERSO MAGICO","KR 36 A 57 95","2218629 -- 5499072","NELLY STELLA GARAY REYES",,"nicolasa@unimagico.com -- nellystella1031@hotmail.com -- unimagico5@hotmail.com"
"JARD INF MANITAS FELICES                                                                            ","KR 112 A 71 L 22","2292932","MONICA AMPARO CUERVO MERCHAN",,"nenitacm@hotmail.com                              "
"COLEGIO NELSON MANDELA (IED)","KR 90 A 46 50 SUR","7833752  --  7833690","JORGE HELI OVALLE",,"nelson.mandela08030@gmail.com"
"INSTITUTO EDUCATIVO FUTURO HOY","KR 29 40 A 11","2699597","NELSY EDITH BEJARANO BEJARANO",,"nebejaranob@compensar.com"
"JARD INF UNIVERSO DEL SABER                                                                         ","CR. 49 BIS NO.11-39 SUR","2035946","OLGA LUCIA DIAZ ACOSTA",,"natamca@yahoo.com.ar                              "
"INST CONTINENTAL                                                                                    ","KR 102 A 75 B 04","2271187 /  4333163 /4420731 ","ELSY PATRICIA ZORRO SANCHEZ",,"myrosg@hotmail.com                                "
"COL MENDEZ                                                                                          ","KR 9 A 53 25 SUR","2795619 / 2795956                                 ","MYRIAM TERESA MENDEZ AGUILAR",,"myriamte26@hotmail.com                            "
"COL MUÑECOS Y FIGURAS                                                                               ","CR. 72K NO.38-47 SUR","2651836 / 5633039 / 2653563 /  2990187            ","NURY ESPERANZA BAUTISTA SILVA",,"munecos_figuras@hotmail.com                       "
"COL EMILIO VALENZUELA","KR 68 180 45","6792988","MANUEL ARTURO SAMPER ALUM",,"msamper@emiliovalenzuela.edu.co -- mramirez@emiliovalenzuela.edu.co"
"JARD INF MI PEQUEÑO MUNDO BARRETO GOMEZ Y CIA LTDA                                                  ","CL 131 77 04","2713638 -- 2713911 -- 2267914 ","MARIA MERCEDES GOMEZ DE MACALLISTER ",,"mpm@mipequenomundo.edu.co"
"COL ANTONIO VIVALDI                                                                                 ","CLL. 43 SUR NO.14-32","7608950 / 7141049 / 7908950                       ","PATRICIA MEJIA",,"mpmejia@007mundo.com                              "
"PREESC MOMENTOS FELICES                                                                             ","KR 113 82 08","4319821","CARMENZA GÓMEZ NUÑEZ",,"momentosfelices@starmedia.com  pmomentosfelices@yahoo.com                     "
"JARD INF EMBRIOLOGIA DEL SABER","CL 135 49 34","4007307 -- 5205235","AIDA MARCELA RODRIGUEZ TORRES",,"moliararoto@hotmail.com -- jiembriologiadelsaber.edu@hotmail.es"
"COLEGIO MARIO LUIS RODRIGUEZ COBOS","CL 47 SUR 26 55","3125688933","MANUEL GONZALO SEGURA BEJARANO",,"mlrcoboscaclaret@coneidhu.org  --  adrinino84@hotmail.com"
"COL SANTA MARIA                                                                                     ","KR 11 185 B 17","6714440 -- 3788481","MARIA JOSE ZULETA GONZALEZ",,"mjzuleta@csm.edu.co -- rectora@csm.com"
"JARD INF MI TALLERCITO MYRIAM T                                                                     ","CLL. 75 NO.72-63","2513593","MIRIAM TOVAR CUERVO",,"MiTallercito1@starmedia.com                       "
"JARDÍN INFANTIL MIS PEQUEÑAS TRAVESURAS","KR 16 8 43 SUR","4652898","NIDIA CRISTINA GONZALEZ SANCHEZ",,"mistravesuras_17@hotmail.com"
"JARD INF MIS PRIMEROS TRAZOS                                                                        ","CL 72 C SUR 78 B 66","7823017","MARIA CONSUELO MARTINEZ PORRAS",,"misprimerostrazos@gmail.com"
"JARD INF MIS BUHITOS                                                                                ","KR 109 79 26","2276711","AURA LUCILA MUNOZ",,"mis_buhitos@hotmail.com                           "
"GUARD Y JARD MIS ADORABLES BEBES","CL 71 C 91 A 67","2244232 -- 2528653","SANDRA INES RAMIREZ LEAL",,"misadorablesbebes@yahoo.es -- luigui629@hotmail.es"
"LIC INF MI MUNDO IDEAL                                                                              ","TV 52 A 2 59","2034586","DORIS HELENA CARVAJAL GARCIA",,"mimundoideal@hotmail.com -- w.daza.m@hotmail.com"
"MIMOSITOS LICEO INFANTIL","KR 72 7 C 59","2921593","DORIS LIBIA RUBIANO",,"mimositosdoris@hotmail.com"
"COL SAN TARSICIO                                                                                    ","CL 169 B 62 30","6711819 -- 6711584","JUAN ANTONIO RODRÍGUEZ FLÓREZ",,"mimoreno@santarsicio.edu.co"
"JARD INF LA MAGIA DEL AMOR                                                                          ","CR. 96 NO. 152 A 75","684 05 36                                         ","ANA ELIZABETH BONILLA GELVEZ",,"mimoliza2002@yahoo.com   josein05@yahoo.com       "
"GIMN MODERNO JOHN ENDERS                                                                            ","CL 128 C 119 C 07","6879953","LUZ MIRIAM ARIAS GARZON",,"miloton@hotmail.com"
"LIC INTEGRAL SAN AGUSTÍN","KR 1 ESTE 26 23 SUR","8044974","CLAUDIA JEANETH DUSSAN GOMEZ",,"milisa2@yahoo.es -- secrelisa15@hotmail.com"
"GIMN EDUC CUNDINAMARCA                                                                              ","KR 99 A 134 13","6811995","MILENE CELY AYALA",,"milene.14@hotmail.com"
"LICEO MI INFANCIA CREATIVA","TV 79 B 68 C 34 SUR","7771235","SARA FELICIA PIZARRO GONZÁLEZ",,"miinfanciacreativa@hotmail.com"
"COL MIGUEL ANGEL ASTURIAS                                                                           ","KR 78 D 59 A 18 SUR","7779234 / 7779202 /  7756815","MARIA LIGIA TUNJO",,"miguelasturias@hotmail.com"
"JARD INF MI GRAN AMIGO BILINGÜE                                                                     ","KR 52 132 62","2713710","MARTHA CECILIA PARRA MORALES",,"migrambi@hotmail.com   migranamigobilingue1@yahoo.com.co                             "
"JARDIN INFANTIL MI DULCE GIMNASIO","CR. 55 C NO. 171 - 36 ","4818414","EDGAR IVAN SEGURA SEGURA",,"midulcegimnasio@yahoo.com"
"JARD INF MI DULCE ENCUENTRO                                                                         ","KR 19 A 63 60","2492740","NURY GALAN DE OLAYA",,"midulceencuentro@hotmail.com                      "
"COL BILING MICHELINES SCHOOL                                                                        ","CL 106 A 43 04","2711261 / 6245250                                 ","MICHELINE PARRA NIETO",,"michelineschool@tutopia.com                       "
"COLEGIO MI BELLA ANGELITA","KR 3 A 11 80 SUR","2334540 -- 2462422","DIANA ALEJANDRA ORJUELA SAENZ",,"mibellangelita2@yahoo.es -- maryuvela@yahoo.es -- andrea_giraldov@yahoo.com"
"COL MAYOR DE NSTRA SRA DEL ROSARIO                                                                  ","AUTOP. NORTE KM. 12 VIA LOS ARRAYANES KM.3","6761809 /  6761199 / 6761401                      ","MARIA ANA HENAO DE FORERO",,"mhenao@urosario.edu.co                            "
"LIC DIANA PAOLA                                                                                     ","TR. 49 NO.4-98","2623406","CEILA VASQUEZ",,"mfcardenas@uol.com.co                             "
"JARD INF TRAVESURAS DE JOSELITO                                                                     ","CR. 90B NO.90-08","4365472","LUZ MERY GUEVARA SUAREZ",,"meryguevarasuarez@hotmail.com                     "
"COLEGIO MERCANTIL","CL 139 101 D 06","6847290 / 5355988","SANDRA PATRICIA ROA JIMÉNEZ",,"mercantilsuba@hotmail.com"
"GIMN CRISTIANO SHEKINAH                                                                             ","TV 15 69 A 32","2124631  / 2172018  ","LEOPOLDO CANAS ANDRADE",,"meal64@hotmail.com                                "
"LIC EL MUNDO DE LOS NIÑOS                                                                           ","CR. 80B NO. 48 A 36 SUR","2931701","MARIA CRISTINA VEGA HURTADO",,"mcrisvegah @yahoo.es                              "
"JARD INF FORTALEZA DEL SABER                                                                        ","CR. 70 NO.51-32","2631063 / 2636544                                 ","MYRIAM CAROLINA MEDINA REY.",,"mcmrey@yahoo.com                                  "
"GIMNASIO MAYOR DE OCCIDENTE","CL 67 B BIS 111 23","5400607 -- 5436966 -- 5438063","JHONATTAN GARCIA LATORRE",,"mayordeoccidente@hotmail.com"
"COLEGIO RENE DESCARTES","CL 20 SUR 10 A 51","6054649","ANDERSON SALCEDO VALLE",,"maxtil1989@hotmail.com"
"LIC MAX PLANCK                                                                                      ","CL 81 A SUR 1 C 22 ESTE","7627313","LUIS HERNAN BARRIGA SALAMANCA",,"maxplanck_1enbogota@hotmail.com"
"COL BLAISE PASCAL                                                                                   ","CL 27 SUR 39 B 09","2028394","MARY GUERRERO BALLEN",,"maryguerrero8@hotmail.com -- libiroga@hotmail.com"
"COL CRISTIANO EL PACTO                                                                              ","CL 78 SUR 40 05","7171447","MARLLY ROCIO ALVAREZ VERJEL",,"martinpacto@hotmail.com                           "
"LIC INF EL PORTAL DE LOS MUÑECOS                                                                    ","KR 112 F 79 A 48","4338728","MARTHA CECILIA  GRANADOS BAUTISTA",,"marthay_laurita@starmedia.com  miel15-@hotmail.com                    "
"JARD INF TALLER CREATIVO EL SEÑOR DON GATO                                                          ","CR. 66A NO.54-43","6322704 / 4100357                                 ","MARTHA MONTAÑEZ",,"marthamon@tutopia.com                             "
"JARD INF EL MAGICO MUNDO DE LOS NIÑOS                                                               ","KR 59 4 D 35","2602034","MARTHA LIBIA MAHECHA RODRIGUEZ",,"marthamahecha14@hotmail.com"
"COL NIÑOS DE COLOMBIA                                                                               ","CR. 72 NO.34- 54 MZ B 1 NUCLEO A","4160948","MARTHA YANETH ORDUZ A.",,"marthaluz@hotmail.com                             "
"JARD INF LA HORA DEL KINDER                                                                         ","CLL. 106 NO. 41-19","2530782 / 6434507                                 ","MARTHA LUCIA RAMIREZ",,"marthalu_kindertime@hotmail.com                   "
"JARD INF BAMBI DE MODELIA                                                                           ","KR 79 42 67","2636807","MARTHA LUCIA FORERO",,"marthaforero2002@yahoo.com                        "
"JARDÍN INFANTIL PAJARITOS CONSTRUCTORES","CL 87 A 92 A 16","2231232","MARTHA HELENA LEON GUERRERO",,"marlena-elena@hotmail.com"
"JARDÍN PSICOPEDAGÓGICO GOTICAS DE GENTE","DG 5 C 71 02",,"MARITZA PARRA RIVAS",,"maritzaparra10@hotmail.com"
"PREESC TRAVESIAS INFANTILES                                                                         ","KR 113 81 98","4318218","MARITZA BASTIDAS LINARES",,"marinfantiles@hotmail.com -- preescolartravesiasinfantiles@gmail.com"
"COLEGIO SAN GABRIEL","CL 22 F 85 05","4106981 -- 4106982","ELIZABETH RODRIGUEZ RINCON",,"maria_landines@hotmail.com - entregasprofes@hotmail.com"
"LIC NAVARRA                                                                                         ","CR. 76 NO.40A-70","4299506 / 2637614                                 ","MARIA ISABEL LIZARRAGA",,"mariaisabellizarraga@hotmail.com                  "
"GIMNASIO SAN ANGELO                                                                              ","CL 142 18 A 51","6760873 -- 6686555 -- 2743191 -- 2580662","MARIA ISABEL ALVAREZ ISAZA",,"mariaisabel-gsarectora@hotmail.com -- balvarez_isaza@hotmail.com"
"LICEO HELEN MOR","CL 82 95 D 15 IN 109","2285774","ROSA ELENA MORALES DE URREGO",,"mariadelp2004@yahoo.es"
"COL MARIA ADELAIDA HOY                                                                              ","TV. 2A NO.51-29 SUR","7144494","RITA DEL CARMEN ANGARITA SISA",,"mariadelaidahoy@hotmail.com                       "
"CENT CIAL DE EDUC MEDIA MARGARITA BOSCO                                                             ","AC 63 73 A 44","7431279","SOR MARIA EUGENIA RODRIGUEZ RODRIGUEZ",,"margaritabosco@hotmail.com  secretaria@colegiomargaritab.com                       "
"GIMNASIO PEDAGOGICO PIAGET","KR 13 ESTE 42 A 26 SUR","3627207","MARIA EMMA ALARCON GONZALEZ",,"marealgonz@yahoo.es"
"ASPAEN GIMNASIO IRAGUA","AC 170 76 55","6679500","MARCELA ARIZA OLARTE",,"marcela.ariza@iragua.edu.co"
"LICEO MAYOR DE PALERMO","KR 3 51 B 17 SUR","7691646 -- 7677534","MARINA CASTELBLANCO CHACON",,"marcahac1014@yahoo.es"
"INST TEC CIAL MARMATOS (INST MODERNO BOSA)                                                          ","KR 78 C 73 B 36 SUR","7806174","CARMEN LUCIA SALINAS PAEZ",,"marbosa1@yahoo.es"
"LIC MARANATA                                                                                        ","DG 98 SUR 5 I 52 ESTE","7632616 -- 7733952","TOMASA RIVAS GIRON",,"maranata@007mundo.com"
"EXTERN SIMON BOLIVAR                                                                                ","KR 16 59 23","3456262 / 2499624  /7752890 / 7766506 ","EDWIN CANTOR",,"MANUELROAAVIL@hotmail.com   externadosimonbolivar.edu@hotmail.com                        "
"LIC MANANTIAL DE VIDA ETERNA                                                                        ","CL 37 SUR 49 A 30","7119325","SANDRA MILENA GOMEZ S.",,"manantliceo@hotmail.com                           "
"JARD INF MAMA ISABEL                                                                                ","KR 12 142 32","2747860 -- 2589451","SONIA ESPERANZA RAMIREZ BUITRAGO",,"mamaisabel01@yahoo.com"
"JARD INF INFANCIA CREATIVA                                                                          ","CL 19 S 10 A 66","2393531 / 4092825 / 2339919                       ","MARIA TERESA ESPINOSA DUARTE",,"maitespi@gmail.com"
"COL CIUDAD BOLIVAR                                                                                  ","KR 1 C 74 A 05 SUR","7620542","MARIA HILDA QUINTERO MEDINA",,"mahiquime@yahoo.com.mx"
"COL INST INSCAP SEDE FERIAS                                                                         ","AC 72 70 51","4366182 -- 4366183","MAGDALENA LEONOR CUBILLOS JIMENEZ",,"magdisrive@hotmail.com"
"LIC  INF LOS FUNDADORES                                                                             ","AV 1 DE MAYO 64 38","2600112 / 4038798                                 ","MARIA ELIZETH GARCIA QUINTERO",,"maelyga@yahoo.es"
"LIC PEDAG MADRIGAL                                                                                  ","TV 42 59 B 69 SUR","7162012","JULIA ELVIRA TORRES",,"madrigal.school@hotmail.com"
"COLEGIO GLENN DOMAN","CL 39 B BIS 28 A 59","2442261 -- 2684883","MARTHA LUCIA ACOSTA RODRIGUEZ",,"macosta2010@hotmail.com"
"JARD INF CASITA FELIZ                                                                               ","CL 150 13 33","5289305 -- 5284868","MARIA ALEJANDRA INFANTE LAMUS",,"ma.alejandra.infante@gmail.com -- marialejandra53@hotmail.com"
"INST PEDAG FUENTECITA DEL SABER                                                                   ","KR 18 C 52 55 SUR","2055257","LUZ MERY GUTIERREZ PARRA",,"luzmerygp@hotmail.com  fuentecitadelsaber@hotmail.com                             "
"COLEGIO LA AVENTURA DEL SABER","KR 72 42 B 05 SUR","7240555","NELLY JIMENEZ DAZA",,"luzmerycrd@hotmail.com"
"LICEO CRISTOBAL DE OLID","KR 79 BIS A 56 A 07 SUR","7009149","LUZ MERY AVILA DE CARDENAS",,"luzmerycrd@gmail.com -- ingridcard17@hotmail.com"
"LIC  LUTHER KING                                                                                    ","KR 83 B 50 59 SUR","2990770","VILMA AURORA MOSCOSO MENA",,"lutherking25@yahoo.com"
"NUEVO COL LUSADI                                                                                    ","CL 67 A BIS SUR 18 37","7651035 / 7911906                                 ","ADIELA PEREZ PORRAS ",,"lusadi_2003@hotmail.com"
"LIC PEDAG MONTFORTIANO                                                                              ","KR 53 B 47 12 SUR","2300299 -- 2049693","LUZ MERY REY CASTILLO",,"lu_me_re@hotmail.com -- nelson_herna@yahoo.com"
"GIMN SANTA MARIA DEL ALCAZAR                                                                        ","KR 79 64 C 48","4301551","YOLANDA ORTIZ DE RODRIGUEZ",,"Luluytby@col1.telecom.com.co  gimnasiosantamariadelalcazar@yahoo.com                     "
"JARD PSICOPEDAG LA PEQUEÑA LULU                                                                     ","CL 14 SUR 12 B 46","2722745","LUZ MARINA PEÑA ROJAS",,"lulu3514@hotmail.com -- luzmarinape@yahoo.es"
"COLEGIO AMANECER DE LUCES                                                                          ","KR 106 A 69 45","4358582","CARMEN INES ZORRO SANCHEZ",,"luisferzorro@yahoo.com"
"CENT PANAMERICANO DE CAPACITACION SEDE ESTRADA                                                      ","AC 72 61 33","2505770 -- 3123616215","FERNANDO ANTONIO VENEGAS MACIAS",,"luisalfonso3@yahoo.es - ferve2000@hotmail.com"
"COL POPULAR BOLIVARIANO                                                                             ","DG 64 BIS SUR 17 B 40","7908006 / 7656016                                 ","NELSON JAVIER CASTELLANOS",,"luisalbertoforero766@latinmail.com   colegiopopularbolivariano@hotmail.com                "
"JARD INF MI PEQUEÑO GRAN MUNDO                                                                      ","KR 50 A 174 A 33","6729513","CLAUDIA MARCELA SANCHEZ RAMIREZ",,"lucyacorrea@yahoo.com"
"COL VASCO NUÑEZ DE BALBOA                                                                           ","KR 16 B 65 A 20 SUR","7905253 / 7912491 /7901262","HUGO CASTILLO CORREDOR ",,"lucarta@starmedia.com colvasco@hotmail.com                             "
"LIC TERIOSKA                                                                                        ","CLL. 134 NO.40-07","2584775","ALBA MILENA JIMÉNEZ ESQUIVEL",,"lterioska@procesos-humanos.com.co                 "
"LIC SENDERO DEL SABER                                                                               ","KR 2 A ESTE 27 A 40 SUR","3637942","MARIA OLIVA SUAREZ RUIZ",,"lsssendero@hotmail.com"
"LIC SAN JORGE                                                                                       ","CL 55 10 25","2482173 -- 2482898","CARLINA MORENO DE CORONADO",,"lsj48@hotmail.com -- fannyalmenarez@hotmail.com"
"LIC SEGOVIA                                                                                         ","DG. 103 NO.61-41","2530750","MANUELA REY CERQUEIRO",,"lsegovia@cable.net.co                             "
"LIC DEL EJERCITO PATRIA SECTOR SUR C (SANTA BARBARA)                                                ","KM 3 VIA USME ESCUELA DE ARTILLERIA","7390682","HERMES DANIEL QUINTERO MIRANDA",,"lsbesart@gmail.com"
"LIC SANTA ANA DEL SUR                                                                               ","CL 75 SUR 10 42","3000245","LUIS HERNANDO CEPEDA MENDEZ",,"lsantaanadelsur@hotmail.com -- lsantaanadelsur@gmail.com"
"LIC PSICOPEDAG TIBABITA                                                                             ","KR 8 190 14","5101587","TOMAS OSORIO HERNANDEZ",,"lptibabita@hotmail.com"
