"proceso","tipo","nombre_del_activo_de_informaci","descripci_n_observaciones","idioma","oficina_o_rea","categor_as_o_series_de","soporte_y_medio_de_registro","medio_de_conservaci_n","formato","informaci_n_disponible","confidencialidad","disponibilidad","integridad","lugar_de_consulta_o_ubicaci","nombre_del_responsable_de","frecuencia_de_generaci_n","frecuencia_actualizaci_n","fecha_de_generaci_n_de_la","estado","fundamento_constitucional","fundamento_jur_dico_de_la","excepci_n_total_o_parcial","elemento_de_captura_de_datos","clasificaci_n_datos_personales","finalidad_de_recolecci_n","normatividad_proceso","mecanismo_de_declaraci_n","observaciones"
"Creación de instructivos para el desarrollo de los formatos  de tablas de retención documental","Información","Instructivos","Indicar los pasos para el diligenciamiento del formato de tabla de retención documental","Español","OFICINA DE PLANEACION","Instructivos","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Gestión Documental","Firma","No es necesario que esté firmado pero si actualizado"
"Creación de instructivos para el desarrollo de los formatos  del cuadro de clasificación documental","Información","Instructivos","Indicar los pasos para el diligenciamiento del formato de cuadro de clasificación documental","Español","OFICINA DE PLANEACION","Instructivos","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Gestión Documental","Firma","No es necesario que esté firmado pero si actualizado"
"Creación de instructivos para el desarrollo de los formatos  del cuadro de inventario documental","Información","Instructivos","Indicar los pasos para el diligenciamiento del formato de cuadro de inventario documental","Español","OFICINA DE PLANEACION","Instructivos","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Gestión Documental","Firma","No es necesario que esté firmado pero si actualizado"
"Solicitud y Préstamo del documento","Información","Proceso de solicitud y préstamo de la documentación","Establecer el paso a paso para realizar el préstamo de los documentos","Español","OFICINA DE PLANEACION","Proceso","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Gestión Documental","Firma","No es necesario que esté firmado pero si actualizado"
"Creación de Formatos","Información","Tabla de retención documental","Establecer el formato definitivo para organizar la información en el archivo por series y subseries","Español","OFICINA DE PLANEACION","Proceso","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Gestión Documental","Firma","No es necesario que esté firmado pero si actualizado"
"Creación de Formatos","Información","Formato Unico de Inventario Documental","Establecer el formato definitivo para valorar la información y proceder a su posterior eliminación","Español","OFICINA DE PLANEACION","Proceso","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Gestión Documental","Firma","No es necesario que esté firmado pero si actualizado"
"Creación de Formatos","Información","Formato de Clasificación Documental","Establecer el formato de Clasificación documental con el fin de organizar la información de archivo","Español","OFICINA DE PLANEACION","Proceso","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Gestión Documental","Firma","No es necesario que esté firmado pero si actualizado"
"Programas","Información","Programa de bienestar","Establecer el programa de bienestar de la organización","Español","OFICINA DE PLANEACION","Proceso","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Decreto 612 de 2018","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Recursos Humanos","Firma","Es necesario que esté firmado por el gerente y actualizado"
"Programas","Información","Programa de Capacitación","Establecer el programa de capacitación de la empresa","Español","OFICINA DE PLANEACION","Proceso","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Decreto 612 de 2018","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Recursos Humanos","Firma","Es necesario que esté firmado por el gerente y actualizado"
"Diagnóstico","Información","Diagnóstico de Recursos Humanos","Aplicar el diagnóstico de Recursos Humanos para establecer sus falencias y fortalezas","Español","OFICINA DE PLANEACION","Proceso","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Decreto 612 de 2018","Sin Reserva","Formato digital","Público","Se debe entregar esta información a la persona que sea jefe del archivo","Recursos Humanos","Firma","Es necesario que esté firmado por el gerente y actualizado"
"Realización de actas de reuniones del área de Gestión Documental","Información","Actas de Reuniones","Decisiones que toman los líderes del archivo encuanto a la gestión documental","Español","OFICINA DE PLANEACION","Actas","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Baja","Alta","Física","Jenny Carolina Barreto Rodriguez","Cada que se realice la reunión  específica","No se actualiza","2020-01-10T00:00:00.000","Inactivo","Estatutos de la Empresa","N/A","Reserva total","Formato digital","Privado","Tomar las decisiones correspondientes al área","Gestión Documental","Firma","Es necesario que se encuentre firmado por los líderes de las áreas"
"Realización de actas de reuniones en conjunto con el área de recursos humanos","Información","Actas de Reuniones","Decisiones que toman los líderes del archivo encuanto a  la orientación que se brinda desde el área de planeación al área de recursos humanos","Español","OFICINA DE PLANEACION","Actas","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Baja","Alta","Física","Jenny Carolina Barreto Rodriguez","Cada que se realice la reunión  específica","No se actualiza","2020-01-10T00:00:00.000","Inactivo","Estatutos de la Empresa","N/A","Reserva total","Formato digital","Privado","Tomar las decisiones correspondientes al área","Gestión Documental","Firma","Es necesario que se encuentre firmado por los líderes de las áreas"
"Realización de actas de reuniones en conjunto con el área de recursos humanos","Información","Actas de Reuniones","Decisiones que toman los líderes del archivo encuanto a  la orientación que se brinda desde la gerencia hacia el área de planeación","Español","OFICINA DE PLANEACION","Actas","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Baja","Alta","Física","Jenny Carolina Barreto Rodriguez","Cada que se realice la reunión  específica","No se actualiza","2020-01-10T00:00:00.000","Inactivo","Estatutos de la Empresa","N/A","Reserva total","Formato digital","Privado","Tomar las decisiones correspondientes al área","Gestión Documental","Firma","Es necesario que se encuentre firmado por el gerente"
"Descargue de base de datos del furag para el correspondiente análisis","Información","Base de datos de sugerencias Furag","Las sugerencias del Furag son enviadas desde el área de Control Interno con el fin de evaluar las falencias encontradas e iniciar con la gestión de las mismas","Español","OFICINA DE PLANEACION","Base de datos","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Baja","Alta","Física","Jenny Carolina Barreto Rodriguez","Anual","No se actualiza","2020-07-01T00:00:00.000","Inactivo","Función Pública","Decreto 2482 de 2012","Reserva total","Formato digital","Privado","Tomar las decisiones correspondientes al área","Gestión Documental","Firma","ninguna"
"Diagnóstico","Información","Diagnóstico de la función pública sobre el código de ética","El diagnóstico le permitirá a la empresa realizar las actividades necesarias para cumplir con la normatividad en cuanto al código de ética","Español","OFICINA DE PLANEACION","Diagnóstico","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Baja","Alta","Física","Jenny Carolina Barreto Rodriguez","Anual","No se actualiza","2020-07-01T00:00:00.000","Inactivo","Función Pública","Decreto 2482 de 2012","Reserva total","Formato digital","Privado","Tomar las decisiones correspondientes al área","Gestión Documental","Firma","ninguna"
"Diagnóstico","Información","Diagnóstico de la función pública del área de transparencia","El diagnóstico le permitirá a la empresa realizar las actividades necesarias para cumplir con la normatividad en cuanto al cumplimiento del pilar de transparencia","Español","OFICINA DE PLANEACION","Diagnóstico","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Baja","Alta","Física","Jenny Carolina Barreto Rodriguez","Anual","No se actualiza","2020-07-01T00:00:00.000","Inactivo","Función Pública","Decreto 2482 de 2012","Reserva total","Formato digital","Privado","Tomar las decisiones correspondientes al área","Gestión Documental","Firma","ninguna"
"Diagnóstico","Información","Diagnóstico de la función pública de Gestión del conocimiento y la innovación","El diagnóstico le permitirá a la empresa realizar las actividades necesarias para cumplir con la normatividad en cuanto al cumplimiento del pilar de Gestión de Conocimiento e Innovación ,","Español","OFICINA DE PLANEACION","Diagnóstico","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Baja","Alta","Física","Jenny Carolina Barreto Rodriguez","Anual","No se actualiza","2020-07-01T00:00:00.000","Inactivo","Función Pública","Decreto 2482 de 2012","Reserva total","Formato digital","Privado","Tomar las decisiones correspondientes al área","Gestión Documental","Firma","ninguna"
"Informes","Información","Informes de Gerencia","Realizar los informes de empalme solicitados por el área de Gerencia para la presentación en las diferentes juntas directivas","Español","OFICINA DE PLANEACION","Informes","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","Información Pública","Baja","Alta","Física","Jenny Carolina Barreto Rodriguez","Cada vez que se le solicite al área","Anual",,"Activo","Estatutos de la Empresa","N/A","Reserva Parcial","Formato digital","Privado","Tomar las decisiones correspondientes al área","Gestión Documental","Firma","ninguna"
"Diapositivas","Información","Diapositivas para la presentación ante el concejo municipal","Realizar las diapositivas necesarias para la presentación de empalme ante la alcaldia","Español","OFICINA DE PLANEACION","Diapositivas","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","Información Pública","Alta","Alta","Física","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-02-02T00:00:00.000","Activo","Estatutos de la Empresa",,"Reserva Parcial","Formato digital","Privado","Tomar las decisiones correspondientes al área","Gestión Documental","Firma","ninguna"
"Contable","Software","Modulo contabilidad y tesoreria","permite generar comprobantes de tesoreria, recibos de caja de ingreso, comprobantes de egreso, ordenes de pago, cuentas por cobrar, parametrizar descuentos y tabla de retencion, genera informes contables y de tesoreria diarios y mensuales","español","DIVISIÓN FINANCIERA","programas","Documento Físico","servidores","Pdf","no disponible","Información Pública","Alta","Alta","fisica y Electrónica","Sinfa","diario","diario","N.A.","Activo","marco conceptual de la Contabilidad Pública y el Catálogo General Cuentas del Plan General de Contabilidad Pública, a nivel de documento fuente. Así mismo, las normas y procedimientos establecidos por la Contaduría General de la Nación","N.A.","Reserva Parcial","base de datos","publico","Información para la toma de decisiones","N.A.","firma","los diferentes documentos generados deben ir firmados por los responsables"
"Presupuestal","Software","Control presupuestal","permite registrar el presupuestal inicial, las modificaciones de presupuestro, adiciones, traslados, creditos y contra creditos, disminucion de apropiacion, reducciones de apropiacion, controlar las fuentes de recursos de ingresos y gastos, emision de certificados de disponibilidad y registro presupuestal, generacion de diferentes informes de ejecuciones, auxiliares, acomulados y pac por fuentes.","español","DIVISIÓN FINANCIERA","programas","Documento Físico","servidores","Pdf","no disponible","Información Pública","Alta","Alta","fisica y Electrónica","Sinfa","diario","diario","N.A.","Activo","Estatuto general de la nacion","N.A.","Reserva Parcial","base de datos","publico","Información para la toma de decisiones","N.A.","firma","los diferentes documentos generados deben ir firmados por los responsables"
"Contable","Información","Estados Financieros","Permite proporcionar Información sobre la entidad financiera, el rendimiento y los flujos de efectivo de la entidad que sea util para la toma de decisiones.","espa|","DIVISIÓN FINANCIERA","Estados Financieros","Documento Físico","digital y fisico","Pdf","Disponible","Información Pública","Alta","Alta","fisica y Electrónica","Daniela Cantor","mensual","mensual","N.A.","Activo","marco conceptual de la Contabilidad Pública y el Catálogo General Cuentas del Plan General de Contabilidad Pública, a nivel de documento fuente. Así mismo, las normas y procedimientos establecidos por la Contaduría General de la Nación","N.A.","Reserva Parcial","formato fisico","publico","Información para la toma de decisiones","N.A.","firma","los estados financieros deben ir firmados por el representante legal y el contador que los genere"
"Actualizacion de politica SST","Información","Politica de prevencion de consumo de alcohol, tabaco y sustancias psicoactivas","Compromisos de la gerencia con los miembros de la empresa","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Politica","Documento Físico","Documento de archivo fisico y digital","PDF","DISPONIBLE","No Clasificada","Alta","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Anual o antes si se presenta un cambio","Anual","2020-05-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 2.1.1 politica del sistema de gestion de seguridad y salud en el trabajo SG-SST firmada, fechada y comunicada al COPASST","Reserva Parcial","Temporal SG-SST","Privado","Publicacion de politicas para cumplimiento y conocimiento de los trabajadores","Planear","Firma","Debe estar fimado  por el gerente y publicado"
"Realizacion de cronogramas de capacitacion","Información","Cronograma de formacion y capacitacion","Fechas y temas de capacitacion para los trabajadores","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento fisico","Documento de archivo fisico y digital","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Anual","Anual",,"Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 1.2.1 programa capacitacion promocion y prevencion PyP","Reserva Parcial","Temporal SG-SST","Privado","Aprobacion y cumplimiento de las capacitaciones para el personal","Planear","Firma","Debe estar firmado por el comité del COPASST"
"Actualizacion matriz de identificacion de peligros evaluacion y valoracion de riesgos","Información","matriz de identificacion de peligros evaluacion y valoracion de riesgo","identificar los riesgos en las diferentes areas para generar controles","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Matriz","Documento fisico","Documento de archivo digital","PDF","DISPONIBLE","No Clasificada","Alta","Alta","Digital","Ofir samanta Bernal Joya","Anual","Anual","2019-07-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 4.1.1 Metodologia para la identificacion de peligroa, evaluacion y valoracion de los riesgos 4.1.2 identificacion de peligros con participacion de todos los niveles de la empresa","Reserva Parcial","Temporal SG-SST","Privado","Se debe realizar por obligatoriedad","Planear","N.A.","Debe estar en digital para actualizar"
"Actualizacion plan  de trabajo anual","Información","Plan de trabajo anual","Actividades a realizar en el SG-SST durante el año","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento fisico","Documento de archivo fisico y digital","PDF","DISPONIBLE","No Clasificada","Media","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Anual","Anual","2020-01-01T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 2.4.1 plan que identifica objetivos, metas, responsabilidad, recursos con cronograma firmado","Reserva Parcial","Temporal SG-SST","Privado","Se debe realizar por obligatoriedad","Planear","Firma","Debe estar firmado por el gerente"
"Presupuesto de las actividades que se van a realizar en el plan de trabajo anual","Información","Presupuesto anual","se planean los recursos que se necesitaran en el año para ejecutar las actividades","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento fisico","Documento de archivo fisico y digital","PDF","DISPONIBLE","No Clasificada","Media","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Anual","Anual","2019-05-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 1.1.3 asignacion de recursos para el sistema de gestion en seguridad y salud en el trabajo SG-SST","Reserva Parcial","Temporal SG-SST","Privado","Se debe realizar ya que es uno de los documentos fundamentales dentro delsistema de gestion","Planear","Firma","Debe estar aprobado por el area de contabilidad y firmado por gerencia"
"Actas de reunion","Información","Acta de reunion","Se registran las diferentes reuniones de COPASST, CONVIVENCIA, RENDICION DE CUENTAS","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Actas","Documento fisico","Documento de archivo fisico y digital","PDF","DISPONIBLE","No Clasificada","Media","Alta","Fisica y Digital","Ofir samanta Bernal Joya","Mensual","Cuando se requiera","2020-05-08T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","N.A.","Reserva Parcial","Temporal SG-SST","Privado","Registros en la realizacion de reuniones de importancia","Planear","Firma","Al diligenciar, se debe firmar por cada uno de los integrantes"
"Registro de las justificaciones por ausencia en el trabajo","Información","Consolidado de ausentismo y accidentalidad","Se registran las incapacidades y licencias de cada uno de los trabajadores","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento Digital","Documentos de archivo digital","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Digital","Ofir samanta Bernal Joya","Diario","Cuando se requiera","2020-07-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 3,2.3 Registro y analsiis estadistico de accidentes y enfermedades","Reserva Parcial","Temporal SG-SST","Privado","Registros de las incapacidades","Hacer",,"De esta manera. Posteriormente podemos diligenciar los indicadores de ausentismo"
"Registro de la entrega de elementos de proteccion personal","Información","Entrega elementos de proteccion personal","Se registra la entrega de EPP al trabajador","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documentos fisico","Documento Digital y fisico","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Fisico","Ofir samanta Bernal Joya","Diario","Cuando se requiera","2020-05-13T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 4.2.6 entrega de elementos de proteccion personal, EPP, se verifica con contratistas y subcontratistas","Reserva Parcial","Temporal SG-SST","Privado","Registro y salida de los EPP","Hacer","Firma","El trabajador al recibir sus elementos, debe firmar"
"Indicadores","Información","Fichas tecnicas de indicadores","Se registran todos los indicadores del SG-SST","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Base de datos","Documento Digital","Documentos de archivo digital","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Digital","Ofir samanta Bernal Joya","Diario","Cuando se requiera","2020-07-09T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 3.3.1 medicion de la frecuencia de la accidentalidad 3.3.2 medicion de la severidad de la accidentalidad 3.3.3 medicion de la mortalidad poe accidente de trabajo 3.3.4 medicion de la prevalencia de la enfermedad laboral 3.3.5 ,medicion de la incidencia de la enfermedad laboralo 3.3.6 medicion del ausentismo por causa medica.","Reserva Parcial","Temporal SG-SST","Privado","registro de indicadores","Verificar","N.A.","N.A."
"Informe","Información","Informe de investigacion de incidentes y accidentes de trabajo","Se realiza el informe detallado de la ocurrencia del accidente","Español","SEGURIDAD Y SALUD EN EL TRABAJO","informe","Documento Digital","Documento Digital y fisico","EXCEL","DISPONIBLE","No Clasificada","Media","Alta","Fisico","Ofir samanta Bernal Joya","Diario","Cuando se requiera","2020-05-13T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","Estandares minimos resolucion 0312 del 2019 3.2.2 investigacion de incidentes, accidenets y enfermedades laborales","Reserva Parcial","Temporal SG-SST","Privado","Reporte de accidentes e incidentes de trabajo","Hacer","Firma","La persona que diligencia el documento debe firmar en compañía de los miembros del COPASST"
"Reglamento","Información","Reglamento de higiene y seguridad industrial","Se relaciona la normativa para cumplimiento según la actividad economica de la empresa","Español","SEGURIDAD Y SALUD EN EL TRABAJO","Reflamento","Documento Digital","Documento Digital y fisico","PDF","DISPONIBLE","No Clasificada","Media","Alta","Fisico","Ofir samanta Bernal Joya","Anual","Anual","2020-05-21T00:00:00.000","Activo","Normativa en Seguridad y salud en el trabajo","N.A.","Reserva Parcial","Temporal SG-SST","Privado","Documento por obligatoriedad","Planear","Firma","El documento debe estar firmado y publicado por el gerente"
"TALENTO HUMANO","Recurso Humano","NOMINA","Historiales documentos donde se encuentra la información personal, Remuneracion salarial de los colaboradores, seguridad social y prestaciones sociales.  Se generarn Volantes de pago de cada uno de los colaboradores.","español","TALENTO HUMANO","TALENTO HUMANO","CD Rom Multimedia","SISTEMA DE BASES DE DATOS","HOJA DE CALCULO","DISPONIBLE","Información Pública Reservada","MEDIA","Alta","SOFWARE SINFA","SINFA","DIARIO","DIARIO","QUINCENAL","Activo","Del artículo 18 de la Ley 1712 de 2014. y ""...La correspondencia y demás formas de comunicación privada son inviolables…"" Artículo 15 Constitución política de Colombia","Ley 1712 de 2014","Reserva Parcial","BASE DE DATOS","SEMIPRIVADO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","SEGURIDAD SOCIAL","ARCHIVO PLANO GENERADO POR EL SOFWARE SINFA PARA CARGAR EN EL OPERADOR SOI PARA PAGO","español","TALENTO HUMANO","TALENTO HUMANO","DISCO DURO","DOCUMENTO DE ARCHIVO ELECTRONICO","DOC","DISPONIBLE","Información Pública Reservada","MEDIA","Alta","SOFWARE SINFA","SINFA","MENSUAL","CADA VEZ QUE SE PRESENTE UN NOVEDAD","MENSUAL","Activo","N/A","N/A","Reserva Parcial","FORMATO DIGITAL","PUBLICO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","LIBRANZAS","FORMATOS GENERADOS POR ENTIDADES FINANCIERAS CON LAS QUE TENEMOS CONVENIOS PARA LOS CREDITOS SOLICITADOS POR LOS COLABORADORES","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTOS FISICO","DOCUMENTO DE ARCHIVO FISICO","DOC","DISPONIBLE","Información Pública Reservada","MEDIA","MEDIA","HOJA DE VIDA","TALENTO HUMANO","CADA VEZ QUE SOLICITE CREDITO UN COLABORADOR","CADA VEZ QUE SOLICITE CREDITO UN COLABORADOR","CADA VEZ QUE SOLICITE CREDITO UN COLABORADOR","Activo","N/A","N/A","Reserva Parcial","FORMATO FISICO","PUBLICA","INFORMATIVA","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","HOJAS DE VIDA","CARPETA DE LOS DOCUMETOS DE CADA UNO DE LOS COLOBADORES DE LA EMPRESA EAMOS ESP","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTOS FISICO Y DIGITALIZADO EN PLATAFORMA","ARCHIVO INSTITUCIONAL","PDF","DISPONIBLE","Información Pública Reservada","BAJA","Media","HOJA DE VIDA","TALENTO HUMANO","CUANDO HAYA UN REQUERIMIENTO DE CONTRATACÍÓN","CUANDO HAYA UN REQUERIMIENTO DE CONTRATACÍÓN","CUANDO HAYA UN REQUERIMIENTO DE CONTRATACÍÓN","Activo","Artículo  5°. Directorio de Información de servidores públicos, empleados y contratistas.","Ley 1712 de 2014","Reserva Parcial","FORMATO FISICO","PRIVADO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","CERTIFICACION LABORAL","DOCUMENTOS GENERADOS A SOLICITUD DE CADA UNO DE LOS COLABORADORES PARA ACREDITAR ANTE UN EXTERNO QUE LABORA PARA EAMOS ESP","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTO FISICO","DOCUMENTO DE ARCHIVO FISICO","PDF","DISPONIBLE","Información Pública Reservada","BAJA","MEDIA","HOJA DE VIDA","TALENTO HUMANO","TODA VEZ QUE UN COLABORADOR LA REQUIERA","TODA VEZ QUE UN COLABORADOR LA REQUIERA","TODA VEZ QUE UN COLABORADOR LA REQUIERA","Activo","Del artículo 18 de la Ley 1712 de 2014. y ""...La correspondencia y demás formas de comunicación privada son inviolables…"" Artículo 15 Constitución política de Colombia","Ley 1712 de 2014","Reserva Parcial","FORMATO FISICO","PRIVADO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","REPORTES DE HORAS EXTRAS","RELACION DEL TRABAJO SUPLEMENTARIO DEL PERSONAL OPERATIVO","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTO FISICO","DOCUMENTO DE ARCHIVO ELECTRONICO","HOJA DE CALCULO","DISPONIBLE","Información Pública Reservada","BAJA","MEDIA","ARHIVO DIGITAL","TALENTO HUMANO","CADA 15 DIAS","CADA 15 DIAS","CADA 15 DIAS","Activo","N/A","N/A","Reserva Parcial","FORMATO FISICO","PRIVADO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","CONTRATOS DE APRENDICES SENA","DOCUMENTOS  GENERADOS POR LA PLATAFORMA CAPRENDIZAJE  SENA PARA ESTIPULAR LAS FECHA DE CONTRATO DE LAS APRENDICES SENA","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTO FISICO","DOCUMENTOS DE ARCHIVO ELECTRONICO","DOCUMENTO DE TEXTO","DISPONIBLE","Información Pública Reservada","BAJA","MEDIA","HOJA DE VIDA","TALENTO HUMANO","CADA VEZ QUE SE CUMPLA UN CONTRATO HAY QUE SOLICITAR  NUEVOS APRENDICES","SEMESTRAL","CADA SEIS MESES QUE TERMINE UN COANTRATO DE APRENDIZAJE","Activo","El Decreto 620 del 7 de marzo de 2005, compilado por el Decreto 1072 de 2015, ordena al Servicio Nacional de Aprendizaje- SENA, a través de sus Direcciones Regionales regular la cuota de aprendizaje a los empleadores que cuenten con un número de empleados igual o superior quince (15) trabajadores en su planta de personal en concordancia con el artículo 32 de la Ley 789 de 2002.","N/A","Reserva Parcial","FORMATO FISICO","PUBLICO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"Almacén","Información","Actas de baja de elementos","Actas donde se verifica y se aprueba la baja de bienes de acuerdo a los soportes correspondientes","español","Almacén  Y ARCHIVO","Almacén","Documento Físico","fisico","papel","NO DISPONIBLE","Todos los procesos","Baja","Baja","Almacén","Almacén","trimestral","trimestral","N.A.","Inactivo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Reserva Parcial","N.A.","N.A.","informar","N.A.","N.A.","N.A."
