"tipomision","continente","paisrepresenta","isopaisrepresenta","ciudadubicacion","direccion","localizaci_n_misi_n","telefonos","fax","correoelectronico","paginaweb"
"CONSULADO","ASIA","COREA","KOR","BOGOTÁ D.C","CALLE 94 # 9-39","(4.598056, -74.075833)","(57) (1) 6167200","(57) (1) 6100338","EMBACOREA@MOFA.GO.KR","(NO REGISTRA)"
"EMBAJADA","EUROPA","SANTA SEDE","VAT","BOGOTÁ D.C","CARRERA 15 # 36-33","(4.598056, -74.075833)","(57) (1) 7054545 - 2880705","(57) (1) 2851817","NUNCIATURA@CABLE.NET.CO- SECRETARIA@NUNCIATURA.ORG.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ITALIA","ITA","CALI","CALLE 36 NORTE NO 6A-65 OF. 1709  WORD TRADE CENTER","(3.420556, -76.522222)","(57) (2) 6681486","(NO REGISTRA)","CALI.ONORARIO@ESTERI.IT","(NO REGISTRA)"
"CONSULADO","AMÉRICA","EL SALVADOR","SLV","BOGOTÁ D.C","CARRERA 9  # 80-15 OF. 503 EDIFICIO EL NOGAL","(4.598056, -74.075833)","(57) (1) 3496765 - 3496771","(57) (1) 3496770","CONSULADOENBOGOTA@RREE.GOB.SV","(NO REGISTRA)"
"EMBAJADA","EUROPA","REINO UNIDO","GBR","BOGOTÁ D.C","CARRERA 9 # 76-49 PISO 9","(4.598056, -74.075833)","(57) (1) 3268300","(57) (1) 3268302","EMBAJADABRITANICA.BOGOTA@FCO.GOV.UK","WWW.GOV.UK/WORLD/COLOMBIA"
"CONSULADO HONORARIO","EUROPA","FRANCIA","FRA","MEDELLÍN","CARRERA 65 NO. 35 – 71 ITAGÜÍ","(6.235925, -75.575137)","(57) (4) 3719899","(NO REGISTRA)","CONSULMEDFRANCE@UNE.NET.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ALEMANIA","DEU","CARTAGENA","DIAGONAL 30 NO. 54 – 124","(37.605651, -0.991294)","(57) (5) 6671685 – 6775012 - 6673634","(NO REGISTRA)","CONSULADOALEMANCTG@GMAIL.COM- CARTAGENA@HK-DIPLO.DE","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","CANADA","CAN","CARTAGENA","AVENIDA 3 NO. 8 – 129 EDIFICIO CENTRO EJECUTIVO. OF.1103 BOCAGRANDE","(37.605651, -0.991294)","(57) (5) 6655838 – (57) 315 8504810","(NO REGISTRA)","HONCARTAGENA@UNE.NET.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","PERU","PER","CARTAGENA","CARRERA 4 NO. 9 – 157 EDIFICIO BAHÍA 419","(37.605651, -0.991294)","6658729 – 315 6802288","(NO REGISTRA)","JORGEDAVILAPESTANA@HOTMAIL.COM","(NO REGISTRA)"
"EMBAJADA","ASIA","ISRAEL","ISR","BOGOTÁ D.C","AV CALLE 26  # 57-41 PISO 7 EDIFICIO T7T8","(4.598056, -74.075833)","(57)(1) 3277500 (57)(1) 3277501","(57) (1) 3277555","INFO@BOGOTA.MFA.GOV.IL","HTTP://EMBASSIES.GOV.IL/BOGOTA/PAGES/DEFAULT.ASPX"
"CONSULADO HONORARIO","AMÉRICA","CHILE","CHL","CARTAGENA","CARRERA 4 NO. 5 -74","(37.605651, -0.991294)","(57) (5) 6653658 – 316 5304641","(NO REGISTRA)","GALERIACHICAMORALES@YAHOO.ES","(NO REGISTRA)"
"CONSULADO","EUROPA","FRANCIA","FRA","BOGOTÁ D.C","CARRERA 11 # 93-12","(4.598056, -74.075833)","(57) (1) 6381400 - 6381412","(57) (1) 6381430","SCG.BOGOTA-AMBA@DIPLOMATIE.GOUV.FR","(NO REGISTRA)"
"EMBAJADA","ASIA","CHINA","CHN","BOGOTÁ D.C","CARRERA 16 # 98-30","(4.598056, -74.075833)","(57) (1)  6223215 - 6223235 - 6223202 - 6223235","(57) (1) 6223114","ELINAPO@GMAIL.COM- CHINAEMB_CO@MFA.GOV.CO- CONSULATE_COL@MFA.GOV.CN","HTTP://CO.CHINA-EMBASSY.ORG/ESP/"
"EMBAJADA","AMÉRICA","CANADA","CAN","BOGOTÁ D.C","CARRERA 7 # 114-33 PISO 13","(4.598056, -74.075833)","(57) (1) 6579800/10 - 6579872","(57) (1) 6579912","BGOTA@INTERNATIONAL.GC.CA","HTTP://WWW.CANADAINTERNATIONAL.GC.CA/COLOMBIA-COLOMBIE/INDEX.ASPX?LANG=SPA"
"CONSULADO HONORARIO","EUROPA","ESPAÑA","ESP","MEDELLÍN","(NO REGISTRA)","(6.235925, -75.575137)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO HONORARIO","ASIA","COREA","KOR","MEDELLÍN","CALLE 3 SUR # 43A- 52. EDIFICIO 43. OF. 704. AVENIDA EL POBLADO","(6.235925, -75.575137)","(57) (4) 4441423 (57) 3162686591","(NO REGISTRA)","GERGRAL@ESPUMASMEDELLIN.COM","(NO REGISTRA)"
"EMBAJADA","EUROPA","FINLANDIA","FIN","BOGOTÁ D.C","CALLE 116 NO 7-15 PISO 12","(4.598056, -74.075833)","(57)(1) 7447176 -  3112079125","(NO REGISTRA)","FINEMBBOG@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ALEMANIA","DEU","MEDELLÍN","CALLE 3D SUR NO. 24 – 35","(6.235925, -75.575137)","(57) (4) 4486464 – 3346474","(NO REGISTRA)","MEDELLIN@HK-DIPLO.DE","(NO REGISTRA)"
"EMBAJADA","EUROPA","SUECIA","SWE","BOGOTÁ D.C","CALLE 72 # 5-83 PISO 8","(4.598056, -74.075833)","(57) (1) 3256100","(57) (1) 3256181","AMBASSADEN.BOGOTA@GOV.SE","WWW.SWEDENABROAD.COM/BOGOTA"
"CONSULADO HONORARIO","AMÉRICA","CHILE","CHL","BARRANQUILLA","KILÓMETRO 5 ANTIGUA VÍA A PUERTO COLOMBIA – UNIVERSIDAD DEL NORTE   BLOQUE D. TERCER PISO.","(10.98611, -74.77028)","(57) (5) 3509292","(NO REGISTRA)","JAMAR@UNINORTE.EDU.CO- SUSALDAR@UNINORTE.EDU.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","ASIA","ISRAEL","ISR","CALI","CALLE 26 NO. 7  - 75","(3.420556, -76.522222)","(57) (2) 4423737 EXT. 1219","(NO REGISTRA)","PRESIDENCIA@MARAVILLA.COM.CO","(NO REGISTRA)"
"CONSULADO","AMÉRICA","COSTA RICA","CRI","BOGOTÁ D.C","CARRERA 12 # 114-37 BARRIO SANTA BÁRBARA CENTRAL","(4.598056, -74.075833)","(57) (1) 6295462","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","ARGENTINA","ARG","BOGOTÁ D.C","CARRERA 11 B NO 97-56 P.4 EDIFICIO ÁPICE - BARRIO CHICO NORTE","(4.598056, -74.075833)","(57) (1) 2880900","(57) (1) 384 9488","ECOLO@MRECIC.GOV.AR","WWW.ECOLO.MRECIC.GOV.AR"
"EMBAJADA","AMÉRICA","BRASIL","BRA","BOGOTÁ D.C","CALLE 93 # 14-20 PISO 8","(4.598056, -74.075833)","(57) (1) 2180800","(57) (1) 2188393","BRASEMB.BOGOTA@ITAMARATY.GOV.BR- CONSULAR.BOGOTA@ITAMARATY.GOV.BR","HTTP://BOGOTA.ITAMARATY.GOV.BR/ES-ES/"
"CONSULADO HONORARIO","AMÉRICA","PERU","PER","BARRANQUILLA","CARRERA 57 NO 99A-65. OFICINA 201 EDIFICIO TORRES ATLÁNTICO -TORRE SUR","(10.98611, -74.77028)","(57) (5) 3093115  EXT 1901","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","FINLANDIA","FIN","BOGOTÁ D.C","CALLE 116 NO. 2 – 80","(4.598056, -74.075833)","(57) (1) 6128036 – (57) 310 2428143","(NO REGISTRA)","KLTIMO@GMAIL.COM - CONSULADODKFI@GMAIL.COM","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","NICARAGUA","NIC","BOGOTA D.C.","CALLE 98 # 22-64 OFICINAS 204/205 EDIFICIO CALLE CIEN","(0.0, 0.0)","(57) (1) 7036463 (57) (1) 7036450","(57) (1) 3002940","CLAUDIAIZ@HOTMAIL.COM- ROSAHELENAT@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","TRINIDAD Y TOBAGO","TTO","BOGOTÁ D.C","CARRERA 18ª NO. 39ª – 16","(4.598056, -74.075833)","(57) (1) 3001420 – 3001421 – 2854356 – (57) 315 3394976","(NO REGISTRA)","CONSULHONTTBOG@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","BELGICA","BEL","BARRANQUILLA","CALLE 77B NO. 57 – 141 OFICINA 812 CENTRO LAS AMÉRICAS","(10.98611, -74.77028)","(57) (5) 3602666 – 3605111 – (57) 310 6391959","(NO REGISTRA)","JMRUISECO.G@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","POLONIA","POL","CARTAGENA","CARRERA 2ª. NO. 11 – 41. PISO 16. OFICINA 1601. EDIFICIO TORRE GRUPO ÁREA.  BOCAGRANDE","(37.605651, -0.991294)","(57) (5) 6652990  (57) 3116576545","(NO REGISTRA)","BENNY.SCHUSTER@IBSSEGUROS.COM- BENNYSCHUSTER54@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ESLOVAQUIA. REPÚBLICA ESLOVACA","SVK","MEDELLÍN","CARRERA 64C NO. 72 – 160 PISO 4","(6.235925, -75.575137)","(57) (4) 4455555 EXT. 4415. 4201 – (57) 310 4423420","(NO REGISTRA)","GERENCIA@COLANTA.COM.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ALEMANIA","DEU","CALI","CALLE 1B NO. 66B – 29 EL REFUGIO","(3.420556, -76.522222)","(57) (2) 3234435 – 3238402","(NO REGISTRA)","CALI@HK-DIPLO.DE","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","CUBA","CUB","BOGOTÁ D.C","CARRERA 9 #  92-54  BARRIO CHICÓ","(4.598056, -74.075833)","(57) (1) 6217054 - 6114382 - 256 5391 - 621 6116","(NO REGISTRA)","SECRETARIA@CO.EMBACUBA.CU- EMBAJADA@CO.EMBACUBA.CU- CONSULADO@CO.EMBACUBA.CU","HTTP://WWW.CUBADIPLOMATICA.CU/COLOMBIA/MISI%C3%B3N/EMBAJADA.ASPX"
"EMBAJADA","ASIA","COREA","KOR","BOGOTÁ D.C","CALLE 94 # 9-39","(4.598056, -74.075833)","(57) (1) 6167200 - 7431610","(57) (1) 6100338","EMBACOREA@MOFA.GO.KR","HTTP://COL.MOFA.GO.KR/WORLDLANGUAGE/AMERICA/COL/MAIN/INDEX.JSP"
"CONSULADO HONORARIO","EUROPA","FRANCIA","FRA","CALI","AVENIDA 3N NO. 8N – 24 EDIFICIO CENTENARIO I OFICINA 405","(3.420556, -76.522222)","(57) (2) 8835304","(NO REGISTRA)","CONSULFRANCES.CALI@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","BARBADOS","BRB","BOGOTÁ D.C","AVENIDA 19 NO. 108 – 45 OFICINA 304","(4.598056, -74.075833)","(57) (1) 6379089","(NO REGISTRA)","CONSULADODEBARBADOSBOG@GMAIL.COM","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","VENEZUELA","VEN","BOGOTÁ D.C","CARRERA 11 # 87-51 PISO 5","(4.598056, -74.075833)","(57) (1) 6445555 - 5190659","(57) (1) 6401242","CORRESPONDENCIA.COLOMBIA@MPPRE.GOB.VE- CORRESPONDENCIA.COLOMBIA@GMAIL.COM","HTTP://COLOMBIA.EMBAJADA.GOB.VE/"
"CONSULADO HONORARIO","EUROPA","POLONIA","POL","BARRANQUILLA","CARRERA 57 NO. 72 – 44","(10.98611, -74.77028)","(57) (5) 3452630 – 3688325","(NO REGISTRA)","GERENCIA@ARRIENDOSDELNORTE.NET","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","NORUEGA","NOR","CALI","CALLE 4 NO. 27 – 52 PISO 6","(3.420556, -76.522222)","(57) (2) 6855589 – 6855555","(NO REGISTRA)","RODRIGO.OTOYA@GIROSYFINANZAS.COM","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","ASIA","QATAR","QAT","CARACAS","AVENIDA PRINCIPAL DE LAS LOMAS DEL MIRADOR. QTA. ALTO CLARO","(10.491016, -66.902061)","(+58) (212) 9937925 / 9937925 / 9930553 / 9924559","9932917","QATARVEN@CANTV.NET -  ROCIOCHIODIAZRONDA@HOTMAIL.COM","(NO REGISTRA)"
"EMBAJADA","EUROPA","FRANCIA","FRA","BOGOTÁ D.C","CARRERA 11 # 93-12","(4.598056, -74.075833)","(57)(1)6381400 - 6381412","(57) (1) 6381430","SCG.BOGOTA-AMBA@DIPLOMATIE.GOUV.FR","WWW.AMBAFRANCE-CO.ORG/-ESPAÑOL-"
"CONSULADO HONORARIO","OCEANÍA","NUEVA ZELANDIA","NZL","BOGOTÁ D.C","CARRERA 1ª ESTE NO. 110 – 80","(4.598056, -74.075833)","(57) (1) 2132827","(NO REGISTRA)","COLKIWI@GMAIL.COM","(NO REGISTRA)"
"CONSULADO","AMÉRICA","CANADA","CAN","BOGOTÁ D.C","CARRERA 7 # 114-13 PISO 14","(4.598056, -74.075833)","(57) (1) 6579800","(57) (1) 6579912","BGOTA@INTERNATIONAL.GC.CA","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","AUSTRIA","AUT","CARTAGENA","EDIFICIO CHAMBACU BUSINESS CENTER - PISO 6. A.A.1626.","(37.605651, -0.991294)","(57) (5) 650 3617 -  650 3610 – 6503620 (DIRECTO)","(NO REGISTRA)","HSCHWYN@SCHWYN.COM","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","PANAMA","PAN","BOGOTÁ D.C","CALLE 92 # 7A-40","(4.598056, -74.075833)","(57) (1) 2574452 -  2575068 - 6918919 - 2575067","(57) (1) 2575067","EMBPANAMACOLOMBIA@MIRE.GOB.PA  EMBAJADAPANAMA@SUPERCABLE.CO","HTTP://WWW.PANAMAENELEXTERIOR.GOB.PA/COLOMBIA"
"CONSULADO HONORARIO","ASIA","FILIPINAS","PHL","BOGOTÁ D.C","CALLE 108 NO. 14B – 31","(4.598056, -74.075833)","(57) (1) 8033694 – (57) 310 2311730","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","AMÉRICA","BRASIL","BRA","LETICIA","CARRERA 9 # 9-73 CENTRO ANDAR 2","(-4.205429, -69.932808)","(57) (8) 5927530","(57) (8) 5928116","VC.LETICIA@ITAMARATY.GOV.BR","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","ASIA","VIETNAM","VNM","CARACAS","9 TRANSVERSAL ENTRE 6ª Y 7ª AV. DE ALTAMIRA. QUINTA LAS MERCEDES","(10.491016, -66.902061)","(+58) (212) 6357402 6357402","(NO REGISTRA)","EMBAVIVE@YAHOO.COM.VN","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","FINLANDIA","FIN","BARRANQUILLA","CALLE 82 NO 55-21","(10.98611, -74.77028)","(57) (5) 3736934- (57) 3007355346","(NO REGISTRA)","SESPINOSA@REG.COM.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","POLONIA","POL","CALI","(NO REGISTRA)","(3.420556, -76.522222)","(57) 311 5611715","(NO REGISTRA)","CONSULPOLONIACALI@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","PANAMA","PAN","CARTAGENA","CALLE 63 NO 1 - 74","(37.605651, -0.991294)","(57) (5) 6450708","(NO REGISTRA)","GHOLDINGS@CABLEONDA.NET","(NO REGISTRA)"
"CONSULADO","ASIA","EMIRATOS ARABES","ARE","BOGOTÁ D.C","TRANSVERSAL 3 # 86-73","(4.598056, -74.075833)","(57) (1) 6353233 - 6353406","(57) (1) 6355559","BOGOTA@MOFA.GOV.AE- CONSBOG@MOFA.GOV.AE BOGOTAEMB.PR@MOFAIC.AE- BOGOTAEMB.VISA@MOFAIC.AE","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","RUSIA","RUS","CARTAGENA","CARRERA 1# 71-52","(37.605651, -0.991294)","(57) (5) 56601229","(NO REGISTRA)","GRABIELGARCIAR11@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","BRASIL","BRA","MEDELLÍN","CARRERA 67B # 48B-39","(6.235925, -75.575137)","(57) (4) 3362692","(NO REGISTRA)","CONSULADOHONORARIO.MEDELLIN@GMAIL.COM","(NO REGISTRA)"
"CONSULADO","AMÉRICA","ECUADOR","ECU","IPIALES","CARRERA 7 # 14-10 PISO 2","
,  
(0.0, 0.0)","(57) (2) 7732292","(NO REGISTRA)","CECUIPIALES@CANCILLERIA.GOB.EC","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","MEXICO","MEX","BOGOTÁ D.C","CALLE 113 # 7-01 OFICINA 204 TORRE A EDIFICIO TELEPORT","(4.598056, -74.075833)","(57) (1) 7477160 – 6294989","(57) (1) 6295121","TITULAREMBAMEXCOL@SRE.GOB.MX","HTTP://EMBAMEX.SRE.GOB.MX/COLOMBIA/"
"CONSULADO HONORARIO","EUROPA","SUIZA","CHE","MEDELLÍN","CALLE 6 SUR NO. 43ª – 96 OFICINA 802 TORRE 6 SUR","(6.235925, -75.575137)","(57) (4) 3113314","(NO REGISTRA)","MEDELLIN@HONREP.CH","(NO REGISTRA)"
"CONSULADO","EUROPA","REINO UNIDO","GBR","BOGOTÁ D.C","CARRERA 9 # 76-49 PISO 9","(4.598056, -74.075833)","(57) (1) 3268300","(NO REGISTRA)","CONSULAR.BOGOTA@FCO.GOV.UK","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","BRASIL","BRA","CARTAGENA","CARRERA 2 NO. 41-29 CALLE REAL DEL CABRERO","(37.605651, -0.991294)","(57) (5) 6566064","(NO REGISTRA)","CONSULADOHONORARIO.CARTAGENA@GMAIL.COM","(NO REGISTRA)"
"CONSULADO","AMÉRICA","REPÚBLICA DOMINICANA","DOM","BOGOTÁ D.C","CARRERA 18 # 123-43","(4.598056, -74.075833)","(57) (1) 6010023","(NO REGISTRA)","CORRESPONDENCIA@EMBAJADARDCOLOMBIA.COM","HTTP://WWW.EMBAJADARDCOLOMBIA.GOB.DO/"
"CONSULADO HONORARIO","EUROPA","ITALIA","ITA","CALI","CARRERA 36 NO 10B-31 OF. 202","(3.420556, -76.522222)","(57)(4) 2668434","(NO REGISTRA)","MEDELLIN.ONORARIO@ESTERI.IT","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","BOGOTÁ D.C","AUTOPISTA NORTE CALLE 103","(4.598056, -74.075833)","(57) (1) 6645555 - 5190659","(57) (1) 6401242","CONSULTA.BOGOTA@MPPRE.GOB.VE","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","PORTUGAL","PRT","CALI","CARRERA 11 #9ª SUR 140. EL POBLADO. MEDELLÍN","(3.420556, -76.522222)","(57) 318 8031457","(NO REGISTRA)","CONSULADOLUSOCALI@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","CHILE","CHL","CALI","CALLE 16 NO. 83 – 36 EDIFICIO AZÚCAR – PRIMER PISO","(3.420556, -76.522222)","(57) (2) 3322066","(NO REGISTRA)","CECILIABURGOS30@HOTMAIL.COM","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","PERU","PER","BOGOTÁ D.C","CALLE 80A # 6-50","(4.598056, -74.075833)","(57) (1) 7462360","(57) (1) 7448871","BYALTA@EMBAJADADELPERU.ORG.CO- EMBAPERU@EMBAJADADELPERU.ORG.CO","HTTP://WWW.EMBAJADADELPERU.ORG.CO/"
"CONSULADO HONORARIO","EUROPA","SUECIA","SWE","CARTAGENA","MANGA PREDIOS TERMINAL MARÍTIMO","(37.605651, -0.991294)","(57) (5) 6607781 EXT. 2232","(NO REGISTRA)","GBENEDETTI@SPRC.COM.CO","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","ASIA","TAILANDIA","THA","LIMA","AVENIDA CORONEL PORTILLO 672. SAN ISIDRO","(-12.047816, -77.062203)","(+51) (01) 6345620","(NO REGISTRA)","THAILIM@MFA.GOV.TH","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","ECUADOR","ECU","BARRANQUILLA","CARRERA 52 NO. 76 – 167 OFICINA 507","(10.98611, -74.77028)","(57) (5) 3600543 – 3600610 – 301 3504554","(NO REGISTRA)","BOSORIO@HOTMAIL.COM","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","AMÉRICA","JAMAICA","JAM","CARACAS","CALLE LA GUAIRITA. EDIFICIO LOS FRAILES. PISO 5. CHUAO.","(10.491016, -66.902061)","(58) (212) 9916133 - 9916955","(NO REGISTRA)","EMBJAVEN@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","GRECIA","GRC","BOGOTÁ D.C","CARRERA 13 NO. 75 – 20 OFICINA 403","(4.598056, -74.075833)","(57) (1) 2113576","(NO REGISTRA)","CONSULADODEGRECIA@TELMEX.NET.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","MEXICO","MEX","CALI","ZONA FRANCA PALMASECA LOCAL 9","(3.420556, -76.522222)","(57) (4) 6511172","(NO REGISTRA)","JUAN2@SLI.COM.CO","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","HONDURAS","HND","BOGOTÁ D.C","CARRERA 12 # 119-52 BARRIO MULTICENTRO","(4.598056, -74.075833)","(57) (1) 6293277 - 6293302 - 6209528","(57) (1) 6293277","INFO@EMBAJADADEHONDURAS.ORG.CO","WWW.EMBAJADADEHONDURAS.ORG.CO"
"CONSULADO","AMÉRICA","PERU","PER","LETICIA","CALLE 11 # 05-32 BARRIO SAN MARTÍN","(-4.205429, -69.932808)","(57) (8) 5927755 - 5923947","(NO REGISTRA)","CONPERU@TELECOM.COM.CO","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","PARAGUAY","PRY","BOGOTÁ D.C","CALLE 72 #  10-51  OFICINA 1001","(4.598056, -74.075833)","(57) (1) 2356987 - 2127552","(57) (1) 2356324","EMBAPARCOLOMBIA@HOTMAIL.COM- COLOMBIAEMBAPARSC@MRE.GOV.PY","HTTP://WWW1.MRE.GOV.PY:82/EMBAPARCOLOMBIA/"
"CONSULADO","AMÉRICA","ARGENTINA","ARG","BOGOTÁ D.C","CARRERA 12 # 97-80 PISO 5","(4.598056, -74.075833)","(57) (1) 2880900","(57) (1) 3849488","CONSULARES_ECOLO@MRECIC.GOV.AR","(NO REGISTRA)"
"EMBAJADA","EUROPA","DINAMARCA","DNK","BOGOTÁ D.C","CARRERA 13 # 93-40 PISO 5 OFICINA 205","(4.598056, -74.075833)","(57) (1) 7468016","(NO REGISTRA)","BOGAMB@UM.DK","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","FRANCIA","FRA","SANTA MARTA","CALLE 12 NO. 1C – 82 ALIANZA FRANCESA","(0.0, 0.0)","(57) (5) 4235971 – 4316332","(NO REGISTRA)","DESGANS@YAHOO.COM","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","ÁFRICA","NIGERIA","NGA","CARACAS","CALLE CHIVACOA CRUCE CON CALLE TARIA. QUINTA BLANCA LUZ. SAN ROMÁN","(10.491016, -66.902061)","(+58) (212) 9938281 -  9931520","(NO REGISTRA)","NIGCARMFA@GMAIL.COM -  EMBCANIG@YAHOO.COM-   NIGCARMFA@GMAIL.COM","(NO REGISTRA)"
"EMBAJADA","ÁFRICA","ARGELIA","DZA","BOGOTÁ D.C","CARRERA 11 # 93-53 OFICINA 302","(4.598056, -74.075833)","(57) (1) 6370520 - 6350564 - 702 06 092","(57) (1) 6370531","AMBALGBG@CABLE.NET.CO- ADMIN@EMBARGELIA-COLOMBIA.ORG","HTTP://WWW.EMBARGELIA-COLOMBIA.ORG/"
"EMBAJADA","ASIA","INDONESIA","IDN","BOGOTÁ D.C","CARRERA 11 # 75-29","(4.598056, -74.075833)","(57) (1) 2172404 - 2119735","(57) (1) 3262165 - 3262166","CARLOSCHAVEZPULIDOLP@GMAIL.COM- EINDONES@GMAIL.COM","WWW.KEMLU.GO.ID/BOGOTA/PAGES/DEFAULT.ASPX?L=LC"
"CONSULADO HONORARIO","EUROPA","RUMANIA","ROU","BARRANQUILLA","CARRERA 44 NO. 53 – 02","(10.98611, -74.77028)","(57) (5) 3367200 - 3702263 - 3367203","(NO REGISTRA)","CONSULADODERUMANIA@HOTMAIL.COM- JOSEPHDACCARETT@ALFRESCO.COM.CO","(NO REGISTRA)"
"EMBAJADA","EUROPA","ITALIA","ITA","BOGOTÁ D.C","CALLE 93B # 9-92","(4.598056, -74.075833)","(57) (1) 6107095 - 6107030 - 2187206 - 2186604 - 2186680 - 6107138","(57) (1) 6105886","AMBBOGO.MAIL@ESTERI.IT- BOGOTA.CONSOLARE@ESTERI.IT","HTTP://WWW.AMBBOGOTA.ESTERI.IT/AMBASCIATA_BOGOTA"
"CONSULADO HONORARIO","ÁFRICA","GHANA","GHA","BOGOTA","CALLE 69 A NO 4-12","(0.0, 0.0)","3102621514","(NO REGISTRA)","ERNESTORICOC@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","NORUEGA","NOR","BARRANQUILLA","CARRERA 52 #85-24. BARRIO SAN VICENTE","(10.98611, -74.77028)","(57 5) 358 10 43 / 368 1352","(NO REGISTRA)","KGL.NORSKCONBAQ@ROSCOLTDA.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","LITUANIA","LTU","BOGOTA","CALLE125 NO 16-07","(0.0, 0.0)","(57)(1)8050168   - 3108837343","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","AMÉRICA","CUBA","CUB","BOGOTÁ D.C","CARRERA 9 #  92-54  BARRIO CHICÓ","(4.598056, -74.075833)","(57) (1) 2565391 - 6217054 - 6216116","(NO REGISTRA)","CONSULADO@CO.EMBACUBA.CU","(NO REGISTRA)"
"CONSULADO","AMÉRICA","ESTADOS UNIDOS","USA","BOGOTÁ D.C","CALLE 22D BIS # 47-51","(4.598056, -74.075833)","(57)(1) 2752000","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","FINLANDIA","FIN","CALI","AVENIDA 4 NORTE NO. 4 – 46","(3.420556, -76.522222)","(57) (2) 6614428 – (57)  320 7889748","(NO REGISTRA)","CONSULFINCALI@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ITALIA","ITA","BARRANQUILLA","CALLE 79 NO. 47 – 61 LOCAL 7","(10.98611, -74.77028)","(57) (5) 3680172","(NO REGISTRA)","BARRANQUILLA.ONORARIO@ESTERI.IT","(NO REGISTRA)"
"CONSULADO","EUROPA","BELGICA","BEL","BOGOTÁ D.C","CALLE 26B # 4A -45 PISO 7 TORRE KLM","(4.598056, -74.075833)","(57) (1) 3800370 - 3800380 EXT. 16/35","(NO REGISTRA)","BOGOTA@DIPLOBEL.FED.BE","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","PORTUGAL","PRT","CARTAGENA","BARRIO EL LAGUITO CRA 1A # 1A- 21 EDIFICIO EL LAGUITO APARTAMENTO 1E","(37.605651, -0.991294)","(57) (5) 6550015  (57) 311 6548739","(NO REGISTRA)","CONS.HON.PORTUGALCARTAGENA@GMAIL.COM","(NO REGISTRA)"
