"coddanemunicipio","municipio","codigohabilitacion","nombredelprestador","clasedeprestador","direccion","telefono","email"
"749","SIBUNDOY","8674900784","JOSÉ AZAEL ORTEGA MITICANOY","JOSÉ AZAEL ORTEGA MITICANOY","Profesional Independiente","VEREDA SAGRADO CORAZÓN","VEREDA SAGRADO CORAZÓN"
"´001","MOCOA","8600100279","LABORATORIO CLINICO HIDALGO CAICEDO E.U.","LABORATORIO CLINICO HIDALGO CAICEDO E.U.","Instituciones - IPS","Carrera 7 # 8 - 20","CENTRO"
"´001","MOCOA","8600100643","LABORATORIO BUITRAGO S.A.S","LABORATORIO BUITRAGO S.A.S","Instituciones - IPS","AV. San Francisco Cra 14 No 13-08","OBRERO"
"760","SANTIAGO","8674900685","IPS ESPAÑA ORTIZ LIMITADA","LABORATORIO ESPAÑA","Instituciones - IPS","CRA 5 No. 4A - 5","SAN LUIS BELTRAN"
"757","SAN MIGUEL","8675700781","RUBEN DARIO CABARCAS GONZALEZ","RUBEN DARIO CABARCAS GONZALEZ","Profesional Independiente","carrera 5 calle 6 barrio centro","barrio centro"
"´001","MOCOA","8600100008","José Javier Rodriguez Rodriguez","CONSULTORIO DERMATOLOGICO JOSE JAVIER RODRIGUEZ","Profesional Independiente","Cra 9 Nro 24-7","Jorge Eliécer Gaitán"
"865","VALLE DEL GUAMUEZ","8686500142","MAGDIEL AMADO MARTINEZ","MAGDIEL AMADO MARTINEZ","Profesional Independiente","CRA 6 No. 3-11 b- el recreo","EL RECREO"
"749","SIBUNDOY","8674900785","Juan Carlos Alvarez lopez","Juan Carlos Alvarez lopez","Profesional Independiente","Calle 16 N° 22 - 34","El cedro"
"´001","MOCOA","8600100050","REHABILITAR DEL PUTUMAYO SAS","IPS REHABILITAR DEL PUTUMAYO LTDA","Instituciones - IPS","CARRERA 9 N° 6 - 73","KENNEDY"
"´001","MOCOA","8600100049","RUTH PASTORA BAYONA OVALLE","RUTH PASTORA BAYONA OVALLE","Profesional Independiente","CALLE 12 N. 9 - 48","VILLA COLOMBIA"
"´001","MOCOA","8600100003","SANDRA YANETH HIDALGO CAICEDO","SANDRA YANETH HIDALGO CAICEDO","Profesional Independiente","CARRERA 7ª NUMERO 8-20","CENTRO"
"568","PUERTO ASÍS","8656800093","REGULO ERACLIO BARONA OSORIO","REGULO ERACLIO BARONA OSORIO","Profesional Independiente","CLL 12 # 17-19","LAS AMERICAS"
"´001","MOCOA","8600100229","CENTRO DE IMÁGENES DIAGNOSTICAS TERCER MILENIO LTDA","CENTRO DE IMAGENES DIAGNOSTICAS TERCER MILENIO SEDE TRES","Instituciones - IPS","AVENIDA COLOMBIA","FRENTE AL HOTEL KAWARI"
"749","SIBUNDOY","8674900726","JACK VALERY BANDA ALVAREZ","JACK VALERY BANDA ALVAREZ","Profesional Independiente","CALLE 18 No 15-59",
"´001","MOCOA","8600100229","CENTRO DE IMÁGENES DIAGNOSTICAS TERCER MILENIO LTDA","CENDIDTER","Instituciones - IPS","CALLE 14 No 12 - 81","OBRERO"
"749","SIBUNDOY","8674900708","Francys Johana zuñiga silva","Francys Johana zuñiga silva","Profesional Independiente","cra 10 Nº15-58","oriental"
"749","SIBUNDOY","8674900735","UNIDAD DE SERVICIOS ESPECIALIZADOS SAS","UNIDAD DE SERVICIOS ESPECIALIZADOS SAS","Instituciones - IPS","CARRERA 14 No. 16 - 30","CEN"
"´001","MOCOA","8600100627","IPS SAMYSALUD SAS","IPS SAMYSALUD SAS","Instituciones - IPS","CR 7B 17B-40","VILLA NATALIA"
"865","VALLE DEL GUAMUEZ","8686500722","Maria Patricia Benavides Ortega","Maria Patricia Benavides Ortega","Profesional Independiente","Cra 8 5-71","El EDEN"
"865","VALLE DEL GUAMUEZ","8675700616","Olga Lucia Cuasquer Posos","Olga Lucia Cuasquer Posos","Profesional Independiente","CALLE VIA AL HOSPITAL","LA PARKER DIAGONAL AL HOSPITAL"
"320","ORITO","8632000295","CLINICA SUPERIOR E.U.","CLINICA SUPERIOR E.U.","Instituciones - IPS","Carrera 9ª # 6 - 23","LA UNION"
"´001","MOCOA","8600100677","Diana Jackeline Hidalgo González","Diana Jackeline Hidalgo González","Profesional Independiente","Carrera 4 No. 7-38 2do piso","José María Hernández"
"757","SAN MIGUEL","8675700765","douglas alberto agredo urrea","douglas alberto agredo urrea","Profesional Independiente","cra 5 4-25","bario metropolitano"
"320","ORITO","8632000121","Clara Pombo Rodríguez","Laboratorio Clinico Clara Pombo Rodríguez","Profesional Independiente","carrera 12 3 131",
"´001","MOCOA","8600100177","ANA CAROLINA VIVAS CORDOBA","ANA CAROLINA VIVAS CORDOBA","Profesional Independiente","CRA 4ta No 08 - 31","JOSE MARIA HERNANDEZ"
"749","SIBUNDOY","8674900317","IPS PREVENIR SIBUNDOY EU","ips prevenir sibundoy eu sede sibundoy","Instituciones - IPS","calle 17# 14-57","libertad"
"749","SIBUNDOY","8674900317","IPS PREVENIR SIBUNDOY EU","ips prevenir sibundoy eu sede sibundoy","Instituciones - IPS","calle 17# 14-57","libertad"
"´001","MOCOA","8656800202","CLINICA DE LA AMAZONIA IPS LTDA","CLINICA DE LA AMAZONIA IPS LTDA AGENCIA MOCOA","Instituciones - IPS","CALLE 15 No. 7 A - 40","EL JARDIN"
"568","PUERTO ASÍS","8656800759","CENTRO ESPECIALIZADO DE UROLOGIA PUERTO ASIS","CENTRO ESPECIALIZADO DE UROLOGIA PUERTO ASIS","Instituciones - IPS","CRA 25 N 30B 48","EL RECREO"
"865","VALLE DEL GUAMUEZ","8686500776","Maria Alejandra Iriarte Jaramillo","Maria Alejandra Iriarte Jaramillo","Profesional Independiente","Calle Principal","la amistad"
"´001","MOCOA","8600100740","MARIA ELENA PEREZ MELO","MARIA ELENA PEREZ MELO","Profesional Independiente","CRA 4 No 7-06 B/ JOSE MARIA HERNANDEZ","B/ JOSE MARIA HERNANDEZ"
"320","ORITO","8632000624","MEDERI CENTER IPS SAS","MEDERI CENTER","Instituciones - IPS","DIAGONAL 8 N° 4-116","VERGEL"
"´001","MOCOA","8600100340","MINGA IPSI-AIC","MINGA IPSI - AIC","Instituciones - IPS","cll13#12-67","Obrero"
"568","PUERTO ASÍS","8656800152","NANCY ROSARIO CERON CAMACHO","NANCY ROSARIO CERON CAMACHO","Profesional Independiente","Cra 19 No 8-06","SAN FRANCISCO"
"760","SANTIAGO","8674900066","ASOCIACION IPS INDIGENA INGA KAMENTSA","ASOCIACION IPS INDIGENA INGA KAMENTSA","Instituciones - IPS","CALLE 6 Nº 4-5 B- NAZARETH","NAZARETH"
"568","PUERTO ASÍS","8656800636","AMBULANCIAS DEL SUR OCCIDENTE DE PUERTO ASIS S.A.S","AMBULANCIAS DEL SUROCCIDENTE DE PUERTO ASIS","Transporte Especial de Pacientes","CALLE 11 # 23-80","SAN NICOLAS"
"568","PUERTO ASÍS","8656800675","HERNAN OMAR LINARES GUERRERO","HERNAN OMAR LINARES GUERRERO","Profesional Independiente","CALLE 11 No. 16-81","LAS AMERICAS"
"885","VILLAGARZÓN","8688500228","IPS PROSVISALUD EU","IPS PROSVISALUD EU","Instituciones - IPS","KR 7 No 4-46 Piso 2","CENTRO"
"´001","MOCOA","8600100215","CODENT ODONTOLOGIA ESPECIALIZADA IPS E.U.","CODENT ODONTOLOGIA ESPECIALIZADA IPS E.U.","Instituciones - IPS","KR 8 15-92","CIUDAD JARDIN"
"757","SAN MIGUEL","8600100259","OPTILENTES E.U.","OPTILENTES LA DORADA","Instituciones - IPS","CRA 5 No. 4-57","SAN FELIPE"
"320","ORITO","8632000665","Vilma Cristina Gonzalez Vallejo","Vilma Cristina Gonzalez Vallejo","Profesional Independiente","CARRERA 12 N° 7-84","MARCO FIDEL SUAREZ"
"885","VILLAGARZÓN","8688500700","JHOANA MARGARETH BALETA OVALLE","JHOANA MARGARETH BALETA OVALLE","Profesional Independiente","CRA 4 No 1 -34","JUAN PABLO II"
"568","PUERTO ASÍS","8656800113","HERBERT JOHNSON HURTADO BELTRAN","HERBERT JOHNSON HURTADO BELTRAN","Profesional Independiente","CRA 29 N 10-05 DIAGONAL AL HOSPITAL","B/ALLENDE"
"568","PUERTO ASÍS","8656800211","GENNY ELISABETH DELGADO MORALES","GENNY ELISABETH DELGADO MORALES","Profesional Independiente","NRC 20674","LAS CEIBAS"
"749","SIBUNDOY","8674900766","BENAVIDES REYNA IVAN DARIO","BENAVIDES REYNA IVAN DARIO","Profesional Independiente","CALLE 17 No. 14-57","LIBERTAD"
"´001","MOCOA","8600100760","Katia Mile Castro Arias","Katia Mile Castro Arias","Profesional Independiente","calle 12 Nº 9- 48","Villa Colombia"
"568","PUERTO ASÍS","8656800674","ISABEL CRISTINA VELEZ OBANDO","ISABEL CRISTINA VELEZ OBANDO","Profesional Independiente","CARRERA 10 No 27A - 10","EL CARMEN"
"885","VILLAGARZÓN","8688500751","Luz Angela Rojas Pipicano","Luz Angela Rojas Pipicano","Profesional Independiente","Cra 2 n° 5 - 07","Centro"
"757","SAN MIGUEL","8686500359","HUGO JOSE TORRES HURTADO","HUGO JOSE TORRES HURTADO","Profesional Independiente","carrera 6 N6-12","san felipe"
"219","COLÓN","8600100154","LILIANA MARICEL RODRIGUEZ RENZA","LILIANA MARICEL RODRIGUEZ RENZA","Profesional Independiente","CALLE 3 No. 7-77","Las Americas"
"320","ORITO","8632000732","LEYDI VIVIANA CHAVEZ FLOREZ","CHAVEZ FLOREZ LEYDI VIVIANA","Profesional Independiente","DETRÁS DE COLEGIO SAN JOSÉ, CUARTA CASA","COMUNEROS"
"´001","MOCOA","8600100783","ANTONIO GABRIEL MUSIRI PASTRANA","ANTONIO GABRIEL MUSIRI PASTRANA","Profesional Independiente","calle 8 cra 4-28","jose maría hernandez"
"568","PUERTO ASÍS","8656800673","IPS ANGEL FELIPE SAS","IPS ANGEL FELIPE SAS","Instituciones - IPS","Carrera 25 Nº 30B-48 B/El Recreo junto a la cancha","El Recreo junto a la cancha sintética"
"865","VALLE DEL GUAMUEZ","8686500744","JEIMY LORENA CAICEDO CANACUAN","JEIMY LORENA CAICEDO CANACUAN","Profesional Independiente","CALLE 7ª Nº 5-15","CENTRO"
"571","PUERTO GUZMÁN","8657100088","UNION DE PROMOTORES POR LA SALUD LTDA ""UPROSALUD LTDA""","UNION DE PROMOTORES POR LA SALUD LTDA ""UPROSALUD LTDA""","Instituciones - IPS","PUERTO GUZMAN","LOS PRADOS"
"320","ORITO","8632000686","Yuli Cristina Jaramillo Pabón","Yuli Cristina Jaramillo Pabón","Profesional Independiente","Calle 6 # 9 - 03","Union"
"568","PUERTO ASÍS","8656800109","CLAUDIA PATRICIA PROAÑOS PANTOJA","CLAUDIA PATRICIA PROAÑOS PANTOJA","Profesional Independiente","CALLE 10 No.20-30 Primer Piso Edificio Antares",
"865","VALLE DEL GUAMUEZ","8686500714","MARIA DEL ROSARIO ZAMBRANO TAPIA","MARIA DEL ROSARIO ZAMBRANO TAPIA","Profesional Independiente","Cra. 7 No. 5-106",
"749","SIBUNDOY","8600100217","CORPORACION MI IPS NARIÑO","IPS SIBUNDOY","Instituciones - IPS","CARRERA 19 No 16-57","CASTELVI"
"568","PUERTO ASÍS","8656800754","FRAIDY MARCELA ANDRADE CHAPAL","FRAIDY MARCELA ANDRADE CHAPAL","Profesional Independiente","CALLE 11 N°16-81 Diagonal COMFAMILIAR PTYO","LAS AMERICAS"
"865","VALLE DEL GUAMUEZ","8686500706","DIANA CAROLINA vasquez CADENA","DIANA CAROLINA vasquez CADENA","Profesional Independiente","KRA 6 No 3-321","el recreo"
"865","VALLE DEL GUAMUEZ","8686500359","HUGO JOSE TORRES HURTADO","HUGO JOSE TORRES HURTADO","Profesional Independiente","CR 6 Nº 7-06",
"´001","MOCOA","8600100218","JAIME ALBERYAM DELGADO RENZA","JAIME ALBERYAM DELGADO RENZA","Profesional Independiente","AVENIDA SAN FRANCISCO CALLE 14 CON CARRERA 12 ESQUINA","OBERO"
"749","SIBUNDOY","8674900611","JORGE LUIS MOLINA MEJIA","JORGE LUIS MOLINA MEJIA","Profesional Independiente","CRA. 14 No. 15-58","ORIENTAL"
"865","VALLE DEL GUAMUEZ","8686500777","Jimmy Alexander Burbano Álvarez","Jimmy Alexander Burbano Álvarez","Profesional Independiente","Calle 8 cra 9-05","El Edén"
"885","VILLAGARZÓN","8688500586","San Jose Ips Putumayo SAS","San Jose Ips Putumayo SAS","Instituciones - IPS","Barrio Obrero","Barrio Obrero"
"´001","MOCOA","8656800635","Unimedical del Sur","unimedical del sur sede mocoa","Instituciones - IPS","cra 7B Nº17B-40","villa natalia"
"749","SIBUNDOY","8674900066","ASOCIACION IPS INDIGENA INGA KAMENTSA","ASOCIACION IPS INDIGENA INGA KAMENTSA","Instituciones - IPS","CALLE 15 Nº 15-69","EL RECREO"
