"dm_institucion_cod_institucion","nombre","ccb_nit_inst","orden","suborden","nivel_institucion","clasificacion_organica","sector","naturaleza_juridica","tipo_institucion","idmunicipio","municipio","iddepartamento","departamento","direccion","fax","email","ccb_telefono","ccb_pagina_web","longitud","latitud","estado_ins","nombre_representante","cargo_representante"
"1583","CONCEJO DE CAJAMARCA","809004404","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","124","CAJAMARCA","73","Tolima","CALLE 6 No. 7-52","NULL","karsaenz3@hotmail.com","2870015","http://www.cajamarca-tolima.gov.co/concejo.shtml","-75.426844","4.441792","Activa","NULL","NULL"
"3424","HOSPITAL LOCAL TURBACO","806005602-0","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","836","TURBACO","13","Bolívar","TURBACO,CARRETERA TRONCAL DE OCCIDENTE DIAGONAL BOMBA ESSO","095-6637455","hlt.ese@hotmail.com","6637455-6639219","NO DISPONIBLE","-75.412672","10.334638","Activa","NULL","NULL"
"2016","CONCEJO DE SANTANA","800020733","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","686","SANTANA","15","Boyacá","PARQUE MUNICIPAL","098-289026","alcaldiasantana1@hotmail.com","7289475","http://www.santana-boyaca.gov.co","-73.48223","6.05724","Activa","NULL","NULL"
"5088","PERSONERÍA DE ARATOCA","890205334","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","051","ARATOCA","68","Santander","Parque principal Alcaldia Municipal de Aratoca","097-7266687","lufesama@hotmail.com","7266687 ext 108","NO DISPONIBLE","-73.017346","6.695018","Activa","NULL","NULL"
"2469","CONCEJO DE SAN MIGUEL","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","757","SAN MIGUEL","86","Putumayo","Barrio La Libertad - Palacio Municipal – Recinto Concejo","NULL","concejo@sanmiguel-putumayo.gov.co","(098) 4210529","http://sanmiguel-putumayo.gov.co/concejo.shtml","-76.914724","0.343418","Activa","NULL","NULL"
"2634","CONSEJERIA ESPECIAL PARA ASUNTOS PORTUARIOS - BARRANQUILLA","900004430","Territorial","Distrital","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","Adscripción","001","BARRANQUILLA","08","Atlántico","CALLE 34 No. 43-31 PISO 6","NULL","ceap.gerencia@gmail.com","3411895 - 3798569","NO DISPONIBLE","-74.806981","11.004107","Activa","NULL","NULL"
"3404","HOSPITAL HELI MORENO BLANCO  - PAILITAS","800026173","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","517","PAILITAS","20","Cesar","Cra 7B No. 5-123","095-5287003","gerencia@hospitalpailitas.gov.co","5288452","http://www.hospitalpailitas.gov.co/","-73.626268","8.959667","Activa","NULL","NULL"
"4420","GOBERNACIÓN DE VALLE DEL CAUCA","890399029-5","Territorial","Departamental","Central","Ejecutiva","No Aplica","Gobernación","Adscripción","001","CALI","76","Valle del Cauca","CARRERA 6 CALLE 9 Y 10  PALACIO SAN FRANCISCO","092-928600147","contactenos@valledlecauca.gov.co","6200000 ext 2200-2201","http://www.valledelcauca.gov.co","-76.531985","3.451647","Activa","NULL","NULL"
"0110","ALCALDÍA DE ARIGUANÍ  ","891702186","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","058","ARIGUANÍ","47","Magdalena","Calle 4 Nº. 5 - 102 Plaza Principal","095-4258081","alcaldia@ariguani-magdalena.gov.co
contactenos@ariguani-magdalena.gov.co","313 5759961-57)(5) 4258265","NO DISPONIBLE","-74.228119","9.844197","Activa","NULL","NULL"
"0515","ALCALDÍA DE DISTRACCIÓN","825000166","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","098","DISTRACCIÓN","44","La Guajira","calle 11 No 16a 29 Distraccion","075-7756226","alcaldia@distraccion-laguajira.gov.co","3114266289","http://distraccion-laguajira.gov.co","-72.88412","10.89732","Activa","NULL","NULL"
"8223","INSTITUTO MUNICIPAL DE  DEPORTE Y RECREACIÓN","900589580-3","Territorial","Municipal","Descentralizado","Ejecutiva","NULL","Entidad descentralizada indirecta","Vinculación","300","GUACHENÉ","19","Cauca","CALLE 4 # 5 – 46 Jorge Eliécer Gaitán, Guachené - Cauca","NULL","secretariadedeportes@guachene-cauca.gov.co","8259101","http://www.guachene-cauca.gov.co/","-76.2333","3.0801","Activa","NULL","NULL"
"2635","CONCEJO DE EL ROSARIO","814001669","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","256","EL ROSARIO","52","Nariño","Plaza Principal","(57 + 2) 7265459","eluciamv15@hotmail.com","(57 + 2) 7265459","NO DISPONIBLE","-77.335095","1.74307","Activa","NULL","NULL"
"1265","ALCALDÍA DE VILLARRICA - CAUCA","817002675","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","845","VILLA RICA","19","Cauca","cra 2 1-187","092-8486212","contactenos@villarica-cauca.gov.co","(2)8486212","http://www.villarica-cauca.gov.co","-76.46153","3.175799","Activa","NULL","NULL"
"2020","CONCEJO DE SESQUILE","899999415","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","736","SESQUILÉ","25","Cundinamarca","Calle 6 No. 5-08","8568130","alcaldia@sesquile-cundinamarca.gov.co","8568095","NO DISPONIBLE","-73.796925","5.045268","Activa","NULL","NULL"
"0775","ALCALDÍA DE MOMÍL","800096762","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","464","MOMIL","23","Córdoba","CRA 8 # 10-05","094-7824622","contactenos@momil-cordoba.gov.co","7763188","http://www.momil-cordoba.gov.co","-75.676735","9.239504","Activa","NULL","NULL"
"3384","HOSPITAL DIVINO SALVADOR DE SOPO","860023878-9","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","758","SOPÓ","25","Cundinamarca","CRA 4 No 5-89","091-8572697","servicioalcliente@esehdssopo.com","8572242-8572697","http://www.esehdssopo.com/","-73.941071","4.908732","Activa","NULL","NULL"
"8363","SECRETARÍA DE EDUCACIÓN DEL MUNICIPIO DE CHÍA","NULL","Territorial","Municipal","Central","Ejecutiva","No Aplica","Secretaría de Despacho","Adscripción","175","CHÍA","25","Cundinamarca","Carrera 11 No 11-29","NULL","NULL","8844444","NO DISPONIBLE","-74.050916","4.864758","Activa","NULL","NULL"
"2308","CONCEJO DE NECHI","900238433","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","495","NECHÍ","05","Antioquia","Palacio Municipal, Calle Bolivar","NULL","concejonechi@hotmail.com;concejonechi@edatel.net.co","(57)+(4)8368221","http://concejo.nechi-antioquia.gov.co/index.shtml","-74.776327","8.088419","Activa","NULL","NULL"
"5124","PERSONERÍA DE CAIMITO","823000869","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","124","CAIMITO","70","Sucre","Carrera 15A N. 10 - 01 Plaza Principal, Palacio Municipal Primera Oficina","57 - 5 - 2904136","persocaimito@hotmail.com","57 - 5 - 2904136","http://www.caimito-sucre.gov.co/Personeria.shtml","-75.11489","8.789558","Activa","NULL","NULL"
"2499","CONCEJO DE SANTA ROSA -- SANTA ROSA, BOLÍVAR","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","683","SANTA ROSA","13","Bolívar","Plaza Pricipal, barrio la cereza l","NULL","contactenos@santarosadelnorte-bolivar.gov.co","6297108","NO DISPONIBLE","-75.368501","10.445791","Activa","NULL","NULL"
"2381","CONCEJO DE PUERTO RICO -- PUERTO RICO, CAQUETÁ","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","592","PUERTO RICO","18","Caquetá","Cra 5a No. 4 - 01 BARRIO EL COMERCIO","NULL","concejo@puertorico-caqueta.gov.co","(57) (8) 4 31 280","http://www.puertorico-caqueta.gov.co/concejo.shtml","-75.157235","1.909918","Activa","NULL","NULL"
"0533","ALCALDÍA DE EL CARMEN DE VIBORAL","890982616","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","148","EL CARMEN DE VIBORAL","05","Antioquia","Calle 31 No 30-06","094 5432116","alcaldia@elcarmendeviboral-antioquia.gov.co","094 5432000","http://www.elcarmendeviboral-antioquia.gov.co/","-75.337384","6.082178","Activa","NULL","NULL"
"0922","ALCALDÍA DE PUERTO COLOMBIA","800094386-2","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","573","PUERTO COLOMBIA","08","Atlántico","Carrera 4  2-18 Sede Principal","095-3096021","contactenos@puertocolombia-atlantico.gov.co","3226722","http://www.puertocolombia-atlantico.gov.co","-74.950761","11.001004","Activa","NULL","NULL"
"0386","ALCALDÍA DE CUMBITARA","800099072","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","233","CUMBITARA","52","Nariño","Cra 5 No.3-66 Barrio Belén","094-265544","alcaldia@cumbitara-narino.gov.co","7265544","http://www.cumbitara-narino.gov.co/","-77.58403","1.65494","Activa","NULL","NULL"
"1765","CONCEJO DE CIRCASIA","900129556","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","190","CIRCASIA","63","Quindio","Cra 14 Nº 6-37","NULL","concejo@circasia-quindio.gov.co","7584570","NO DISPONIBLE","-75.635595","4.616094","Activa","NULL","NULL"
"4287","ESP EMPRESA DE SERVICIOS DE ACUEDUCTO, ALCANTARILLADO Y ASEO DEL MUNICIPIO DE APULO EMPOAPULO S.A.","900354769","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","599","APULO","25","Cundinamarca","VIA APULO-ANAPOIMA KM 1","NULL","risele03@yahoo.es","3102526527","NO DISPONIBLE","-74.593706","4.521302","Activa","NULL","NULL"
"2360","CONCEJO DE PORE","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","263","PORE","85","Casanare","Calle 4 No 16-45 Palacio municipal","NULL","concejo@pore-casanare.gov.co","57+8 6388007","http://www.pore-casanare.gov.co/concejo.shtml","-71.993941","5.726563","Activa","NULL","NULL"
"4379","EMPRESA DE SERVICIOS PÚBLICOS DE GUADAS AGUAS DEL CAPIRA","NULL","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","320","GUADUAS","25","Cundinamarca","VACIA","NULL","NULL","000","NO DISPONIBLE","-74.595361","5.067291","Activa","NULL","NULL"
"1275","ALCALDÍA DE YALÍ","890980964","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","885","YALÍ","05","Antioquia","Calle 19 No. 20 A 13","094-8675656","alcaldia@yali-antioquia.gov.co","(4)8675656","http://www.yali-antioquia.gov.co","-74.84211","6.6752","Activa","NULL","NULL"
"6023","PERSONERÍA DE TIMANA","NULL","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","807","TIMANÁ","41","Huila","Carrera 4 # 9-76 Barrio Centro","NULL","contactenos@timana-huila.gov.co","(8) 8374932","http://www.timana-huila.gov.co/Personeria.shtml","-75.932847","1.974415","Activa","NULL","NULL"
"0497","ALCALDÍA DE TANGUA","800099151","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","788","TANGUA","52","Nariño","Barrio Los Andes Tangua Nariño","927-753030","alcaldia@tangua-narino.gov.co","8185624 - Celular -3006558128 - 3185833053","http://www.tangua-narino.gov.co","-77.394241","1.094597","Activa","NULL","NULL"
"2378","CONCEJO DE PUERTO NARIÑO","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","540","PUERTO NARIÑO","91","Amazonas","Carrera 1 con calle 5 - Esquina PALACIO MUNICIPAL","NULL","concejo@puertonarino-amazonas.gov.co","3214547752","http://www.puertonarino-amazonas.gov.co/concejo.shtml","-72.383327","-0.621288","Activa","NULL","NULL"
"5939","PERSONERÍA DE SAN SEBASTIAN","891502482","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","693","SAN SEBASTIÁN","19","Cauca","CAM - SAN SEBASTIAN CAUCA","092-8272594","bladimirgutierrez66@hotmail.com","3215278986","http://www.sebastianmacizo@gov.co","-76.770954","1.838574","Activa","NULL","NULL"
"1605","CONCEJO DE CARTAGENA DEL CHAIRA","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","150","CARTAGENA DEL CHAIRÁ","18","Caquetá","Carrera 3 Calle 4 Esquina","NULL","concejo@cartagenadelchaira-caqueta.gov.co","431 8236","http://www.cartagenadelchaira-caqueta.gov.co/concejo.shtml","-74.843403","1.333845","Activa","NULL","NULL"
"2326","CONCEJO DE PACHO","832001592","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","513","PACHO","25","Cundinamarca","CARRERA 16 No. 7 - 29 - 2 PISO","NULL","concejo@pacho-cundinamarca.gov.co","8540951 - 3125323442","http://www.pacho-cundinamarca.gov.co/concejo.shtml","-74.152868","5.137918","Activa","NULL","NULL"
"2244","CONCEJO DE LA VIRGINIA","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","400","LA VIRGINIA","66","Risaralda","cra8 No 5-35","NULL","concejo@lavirginia-risaralda.gov.co","096-3679191 - 096-3682673 Ext 110 cel 3104213403","http://www.lavirginia-risaralda.gov.co","-75.870845796759","4.88888232388866","Activa","NULL","NULL"
"5461","PERSONERÍA DE SAN VICENTE DEL CAGUAN","NULL","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","753","SAN VICENTE DEL CAGUÁN","18","Caquetá","Crr 4 N°4 - 62 Centro de convivencia","NULL","personeriasavicente1@hotmail.com","4644521","NO DISPONIBLE","-74.773206","2.113645","Activa","NULL","NULL"
"4328","FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA DEL MUNICIPIO EL CARMEN DE ATRATO","818001274","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","Adscripción","245","EL CARMEN DE ATRATO","27","Chocó","Alcaldía municipal","094-9999999","mucarm@telecom.com.co","094-6790214,946790183,","NO DISPONIBLE","-76.142199","5.900621","Activa","NULL","NULL"
"0789","ALCALDÍA DE MOSQUERA - CUNDINAMARCA","899999342","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","473","MOSQUERA","25","Cundinamarca","Carrera 2 No. 2 - 68","091-8276356","gobiernoenlinea@mosquera-cundinamarca.gov.co","091-88275079- 091-88276366- 091-88276015","http://www.mosquera-cundinamarca.gov.co","-74.230101","4.706035","Activa","NULL","NULL"
"1649","CONCEJO DE CORDOBA -- CÓRDOBA, NARIÑO","814003379","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","215","CÓRDOBA","52","Nariño","VACIA","NULL","NULL","000","NO DISPONIBLE","-77.3104","0.5112","Activa","NULL","NULL"
"1050","ALCALDÍA DE SAN LORENZO","800099142","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","687","SAN LORENZO","52","Nariño","Edificio Alcaldia Municipal de San Lorenzo (Nariño) - oficina 101","092-7265891","alcaldia@sanlorenzo-narino.gov.co","3155807344 - 3002796768","http://www.sanlorenzo-narino.gov.co","-77.215167","1.503498","Activa","NULL","NULL"
"3004","ESE CENTRO DE SALUD SAN ANTONIO DE PALMITO","900208755","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","523","PALMITO","70","Sucre","CL 05 No. 2C - 21","(5)-2862143","esepalmito@sanantoniodepalmito-sucre.gov.co","(5)-2862143","NO DISPONIBLE","-75.540823","9.333659","Activa","NULL","NULL"
"5978","PERSONERÍA DE SIMITI","NULL","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","744","SIMITÍ","13","Bolívar","VACIA","NULL","NULL","0","NO DISPONIBLE","-73.946404","7.957151","Activa","NULL","NULL"
"3902","EMPRESA DE SERVICIOS PUBLICOS COLVATEL S.A.","800196299","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","001","BOGOTÁ","11","Bogotá D.C","Diagonal 23K No. 96F-62 Int. 2","091-2981699","kmoscoso@colvatel.com","091-4387000","http://www.colvatel.com","-74.072092","4.710989","Activa","NULL","NULL"
"4387","FUNDACIÓN GILBERTO ALZATE AVENDAÑO","860044113","Territorial","Distrital","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Calle 10 No 3-16 La Candelaria","NULL","atencionalciudadano@fuga.gov.co","4320410","http://www.fuga.gov.co","-74.072092","4.710989","Activa","NULL","NULL"
"8076","INSTITUTO TÉCNICO SUPERIOR INDUSTRIAL DE BARRANCABERMEJA","890270004-6","Territorial","Municipal","Descentralizado","Ejecutiva","NULL","Establecimiento Público","Adscripción","081","BARRANCABERMEJA","68","Santander","Carrera 28 No 53 - 08","NULL","almacenistsi@hotmail.com","097 6224709","NO DISPONIBLE","-73.851932","7.061708","Activa","NULL","NULL"
"4271","ENTE DEPORTIVO MUNICIPAL DE EL CARMEN","807003657","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","Adscripción","245","EL CARMEN","54","Norte de Santander","Alcaldia municipal El Carmen, Parque principal","097-5633421","alcaldiaelcarmenns@yahoo.es","097-5633421","NO DISPONIBLE","-73.4488","8.50874","Activa","NULL","NULL"
"2331","CONCEJO DE PALESTINA -- PALESTINA, CALDAS","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","524","PALESTINA","17","Caldas","Cra 10 No 8-25","NULL","contactenos@palestina-caldas.gov.co","(576) 8710424","http://www.palestina-caldas.gov.co/concejo.shtml","-75.622882","5.019211","Activa","NULL","NULL"
"5385","PERSONERÍA DE PUEBLO NUEVO","812000004","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","570","PUEBLO NUEVO","23","Córdoba","VACIA","NULL","NULL","0","NO DISPONIBLE","-75.507409","8.50502","Activa","NULL","NULL"
"8353","EMPRESA DE SERVICIOS PUBLICOS AGUAS DE PUERTO WILCHES SAS","900346154","Territorial","Municipal","Descentralizado","Ejecutiva","NULL","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","575","PUERTO WILCHES","68","Santander","Carrera 3 # 4-76","NULL","aguasdepuertowilchessasesp@yahoo.es","6132179","NO DISPONIBLE","-73.905454","7.33875","Activa","NULL","NULL"
"4368","FONDO MIXTO PARA LA PROMOCIÓN DE LA CULTURA Y LAS ARTES DEL VALLE DEL CAUCA","800214426","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","Adscripción","001","CALI","76","Valle del Cauca","Cra 6 Calle 9y 10 semisotano","092-8857001","fmculturavalle@telesat.com.co","092-6200000","NO DISPONIBLE","-76.531985","3.451647","Activa","NULL","NULL"
"2588","CONCEJO DE UNION PANAMERICANA","818001689-6","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","810","UNIÓN PANAMERICANA","27","Chocó","Calle 4ta N° 9-38 Barrio Calle Nueva  Las Animas Barrio el Comercio","6700182","concejounionpa18@hotmail.com","3206813457","NO DISPONIBLE","-76.629719","5.279168","Activa","NULL","NULL"
"0504","ALCALDÍA DE VALLEDUPAR","800098911-8","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","001","VALLEDUPAR","20","Cesar","Carrera  5 No 15-69  Plaza Alfonso López","575-5742137","talentohumano@valledupar-cesar.gov.co","575-5842400 Ext: 144","http://www.valledupar.gov.co","-73.243633","10.474245","Activa","NULL","NULL"
"2908","CENTRO DE SALUD - CONSACÁ","814006732","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","207","CONSACA","52","Nariño","CALLE 13 No 8 - 39 SAN VICENTE","092-7423551","ykr49a@hotmail.com","7423135","NO DISPONIBLE","-77.465658","1.207624","Activa","NULL","NULL"
"4080","EMPRESAS PÚBLICAS DE  MARSELLA","891411995","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","440","MARSELLA","66","Risaralda","Centro administrativo municipal Calle 17   9 - 62","096-3685751","gerencia@empumar.gov.co","096-3685185","http://www.empumar.gov.com/","-75.737551","4.937236","Activa","NULL","NULL"
"0522","ALCALDÍA DE EBÉJICO","890983664","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","240","EBÉJICO","05","Antioquia","Carrera 20 No 20-11","094 8562190","alcaldia@ebejico-antioquia.gov.co","094 8562116","http://www.ebejico-antioquia.gov.co","-75.767345","6.326906","Activa","NULL","NULL"
"5396","REGISTRADURIA NACIONAL DEL ESTADO CIVIL","899999040","Nacional","No Aplica","No Aplica","Organizacion electoral","No Aplica","Registradora Nacional","No Aplica","001","BOGOTÁ","11","Bogotá D.C","Avenida El Dorado # 46-20","2200882","gerenciath@registraduria.gov.co","2200868","http://www.registraduria.gov.co","-74.072092","4.710989","Activa","NULL","NULL"
"1671","CONCEJO DE CHIA","899999172","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","175","CHÍA","25","Cundinamarca","Carrera 3a. No.18-87 Chia Cundinamarca","091-8631284","mpiochia@tutopia.com","3105562626","http://www.chia.gov.co","-74.050916","4.864758","Activa","NULL","NULL"
"8383","CONCEJO DE ARMENIA - ANTIOQUIA","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","NULL","Concejo Municipal","No Aplica","059","ARMENIA","05","Antioquia","Callle 10 No 9-22","NULL","NULL","094 8559015","NULL","-75.786783","6.157059","Activa","NULL","NULL"
"5141","PERSONERÍA DE CHAPARRAL","809006107","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","168","CHAPARRAL","73","Tolima","Cr 9 Cl 9 esq. edificio Alcaldía","(057+ 8)2461309","contactenos@chaparral-tolima.gov.co","(057+8) 2460290","http://chaparral-tolima.gov.co/Personeria.shtml","-75.483979","3.723827","Activa","NULL","NULL"
"1238","ALCALDÍA DE VALLE DEL GUAMUEZ","800102912","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","865","VALLE DEL GUAMUEZ","86","Putumayo","Calle 7ª  No 5-11 Centro","098-4287178","contactenos@valledelguamuez-putumayo.gov.co
valledelguamuez@hotmail.com","(8)4282059","http://www.valledelguamez-putumayo.gov.co","-76.800256","0.45791","Activa","NULL","NULL"
"0457","ALCALDÍA DE PUERTO SANTANDER","800250853","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","553","PUERTO SANTANDER","54","Norte de Santander","Carrera  3  No 2 - 35","NULL","alcaldia@puertosantander-nortedesantander.gov.co","5660135","http://www.puertosantander-nortedesantander.gov.co","-72.408389","8.361323","Activa","NULL","NULL"
"2684","CONTRALORÍA MUNICIPAL DE ENVIGADO","811031484-6","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Contraloría Municipal","No Aplica","266","ENVIGADO","05","Antioquia","Calle 38 ASUR 43-36","3394194","contraloria@contraloriaenvigado.gov.co","3394050","http://www.contraloriaenvigado.gov.co/","-75.587364","6.169611","Activa","NULL","NULL"
"1334","ASOCIACION DE MUNICIPIOS DEL ALTO ARIARI","822002858","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","No Aplica","001","VILLAVICENCIO","50","Meta","Calle 18 No 39-08  Barrio Balata","098-6716083","asoama@ama.gov.co","098-6716083,6715492,6591007","http://www.ama.gov.co","-73.63769","4.151382","Activa","NULL","NULL"
"0088","ALCALDÍA DE ANORÍ","890982489","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","040","ANORÍ","05","Antioquia","Carrera 30 # 30-09","8350842","alcaldia@anori-antioquia.gov.co
contactenos@anori-antioquia.gov.co","094 8350404/8350849","http://www.anori.gov.co","-75.147287","7.073562","Activa","NULL","NULL"
"1504","CONCEJO DE AIPE","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","016","AIPE","41","Huila","Calle 4 No 4- 09","NULL","concejo@aipe-huila.gov.co","(8) 8389091","http://www.aipe-huila.gov.co/","-75.241066","3.222095","Activa","NULL","NULL"
"0518","ALCALDÍA DE DOSQUEBRADAS","800099310-6","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","170","DOSQUEBRADAS","66","Risaralda","Avenida  Simon Bolivar Cra 16 No. 36-44 CAM.","096-3323910","alcaldia@dosquebradas.gov.co","3320535","http://www.dosquebradas.gov.co","-75.680568","4.831826","Activa","NULL","NULL"
"6155","SPA RIVERA TERMALES S.A.","900125924","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Sociedad de Economía Mixta","Vinculación","001","NEIVA","41","Huila","Calle 9   5-92 Of. 307","311-5643161","spariveratermales@yahoo.es","098-8722411","NO DISPONIBLE","-75.2809","2.934484","Activa","NULL","NULL"
"1286","ALCALDÍA DE ZIPAQUIRÁ","899999318","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","899","ZIPAQUIRÁ","25","Cundinamarca","Calle 5 No 7-70","091-8515493","contactenos@zipaquira-cundinamarca.gov.co","(1)5939150 ext 107 o 108","http://www.zipaquira-cundinamarca.gov.co","-73.990955","5.021476","Activa","RODRIGUEZ VALBUENA, LUIS ALFONSO","Alcalde"
"6098","PERSONERÍA DE SORA","800019277","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","762","SORA","15","Boyacá","Calle 3 No.2-35 Casa municipal","098-7340300","personeria@sora-boyaca.gov.co","7340300-3102560469","http://www.sora-boyaca.gov.co/","-73.450095","5.566838","Activa","NULL","NULL"
"3370","HOSPITAL DEL ROSARIO - GINEBRA","891380070","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","306","GINEBRA","76","Valle del Cauca","Calle 5 Número 5-02 Ginebra, Valle","092-9999999","hospitaldelrosariodeginebra@gmail.com","092 2561165","NO DISPONIBLE","-76.269279","3.725234","Activa","NULL","NULL"
"6248","AGUA Y ASEO DEL MACIZO S.A.S","NULL","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","359","ISNOS","41","Huila","VACIA","NULL","NULL","000","NO DISPONIBLE","-76.214046","1.932389","Activa","NULL","NULL"
"5271","PERSONERÍA DE JARDIN","890982294","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","364","JARDÍN","05","Antioquia","Carrera 3  No. 10 - 10","094-8455057","personeria@eljardin-antioquia.gov.co","8455210","http://www.municipiodejardin.gov.co","-75.819361","5.596767","Activa","NULL","NULL"
