"entity_name","fiscal_year","governmental_funds_net_pension","governmental_funds_net_pension_1","enterprise_funds_net_pension","enterprise_funds_net_pension_1","intenal_service_funds_net","intenal_service_funds_net_1","fiduciary_funds_net_pension","fiduciary_funds_net_pension_1","total_net_pension_asset","total_net_pension_liability"
"Calaveras Public Power Agency","2020",,,,,,,,,"0","0"
"Calaveras Public Utility District","2020",,,,"1239811",,,,,"0","1239811"
"Calaveras Transit Agency","2020",,,,,,,,,"0","0"
"Calexico Financing Authority","2020",,,,,,,,,"0","0"
"California Affiliated Risk Management Authorities (CARMA)","2020",,,,,,,,,"0","0"
"California Affordable Housing Agency","2020",,,,,,,,,"0","0"
"California Alternative Energy and Advanced Transportation Financing Authority","2020",,,,,,,,,"0","0"
"California Association for Park and Recreation Indemnity","2020",,,,"714764",,,,,"0","714764"
"California Association of Health and Education Linked Professions (CAHELP JPA)","2020",,,,,,,,,"0","0"
"California Association of Mutual Water Companies Joint Powers Risk and Insurance Management Authority","2020",,,,,,,,,"0","0"
"California Authority of Racing Fairs","2020",,,,"797110",,,,,"0","797110"
"California Cannabis Authority","2020",,,,,,,,,"0","0"
"California Charter Schools Joint Powers Authority","2020",,,,,,,,,"0","0"
"California Choice Energy Authority","2020",,,,,,,,,"0","0"
"California Cities for Self Reliance Joint Powers Authority","2020",,,,,,,,,"0","0"
"California Cities Gaming Authority","2020",,,,,,,,,"0","0"
"California Community College Financing Authority","2020",,,,,,,,,"0","0"
"California Community Housing Agency","2020",,,,,,,,,"0","0"
"California Educational Computer Consortium Joint Powers Authority","2020",,,,,,,,,"0","0"
"California Educational Facilities Authority","2020",,,,"619197",,,,,"0","619197"
"California Electronic Recording Transaction Network Authority (CERTNA)","2020",,,,"475069",,,,,"0","475069"
"California Enterprise Development Authority - CEDA","2020",,,,,,,,,"0","0"
"California Fair Service Authority","2020",,,,"4822325",,,,,"0","4822325"
"California Fairs Financing Authority","2020",,,,"3507170",,,,,"0","3507170"
"California Finance Authority for Delinquent Special Taxes and Assessments","2020",,,,,,,,,"0","0"
"California Fire and Rescue Training Authority","2020",,,,,,,,,"0","0"
"California Health Facilities Financing Authority","2020",,,,"2031855",,,,,"0","2031855"
"California Housing Opportunities Agency","2020",,,,,,,,,"0","0"
"California Housing Workers Compensation Authority","2020",,,,,,,,,"0","0"
"California Identification System In Fresno County","2020",,,,,,,,,"0","0"
"California Insurance Pool Authority","2020",,,,,,,,,"0","0"
"California Intergovernmental Risk Authority","2020",,,,"434713",,,,,"0","434713"
"California Joint Powers Insurance Authority","2020",,,,"3013620",,,,,"0","3013620"
"California Joint Powers Risk Management Authority","2020",,,,"1018368",,,,,"0","1018368"
"California Maritime Infrastructure Authority","2020",,,,,,,,,"0","0"
"California Mental Health Services Authority","2020",,,,,,,,,"0","0"
"California Mobilehome Park Financing Authority","2020",,,,,,,,,"0","0"
"California Municipal Finance Authority","2020",,,,,,,,,"0","0"
"California Pines Community Services District","2020",,,,,,,,,"0","0"
"California Pollution Control Financing Authority","2020",,,,"862067",,,,,"0","862067"
"California Public Financing Authority","2020",,,,,,,,,"0","0"
"California Qualified School Bond Joint Powers Authority","2020",,,,,,,,,"0","0"
"California Residential Mitigation Program (CRMP)","2020",,,,,,,,,"0","0"
"California Risk Management Authority (CRMA)","2020",,,,,,,,,"0","0"
"California Risk Management Authority (CRMA II)","2020",,,,,,,,,"0","0"
"California Rural Water Risk Management Authority","2020",,,,,,,,,"0","0"
"California Sanitation Districts Risk Management Authority","2020",,,,,,,,,"0","0"
"California School Cash Reserve Program Authority","2020",,,,,,,,,"0","0"
"California School Facilities Financing Authority","2020",,,,,,,,,"0","0"
"California School Financing Authority","2020",,,,,,,,,"0","0"
"California Schools Employee Benefit Association","2020",,,,,,,,,"0","0"
"California Schools Employee Benefits Organization","2020",,,,,,,,,"0","0"
"California Schools Risk Management","2020",,,,,,,,,"0","0"
"California State University Risk Management Authority","2020",,,,,,,,,"0","0"
"California Statewide Communities Development Authority","2020",,,,,,,,,"0","0"
"California Statewide Delinquent Tax Financing Authority","2020",,,,,,,,,"0","0"
"California Stormwater Authority","2020",,,,,,,,,"0","0"
"California Tahoe Emergency Services Operation Authority","2020",,,,,,,,,"0","0"
"California Transit Systems Joint Powers Insurance Authority","2020",,,,,,,,,"0","0"
"California Urban Waterfront Area Restoration Financing Authority","2020",,,,,,,,,"0","0"
"California Valley Community Services District","2020",,,,,,,,,"0","0"
"California VanPool Authority (CalVans)","2020",,,"(54,255)","50455",,,,,"-54255","50455"
"Calimesa Financing Authority","2020",,,,,,,,,"0","0"
"Calistoga Public Facilities Corporation","2020",,,,,,,,,"0","0"
"Callahan Water District","2020",,,,,,,,,"0","0"
"Callayomi County Water District","2020",,,,"324353",,,,,"0","324353"
"Calleguas-Las Virgenes Public Financing Authority","2020",,,,,,,,,"0","0"
"Calleguas Municipal Water District","2020",,,,"5897072",,,,,"0","5897072"
"Calpella County Water District","2020",,,,,,,,,"0","0"
"Calpine Lighting District","2020",,,,,,,,,"0","0"
"CalSAWS Consortium","2020",,,,,,,,,"0","0"
"Cal State L.A. Metrolink Station Authority","2020",,,,,,,,,"0","0"
"CalTRUST","2020",,,,,,,,,"0","0"
"Calwa Recreation and Park District","2020",,,,,,,,,"0","0"
"Camarillo Health Care District","2020",,,,"1596760",,,,,"0","1596760"
"Camarillo Lighting Maintenance District (Ventura)","2020",,,,,,,,,"0","0"
"Camarillo Public Financing Authority","2020",,,,,,,,,"0","0"
"Camarillo Sanitary District (Ventura)","2020",,,,"6007430",,,,,"0","6007430"
"Cambria Cemetery District","2020",,"56863",,,,,,,"0","56863"
"Cambria Community Healthcare District","2020",,,,"1644639",,,,,"0","1644639"
"Cambria Community Services District","2020",,"3422367",,"2075991",,,,,"0","5498358"
"Cameron Estates Community Services District","2020",,,,,,,,,"0","0"
"Cameron Park Airport District","2020",,,,,,,,,"0","0"
"Cameron Park Community Services District","2020",,"2069817",,,,,,,"0","2069817"
"Camp 13 Drainage District","2020",,,,,,,,,"0","0"
"Campbell Joint Public Finance Authority","2020",,,,,,,,,"0","0"
"Camp Far West Irrigation District","2020",,,,,,,,,"0","0"
"Camp Meeker Recreation and Park District","2020",,,,,,,,,"0","0"
"Campo Bello-University Park Drainage Maintenance District (San Mateo)","2020",,,,,,,,,"0","0"
"Campo Water Maintenance District","2020",,,,,,,,,"0","0"
"Camptonville Cemetery District","2020",,,,,,,,,"0","0"
"Camptonville Community Services District","2020",,,,,,,,,"0","0"
"Camrosa Water District","2020",,,,"4821108",,,,,"0","4821108"
"Camrosa Water District Financing Authority","2020",,,,,,,,,"0","0"
"Canada County Water District","2020",,,,,,,,,"0","0"
"Canby Fire Protection District","2020",,,,,,,,,"0","0"
"Canby Lighting District","2020",,,,,,,,,"0","0"
"Canebrake County Water District","2020",,,,,,,,,"0","0"
"Canon Manor West Assessment District","2020",,,,,,,,,"0","0"
"Canto Del Lupine Permanent Road Division No. 1880","2020",,,,,,,,,"0","0"
"Canyon Creek Estates Permanent Road Division","2020",,,,,,,,,"0","0"
"Canyon Lake Public Financing Authority","2020",,,,,,,,,"0","0"
"Capay Cemetery District","2020",,,,,,,,,"0","0"
"Capay Fire Protection District","2020",,,,,,,,,"0","0"
"Capay Valley Fire Protection District","2020",,,,,,,,,"0","0"
"Capistrano Bay Community Services District","2020",,,,,,,,,"0","0"
"Capital South East Connector Authority","2020",,,,,,,,,"0","0"
"Capitol Area Development Authority","2020",,,,"4730335",,,,,"0","4730335"
"Capitol Corridor Joint Powers Authority","2020",,,,,,,,,"0","0"
"Carlotta Community Services District","2020",,,,,,,,,"0","0"
"Carlsbad Municipal Water District","2020",,,,"6527185",,,,,"0","6527185"
"Carlsbad Public Financing Authority","2020",,,,,,,,,"0","0"
"Carlsbad Unified School District Educational Facilities Corporation","2020",,,,,,,,,"0","0"
"Carmel Area Wastewater Agency (Monterey)","2020",,,"414355",,,,,,"414355","0"
"Carmel Highlands Fire Protection District","2020","1522",,,,,,,,"1522","0"
"Carmel Valley County Sanitation (Monterey)","2020",,,,,,,,,"0","0"
"Carmel Valley Recreation and Park District","2020",,,,,,,,,"0","0"
"Carmichael Recreation and Park District","2020",,"2806617",,,,,,,"0","2806617"
"Carmichael Water District","2020",,,,"2817998",,,,,"0","2817998"
"Carmichael Water District Financing Corporation","2020",,,,,,,,,"0","0"
"Carpinteria Cemetery District","2020",,"243690",,,,,,,"0","243690"
"Carpinteria Groundwater Sustainability Agency","2020",,,,,,,,,"0","0"
"Carpinteria Public Improvement Corporation","2020",,,,,,,,,"0","0"
"Carpinteria Sanitary District (Santa Barbara)","2020",,,,"2365657",,,,,"0","2365657"
"Carpinteria Street Lighting District No. 1","2020",,,,,,,,,"0","0"
"Carpinteria - Summerland Fire Protection District","2020",,"11258999",,,,,,,"0","11258999"
"Carpinteria Valley Water District","2020",,,,"3720554",,,,,"0","3720554"
"Carson Public Financing Authority","2020",,,,,,,,,"0","0"
"Carson Reclamation Authority","2020",,,,,,,,,"0","0"
"Carters Cemetery District","2020",,,,,,,,,"0","0"
"Caruthers Community Services District","2020",,,,,,,,,"0","0"
"Cascade Crossing Permanent Road Division","2020",,,,,,,,,"0","0"
"Casitas Municipal Water District","2020",,,,"8708942",,,,,"0","8708942"
"Casmalia Community Services District","2020",,,,,,,,,"0","0"
"Caspar South Water District","2020",,,,,,,,,"0","0"
"Castella Fire Protection District","2020",,,,,,,,,"0","0"
"Castle Rock County Water District","2020",,,,,,,,,"0","0"
"Castro Valley Sanitary District (Alameda)","2020",,,,"2834988",,,,,"0","2834988"
"Castroville Cemetery District","2020",,,,,,,,,"0","0"
"Castroville Community Services District","2020",,,,"657254",,,,,"0","657254"
"Cathedral City Community Services District","2020",,,,,,,,,"0","0"
"Cathedral City Public Finance Authority","2020",,,,,,,,,"0","0"
"Cawelo Groundwater Sustainability Agency","2020",,,,,,,,,"0","0"
"Cawelo Water District","2020",,,,"1526445",,,,,"0","1526445"
"Cayucos-Morro Bay Cemetery District","2020",,"610993",,,,,,,"0","610993"
"Cayucos Sanitary District (San Luis Obispo)","2020",,,,"636106",,,,,"0","636106"
"Cazadero Community Services District","2020",,,,,,,,,"0","0"
"CCWD Public Financing Authority","2020",,,,,,,,,"0","0"
"Cedar Glen Permanent Road Division","2020",,,,,,,,,"0","0"
"Cedar Ridge Road Permanent Road Division No. 20","2020",,,,,,,,,"0","0"
"Cedarville Cemetery District","2020",,,,,,,,,"0","0"
"Cedarville County Water District","2020",,,,,,,,,"0","0"
"Cedarville Fire Protection District","2020",,,,,,,,,"0","0"
"Cedarville Lighting District","2020",,,,,,,,,"0","0"
"Celeste County Water District","2020",,,,,,,,,"0","0"
"Cemetery District No. 1","2020",,"1169951",,,,,,,"0","1169951"
"Cemetery District No. 1 (Placer)","2020",,"357855",,,,,,,"0","357855"
"Cemetery District No. 2","2020",,,,,,,,,"0","0"
"Cemetery District No. 3","2020",,,,,,,,,"0","0"
"Cemetery District No. 5","2020",,,,,,,,,"0","0"
"Cemetery District of the Redwoods","2020",,,,,,,,,"0","0"
"Center for Advanced Research and Technology","2020",,,,,,,,,"0","0"
"Center for Staff Development","2020",,,,,,,,,"0","0"
"Centerville Community Services District","2020",,,,"452218",,,,,"0","452218"
"Centinella Water District","2020",,,,,,,,,"0","0"
"Central Basin Municipal Water District","2020",,,,"6503857",,,,,"0","6503857"
"Central Calaveras Fire and Rescue Protection District","2020",,,,,,,,,"0","0"
"Central California Irrigation District","2020",,,,,,,,,"0","0"
"Central California Mortgage Authority","2020",,,,,,,,,"0","0"
"Central California Schools Authority (CCSA)","2020",,,,,,,,,"0","0"
"Central California Schools Financing Authority","2020",,,,,,,,,"0","0"
"Central California Tristeza Eradication Agency","2020",,,,,,,,,"0","0"
"Central California Vector Control Joint Powers Agency","2020",,,,,,,,,"0","0"
"Central Coast Community Energy Authority","2020",,,,,,,,,"0","0"
"Central Coast Water Authority","2020",,,,"3745005",,,,,"0","3745005"
"Central Contra Costa Sanitary District (Contra Costa)","2020",,,,"64117450",,,,,"0","64117450"
"Central Contra Costa Solid Waste Authority","2020",,"307159",,,,,,,"0","307159"
"Central Contra Costa Transit Authority","2020",,,,"9579911",,,,,"0","9579911"
"Central County Fire Department","2020",,"45230293",,,,,,,"0","45230293"
"Central Delta-Mendota Groundwater Sustainability Agency","2020",,,,,,,,,"0","0"
"Central Delta Water Agency","2020",,,,,,,,,"0","0"
"Central Fire Protection District (Santa Clara)","2020",,"192519864",,,,,,,"0","192519864"
"Central Fire Protection District (Santa Cruz)","2020",,"25420123",,,,,,,"0","25420123"
"Central Marin Fire Authority","2020",,,,,,,,,"0","0"
"Central Marin Police Authority","2020",,"24866029",,,,,,,"0","24866029"
"Central Marin Sanitation Agency","2020",,,,"12098199",,,,,"0","12098199"
"Central Net Operations Authority","2020",,,,,,,,,"0","0"
"Central Plumas Recreation District","2020",,,,,,,,,"0","0"
"Central Region School Insurance Group","2020",,,,,,,,,"0","0"
"Central San Joaquin Financing Authority","2020",,,,,,,,,"0","0"
"Central San Joaquin Valley Risk Management Authority","2020",,,,,,,,,"0","0"
"Central San Joaquin Water Conservation District","2020",,,,,,,,,"0","0"
"Central Sierra Child Support Agency","2020",,"3562972",,,,,,,"0","3562972"
"Central Sierra Economic Development District","2020",,,,,,,,,"0","0"
"Central Sierra Planning Council","2020",,"496561",,,,,,,"0","496561"
"Central Tulare County School Districts Self-Insurance Authority","2020",,,,,,,,,"0","0"
"Central Valley Cemetery District","2020",,,,,,,,,"0","0"
"Central Valley Financing Authority","2020",,,,,,,,,"0","0"
"Central Valley Healthcare Alliance","2020",,,,,,,,,"0","0"
"Central Valley Pest Control District","2020",,,,,,,,,"0","0"
"Central Valley Public Transportation Authority","2020",,,,,,,,,"0","0"
"Central Valley School Districts Financing Corporation","2020",,,,,,,,,"0","0"
"Central Valley Schools Joint Powers Authority","2020",,,,,,,,,"0","0"
"Central Water District","2020",,,,"338970",,,,,"0","338970"
"Century Ranch Water District","2020",,,,,,,,,"0","0"
"Ceres Financing Authority","2020",,"4628219",,,,,,,"0","4628219"
"Ceres Fire Protection District","2020",,,,,,,,,"0","0"
"Cerritos Public Financing Authority","2020",,,,,,,,,"0","0"
"Chabot Space & Science Center","2020",,,,,,,,,"0","0"
"Chalfant Valley Fire Department","2020",,,,,,,,,"0","0"
"Channel Islands Beach Community Services District","2020",,,,"408",,,,,"0","408"
"Charleston Drainage District (Merced)","2020",,,,,,,,,"0","0"
"Chester Cemetery District","2020",,,,,,,,,"0","0"
"Chester Public Utility District","2020",,,,"1638000",,,,,"0","1638000"
"Chico Area Recreation and Park District","2020",,,,"2336424",,,,,"0","2336424"
"Chico Urban Area Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"China Gulch Permanent Road Division No. 1860","2020",,,,,,,,,"0","0"
"Chino Basin Desalter Authority (CDA)","2020",,,,,,,,,"0","0"
"Chino Basin Regional Financing Authority","2020",,,,,,,,,"0","0"
"Chino Basin Water Bank Planning Authority","2020",,,,,,,,,"0","0"
"Chino Basin Water Conservation District","2020",,"507258",,,,,,,"0","507258"
"Chino Hills Financing Authority","2020",,,,,,,,,"0","0"
"Chino Hills Parking Authority","2020",,,,,,,,,"0","0"
"Chino Unified School District Capital Facilities Corporation","2020",,,,,,,,,"0","0"
"Chino Unified School District Land Acquisition Corporation","2020",,,,,,,,,"0","0"
"Chino Valley Independent Fire District","2020",,"45094793",,,,,,,"0","45094793"
"Chiriaco Summit Water District","2020",,,,,,,,,"0","0"
"Cholame Valley Cemetery District","2020",,,,,,,,,"0","0"
"Chowchilla Cemetery District","2020",,,,,,,,,"0","0"
"Chowchilla Memorial Healthcare District","2020",,,,,,,,,"0","0"
"Chowchilla Public Finance Authority","2020",,,,,,,,,"0","0"
"Chowchilla-Red Top Resource Conservation District","2020",,,,,,,,,"0","0"
"Chowchilla Union High School District Public Improvement Corporation","2020",,,,,,,,,"0","0"
"Chowchilla Water District","2020",,,,,,,,,"0","0"
"Christian Valley Park Community Services District","2020",,,,,,,,,"0","0"
"Chula Vista Bayfront Facilities Financing Authority","2020",,,,,,,,,"0","0"
"Chula Vista Municipal Financing Authority","2020",,,,,,,,,"0","0"
"Chula Vista Public Financing Authority","2020",,,,,,,,,"0","0"
"Church Tree Community Services District","2020",,,,,,,,,"0","0"
"Circle Oaks County Water District","2020",,,,,,,,,"0","0"
"Circle XX Community Services District","2020",,,,,,,,,"0","0"
"Citrus Heights Water District","2020",,,,"4611042",,,,,"0","4611042"
"Citrus Pest Control District No. 2","2020",,,,,,,,,"0","0"
"City and County of San Francisco Redevelopment Financing Authority","2020",,,,,,,,,"0","0"
"City/County Association of Governments of San Mateo County","2020",,"550228",,,,,,,"0","550228"
"City-County Capital Improvements and Financing Agency","2020",,,,,,,,,"0","0"
"City of Alameda Financing Authority","2020",,,,,,,,,"0","0"
"City of Alameda Health Care District","2020",,,,,,,,,"0","0"
"City of Albany Public Facilities Financing Authority","2020",,,,,,,,,"0","0"
"City of Alhambra Parking Authority","2020",,,,,,,,,"0","0"
"City of Antioch Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Arroyo Grande Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Banning Financing Authority","2020",,,,,,,,,"0","0"
"City of Beaumont Financing Authority","2020",,,,,,,,,"0","0"
"City of Beverly Hills Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Brea Midbury Assessment Authority","2020",,,,,,,,,"0","0"
"City of Carmel-By-The-Sea Public Improvement Authority","2020",,,,,,,,,"0","0"
"City of Chico Parking Authority","2020",,,,"1486330",,,,,"0","1486330"
"City of Chino Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Clearlake Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Colusa Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Commerce Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"City of Concord Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"City of Coronado Improvement Corporation","2020",,,,,,,,,"0","0"
"City of Davis Public Facilities Financing Authority","2020",,,,,,,,,"0","0"
"City of Diamond Bar Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Downey Public Facilities Financing Corporation","2020",,,,,,,,,"0","0"
"City of Fairfield Sewer Facilities Improvement District","2020",,,,,,,,,"0","0"
"City of Fort Bragg Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"City of Fullerton Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Gardena Financing Agency","2020",,,,,,,,,"0","0"
"City of Gardena Parking Authority","2020",,,,,,,,,"0","0"
"City of Glendale Financing Authority","2020",,,,,,,,,"0","0"
"City of Hanford Public Improvement Corporation","2020",,,,,,,,,"0","0"
"City of Industry Property and Housing Management Authority","2020",,,,,,,,,"0","0"
"City of Industry Public Facilities Authority","2020",,,,,,,,,"0","0"
"City of Jackson Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Lafayette Public Facilities Financing Authority","2020",,,,,,,,,"0","0"
"City of Laguna Beach Public Improvements Corporation","2020",,,,,,,,,"0","0"
"City of Lakeport Municipal Sewer District No. 1","2020",,,,"1641074",,,,,"0","1641074"
"City of Live Oak Public Improvement Corporation","2020",,,,,,,,,"0","0"
"City of Marysville Levee District (Yuba)","2020",,,,,,,,,"0","0"
"City of Marysville Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Menlo Park Joint Powers Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Merced Public Financing and Economic Development Authority","2020",,,,,,,,,"0","0"
"City of Monterey Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"City of Mountain View Capital Improvement Financing Authority","2020",,,,,,,,,"0","0"
"City of Oxnard Financing Authority","2020",,,,,,,,,"0","0"
"City of Pacifica Financing Authority","2020",,,,,,,,,"0","0"
"City of Palm Springs Finance Authority","2020",,,,,,,,,"0","0"
"City of Pismo Beach Public Facilities Corporation","2020",,,,,,,,,"0","0"
"City of Pittsburg Public Finance Authority","2020",,,,,,,,,"0","0"
"City of Rancho Mirage Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"City of Redwood City Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Rio Vista Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Riverside Municipal Improvements Corporation","2020",,,,,,,,,"0","0"
"City of San Clemente Public Financing Authority","2020",,,,,,,,,"0","0"
"City of San Diego Public Facilities Financing Authority","2020",,,,,,,,,"0","0"
"City of San Fernando Public Finance Authority","2020",,,,,,,,,"0","0"
"City of San Francisco Japan Center Garage Corporation","2020",,,,,,,,,"0","0"
"City of San Francisco Portsmouth Plaza Parking Corporation","2020",,,,,,,,,"0","0"
"City of San Joaquin Financing Authority","2020",,,,,,,,,"0","0"
"City of San Mateo Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"City of San Pablo Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"City of Santa Clara Joint Financing Authority","2020",,,,,,,,,"0","0"
"City of Santa Clara Public Facilities Financing Corporation","2020",,,,,,,,,"0","0"
"City of Santa Cruz Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Seaside Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"City of South San Francisco Capital Improvements Financing Authority","2020",,,,,,,,,"0","0"
"City of South San Francisco Public Facilities Financing Authority","2020",,,,,,,,,"0","0"
"City of Tulare Public Financing Authority","2020",,,,,,,,,"0","0"
"City of Union City Public Facilities Corporation","2020",,,,,,,,,"0","0"
"City of Walnut Creek Public Facilities Financing Authority","2020",,,,,,,,,"0","0"
"City of West Sacramento Storm Drainage Maintenance District No. 1 (Yolo)","2020",,,,,,,,,"0","0"
"City of Willits Public Facilities Corporation","2020",,,,,,,,,"0","0"
"Civic - Recreational - Industrial Authority","2020",,,,,,,,,"0","0"
"Claremont Financing Authority","2020",,,,,,,,,"0","0"
"Claremont Public Improvement Corporation","2020",,,,,,,,,"0","0"
"Clarksburg Fire Protection District","2020",,,,,,,,,"0","0"
"Clarksburg Lighting District","2020",,,,,,,,,"0","0"
"Clayton Financing Authority","2020",,,,,,,,,"0","0"
"Clayton Water District","2020",,,,,,,,,"0","0"
"Clay Water District","2020",,,,,,,,,"0","0"
"Clean Energy Alliance","2020",,,,,,,,,"0","0"
"Clean Power Alliance of Southern California","2020",,,,,,,,,"0","0"
"Clear Creek Community Service District (Lassen)","2020",,,,,,,,,"0","0"
"Clear Creek Community Services District (Shasta)","2020",,,,"1452951",,,,,"0","1452951"
"Clearlake Oaks Lighting District","2020",,,,,,,,,"0","0"
"Clearlake Oaks Water District","2020",,,,"958676",,,,,"0","958676"
"Clements Fire Protection District","2020",,,,,,,,,"0","0"
"Clio Public Utility District","2020",,,,,,,,,"0","0"
"Cloverdale Fire Protection District","2020",,"831839",,,,,,,"0","831839"
"Cloverdale Health Care District","2020",,,,,,,,,"0","0"
"Cloverdale Improvement Authority","2020",,,,,,,,,"0","0"
"Clover Road Permanent Road Division No. 1936","2020",,,,,,,,,"0","0"
"Clovis Cemetery District","2020",,"401846",,,,,,,"0","401846"
"Clovis Public Financing Authority","2020",,,,,,,,,"0","0"
"Clovis Veterans Memorial District","2020",,"922735",,,,,,,"0","922735"
"Coachella Financing Authority","2020",,,,,,,,,"0","0"
"Coachella Fire Protection District","2020",,,,,,,,,"0","0"
"Coachella/Indio Waste Transfer Station Authority","2020",,,,,,,,,"0","0"
"Coachella Public Improvement Corporation","2020",,,,,,,,,"0","0"
"Coachella Sanitary District (Riverside)","2020",,,,"2584523",,,,,"0","2584523"
"Coachella Valley Association of Governments","2020",,"2457681",,,,,,,"0","2457681"
"Coachella Valley Cemetery District","2020",,"693949",,,,,,,"0","693949"
"Coachella Valley Conservation Commission","2020",,,,,,,,,"0","0"
"Coachella Valley Desert and Mountains Recreation and Conservation Authority","2020",,,,,,,,,"0","0"
"Coachella Valley Mosquito and Vector Control District","2020",,"1883157",,,,,,,"0","1883157"
"Coachella Valley Resource Conservation District","2020",,,,,,,,,"0","0"
"Coachella Valley Water District","2020",,,,"119383601",,"4555680",,,"0","123939281"
"Coachella Water Authority","2020",,,,"2321945",,,,,"0","2321945"
"Coalinga-Huron Cemetery District","2020",,,,,,,,,"0","0"
"Coalinga-Huron Library District","2020",,"540790",,,,,,,"0","540790"
"Coalinga-Huron Mosquito Abatement District","2020",,,,,,,,,"0","0"
"Coalinga-Huron Recreation and Park District","2020",,,,,,,,,"0","0"
"Coalinga Public Financing Authority","2020",,,,,,,,,"0","0"
"Coalinga Regional Medical Center","2020",,,,,,,,,"0","0"
"Coarsegold Resource Conservation District","2020",,,,,,,,,"0","0"
"Coastal Animal Services Authority","2020",,"1828000",,,,,,,"0","1828000"
"Coastal District Financing Authority","2020",,,,,,,,,"0","0"
"Coastal San Luis Resource Conservation District","2020",,,,,,,,,"0","0"
"Coast Life Support District","2020",,,,"710965",,,,,"0","710965"
"Coastside County Water District","2020",,,,"3838142",,,,,"0","3838142"
"Coastside Fire Protection District","2020",,"12523474",,,,,,,"0","12523474"
"Cobb Area County Water District","2020",,,,,,,,,"0","0"
"Coffee Creek Fire Protection District","2020",,,,,,,,,"0","0"
"Colfax Cemetery District","2020",,"62717",,,,,,,"0","62717"
"College City Cemetery District","2020",,,,,,,,,"0","0"
"College of The Redwoods Financing Corporation","2020",,,,,,,,,"0","0"
"Collegeville Fire Protection District","2020",,,,,,,,,"0","0"
"Collier Interpretive and Information Center Agency","2020",,,,,,,,,"0","0"
"Collinsville Levee District (Solano)","2020",,,,,,,,,"0","0"
"Colma Fire Protection District","2020",,,,,,,,,"0","0"
"Colma Lighting District","2020",,,,,,,,,"0","0"
"Coloma Drive Permanent Road Division","2020",,,,,,,,,"0","0"
"Colonial Heights Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"Colorado River Joint Powers Authority","2020",,,,,,,,,"0","0"
"Colton Public Financing Authority","2020",,,,,,,,,"0","0"
"Colton/San Bernardino Regional Tertiary Treatment and Water Reclamation Authority","2020",,,,,,,,,"0","0"
"Colton Utility Authority","2020",,,,"8590845",,,,,"0","8590845"
"Columbia Cemetery District","2020",,,,,,,,,"0","0"
"Columbia Fire Protection District","2020",,,,,,,,,"0","0"
"Columbia Lighting District","2020",,,,,,,,,"0","0"
"Columbia Resource Conservation District","2020",,,,,,,,,"0","0"
"Colusa Basin Drainage District","2020",,,,,,,,,"0","0"
"Colusa Cemetery District","2020",,,,,,,,,"0","0"
"Colusa County Flood Control and Water Conservation District","2020",,,,,,,,,"0","0"
"Colusa County One-Stop Partnership","2020",,"402568",,,,,,,"0","402568"
"Colusa County Resource Conservation District","2020",,,,,,,,,"0","0"
"Colusa County Water District","2020",,,,,,,,,"0","0"
"Colusa County Water Works No. 1","2020",,,,,,,,,"0","0"
"Colusa Groundwater Authority","2020",,,,,,,,,"0","0"
"Colusa Mosquito Abatement District","2020",,"371470",,,,,,,"0","371470"
"Commerce Refuse to Energy Authority","2020",,,,,,,,,"0","0"
"Community Center Agency","2020",,,,,,,,,"0","0"
"Community College Insurance Group","2020",,,,,,,,,"0","0"
"Community Health Awareness Council (CHAC)","2020",,,,,,,,,"0","0"
"Community Human Services","2020",,,,,,,,,"0","0"
"Community Redevelopment Financing Authority of The Community Redevelopment Agency of the City of Los Angeles","2020",,,,,,,,,"0","0"
"Comptche Community Services District","2020",,,,,,,,,"0","0"
"Compton Creek Mosquito Abatement District","2020","501395",,,,,,,,"501395","0"
"Compton Public Financing Authority","2020",,,,,,,,,"0","0"
"Concord/Pleasant Hill Health Care District","2020",,,,,,,,,"0","0"
"Conejo Recreation and Park District","2020",,"14793439",,,,,,,"0","14793439"
"Conejo Valley Open Space Conservation Agency","2020",,,,,,,,,"0","0"
"Congress Valley Water District","2020",,,,,,,,,"0","0"
