"entity_name","entity_id","fiscal_year","actuarially_determined","contributions_in_relation","contribution_deficiency_excess","covered_employee_payroll","contributions_as_a_percentage"
"Mendocino County Employees' Retirement Association","7265","2017","19116426","19116426","0","59801480","0"
"Merced County Employees' Retirement Association","7266","2017","60349000","60349000","0","119621964","50.45"
"Modesto Irrigation District Basic Retirement Plan","7186","2017","11781408","11853754","-72346","38211146","31.02"
"Orange County Employees' Retirement System","7267","2017","521447000","567196000","-45749000","1602675000","35"
"Public Agency Retirement System Defined Benefit Plans","7215","2017","596978","596978","0","0","0"
"Public Employees' Retirement Fund (PERF) A","12892","2017",,,"0","0","0"
"Public Employees' Retirement Fund (PERF) B","12893","2017","1767813000","1767813000","0","12643354000","13.98"
"Public Employees' Retirement Fund (PERF) C","12894","2017","858954000","858954000","0","3631919000","23.65"
"Sacramento County Employees' Retirement System","7268","2017","201928000","201928000","0","958934000","21.06"
"Sacramento Regional Transit District ATU Employees' Retirement Plan","12847","2017","7987367","7987367","0","30212311","26.44"
"Sacramento Regional Transit District IBEW Employees' Retirement Plan","12848","2017","3315379","3315379","0","12473480",
"Sacramento Regional Transit District Salaried Employees' Retirement Plan","7165","2017","7321138","7321138","0","23435642","31.24"
"San Bernardino County Employees' Retirement Association","7269","2017","360477890","360477890","0","1346408000","0"
"San Diego City Employees' Retirement System","7246","2017","279465000","281121000","-1656000","529917000","1"
"San Diego County Employees' Retirement Association","7270","2017","418011364","418011364","0","1181479673","35.38"
"San Diego Transit Corporation Employees' Retirement Plan","7200","2017","12649101","12649101","0","31660643","39.95"
"San Francisco City and County Employees' Retirement System","7247","2017","551809000","551809000","0","3041818000","18.14"
"San Joaquin County Employees' Retirement Association","7271","2017","159122523","159122523","0","392227314","41"
"San Joaquin Regional Transit District Contract Employees' Retirement Plan","7166","2017","1952000","1952000","0","8672000","0"
"San Luis Obispo County Pension Trust","7272","2017","37663802","35451409","2212393","180728417","0"
"San Mateo County Employees' Retirement Association","7273","2017","164877000","198727000","-33850000","510132014","0.39"
"Santa Barbara County Employees' Retirement System","7274","2017","121991000","121991000","0","341098000","35.76"
"Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan","7167","2017","27383634","27383634","0","131544000","21"
"Self-Insured Schools of California Defined Benefit Plan","7183","2017","3494025","4137716","-643691","94039000","4.39"
"Sonoma County Employees' Retirement Association","7275","2017","63639564","63639564","0","329077958","0"
"Stanislaus County Employees' Retirement Association","7276","2017","63024560","63024560","0","255646515","24.65"
"Sunline Transit Retirement Income Plan - Bargaining Unit Personnel","7182","2017","1175179","1171779","3400","9306674","0"
"Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel","7400","2017","1053887","1043297","10590","4429828","23.55"
"Tulare County Employees' Retirement Association","7277","2017","33615885","33615885","0","243366102","13.81"
"Turlock Irrigation District Pension Plan","7187","2017","12975179","15279421","-2304242","35244750","43.35"
"University of California Retirement Plan","7211","2017","2654710000","2556576000","98134000","11301506000","22.62"
"Ventura County Employees' Retirement Association","7278","2017","190759001","190759001","0","716033000","26.64"
"West Contra Costa Healthcare District Successor Retirement Plan","8275","2017",,,"0","0","0"
