"name","primary","minor_category","address","city","province","country","phone_no","email_add","website","latitude","longitude","location","geometry_point"
"Chrysalis Anti Human Trafficing","Counselling","Mental Health","13325 St. Albert Trail","Edmonton","Alberta","Canada","780-454-9656","info@chrysalis.ab.ca","http://www.crysalis.ab.ca","53.593831","-113.568931","
,  
(53.593831, -113.568931)","POINT (-113.568931 53.593831)"
"Department of Dentistry, U. of A.","Health Care",,"116 St. and 85 Avenue","Edmonton","Alberta","Canada","780-492-5182",,"http://www.dent.ualberta.ca","53.516894","-113.527356","
,  
(53.516894, -113.527356)","POINT (-113.527356 53.516894)"
"Stony Plain Youth Centre","Recreation/Drop-In","Volunteer","4802 - 51 Avenue","Stony Plain","Alberta","Canada","780-968-3846","info@spyc.ca","http://www.spyc.ca","53.528968","-114.002133","
,  
(53.528968, -114.002133)","POINT (-114.002133 53.528968)"
"Alberta Employment and Immigration","Employment","Legal/Advocacy","10242 105 Street","Edmonton","Alberta","Canada","780-644-5135",,"http://employment.alberta.ca/","53.54371","-113.501081","
,  
(53.54371, -113.501081)","POINT (-113.501081 53.54371)"
"Eating Disorder Education Organization","Counselling","Mental Health","1111 Jasper Avenue","Edmonton","Alberta","Canada","780-944-2864",,"http://www.edeo.org","53.55771","-113.454889","
,  
(53.55771, -113.454889)","POINT (-113.454889 53.55771)"
"City of Edmonton Leaders In Training/Summer Programs","Volunteer","Recreation/Drop-In","11808 St. Albert Trail NW","Edmonton","Alberta","Canada","780.944.7421","youth@edmonton.ca","http://www.edmonton.ca/for_residents/programs/leaders-in-training.aspx","53.570914","-113.549653","
,  
(53.570914, -113.549653)","POINT (-113.549653 53.570914)"
"Capital Region Health Housing Corporation","Housing/Shelter",,"10232 - 112 Street","Edmonton","Alberta","Canada","780-420-6161",,"http://www.crhc.ab.ac","53.543579","-113.513936","
,  
(53.543579, -113.513936)","POINT (-113.513936 53.543579)"
"City of Edmonton Community Services","Recreation/Drop-In",,"11808 St. Albert Trail","Edmonton","Alberta","Canada","780-496-3476","youth@edmonton.ca","http://www.edmonton.ca/youth","53.570914","-113.549653","
,  
(53.570914, -113.549653)","POINT (-113.549653 53.570914)"
"Shine Clinic","Health Care",,"10628 - 96 Street","Edmonton","Alberta","Canada","780-422-7333",,"http://www.shineclinic.ca/","53.55138","-113.485772","
,  
(53.55138, -113.485772)","POINT (-113.485772 53.55138)"
"HIV Network of Edmonton Society","Sexual Health/Pregnancy","Health Care","9702 - 111 Avenue","Edmonton","Alberta","Canada","780-488-5742","contact@hivedmonton.com","http://www.hivedmonton.com","53.559037","-113.492089","
,  
(53.559037, -113.492089)","POINT (-113.492089 53.559037)"
"Terra Centre for Pregnant & Parenting Teens","Sexual Health/Pregnancy","Education","9930 - 106 Street","Edmonton","Alberta","Canada","780-428-3772","terra@terraasociation.com","http://www.terraassociation.com","53.537793","-113.502947","
,  
(53.537793, -113.502947)","POINT (-113.502947 53.537793)"
"Canadian Mental Health","Counselling","Recreation/Drop-In","Suite 300 10010 105 Street NW","Edmonton","Alberta","Canada","780-414-6300","main@cmha-edmonton.ab.ca","http://www.cmha-edmonton.ab.ca","53.539227","-113.501099","
,  
(53.539227, -113.501099)","POINT (-113.501099 53.539227)"
"Jewish Family Services","Counselling",,"#202 10339 - 124 Street","Edmonton","Alberta","Canada","780-454-1194",,"http://www.jfse.org","53.545265","-113.535919","
,  
(53.545265, -113.535919)","POINT (-113.535919 53.545265)"
"Native Counselling Services of Alberta","Aboriginal","Housing/Shelter","10975 - 124 Street","Edmonton","Alberta","Canada","780-451-4002",,"http://www.ncsa.ca","53.556424","-113.535921","
,  
(53.556424, -113.535921)","POINT (-113.535921 53.556424)"
"Edmonton Public Library","Recreation/Drop-In",,"7 Sir Winston Churchill Square","Edmonton","Alberta","Canada","780-496-7000",,"http://www.epl.ca","53.543364","-113.490505","
,  
(53.543364, -113.490505)","POINT (-113.490505 53.543364)"
"Bredin Institute Centre for Learning","Education","Violence","#500 9707 - 110 Street","Edmonton","Alberta","Canada","780-425-3730","bredinemployment@bredin.ab.ca","http://www.bredin.ab.ca","53.534442","-113.510261","
,  
(53.534442, -113.510261)","POINT (-113.510261 53.534442)"
"Woman's Health Options","Sexual Health/Pregnancy",,"12409 - 109A Avenue","Edmonton","Alberta","Canada","780-489-3380",,"http://www.womanshealthoptions.com","53.555712","-113.536227","
,  
(53.555712, -113.536227)","POINT (-113.536227 53.555712)"
