"named_place","location_description","location_type","year","name_origin","latitude","longitude","location"
"Namao Underpass","Carries 97 Street below the railway north of the Yellowhead Trail and south of 127 Avenue","Underpass","1958","97 Street was historically called Namao Avenue and led to the hamlet of Namao, some 17 kilometres north of Edmonton. The hamlet was named after the Cree word for sturgeon, namao, most likely because of the nearby Sturgeon River. Namao’s first church was built in the early 1880s and its first post office opened in 1892.","53.581194","-113.49216","(53.581194, -113.49216)"
"Niska Trail","From Whitemud Drive at 173 Street, paralleling 81 Avenue to 140 Street","Walkway","1970","The name of this trail reflects the theme of most of Edmonton’s walkways, which are named for prominent Aboriginal people or have a relationship with Aboriginal heritage. The name of this walkway was originally recommended as Nisku Trail, taken from the Cree word nisku, meaning a goose or a grey goose. City Council, however, amended the name to Niska Trail. Niska Trail is one of a number of trail names approved between 1969 and 1971.","53.515046","-113.629478","(53.515046, -113.629478)"
"Steinhauer","30 Avenue to 34 Avenue, Calgary Trail west to 111 Street","Neighbourhood","1974","Henry Bird Steinhauer (d. 1884), an Ojibway, was one of the first missionaries to live in Alberta. Reverend Steinhauer was born and educated in Upper Canada and came west to the Hudson’s Bay territories as a Methodist missionary in 1840. He established a mission at Lac La Biche in 1850, but finding little success there, moved his mission to Whitefish Lake in 1858. Steinhauer remained at Whitefish Lake until his death in 1884.","53.465365","-113.50791","(53.465365, -113.50791)"
"Steinhauer Park","10707 32A Avenue","Park","1981","Please see Steinhauer","53.463883","-113.504176","(53.463883, -113.504176)"
"Wanyandi Road","Continuation of Callingwood Road east of 170 Street, north of Wolf Willow Road","Road","1989","The Wanyandi family was part of a group of Iroquois voyageurs who moved to Smoky River Country to trap furs in the 1820s. In 1910, Vincent Wanyandi was the last full-blooded Iroquois in Smoky River Country. Daniel Wanyandi (b. 1890) continued the family tradition of trapping and lived and worked in the area until his death in 1974.
","53.501299","-113.606578","(53.501299, -113.606578)"
"North Saskatchewan River","Flowing 1,223 km from the Columbia Icefield to Hudson’s Bay; winding in a northeasterly direction through Edmonton.","River",,"The North Saskatchewan River, a tributary of the Saskatchewan River, takes its name from the Cree word, kis-is-ska-tche-wan, meaning “swift current.” It flows from the Saskatchewan Glacier in the Columbia Icefield, some 500 kilometres upstream from Edmonton, and has a total length of over 1,200 kilometres. The North Saskatchewan River meets the South Saskatchewan River about 50 kilometres east of Prince Albert, Saskatchewan, to form the Saskatchewan River.The Blackfoot referred to it as the Omaka-ty, meaning “big river.” French maps dating from the 1790s give it the name Rivière Bourbon after the French royal family. Alexander Mackenzie noted the Saskatchiwine River in 1793. The North Saskatchewan River flows for 48 kilometres in a northeasterly direction through Edmonton and forms the river valley, the largest stretch of urban parkland in North America. The river valley includes 22 parks, 150 kilometres of trails and 14 ravines. Both the Hudson’s Bay Company and the North West Company saw the potential of the river in expanding trade and built forts here in 1795. Using the river as a highway, Fort Edmonton soon became the centre of the western Canadian fur trade. Over the two centuries that followed, Edmonton grew to the northeast and southwest, following the course of the river valley. The North Saskatchewan River divided the two earliest communities – Edmonton and Strathcona – until completion of the Low Level Bridge in 1900. Where once the river provided a means to connect the city with outlying regions, it was increasingly seen as a barrier to trade and communication between the still separate towns lying on the northern and southern banks of the river. The two cities were amalgamated in 1912; a year later, the High Level Bridge was completed.","53.529773","-113.506966","(53.529773, -113.506966)"
"Norwester Industrial ","114 Avenue to 118 Avenue, 163 Street to 170 Street","Neighbourhood","1973","This name recognizes fur traders of the North West Company (NWC), the sometimes bitter rival of the Hudson’s Bay Company (HBC), which operated from the 1780s to 1821. Its agents were known as Nor’Westers. The Nor’-Wester was also the name of the first newspaper in the North-West Territories, published in the Red River settlement in 1859. The NWC amalgamated with the HBC in 1821. The Norwester Industrial neighbourhood is located in the northwest corner of Edmonton.","53.567867","-113.610821","(53.567867, -113.610821)"
"Norwester Park","16703 117 Avenue","Park","1980","Please see Norwester Industrial","53.567039","-113.608847","(53.567039, -113.608847)"
"Okisikow (Angel) Way","101A Avenue between 96 Street and 97 Street","Road","2011","This name was a result of a suggestion by the City of Iqualuit, Nunavut that Canada’s capital cities rename a street Angel Street in honour of the women affected by domestic violence. The Edmonton Naming Committee chose to support a slight variation on the name “Angel Street.” “Okîsikow (Angel) Way” includes the Cree word for “angel,” and therefore recognizes the importance of Edmonton’s ties to the Cree community. This honourary street name brings awareness to domestic and other forms of violence in our community and reminds victims of violence that there are places they can go for help. The naming ceremony for “Okîsikow (Angel) Way” was hosted by the Aboriginal Women’s Professional Association (AWPA), the Prostitution Awareness and Action Foundation of Edmonton (PAAFE), Sisterhood Movement, the Boyle Street Community League, Councillor Karen Leibovici, and the Stolen Sisters Awareness Walk.","53.545012","-113.48583","(53.545012, -113.48583)"
"Papaschase Industrial","Whitemud Drive north to 51 Avenue, 91 Street west to CP railway tracks","Neighbourhood","1961","Chief Papaschase (c. 1838-1918) was the leader of the Papaschase Indian Reserve, located in what is now southeast Edmonton. Papaschase is translated from the Cree as “Big Woodpecker.” He was also known as Pahs-pahs-chase, Passpasstayo, and Passpasschase, while his English name was John Gladu-Smith. Chief Papaschase signed the adhesion to Treaty No. 6 in Edmonton in 1877, one year after the treaty was signed by the Plains and Wood Cree and the Assiniboine of the North-West Territories. According to the terms of the treaty, the band was to receive land, but several years passed before Papaschase Indian Reserve No. 136 was formed. It covered some 65 square kilometres comprising 42 sections of land. The reserve encompassed the area now defined by 30 Avenue and 51 Avenue on the south and north, and by 17 Street and 119 Street on the east and west. European settlers already resident in the general area opposed the creation of the reserve and the granting of land to members of the Papaschase band. When Treaty No. 6 was signed in 1876 there was no recognized definition of the term Métis. By 1886, however, the government had decided upon one and offered scrip to anyone with Métis ancestry. About 194 of the 200 people on the reserve accepted the scrip (either $240 or 240 acres of land); most of the Métis chose the cash certificate. With so few people remaining on the reserve, the government closed it and the band members scattered, some joining other reserves, including the Enoch band at Winterburn. In 1888 the Papaschase Indian Reserve was surrendered to the federal government and in 1891 the rich agricultural land was put up for sale at a public auction held in Calgary; most of the quarter-section lots sold went to speculators. A second auction was held in Edmonton in 1893, this time with conditions placed on the sales to encourage European settlers to purchase the land. The Papaschase Indian Reserve was the first reserve to be surrendered for immigration settlement.","53.485249","-113.474672","(53.485249, -113.474672)"
"Pembina","137 Avenue north to Hudson Road, and 140 Avenue, 127 Street to 135 Street","Neighbourhood","1986","The Pembina Post was established by the Hudson’s Bay Company (HBC) on the Pembina River, along the Edmonton-Lesser Slave Lake Trail, in 1801. The post was also called Summerberry River Post. After being abandoned, the post was re-established by the HBC and the North West Company in 1817. Pembina Post was permanently closed around 1822. Pembina is a version of the Cree word nîpiniminân, refereeing to the cranberry. Neighbourhoods in The Palisades area are named after early forts and posts.","53.600833","-113.552756","(53.600833, -113.552756)"
"Poundmaker Industrial","105 Avenue to 109 Avenue, 184 Street west to Anthony Henday Drive","Neighbourhood","1981","Cree Chief Pitikwahanapiwiyin “Poundmaker” (c. 1842-1886) signed Treaty No. 6 in 1876 and became a chief two years later. During the North-West Rebellion in 1885, Poundmaker and his band held Fort Battleford and also caused the retreat of Lieutenant Colonel W. D. Otter at the battle of Cut Knife Hill. For his participation in the rebellion, Poundmaker was convicted of treason and spent three years in prison. He became ill, and died shortly after being released from jail. The name of Poundmaker Industrial is compatible with nearby neighbourhoods in this area, Sunwapta Industrial and Morin Industrial.","53.550686","-113.645196","(53.550686, -113.645196)"
"Steinhauer Trail","From 81 Avenue to 96 Avenue, west of 181 Street","Walkway","1971","Please see Steinhauer","53.517355","-113.635036","(53.517355, -113.635036)"
"Tukquanow Park","3507 48 Street","Park","1983","Tukquanow is said to be a Woods Cree word referring to “peace, health, prosperity and friendship.” Tukquanow Park is in the Minchau neighbourhood and has an area of 0.68 hectares.","53.465902","-113.414869","(53.465902, -113.414869)"
"Wahstao Crescent","West of Wahstao Road, north of Walker Road","Road","1977","Wahstao is said to be the Cree word for “spiritual light.” Wahstao, located northeast of Edmonton, was the site of one of the first Methodist schools in the area. From 1907 until 1957 there was a Wahstao post office, but over time the area depopulated and the name disappeared.","53.49903","-113.614072","(53.49903, -113.614072)"
"Rue Marie-Anne Gaboury","91 Street between Whyte Avenue and 88 Avenue","Road","1988","Marie-Anne Gaboury (1780-1875) was the first non-Aboriginal woman to live in western Canada and was the grandmother of Louis Riel. She was born in Maskinongé, Canada (Quebec), and married the voyageur and fur trader Jean-Baptiste Lagimodière (1778-1855) in 1806. Shortly after their marriage they travelled together to the west, first settling with a Métis community at Pembina (in present-day North Dakota) where their first child was born. Marie-Anne and her husband arrived in Fort Edmonton in 1807 and remained there until 1811; she was the first non-indigenous woman to live in Fort Edmonton. The family later returned to Manitoba, where they settled at the confluence of the Red and Seine Rivers (present-day Winnipeg). Marie-Anne and Jean-Baptist had eight children, the sixth of whom, Julie (b. 1822), was the mother of Louis Riel (1844-1885). Riel was the leader of the Red River Rebellion in 1869-1870 and the North-West Rebellion of 1885. He was executed on November 16, 1885 after being found guilty of high treason. Today, Riel is celebrated as the father of Manitoba and the spiritual leader of his people, the Métis. Using Fort Edmonton Park as a backdrop, the Edmonton-based filmmaker Fil Fraser chronicled Gaboury’s remarkable life in the 1978 film Marie Anne.","53.521007","-113.467521","(53.521007, -113.467521)"
"Saddleback Road","29 Avenue west of 111 Street","Road","1974","Joe Saddleback, an educator and a teacher of Cree traditions, was a chief of the Samson Band of Hobbema (80 kilometres south of Edmonton). He was considered a living legend of the Western Cree.","53.456537","-113.526835","(53.456537, -113.526835)"
"Sakaw","9 Avenue north to Mill Woods Road South, 50 Street to 66 Street","Neighbourhood","1974","The Cree word sakâw means “wooded area.” This neighbourhood is located in the Millhurst subdivision and was once part of the Papaschase Indian Reserve.
","53.44211","-113.435082","(53.44211, -113.435082)"
"Sakaw Park","5820 11A Avenue","Park","1987","Please see Sakaw","53.443695","-113.428173","(53.443695, -113.428173)"
"Saskatchewan Drive","Groat Road and 87 Avenue to 99 Street and 92 Avenue","Road",,"Please see North Saskatchewan River","53.523179","-113.502653","(53.523179, -113.502653)"
"Satoo","9 Avenue to 23 Avenue, 80 Street and Mill Woods Road west to 91 Street","Neighbourhood","1972","Chief Satoo of the Cree Nation was one of four brothers who were all chiefs between 1898 and 1922. The Cree word satoo is said to mean “jumping.” Satoo forms part of the former Papaschase Indian Reserve, as does most of the Mill Woods area. Reserve lands encompassed the area from around 30 Avenue to 51 Avenue and 17 Street to 119 Street.","53.44804","-113.463449","(53.44804, -113.463449)"
"Satoo Park","445 Knottwood Road West","Park","1983","Please see Satoo","53.446609","-113.457613","(53.446609, -113.457613)"
"Skyrattler","Blackmud Creek north to 23 Avenue, 111 Street to 119 Street","Neighbourhood","1979","Skyrattler was the Cree chief of the Winterburn Indian Reserve when Edmonton became a city in 1904. The Skyrattler neighbourhood is in the Yellowbird subdivision. The naming theme established in the Kaskitayo area honours historical Aboriginal leaders.
","53.452104","-113.52057","(53.452104, -113.52057)"
"Skyrattler Park","1055 Saddleback Road","Park","2010","Please see Skyrattler","53.450877","-113.524261","(53.450877, -113.524261)"
"St Albert Trail","111 Avenue at 128 Street to 117 Avenue at 131 Street, 118 Avenue at 133 Street to the City of St. Albert","Road",,"The St. Albert Trail is the main route between the city of Edmonton and the city of St. Albert, which abuts Edmonton’s northwest boundary. It forms part of the Queen Elizabeth II Highway (Highway 2) route between the US border at Carway in the south, and through Grande Prairie in northern Alberta west into British Columbia. The continuation of the St. Albert Trail in St. Albert is called Chemin St. Albert Trail Kihcitwâw Albert Meskanaw, which incorporates the French, English and Cree names for the community, and reflects the city’s Cree, Métis and francophone heritage. The earliest trail past the site of what later became St. Albert was one created in 1824 under order of George Simpson, governor of the Hudson’s Bay Company (HBC), that connected Fort Edmonton to Fort Assiniboine 120 kilometres to the northwest. It was one of a network of trails branching out from Fort Edmonton. Commencing at the fort, just below where the Alberta legislature is today located, the trail to St. Albert followed the edge of the river valley through the area that later became the HBC Reserve at 121 Street. It continued northwesterly past the east side of Mistatim Lakes, located between the current 156 Street and 170 Street. Once past these lakes, two thirds of the 14-kilometre distance from the fort to the St. Albert Settlement had been covered. The importance of the trail northwest out of Edmonton increased after the establishment of the Roman Catholic mission in St. Albert in 1861 by Bishop Taché. He named the mission in honour of the patron saint of his travelling companion, Father Albert Lacombe. An earlier mission had been established at Lac Ste. Anne in 1843. However, it was located in an area that was not suitable for farming, and was too far from a major provisioning centre. St. Albert was a more suitable spot. It became the operational centre of the Oblate Missionaries’ work, first with the area’s Cree and Métis people and later with French-speaking Roman Catholic settlers. An HBC post operated in St. Albert from 1866 to 1875. With its thriving agricultural community, St. Albert became a village in 1899, a town in 1904 and a city in 1977. Today, the St. Albert Trail is one of Edmonton’s busiest thoroughfares.","53.576315","-113.553765","(53.576315, -113.553765)"
"Star Blanket Park","2614 39 Street","Park","1983","Chief Ahchacoosahcootakoopit “Star Blanket” (b. 1840) was a member of the File Hills Crees, who lived northeast of Fort Qu’Appelle in the District of Saskatchewan. Star Blanket fought many battles with the Blackfoot and the Sioux and eventually became a chief. He reluctantly signed Treaty No. 4 at Fort Qu’Appelle on September 15, 1874, but refused to be confined on a reserve. In an attempt to retain his freedom, he and his followers made their way west to the Cypress Hills where they continued to live a traditional lifestyle. After four years, however, the dwindling supply of buffalo forced Star Blanket to move on to the File Hills Reserve. To his dismay, reserve life provided little comfort and his people were still hungry. Although sympathetic with the Riel uprising, Chief Star Blanket was determined to honour the peace agreement. He confronted Major General Middleton at Duck Lake and was assured that no harm would come to his people if they remained on the reserve., Shortly after, however, a report to the contrary prompted Star Blanket and his band to set out for Fort Qu’Appelle, unaware that they were heading straight into the line of fire of Middleton’s Canadian militia troops. In order to avoid a slaughter, the North West Mounted Police were requested to intervene, at which time they arrested Star Blanket and jailed him at Regina. He was released two weeks later. The Star Blanket Park is in the Bisset neighbourhood and has an area of 2.13 hectares.","53.457892","-113.4009","(53.457892, -113.4009)"
"Wanyandi Way ","East of Wanyandi Road, north of Country Club Point","Road","1989","Please see Wanyandi Road","53.497556","-113.599191","(53.497556, -113.599191)"
"Stony Plain Road","101 Avenue and 148 Street to 104 Avenue and 121 Street","Road",,"Stony Plain Road has existed since at least 1912 and was the main street of the Town of Jasper Place, which was incorporated in 1951 and annexed by Edmonton in 1964. Stony Plain Road likely gained its name because it connects Edmonton with the town of Stony Plain, 34 kilometres west of Edmonton. The precise origin of the name is not known. It likely derives from the Stoney people who lived in the area. The Stoney First Nation is culturally and linguistically related to the Plains Assiniboine and historically lived along the foothills of the Rocky Mountains. The name may also have arisen from the abundance of boulders found in the area. In 1964, Stony Plain Road was extended from 121 Street and 104 Avenue on the east to 170 Street and 101 Avenue on the west. A further extension to 231 Street was made in 1982.","53.542093","-113.575051","(53.542093, -113.575051)"
"Sunwapta Industrial","Stony Plain Road north to 105 Avenue, 184 Street west to Anthony Henday Drive","Neighbourhood","1978","This name was selected because Sunwapta Broadcasting House lies within the neighbourhood’s boundaries. There have been various interpretations of the Stoney word sunwapta. One interpretation is that the word means “turbulent river,” and another is the meaning used by the Broadcasting House, “rippling or radiating waves.” The latter meaning was told to the president of the company some years ago by one of the chiefs of the Stoney First Nation. Sunwapta Broadcasting Company was formed in 1934. It bought the radio station CFTP and changed the name to CFRN to reflect the owners’ (George Rice and Hans Neilson) surnames. The company expanded into television and made its first televised broadcast in 1954.","53.542909","-113.643801","(53.542909, -113.643801)"
"Sunwapta Trail","Between 184 Street and 105 Avenue","Road","1984","Please see Sunwapta Industrial","53.547314","-113.640132","(53.547314, -113.640132)"
"Sweet Grass","30 Avenue to 34 Avenue, 111 Street to 119 Street","Neighbourhood","1974","Sweet Grass neighbourhood was named in honour of Chief Wikaskokiseyin “Sweetgrass,” a Cree chief in the 1870s who is considered the first western conservationist. He was instrumental in gaining protection of the endangered buffalo or plains bison. Sweetgrass is said to have been murdered by his brother-in-law in protest of his signing Treaty No. 6 in 1876. The area that includes Sweet Grass, in the subdivision of Blue Quill, was annexed to Edmonton in 1964 and development of the neighbourhood began in the 1970s.","53.464139","-113.533273","(53.464139, -113.533273)"
"Sweet Grass Park","11351 31 Avenue","Park","1987","Please see Sweet Grass","53.462593","-113.526535","(53.462593, -113.526535)"
"Tawa","28 Avenue to 34 Avenue, 50 Street to 66 Street","Neighbourhood","1978","Tawa is said to be the Cree word meaning “You are welcome.” This neighbourhood was once part of the Papaschase Reserve. Cree people led by Chief Papaschase lived in this part of the present-day Mill Woods area prior to its settlement by European immigrants.","53.461175","-113.423967","(53.461175, -113.423967)"
"Thibault Way","South of Tomlinson Common, west of Turner Square","Road","2002","Father Jean-Baptiste Thibault (1810-1879) was a Catholic priest and missionary to the Métis living in the North-West Territories from 1833 to 1868, and at Edmonton from 1842-1852. Father Thibault received his classical and theological education in Lower Canada (now Quebec), and came west to St. Boniface in 1833. As part of his mission to bring Christianity to the Métis by persuasion, he travelled to their meeting places across the west for 35 years. Ten of these were based at Fort Edmonton, from where he founded the mission at Lac Ste. Anne in 1844. Thibault returned to Quebec in 1868, but came back for a further two years in 1869, when he was part of an unsuccessful mission to negotiate with the Red River Métis led by Louis Riel. In 1872, Thibault returned to Quebec for the last time.","53.4462","-113.585951","(53.4462, -113.585951)"
"Thibault Wynd","Off Thibault Way, South of Tomlinson Common and west of Turner Square","Road","2002","Please see Thibault Way","53.444423","-113.588891","(53.444423, -113.588891)"
"Tipaskan","28 Avenue to 34 Avenue, Mill Woods Road west to 91 Street","Neighbourhood","1972","Tipaskan is a variation of the Cree word that means “a reserve.” The name Tipaskan was chosen because the Mill Woods area, where this neighbourhood is located, lies within the original boundaries of the Papaschase Indian Reserve No. 136. In 1889, the 103.3-square-kilometre reserve was allotted to Chief Papaschase and his band under Treaty No. 6.","53.459719","-113.458171","(53.459719, -113.458171)"
"Tipaskan Park","1219 Lakewood Road","Park","1988","Please see Tipaskan","53.461942","-113.457313","(53.461942, -113.457313)"
"Tomahawk Trail","From Arrowhead Trail west to Decoteau Trail, north of 84 Avenue","Walkway","1969","The name of this trail, a major walkway in the Thorncliff neighbourhood, reflects the theme of most of Edmonton’s walkways, which are named for prominent Aboriginal people or have a relationship with Aboriginal heritage. Tomahawks are axes that were traditionally used by Aboriginal peoples. They were used as weapons, woodworking tools and status symbols. Tomahawk Trail is one of a number of trail names approved between 1969 and 1971.","53.517698","-113.634585","(53.517698, -113.634585)"
"Tompkins Place","North of Tompkins Way, east of Towne Centre Boulevard","Road","1999","Ottawa-born Peter Tompkins (1863-1940) moved to Winnipeg in 1879 and was employed by the federal Department of Indian Affairs. In 1885, he was captured by Louis Riel, but escaped with the help of Mary Dion, whom he later married. Tompkins later served as a witness at Louis Riel’s trial. In 1907, he was transferred to Grouard and was appointed sub-agent for the Dominion Lands. From 1913 to 1923 Tompkins was an agricultural agent. He served as president of the Grouard Board of Trade and was an honorary member of l’Association des Métis and the Alberta and Saskatchewan League of Indians.","53.449848","-113.57945","(53.449848, -113.57945)"
"Tompkins Way","East of Terwillegar Vista, south of Tompkins Wynd","Road","1999","Please see Tompkins Place","53.448046","-113.579589","(53.448046, -113.579589)"
"Tompkins Wynd","West of Towne Centre Boulevard, south of Tufford Way","Road","1999","Please see Tompkins Place","53.448871","-113.581864","(53.448871, -113.581864)"
"Wahstao Road","North of Walker Road, east of 170 Street","Road","1977","Please see Wahstao Crescent","53.500823","-113.613331","(53.500823, -113.613331)"
"Whitemud Creek ","From the southern city limits east of 170 Street SW, flowing north into the North Saskatchewan River east of Whitemud Drive","Creek",,"The name of Whitemud Creek was noted in 1858 by Dr. James Hector of the Palliser Expedition. The white-coloured mud found along the creek’s banks, and in the immediate vicinity, was used to white-wash the Hudson’s Bay Company buildings.","53.491288","-113.56091","(53.491288, -113.56091)"
"Whitemud Drive","Running east-west through south Edmonton; connecting Highway 14 with Anthony Henday Drive","Road","1968","Please see Whitemud Creek","53.511352","-113.572798","(53.511352, -113.572798)"
"Whitemud Park","13204 Fox Drive","Park","1987","Please see Whitemud Creek","53.501002","-113.559279","(53.501002, -113.559279)"
"Whitemud Place","West of Whitemud Road at 57 Avenue","Road","1985","Please see Whitemud Creek","53.495035","-113.58328","(53.495035, -113.58328)"
"Whitemud Ravine","Along the course of Whitemud Creek","Ravine",,"Please see Whitemud Creek","53.490305","-113.560953","(53.490305, -113.560953)"
"Whitemud Ravine Nature Reserve","Encompassing the Blackmud Creek Ravine and Whitemud Ravine system","Park","1990","Please see Whitemud Creek","53.47368","-113.561254","(53.47368, -113.561254)"
"Whitemud Road","41 Avenue and 156 Street to 57 Avenue and 152 Street; westward extension of 58 Avenue","Road","1962","Please see Whitemud Creek","53.488339","-113.582625","(53.488339, -113.582625)"
"Yellowbird","9 Avenue to 23 Avenue, Calgary Trail west to Blackmud Creek","Subdivision","1975","Yellowbird was named in honour of a Cree chief and a First Nations band in Hobbema, south of Edmonton. Subdivisions and neighbourhoods in the Kaskitayo area have an Aboriginal naming theme","53.444053","-113.508554","(53.444053, -113.508554)"
"Yellowhead Corridor","Yellowhead Trail north to 127 Avenue, LRT tracks west to 127 Street","Neighbourhood","1995","Please see Yellowhead Trail","53.583143","-113.476539","(53.583143, -113.476539)"
"Yellowhead Trail","Highway 16 running east to west through the city; 33 Street and 118 Avenue to 231 Street and 118 Avenue","Road","1978","The Yellowhead Trail which passes through Edmonton, is part of the nearly 3,200-kilometre long Yellowhead Highway that connects Winnipeg in the east to Massett on the Queen Charlotte Islands in the west. The highway is an amalgamation of many highways that originated as historic Aboriginal and fur trade routes. Before construction of the roads, the Canadian Northern Railway and the Grand Trunk Pacific forged their ways through the Yellowhead Pass between 1912 and 1914. In the late 1910s and early 1920s the Edmonton Area Good Roads Association became involved in the first concerted effort to build automobile roads to the Rocky Mountains and beyond, and encouraged development of what would become a key section of the Yellowhead Highway. In 1947 the inaugural conference of the Trans Canada Highway System (Yellowhead Route) took place. The Yellowhead Highway takes its name from Yellowhead Pass, the lowest crossing of the Continental Divide on the North American Continent. The mountain pass was used for centuries by Aboriginal people and was first mentioned in European accounts around 1826. It was for many years the route used by fur traders travelling to the New Caledonia Department (an area beyond the Rocky Mountains in northern British Columbia) of the Hudson’s Bay Company (HBC). HBC documents used the name Tête-Jaune, or Yellowhead, for Pierre Hatsinaton, sometimes called Pierre Bostonais, who was a Métis guide and trapper who worked in the area of the pass now known as Yellowhead.","53.581411","-113.504326","(53.581411, -113.504326)"
