"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"(Thunder)CATS","Sunday, August 14, 2022","2022-08-14T00:00:00.000","2022-08-15T00:00:00.000","Edmonton","6610","Ritchie","Trinity Lutheran Church, 10014 81 Ave NW, Edmonton, AB T6E 1W8","$16","Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738377","Other","161738377","Visit the Fringe website for tickets! https://tickets.fringetheatre.ca/event/601:4321/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4321/",,"From the writers of Jason Kenney's Hot Boy Summer, (Thunder)CATS is an original musical satire performing at the Fringe Festival.",,"Show dates:12 AUG 2022, FRI 11pm – 12am13 AUG 2022, SAT 9:15 – 10:15pm14 AUG 2022, SUN 9:15 – 10:15pm15 AUG 2022, MON 9:15 – 10:15pm16 AUG 2022, TUE 11pm – 12am18 AUG 2022, THU 11pm – 12am20 AUG 2022, SAT 2:15 – 3:15pm21 AUG 2022, SUN 12 – 1pm","From the writers of Jason Kenney's Hot Boy Summer, (Thunder)CATS is an original musical satire of Broadways ""most loved"" feline musical, with less plot, tighter leotards and one throbbing mystical sword!The plot? The Thunderians, fleeing the destruction of their home planet, have landed on planet Thundera and await the ghost of their fallen leader Jaga The Wise to find out which ThunderCAT character will return to the ThunderCAT Lair. Through obscene hip thrusting and way too much dancing, they learn what it really means to be a Thunder CAT. With a stacked cast of Edmonton’s professional actors, singers and dancers, (Thunder)CATS is a hit musical that will slap you across the face with comedy. - You can’t unsee this show.Performers:Donovan Workun, Stephanie Wolfe, Sarah Dowling, Owen Bishop, David Son, Paul-Ford Manguelle, Brennan Campbell, and Kristin Unruh. Accompanied by musicians Simon Abbott, Jesse Crowley, and Alex Downey.",
"(Thunder)CATS","Saturday, August 13, 2022","2022-08-13T00:00:00.000","2022-08-14T00:00:00.000","Edmonton","6610","Ritchie","Trinity Lutheran Church, 10014 81 Ave NW, Edmonton, AB T6E 1W8","$16","Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738376","Other","161738376","Visit the Fringe website for tickets! https://tickets.fringetheatre.ca/event/601:4321/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4321/",,"From the writers of Jason Kenney's Hot Boy Summer, (Thunder)CATS is an original musical satire performing at the Fringe Festival.",,"Show dates:12 AUG 2022, FRI 11pm – 12am13 AUG 2022, SAT 9:15 – 10:15pm14 AUG 2022, SUN 9:15 – 10:15pm15 AUG 2022, MON 9:15 – 10:15pm16 AUG 2022, TUE 11pm – 12am18 AUG 2022, THU 11pm – 12am20 AUG 2022, SAT 2:15 – 3:15pm21 AUG 2022, SUN 12 – 1pm","From the writers of Jason Kenney's Hot Boy Summer, (Thunder)CATS is an original musical satire of Broadways ""most loved"" feline musical, with less plot, tighter leotards and one throbbing mystical sword!The plot? The Thunderians, fleeing the destruction of their home planet, have landed on planet Thundera and await the ghost of their fallen leader Jaga The Wise to find out which ThunderCAT character will return to the ThunderCAT Lair. Through obscene hip thrusting and way too much dancing, they learn what it really means to be a Thunder CAT. With a stacked cast of Edmonton’s professional actors, singers and dancers, (Thunder)CATS is a hit musical that will slap you across the face with comedy. - You can’t unsee this show.Performers:Donovan Workun, Stephanie Wolfe, Sarah Dowling, Owen Bishop, David Son, Paul-Ford Manguelle, Brennan Campbell, and Kristin Unruh. Accompanied by musicians Simon Abbott, Jesse Crowley, and Alex Downey.",
"PLANET B ""Stories From Beyond The Stars""","Sunday, August 21, 2022, 11pm - 12am","2022-08-21T22:00:00.000","2022-08-22T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738055","Other","161738055","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"PLANET B ""Stories From Beyond The Stars""","Saturday, August 20, 2022, 11pm - 12am","2022-08-20T22:00:00.000","2022-08-21T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738054","Other","161738054","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"PLANET B ""Stories From Beyond The Stars""","Friday, August 19, 2022, 11pm - 12am","2022-08-19T22:00:00.000","2022-08-20T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738053","Other","161738053","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"PLANET B ""Stories From Beyond The Stars""","Thursday, August 18, 2022, 11pm - 12am","2022-08-18T22:00:00.000","2022-08-19T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738052","Other","161738052","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"PLANET B ""Stories From Beyond The Stars""","Wednesday, August 17, 2022, 11pm - 12am","2022-08-17T22:00:00.000","2022-08-18T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738051","Other","161738051","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"PLANET B ""Stories From Beyond The Stars""","Tuesday, August 16, 2022, 11pm - 12am","2022-08-16T22:00:00.000","2022-08-17T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738050","Other","161738050","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"PLANET B ""Stories From Beyond The Stars""","Monday, August 15, 2022, 11pm - 12am","2022-08-15T22:00:00.000","2022-08-16T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738049","Other","161738049","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"PLANET B ""Stories From Beyond The Stars""","Sunday, August 14, 2022, 11pm - 12am","2022-08-14T22:00:00.000","2022-08-15T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738048","Other","161738048","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"PLANET B ""Stories From Beyond The Stars""","Saturday, August 13, 2022, 11pm - 12am","2022-08-13T22:00:00.000","2022-08-14T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738047","Other","161738047","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"Come From Away","Sunday, September 4, 2022, 8 - 9:40pm","2022-09-04T19:00:00.000","2022-09-04T21:40:00.000","Edmonton",,,,"$75+","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161737868","Northern Alberta Jubilee Auditorium","161737868","Tickets can be purchased through ticketmaster.ca",,"City of Edmonton|Concerts / Performances","https://edmonton.broadway.com/shows/come-from-away/",,"Award winning musical Come From Away returns to Edmonton.",,,"The true story of the small town that welcomed the world.Broadway’s COME FROM AWAY has won Best Musical all across North America!The New York Times Critics’ Pick takes you into the heart of the remarkable true story of 7,000 stranded passengers and the small town in Newfoundland that welcomed them. Cultures clashed and nerves ran high, but uneasiness turned into trust, music soared into the night, and gratitude grew into enduring friendships.Don’t miss this breathtaking new musical written by Tony nominees Irene Sankoff and David Hein, and helmed by this year’s Tony Award-winning Best Director, Christopher Ashley. Newsweek cheers, “It takes you to a place you never want to leave!”On 9/11, the world stopped. On 9/12, their stories moved us all.",
"Come From Away","Saturday, September 3, 2022, 8 - 9:40pm","2022-09-03T19:00:00.000","2022-09-03T21:40:00.000","Edmonton",,,,"$75+","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161737867","Northern Alberta Jubilee Auditorium","161737867","Tickets can be purchased through ticketmaster.ca",,"City of Edmonton|Concerts / Performances","https://edmonton.broadway.com/shows/come-from-away/",,"Award winning musical Come From Away returns to Edmonton.",,,"The true story of the small town that welcomed the world.Broadway’s COME FROM AWAY has won Best Musical all across North America!The New York Times Critics’ Pick takes you into the heart of the remarkable true story of 7,000 stranded passengers and the small town in Newfoundland that welcomed them. Cultures clashed and nerves ran high, but uneasiness turned into trust, music soared into the night, and gratitude grew into enduring friendships.Don’t miss this breathtaking new musical written by Tony nominees Irene Sankoff and David Hein, and helmed by this year’s Tony Award-winning Best Director, Christopher Ashley. Newsweek cheers, “It takes you to a place you never want to leave!”On 9/11, the world stopped. On 9/12, their stories moved us all.",
"Come From Away","Friday, September 2, 2022, 8 - 9:40pm","2022-09-02T19:00:00.000","2022-09-02T21:40:00.000","Edmonton",,,,"$75+","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161737866","Northern Alberta Jubilee Auditorium","161737866","Tickets can be purchased through ticketmaster.ca",,"City of Edmonton|Concerts / Performances","https://edmonton.broadway.com/shows/come-from-away/",,"Award winning musical Come From Away returns to Edmonton.",,,"The true story of the small town that welcomed the world.Broadway’s COME FROM AWAY has won Best Musical all across North America!The New York Times Critics’ Pick takes you into the heart of the remarkable true story of 7,000 stranded passengers and the small town in Newfoundland that welcomed them. Cultures clashed and nerves ran high, but uneasiness turned into trust, music soared into the night, and gratitude grew into enduring friendships.Don’t miss this breathtaking new musical written by Tony nominees Irene Sankoff and David Hein, and helmed by this year’s Tony Award-winning Best Director, Christopher Ashley. Newsweek cheers, “It takes you to a place you never want to leave!”On 9/11, the world stopped. On 9/12, their stories moved us all.",
"Come From Away","Thursday, September 1, 2022, 8 - 9:40pm","2022-09-01T19:00:00.000","2022-09-01T21:40:00.000","Edmonton",,,,"$75+","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161737865","Northern Alberta Jubilee Auditorium","161737865","Tickets can be purchased through ticketmaster.ca",,"City of Edmonton|Concerts / Performances","https://edmonton.broadway.com/shows/come-from-away/",,"Award winning musical Come From Away returns to Edmonton.",,,"The true story of the small town that welcomed the world.Broadway’s COME FROM AWAY has won Best Musical all across North America!The New York Times Critics’ Pick takes you into the heart of the remarkable true story of 7,000 stranded passengers and the small town in Newfoundland that welcomed them. Cultures clashed and nerves ran high, but uneasiness turned into trust, music soared into the night, and gratitude grew into enduring friendships.Don’t miss this breathtaking new musical written by Tony nominees Irene Sankoff and David Hein, and helmed by this year’s Tony Award-winning Best Director, Christopher Ashley. Newsweek cheers, “It takes you to a place you never want to leave!”On 9/11, the world stopped. On 9/12, their stories moved us all.",
"Come From Away","Wednesday, August 31, 2022, 8 - 9:40pm","2022-08-31T19:00:00.000","2022-08-31T21:40:00.000","Edmonton",,,,"$75+","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161737864","Northern Alberta Jubilee Auditorium","161737864","Tickets can be purchased through ticketmaster.ca",,"City of Edmonton|Concerts / Performances","https://edmonton.broadway.com/shows/come-from-away/",,"Award winning musical Come From Away returns to Edmonton.",,,"The true story of the small town that welcomed the world.Broadway’s COME FROM AWAY has won Best Musical all across North America!The New York Times Critics’ Pick takes you into the heart of the remarkable true story of 7,000 stranded passengers and the small town in Newfoundland that welcomed them. Cultures clashed and nerves ran high, but uneasiness turned into trust, music soared into the night, and gratitude grew into enduring friendships.Don’t miss this breathtaking new musical written by Tony nominees Irene Sankoff and David Hein, and helmed by this year’s Tony Award-winning Best Director, Christopher Ashley. Newsweek cheers, “It takes you to a place you never want to leave!”On 9/11, the world stopped. On 9/12, their stories moved us all.",
"Come From Away","Tuesday, August 30, 2022, 8 - 9:40pm","2022-08-30T19:00:00.000","2022-08-30T21:40:00.000","Edmonton",,,,"$75+","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161737863","Northern Alberta Jubilee Auditorium","161737863","Tickets can be purchased through ticketmaster.ca",,"City of Edmonton|Concerts / Performances","https://edmonton.broadway.com/shows/come-from-away/",,"Award winning musical Come From Away returns to Edmonton.",,,"The true story of the small town that welcomed the world.Broadway’s COME FROM AWAY has won Best Musical all across North America!The New York Times Critics’ Pick takes you into the heart of the remarkable true story of 7,000 stranded passengers and the small town in Newfoundland that welcomed them. Cultures clashed and nerves ran high, but uneasiness turned into trust, music soared into the night, and gratitude grew into enduring friendships.Don’t miss this breathtaking new musical written by Tony nominees Irene Sankoff and David Hein, and helmed by this year’s Tony Award-winning Best Director, Christopher Ashley. Newsweek cheers, “It takes you to a place you never want to leave!”On 9/11, the world stopped. On 9/12, their stories moved us all.",
"Capital City Vintage Market","Saturday, August 13, 2022, 9 - 10am","2022-08-13T08:00:00.000","2022-08-13T10:00:00.000","Edmonton","1090","Downtown","Edmonton Downtown Farmers Market, 2nd floor","0","Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161733174","Other","161733174","n/a",,"City of Edmonton|Trade Shows","http://www.capitalcityvintage.com",,"Local curated vintage household and clothing.",,"Free Parking, Free Admission.","Capital City Vintage MarketAugust 13 & 14Saturday 9-3Sunday 11-3Local curated vintage pop up with clothing, accessories, vintage household goods - from kitchen to bedroom, and small furniture.  Supporting local small business as well as second hand.",
"Bike Wayfinding Survey","Thursday, August 4, 8am - Sunday, August 21, 2022, 11:55pm","2022-08-04T07:00:00.000","2022-08-21T23:55:00.000","Edmonton",,,"Online",,"Survey","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161731826",,"161731826",,,"Public Engagement|External","https://www.edmontoninsightcommunity.ca/c/a/5jSnXvVDRpBUulYRh52Qj","Surveys and Focus Groups",,"Bike Wayfinding",,"The City of Edmonton is updating the&nbsp;Bike Route Wayfinding&nbsp;to help people find their way along bike routes and shared pathways outside of the river valley.&nbsp; We have put up new wayfinding signs on bike routes in Strathcona, and we are looking for some feedback.<a href=""https://www.edmontoninsightcommunity.ca/c/a/5jSnXvVDRpBUulYRh52Qj"" target=""_blank""><strong>Start the survey here</strong></a>",
