"policy_number","url","policy_title","policy_date","prepared_by","supercedes","reference","policy_statement","fme_rejection_code"
"C479","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C479.pdf)","Fiscal Policy for the Enterprise Portfolio â€“ Community Services","2000-10-25","Community Services and Corporate Services","New","City Council 2000 11 21Senior Management Team 2000 10 20","The enterprise portfolio model was endorsed by City Council on June 24, 1997 as the preferred option for the ownership and management of selected city facilities. The purpose of the enterprise portfolio is to: ï‚· Generate synergies through economics of scaled and through collaboration (as opposed to competition) among the constituent facilities and lines of business; ï‚· Achieve effectiveness and efficiencies as a combined portfolio that would be less achievable as separate entities; ï‚· Create a cap of the tax levy support required for the operation and development of constituent facilities excluding corporate initiatives as defined in City Procedures. ï‚· Provide flexibility, incentive, and accountability for the portfolio to innovate and to seek new revenue streams, partnerships, and business opportunities within its mandate; ï‚· Allow for re-investment of any surpluses generated , to achieve the long-term sustainability of the portfolio; ï‚· Safeguard existing municipal investment in the infrastructure, and optimize accessibility for citizens and users. The enterprise portfolio shall operate as one financial and managerial unit in accordance and compliance with other financial policies.",
"C482","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C482.pdf)","Legal Representation and Indemnification of City Employees, Agents and Members of Council","2002-07-04","Corporate Services Department, Law Branch","C425","City Council â€“ 2002 08 27","1. Where any third party commences a civil action against any present or former Member of Council, employee or agent of the City, and it is determined in accordance with this policy and procedure that the conduct giving rise to the civil action was conduct by the Member of Council, employee or agent of the City, acting in good faith in the course and scope of the duties of his or her position, then subject to the other provisions of this policy and procedure, the city shall indemnify the Member of Council, Employee or Agent of the City in regard to any judgment awarded against them as a result of the civil action. 2. If the Member of Council, employee or agent of the City has insurance from some source other then the City which will provide them with a source of indemnification in regard to a civil action, the City shall only indemnify them to the extent that they are not already provided with indemnification by their insurer. 3. The City reserves the right to defend any such civil action in the name of and on behalf of the Member of Council, employee or agent of the City, and to make such investigation, negotiation and settlement of any such civil action as it may deem necessary or expedient and it shall be the obligation of the Member of Council, employee or agent of the City to co-operate with the City in the defence of the civil action. 4. Where any criminal or quasi-criminal prosecution is brought against any present or former Member of Council, employee or agent of the City, and it is determined in accordance with this policy and procedure: A) That the conduct giving rise to the prosecution was conduct of the Member of Council, employee or agent of the City acting in good faith in the course and scope of the duties of his or her position; B) That the Member of Council, employee or agent of the City had reasonable grounds to believe his or her conduct was lawful; and C) That is in the interest of the City to assist in the defense of the prosecution, The City may, in its discretion, provide legal representation for the Member of Council, employee or agent of the City, or pay on behalf of or reimburse the Member of Council, employee or agent of the City for all or part of legal fees and expenses he or she may incur in defence of the criminal or quasi-criminal charges and, where the city elects to provide legal representation, it shall be the obligation of the Member of Council, employee or agent of the City to co-operate with the City in the defence of the charges. 5. The City shall not be required to pay any fines or penalties levied or imposed against any Member of Council., employee or agent of the City by reason of any conviction arising from any criminal or quasi-criminal prosecution, but may, in its discretion, elect to pay such fines or penalties where it concludes it is appropriate to do so. 6. Where any complaint or inquiry pursuant to any enactment is brought against any present or former Member ofCouncil, employee or agent of the City, and it is determined in accordance with this policy and procedure: A) That the conduct giving rise to the complaint or inquiry is conduct of the Member of Council, employee or agent of the City acting in good faith in the course and scope of the duties of his or her position; B) That the Member of Council, employee or agent of the City had reasonable grounds to believe his or her conduct was appropriate; and C) It is in the interest of the City to assist the Member of Council, employee or agent of the City; The City may, in its discretion, provide legal representation for the Member of Council, employee or agent of the city, or pay on behalf of or reimburse the Member of Council, employee or agent of the city for all or part of legal fees and expenses he or she may incur in their legal representation in regard to the complaint or inquiry and, where the City elects to provide legal representation, it shall be the obligation of the Member of Council, employee or agent of the city to co-operate with the city in the defence of the complaint or inquiry. 7. The City shall not be required to pay any penalties levied or imposed against any Member of Council, employeeor agent of the city arising from any complaint or inquiry pursuant to any enactment, but may, in its discretion , indemnify the Member of Council, employee or agent of the city in regard to any compensatory damages ordered to be paid by the tribunal conducting the complaint or inquiry. 8. The City reserves the right to dispense whatever discipline it may deem appropriate if a city employee acts beyond the course and scope of his or her duties or while acting in the course and scopes of his or her duties goes beyond or short of or breaches what would be considered normal and prudent conduct.",
"C501","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C501.pdf)","Integrated Pest Management","2004-02-09","Community Services Dept","New","City Council 2004 02 24City Council 2003 09 18-19Public Hearing on Pesticides","The City of Edmonton is committed to providing safe and healthy urban environments. Whereas controlling weeds and other pests is important for the enjoyment and sustainability of these environments, this policy limits pesticide use in the management of pests on City property. All forms of pest management activities on City property will follow the principles of Integrated Pest Management (IPM). As such, a variety of preventive and non-chemical pest management strategies are used or considered before using the least toxic approved pesticide. Approved pesticide applications will be used in circumstances where alternative practices or products have failed to manage the pest. Standards of practice for pesticide application on City property will continue to meet or exceed federal and provincial requirements.",
"C502A","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C502A.pdf)","Community League Grants","2011-06-22","Community Services","C502","3 February 2004 City CouncilC110 â€“ City/Community League Relations","The City of Edmonton values the contributions of community leagues in creating community hubs and strengthening neighbourhood connections. Community leagues provide a variety of recreation, sport and other locally-based programs and activities, develop community leadership, empower citizens to build strong and caring communities and support other not-for-profit and multicultural groups with program space.",
"C503","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C503.pdf)","Records Management for Members of City Council","2004-02-03","Office of the City Clerk, Office of the City Manager","New","City Council â€“ 3 February 2004Freedom of Information and Protection of Privacy Act (F.O.I.P.)Bylaw 12101, Records and Information Management Bylaw City Policy C448: City of Edmonton ArchivesAdministrative Directive A1410B: Corporate Records and InformationManagementCommon Administration Records Disposition System (C.A.R.D.S.)","Records in the possession of Members of City Council are assets that require management to ensure they serve both current operational purposes and potential legal and historical purposes.",
"C504","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C504.pdf)","VOLUNTEERISM POLICY","2006-01-30","Community Services","New",,"The City of Edmonton values Volunteers and believes that Volunteerism: ï‚· Promotes citizen involvement, social and civic responsibility, and civic pride. ï‚· Contributes to healthy communities and a vibrant Edmonton. ï‚· Improves Edmontoniansâ€™ quality of life.",
"C505","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C505.pdf)","Edmontonâ€™s Environmental Management System","2004-04-21","Office of the Environment","A1427","City Council 2004 05 11City Council Environmental Strategic Plan 1999 06 22","The City of Edmonton is committed to conscientious and responsible environmental management, practices, and stewardship in all aspects of its corporate activities. This policy establishes the ISO 14001, the international standard, as the benchmark for a corporate Environmental Management System (EMS). Standard Environmental Management System practices across the City will address environmental regulatory compliance, pollution prevention and continual improvement. In addition, the City will continue to demonstrate environmental leadership in the community and to its stakeholders.",
"C506A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C506A.pdf)","URBAN TRAFFIC NOISE POLICY","2013-02-27","Transportation Services","C506","City Council 2013 03 05City of Edmonton Urban Traffic Noise Policy C506 (2004)","Mitigating the impact of traffic noise in the urban environment is governed by the following: The City of Edmonton will seek to ensure that no new residential development less than three storeys will be allowed adjacent to transportation facilities (arterial roadways, light rail transit) unless the developer proves to the satisfaction of the City that the projected noise level in the private back yards of residences abutting the transportation facility will not exceed 65 dBA Leq24. Construction of any noise attenuation measures necessary to achieve this threshold will be funded and undertaken by the developer of the adjacent property, unless specific site characteristics, such as topography or existing land uses, necessitate the consideration of relief from the requirement. Under these circumstances, the attenuated noise level in the abutting private back yards should be the lowest level technically and economically practicable. The City of Edmonton will seek to achieve a projected attenuated noise level below 65 dBA Leq24 or as low as technically, administratively, and economically practicable, where any urban transportation facility (arterial roadways, light rail transit) is proposed to be built or upgraded through or adjacent to a developed residential area where private back yards will abut the transportation facility. Funding for noise attenuation, where appropriate, and subject to availability, is considered in the cost of the project. Existing residential sites backing onto a transportation facility (arterial roadways, light rail transit) with measured noise levels exceeding 65 dBA Leq24 in the private back yard will be considered for noise attenuation by the City of Edmonton, where technically administratively, and economically practicable, and subject to the availability of funds and the endorsement of adjacent property owners. The City of Edmonton will seek to minimize the impact of operational noise associated with the Light Rail Transit (LRT) system on adjacent noise-sensitive land uses while balancing the need for safety and security of road users and patrons at stations, including pedestrians at intersecting roadways.",
"C507","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C507.pdf)","Arterial Roads for Development","2006-08-16","Transportation Department","New","Bylaw 14380Municipal Government Act ss.648, 649, 650, 655RSA 2000 Ch. M-26","1. Developers will be required to construct or pay for the construction of: a. the first four lanes of new Arterial Roads that are deemed to have four or six lanes in their ultimate design; and b. the first five lanes of new Arterial Road that are deemed to have five or seven lanes in their ultimate design; within a Catchment. These requirements will be conditions of subdivision approval and development permit, and will only be collected one time for all Subject Lands. 2. Arterial Roadway Assessments will be collected from Developers at the time of subdivision or development permit for Subject Lands that fall within a Catchment. These Arterial Roadway Assessments will: a. provide the mechanism for new development to share costs of constructing new Arterial Roads within Catchments; b. ensure that funds are collected and reimbursed to those Developers that front-end costs of Arterial Roads; and c. ensure that all Arterial Roads within a Catchment are constructed prior to the Catchment being fully developed. 3. An Arterial Roadway Assessment administration fee will be collected with every Servicing Agreement entered into that requires the administration of Arterial Roadway Assessments and Over-Expenditures. This fee will be used to fund the costs of administering and maintaining this policy.",
"C508","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C508.pdf)","Municipal Emergency Plan","2004-05-25","Office of Emergency Preparedness","New","City Council 15 06 04Province of Alberta Disaster Services Act, R.S.A. 2000City of Edmonton Disaster Services Bylaw","The Municipal Emergency Plan is an overall strategy for the management of major emergencies or disasters affecting Edmonton.",
"C509B","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C509B.pdf)","Naming Development Areas, Parks, Municipal Facilities, Roads and Honorary Roads","2015-05-05","Corporate Services","C509A","City Council 5 July 2005Section 58 of the Municipal Government Act RSA 2000 c. M-26","The primary function of naming development areas, parks, municipal facilities, roads and honorary roads is to recognize and commemorate noteworthy persons associated with Edmonton; reflect Edmontonâ€™s heritage; and to recognize the flora, fauna and natural features of the community.",
"C511","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C511.pdf)","Land Development Policy","2004-06-22","Asset Management and Public Works","C410 â€“ repealed 22 June 1999 Page 1 of 2","City Council 13 July 2004C410 City Council 1985","1. Administration will maintain an inventory of residential and industrial development land sufficient to enable the City to maintain existing revenues from its development activities over a ten-year Forecast period (the Long Range Financial Plan). 2. The Land Enterprise will be operated as a self-sustaining Enterprise. 3. Land development activities carried out by Administration (acquisition, servicing, marketing, and disposal) will be based primarily upon financial return on investment. 4. Strategic advantages to the City will be considered when acquiring and servicing land (i.e. optimizing use of existing infrastructure, facilitating Corporate initiatives, aiding orderly development, completing neighbourhoods, securing land for long term potential civic need, and adding value to existing City land holdings). 5. The development of industrial land will be carried out in accordance with the objectives of the Industrial Land Strategy, and in particular on the basis of ensuring a three year supply of serviced industrial land. 6. The primary target of residential lot development is intended for affordable housing (target market to reflect lot prices that are 10% or more below the average city of Edmonton lot prices as determined by CMHC statistics). 7. The Cityâ€™s development of residential lots will not exceed 10% of the total single family residential lot development in the Edmonton region. 8. A minimum of 50% of all Single Detached Residential Lots developed by the City be made available for sale to individuals and small builders. 9. Outcomes of the Land Development Policy will be reported annually through the budget process.",
"C512","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C512.pdf)","Environmental Policy","2006-05-01","Office of the Environment","New",,"The City of Edmonton, through its planning, decision-making processes, and leadership, will promote the development of an environmentally sustainable community that functions in harmony with the natural environment. The City of Edmonton will exercise environmental stewardship of its operations, products and services, based on its commitment to: (a) prevent pollution, (b) continually improve its environmental performance by setting and reviewing environmental objectives and targets, and (c) meet or exceed applicable environmental legal requirements and other requirements to which it subscribes.",
"C513","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C513.pdf)","Public Involvement","2005-11-01","Public Involvement Interdepartmental Work Team","New",,"The City of Edmontonâ€™s Public Involvement Practice is guided by the Public Involvement Framework which outlines the strategic approach to be used in all City hosted public involvement processes. The Framework includes the Core Commitments and Standards of Practice, the Continuum of Public Involvement and the Public Involvement Roadmap. The trademarks of City of Edmonton Public Involvement processes will be: Clear purpose Consistent approach Commitment to Involve Clear purpose is achieved through the use of the Continuum of Public Involvement. Consistent approach is achieved by using the Public Involvement Roadmap. The commitment to involve is achieved through the following three core commitments.",
"C514","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C514.pdf)","Guidelines for the Implementation of Safety Measures Around Schools","2006-01-17","Transportation and Streets Department",,,"The City Manager, under section 1008 of Traffic Bylaw 5590, will conduct reviews of school areas and may implement the following safety measures: ï‚· Pedestrian crosswalk control ï‚· Sightline improvements ï‚· Drop-off areas (cost-sharing with Edmonton Public School Board and Edmonton Catholic Schools) ï‚· Fencing ï‚· Sidewalk construction ï‚· Roadway improvements ï‚· Speed Awareness Signs ï‚· 30 km/h School Zone speed limits ï‚· Road safety education initiatives Administration may add to this tool box of safety measures as new technologies become available.",
"C515","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C515.pdf)","Oil and Gas Facilities","2007-12-19","Planning and Development Department","New","Municipal Government Act, R.S.A. 2000Energy Resources Conservation BoardOil and Gas Conservation Regulations;Energy Utility Board Directives 81-3, 97-6,56, and 71Emergency Preparedness and Response Requirements of the Upstream Petroleum Industry;Alberta Municipal Affairs: Advisory Land Use Planning Notes on Abandoned Well Sites;EUB Public Safety and Sour Gas RecommendationPublic Health Act.","The City of Edmonton will manage co-existence between oil and gas facilities and urban development through this policy, and by improving business processes and communications.",
"C516B","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C516B.pdf)","Land Enterprise Dividend Policy","2008-11-04","Asset Management and Public Works","C516A","C516A City Council, 20 June 2006C516 City Council, 7 March 2006C511 City Council, 13 July 2005","The Land Enterprise will pay an annual dividend to the City of Edmonton based on the actual net income of the land development activity of the Land Enterprise. The Dividend will be based on 25% of actual net income of the land development activity of the Land Enterprise and paid in the second quarter of the following year. City Council will review this policy every three years or more often if material economic changes occur or at Councilâ€™s discretion.",
"C518","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C518.pdf)","Council Initiatives","2006-03-21","Office of the City Manager","New",,"Council Initiatives are specific projects initiated and approved by Council with the goal of improving certain aspects of Edmontonâ€™s future. These are projects that Council deems would benefit from having a Councillor as a sponsor.",
"C519","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C519.pdf)","Political Contribution","2007-01-02","Office of the City Manager","New","Federal Accountability Act, S.C. 2006, c.9, 12 December 2006 City Council 13 February 2007 Elections Canada ActElection Finances and Contributions Disclosure Act (Alberta) R.S. A. 2000, c. E-2","The City of Edmonton, City Council, Council Committees and Administration will not make political contributions.",
"C520B","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C520B.pdf)","Municipal Census Policy","2011-07-20","Office of the City Clerk","C520A","Municipal Census Policy C520A passed September 29, 2008Section 57 of the Municipal Government Act (Revised Statues ofAlberta 2000, Chapter M-26)","1. The municipal census is the official count of population living in dwelling units in the City of Edmonton. 2. The City will conduct a municipal census. A municipal census is conducted in accordance with provincial legislation. 3. The municipal census will be conducted every 2 years. The first municipal census under this policy will commence April 1, 2012. 4. A review of this Municipal Census Policy will be conducted in 2017.",
"C523A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C523A.pdf)","Fire Rescue Service Delivery","2012-07-09","Community Services Department","C523","Alberta Safety Codes Act(Revised Statutes of Alberta 2000, Chapter S-1)National Fire Protection AssociationCommission on Fire Accreditation International","Edmonton Fire Rescue Services delivers an essential public service, helping make Edmonton a safer place to live, work and play. These services are essential for responding to fire, rescue and emergency situations, fire prevention and public education, and in responding to life threatening emergency medical situations. The City of Edmonton will strive to meet or exceed National Fire Protection Association standards as outlined in the Fire Rescue Master Plan and will continue to maintain the accredited agency status as granted through the Commission on Fire Accreditation International, subject to budget approval.",
"C524","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C524.pdf)","Benefit Plan Continuation After Term (Members of Council)","2006-11-24","Corporate Services Department","New",,"Continuation of supplementary health and dental coverage to Members of Council upon leaving office will be provided in accordance with this policy.",
"C527","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C527.pdf)","Waste Management","2007-03-23","Asset Management and Public Works","New",,"The City of Edmonton commits to: ï‚· providing sustainable waste management services with due regard to evolving needs, preservation of natural resources, protection of the environment and the financial capabilities of the City; ï‚· maintaining its international leadership in waste management and meeting and exceeding provincial waste diversion and processing standards; and ï‚· delivering a sustainable, integrated waste management system that includes: - regular direct collection services to the residential sector as a whole and on an individual basis as warranted, - optional regular direct collection services to the non-residential sector, - processing and disposal services for residential and non-residential sectors, - litter management, and - educational programs in support of the above.",
"C529","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C529.pdf)","Immigration and Settlement","2007-05-09","Corporate Services","New","New Policy","The City of Edmonton is committed to a municipal environment that attracts and retains immigrants, refugees and their families. To this end the City of Edmonton commits to action in seven key policy areas.",
"C530","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C530.pdf)","Council Orientation and Training","2007-06-21","Office of the City Clerk","New",,"The City of Edmonton will provide Council orientation and training to elected Members of Council after every general municipal election and by-election.",
"C531","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C531.pdf)","Natural Area Systems","2007-06-05","Office of Natural Areas","C467","Council 1995 07 25","Since Edmonton was settled more than 100 years ago, the natural environment has supported us and shaped our collective identity. Edmontonians are proud of the cityâ€™s natural heritage. To safeguard our natural capital and the associated ecological services, the City of Edmonton is committed to conserving, protecting, and restoring our natural uplands, wetlands, water bodies, and riparian areas, as an integrated and connected system of natural areas throughout the city. Natural area systems provide essential habitat for plants and animals, support biodiversity, and maintain a high quality of life for current and future citizens by supplying critical ecological services, as well as opportunities for education, research, appreciative forms of recreation, and aesthetic and spiritual inspiration. The City of Edmonton will balance ecological and environmental considerations with economic and social considerations in its decision making and demonstrate that it has done so. The City of Edmonton recognizes that it can accomplish the work that is required to achieve conservation more efficiently and effectively by supporting and developing partnerships to achieve effective conservation results. Therefore, the City will lead by example â€“ engaging the public in natural area issues, and encouraging businesses, residents, and the community to secure new natural area systems and steward what we have effectively.",
"C532","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C532.pdf)","Sustainable Building Policy â€“ Leadership in Energy and Environmental Design (LEED) Silver","2007-05-15","Asset Management and Public Works","New","City Council 10 April 2007","The City of Edmonton (the â€œCityâ€) is committed to environmental, economic, and social stewardship of City owned buildings and facilities and continues to demonstrate environmental leadership in the community. Effective January 1, 2008, all new City-owned buildings and major renovations will be designed and constructed to meet LEED Silver Standard as a minimum, and be formally LEED certified.",
"C533A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C533A.pdf)","Revolving Industrial Servicing Fund","2015-03-03","Sustainable Development","C533","City Bylaw 14380, Arterial Roads for DevelopmentCity Policy C507, Arterial Roads for DevelopmentCity Council 2009 06 17","The City of Edmonton supports industrial activity as an important sector of our local economy. The purpose of this policy is to encourage industrial development through financial incentives.",
"C534","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C534.pdf)","Outdoor Aquatics","2007-11-08","Community Services","New","Recreation Facility Master Plan, 2005-2015Urban Parks Management Plan, 2006-2016Medium Term Recreation Facility and Sports Field Plan, 2007Alberta Health and Wellness Pool Standards 2006","This policy supports building a city with â€œquality of placeâ€ that includes desirable amenities, lifestyle and an environment that includes outdoor aquatic opportunities. Council considers outdoor recreation as an activity that significantly contributes to the well-being of Edmontonians.",
"C535","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C535.pdf)","Process for Developed Properties that are Currently Unserviced to Connect to City Services","2008-06-20","Planning and Development Department","New","Municipal Government Act, R.S.A. 2000, c. M-26 (as amended)City Policy C200B Financing of Local ImprovementsCity Policy C 433D Determination of Assessable RoadwayRelated Local Improvements","This Policy provides direction and a process for City Administration and developed property owners that want to connect to City services.",
"C537","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C537.pdf)","Community Capital Funding Requests â€“ Building Canada Fund","2008-07-17","Deputy City Managerâ€™s Office","New",,"1. Community organizations that wish to apply for capital funding from both the Building Canada Fund and from the City of Edmonton must apply to the Building Canada Fund first and have their application processed before applying to the City of Edmonton for capital funding. 2. Endorsement by the City of Edmonton of community-led capital projects will be considered in the context of City Councilâ€™s priorities. 3. Community organizations that receive capital funding from the Building Canada Fund will not be eligible to receive capital funding from the City of Edmonton. 4. Community organizations that are not successful in receiving funding from the Building Canada Fund may apply for capital funding from the City of Edmonton. 5. Administration will evaluate capital funding requests in the context of City Councilâ€™s priorities and according to City Procedure C537. The resulting recommendations will be submitted to City Council for consideration.",
"C538","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C538.pdf)","Diversity and Inclusion","2008-11-12","Office of Diversity and InclusionDeputy City Managerâ€™s Office","New","Alberta Human Rights and Citizenship ActBylaw 13194 Advisory Board for Persons with DisabilitiesBylaw 13720 Aboriginal Urban Affairs CommitteeCouncil Policy C167A Recreation User FeeCouncil Policy C463 Accessibility to City of Edmonton Owned and Occupied buildingsCouncil Policy C466 Integration of Persons with DisabilitiesCouncil Policy C513 Public InvolvementCouncil Policy C529 Immigration and SettlementDeclaration - Coalition of Municipalities Against Racism and Discrimination ( May 2007)Declaration - Strengthening Relationships Between the City of Edmonton and Urban Aboriginal People (August 2005)Administrative Directive (A1104) HiringAdministrative Directive (A1126) Duty to Accommodate DisabilitiesAdministrative Directive (A1127) Respectful Workplace","Edmonton is a city made rich, vibrant and energetic by the diversity of its citizens and communities. Diversity is a defining feature of Edmontonâ€™s past, present and future. A fundamental relationship exists between the diversity of our city and its capacity for cultural, economic, social and political excellence. Deriving the greatest benefit from our diversity requires a deliberate, ongoing strategy of inclusion. Through inclusion the City of Edmonton makes full, effective use of the broad range of talents, abilities and perspectives found amongst our citizens. The City strives to develop all facets of City policy and operations to allow each citizen to participate fully in the life of their city, and to allow each to feel they are a respected and valued member of the community with a stake in Edmontonâ€™s future.",
"C539","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C539.pdf)","Transit Service Standards","2009-08-17","Transportation Department","New",,"The City of Edmonton establishes Transit Service Standards as a guideline for the design of transit service and the level of service provided.",
"C541","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C541.pdf)","Disaster Relief Monetary Donations by the City of Edmonton","2009-08-02","Deputy City Managerâ€™s Office","New",,"The City of Edmonton does not provide monetary support to disaster relief outside Edmonton. The City Manager may consider requests for City staff and equipment for disaster relief.",
"C542A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C542A.pdf)","Development Setbacks From River Valley/Ravine Crests","2016-09-28","Sustainable Development","Top-of-the-Bank Public Roadway Policy","City Council 26 February 1985City Council 11 October 2016","To many residents, the North Saskatchewan River Valley and Ravine System is Edmonton's finest feature. Preservation of and public access to it are key to our quality of life. The City requires that design of development in all new or redeveloping areas abutting the River Valley and Ravine System provide for the separation of development from the river valley or ravine as generally illustrated in Figure 1, and as further described in the following Policy and Procedures. This separation shall be created through establishment of a scientifically-derived Urban Development Line demarcating the boundary between developable upland area (urban development) and non-developable upland area or Environmental Reserve. Further, this separation shall be accomplished by such other legal, planning and technical measures necessary to achieve the purpose of this Policy. The only exception shall be in the Downtown and existing river valley communities where development has already occurred either on the slope or in the floodplain of the River Valley and Ravine System.",
"C543","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C543.pdf)","Retroactive Municipal Tax Refunds","2009-01-02","Planning and Development","New",,"Municipal tax refunds remain at the discretion of City Council.",
"C544","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C544.pdf)","Active Transportation","2009-10-05","Transportation Department","New","Ten Year Active Transportation Strategy","The City of Edmonton strives to be pedestrian- and bicycle-friendly. The City supports all forms of Active Transportation by providing infrastructure, facilities, programs and initiatives to: 1. Enhance accessibility, safety, security, and convenience through strategic improvement, expansion, and maintenance of the infrastructure and facilities that support Active Transportation, including sidewalks, curb ramps, shared pathways, marked bicycle and shareduse lanes, and end-of-trip facilities; 2. Raise awareness of the Active Transportation options available to Edmontonâ€™s citizens and the benefits of active, healthy living, recreation, and sustainable communities, through special events and promotions; 3. Educate users of Edmontonâ€™s transportation systems about their rights and responsibilities, including drivers, cyclists, and pedestrians, through targeted outreach and educational campaigns; 4. Enact bylaws, policies, procedures, directives, strategic plans, processes, programs, and guidelines to support and encourage Active Transportation modes; and, 5. Share the responsibility for the provision of infrastructure, facilities, programs, and initiatives to support and encourage Active Transportation through collaboration, cooperation, and partnerships.",
"C547","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C547.pdf)","Public Art Administration, Registration and Outreach","2009-05-21","Edmonton Arts Council","New","C458B Percent for Art to Provide and Encourage Art in Public AreasPublic Art Master Plan â€“ City Council, 17/18 September, 2008","Edmontonâ€™s public art will be administered in an effective, coherent and unified way.",
"C548","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C548.pdf)","Public Art Accession, Selection Criteria and Gift Policy","2009-04-09","Edmonton Arts Council","New","C458B Percent for Art to Provide and Encourage Art in Public AreasC459 Statuary PolicyC547 Public Art Administration, Registration and OutreachC549 Public Art Conservation, De-accession and Re-sitePublic Art Master Plan â€“ City Council 17/18 September 2008","Public art is attained through the accession of new artworks, acquisition of existing artworks, or acceptance of gifts of public art according to the highest standards of quality and transparency of process. Public artworks accessioned/acquisitioned on behalf of the City of Edmonton, must fit within the purpose, guiding principles and definitions of the Edmonton Public Art Program, as approved in the Public Art Master Plan (MAP) and as described in the MAP.",
"C549","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C549.pdf)","Public Art Conservation, De-accession and Re-site","2009-04-09","Edmonton Arts Council","New","C458B Percent for Art to Provide and Encourage Art in Public AreasC459 Statuary PolicyC547 Public Art Administration, Registration and OutreachC549 Public Art Conservation, De-accession and Re-sitePublic Art Master Plan â€“ City Council 17/18 September 2008","Conservation and maintenance of public art is integral and inherent to preserving the Civic Art Collection, which is a valuable asset of the City of Edmonton. When properly conserved, public artworks can dramatically increase in value and importance over time. Conversely, valuable artworks left unattended and neglected can quickly deteriorate to the point of being a safety concern for the public, render the artwork cost ineffective to conserve, and therefore require re-siting or even de-accession. Unmaintained artworks reflect negatively on public art in general, and on the overall image of the City. The City of Edmonton will conserve and maintain public artworks in the Civic Art Collection, and when advisable, de-accession and re-site public artworks.",
"C550","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C550.pdf)","Roadway Cleaning","2009-03-18","Transportation Department","New",,"Roadways are cleaned in such a manner to prevent annoyance and injury arising from accumulation of street debris, facilitate collection of recyclable abrasives, minimize environmental impact of traffic generated dust, prevent clogging of catch basins, reduce obscuring of pavement markings, and to enhance the appearance of the city.",
"C551","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C551.pdf)","Residential Infill in Mature Neighborhoods","2009-05-25","Planning and Development Department","New","Zoning Bylaw 12800","The City of Edmonton strives to achieve high quality residential infill that is welcomed by neighbours and that creates a livable environment for new residents.",
"C553B","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C553B.pdf)","Development Incentive Program Policy","2014-04-15","Sustainable Development Department","C553","Municipal Government Act, RSA 2000, c. M-26","The City of Edmonton supports the revitalization of main street commercial areas in need of added support. The purpose of this policy is to encourage property owners in Enterprise Areas to invest in higher density residential and/or commercial development through financial incentives to assist in the revitalization of main street commercial areas in need of added support.",
