"fiscal_year","department","division","amount"
"2018","DEPT OF AGRICULTURE","FOREST SERVICE","2234028.93"
"2018","DEPT OF AGRICULTURE","HARNESS RACING COMMISSION","26306342.46"
"2018","DEPT OF AGRICULTURE","NUTRIENT MANAGEMENT","1263835.46"
"2018","DEPT OF AGRICULTURE","PESTICIDES","861523.31"
"2018","DEPT OF AGRICULTURE","PLANNING","358785.39"
"2018","DEPT OF AGRICULTURE","PLANT INDUSTRIES","997253.21"
"2018","DEPT OF AGRICULTURE","THOROUGHBRED RACING COMMISSION","15395546.11"
"2018","DEPT OF AGRICULTURE","WEIGHTS & MEASURES","496284.25"
"2018","DEPT OF CORRECTIONS","ADMINISTRATIVE SERVICES","2703562.20"
"2018","DEPT OF CORRECTIONS","BAYLOR WOMEN'S CORRECT INSTITU","11357638.57"
"2018","DEPT OF CORRECTIONS","BUR CHIEF-COMMUNITY CORRECTION","837940.75"
"2018","DEPT OF CORRECTIONS","BUREAU CHIEF-PRISONS","745834.94"
"2018","DEPT OF CORRECTIONS","CENTRAL OFFENDER RECORDS","2215084.53"
"2018","DEPT OF CORRECTIONS","DELAWARE CORRECTIONAL INDUSTRI","3340398.47"
"2018","DEPT OF CORRECTIONS","DOC - ADMIN INFO TECHNOLOGY","4613236.74"
"2018","DEPT OF CORRECTIONS","DOC-MEDICAL TREATMENT SRVS","74683564.51"
"2018","DEPT OF CORRECTIONS","EDUCATION","290942.08"
"2018","DEPT OF CORRECTIONS","FACILITIES MAINTENANCE","9625893.18"
"2018","DEPT OF CORRECTIONS","FOOD SERVICES","17167909.60"
"2018","DEPT OF CORRECTIONS","HOWARD R YOUNG CORRECT INSTITU","32063949.49"
"2018","DEPT OF CORRECTIONS","HUMAN RESOURCES/EMPL DEV CTR","6155177.03"
"2018","DEPT OF CORRECTIONS","JAMES T. VAUGHN CORRECTIONAL C","66303418.52"
"2018","DEPT OF CORRECTIONS","KENT CTY COMMUNITY CORRECTION","6779302.71"
"2018","DEPT OF CORRECTIONS","NEW CASTLE CTY COMMUNITY CORRE","6975055.99"
"2018","DEPT OF CORRECTIONS","OFFICE OF THE COMMISSIONER","2286862.95"
"2018","DEPT OF CORRECTIONS","PROBATION AND PAROLE","30610860.95"
"2018","DEPT OF CORRECTIONS","SPECIAL OPERATIONS","8165000.26"
"2018","DEPT OF CORRECTIONS","SUSSEX CORRECTIONAL INST","37634531.71"
"2018","DEPT OF CORRECTIONS","SUSSEX CTY COMMUNITY CORRECTIO","8405099.71"
"2018","DEPT OF EDUCATION","ACADEMY OF DOVER CHARTER SCHL","3007235.24"
"2018","DEPT OF EDUCATION","ADVISORY COUNCIL","269357.84"
"2018","DEPT OF EDUCATION","APPOQUINIMINK SCHOOL DISTRICT","158181846.14"
"2018","DEPT OF EDUCATION","AUTISTIC OFFICE ADMINISTRATION","35304164.83"
"2018","DEPT OF EDUCATION","BRANDYWINE SCHOOL DISTRICT","180523237.39"
"2018","DEPT OF EDUCATION","CAESAR RODNEY SCHOOL DISTRICT","107631578.95"
"2018","DEPT OF EDUCATION","CAMPUS COMMUNITY SCHOOL","4593453.40"
"2018","DEPT OF EDUCATION","CAPE HENLOPEN SCHOOL DISTRICT","138958182.83"
"2018","DEPT OF EDUCATION","CAPITAL SCHOOL DISTRICT","103440010.59"
"2018","DEPT OF EDUCATION","CHARTER SCHOOL OF NEW CASTLE","9130586.10"
"2018","DEPT OF EDUCATION","CHRISTINA SCHOOL DISTRICT","254925115.09"
"2018","DEPT OF EDUCATION","COLONIAL SCHOOL DISTRICT","141358470.23"
"2018","DEPT OF EDUCATION","DE ACADEMY OF PUB SAFETY","3760295.80"
"2018","DEPT OF EDUCATION","DELAWARE MILITARY ACADEMY","6719586.14"
"2018","DEPT OF EDUCATION","DELMAR SCHOOL DISTRICT","16031729.69"
"2018","DEPT OF EDUCATION","DEPARTMENT OF EDUCATION","140673990.33"
"2018","DEPT OF EDUCATION","DIVISION FUNDING","987195.84"
"2018","DEPT OF EDUCATION","DRIVER TRAINING","1116596.94"
"2018","DEPT OF EDUCATION","EAST SIDE CHARTER SCHOOL","7834114.44"
"2018","DEPT OF EDUCATION","EDUCATION BLOCK GRANTS","3097602.71"
"2018","DEPT OF EDUCATION","E PRESTIGE ACADEMY","2273.31"
"2018","DEPT OF EDUCATION","GATEWAY LAB SCHOOL","4782695.30"
"2018","DEPT OF EDUCATION","HOWARD T. ENNIS SCHOOL","11449615.34"
"2018","DEPT OF EDUCATION","INDIAN RIVER SCHOOL DISTRICT","142945558.76"
"2018","DEPT OF EDUCATION","JOHN G LEACH SCHOOL","11639800.02"
"2018","DEPT OF EDUCATION","JOHN S CHARLTON SCHOOL","17606196.77"
"2018","DEPT OF EDUCATION","K-12 PASS THROUGH PROGRAMS","763700"
"2018","DEPT OF EDUCATION","KUUMBA ACADEMY CHARTER SCHOOL","9109631.01"
"2018","DEPT OF EDUCATION","LAKE FOREST SCHOOL DISTRICT","54081716.44"
"2018","DEPT OF EDUCATION","LAS AMERICAS ASPIRA","11397279.45"
"2018","DEPT OF EDUCATION","LAUREL SCHOOL DISTRICT","48296860.81"
"2018","DEPT OF EDUCATION","MEADOWOOD SCHOOL","11941908.63"
"2018","DEPT OF EDUCATION","MILFORD SCHOOL DISTRICT","50923708.33"
"2018","DEPT OF EDUCATION","MOT CHARTER SCHOOL","16445391.28"
"2018","DEPT OF EDUCATION","NCCDSC","2764466.57"
"2018","DEPT OF EDUCATION","NEWARK CHARTER SCHOOL","30491107.27"
"2018","DEPT OF EDUCATION","NEW CASTLE COUNTY VO-TECH SCH","116987884.99"
"2018","DEPT OF EDUCATION","ODYSSEY CHARTER","21365030.36"
"2018","DEPT OF EDUCATION","OPTION ILC","13330441.89"
"2018","DEPT OF EDUCATION","OTHER ITEMS","202393.76"
"2018","DEPT OF EDUCATION","POLYTECH SCHOOL DISTRICT","27352196.73"
"2018","DEPT OF EDUCATION","POSITIVE OUTCOMES CHARTER SCHL","3256850.88"
"2018","DEPT OF EDUCATION","PROVIDENCE CREEK ACAD CHTR SCH","7099349.36"
"2018","DEPT OF EDUCATION","REACH OFFICE ADMINISTRATION","9842063.92"
"2018","DEPT OF EDUCATION","RED CLAY CONSOLIDATED SCH DIST","254155724.46"
"2018","DEPT OF EDUCATION","RED CLAY ILC","10759217.39"
"2018","DEPT OF EDUCATION","SEAFORD SCHOOL DISTRICT","51327411.95"
"2018","DEPT OF EDUCATION","SMYRNA SCHOOL DISTRICT","70890278.07"
"2018","DEPT OF EDUCATION","SPECIAL NEEDS PROGRAMS","36524013.18"
"2018","DEPT OF EDUCATION","STERCK OFFICE ADMINISTRATION","12126860.82"
"2018","DEPT OF EDUCATION","SUSSEX ACADEMY OF ARTS/SCIENCE","8233073.24"
"2018","DEPT OF EDUCATION","SUSSEX TECHNICAL SCHL DISTRICT","26381994.41"
"2018","DEPT OF EDUCATION","THE CHARTER SCHOOL OF WILMNGTN","10324321.98"
"2018","DEPT OF EDUCATION","THOMAS A EDISON CHARTER SCHOOL","9543813.89"
"2018","DEPT OF EDUCATION","TRANSPORTATION","5036262.98"
"2018","DEPT OF EDUCATION","WOODBRIDGE SCHOOL DISTRICT","37056159.97"
"2018","DEPT OF EDUCATION CONTINUED","ACADEMIA ANTONIA ALONSO","6252528.25"
"2018","DEPT OF EDUCATION CONTINUED","DELAWARE DESIGN-LAB HS","4034413.26"
"2018","DEPT OF EDUCATION CONTINUED","EARLY COLLEGE HIGH SCHOOL","4162609.54"
"2018","DEPT OF EDUCATION CONTINUED","E DELAWARE STEM ACADEMY","780.32"
"2018","DEPT OF EDUCATION CONTINUED","E THE DELAWARE MET","5000"
"2018","DEPT OF EDUCATION CONTINUED","FIRST STATE MILITARY ACADEMY","4868889.34"
"2018","DEPT OF EDUCATION CONTINUED","FIRST STATE MONTESSORI ACADEMY","7228443.42"
"2018","DEPT OF EDUCATION CONTINUED","FREIRE CHARTER SCHOOL","5976070.48"
"2018","DEPT OF EDUCATION CONTINUED","GREAT OAKS CHARTER SCHOOL","6119351.83"
"2018","DEPT OF ELECTIONS","KENT COUNTY ELECTIONS","235645.82"
"2018","DEPT OF ELECTIONS","NEW CASTLE COUNTY ELECTIONS","458338.92"
"2018","DEPT OF ELECTIONS","STATE ELECTION COMMISSIONER","4028381.88"
"2018","DEPT OF ELECTIONS","SUSSEX COUNTY ELECTIONS","74427.39"
"2018","DEPT OF FINANCE","ACCOUNTING","4953377.50"
"2018","DEPT OF FINANCE","OFFICE OF THE SECRETARY","67771467.39"
"2018","DEPT OF FINANCE","REVENUE","20541704.64"
"2018","DEPT OF FINANCE","STATE LOTTERY OFFICE","50388557.26"
"2018","DEPT OF HEALTH & SOCIAL SVS","ADMINISTRATION/COMMUNITY SVCS","33242841.27"
"2018","DEPT OF HEALTH & SOCIAL SVS","ADMINISTRATION-DEV DISABIL","5735997.84"
"2018","DEPT OF HEALTH & SOCIAL SVS","ADMINISTRATION-MENTAL HEALTH","6977980.55"
"2018","DEPT OF HEALTH & SOCIAL SVS","CHILD SUPPORT SERVICES","25662106.12"
"2018","DEPT OF HEALTH & SOCIAL SVS","COMMUNITY HEALTH","111869084.16"
"2018","DEPT OF HEALTH & SOCIAL SVS","COMMUNITY MENTAL HEALTH","50928339.21"
"2018","DEPT OF HEALTH & SOCIAL SVS","COMMUNITY SERVICES","35205366.85"
"2018","DEPT OF HEALTH & SOCIAL SVS","DELAWARE PSYCHIATRIC CENTER","35591132.24"
"2018","DEPT OF HEALTH & SOCIAL SVS","DIRECTOR'S OFC/SUPPORT SERVICE","9200339.87"
"2018","DEPT OF HEALTH & SOCIAL SVS","EMERGENCY MEDICAL SVCS","15151330.83"
"2018","DEPT OF HEALTH & SOCIAL SVS","FACILITY OPERATIONS","23692086.12"
"2018","DEPT OF HEALTH & SOCIAL SVS","GOVERNOR BACON HOSPITAL","10459169.99"
"2018","DEPT OF HEALTH & SOCIAL SVS","HOSPITAL F/T CHRONICALLY ILL","29055014.99"
"2018","DEPT OF HEALTH & SOCIAL SVS","L/T CARE RESIDENTS PROTECTION","5548152.12"
"2018","DEPT OF HEALTH & SOCIAL SVS","MANAGEMENT SERVICES","36939345.58"
"2018","DEPT OF HEALTH & SOCIAL SVS","MEDICAID & MEDICAL ASSISTANCE","2397943023.64"
"2018","DEPT OF HEALTH & SOCIAL SVS","OFFICE O/T SECRETARY","12083670.71"
"2018","DEPT OF HEALTH & SOCIAL SVS","SOCIAL SERVICES","140509736.75"
"2018","DEPT OF HEALTH & SOCIAL SVS","STATE SERVICE CENTERS","31913345.46"
"2018","DEPT OF HEALTH & SOCIAL SVS","STOCKLEY CENTER","16012248.13"
"2018","DEPT OF HEALTH & SOCIAL SVS","SUBSTANCE ABUSE","24940068.33"
"2018","DEPT OF HEALTH & SOCIAL SVS","VISUALLY IMPAIRED SERVICES","6705415.91"
"2018","DEPT OF LABOR","ADMINISTRATIVE SUPPORT","2286034.13"
"2018","DEPT OF LABOR","ANTIDISCRIMINATION","458024.65"
"2018","DEPT OF LABOR","DISABILITY DETERMINATION SVCS.","5628512.40"
"2018","DEPT OF LABOR","EMPLOYMENT & TRAINING SERVICES","17916346.23"
"2018","DEPT OF LABOR","OCCUPATIONAL & LABOR MARKET","915059.44"
"2018","DEPT OF LABOR","OFFICE OF THE SECRETARY","1736868.33"
"2018","DEPT OF LABOR","OFFICE OF WORKERS'COMPENSATION","9381215.14"
"2018","DEPT OF LABOR","OFF OF LABOR LAW ENFORCEMENT","1227008.20"
"2018","DEPT OF LABOR","OSHA/BLS","512398.98"
"2018","DEPT OF LABOR","UNEMPLOYMENT INSURANCE","13152392.72"
"2018","DEPT OF LABOR","VOCATIONAL REHABILITATION SVCS","19087253.31"
"2018","DEPT OF NATRL RES AND ENV CONT","AIR QUALITY","6329847.34"
"2018","DEPT OF NATRL RES AND ENV CONT","COASTAL PROGRAMS","2689340.65"
"2018","DEPT OF NATRL RES AND ENV CONT","COMMUNITY SERVICES","1566814.08"
"2018","DEPT OF NATRL RES AND ENV CONT","E ENERGY AND CLIMATE","14312.69"
"2018","DEPT OF NATRL RES AND ENV CONT","ENERGY AND CLIMATE","16702035.19"
"2018","DEPT OF NATRL RES AND ENV CONT","FINANCIAL SERVICES","57977404.89"
"2018","DEPT OF NATRL RES AND ENV CONT","FISCAL MANAGEMENT","2315496.11"
"2018","DEPT OF NATRL RES AND ENV CONT","FISH AND WILDLIFE","24633746.46"
"2018","DEPT OF NATRL RES AND ENV CONT","OFFICE OF INNOVATION AND TECHN","1397577.10"
"2018","DEPT OF NATRL RES AND ENV CONT","OFFICE OF THE SECRETARY","7051016.16"
"2018","DEPT OF NATRL RES AND ENV CONT","PARKS AND RECREATION","42739281.29"
"2018","DEPT OF NATRL RES AND ENV CONT","WASTE AND HAZARDOUS SUBSTANCES","21165709.78"
"2018","DEPT OF NATRL RES AND ENV CONT","WATER","8692151.67"
"2018","DEPT OF NATRL RES AND ENV CONT","WATERSHED STEWARDSHIP","30406362.37"
"2018","DEPT OF SAFETY & HOMELAND SEC","ADMINISTRATION","15619337.00"
"2018","DEPT OF SAFETY & HOMELAND SEC","AVIATION","6032063.78"
"2018","DEPT OF SAFETY & HOMELAND SEC","BLDG MAINTENANCE & CONSTR","374774.67"
"2018","DEPT OF SAFETY & HOMELAND SEC","CAPITOL POLICE","7753400.22"
"2018","DEPT OF SAFETY & HOMELAND SEC","COMMUNICATION","10163388.49"
"2018","DEPT OF SAFETY & HOMELAND SEC","COMMUNICATIONS","8623100.99"
"2018","DEPT OF SAFETY & HOMELAND SEC","COMMUNITY RELATIONS","1938115.54"
"2018","DEPT OF SAFETY & HOMELAND SEC","CRIMINAL INVESTIGATION","32477306.09"
"2018","DEPT OF SAFETY & HOMELAND SEC","DEMA","9157098.99"
"2018","DEPT OF SAFETY & HOMELAND SEC","DEVELOP DISABILITIES COUNCIL","520210.08"
"2018","DEPT OF SAFETY & HOMELAND SEC","DIVISION OF FORENSIC SCIENCE","7193639.37"
"2018","DEPT OF SAFETY & HOMELAND SEC","DIVISION OF GAMING ENFORCEMENT","2257683.56"
"2018","DEPT OF SAFETY & HOMELAND SEC","DIV OF ALCOHOL & TOBAC ENFORCE","1878407.71"
"2018","DEPT OF SAFETY & HOMELAND SEC","HIGHWAY SAFETY","5644401.10"
"2018","DEPT OF SAFETY & HOMELAND SEC","OFFICE OF ABC COMMISSIONER","483610.10"
"2018","DEPT OF SAFETY & HOMELAND SEC","PATROL","53062045.64"
"2018","DEPT OF SAFETY & HOMELAND SEC","SPECIAL INVESTIGATION","8308542.21"
"2018","DEPT OF SAFETY & HOMELAND SEC","STATE POLICE-EXECUTIVE","9143573.50"
"2018","DEPT OF SAFETY & HOMELAND SEC","STATE POLICE TRAFFIC","3350240.32"
"2018","DEPT OF SAFETY & HOMELAND SEC","STATE POLICE TRAINING","2701895.16"
"2018","DEPT OF SAFETY & HOMELAND SEC","STATE POLICE TRANSPORTATION","8811302.53"
"2018","DEPT OF SAFETY & HOMELAND SEC","ST. BUREAU OF IDENTIFICATION","4302229.50"
"2018","DEPT OF SAFETY & HOMELAND SEC","ST COUNCIL PERSON W/DISIB","268724.03"
"2018","DEPT OF STATE","ADMINISTRATION","4364380.39"
"2018","DEPT OF STATE","ARTS, OFFICE OF THE DIRECTOR","4222150.52"
"2018","DEPT OF STATE","CORPORATIONS","34651776.92"
"2018","DEPT OF STATE","DELAWARE PUBLIC ARCHIVES","2431973.62"
"2018","DEPT OF STATE","DEL COMM. OF  VETERANS AFFAIRS","4785614.35"
"2018","DEPT OF STATE","EMPLOYMENT RELATIONS BOARDS","328948.00"
"2018","DEPT OF STATE","GOVERNMENT INFORMATION CENTER","1617464.32"
"2018","DEPT OF STATE","HUMAN RELATIONS/COMM FOR WOMEN","529808.54"
"2018","DEPT OF STATE","LIBRARIES","16837495.71"
"2018","DEPT OF STATE","OFFICE OF THE DIRECTOR","5538774.13"
"2018","DEPT OF STATE","PROFESSIONAL REGULATION","5600592.00"
"2018","DEPT OF STATE","PUBLIC ADVOCATE","981426.81"
"2018","DEPT OF STATE","PUBLIC INTEGRITY COMMISSION","171460.47"
"2018","DEPT OF STATE","PUBLIC SERVICE COMMISSION","5046720.41"
"2018","DEPT OF STATE","STATE BANKING COMMISSION","5154920.26"
"2018","DEPT OF STATE","VETERANS HOME","16075067.51"
"2018","DEPT OF TECHNOLOGY & INFORMATI","APPLICATIONS DELIVERY","10129238.84"
"2018","DEPT OF TECHNOLOGY & INFORMATI","CHIEF INFORMATION OFFICER","1207599.58"
"2018","DEPT OF TECHNOLOGY & INFORMATI","CHIEF OPERATING OFFICER","10716071.14"
"2018","DEPT OF TECHNOLOGY & INFORMATI","CHIEF POLICY OFFICER","1009385.18"
"2018","DEPT OF TECHNOLOGY & INFORMATI","CHIEF SECURITY OFFICER","2633919.79"
"2018","DEPT OF TECHNOLOGY & INFORMATI","CONTROLLER'S OFFICE","2503659.31"
"2018","DEPT OF TECHNOLOGY & INFORMATI","DATA CENTER AND OPERATIONS","23281288.23"
"2018","DEPT OF TECHNOLOGY & INFORMATI","E CUSTOMER ENGAGEMENT TEAM","85"
"2018","DEPT OF TECHNOLOGY & INFORMATI","ENTERPRISE SOLUTIONS","4458232.08"
"2018","DEPT OF TECHNOLOGY & INFORMATI","SENIOR PROJECT MANAGEMENT TEAM","3092961.31"
"2018","DEPT OF TECHNOLOGY & INFORMATI","STRATEGIC ENTERPRISE SERVICES","2131522.49"
"2018","DEPT OF TECHNOLOGY & INFORMATI","SYSTEMS ENGINEERING","5025999.23"
"2018","DEPT OF TECHNOLOGY & INFORMATI","TELECOMMUNICATIONS","8760325.05"
"2018","DEPT OF TRANSPORTATION","ADMINISTRATION","22867464.56"
"2018","DEPT OF TRANSPORTATION","CAPITAL PROJECT COST CENTER","591924696.94"
"2018","DEPT OF TRANSPORTATION","COMMUNITY RELATIONS","645328.39"
"2018","DEPT OF TRANSPORTATION","DEL TRANSPORTATION AUTHORITY","90211559.80"
"2018","DEPT OF TRANSPORTATION","ENGINEERING SUPPORT","5851007.19"
"2018","DEPT OF TRANSPORTATION","FINANCE","9468492.62"
"2018","DEPT OF TRANSPORTATION","HUMAN RESOURCES","1846943.60"
"2018","DEPT OF TRANSPORTATION","MAINTENANCE DISTRICTS","70167181.71"
"2018","DEPT OF TRANSPORTATION","OFFICE OF THE SECRETARY","2742181.65"
"2018","DEPT OF TRANSPORTATION","PLANNING","6089849.97"
"2018","DEPT OF TRANSPORTATION","TECHNOLOGY AND INNOVATION","14846528.08"
"2018","DEPT OF TRANSPORTATION","TOLL ADMINISTRATION","19222307.33"
"2018","DEPT OF TRANSPORTATION","TRAFFIC","12464933.84"
"2018","EXECUTIVE","ADMINISTRATION","2813472.88"
"2018","EXECUTIVE","BUDGET ADMINISTRATION","9212722.71"
"2018","EXECUTIVE","CONTINGENCIES & ONE TIME ITEMS","43528401.44"
"2018","EXECUTIVE","CONTRACTING","1961146.39"
"2018","EXECUTIVE","CRIMINAL JUSTICE COUNCIL","12459102.43"
"2018","EXECUTIVE","DEDO - OFFICE OF THE DIRECTOR","732047.37"
"2018","EXECUTIVE","DE JUSTICE INFORMATION SYSTEMS","3679287.82"
"2018","EXECUTIVE","DELAWARE SURPLUS SERVICES","266984.41"
"2018","EXECUTIVE","DELAWARE TOURISM OFFICE","2659080.52"
"2018","EXECUTIVE","DEL ECONOMIC DEVELOPMENT AUTH.","46248250.80"
"2018","EXECUTIVE","FACILITIES MANAGEMENT","56677389.76"
"2018","EXECUTIVE","FLEET MANAGEMENT","15370436.39"
"2018","EXECUTIVE","FOOD DISTRIBUTION","1091393.40"
"2018","EXECUTIVE","HUMAN RESOURCE OPERATIONS","419781.35"
"2018","EXECUTIVE","INSURANCE COVERAGE OFFICE","1820249.36"
"2018","EXECUTIVE","MAIL/COURIER SERVICES","2403163.50"
"2018","EXECUTIVE","OFFICE OF THE GOVERNOR","2690037.98"
"2018","EXECUTIVE","PENSIONS","320077334.59"
"2018","EXECUTIVE","PHRST","3175995.26"
"2018","EXECUTIVE","STAFF DEVELOPMENT & TRAINING","96854.14"
"2018","EXECUTIVE","STATE HOUSING AUTHORITY","41527837.51"
"2018","EXECUTIVE","STATEWIDE BENEFITS","92684808.43"
"2018","EXECUTIVE","STATISTICAL ANALYSIS CENTER","644564.28"
"2018","FIRE PREVENTION COMMISSION","OFFICE O/T STATE FIRE MARSHAL","4372175.19"
"2018","FIRE PREVENTION COMMISSION","STATE FIRE PREVENTION COMM.","3580786.75"
"2018","FIRE PREVENTION COMMISSION","STATE FIRE SCHOOL","4300624.90"
"2018","HIGHER EDUCATION","DEL GEOLOGICAL SURVEY","1947000"
"2018","HIGHER EDUCATION","DEL STATE UNIV-OPERATIONS","77973374.32"
"2018","HIGHER EDUCATION","DIVME","260800"
"2018","HIGHER EDUCATION","DTCC - OFFICE OF THE PRESIDENT","51056467.45"
"2018","HIGHER EDUCATION","DTCC - STANTON CAMPUS","41646981.31"
"2018","HIGHER EDUCATION","DTCC - TERRY CAMPUS","31680641.79"
"2018","HIGHER EDUCATION","OWENS CAMPUS","46739053.69"
"2018","HIGHER EDUCATION","SPONSORED PROG & RESEARCH","13183763.20"
"2018","HIGHER EDUCATION","UNIVERSITY OF DELAWARE","120471489.38"
"2018","HIGHER EDUCATION","WILMINGTON CAMPUS","35166877.47"
"2018","JUDICIAL","CENTRAL SERVICES ACCOUNT","49243.27"
"2018","JUDICIAL","CHILD DEATH REVIEW COMMISSION","492954.63"
"2018","JUDICIAL","CHILD PLACEMENT REVIEW BOARD","308408.12"
"2018","JUDICIAL","COURT OF CHANCERY","8916834.90"
"2018","JUDICIAL","COURT OF COMMON PLEAS","11780152.95"
"2018","JUDICIAL","DE NURSING HOME RES QA COMMISS","84441.82"
"2018","JUDICIAL","FAMILY COURT","26560041.06"
"2018","JUDICIAL","INFORMATION TECHNOLOGY","4554718.92"
"2018","JUDICIAL","JUD/SUPREME COURT","5178738.99"
"2018","JUDICIAL","JUSTICE OF THE PEACE COURT","23594936.66"
"2018","JUDICIAL","LAW LIBRARIES","422826.54"
"2018","JUDICIAL","OFC OF ST COURT ADMINISTRATOR","6554780.40"
"2018","JUDICIAL","OFC OF ST COURT COLLECT ENFORC","711735.30"
"2018","JUDICIAL","OFFICE OF THE CHILD ADVOCATE","2328964.20"
"2018","JUDICIAL","OFFICE OF THE PUBLIC GUARDIAN","729674.27"
"2018","JUDICIAL","REG-ARMS OF THE COURT","1081329.03"
"2018","JUDICIAL","SUPERIOR COURT","36007179.32"
"2018","LEGAL","OFFICE OF ATTORNEY GENERAL","57165275.86"
"2018","LEGAL","OFFICE OF CONFLICTS COUNSEL","6414753.62"
"2018","LEGAL","PUBLIC DEFENDER","17587799.39"
"2018","LEGISLATIVE BRANCH","CODE REVISORS","102002.30"
"2018","LEGISLATIVE BRANCH","COMMISSION ON INTERSTATE COOP","771814.30"
"2018","LEGISLATIVE BRANCH","COMM. ON UNIFORM STATE LAWS","49058.05"
"2018","LEGISLATIVE BRANCH","DIVISION OF RESEARCH","1811836.35"
"2018","LEGISLATIVE BRANCH","GENERAL ASSEMBLY, HOUSE","6578229.27"
"2018","LEGISLATIVE BRANCH","GENERAL ASSEMBLY, SENATE","4328208.11"
"2018","LEGISLATIVE BRANCH","OFFICE OF CONTROLLER GENERAL","3739401.23"
"2018","OTHER ELECTIVE OFFICES","ADMINISTRATION","117033213.35"
"2018","OTHER ELECTIVE OFFICES","AUDITOR OF ACCOUNTS","3476334.76"
"2018","OTHER ELECTIVE OFFICES","BUR. OF EXAM, REHAB & GUARANTY","21934639.26"
"2018","OTHER ELECTIVE OFFICES","DEBT MANAGEMENT","439105.08"
"2018","OTHER ELECTIVE OFFICES","LIEUTENANT GOVERNOR","614989.13"
"2018","OTHER ELECTIVE OFFICES","REFUNDS & GRANTS","43711146.15"
"2018","OTHER ELECTIVE OFFICES","REGULATORY ACTIVITIES","1450702.26"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","24 HOUR TREATMENT","25300317.47"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","COMMUNITY SERVICES","16093606.65"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","DSCYF-OFFICE OF THE SECRETARY","2266252.73"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","EDUCATION SERVICES","6725390.95"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","FACILITIES MANAGEMENT","3101936.58"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","FISCAL SERVICES","2756229.38"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","HUMAN RESOURCES","1262911.43"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","INTAKE/INVESTIGATION","11335292.63"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","INTERVENTION/TREATMENT","45764720.15"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","MANAGED CARE ORGANIZATION","12101276.33"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","MANAGEMENT INFORMATION SYSTEMS","13812268.45"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","OFFICE OF THE DIRECTOR","7871588.01"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","OFFICE O/T DIRECTOR","3739385.96"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","PERIODIC TREATMENT","16880516.06"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","PREVENTION/EARLY INTERVENTION","11185373.16"
"2018","SVS FR CHILDREN,YOUTH,FAMILIES","SECURE CARE","23550516.03"
