"industry","sector","subsector","industry_group","_4_digit_naics","business_to_remain_open","notes"
"Professional and Business Services","Professional, Scientific, and Technical Services","Legal Services","null","5411","true","null"
"Professional and Business Services","Professional, Scientific, and Technical Services","Accounting, Tax Preparation, Bookkeeping, and Payroll Services","null","5412","true","null"
"Professional and Business Services","Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services","null","5413","true","null"
"Professional and Business Services","Professional, Scientific, and Technical Services","Specialized Design Services","null","5414","false","Permitted to work from home only"
"Professional and Business Services","Professional, Scientific, and Technical Services","Computer Systems Design and Related Services","null","5415","true","null"
"Professional and Business Services","Professional, Scientific, and Technical Services","Management, Scientific, and Technical Consulting Services","null","5416","true","null"
"Professional and Business Services","Professional, Scientific, and Technical Services","Scientific Research and Development Services","null","5417","true","null"
"Professional and Business Services","Professional, Scientific, and Technical Services","Advertising and Related Services","null","5418","false","Permitted to work from home only"
"Professional and Business Services","Professional, Scientific, and Technical Services","Other Professional, Scientific, and Technical Services","null","5419","true","null"
"Professional and Business Services","Management of Companies and Enterprises","Other Professional, Scientific, and Technical Services","null","5511","true","null"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Administrative and Support Services","Office Administrative Services","5611","false","Permitted to work from home only"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Administrative and Support Services","Facilities Support Services","5612","true","null"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Administrative and Support Services","Employment Services","5613","true","null"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Administrative and Support Services","Business Support Services","5614","false","Permitted to work from home only"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Administrative and Support Services","Travel Arrangement and Reservation Services","5615","false","Permitted to work from home only"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Personal and Laundry Services","Drycleaning and Laundry Services","8123","true","null"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Administrative and Support Services","Investigation and Security Services","5616","true","null"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Administrative and Support Services","Services to Building and Dwellings","5617","true","null"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Administrative and Support Services","Other Support Services","5619","false","Permitted to work from home only"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Waste Management and Remediation Services","Waste Collection","5621","true","null"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Waste Management and Remediation Services","Waste Treatment and Disposal","5622","true","null"
"Professional and Business Services","Administration and Support and Waste Management and Remediation Services","Waste Management and Remediation Services","Remediation and Other Waste Management Services","5629","true","null"
"Education and Health Services","Educational Services","Elementary and Secondary Schools","null","6111","false","Only personnel necessary to support distance learning"
"Education and Health Services","Educational Services","Junior Colleges","null","6112","false","Only personnel necessary to support distance learning"
"Education and Health Services","Educational Services","Colleges, Universities, and Professional Schools","null","6113","false","Only personnel necessary to support distance learning"
"Education and Health Services","Educational Services","Business Schools and Computer and Management Training","null","6114","false","Only personnel necessary to support distance learning"
"Education and Health Services","Educational Services","Technical and Trade Schools","null","6115","false","Only personnel necessary to support distance learning"
"Education and Health Services","Educational Services","Other Schools and Instruction","null","6116","false","Only personnel necessary to support distance learning"
"Education and Health Services","Educational Services","Education Support Services","null","6117","false","Only personnel necessary to support distance learning"
"Education and Health Services","Health Care and Social Assistance","Ambulatory Health Care Services","Offices of Physicians","6211","true","null"
"Education and Health Services","Health Care and Social Assistance","Ambulatory Health Care Services","Offices of Dentists","6212","true","null"
"Education and Health Services","Health Care and Social Assistance","Ambulatory Health Care Services","Offices of Other Health Practitioners","6213","true","null"
"Education and Health Services","Health Care and Social Assistance","Ambulatory Health Care Services","Outpatient Care Centers","6214","true","null"
"Education and Health Services","Health Care and Social Assistance","Ambulatory Health Care Services","Medical and Diagnostic Laboratories","6215","true","null"
"Education and Health Services","Health Care and Social Assistance","Ambulatory Health Care Services","Home Health Care Services","6216","true","null"
"Education and Health Services","Health Care and Social Assistance","Ambulatory Health Care Services","Other Ambulatory Health Care Services","6219","true","null"
"Education and Health Services","Health Care and Social Assistance","Hospitals","General Medical and Surgical Hospitals","6221","true","null"
"Education and Health Services","Health Care and Social Assistance","Hospitals","Psychiatric and Substance Abuse Hospitals","6222","true","null"
"Education and Health Services","Health Care and Social Assistance","Hospitals","Specialty (except Psychiatric and Substance Abuse) Hospitals","6223","true","null"
"Education and Health Services","Health Care and Social Assistance","Nursing and Residential Care Facilities","Nursing Care Facilities","6231","true","null"
"Education and Health Services","Health Care and Social Assistance","Nursing and Residential Care Facilities","Residential Care for persons with physical disabilities, Mental Health and Substance Abuse Facilities","6232","true","null"
"Education and Health Services","Health Care and Social Assistance","Nursing and Residential Care Facilities","Community Care Facilities for the Elderly","6233","true","null"
"Education and Health Services","Health Care and Social Assistance","Nursing and Residential Care Facilities","Other Residential Care Facilities","6239","true","null"
"Education and Health Services","Health Care and Social Assistance","Social Assistance","Individual and Family Services","6241","true","null"
"Education and Health Services","Health Care and Social Assistance","Social Assistance","Community Food and Housing, and Emergency and Other Relief Services","6242","true","null"
"Education and Health Services","Health Care and Social Assistance","Social Assistance","Vocational Rehabilitation Services","6243","true","null"
"Education and Health Services","Health Care and Social Assistance","Social Assistance","Child Day Care Services","6244","false","Except those designated as Emergency Childcare Sites by Eighth Modification of COVID-19 State of Emergency."
"Leisure and Hospitality","Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries","Performing Arts Companies","7111","false","null"
"Leisure and Hospitality","Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries","Spectator Sports","7112","false","null"
"Leisure and Hospitality","Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries","Promoters of Performing Arts, Sports, and Similar Events","7113","false","null"
"Leisure and Hospitality","Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries","Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","7114","false","null"
"Leisure and Hospitality","Arts, Entertainment, and Recreation","Performing Arts, Spectator Sports, and Related Industries","Independent Artists, Writers, and Performers","7115","false","null"
"Leisure and Hospitality","Arts, Entertainment, and Recreation","Museums, Historical Sites, and Similar Institutions","null","7121","false","null"
"Leisure and Hospitality","Arts, Entertainment, and Recreation","Amusement, Gambling, and Recreation Industries","Amusement Parks and Arcades","7131","false","null"
"Leisure and Hospitality","Arts, Entertainment, and Recreation","Amusement, Gambling, and Recreation Industries","Gambling Industries","7132","false","null"
"Leisure and Hospitality","Arts, Entertainment, and Recreation","Amusement, Gambling, and Recreation Industries","Other Amusement and Recreation Industries","7139","false","Closed, with the exception of some outdoor recreational activities provided with some restrictions (71391, 71392, 71393)"
"Leisure and Hospitality","Accommodation and Food Services","Accomodation","Traveler Accommodation","7211","false","Permitted only to admit essential guests."
"Leisure and Hospitality","Accommodation and Food Services","Accomodation","RV (Recreational Vehicle) Parks and Recreational Camps","7212","false","Permitted only to admit essential guests."
"Leisure and Hospitality","Accommodation and Food Services","Accomodation","Rooming and Boarding Houses","7213","false","Permitted only to admit essential guests."
"Leisure and Hospitality","Accommodation and Food Services","Food Services and Drinking Places","Special Food Services","7223","false","null"
"Leisure and Hospitality","Accommodation and Food Services","Food Services and Drinking Places","Drinking Places (Alcoholic Beverages)","7224","false","null"
"Leisure and Hospitality","Accommodation and Food Services","Food Services and Drinking Places","Restaurants and Other Eating Places","7225","true","Takeout and delivery only."
"Other Services (except Public Administration)","Other Services (except Public Administration)","Repair and Maintenance","Automotive Repair and Maintenance","8111","true","null"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Repair and Maintenance","Electronic and Precision Equipment Repair and Maintenance","8112","true","null"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Repair and Maintenance","Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance","8113","true","null"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Repair and Maintenance","Personal and Household Goods Repair and Maintenance","8114","true","null"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Personal and Laundry Services","Personal Care Services","8121","false","Permitted to provide services under strict safety guidelines to workers of essential businesses, no more than two appointments per location at a time."
"Other Services (except Public Administration)","Other Services (except Public Administration)","Personal and Laundry Services","Death Care Services","8122","true","null"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Personal and Laundry Services","Other Personal Services","8129","false","With the exception of 812910 and 812930, which are designated essential"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Religious, Grantmaking, Civic, Professional, and Similar Organizations","Religious Organizations","8131","true","Permitted to remain open but must comply with all CDC guidelines for safe social distancing, including requirement to limit gatherings to no more than ten people."
"Other Services (except Public Administration)","Other Services (except Public Administration)","Religious, Grantmaking, Civic, Professional, and Similar Organizations","Grantmaking and Giving Services","8132","false","Permitted to work from home only"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Religious, Grantmaking, Civic, Professional, and Similar Organizations","Social Advocacy Organizations","8133","true","null"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Religious, Grantmaking, Civic, Professional, and Similar Organizations","Civic and Social Organizations","8134","false","Permitted to work from home only"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Religious, Grantmaking, Civic, Professional, and Similar Organizations","Business, Professional, Labor, Political, and Similar Organizations","8139","true","null"
"Other Services (except Public Administration)","Other Services (except Public Administration)","Private Households","null","8141","true","null"
