"market_name","address","location","landmarks","market_season","days_open","hours_open","snap_match","wic_farmers_market_nutrition","senior_farmers_market","website","notes_for_updates","pa_snap_ed_agents_2017","market_manager","market_phone","market_email"
"Prince George Farmers Market","6605 Courts Drive Prince George, VA 23875","Prince George","Scott Park Pavilion, by Prince George Library","May - October","Saturday","8AM - 12PM","No","No","No","http://www.princegeorgecountyva.gov/farmersmarket/","Updated July 2020",,"Corrie Hurt","(804) 722-8777","farmersmarket@princegeorgecountyva.gov"
"Reston Farmers Market","1609 Washington Plaza N Reston, VA 20190","Reston","Lake Anne Village Center","May - December","Saturday","8AM - 12PM","Yes (Up to $20)","No","No","https://www.fairfaxcounty.gov/parks/farmersmarkets/reston","Updated July 2020",,"Pamela Smith","(703) 642-0128","Pamela.Smith2@fairfaxcounty.gov"
"River Street Farmers Market","30 River St, Petersburg, VA 23803","Petersburg","across from Croaker’s Spot Restaurant and to the side of the Farmer’s Market Restaurant","April - October","Saturday","9AM-1PM","Yes","No","No","http://riverstreetmarket.com/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and collaborated with the Petersburg FCS Agent and the Master Food Volunteers, to do a Bi-monthly information table and monthly food demonstration",,,"info@riverstreetmarket.com"
"Route 639 Farmers Market","7278 Ladysmith Road, Ruther Glen, VA 22546","Ruther Glen",,"May- September","Thursday","4PM - 7PM","Yes (Up to $30)","No","No","https://www.facebook.com/groups/586850535001520/about/","Updated July 2020","PA, LaWanda Wright, did cooking demos, SNAP outreach, nutrition education, and food preservation.","Agostinho Caldeira","804-633-3490","rt639marketmanager@gmail.com"
"Salem Farmers Market","3 East Main Street Salem, VA 24153","Salem",,"Year Round","Monday - Saturday","Mon-Sat 7AM - 4PM (Apr-Dec)
 Sat 9AM - 12PM (Jan-Mar)","Yes (Up to $50)","Yes","Yes","http://market.salemva.gov/","Updated July 2020",,"Isaac Campbell","540-375-4098","farmersmarket@salemva.gov"
"Scottsville Community Farmer's Market","125 Fleet Street, Scottsville, VA 24590","Scottsville","Market Square by Dorrier Park","May - November","Saturday","9AM - 1PM","Yes","No","No","http://www.scottsvillefarmersmarket.org/","Updated July 2020",,"Deborah Smith","434-286-9267","market@scottsville.org"
"Shalom Farm Grown To Go Mobile Market - Hillside Court Recreation Center","1500 Harwood Avenue Richmond, VA 23224","Richmond","front parking lot RRHA rental office","June - November","Thursday","3:00PM - 3:30PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown To Go Mobile Market - 4th Avenue Senior Apts","1611 4th Avenue Richmond, VA 23225","Richmond","to the right of front entrance","June - November","Tuesday","1:30-2:30PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown To Go Mobile Market - Broad Rock Community Center","4615 Fergusone Lane, Richmond VA","Richmond","parking lot in front of resource center building, close to school building entrance","June - November","Friday","3:00-4:00PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020",,"Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown To Go Mobile Market - Fairfield Court Resource Center","2510 Phaup Street","Richmond","front of resource center, corner of Phaup St and 25th Ave.","June - November","Wednesday","1:30 - 2:30PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown To Go Mobile Market - James River Villas","2506 Atwell Drive, Richmond, VA","Richmond","parking lot on corners of Columbia/Atwell/Brady streets","June - November","Thursday","4:30-5:30PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020",,"Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown To Go Mobile Market - Lincoln Mews Apartments","North and E Laburnum Avenues, Richmond, VA","Richmond","at mailboxes on street","June - November","Tuesday","4:30-5:30PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020",,"Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown To Go Mobile Market - St. Luke Apartments","3901 Pilots Lane, Richmond, VA","Richmond","senior apartments parking lot to right","June - November","Tuesday","3:15PM-4:00PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020",,"Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown To Go Mobile Market - Stonewall Senior Apartments","1920 Stonewall Avenue, Richmond, VA","Richmond","Rear of apartment building parking lot","June - November","Thursday","1:30PM-2:00PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020",,"Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown To Go Mobile Market - Winchester Greens","2800 Bensley Park Blvd N Chesterfield, VA 23237","Richmond","across from senior apartments in front of preschool building","June - November","Friday","1:30PM - 2:30PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown to Go Mobile Market - Creighton Court Resource Center","2101 Creighton Road Richmond VA 23223","Richmond","front of resource center parking area","June - November","Wednesday","3:00 -4:00PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown to Go Mobile Market - Fulton Neighborhood Resource Center","1519 Williamsburg Road, Richmond, VA","Richmond","Parking lot in front of office building","June - November","Wednesday","4:30-5:30PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown to Go Mobile Market - Highland Park Senior Apartments","1221 E Brookland Park Blvd Richmond VA 23222","Richmond","right side front parking lot","June - November","Tuesday","12PM - 1:00PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"Shalom Farms Grown to Go Mobile Market - Southwood Apartments","1742 Clarkson Road, Richmond, VA","Richmond","parking lot in front of resource center office","June - November","Friday","4:30 - 5:30PM","Yes","No","No","https://shalomfarms.org/shop/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Alistar Harris","804-266-1914","mobilemarket@shalomfarms.org"
"South Street Barn Market","411 S Muhlenberg St Woodstock, VA 22664","Woodstock",,"Year Round","Saturday","9AM-1PM","Yes (Up to $20)","No","No","https://www.southstreetbarnmarket.com/","Updated July 2020",,"Judy Rhodes","(540) 325-3768","southstreetbarnmarket@gmail.com"
"Spotsylvania Farmers Market Route 3 – Gordon Road Commuter Lot Market","12150 Gordon Road, Fredericksburg, VA 22407","Spotsylvania",,"Year Round","Saturday (Apr-Dec), 2nd Saturday of the month (Jan-Mar)","8AM-1PM (Apr-Dec) 9AM-12PM (Jan-Mar)","Yes (Up to $30)","No","No","https://www.spotsylvaniafarmersmarket.com/","Updated July 2020","PA, Mary Belman, and intern did cooking demo and samples. LaWanda Wright did cooking demos, SNAP outreach, nutrition education, food preservation","Beth Austin","540-419-1746","spotsylvaniafarmersmarket@gmail.com"
"Spotsylvania Regional Medical Center Market","4600 Spotsylvania Parkway, Fredericksburg, VA 22408","Spotsylvania","parking lot of the Spotsylvania Regional Medical Center in the Cosner Corner area","May - September","Wednesday","2PM - 6PM","Yes (Up to $30)","No","No","https://www.spotsylvaniafarmersmarket.com/","Updated July 2020",,"Beth Austin","540-419-1746","spotsylvaniafarmersmarket@gmail.com"
"Staunton Farmers Market","98 W Johnson Street Staunton, VA 24401","Staunton","Wharf Parking Lot","April - November","Saturday","7AM - 12PM","Yes","Yes","Yes","http://stauntonfarmersmarket.org/","Updated July 2020",,,"540-448-1937","stauntonfarmersmarket@gmail.com"
"Staunton-Augusta Health Department Farmers Market","1414 N Augusta St, Staunton, VA 24401","Staunton",,"July-September","Friday","11AM-2PM","Yes","Yes","Yes","http://www.projectgrows.org/food-access/our-markets/","Updated July 2020",,"Megan Townley","503-929-2525","megan@projectgrows.org"
"Surry County Farmers Market","45 School Street, Surry, VA 23883","Surry","Surry County Government Building, Market Pavilion","May-October","Friday","4PM - 7PM","Yes","No","No","http://surrycountytourism.com/Farmers_Market.htm","Updated April 2021",,,,"surryfarmersmarket@surrycountyva.gov"
"The Carytown Farmers Market","3201 W Cary Street Richmond, VA 23221","Richmond","Wells Fargo Lot","May-November","Sunday","9AM - 1PM","Yes","No","No","http://www.carytownmarket.com/","Updated July 2020",,,"804-402-9076","carytownmarket@gmail.com"
"The Onancock Farmers Market","22 Market Street Onancock, VA 23417","Onancock","corner of Market St & Ames St across from the Post Office","May - November","Saturday","9AM - 12PM","Yes (Up to $20)","No","Yes","http://onancockmarket.com/","Updated July 2020",,"Janet Fosque","757-710-2028",
"Town Of Hillsville Farmers Market","405 N Main St, Hillsville VA 24343","Hillsville","in front of and behind the Hale-Wilkinson-Carter Home","May - October","Thursday","3-7PM","No","No","No","https://hillsvillefarmersm.wixsite.com/mysite","Updated July 2020",,,"(276) 728-2128","tohfarmersmarket@townofhillsville.com"
"Tricycle Gardens Four Season Farmers Market","823 North 31st St, Richmond, VA 23298","Richmond","31st Street Baptist Church","March - November","Thursday","4PM-7PM","Yes","No","No","https://markets.farmland.org/market/tricycle-gardens-four-season-farmers-market/","Updated July 2020",,,"804-231-7767",
"Tysons Farmers Market","Tysons Corner Center, Tysons VA","Tysons","The Plaza at Tysons Corner Center","June-November","Sundays","10AM-2PM","Yes (Up to $20)","No","No","http://www.community-foodworks.org/tysons","Updated July 2020",,"Nick Stavely","202-827-5437","markets@cfwdc.org"
"Vinton Farmers Market","204 W Lee Avenue Vinton, VA 24179","Vinton",,"April - December","Monday - Saturday","8AM-6PM","Yes (Up to $10)","No","No","http://www.vintonva.gov/index.aspx?NID=73","Updated July 2020",,"Chasity Barbour","540-983-0645","cbarbour@vintonva.gov"
"Warrenton Farmer's Market","26 S 5th St, Warrenton, VA 20186 (Saturday), 800 Waterloo Rd, Warrenton, VA 20186 (Wednesday)","Warrenton","Corner of 5th and Lee behind Great Harvest Bread Company (Saturday), Warrenton Aquatic Recreation Facility (Wednesday)","April-November","Wednesday (May-Aug), Saturday (Apr-Nov)","8AM-12PM","Yes (Up to $30/wk)","No","No","https://www.facebook.com/pg/warrentonfarmersmarkets/about/?ref=page_internal","Updated July 2020",,"Elizabeth Melson, soon to be Natalie Ortiz","540-347-2405","emelson@warrentonva.gov"
"Waynesboro Farmers Market","215 Mc Elroy St Waynesboro VA 22980","Waynesboro","Parking lot next to Waynesboro Pavillion at Constitution Park","May - September","Saturday","9AM - 1PM","Yes (Up to $25) as of 6/8/20, temporarily unlimited match","Yes","Yes","https://www.projectgrows.org/food-access/our-markets/","Updated July 2020","SNAP Ed Agent, Morgan Martindell, did cooking demos and SNAP outreach","Megan Townley","503-929-2525","megan@projectgrows.org"
"Williamsburg Farmers Market","402 W. Duke of Gloucester Street Williamsburg, VA 23185","Williamsburg","Merchants Square","March - December","Saturday","8AM - 12PM","Yes (Up to $30)","No","No","http://williamsburgfarmersmarket.com/","Updated July 2020",,"Tracy Frey","757-259-3768","therner@williamsburgva.gov"
"Wytheville Farmers Market","210 W. Spring Street Wytheville, VA 24382","Wytheville",,"Year Round","Saturday (May-Oct), every 2nd and 4th Saturday (Nov-Apr)","8AM-12PM (May-Oct), 10AM-12PM (Nov-Apr)","Yes (Up to $20)","Yes","Yes","http://www.wythevillefarmersmarket.com/","Updated July 2020",,"Greg Smith","276-620-4095","wythevillefarmersmarket@live.com"
"Youth-Run Farm Stand / Boys & Girls Club","302 E Main St, Waynesboro, VA 22980","Waynesboro",,"June-August","Wednesday","4PM-5:30PM","Yes","Yes","Yes","http://www.projectgrows.org/food-access/our-markets/","Updated July 2020",,"Megan Townley","503-929-2525","megan@projectgrows.org"
,"401 Water Street, Yorktown, VA 23690","Yorktown",,"April-October","Saturday","8AM - 11AM (Apr-Jun 6), 8AM - 12PM (Jun 13-Oct)","Yes","No","No","https://www.visityorktown.org/225/Market-Days","Updated July 2020",,"Mark Medford","(757) 877-2933","Village.Events@cox.net"
