"sid","title","funding_amount","detailed_reporting_category","description","use_of_evidence_program_evaluation","performance_report_mandatory_and_optional_indicators_"
"29772","Summer College Corps","1500000","2.37 - Economic Impact Assistance Other","During the summer of 2021 College Corps, based on the AmeriCorps model of addressing community challenges through civic engagement and service, recruited and deployed a corps of undergraduate college student interns to serve as academic enrichment summer counselors for K-12 students in various enrichment programs throughout Connecticut. The program's goals were to provide enriching summer experiences to K-12 students to prepare for the upcoming return to in-person schooling in Fall 2021.","AmeriCorps programs, the national-level model that serves as the basis for CT’s College Corps program, has demonstrated success in helping K-12 students achieve positive educational outcomes. AmeriCorps educational programs have demonstrated success in the areas of improved reading and math achievement, reduced school dropout rate, improved standardized test scores, improved socioemotional skills, and other benefits. (Evidence Brief: Effective CNCS-Funded Education Programs, 2018). One specific study, looking at a summer early literacy program, found that students participating in the summer program demonstrated a 10% improvement in literacy skills relative to students who did not participate, showing that summer programs can still have an outsized impact on students.","Performance metrics not yet available. Metrics will be provided in future reports."
"29773","Private Providers","60000000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding will support a minimum wage increase for employees in the Department of Developmental Services provider settings and support a 3% increase for those making over the minimum wage plus fund a health and retirement pool to enhance benefits for these important health care workers.",,"Number of non-profits served: To be determined"
"29774","PPE & Supplies","20000000","1.5 - Personal Protective Equipment","This funding will support the purchase of personal protective equipment and supplies to combat COVID-19.",,
"29775","State Employee Essential Workers and National Guard Premium Pay","35000000","4.1 - Public Sector Employees","Premium pay for state employee essential workers and national guardsmen. This will require collective bargaining with the state’s unionized workforce.",,
"29776","Higher Education – UConn","25000000","6.1 - Provision of Government Services","Support is provided to the University of Connecticut (UConn) for the provision of public services. In response to significant revenue losses experienced in UConn's housing and dining units UConn will utilize this allocation for Residential Life and Dining Services operating expenditures in order to keep these critical services functioning for students residing on campus. Those operating expenses include food purchase contractual staff facility operations and equipment",,
"29777","Revenue Impact","35000000","3.3 - Public Sector Workforce: Other","Support is provided to the University of Connecticut Health Center (UConn Health) for the provision of public services. To continue to provide outpatient clinical services to State of Connecticut residents, UConn Health will utilize funds to support the multispecialty physician practice salary budget at John Dempsey Hospital, a hospital and academic medical center operated by UConn Health. These funds will allow UConn Health to continue to support the patient needs of the State of Connecticut without cutting any programs.",,
"29778","University of Connecticut Health Center","38000000","3.3 - Public Sector Workforce: Other","Support is provided to the University of Connecticut Health Center (UConn Health) for the provision of public services. To continue to provide outpatient clinical services to State of Connecticut residents, UConn Health will utilize funds to support the multispecialty physician practice salary budget at John Dempsey Hospital, a hospital and academic medical center operated by UConn Health. These funds will allow UConn Health to continue to support the patient needs of the State of Connecticut without cutting any programs.",,
"29779","Fostering the Community","20000","2.13 - Healthy Childhood Environments: Services to Foster Youth or Families Involved in Child Welfare System","Fostering the Community will develop an educational on-line database portal of trainings and articles for foster parents to access.  The materials will address the behavioral health challenges that foster children are experiencing most frequently due to COVID-19.  Trainings will be in the form of written content from experts in foster care issues and recorded video trainings.  Funds will be used for three purposes to contract with an IT consultant to create the portal and assist with technical aspects of posting accessing trainings; to reimburse behavioral health professions for the production of live and recorded trainings and the collection of other print materials; and community outreach to determine topics of interest and share upcoming events and training resources for foster parents.","The program is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and will provide performance metrics in future reports."
"29780","Casa Boricua-Meriden","100000","2.19 - Social Determinants of Health: Community Health Workers or Benefits Navigators","Located in a qualified census tract, Casa Boricua De Meriden Inc works to improve the education, health, and well-being of the Hispanic-Latino community of Greater Meriden. Funds will support case management assistance with public benefits determinations and referrals to health services. Casa Boricua's clients seek information assistance with form completion, translation services, and referrals to appropriate service providers to satisfy basic needs and maintain satisfactory life function.","The program is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and will provide performance metrics in future reports."
"29781","Children's Mental Health Initiatives","10500000","1.12 - Mental Health Services","Will support various initiatives including expanding hours of operation of mobile crisis intervention teams to provide 24/7 response statewide; establishing intensive transition care management services to expedite and facilitate the timely and safe transition of children from acute levels of care to the community; creation of an urgent crisis center to provide immediate care to children having a behavioral health episode who are in need of an urgent response to divert children from emergency departments; interventions to address trauma experienced by youth residing in urban communities; and expanded data analysis related to racial equity and justice in behavioral health to be utilized to improve provider specific program performance.","The program is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and will provide performance metrics in future reports."
"29782","Child First","10200000","2.12 - Healthy Childhood Environments: Home Visiting","Child First is a home visiting model that is targeted to serve families that present with the highest level of need for this service type.  Utilizing an evidence based psycho-educational model this service provides home-based assessment family plan development parent-child therapeutic intervention and education and care coordination case management for high-risk families with children under six years of age including pregnant women in order to decrease social-emotional and behavioral problems developmental and learning problems and abuse and neglect.  ARPA funding will allow for essentially doubling the capacity of Child First service teams statewide. An estimated 44% of all Child First families reside at a Qualified Census Tract address and at a minimum 25% of all those served are on the child welfare caseload.  Families have been waitlisted for Child First services historically and there is ample need within the child welfare-involved population alone to fill all the newly available capacity that would be added to pre-existing contracted capacity.","In 2001, Child First received a Starting Early Starting Smart federal grant from the Center for Substance Abuse Prevention (CSAP) of the Substance Abuse and Mental Health Services Administration (SAMHSA) of the U.S. Department of Health and Human Services (HHS), to support a randomized controlled trial of the Child First model. The study found clinically and statistically significant impact on child and family outcomes.","The program is in early development stages and will provide performance metrics in future reports."
"29783","Mothers Against Violence","50000","1.11 - Community Violence Interventions","Mothers Against Violence MAV a 501(c)(3) non-profit.  MAV provides direct services to victims of crime in underserved communities where the ongoing support is minimum. This includes crisis intervention, advocacy, grief counseling, compassion support, accompanying victims to secure services, providing direction for short term needs, food, shelter, clothing, and transportation. In addition, they provide anti-retaliation services and strategies which help to prevent any additional retaliation between victims and other individuals who may have been impacted.","The program is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and will provide performance metrics in future reports."
"29784","Legal Representation for Tenant Eviction","20000000","2.18 - Housing Support: Other Housing Assistance","The Right to Counsel Program: free legal representation will be provided to income-eligible tenants and occupants in residential eviction and administrative proceedings.  Individuals with household incomes that are no more than 80% of the state's median income or who receive certain types of public assistance are considered income eligible.","The implementing agency has indicated their intention to conduct a program evaluation of this project.
Providing legal assistance or establishing a right to counsel for eviction proceedings are leading interventions to reduce the number of evictions.
https://www.hud.gov/program_offices/spm/gmomgmt/grantsinfo/fundingopps/fy21_evictiongrantprogram","Number of tenants assisted: 893
Demographic information on tenants assisted
·         Race: Black, not Hispanic (47.1%); Hispanic (30%); White (16.5%); Asian or Pacific Islander (0.8%); Native American (0.8%); Other (4.7%)
·         Gender: Male (68%); Female (31%); Transgender – Woman (0.1%); Not specified (0.2%)
·         Household Size: 1 (36.2%); 2 (21.9%); 3 (19.6%); 4 (12.1%); 5+ (10.3%)"
"29785","New Haven Police Activities League","100000","1.11 - Community Violence Interventions","Through the New Haven Police Activities League  (NH-PAL) program, educational and athletic programs for children throughout the city will be provided. NH-PAL responds to the needs of youth in many neighborhoods through after school weekend and special summer events. The purpose is to build character help strengthen police-community relations and keep children off illegal drugs.","The program is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and will provide performance metrics in future reports."
"29786","TRUE Unit - Cheshire CI","1000000","6.1 - Provision of Government Services","Program enhancements implementing a nationally recognized correction model that expands services to reduce recidivism among young men aged 18-24 and emphasizes personal dignity and developmentally appropriate programming.",,
"29787","WORTH Program York CI","500000","6.1 - Provision of Government Services","Program enhancements implementing a nationally recognized correction model that expands services to reduce recidivism among young women aged 18-24 and emphasizes personal dignity and developmentally appropriate programming.",,
"29788","Vocational Village Dept Corrections","20000000","6.1 - Provision of Government Services","Program funding based on a national model where participants' workforce skills are developed to fill in-demand jobs in the community. A coordinated effort between the Department of Correction's Correctional Enterprises and Unified School District 1 to provide inmates with both the work experience and classroom instruction necessary for industry-recognized credentials in employment sectors which are in need of workers and that hire Returning Citizens. Funding will be used for startup and capital costs, construction, equipment, etc.",,
"29790","Workforce Development, Education and Training","1000000","2.10 - Assistance to Unemployed or Underemployed Workers (e.g., job training subsidized employment supports or incentives)","The nursing home industry and its employees have borne the brunt of some of the worst impacts of the pandemic resulting in staff burnout and associated staffing shortages across the state and nationwide. This funding will provide workforce development for individuals employed in the nursing home industry to advance their careers.",,
"29791","Nursing Home Facility Support","10000000","6.1 - Provision of Government Services","The nursing home industry in Connecticut has experienced negative economic impacts as a result of the pandemic since the first cases presented in the state. Funds are intended to provide temporary financial assistance for nursing homes.",,
"29792","MyCT Resident One Stop","2500000","6.1 - Provision of Government Services","The MyCT initiative seeks to put all government services online in a way that makes state services more accessible. This one-stop approach enables residents to access health and human services programs via the online portal by simplifying online interactions and making it easier to locate apply for and maintain participation in state benefit programs. This operating support will provide the necessary resources to bring in additional project assistance for user research and design of the health and human services function within MyCT. In addition, these funds will allow for backfill of existing state resources to allow knowledge leaders to participate in MyCT development and launch. Lastly these funds will allow the state to bring in additional business domain expertise for the duration of the project.",,
"29793","New Reach Life Haven Shelter","500000","2.16 - Long-Term Housing Security: Services for Unhoused Persons","Funding will support New Reach, a non-profit that offers a continuum of housing interventions and supports in Fairfield and New Haven counties helping vulnerable households achieve stability and self-reliance. This assistance will specifically support the organizations family homeless shelters providing services for unhoused persons as the pandemic exacerbated the need for these services.","The project is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The project is in early development stages and has provided prospective performance indicators that it will track over the lifetime of the project by program.
Outcome:  Client obtains permanent housing and/or accesses support and/or treatment services.  
·         Measure 1 - No more than 15% of Clients are discharged to homelessness
·         Measure 2 - 100 % of Clients were provided with information on health, education, housing, budgeting, and/or other services, in order to enable them to make informed decisions. on meeting their needs.
·         Measure 3 - 100% of Clients have come in to the program through coordinated access.  
·         Measure 4 (ESS/ESG only) At least 40 % of Clients access permanent housing upon discharge.
·         Measure 5 (ESS/ESG only) the monthly shelter utilization rate, as reported in the Monthly Shelter Utilization Report shall be at or above 80%.  If the monthly shelter utilization rate falls under 80% for more than 3 months consistently during this Contract period, the Contractor will communicate with DOH to explain the reasons for the low utilization rate.
·         Measure 6 (Shelter Diversion Only): At least 25% of individuals assessed at shelter diversion are diverted to appropriate resources and do not enter the homeless service system
·         Measure 7 (Coordinated Access Only): The CAN intake appointment wait time does not exceed 4 calendar days."
"29794","Mary Wade","750000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Mary Wade is a nursing home that has experienced documented financial hardship in the form of reduced revenues as a result of the pandemic. This financial hardship has hindered the organization’s ability to move forward with critical strategic initiatives and funding will supplement a broader project to address these initiatives including upgrades to shared spaces addressing critical life safety concerns and updating HVAC systems.",,"Number of non-profits served: 1"
"29795","Community Action Agencies","5000000","2.37 - Economic Impact Assistance Other","Connecticut's Community Action Agency (CAA) network will establish a flexible client support fund to assist vulnerable and at-risk populations statewide particularly those who do not qualify for existing programs and services to meet meeting basic household necessities. The pandemic has resulted in increased numbers of first-time CAA clients presenting with short-term economic needs that if met can help the client to achieve independence as opposed to having to rely on long-term benefit programs.","The project is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and will provide performance metrics in future reports."
"29796","CTN","1000000","6.1 - Provision of Government Services","Broadcast upgrades improvements to provide greater expansive public coverage including CT-N Media Server Replacement, Control Switcher, Production Switch, Audio Video Router Replacement, Web Streaming HWSW servers, remote equipment, and other miscellaneous equipment to fully support the initiatives.",,
"29797","DMHAS Private Providers","50000000","2.37 - Economic Impact Assistance Other","$25 million in funds was allocated, of which $15 million supported a 4% Cost of Living Adjustment to contracted mental health and substance use providers to be used for salary and related wage increases, and $10 million for a grant program to support facility and infrastructure costs for these same providers for one-time improvements.","The project is currently underway and will report on evidence in a final report at the end of the project.","Number of providers receiving aid: To be determined"
"29798","Blind and Deaf Community Supports","2000000","6.1 - Provision of Government Services","Funding will address deficiencies in support services for individuals who are blind, deaf, hard of hearing, or deafblind. This may include purchase of clear masks, specialized vaccine clinic supports, and informational videos communication cards and interpreter services for the deaf community. Additionally, funding is provided in response to reduced operations at the Library for the Blind in Rocky Hill in order to provide comparable services to the blind community and to expand the library's programming.",,
"29805","Family Justice Center","100000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","The Center for Family Justice provides free, confidential crisis and supportive services to all victims and survivors of domestic and sexual violence, human trafficking and child abuse in the six Fairfield County towns we serve: Bridgeport, Easton, Fairfield, Monroe, Stratford and Trumbull. They also educate the communities about ways to break the cycles of violence by building healthy relationships, empowering communities and mobilizing bystanders to speak out about abuse and violence.","The Center for Family Justice delivers its programs and services through the Family Justice Center model.  The evidence-based model is recognized by the U.S.  Department of Justice as the best practice for addressing the myriad of issues facing survivors including a reduction in the level of domestic violence homicides, victim recantation, and fear and anxiety experienced by victims and their children.  It utilizes a comprehensive multi-disciplinary approach which directly serves survivors and their families, enhances community and professional response, and integrates prevention methodologies. The model is a springboard which transforms clients from victims to survivors and eventually thriving members of society.  CFJ is also an accredited Child Advocacy Center.","The project is in early development stages and has provided prospective performance indicators that it will track over the lifetime of the project, including:
·         Outcome 1: Clients shall have access to domestic violence services and information.
·         Measure 1: 100% of Clients contacting the program shall receive direct assistance to access services and/or information about how to access services.
·         Outcome 2: Clients shall have strategies for enhancing their safety from domestic violence, as a result of contact with a domestic violence program.
·         Measure 2:  As measured by client centered satisfaction survey, 90% of Clients utilizing community-based domestic violence program services five (5) times or more report that they know more about planning for their safety as a result of accessing domestic violence services.
·         Outcome 3: Clients shall have more knowledge about community resources.
·         Measure 3:  As measured by client centered satisfaction survey, 90% of Clients utilizing community-based domestic violence program services five (5) times or more report that they know more about community resources as a result of accessing domestic violence services."
"29819","Governor's Workforce Initiatives","70000000","2.10 - Assistance to Unemployed or Underemployed Workers (eg job training subsidized employment employment supports or incentives)","Funds will be administered predominantly as grant awards for eligible organizations to provide short-term training and support services within the ARPA guidelines. Funds support the Office of Workforce Strategies’ comprehensive best practice model for training: “CareerConneCT”.","The implementing agency has indicated their intention to conduct a program evaluation of this project.  The program is in early development stages and will provide additional detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and has provided prospective performance indicators that it will track over the lifetime of the project. The implementing agency requires that its partners set quantifiable thresholds for each of your goals and recommends, at a minimum, thresholds of 95% completion and 85% placement among participants. Other outcome metrics tracked should include:
·         Number of individuals in training programs
·         Training completion status
·         Employment status
·         Wages
·         Typical weekly hours worked
·         Occupational code of employment
·         Industry code of employment
·         Use of social safety net services (SNAP, TANF, SSI/SSDI, Medicaid) upon completion of program

Demographic and other relevant characteristics tracked will include:
·         Gender, Race/Ethnicity, language, DOB
·         Employment status, long-term unemployed, occupational name/code of most recent employment prior to participation, industry name/code of employment prior to participation, highest school grade completed, educational attainment, school status, current hourly or salary wages
·         (Opt-in, not required reporting): Use of social safety net, including participation in TANF, SSI/SSDI, SNAP, Medicaid;  whether an individual is homeless, low-income, basic skills deficient/low levels of literacy and math, single parent, veteran, disability status"
"29835","Free Bus Public Transportation Services","8100000","2.37 - Economic Impact Assistance Other","Provide funding to extend free public bus service. Expansion of free public transportation services statewide provides significant benefits to low- and moderate-income households who were negatively impacted by the pandemic and revives ridership after declining use during the pandemic.","“Public Transportation In The US: A Driver Of Health And Equity, "" Health Affairs Health Policy Brief, July 29, 2021. DOI: 10.1377/hpb20210630.810356

https://www.healthaffairs.org/do/10.1377/hpb20210630.810356/full/",
"29836","Blue Hills Civic Association","1000000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"Number of non-profits served: 1"
"29837","Imhotep CT National Medical Association Society","400000","1.7 - Other COVID-19 Public Health Expenses","The Imhotep CT National Medical Association Society will provide a series of teaching opportunities and networking events relating to programs that address COVID-19 prevention, mental health issues and violence prevention. These efforts will seek to address the negative public health effects of the pandemic.",,
"29838","Upper Albany Neighborhood Collaborative","250000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"Number of non-profits served: 1"
"28001","Education Technology Training at Gateway","100000","To be determined","Provide funding for education technology training at Gateway Community College. With the shift towards remote learning during COVID-19, many higher education institutions have invested in new technology and policies to promote non-traditional learning solutions.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28002","Healthcare Workforce Needs - both public and private schools","35000000","2.10 - Assistance to Unemployed or Underemployed Workers (e.g., job training, subsidized employment, employment supports or incentives)","Funding to CSCU to develop scholarships, faculty hires, and innovative programs to increase the number of nursing and mental health professionals in the state of Connecticut. Funding will be distributed to both public and private institutions of higher education.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28003","Provide Operating Support","118000000","6.1 - Provision of Government Services","Provide funding for recovery support to the Connecticut State Colleges and Universities. This funding helps CSCU manage negative externalities for both students and institutions of higher education during the shift to online learning and pandemic mitigation during COVID-19.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28004","Provide Support to Certain Facilities","5000000","6.1 - Provision of Government Services","Provide funding to support alterations and improvements to Connecticut State Colleges and Universities facilities that are typically funded by student and user fees, which have been impacted by pandemic-influenced enrollment challenges.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28005","Temporary Support - Charter Oak","500000","6.1 - Provision of Government Services","Provide funding to support alterations and improvements to Charter Oak State College facilities that are typically funded by student and user fees, which have been impacted by pandemic-influenced enrollment challenges.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28006","Temporary Support - CT State Universities","14500000","6.1 - Provision of Government Services","Provide funding to support alterations and improvements to CT State Universities' facilities that are typically funded by student and user fees, which have been impacted by pandemic-influenced enrollment challenges.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28007","Temporary Support - Community Colleges","9000000","6.1 - Provision of Government Services","Provide funding to support alterations and improvements to community college facilities that are typically funded by student and user fees, which have been impacted by pandemic-influenced enrollment challenges.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28008","Support School Air Quality","75000000","To be determined","To support a grants program to provide funding for projects involving the installation, replacement or upgrading of heating, ventilation and air conditioning systems or other improvements to indoor air quality in school buildings.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28009","Senior Centers","10000000","To be determined","Funding provided to support Senior Centers throughout the state, as the elderly population and their caregivers face significant additional public health and negative economic impacts as a result of the COVID-19 pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28010","Meals on Wheels","3000000","2.1 - Household Assistance: Food Programs","These funds will be used to provide support for the Meals on Wheels program to provide meals twice per day for Connecticut residents who are homebound, elderly, or recuperating from an illness. Meals on Wheels faced increased operating costs as a result of the public health and economic impacts of the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28011","Respite Care for Alzheimer's","1000000","To be determined","Funding provided to support respite care (adult day care services) for caregivers of victims of Alzheimer's Disease and related dementia. Caregivers of vulnerable adults faced increasing burdens during the COVID-19 pandemic due to increased public health concerns.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28012","Area Agencies on Aging","4000000","To be determined","Funding provided to the state's five Area Agencies on Aging, which are private, nonprofit planning agencies that provide a variety of services to Connecticut's elderly population, including: social services, nutritional services, disease prevention and health promotion services, family caregivers support services, and adult day care services to victims of Alzheimer's Disease and related dementia. Centers may also provide direct services in the areas of community education, advocacy, case management, information and assistance, and benefits counseling and training.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28013","Avon Senior Center","100000","To be determined","Funding provided to support Avon Senior Center, as Connecticut's elderly population and their caregivers face significant additional public health and negative economic impacts as a result of the COVID-19 pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28014","Dixwell Senior Center","100000","To be determined","Funding provided to support Dixwell Senior Center, as Connecticut's elderly population and their caregivers face significant additional public health and negative economic impacts as a result of the COVID-19 pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28015","Eisenhower Senior Center","100000","To be determined","Funding provided to support Eisenhower Senior Center, as Connecticut's elderly population and their caregivers face significant additional public health and negative economic impacts as a result of the COVID-19 pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28016","Orange Senior Center","100000","To be determined","Funding provided to support Orange Senior Center, as Connecticut's elderly population and their caregivers face significant additional public health and negative economic impacts as a result of the COVID-19 pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28017","Sullivan Senior Center","100000","To be determined","Funding provided to support Sullivan Senior Center, as Connecticut's elderly population and their caregivers face significant additional public health and negative economic impacts as a result of the COVID-19 pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28018","Expand Mobile Crisis Intervention Services","17200000","1.12 - Mental Health Services","Funding provided to complete the expansion of pediatric mobile crisis intervention services (aka emergency mobile psychiatric services, or EMPS) to statewide 24/7 coverage, remedying a gap in public healthcare crisis services that was exacerbated during the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28019","Support Additional Urgent Crisis Centers and Sub-Acute Crisis Stabilization Units","21000000","1.12 - Mental Health Services","Funding provided to establish three additional urgent crisis centers, partnered with subacute crisis stabilization units, to provide diversionary services across the state.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28020","Support for Improved Outcomes for Youth (YSBs and JRBs)","2000000","To be determined","Funding provided to support at-risk youth who have interacted with the justice system through increased funding for community support organizations Youth Service Bureaus (YSBs) and Juvenile Review Boards (JRBs).","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28021","Social Determinant Mental Health Fund","2000000","1.12 - Mental Health Services","Funding provided to establish a Social Determinants of Mental Health Fund, which will be used to help families cover the cost of mental health services and treatment for their children. Family eligibility for assistance from this fund will be determined based on social determinants of mental health, with a goal of reducing racial, ethnic, gender and socioeconomic mental health disparities.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28022","Family Assistance Grants","1000000","To be determined","Funding provided for direct assistance to households interacting with the Department of Children and Families through family assistance grants. Eligibility for such grants to be determined by state agency, aligned with federal eligibility guidelines.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28023","Expand Access Mental Health","990000","1.12 - Mental Health Services","Provide funding to expand access to mental health services in the state. Project scoping and development currently underway.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28024","Resource Guide","50000","1.12 - Mental Health Services","Provide funding for the creation of a mental health services resource guide. Project scoping and development currently underway.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28025","Peer to Peer Training for Students","150000","1.12 - Mental Health Services","Provide funding for local or regional boards of education to administer a peer-to-peer mental health support program for participating students in grades six to twelve.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28026","Respite for non-DCF Children","85000","To be determined","Provide funding to establish in-home respite care services for children with behavioral health needs, who are not part of the foster care system, to allow such children's parents or guardians respite from caregiving.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28027","Children in Placement, Inc.","25000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28028","Valley Save Our Youth","70000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28029","Girls for Technology","100000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28030","R-Kids","100000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
