"fisc_period","fisc_year","region","office","town","ttl_cps_acept_m","ttl_cps_subs_m","ttl_allegat_m","ttl_allegat_subs_m","ttl_phys_abuse_m","ttl_educ_neglect_m","ttl_emot_neglect_m","ttl_high_risk_m","ttl_medi_neglect_m","ttl_at_risk_m","ttl_phys_neglect_m","ttl_sex_abuse_m","ttl_hmntr_m","ttl_em_ab_m","ttl_moral_neglect_m","subs_phys_abuse_m","subs_educ_neglect_m","subs_emot_neglect_m","subs_high_risk_m","subs_medi_neglect_m","subs_at_risk_m","subs_phys_neglect_m","subs_sex_abuse_m","sub_hmntr_m","sub_em_ab_m","sub_moral_neglect_m","children_subs","rate_phys_abuse_m","rate_educ_neglect_m","rate_emot_neglect_m","rate_high_risk_m","rate_medi_neglect_m","rate_at_risk_m","rate_phys_neglect_m","rate_sex_abuse_m","rate_hmntr_m","rate_em_ab_m","rate_moral_neglect_m"
"07/01/2018 - 06/30/2019","2019","OTHER","NULL","OTHER","373","50","757","138","73","35","90","-","18","-","491","32","-","<= 10","<= 10","<= 10","-","21","-","<= 10","-","94","14","-","<= 10","<= 10","74","3 - 13 %","-","23%","-","16 - 26 %","-","19%","44%","-","19 - 29 %","12 - 22 %"
"07/01/2018 - 06/30/2019","2019","OTHER","NULL","Out Of State","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 1","BRIDGEPORT","BRIDGEPORT","1961","546","4446","1313","444","371","708","-","125","-","2567","134","<= 10","56","37","56","87","166","-","40","-","897","48","<= 10","<= 10","<= 10","841","13%","23%","23%","-","32%","-","35%","36%","24 - 34 %","15 - 25 %","23 - 33 %"
"07/01/2018 - 06/30/2019","2019","REGION 1","BRIDGEPORT","EASTON","15","<= 10","34","<= 10","<= 10","-","16","-","-","-","15","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","-","-","-","-","39 - 49 %","-","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 1","BRIDGEPORT","FAIRFIELD","162","31","318","80","35","19","51","-","14","-","179","<= 10","-","11","<= 10","<= 10","<= 10","20","-","<= 10","-","43","<= 10","-","<= 10","-","44","2 - 12 %","36 - 46 %","39%","-","28 - 38 %","-","24%","24 - 34 %","-","26 - 36 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 1","BRIDGEPORT","MONROE","65","13","146","31","17","<= 10","32","-","11","-","71","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","25","<= 10","-","-","-","21","17 - 27 %","0 - 9 %","5 - 15 %","-","-","-","35%","19 - 29 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 1","BRIDGEPORT","STRATFORD","360","82","760","179","85","36","128","-","37","-","432","17","<= 10","13","<= 10","14","<= 10","33","-","12","-","106","<= 10","-","<= 10","<= 10","113","16%","18 - 28 %","26%","-","32%","-","25%","23 - 33 %","0 - 9 %","14 - 24 %","12 - 22 %"
"07/01/2018 - 06/30/2019","2019","REGION 1","BRIDGEPORT","TRUMBULL","117","17","223","40","31","14","37","-","<= 10","-","118","<= 10","-","<= 10","<= 10","<= 10","<= 10","<= 10","-","-","-","27","<= 10","-","-","-","23","9 - 19 %","6 - 16 %","21 - 31 %","-","0 - 9 %","-","23%","32 - 42 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 1","NORWALK","NORWALK","543","125","1199","298","119","86","229","-","37","-","684","19","-","15","<= 10","<= 10","21","66","-","<= 10","-","189","<= 10","-","<= 10","<= 10","181","6 - 16 %","24%","29%","-","21 - 31 %","-","28%","15 - 25 %","-","12 - 22 %","9 - 19 %"
"07/01/2018 - 06/30/2019","2019","REGION 1","NORWALK","WESTON","27","<= 10","51","<= 10","12","-","<= 10","-","-","-","23","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","<= 10","-","<= 10","-","-","9 - 19 %","-","-","-","25 - 35 %","0 - 9 %","-","49 - 59 %","0%"
"07/01/2018 - 06/30/2019","2019","REGION 1","NORWALK","WESTPORT","94","24","218","46","22","<= 10","30","-","<= 10","-","118","11","-","<= 10","20","<= 10","-","<= 10","-","-","-","34","<= 10","-","-","-","30","4 - 14 %","0 - 9 %","29 - 39 %","-","0 - 9 %","-","29%","17 - 27 %","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 1","NORWALK","WILTON","42","<= 10","86","20","<= 10","-","16","-","<= 10","-","47","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","11","29 - 39 %","-","43 - 53 %","-","0 - 9 %","-","20 - 30 %","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 1","STAMFORD","DARIEN","43","<= 10","120","18","12","<= 10","25","-","<= 10","-","76","<= 10","-","-","-","<= 10","-","<= 10","-","-","-","14","-","-","-","-","13","7 - 17 %","0 - 9 %","11 - 21 %","-","0 - 9 %","-","18%","0 - 9 %","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 1","STAMFORD","GREENWICH","198","41","424","90","41","25","108","-","13","-","204","17","-","13","<= 10","<= 10","<= 10","26","-","<= 10","-","49","-","-","<= 10","-","60","9 - 19 %","27 - 37 %","24%","-","22 - 32 %","-","24%","-","-","7 - 17 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 1","STAMFORD","NEW CANAAN","35","<= 10","76","11","<= 10","-","15","-","<= 10","-","45","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","6 - 16 %","-","0 - 9 %","-","19 - 29 %","99 - 109 %","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 1","STAMFORD","STAMFORD","728","185","1624","462","171","83","269","-","57","-","949","38","<= 10","27","28","21","20","90","-","17","-","294","<= 10","-","<= 10","<= 10","289","12%","24%","33%","-","30%","-","31%","17 - 27 %","0 - 9 %","14 - 24 %","31 - 41 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","ANSONIA","235","69","544","170","50","31","69","-","16","-","360","11","-","<= 10","<= 10","<= 10","12","22","-","<= 10","-","117","<= 10","-","<= 10","<= 10","108","3 - 13 %","39%","32%","-","55 - 65 %","-","33%","54 - 64 %","-","32 - 42 %","24 - 34 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","BETHANY","19","<= 10","53","<= 10","<= 10","<= 10","<= 10","-","-","-","37","-","-","<= 10","-","<= 10","-","-","-","-","-","<= 10","-","-","-","-","<= 10","13 - 23 %","0 - 9 %","0 - 9 %","-","-","-","7 - 17 %","-","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","BRANFORD","132","37","321","92","32","11","49","-","<= 10","-","214","-","-","<= 10","<= 10","<= 10","<= 10","17","-","<= 10","-","70","-","-","-","-","50","8 - 18 %","8 - 18 %","35%","-","16 - 26 %","-","33%","-","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","DERBY","132","23","291","55","34","28","43","-","<= 10","-","168","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","38","-","-","-","<= 10","37","11 - 21 %","6 - 16 %","15 - 25 %","-","49 - 59 %","-","23%","0 - 9 %","0 - 9 %","0 - 9 %","49 - 59 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","EAST HAVEN","256","69","632","208","55","21","119","-","16","-","391","<= 10","<= 10","<= 10","12","<= 10","<= 10","54","-","<= 10","-","138","<= 10","-","<= 10","<= 10","98","3 - 13 %","28 - 38 %","45%","-","18 - 28 %","-","35%","29 - 39 %","0 - 9 %","13 - 23 %","7 - 17 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","HAMDEN","364","86","816","202","104","40","100","-","28","-","502","27","-","<= 10","<= 10","<= 10","<= 10","30","-","<= 10","-","143","<= 10","-","<= 10","<= 10","122","4 - 14 %","22 - 32 %","30%","-","17 - 27 %","-","28%","25 - 35 %","-","10 - 20 %","32 - 42 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","MILFORD","199","44","463","98","58","29","80","-","23","-","240","14","<= 10","15","<= 10","<= 10","12","12","-","<= 10","-","58","<= 10","-","<= 10","-","55","9 - 19 %","41%","15%","-","21 - 31 %","-","24%","28 - 38 %","0 - 9 %","6 - 16 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","NORTH BRANFORD","41","<= 10","102","14","11","<= 10","22","-","<= 10","-","51","<= 10","-","<= 10","<= 10","-","-","<= 10","-","<= 10","-","<= 10","<= 10","-","<= 10","<= 10","12","-","0 - 9 %","17 - 27 %","-","49 - 59 %","-","11 - 21 %","24 - 34 %","-","13 - 23 %","32 - 42 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","NORTH HAVEN","90","20","205","52","23","11","31","-","<= 10","-","124","<= 10","-","<= 10","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","38","<= 10","-","-","-","29","3 - 13 %","26 - 36 %","22 - 32 %","-","19 - 29 %","-","31%","24 - 34 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","ORANGE","29","<= 10","63","22","<= 10","<= 10","18","-","<= 10","-","29","<= 10","-","<= 10","-","<= 10","-","<= 10","-","-","-","15","-","-","-","-","11","13 - 23 %","0 - 9 %","32 - 42 %","-","0 - 9 %","-","52%","0 - 9 %","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","SEYMOUR","92","23","203","54","20","14","42","-","<= 10","-","103","<= 10","-","<= 10","<= 10","<= 10","<= 10","17","-","<= 10","-","28","<= 10","-","<= 10","-","31","4 - 14 %","13 - 23 %","40%","-","12 - 22 %","-","27%","24 - 34 %","-","49 - 59 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","SHELTON","188","41","421","114","37","24","51","-","15","-","279","<= 10","-","<= 10","<= 10","<= 10","<= 10","19","-","<= 10","-","80","-","-","<= 10","<= 10","59","15 - 25 %","16 - 26 %","37%","-","19 - 29 %","-","29%","0 - 9 %","-","19 - 29 %","49 - 59 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","WEST HAVEN","509","101","1240","303","131","85","194","-","36","-","718","29","-","31","16","12","19","79","-","<= 10","-","168","<= 10","-","<= 10","<= 10","146","9%","22%","41%","-","27 - 37 %","-","23%","20 - 30 %","-","22 - 32 %","12 - 22 %"
"07/01/2018 - 06/30/2019","2019","REGION 2","MILFORD","WOODBRIDGE","21","<= 10","52","18","<= 10","-","15","-","<= 10","-","31","-","-","-","-","<= 10","-","<= 10","-","<= 10","-","<= 10","-","-","-","-","<= 10","19 - 29 %","-","46 - 56 %","-","99 - 109 %","-","28 - 38 %","-","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 2","NEW HAVEN","NEW HAVEN","2068","542","4820","1423","469","166","776","-","94","-","3093","128","<= 10","71","19","52","48","284","-","14","-","957","50","-","16","<= 10","795","11%","29%","37%","-","15%","-","31%","39%","0 - 9 %","23%","10 - 20 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","CHESTER","17","<= 10","42","<= 10","<= 10","<= 10","<= 10","-","-","-","30","-","-","<= 10","-","<= 10","-","<= 10","-","-","-","<= 10","-","-","<= 10","-","<= 10","32 - 42 %","0 - 9 %","13 - 23 %","-","-","-","12 - 22 %","-","-","99 - 109 %","0%"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","CLINTON","50","15","161","55","16","<= 10","31","-","<= 10","-","99","<= 10","-","<= 10","<= 10","<= 10","<= 10","14","-","-","-","34","<= 10","-","-","-","28","12 - 22 %","56 - 66 %","45%","-","0 - 9 %","-","34%","32 - 42 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","CROMWELL","81","17","198","52","34","<= 10","26","-","<= 10","-","115","12","-","<= 10","<= 10","<= 10","<= 10","<= 10","-","-","-","39","<= 10","-","-","-","17","17 - 27 %","39 - 49 %","14 - 24 %","-","0 - 9 %","-","34%","7 - 17 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","DEEP RIVER","20","<= 10","43","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","29","<= 10","-","-","<= 10","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","<= 10","<= 10","0 - 9 %","0 - 9 %","32 - 42 %","-","0 - 9 %","-","13 - 23 %","99 - 109 %","-","-","99 - 109 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","DURHAM","21","<= 10","50","<= 10","<= 10","-","<= 10","-","<= 10","-","31","<= 10","-","-","<= 10","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","0 - 9 %","-","9 - 19 %","0 - 9 %","-","-","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","EAST HADDAM","45","13","132","28","<= 10","<= 10","28","-","<= 10","-","72","<= 10","-","<= 10","<= 10","-","<= 10","<= 10","-","-","-","22","<= 10","-","-","-","19","0 - 9 %","39 - 49 %","3 - 13 %","-","0 - 9 %","-","31%","24 - 34 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","EAST HAMPTON","90","17","214","60","20","<= 10","43","-","<= 10","-","136","<= 10","-","<= 10","<= 10","-","-","16","-","-","-","42","-","-","-","<= 10","21","-","0 - 9 %","37%","-","0 - 9 %","-","31%","0 - 9 %","-","0 - 9 %","66 - 76 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","ESSEX","17","<= 10","57","17","<= 10","<= 10","17","-","<= 10","-","31","-","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","46 - 56 %","-","0 - 9 %","-","28 - 38 %","-","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","GUILFORD","66","<= 10","161","30","13","-","30","-","<= 10","-","93","<= 10","-","<= 10","<= 10","-","-","11","-","<= 10","-","16","<= 10","-","-","-","<= 10","-","-","37%","-","66 - 76 %","-","17%","16 - 26 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","HADDAM","28","<= 10","70","12","<= 10","<= 10","15","-","<= 10","-","39","<= 10","-","-","<= 10","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","0 - 9 %","39 - 49 %","-","0 - 9 %","-","12 - 22 %","24 - 34 %","-","-","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","KILLINGWORTH","15","<= 10","39","<= 10","<= 10","<= 10","12","-","<= 10","-","23","-","-","-","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","16 - 26 %","-","0 - 9 %","-","8 - 18 %","-","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","LYME","<= 10","<= 10","13","<= 10","<= 10","-","-","-","-","-","11","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","-","-","-","-","17 - 27 %","-","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","MADISON","32","<= 10","86","<= 10","<= 10","<= 10","24","-","-","-","45","<= 10","-","-","-","<= 10","<= 10","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","12 - 22 %","49 - 59 %","7 - 17 %","-","-","-","3 - 13 %","0 - 9 %","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","MIDDLEFIELD","18","<= 10","41","<= 10","<= 10","<= 10","<= 10","-","-","-","24","-","-","-","<= 10","-","<= 10","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","66 - 76 %","0 - 9 %","-","-","-","20 - 30 %","-","-","-","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","MIDDLETOWN","342","78","776","203","79","34","118","-","12","-","495","21","<= 10","<= 10","<= 10","<= 10","17","33","-","<= 10","-","140","<= 10","-","<= 10","<= 10","114","3 - 13 %","50%","28%","-","16 - 26 %","-","28%","18 - 28 %","0 - 9 %","21 - 31 %","49 - 59 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","OLD LYME","23","<= 10","37","<= 10","<= 10","<= 10","<= 10","-","-","-","20","<= 10","-","<= 10","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","-","-","24 - 34 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","OLD SAYBROOK","42","<= 10","101","27","<= 10","<= 10","23","-","-","-","59","-","-","<= 10","-","-","-","11","-","-","-","16","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","48%","-","-","-","27%","-","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","PORTLAND","52","11","110","29","21","<= 10","<= 10","-","<= 10","-","68","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","20","-","-","-","<= 10","14","9 - 19 %","32 - 42 %","42 - 52 %","-","49 - 59 %","-","29%","0 - 9 %","0 - 9 %","0 - 9 %","99 - 109 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","MIDDLETOWN","WESTBROOK","30","<= 10","78","19","<= 10","<= 10","14","-","<= 10","-","48","<= 10","-","<= 10","-","<= 10","<= 10","<= 10","-","-","-","14","<= 10","-","-","-","11","24 - 34 %","19 - 29 %","13 - 23 %","-","0 - 9 %","-","29%","49 - 59 %","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","BOZRAH","21","<= 10","49","13","<= 10","<= 10","<= 10","-","<= 10","-","34","-","-","<= 10","-","-","-","<= 10","-","-","-","11","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","39 - 49 %","-","0 - 9 %","-","32%","-","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","COLCHESTER","115","20","264","66","22","13","41","-","<= 10","-","172","-","-","<= 10","<= 10","-","-","15","-","<= 10","-","47","-","-","<= 10","-","28","-","-","37%","-","37 - 47 %","-","27%","-","-","16 - 26 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","EAST LYME","112","31","289","120","15","14","55","-","<= 10","-","184","11","-","<= 10","<= 10","<= 10","-","38","-","<= 10","-","79","-","-","-","-","37","12 - 22 %","-","69%","-","49 - 59 %","-","43%","-","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","FRANKLIN","<= 10","<= 10","<= 10","-","<= 10","-","-","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","<= 10","0 - 9 %","-","-","-","-","-","0 - 9 %","-","-","-","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","GRISWOLD","139","33","442","154","24","12","70","-","<= 10","-","312","12","<= 10","<= 10","<= 10","<= 10","<= 10","16","-","<= 10","-","129","<= 10","-","-","-","46","16 - 26 %","16 - 26 %","23%","-","32 - 42 %","-","41%","16 - 26 %","0 - 9 %","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","GROTON","334","66","906","294","76","27","164","-","19","-","572","26","-","14","<= 10","<= 10","<= 10","66","-","<= 10","-","197","<= 10","-","<= 10","<= 10","89","7 - 17 %","10 - 20 %","40%","-","20 - 30 %","-","34%","37 - 47 %","-","28 - 38 %","49 - 59 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","LEBANON","41","<= 10","112","31","14","<= 10","24","-","<= 10","-","55","<= 10","-","11","-","<= 10","-","13","-","-","-","13","-","-","<= 10","-","11","20 - 30 %","0 - 9 %","54%","-","0 - 9 %","-","24%","0 - 9 %","-","17 - 27 %","0%"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","LEDYARD","85","18","205","44","11","<= 10","35","-","14","-","122","12","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","29","<= 10","-","-","-","26","8 - 18 %","0 - 9 %","19 - 29 %","-","-","-","24%","57 - 67 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","LISBON","24","<= 10","91","53","<= 10","<= 10","<= 10","-","<= 10","-","62","<= 10","-","<= 10","-","-","<= 10","<= 10","-","-","-","40","<= 10","-","-","-","15","0 - 9 %","49 - 59 %","69 - 79 %","-","0 - 9 %","-","65%","99 - 109 %","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","MONTVILLE","138","33","464","184","23","<= 10","100","-","<= 10","-","299","13","-","14","<= 10","-","<= 10","58","-","<= 10","-","121","-","-","-","-","54","-","24 - 34 %","58%","-","49 - 59 %","-","40%","-","-","-","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","NEW LONDON","444","93","1238","397","102","37","242","-","18","-","748","56","-","14","21","<= 10","11","112","-","<= 10","-","233","23","-","<= 10","<= 10","131","8 - 18 %","30%","46%","-","21 - 31 %","-","31%","41%","-","20 - 30 %","9 - 19 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","NORTH STONINGTON","16","<= 10","37","<= 10","<= 10","<= 10","<= 10","-","-","-","30","-","-","-","<= 10","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","-","-","29 - 39 %","-","-","-","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","NORWICH","753","147","2046","564","169","84","364","-","34","-","1271","64","<= 10","34","21","12","16","139","-","14","-","350","22","-","<= 10","<= 10","219","7%","19%","38%","-","41%","-","28%","34%","0 - 9 %","20 - 30 %","18 - 28 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","PRESTON","21","<= 10","52","<= 10","<= 10","<= 10","<= 10","-","-","-","39","<= 10","-","-","-","<= 10","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","24 - 34 %","0 - 9 %","49 - 59 %","-","-","-","9 - 19 %","79 - 89 %","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","SALEM","22","<= 10","106","29","<= 10","-","28","-","-","-","65","-","-","<= 10","11","-","-","15","-","-","-","14","-","-","-","-","<= 10","0 - 9 %","-","54%","-","-","-","22%","-","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","SPRAGUE","52","13","149","60","12","<= 10","35","-","<= 10","-","82","<= 10","-","-","<= 10","<= 10","<= 10","15","-","<= 10","-","37","<= 10","-","-","-","19","16 - 26 %","12 - 22 %","43%","-","49 - 59 %","-","45%","59 - 69 %","-","-","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","STONINGTON","81","22","251","119","14","<= 10","60","-","<= 10","-","159","<= 10","-","<= 10","-","<= 10","<= 10","47","-","<= 10","-","59","-","-","<= 10","-","32","42 - 52 %","37 - 47 %","78%","-","66 - 76 %","-","37%","0 - 9 %","-","66 - 76 %","0%"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","VOLUNTOWN","<= 10","<= 10","28","<= 10","<= 10","-","<= 10","-","-","-","23","<= 10","-","-","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","99 - 109 %","-","-","-","8 - 18 %","99 - 109 %","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","NORWICH","WATERFORD","101","20","264","88","18","<= 10","64","-","<= 10","-","154","<= 10","-","<= 10","<= 10","<= 10","-","34","-","<= 10","-","46","<= 10","-","<= 10","-","28","5 - 15 %","0 - 9 %","53%","-","66 - 76 %","-","30%","12 - 22 %","-","43 - 53 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","WILLIMANTIC","ASHFORD","22","<= 10","60","<= 10","<= 10","<= 10","20","-","-","-","29","-","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","9 - 19 %","-","-","-","9 - 19 %","-","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","WILLIMANTIC","BROOKLYN","69","12","196","55","18","<= 10","49","-","<= 10","-","117","<= 10","<= 10","-","<= 10","<= 10","<= 10","12","-","<= 10","-","37","-","-","-","-","21","21 - 31 %","24 - 34 %","24%","-","32 - 42 %","-","32%","0 - 9 %","0 - 9 %","-","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","WILLIMANTIC","CANTERBURY","32","<= 10","93","24","<= 10","13","17","-","<= 10","-","46","<= 10","-","-","-","<= 10","-","<= 10","-","-","-","16","<= 10","-","-","-","<= 10","12 - 22 %","-","34 - 44 %","-","0 - 9 %","-","35%","49 - 59 %","-","-","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","WILLIMANTIC","CHAPLIN","19","<= 10","46","11","<= 10","<= 10","<= 10","-","<= 10","-","34","-","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","39 - 49 %","-","0 - 9 %","-","25 - 35 %","-","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","WILLIMANTIC","COLUMBIA","21","<= 10","40","<= 10","<= 10","-","<= 10","-","<= 10","-","27","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","<= 10","0 - 9 %","-","49 - 59 %","-","0 - 9 %","-","18 - 28 %","0 - 9 %","-","0 - 9 %","99 - 109 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","WILLIMANTIC","COVENTRY","95","12","228","35","18","<= 10","50","-","<= 10","-","138","<= 10","-","<= 10","<= 10","-","-","17","-","-","-","15","<= 10","-","-","-","17","-","0 - 9 %","34%","-","0 - 9 %","-","11%","49 - 59 %","-","0 - 9 %","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","WILLIMANTIC","EASTFORD","<= 10","<= 10","29","14","<= 10","-","15","-","<= 10","-","<= 10","-","-","-","<= 10","-","-","<= 10","-","<= 10","-","-","-","-","-","-","<= 10","0 - 9 %","-","66 - 76 %","-","79 - 89 %","-","0 - 9 %","-","-","-","0 - 9 %"
"07/01/2018 - 06/30/2019","2019","REGION 3","WILLIMANTIC","HAMPTON","13","<= 10","28","11","<= 10","<= 10","<= 10","-","-","-","17","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","82 - 92 %","-","-","-","34 - 44 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2018 - 06/30/2019","2019","REGION 3","WILLIMANTIC","KILLINGLY","263","68","810","285","43","14","164","-","29","-","524","18","-","<= 10","11","<= 10","<= 10","87","-","<= 10","-","173","<= 10","-","<= 10","<= 10","105","18 - 28 %","28 - 38 %","53%","-","20 - 30 %","-","33%","21 - 31 %","-","13 - 23 %","17 - 27 %"
