"fiscal_year","town_code","municipality","total_consideration_for","total_amount_due","consideration_for_unimproved","tax_on_unimproved_land","total_consideration_for_1","consideration_for_residential","tax_on_consideration_under","consideration_for_residential_1","tax_on_consideration_over","consideration_for_residential_2","tax_on_consideration_between","consideration_for_residential_3","tax_on_consideration_over_1","residential_property_other","tax_on_residential_property","nonresidential_property_other","tax_on_nonresidential_property","delinquent_mortgage_conveyance","tax_on_delinquent_mortgagor","number_of_taxable_conveyances","number_of_non_taxable_and"
"FY 2020-21","164","WINDSOR (164)","175608508","1363476","25941657","194562","138814499","138814499","1041109",,,"0","0","0","0","1570000","11775","9282352","116029","0","0","599","232"
"FY 2020-21","165","WINDSOR LOCKS (165)","76975065","673927","340000","2550","50112287","50112287","375842",,,"0","0","0","0","7200000","54000","19322778","241535","0","0","265","88"
"FY 2020-21","166","WOLCOTT (166)","105774080","820500","2143700","16078","98076580","98076580","735574",,,"0","0","0","0","114900","862","5438900","67986","0","0","398","136"
"FY 2020-21","167","WOODBRIDGE (167)","80515358","616028","1554444","11658","78420914","76528432","573963",,,"1892482","23656","0","0","0","0","540000","6750","0","0","178","76"
"FY 2020-21","168","WOODBURY (168)","126612732","989689","4020554","30154","107440346","102853546","771402",,,"3692800","46160","894000","20115","13508000","101310","1643832","20548","0","0","317","126"
"FY 2020-21","169","WOODSTOCK (169)","63008782","483141","3645600","27342","57700782","56700682","425255",,,"1000100","12501","0","0","547400","4106","1115000","13938","0","0","233","105"
"FY 2020-21","000","TOWN UNKNOWN","121560406","1093541","3566919","26752","103273991","82877741","621583",,,"18837500","235469","1558750","35072","1865620","13992","12853876","160673","0","0","273","120"
"FY 2020-21",,"ALL MUNICIPALITIES","36450471819","332634075","832440973","6243307","31509764385","25184570625","188884280",,,"4920500344","61506254","1404693416","31605602","1391739739","10438048","2716526721","33956584","1","0","79065","30279"
"FY 2019-20","001","ANDOVER (001)","15488497","120414","310000","2325","14151297","14151297","106135","0","0",,,,,"177200","1329","850000","10625","0","0","67","18"
"FY 2019-20","002","ANSONIA (002)","53592868","409097","2025000","15188","49370367","49370367","370278","0","0",,,,,"767501","5756","1430000","17875","0","0","260","95"
"FY 2019-20","003","ASHFORD (003)","15856876","118927","684225","5132","14893776","14893776","111703","0","0",,,,,"278875","2092","0","0","0","0","83","35"
"FY 2019-20","004","AVON (004)","196480210","1700949","3362175","25216","152929065","147096102","1103221","5832963","72912",,,,,"552500","4144","39636470","495456","0","0","444","119"
"FY 2019-20","005","BARKHAMSTED (005)","16776135","127546","267333","2005","16163802","16163802","121229","0","0",,,,,"0","0","345000","4313","0","0","69","35"
"FY 2019-20","006","BEACON FALLS (006)","40654614","312115","579000","4343","36710864","36710864","275331","0","0",,,,,"1923750","14428","1441000","18013","0","0","148","34"
"FY 2019-20","007","BERLIN (007)","110767942","908760","3038925","22792","92681867","90651867","679889","2030000","25375",,,,,"1477000","11078","13570150","169627","0","0","354","127"
"FY 2019-20","008","BETHANY (008)","31124100","242876","1458000","10935","27047100","27047100","202853","0","0",,,,,"730000","5475","1889000","23613","0","0","102","29"
"FY 2019-20","009","BETHEL (009)","138953788","1099916","1738517","13039","125285771","125252771","939396","33000","413",,,,,"410000","3075","11519500","143994","0","0","383","109"
"FY 2019-20","010","BETHLEHEM (010)","16713050","130598","0","0","15663050","15663050","117473","0","0",,,,,"0","0","1050000","13125","0","0","53","28"
"FY 2019-20","011","BLOOMFIELD (011)","94630317","832210","1965500","14741","79438248","68168248","511262","11270000","140875",,,,,"0","0","13226568","165332","0","0","338","104"
"FY 2019-20","012","BOLTON (012)","20486967","153852","845000","6338","19586967","19586967","146902","0","0",,,,,"15000","113","40000","500","0","0","82","37"
"FY 2019-20","013","BOZRAH (013)","11133244","85649","313800","2354","10572444","10142444","76068","430000","5375",,,,,"247000","1853","0","0","0","0","53","18"
"FY 2019-20","014","BRANFORD (014)","195741865","1671739","4313361","32350","158996477","150184227","1126382","8812250","110153",,,,,"509250","3819","31922777","399035","0","0","562","213"
"FY 2019-20","015","BRIDGEPORT (015)","362941946","2872680","11808887","88567","305874889","305519888","2291399","355001","4438",,,,,"15490100","116176","29768070","372101","0","0","1659","632"
"FY 2019-20","016","BRIDGEWATER (016)","11044330","85820","475000","3563","10544330","9971830","74789","572500","7156",,,,,"0","0","25000","313","0","0","25","18"
"FY 2019-20","017","BRISTOL (017)","205860686","1632583","5338846","40041","170284941","170284941","1277137","0","0",,,,,"12511250","93834","17725649","221571","0","0","977","348"
"FY 2019-20","018","BROOKFIELD (018)","138741525","1151542","4863495","36476","113876970","109361970","820215","4515000","56438",,,,,"2320000","17400","17681060","221013","0","0","336","114"
"FY 2019-20","019","BROOKLYN (019)","43987284","355596","1653400","12401","37195510","37195510","278966","0","0",,,,,"0","0","5138374","64230","0","0","178","63"
"FY 2019-20","020","BURLINGTON (020)","63785208","479409","3207195","24054","60578013","60374083","452806","203931","2549",,,,,"0","0","0","0","0","0","208","50"
"FY 2019-20","021","CANAAN (021)","6608250","49687","513000","3848","6095250","6070250","45527","25000","313",,,,,"0","0","0","0","0","0","26","13"
"FY 2019-20","022","CANTERBURY (022)","22042893","177987","978895","7342","18530998","18530998","138982","0","0",,,,,"0","0","2533000","31663","0","0","103","51"
"FY 2019-20","023","CANTON (023)","65514916","503277","1668500","12514","62113416","61463416","460976","650000","8125",,,,,"0","0","1733000","21663","0","0","207","62"
"FY 2019-20","024","CHAPLIN (024)","7277050","54578","118500","889","6158550","6158550","46189","0","0",,,,,"1000000","7500","0","0","0","0","39","8"
"FY 2019-20","025","CHESHIRE (025)","182779631","1588542","2537654","19032","136212977","136212977","1021597","0","0",,,,,"490000","3675","43539000","544238","0","0","465","116"
"FY 2019-20","026","CHESTER (026)","18411550","144287","285000","2138","17311550","16886550","126649","425000","5313",,,,,"0","0","815000","10188","0","0","58","23"
"FY 2019-20","027","CLINTON (027)","90885010","711889","3462300","25967","84224960","79573460","596801","4651500","58144",,,,,"1799000","13493","1398750","17484","0","0","295","116"
"FY 2019-20","028","COLCHESTER (028)","75352941","574012","5896506","44224","67553435","67553435","506651","0","0",,,,,"130000","975","1773000","22163","0","0","297","94"
"FY 2019-20","029","COLEBROOK (029)","4727900","35459","78000","585","4649900","4649900","34874","0","0",,,,,"0","0","0","0","0","0","21","12"
"FY 2019-20","030","COLUMBIA (030)","24082509","186152","856525","6424","22119304","22119304","165895","0","0",,,,,"0","0","1106680","13834","0","0","100","30"
"FY 2019-20","031","CORNWALL (031)","20054935","165187","1331500","9986","18723435","15768435","118263","2955000","36938",,,,,"0","0","0","0","0","0","52","23"
"FY 2019-20","032","COVENTRY (032)","46591419","351711","1020950","7657","44995469","44995469","337466","0","0",,,,,"120000","900","455000","5688","0","0","208","77"
"FY 2019-20","033","CROMWELL (033)","66698005","528827","1861983","13965","59117622","59117622","443382","0","0",,,,,"0","0","5718400","71480","0","0","254","89"
"FY 2019-20","034","DANBURY (034)","531154745","4305322","12211101","91583","327754393","327299332","2454745","455061","5688",,,,,"127312000","954840","63877251","798466","0","0","1184","319"
"FY 2019-20","035","DARIEN (035)","595179832","5921470","15357500","115181","564148526","288283043","2162123","275865483","3448319",,,,,"15000","113","15658806","195735","0","0","389","83"
"FY 2019-20","036","DEEP RIVER (036)","36653774","335615","853650","6402","28277784","23657784","177433","4620000","57750",,,,,"0","0","7522340","94029","0","0","91","47"
"FY 2019-20","037","DERBY (037)","37722761","295906","780108","5851","33962653","33925693","254443","36960","462",,,,,"420000","3150","2560000","32000","0","0","178","49"
"FY 2019-20","038","DURHAM (038)","35076419","263073","1383700","10378","33692719","33692719","252695","0","0",,,,,"0","0","0","0","0","0","129","50"
"FY 2019-20","039","EASTFORD (039)","9188076","70006","733250","5499","8153826","8153826","61154","0","0",,,,,"82000","615","219000","2738","0","0","45","15"
"FY 2019-20","040","EAST GRANBY (040)","27967726","223983","153000","1148","24879726","24879726","186598","0","0",,,,,"90000","675","2845000","35563","0","0","107","40"
"FY 2019-20","041","EAST HADDAM (041)","57464497","433548","3358400","25188","52750697","52750697","395630","0","0",,,,,"842500","6319","512900","6411","0","0","233","91"
"FY 2019-20","042","EAST HAMPTON (042)","62907133","485528","2293299","17200","57852834","57532834","431496","320000","4000",,,,,"336000","2520","2425000","30313","0","0","250","101"
"FY 2019-20","043","EAST HARTFORD (043)","143540954","1216384","3435316","25765","102336876","102336876","767527","0","0",,,,,"9803428","73526","27965333","349567","0","0","716","187"
"FY 2019-20","044","EAST HAVEN (044)","156810095","1304661","1839116","13793","96813979","96798979","725992","15000","188",,,,,"32455000","243413","25702000","321275","0","0","488","187"
"FY 2019-20","045","EAST LYME (045)","150587117","1248771","3238300","24287","125107536","122492823","918696","2614713","32684",,,,,"982502","7369","21258780","265735","0","0","426","164"
"FY 2019-20","046","EASTON (046)","70135706","533358","4486019","33645","65474687","64006687","480050","1468000","18350",,,,,"175000","1313","0","0","0","0","125","53"
"FY 2019-20","047","EAST WINDSOR (047)","48165797","372660","3795850","28469","41536767","41531767","311488","5000","63",,,,,"554850","4161","2278330","28479","0","0","228","58"
"FY 2019-20","048","ELLINGTON (048)","67536825","509151","3652400","27393","63359425","63359425","475196","0","0",,,,,"0","0","525000","6563","0","0","264","72"
"FY 2019-20","049","ENFIELD (049)","148357740","1166007","6431745","48238","130812439","130356391","977673","456048","5701",,,,,"769900","5774","10208800","127610","134856","1011","734","196"
"FY 2019-20","050","ESSEX (050)","69514817","585260","2014525","15109","59269928","53735595","403017","5534333","69179",,,,,"985000","7388","7245364","90567","0","0","183","68"
"FY 2019-20","051","FAIRFIELD (051)","755350783","6669031","14769698","110773","649246321","536180969","4021357","113065352","1413317",,,,,"3620124","27151","87714640","1096433","0","0","1011","266"
"FY 2019-20","052","FARMINGTON (052)","202602729","1625872","5007225","37554","149131665","142563638","1069227","6568027","82100",,,,,"33761539","253212","14702300","183779","0","0","471","182"
"FY 2019-20","053","FRANKLIN (053)","10771862","92313","859562","6447","7399400","7399400","55496","0","0",,,,,"208000","1560","2304900","28811","0","0","54","19"
"FY 2019-20","054","GLASTONBURY (054)","238017318","1841745","5536841","41526","212206117","209327846","1569959","2878271","35978",,,,,"11829610","88722","8444750","105559","0","0","642","236"
"FY 2019-20","055","GOSHEN (055)","35310198","284331","1223730","9178","34086468","30185468","226391","3901000","48763",,,,,"0","0","0","0","0","0","96","27"
"FY 2019-20","056","GRANBY (056)","98090082","747439","2084500","15634","60412872","60352872","452647","60000","750",,,,,"33300010","249750","2292700","28659","0","0","217","79"
"FY 2019-20","057","GREENWICH (057)","1998947662","21474101","44069754","330523","1757741708","653244162","4899331","1104497546","13806219",,,,,"5235000","39263","191901200","2398765","0","0","952","408"
"FY 2019-20","058","GRISWOLD (058)","40409918","315336","1505231","11289","37174709","35699709","267748","1475000","18438",,,,,"752578","5644","977400","12218","0","0","217","84"
"FY 2019-20","059","GROTON (059)","187176949","1548966","4049199","30369","138227956","133709298","1002820","4518658","56483",,,,,"20390603","152930","24509190","306365","1","0","567","180"
"FY 2019-20","060","GUILFORD (060)","179400292","1430377","5571190","41784","164146352","156844075","1176331","7302277","91278",,,,,"10000","75","9672750","120909","0","0","429","147"
"FY 2019-20","061","HADDAM (061)","39043586","298102","1240765","9306","36999821","36747821","275609","252000","3150",,,,,"0","0","803000","10038","0","0","138","58"
"FY 2019-20","062","HAMDEN (062)","255839757","2312367","3185351","23890","173790293","172623243","1294674","1167050","14588",,,,,"1317337","9880","77546775","969335","0","0","881","238"
"FY 2019-20","063","HAMPTON (063)","7784150","59691","284750","2136","7237500","7237500","54281","0","0",,,,,"0","0","261900","3274","0","0","43","7"
"FY 2019-20","064","HARTFORD (064)","243262775","2161822","5549720","41623","111500245","110790245","830927","710000","8875",,,,,"59452507","445894","66760303","834504","0","0","801","299"
"FY 2019-20","065","HARTLAND (065)","6804081","56231","525000","3938","5239081","5239081","39293","0","0",,,,,"0","0","1040000","13000","0","0","28","12"
"FY 2019-20","066","HARWINTON (066)","31907882","248379","1473500","11051","28620382","28620382","214653","0","0",,,,,"0","0","1814000","22675","0","0","122","38"
"FY 2019-20","067","HEBRON (067)","44106693","332350","2082400","15618","41286445","41286445","309648","0","0",,,,,"427849","3209","310000","3875","0","0","170","57"
"FY 2019-20","068","KENT (068)","31308151","269162","1202750","9021","28907156","23235156","174264","5672000","70900",,,,,"0","0","1198245","14978","0","0","74","16"
"FY 2019-20","069","KILLINGLY (069)","100656265","879147","1507750","11308","72154327","72154327","541157","0","0",,,,,"2149188","16119","24845000","310563","0","0","403","126"
"FY 2019-20","070","KILLINGWORTH (070)","37944430","288583","3093130","23198","34851300","34051300","255385","800000","10000",,,,,"0","0","0","0","0","0","125","47"
"FY 2019-20","071","LEBANON (071)","31382930","237822","1708944","12817","28918678","28918678","216890","0","0",,,,,"265308","1990","490000","6125","0","0","148","77"
"FY 2019-20","072","LEDYARD (072)","78009404","622434","1195501","8966","67994230","67994230","509957","0","0",,,,,"1347000","10103","7472673","93408","0","0","317","96"
"FY 2019-20","073","LISBON (073)","18952979","149047","303000","2273","17974979","16594979","124462","1380000","17250",,,,,"675000","5063","0","0","0","0","72","50"
"FY 2019-20","074","LITCHFIELD (074)","72512883","616622","1913539","14352","64421847","56044347","420333","8377500","104719",,,,,"0","0","6177497","77219","0","0","190","48"
"FY 2019-20","075","LYME (075)","31418844","280431","659551","4947","30642293","21684293","162632","8958000","111975",,,,,"117000","878","0","0","0","0","48","35"
"FY 2019-20","076","MADISON (076)","172577021","1376057","3226000","24195","165040521","150560245","1129202","14480276","181003",,,,,"2445000","18338","1865500","23319","0","0","346","133"
"FY 2019-20","077","MANCHESTER (077)","371147111","3833541","5382468","40369","155174206","155174206","1163807","0","0",,,,,"603000","4523","209987437","2624843","0","0","864","231"
"FY 2019-20","078","MANSFIELD (078)","44498469","355962","675300","5065","39185379","39185379","293890","0","0",,,,,"193000","1448","4444790","55560","0","0","212","93"
"FY 2019-20","079","MARLBOROUGH (079)","35170583","266306","1820000","13650","33307283","32845283","246340","462000","5775",,,,,"0","0","43300","541","0","0","125","22"
"FY 2019-20","080","MERIDEN (080)","174256427","1487165","5084920","38137","131779895","131779895","988349","0","0",,,,,"1343350","10075","36048261","450603","0","0","883","291"
"FY 2019-20","081","MIDDLEBURY (081)","59950712","456190","570500","4279","58703212","58068212","435512","635000","7938",,,,,"0","0","677000","8463","0","0","170","54"
"FY 2019-20","082","MIDDLEFIELD (082)","20410441","154324","2058000","15435","18239941","18103341","135775","136600","1708",,,,,"0","0","112500","1406","0","0","78","35"
"FY 2019-20","083","MIDDLETOWN (083)","153307309","1275415","2362800","17721","126132509","125582509","941869","550000","6875",,,,,"240000","1800","24572000","307150","0","0","650","194"
"FY 2019-20","084","MILFORD (084)","447515757","3783466","2802800","21021","268970272","264865372","1986490","4104900","51311",,,,,"94428063","708210","81314623","1016433","0","0","921","249"
"FY 2019-20","085","MONROE (085)","123480734","947331","6892521","51694","112393213","112343213","842574","50000","625",,,,,"0","0","4195000","52438","0","0","344","86"
"FY 2019-20","086","MONTVILLE (086)","78001435","647867","4497700","33733","59441749","59391749","445438","50000","625",,,,,"1540736","11556","12521250","156516","0","0","344","114"
"FY 2019-20","087","MORRIS (087)","15559812","120056","114000","855","15095812","14424354","108183","671458","8393",,,,,"350000","2625","0","0","0","0","48","20"
"FY 2019-20","088","NAUGATUCK (088)","105227902","830193","2235824","16769","94795417","94795417","710966","0","0",,,,,"0","0","8196661","102458","0","0","538","187"
"FY 2019-20","089","NEW BRITAIN (089)","157916117","1228066","4941495","37061","131490609","131490609","986180","0","0",,,,,"12744940","95587","8739073","109238","0","0","881","291"
"FY 2019-20","090","NEW CANAAN (090)","455515065","4469710","2395000","17963","439385565","242402623","1818020","196982942","2462287",,,,,"48000","360","13686500","171081","0","0","345","93"
"FY 2019-20","091","NEW FAIRFIELD (091)","103245280","812968","4809900","36074","98310380","90709630","680322","7600750","95009",,,,,"0","0","125000","1563","0","0","266","104"
"FY 2019-20","092","NEW HARTFORD (092)","31493802","239483","1486500","11149","30002302","29346313","220097","655989","8200",,,,,"5000","38","0","0","0","0","125","49"
"FY 2019-20","093","NEW HAVEN (093)","344128048","2987347","14894150","111706","215770088","210729838","1580474","5040250","63003",,,,,"37226715","279200","76237095","952964","0","0","997","584"
"FY 2019-20","094","NEWINGTON (094)","136830928","1188120","3027900","22709","100871328","100871328","756535","0","0",,,,,"554000","4155","32377700","404721","0","0","503","174"
"FY 2019-20","095","NEW LONDON (095)","58475589","464613","1189800","8924","52147704","50797704","380983","1350000","16875",,,,,"1278901","9592","3859184","48240","0","0","335","116"
"FY 2019-20","096","NEW MILFORD (096)","165269171","1351518","3382092","25366","144581639","139123639","1043427","5458000","68225",,,,,"363500","2726","16941940","211774","0","0","548","182"
"FY 2019-20","097","NEWTOWN (097)","222455598","1840316","5079770","38098","184811028","182621218","1369659","2189810","27373",,,,,"374800","2811","32190000","402375","0","0","517","186"
"FY 2019-20","098","NORFOLK (098)","11974597","98231","230000","1725","10677370","10002370","75018","675000","8438",,,,,"58000","435","1009227","12615","0","0","42","15"
"FY 2019-20","099","NORTH BRANFORD (099)","54100351","423548","3110133","23326","47296218","47188218","353912","108000","1350",,,,,"243000","1823","3451000","43138","0","0","199","70"
"FY 2019-20","100","NORTH CANAAN (100)","13111128","116548","576250","4322","10369878","8892026","66690","1477852","18473",,,,,"0","0","2165000","27063","0","0","60","13"
"FY 2019-20","101","NORTH HAVEN (101)","233820249","2382239","5734600","43010","101923986","101591486","761936","332500","4156",,,,,"776663","5825","125385000","1567313","0","0","388","152"
"FY 2019-20","102","NORTH STONINGTON (102)","28344339","219688","2244500","16834","24978839","24678839","185091","300000","3750",,,,,"0","0","1121000","14013","0","0","97","33"
"FY 2019-20","103","NORWALK (103)","824196785","7144409","42804511","321034","582307389","499058514","3742939","83248875","1040611",,,,,"89671001","672533","109337716","1366721","76168","571","1236","412"
"FY 2019-20","104","NORWICH (104)","147876328","1208420","2269501","17021","86845160","86827160","651204","18000","225",,,,,"38806817","291051","19851449","248143","103400","776","681","236"
"FY 2019-20","105","OLD LYME (105)","90303437","705042","1233500","9251","87282437","83294172","624706","3988265","49853",,,,,"222500","1669","1565000","19563","0","0","236","105"
"FY 2019-20","106","OLD SAYBROOK (106)","122694263","1015839","1788022","13410","115454741","101712242","762842","13742499","171781",,,,,"67500","506","5384000","67300","0","0","276","123"
"FY 2019-20","107","ORANGE (107)","178352002","1651069","5367900","40259","76584102","75298352","564738","1285750","16072",,,,,"35000000","262500","61400000","767500","0","0","214","72"
"FY 2019-20","108","OXFORD (108)","86996827","695769","3070971","23032","74789856","74764856","560736","25000","313",,,,,"502500","3769","8633500","107919","0","0","241","82"
"FY 2019-20","109","PLAINFIELD (109)","57172589","458958","1484200","11132","48199164","47905753","359293","293411","3668",,,,,"1750000","13125","5739225","71740","0","0","295","85"
"FY 2019-20","110","PLAINVILLE (110)","89799219","765989","6631500","49736","57628348","57053348","427900","575000","7188",,,,,"7615500","57116","17923871","224048","0","0","311","112"
"FY 2019-20","111","PLYMOUTH (111)","40310500","309499","820326","6152","37630056","37630056","282225","0","0",,,,,"247000","1853","1434118","17926","179000","1343","230","80"
"FY 2019-20","112","POMFRET (112)","22358166","167686","1118830","8391","21239336","21239336","159295","0","0",,,,,"0","0","0","0","0","0","94","40"
"FY 2019-20","113","PORTLAND (113)","45341703","358523","2320250","17402","38858153","38858153","291436","0","0",,,,,"471250","3534","3692050","46151","0","0","183","52"
"FY 2019-20","114","PRESTON (114)","17255150","129414","1067900","8009","16115750","16115750","120868","0","0",,,,,"71500","536","0","0","0","0","93","50"
"FY 2019-20","115","PROSPECT (115)","63469611","552531","2116659","15875","46051077","46051077","345383","0","0",,,,,"0","0","15301875","191273","0","0","177","61"
"FY 2019-20","116","PUTNAM (116)","42885926","364429","2425875","18194","31564378","31564378","236733","0","0",,,,,"338673","2540","8557000","106963","0","0","201","55"
"FY 2019-20","117","REDDING (117)","74493272","580744","677000","5078","73159819","69200819","519006","3959000","49488",,,,,"0","0","449875","5623","206577","1549","150","42"
"FY 2019-20","118","RIDGEFIELD (118)","315425744","2761771","3729500","27971","280726244","232480592","1743604","48245652","603071",,,,,"0","0","30970000","387125","0","0","440","112"
"FY 2019-20","119","ROCKY HILL (119)","92595417","799809","2811917","21089","69240937","68615937","514620","625000","7813",,,,,"97000","728","20443620","255545","1943","15","308","109"
"FY 2019-20","120","ROXBURY (120)","47977856","424574","3822000","28665","44155856","31207759","234058","12948097","161851",,,,,"0","0","0","0","0","0","63","23"
"FY 2019-20","121","SALEM (121)","16068744","133656","575501","4316","12865243","12865243","96489","0","0",,,,,"0","0","2628000","32850","0","0","74","37"
"FY 2019-20","122","SALISBURY (122)","63051514","565449","1542698","11570","60013816","42096316","315722","17917500","223969",,,,,"900000","6750","595000","7438","0","0","96","59"
"FY 2019-20","123","SCOTLAND (123)","7233500","54251","213000","1598","7020500","7020500","52654","0","0",,,,,"0","0","0","0","0","0","33","10"
"FY 2019-20","124","SEYMOUR (124)","67334649","533846","1093950","8205","60636611","60398571","452989","238040","2976",,,,,"75000","563","5529088","69114","0","0","271","82"
"FY 2019-20","125","SHARON (125)","41749429","360799","1811225","13584","38853454","30402454","228018","8451000","105638",,,,,"0","0","1084750","13559","0","0","83","23"
"FY 2019-20","126","SHELTON (126)","327694743","2634330","8161915","61214","219015150","218435150","1638264","580000","7250",,,,,"65517500","491381","34743787","434297","256392","1923","706","202"
"FY 2019-20","127","SHERMAN (127)","44774076","384521","2016036","15120","35089970","33014970","247612","2075000","25938",,,,,"0","0","7668070","95851","0","0","84","43"
"FY 2019-20","128","SIMSBURY (128)","199464317","1723145","1601900","12014","151662881","151262881","1134472","400000","5000",,,,,"944500","7084","45032450","562906","222586","1669","496","120"
"FY 2019-20","129","SOMERS (129)","50091842","403564","534380","4008","46580962","43775962","328320","2805000","35063",,,,,"206500","1549","2770000","34625","0","0","166","61"
"FY 2019-20","130","SOUTHBURY (130)","124187007","953595","3830939","28732","116782216","115682216","867617","1100000","13750",,,,,"235446","1766","3338407","41730","0","0","504","142"
"FY 2019-20","131","SOUTHINGTON (131)","214654303","1637223","7044433","52833","202108770","202107742","1515808","1028","13",,,,,"39000","293","5462100","68276","0","0","785","294"
"FY 2019-20","132","SOUTH WINDSOR (132)","198388747","1724689","8279282","62095","142770215","141749994","1063125","1020221","12753",,,,,"1004750","7536","46334500","579181","0","0","547","132"
"FY 2019-20","133","SPRAGUE (133)","9275005","69563","797000","5978","8093005","8093005","60698","0","0",,,,,"385000","2888","0","0","0","0","56","20"
"FY 2019-20","134","STAFFORD (134)","36737764","286191","1432003","10740","33412846","33097846","248234","315000","3938",,,,,"76415","573","1816500","22706","0","0","259","97"
"FY 2019-20","135","STAMFORD (135)","1090879635","8996563","13498386","101238","763353649","712765370","5345740","50588279","632353",,,,,"201622500","1512169","112404888","1405061","212","2","1605","508"
"FY 2019-20","136","STERLING (136)","17216171","129121","1795661","13467","15338510","15338510","115039","0","0",,,,,"82000","615","0","0","0","0","96","29"
"FY 2019-20","137","STONINGTON (137)","149877257","1207235","4341750","32563","135598624","126325041","947438","9273583","115920",,,,,"2579383","19345","7357500","91969","0","0","418","125"
"FY 2019-20","138","STRATFORD (138)","290761764","2318640","8004475","60034","238569265","238107515","1785806","461750","5772",,,,,"17064400","127983","27123624","339045","0","0","1018","301"
"FY 2019-20","139","SUFFIELD (139)","100634022","853910","4642202","34817","87996763","75236763","564276","12760000","159500",,,,,"924057","6930","7071000","88388","0","0","298","94"
"FY 2019-20","140","THOMASTON (140)","25229692","193113","821200","6159","23630492","23630492","177229","0","0",,,,,"0","0","778000","9725","0","0","127","39"
"FY 2019-20","141","THOMPSON (141)","34602470","265844","2132000","15990","31205470","31205470","234041","0","0",,,,,"0","0","1265000","15813","0","0","173","80"
"FY 2019-20","142","TOLLAND (142)","74912046","598737","1175271","8815","66305130","65875130","494063","430000","5375",,,,,"182250","1367","6949396","86867","300000","2250","261","86"
"FY 2019-20","143","TORRINGTON (143)","115075349","1011622","1908700","14315","82268992","82268992","617017","0","0",,,,,"1186200","8897","29711457","371393","0","0","640","220"
"FY 2019-20","144","TRUMBULL (144)","238344767","1977161","3967500","29756","197223109","196462209","1473467","760900","9511",,,,,"0","0","37154158","464427","0","0","521","157"
"FY 2019-20","145","UNION (145)","3269200","24519","26000","195","3243200","3243200","24324","0","0",,,,,"0","0","0","0","0","0","18","5"
"FY 2019-20","146","VERNON (146)","152965725","1509872","1193800","8954","71037277","71037277","532780","0","0",,,,,"8208895","61567","72525753","906572","0","0","429","167"
"FY 2019-20","147","VOLUNTOWN (147)","13039136","99044","681400","5111","12107736","12107736","90808","0","0",,,,,"0","0","250000","3125","0","0","57","28"
"FY 2019-20","148","WALLINGFORD (148)","198030868","1693822","3642927","27322","152001941","151736941","1138027","265000","3313",,,,,"933000","6998","41453000","518163","0","0","670","210"
"FY 2019-20","149","WARREN (149)","14349280","127170","748100","5611","13601180","9691180","72684","3910000","48875",,,,,"0","0","0","0","0","0","24","10"
"FY 2019-20","150","WASHINGTON (150)","81704880","749113","6477600","48582","75177280","47961918","359714","27215362","340192",,,,,"0","0","50000","625","0","0","103","45"
"FY 2019-20","151","WATERBURY (151)","502202902","5247227","4498055","33735","174829727","174714727","1310360","115000","1438",,,,,"26659166","199944","296025954","3700324","190000","1425","1522","603"
"FY 2019-20","152","WATERFORD (152)","118996434","989203","3749460","28121","96203317","95157817","713684","1045500","13069",,,,,"743157","5574","18300500","228756","0","0","414","125"
"FY 2019-20","153","WATERTOWN (153)","95567816","777985","4213572","31602","78916945","78916945","591877","0","0",,,,,"192000","1440","12245300","153066","0","0","377","138"
"FY 2019-20","154","WESTBROOK (154)","63507909","496555","1481600","11112","61213190","57718190","432886","3495000","43688",,,,,"258900","1942","554219","6928","0","0","211","181"
"FY 2019-20","155","WEST HARTFORD (155)","413905980","3327469","10269419","77021","343834061","340991761","2557438","2842300","35529",,,,,"18010000","135075","41792500","522406","0","0","1131","266"
"FY 2019-20","156","WEST HAVEN (156)","172313487","1387156","4545674","34093","136847494","136662494","1024969","185000","2313",,,,,"12144361","91083","18775958","234699","0","0","752","257"
"FY 2019-20","157","WESTON (157)","161061253","1364646","2210165","16576","158846088","127508818","956316","31337270","391716",,,,,"5000","38","0","0","0","0","209","64"
"FY 2019-20","158","WESTPORT (158)","676796330","6701209","6075021","45563","627284259","345674012","2592555","281610247","3520128",,,,,"0","0","43437050","542963","0","0","506","190"
"FY 2019-20","159","WETHERSFIELD (159)","135454328","1127012","1420239","10652","112232870","111368066","835260","864804","10810",,,,,"255100","1913","21356119","266951","190000","1425","483","159"
"FY 2019-20","160","WILLINGTON (160)","22367685","178467","631400","4736","19594485","19594485","146959","0","0",,,,,"0","0","2141800","26773","0","0","92","33"
"FY 2019-20","161","WILTON (161)","203465224","1677837","3070000","23025","198039599","169442599","1270819","28597000","357463",,,,,"583000","4373","1772625","22158","0","0","291","66"
"FY 2019-20","162","WINCHESTER (162)","42240152","338183","1376216","10322","37460652","36570652","274280","890000","11125",,,,,"0","0","3386284","42329","17000","128","219","71"
"FY 2019-20","163","WINDHAM (163)","45536277","379932","795008","5963","36742318","36742318","275567","0","0",,,,,"316900","2377","7682051","96026","0","0","276","113"
"FY 2019-20","164","WINDSOR (164)","164665743","1576057","1639800","12299","93991524","93991524","704936","0","0",,,,,"821667","6163","68212752","852659","0","0","449","148"
"FY 2019-20","165","WINDSOR LOCKS (165)","58607344","526070","1712100","12841","39353227","39353227","295149","0","0",,,,,"0","0","17302900","216286","239117","1793","229","79"
"FY 2019-20","166","WOLCOTT (166)","55984170","424806","1059000","7943","54185170","53915170","404364","270000","3375",,,,,"25000","188","715000","8938","0","0","245","115"
