"phcyname","p1adrs","p1city","p1st","p1zip5","county","phone"
"GIBSON'S PHARMACY","240 E WINCHESTER ST","MURRAY","UT","84107","SALT LAKE","8012625526"
"PUBLIX PHARMACY","8000 MADISON BLVD STE A","MADISON","AL","35758","MADISON","2564616467"
"UTLEY & JONES PHARMACY","112 LAFAYETTE ST","NORWICH","CT","06360","NEW LONDON","8608872538"
"FIRST STOP PHARMACY","101 E CORPORATE DR STE 220A","LEWISVILLE","TX","75067","DENTON","9722998990"
"FAIRHOPE PHARMACY","398 FAIRHOPE AVE","FAIRHOPE","AL","36532","BALDWIN","2519288822"
"CVS PHARMACY","5000 HADLEY CENTER DR","SOUTH PLAINFIELD","NJ","07080","MIDDLESEX","9084442024"
"EASTON'S NEIGHBORX PHARMACY","1800 SULLIVAN TRL STE 305","EASTON","PA","18040","NORTHAMPTON","6108291515"
"HOMEWOOD PHARMACY","940 OXMOOR RD","BIRMINGHAM","AL","35209","JEFFERSON","2058719000"
"PUBLIX PHARMACY","1700 SHERIDAN ST","HOLLYWOOD","FL","33020","BROWARD","9549266657"
"HOMETOWN PHARMACY","397 OLD US HIGHWAY 421","MANCHESTER","KY","40962","CLAY","6065986337"
"CVS PHARMACY","9371 COORS BLVD NW","ALBUQUERQUE","NM","87114","BERNALILLO","5058997731"
"SINDECUSE PHARMACY","1903 W MICHIGAN AVE","KALAMAZOO","MI","49008","KALAMAZOO","2693873355"
"RALEY'S DRUG CENTER","700  ONSOTT ROAD","YUBA CITY","CA","95991","SUTTER","5306738880"
"OAKWOOD PHARMACY-CANTON","7330 N CANTON CENTER RD STE 11","CANTON","MI","48187","WAYNE","7344548070"
"PUBLIX PHARMACY","6251 PGA BLVD","PALM BEACH GARDENS","FL","33418","PALM BEACH","5616240234"
"CONCORD PHARMACY","771 OLD NORCROSS RD","LAWRENCEVILLE","GA","30046","GWINNETT","6789908920"
"SOUTHFIELD SCRIPTS","17330 NORTHLAND PARK CT #101","SOUTHFIELD","MI","48075","OAKLAND","2486219149"
"CVS PHARMACY","1720 W PRIEN LAKE RD","LAKE CHARLES","LA","70601","CALCASIEU","3375627802"
"BUY RITE PHARMACY","11 CHATHAM SQ","NEW YORK","NY","10038","NEW YORK","2129257698"
"ADAMS DISCOUNT PHARMACY","241 N KESWICK AVE","GLENSIDE","PA","19038","MONTGOMERY","2155721118"
"CVS PHARMACY","180 DONAHUE ST","SAUSALITO","CA","94965","MARIN","4152890534"
"SERVICE DRUGS","680 HIGHWAY 51 STE G","RIDGELAND","MS","39157","MADISON","6018534611"
"SCITUATE PHARMACY","384 GANNETT RD","SCITUATE","MA","02066","PLYMOUTH","7815451020"
"BARTHS OF EAST QUOGUE INC","424 MONTAUK HWY","EAST QUOGUE","NY","11942","SUFFOLK","6316533784"
"APEX PHARMACY & HOME CARE CTR","2380 DIXWELL AVE","HAMDEN","CT","06514","NEW HAVEN","2032816571"
"SUNWAY PHARMACY","5723 5TH AVE","BROOKLYN","NY","11220","KINGS","7184395000"
"VALUE DRUGS","89 N STATE RD","BRIARCLIFF MANOR","NY","10510","WESTCHESTER","9149411970"
"PUBLIX PHARMACY","255 NW COMMONS LOOP","LAKE CITY","FL","32055","COLUMBIA","3867195451"
"ACC APOTHECARY","153 CALIFORNIA ST","NEWTON","MA","02458","MIDDLESEX","6175271563"
"SHELDONS EXPRESS PHARMACY","843 FAIRVIEW AVE","BOWLING GREEN","KY","42101","WARREN","2708424515"
"V CARE PHARMACY","362 S MAIN ST","PHILLIPSBURG","NJ","08865","WARREN","9084540727"
"PUBLIX PHARMACY","13178 N DALE MABRY HWY","TAMPA","FL","33618","HILLSBOROUGH","8139612658"
"CVS PHARMACY","1112 WOODRUFF RD","GREENVILLE","SC","29607","GREENVILLE","8642860867"
"PUBLIX PHARMACY","8330 MARKET ST","LAKEWOOD RANCH","FL","34202","MANATEE","9419072844"
"ALAMEDA THRIFTY PHARMACY L.P.","4900 ALAMEDA AVE","EL PASO","TX","79905","EL PASO","9157725331"
"BOYDS DRUG MART (EAST)","909 E SAINT PATRICK ST","RAPID CITY","SD","57701","PENNINGTON","6053480747"
"RYAN PHARMACY","1100 1ST ST E","INDEPENDENCE","IA","50644","BUCHANAN","3193347171"
"PUBLIX PHARMACY","2067 NORTH ATLANTIC AVE","COCOA BEACH","FL","32931","BREVARD","3216139107"
"WELLNESS PLUS PHARMACY","810 FLUSHING AVE","BROOKLYN","NY","11206","KINGS","7184433900"
"ROWE'S PHARMACY","2416 MEMORIAL BLVD","KINGSPORT","TN","37664","SULLIVAN","4232455191"
"HUGHES HEALTH MART PHARMACY","2216 MAIN ST","EMMETSBURG","IA","50536","PALO ALTO","7128522886"
"PENN DRUG","714 ILLINOIS STREET","SIDNEY","IA","51652","FREMONT","7123742513"
"SENTER PHARMACY","2643 SENTER RD STE A","SAN JOSE","CA","95111","SANTA CLARA","4082874899"
"OCEANSIDE PHARMACY","3601 VISTA WAY STE 103","OCEANSIDE","CA","92056","SAN DIEGO","7602315800"
"ALTAMA PHARMACY","5711 ALTAMA AVE STE G","BRUNSWICK","GA","31525","GLYNN","9122642622"
"HK PHARMACY","124 N WESTERN AVE","LOS ANGELES","CA","90004","LOS ANGELES","3234643925"
"CVS PHARMACY","1135 WOODSTOCK RD","ROSWELL","GA","30075","FULTON","7709987122"
"MEDICINE SHOPPE PHARMACY","1144 AIRPORT DR","ALEXANDER CITY","AL","35010","TALLAPOOSA","2562158014"
"CVS PHARMACY","2480 TAMIAMI TRL","PORT CHARLOTTE","FL","33952","CHARLOTTE","9416250023"
"DUANE READE","1235 LEXINGTON AVE","NEW YORK","NY","10028","NEW YORK","2125702710"
"CVS PHARMACY","3501 N US HIGHWAY 441","OCALA","FL","34475","MARION","3526223083"
"CVS PHARMACY","800 CARLYLE AVE","BELLEVILLE","IL","62221","SAINT CLAIR","6182770419"
"CVS PHARMACY","14041 NOEL RD","DALLAS","TX","75240","DALLAS","9723878664"
"CVS PHARMACY","456 DANIEL WEBSTER HWY","MERRIMACK","NH","03054","HILLSBOROUGH","6034241120"
"CVS PHARMACY","327 WOODLAWN AVE","BETHLEHEM","PA","18018","NORTHAMPTON","6106914460"
"HY-VEE DRUGSTORE","1706 S CENTER ST","MARSHALLTOWN","IA","50158","MARSHALL","6417584685"
"CVS PHARMACY","157 LOUDON RD","CONCORD","NH","03301","MERRIMACK","6032250793"
"CVS PHARMACY","1227 US 127 S","FRANKFORT","KY","40601","FRANKLIN","5022278238"
"AHF PHARMACY","1605 PEACHTREE ST NE","ATLANTA","GA","30309","FULTON","4048793990"
"HY-VEE PHARMACY","1320 9TH AVE SE","WATERTOWN","SD","57201","CODINGTON","6058860661"
"CVS PHARMACY","400 MASSACHUSETTS AVE","ACTON","MA","01720","MIDDLESEX","9782633385"
"SUMMERS PHARMACY","895 W COLLEGE","MARSHALL","MO","65340","SALINE","6608315220"
"CVS PHARMACY","801 HIGHWAY 80 E","CLINTON","MS","39056","HINDS","6019242111"
"CVS PHARMACY","1295 E LEAGUE CITY PKWY","LEAGUE CITY","TX","77573","GALVESTON","2813328290"
"CVS PHARMACY","674 MIDDLETOWN ODESSA RD","MIDDLETOWN","DE","19709","NEW CASTLE","3023782287"
"CVS PHARMACY","1875 N KRAEMER BLVD","PLACENTIA","CA","92870","ORANGE","7145725656"
"CVS PHARMACY","1078 E 10TH ST","COOKEVILLE","TN","38501","PUTNAM","9313727425"
"CVS PHARMACY","455 S BROADWAY","GLOUCESTER CITY","NJ","08030","CAMDEN","8564568500"
"CVS PHARMACY","7975 N WICKHAM RD","MELBOURNE","FL","32940","BREVARD","3217517534"
"CVS PHARMACY","9405 W RUSSELL RD","LAS VEGAS","NV","89148","CLARK","7022627854"
"HY-VEE PHARMACY","1975 NATIONAL BLVD","GALESBURG","IL","61401","KNOX","3093441101"
"CVS PHARMACY","4102 AYERS ST","CORPUS CHRISTI","TX","78415","NUECES","3618556261"
"COSTCO PHARMACY","1275 AIRPORT PARK BLVD","UKIAH","CA","95482","MENDOCINO","7073138014"
"CVS PHARMACY","13320 LAUREL BOWIE RD","LAUREL","MD","20708","PRINCE GEORGES","3017763660"
"CVS PHARMACY","1393 BIG BEND","BALLWIN","MO","63021","SAINT LOUIS","6362254633"
"CVS PHARMACY","3717 HAMPTON BLVD","NORFOLK","VA","23508","NORFOLK CITY","7575339134"
"UNIVERSITY HLTH SYSTEM-PAVILION PHY","4647 MEDICAL DR","SAN ANTONIO","TX","78229","BEXAR","2103588680"
"COLLINGSWORTH PHARMACY","1016 16TH ST","WELLINGTON","TX","79095","COLLINGSWORTH","8064471184"
"SAM'S CLUB PHARMACY","3383 BUFORD DR","BUFORD","GA","30519","GWINNETT","7708318182"
"FRESH MARKET PHARMACY","2040 S 2300 E","SALT LAKE CITY","UT","84108","SALT LAKE","8014871018"
"CVS PHARMACY","589 N MARTIN LUTHER KING JR DR","WINSTON SALEM","NC","27101","FORSYTH","3367222792"
"PREMIER PHARMACY","1580 SANTA BARBARA BLVD","THE VILLAGES","FL","32159","SUMTER","3525613234"
"CVS PHARMACY","20641 FAIRMOUNT BLVD","SHAKER HEIGHTS","OH","44118","CUYAHOGA","2163711234"
"TOWN AND COUNTRY PHARMACY","939 UNIVERSITY BLVD N","JACKSONVILLE","FL","32211","DUVAL","9047440104"
"VAUGHN PHARMACY","2141 EMORY RD","POWELL","TN","37849","KNOX","8659471581"
"SMOKY MOUNTAIN PHARMACY","958 DOLLY PARTON PARKWAY","SEVIERVILLE","TN","37862","SEVIER","8657741355"
"CVS PHARMACY","7291 N MIDDLEBELT RD","WESTLAND","MI","48185","WAYNE","7345225200"
"HEALTH-WAY SAVE-ON DRUGS","1903 W DEWITT HENRY DR","BEEBE","AR","72012","WHITE","5018826471"
"BRONZEVILLE PHARMACY","3241 S MICHIGAN AVE STE 1583","CHICAGO","IL","60616","COOK","3129497713"
"SAN MARTIN PHARMACY","2699 E FLORENCE AVE","HUNTINGTON PARK","CA","90255","LOS ANGELES","3235826078"
"CITIZENS EXPRESS PHARMACY","4104 TATE STREET","COVINGTON","GA","30014","NEWTON","7707889191"
"BAYADA PHARMACY","101 EXECUTIVE DR STE 10","MOORESTOWN","NJ","08057","BURLINGTON","8563801828"
"CVS PHARMACY","1950 BUFORD HWY","BUFORD","GA","30518","GWINNETT","7709457286"
"OKIE'S PHARMACY","4221 MAYNARDVILLE HWY","MAYNARDVILLE","TN","37807","UNION","8659929455"
"UNITED SCRIPTS LTC LLC","3411 NE RALPH POWELL RD","LEES SUMMIT","MO","64064","JACKSON","8888188848"
"CVS PHARMACY","1208 MAPLE AVE","ZANESVILLE","OH","43701","MUSKINGUM","7404533442"
"TANG PHARMACY II","5600 N 5TH ST","PHILADELPHIA","PA","19120","PHILADELPHIA","2152243333"
"PRIMARY CHOICE PHARMACY","5575 OLD YORK RD","PHILADELPHIA","PA","19141","PHILADELPHIA","2154379043"
"CASEYS PRESCRIPTION PAD INC","5844 SOUTHWESTERN BLVD STE 300","HAMBURG","NY","14075","ERIE","7169269044"
"RITE AID PHARMACY","229 INDEPENDENCE PLZ","SELDEN","NY","11784","SUFFOLK","6316988500"
"WEIS PHARMACY","693 LOMBARD RD","RED LION","PA","17356","YORK","7172464761"
"UNITED MEMORIAL MED CNTR OP PHCY","127 NORTH ST","BATAVIA","NY","14020","GENESEE","5858156736"
"CVS PHARMACY","131 3RD ST","MARIETTA","OH","45750","WASHINGTON","7403732961"
"ONECARE LTC","1945 HEIDE DR","TROY","MI","48084","OAKLAND","2486632273"
"KINGS PHARMACY","2814 N UNIVERSITY DR","CORAL SPRINGS","FL","33065","BROWARD","9545757085"
"BANNER DRUG DOWNTOWN STATESVILLE","837 N CENTER ST","STATESVILLE","NC","28677","IREDELL","7048720880"
"FL COMM HEALTH CTR FT PIERCE","1505 DELAWARE AVE","FORT PIERCE","FL","34950","SAINT LUCIE","7724626520"
"MEDSCRIPTS EUREKA DISPENSARY","10980 SW 184TH ST","CUTLER BAY","FL","33157","MIAMI-DADE","3058574407"
"WESTERN DRUG PHARMACY","123 5TH AVE STE B","HAVRE","MT","59501","HILL","4062659601"
"MCGLYNN PHARMACY","100 E MAIN ST","STOUGHTON","WI","53589","DANE","6088733244"
"SAM'S CLUB PHARMACY","8340 W MCDOWELL RD","PHOENIX","AZ","85037","MARICOPA","6239360468"
"SHOPSMART PHARMACY","570 N BROAD ST STE D","ELIZABETH","NJ","07208","UNION","9083552400"
"PREMIER PHARMACY CARE LLC","760 MICHAELA DR","N LITTLE ROCK","AR","72117","PULASKI","5019921006"
"FUTRELL PHARMACY","115 E BROADWAY ST","POCAHONTAS","AR","72455","RANDOLPH","8708925615"
"112 PHARMACY & SURGICAL","689 MEDFORD AVE","PATCHOGUE","NY","11772","SUFFOLK","6312892468"
"PALMETTO DRUG MART","907 10TH ST E","PALMETTO","FL","34221","MANATEE","9414044121"
"AMERICAN CARE OF S FL INC NW MIAMI","1521 NW 54TH ST","MIAMI","FL","33142","MIAMI-DADE","3052780200"
"ADVANCED INFUSIONCARE","212 NORTHSIDE DR SUITE B","VALDOSTA","GA","31602","LOWNDES","2292423060"
"PATIO DRUGS","5208 VETERANS BLVD","METAIRIE","LA","70006","JEFFERSON","5048897070"
"FAMILY CARE PHARMACY","98 HIGHWAY 63B STE A","MARKED TREE","AR","72365","POINSETT","8703582484"
"MAYFLOWER PHARMACY","8323 SOUTHWEST FWY STE 115","HOUSTON","TX","77074","HARRIS","7139815900"
"SEQUOIA ONCOLOGY MEDICAL ASSOC","4945 W CYPRESS AVE STE C","VISALIA","CA","93277","TULARE","5596243036"
"FOUCH & SON PHARMACY","692 E STREET","WILLIAMS","CA","95987","COLUSA","5304735350"
"CVS PHARMACY","2501 2ND LOOP RD","FLORENCE","SC","29501","FLORENCE","8436670134"
"READY RX LLC","9516 QUEENS BLVD","REGO PARK","NY","11374","QUEENS","7182755300"
"COLLABORATIVE PHARMACY","4301 LYONS RD","MIAMISBURG","OH","45342","MONTGOMERY","9374584949"
"CVS PHARMACY","22 UPPER RIVERDALE RD SE","RIVERDALE","GA","30274","CLAYTON","7704724566"
"YOO PHARMACY DULUTH","3610 PEACHTREE INDUSTRIAL BLVD","DULUTH","GA","30096","GWINNETT","7702991971"
"GATEWAY PHARMACY","921 E FM 1187 STE A","CROWLEY","TX","76036","TARRANT","8172972000"
"SAM'S CLUB PHARMACY","1740 NORTH FM 157","MANSFIELD","TX","76063","TARRANT","8177796061"
"RIGG FAMILYCARE PHARMACY","37 W MAIN ST","ALBION","IL","62806","EDWARDS","6184452581"
"HARBIN DISCOUNT PHARMACY","57 CHURCH ST","BIRMINGHAM","AL","35213","JEFFERSON","2058712196"
"BROOKLYN CHEMISTS","2927 AVENUE S","BROOKLYN","NY","11229","KINGS","7183823400"
"RITE AID PHARMACY","1285 HOOKSETT RD","HOOKSETT","NH","03106","MERRIMACK","6036684705"
"EAST BAY AIDS CENTER PHARMACY","3100 SUMMIT ST","OAKLAND","CA","94609","ALAMEDA","5108698451"
"BROOKSHIRE PHARMACY","925 CLARKSVILLE ST","PARIS","TX","75460","LAMAR","9037853297"
"SUPREME RX","1611 N FLORIDA AVE","LAKELAND","FL","33805","POLK","8639404733"
"GOLDIN PHARMACY AND MED SUPPLY","909 S ONEIDA ST STE 11","DENVER","CO","80224","DENVER","3033556818"
"ROCHESTER HILLS PHARMACY","6700 N ROCHESTER RD STE 101","ROCHESTER HILLS","MI","48306","OAKLAND","2486011178"
"SCL HLTH PHCY SERVICES-LUTHERN PHCY","8300 W 38TH AVE STE T2-105","WHEAT RIDGE","CO","80033","JEFFERSON","3034036420"
"OPTUM INFUSION SERVICES","12604 HIDDENCREEK WAY STE C","CERRITOS","CA","90703","LOS ANGELES","5622635600"
"CVS PHARMACY","510 TOM HALL ST","FORT MILL","SC","29715","YORK","8035475586"
"BLANCO PHARMACY & WELLNESS","316 PECAN ST","BLANCO","TX","78606","BLANCO","8308334815"
"INTEGRIS PHARMACY","4221 S WESTERN AVE STE 1020","OKLAHOMA CITY","OK","73109","OKLAHOMA","4056367717"
"CATINAT PHARMACY","2619 W EDINGER AVE STE D2","SANTA ANA","CA","92704","ORANGE","7145575140"
"CVS PHARMACY","2100 W STADIUM BLVD","ANN ARBOR","MI","48103","WASHTENAW","7347477554"
"SAM'S CLUB PHARMACY","7001 PARK BLVD N","PINELLAS PARK","FL","33781","PINELLAS","7275476411"
"OCEAN HEALTH INITIATIVES INC","686 ROUTE 70","LAKEHURST","NJ","08733","OCEAN","7323636655"
"HARVARD VANGUARD MED ASSOC","40 HOLLAND ST","SOMERVILLE","MA","02144","MIDDLESEX","6176296200"
"PILL BOX PINES WEST","17503 PINES BLVD","PEMBROKE PINES","FL","33029","BROWARD","9544437455"
"RITE AID PHARMACY","1889 S LINCOLN AVE","VINELAND","NJ","08361","CUMBERLAND","8566960111"
"CVS PHARMACY","1013 WOODBRIDGE CENTER WAY","EDGEWOOD","MD","21040","HARFORD","4106766100"
"COUNTRY CARE PHARMACY","1504 N BUS 49 HWY","NEOSHO","MO","64850","NEWTON","4174519301"
"REFUAH HEALTH CENTER","36 LAUREL AVE","SOUTH FALLSBURG","NY","12779","SULLIVAN","8454829395"
"RUSH COUNTY PHARMACY","708 MAIN ST","LA CROSSE","KS","67548","RUSH","7852229091"
"AMERICAN HOPE PHARMACY","9171 LAPEER RD STE 100","DAVISON","MI","48423","GENESEE","8106526416"
"CVS PHARMACY","2901 5TH AVE","HUNTINGTON","WV","25702","CABELL","3046970366"
"CVS PHARMACY","3870 WASHINGTON RD","MCMURRAY","PA","15317","WASHINGTON","7249417680"
"WILLIAMS BROS HEALTH CARE PHCY","574 S LANDMARK AVE","BLOOMINGTON","IN","47403","MONROE","8123350000"
"US COMPOUNDING INC","1270 DON'S LANE","CONWAY","AR","72032","FAULKNER","5013271222"
"ADLERS OAK PARK PHARMACY","67 MONMOUTH RD","OAKHURST","NJ","07755","MONMOUTH","7322294200"
"AU MEDICAL CTR EMPLOYEE PHCY","1120 15TH ST","AUGUSTA","GA","30912","RICHMOND","7067230900"
"THE PODIATRY CENTER","8218 WISCONSIN AVE STE P14","BETHESDA","MD","20814","MONTGOMERY","3013072367"
"CARDINAL PHARMACY L.L.C.","821 N MAIN ST","HOISINGTON","KS","67544","BARTON","6206532200"
"FAIRMONT PHARMACY","1121 W VINE ST STE 13","LODI","CA","95240","SAN JOAQUIN","2096258633"
"CVS PHARMACY","251 E BROADWAY ST","NEW LEXINGTON","OH","43764","PERRY","7403424137"
"CVS PHARMACY","2750 CARL T JONES DR SE STE 7","HUNTSVILLE","AL","35802","MADISON","2568836295"
"SAFEWAY PHARMACY","4215 CHESHIRE STATION PLZ","DALE CITY","VA","22193","PRINCE WILLIAM","7035908021"
"WALGREENS","13510 Q ST","OMAHA","NE","68137","DOUGLAS","4028951619"
"GIBSON HEALTH MART","125 N MAIN ST","WAKEENEY","KS","67672","TREGO","7857435753"
"MOSS DRUGS","701 W FRANKLIN BLVD","GASTONIA","NC","28052","GASTON","7048679611"
"OHSU RICHMOND CLINIC PHARMACY","3930 SE DIVISION ST","PORTLAND","OR","97202","MULTNOMAH","5034183250"
"THERA SCRIPT ROCHESTER","455 BARCLAY CIR #C-2","ROCHESTER HILLS","MI","48307","OAKLAND","2482891376"
"PUBLIX PHARMACY","5581 THOMASTON ROAD","MACON","GA","31220","BIBB","4785833672"
"B H PHARMACY","602 E NORTH AVE","CAROL STREAM","IL","60188","DUPAGE","6302306588"
"PUBLIX PHARMACY","450 STATE ROAD 13 STE 109","SAINT JOHNS","FL","32259","SAINT JOHNS","9042303207"
"CORDOVA COMM MED CTR PHARMACY","602 CHASE AVE","CORDOVA","AK","99574","VALDEZ CORDOVA","9074248017"
"BROWNS PHARMACY LLC","225 MAIN ST","UNADILLA","NY","13849","OTSEGO","6073692131"
"CVS PHARMACY","4915 S REGAL ST","SPOKANE","WA","99223","SPOKANE","5098223275"
"CVS PHARMACY","10881 OLSON DR","RANCHO CORDOVA","CA","95670","SACRAMENTO","9165032513"
"TOTAL COMMUNITY PHARM","8623 N TELEGRAPH RD STE 2","DEARBORN HEIGHTS","MI","48127","WAYNE","3132774546"
"AVERA ON LOUISE PHARMACY","6100 S LOUISE AVE STE 1100","SIOUX FALLS","SD","57108","LINCOLN","6055041351"
"ADKINS PHARMACY","81 STATE ROUTE 80","GILBERT","WV","25621","MINGO","3046648883"
"UPSTATE PHARMACY OCONEE","298 MEMORIAL DR","SENECA","SC","29672","OCONEE","8648857338"
"CVS PHARMACY","8223 STATE HIGHWAY 151","SAN ANTONIO","TX","78245","BEXAR","2102470017"
"CVS PHARMACY","1154 S CLARK ST","CHICAGO","IL","60605","COOK","3122126301"
"ROSAUERS PHARMACY","1808 W 3RD AVE","SPOKANE","WA","99201","SPOKANE","5096240126"
"SPARROW PHARMACY PLUS","2909 E. GRAND RIVER AVE #101","LANSING","MI","48912","INGHAM","5173648640"
"PUBLIX PHARMACY","788 SE BECKER RD","PORT SAINT LUCIE","FL","34984","SAINT LUCIE","7723365186"
"GRACE HEALTH PHCY MOUNTAIN VIEW","272 LONDON MT VIEW DR STE 2","LONDON","KY","40741","LAUREL","6068772850"
"MEDPOINTE PHARMACY","16546 E 9 MILE RD","EASTPOINTE","MI","48021","MACOMB","5865332835"
"PORT MORRIS PHARMACY","800 E 138TH ST","BRONX","NY","10454","BRONX","7186656337"
"MAXI CARE PHARMACY INC","1645 BEDFORD AVE","BROOKLYN","NY","11225","KINGS","7187740600"
"ADVANCE CARE PHARMACY PC","24822 JOHN R RD","HAZEL PARK","MI","48030","OAKLAND","2485455515"
"CVS PHARMACY","10101 W FLAGLER ST","MIAMI","FL","33174","MIAMI-DADE","3058942939"
"CVS PHARMACY","1600 CALIFORNIA ST UNIT 14","DENVER","CO","80202","DENVER","7209046990"
"PUBLIX PHARMACY","9595 COMMERCIAL WAY","WEEKI WACHEE","FL","34613","HERNANDO","3525965190"
"PUBLIX PHARMACY","365 HUNTLEY PKWY","PELHAM","AL","35124","SHELBY","2056200691"
"CROSS PLAINS PHARMACY","1840 MAIN ST","CROSS PLAINS","WI","53528","DANE","6087983031"
"THE PRESCRIPTION SHOPPE","139 N LAWLER ST","POSTVILLE","IA","52162","ALLAMAKEE","5638633666"
"FARMACIA EL PASEO","31 PROLONGACION CALLE 25","YAUCO","PR","00698","YAUCO","7878561175"
"PRICE CHOPPER PHARMACY","660 E MAIN ST","GARDNER","KS","66030","JOHNSON","9138562425"
"CVS PHARMACY","28138 N TATUM BLVD","CAVE CREEK","AZ","85331","MARICOPA","4805856097"
"SMITH'S PHARMACY","4700 W ANN RD","N LAS VEGAS","NV","89031","CLARK","7023957510"
"CVS PHARMACY","3445 UNION RD","FRANKLIN","OH","45005","WARREN","5137270927"
"CVS PHARMACY","509 DAVIS ST","SCRANTON","PA","18505","LACKAWANNA","5703413790"
"CVS PHARMACY","11521 SR 70 EAST","BRADENTON","FL","34202","MANATEE","9412426876"
"FOOD CITY PHARMACY","4307 N ROAN ST","JOHNSON CITY","TN","37615","WASHINGTON","4239520088"
"COSTCO PHARMACY","13550 PAXTON ST","PACOIMA","CA","91331","LOS ANGELES","8182722709"
"CVS PHARMACY","1457 8TH AVE","BETHLEHEM","PA","18018","LEHIGH","6108610152"
"HY-VEE PHARMACY","1725 JORDAN CREEK PKWY","WEST DES MOINES","IA","50266","DALLAS","5152268921"
"CVS PHARMACY","3011 N MAIN ST","LAS CRUCES","NM","88001","DONA ANA","5756478878"
"CVS PHARMACY","4225 HOBSON RD","FORT WAYNE","IN","46815","ALLEN","2604227510"
"CVS PHARMACY","491 E ALESSANDRO BLVD","RIVERSIDE","CA","92508","RIVERSIDE","9517801835"
"CVS PHARMACY","7216 CIRCLE AVE","FOREST PARK","IL","60130","COOK","7083664400"
"CVS PHARMACY","7400 49TH ST N","PINELLAS PARK","FL","33781","PINELLAS","7275441491"
"CVS PHARMACY","2002 SHILOH CHURCH RD","DAVIDSON","NC","28036","CABARRUS","7044393460"
"AHF PHARMACY","770 GREISON TRL STE H","NEWNAN","GA","30263","COWETA","6784235250"
"CVS PHARMACY","64 S LOCUST ST","HAZLETON","PA","18201","LUZERNE","5704545521"
"CVS PHARMACY","3200 TEASLEY LN","DENTON","TX","76210","DENTON","9403821810"
"COSTCO PHARMACY","4500 W SHAW AVE","FRESNO","CA","93722","FRESNO","5592762595"
"CVS PHARMACY","631 WASHINGTON ST","BOSTON","MA","02111","SUFFOLK","6173380128"
"CVS PHARMACY","427 E MAIN ST","WESTFIELD","MA","01085","HAMPDEN","4135625181"
"CVS PHARMACY","2536 US HIGHWAY 92 E","LAKELAND","FL","33801","POLK","8636653171"
"CVS PHARMACY","13821 LEO RD","LEO-CEDARVILLE","IN","46765","ALLEN","2606278616"
"CVS PHARMACY","731 S WEIR CANYON RD","ANAHEIM HILLS","CA","92808","ORANGE","7142828095"
"STOP & SHOP PHARMACY","2650 SUNRISE HWY","EAST ISLIP","NY","11730","SUFFOLK","6318595120"
"SUPER FARMACIA RINA","MC ARTHUR 1 ESQ DERKES","GUAYAMA","PR","00784","GUAYAMA","7878643069"
"TURTLE LAKE REXALL DRUG","218 MAIN ST","TURTLE LAKE","ND","58575","MCLEAN","7014482542"
"BIG Y PHARMACY","433 CENTER STREET STE 3","LUDLOW","MA","01056","HAMPDEN","4135837910"
"CLARENCE WESLEY HLTH CTR PHCY","101 MEDICAL DR","BYLAS","AZ","85530","GRAHAM","9284757142"
"JAY'S CITY PHARMACY","214 E CALVERT AVE","KARNES CITY","TX","78118","KARNES","8307802224"
"SAULT COMMUNITY PHARMACY","560 OSBORN BLVD STE B","SAULT SAINTE MARIE","MI","49783","CHIPPEWA","9066322122"
"CHARLES RIVER COMMUNITY HEALTH","495 WESTERN AVE","BRIGHTON","MA","02135","SUFFOLK","6172081656"
"HERITAGE PHARMACY","275 N EL CIELO RD D405","PALM SPRINGS","CA","92262","RIVERSIDE","7604167999"
"CVS PHARMACY","47200 W 10 MILE RD","NOVI","MI","48374","OAKLAND","2483807840"
"JONES PHARMACY","101 LEXINGTON PLAZA","LEXINGTON","TN","38351","HENDERSON","7319688653"
"PRAIRIE PARKWAY PHARMACY","5100 PRAIRIE PKWY STE 106","CEDAR FALLS","IA","50613","BLACK HAWK","3192222906"
"BARONS PHARMACY","1120 E 34TH ST","HIBBING","MN","55746","SAINT LOUIS","2182637455"
"HEALTH FIRST PHARMACY","855 WORCESTER RD UNIT 5","FRAMINGHAM","MA","01701","MIDDLESEX","5082711500"
"BAYLOR SCOTT AND WHITE PHCY","4945 WILLIAMS DR","GEORGETOWN","TX","78633","WILLIAMSON","5129423302"
"DOWNTOWN DRUG INC.","825 GRAND AVE","GLENWOOD SPRINGS","CO","81601","GARFIELD","9709457987"
"COKER-HAMPTON DRUG","218 S MAIN ST","STUTTGART","AR","72160","ARKANSAS","8706732691"
"CORLEY'S PHARMACY","1004 SNAPPS FERRY RD","GREENEVILLE","TN","37745","GREENE","4236387552"
"278 PHARMACY","27 E BROADWAY FL 1","NEW YORK","NY","10002","NEW YORK","2122277666"
"SHELTON PHARMACY","37177 US HIGHWAY 231 STE 4","ASHVILLE","AL","35953","SAINT CLAIR","2055943160"
"RIGHT CARE PHARMACY","1043 LIBERTY AVE","BROOKLYN","NY","11208","KINGS","3476279114"
"CVS PHARMACY","1800 E RIO SALADO PKWY STE 120","TEMPE","AZ","85281","MARICOPA","4802142668"
"CVS PHARMACY","1925 MARKETPLACE DR SE","CALEDONIA","MI","49316","KENT","6166981186"
"CVS PHARMACY","6143 U S HIGHWAY 98 STE 80","HATTIESBURG","MS","39402","LAMAR","6012969245"
"BOKJEE PHARMACY","903 S CRENSHAW BLVD 102B","LOS ANGELES","CA","90019","LOS ANGELES","3239320202"
