"applicant_recipient","applicant_address","applicant_city","applicant_state","applicant_zip_code","project_address","project_municipality","project_zip_code","unnamed_column","program_name","statutory_reference","fiscal_year","total_tax_credits_issued","total_tax_credit_allocation","contract_date_allocation","total_number_of_investments","total_qualified_expenditures"
,,,"CT",,"Private",,"6106",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"30000","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6106",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"8468.10","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6106",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"9465.76","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6615",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"12723","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6423",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"9245.53","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"30000","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"9450","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6106",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"4629.99","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6405",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"11559","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"25144.48","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6890",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"29562","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6854",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"24592.50","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"26610","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6106",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"25926.76","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6405",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"10590","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"9333","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6515",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"12064.42","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"21199","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"25536.60","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6074",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"5205.60","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"19153.50","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6019",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"15237.15","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6840",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"23739","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"30000","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"26455","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"30000","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6052",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"7161","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"13476","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"8255.57","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6710",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"7200","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"9365","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6095",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"13668","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6905",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"8228.23","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"30000","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6405",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"24065","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"11722.50","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"7384","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6804",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"2140.28","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"30000","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6880",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"6825","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6405",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"10824.68","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6232",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"30000","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"21544","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6360",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"6568.32","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"18639.23","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6105",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"15046.20","2021-11-01T00:00:00.000",,
,,,"CT",,"Private",,"6511",,"Historic Homes Rehabilitation Tax Credit","C.G.S. Sect. 10-416",,,"17236.00","2021-11-01T00:00:00.000",,
