"town","address","tower_type","owner","height","comments","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"Meriden","** Hanover Street","rooftop",,,,"Sprint @ 153'",,,,,,,,
"Torrington","****-**** East Main St","monopole","SBA","153","assoc. equipment: 6 TTAs, 3 CSS combiners","T-Mobile @ 133'","Verizon @ 123'","Cingular @ 95'","Sprint @ 151'","Nextel @ 141.5'","torrington pd @ 102'",,,
"Danbury","*** Clapboard Ridge","other (flagpole)","T-Mobile","85","T-Mobile on flagpole @ 79' and 69'","Cingular/AT&T @ 59'","T-Mobile @ 80'","clearwire @ 69'",,,,,,
"Waterbury","*** Garden Circle (Long Hill)","self-supporting lattice","Message Center Management","180'","Revise approval of 10/08/97. lower ant. height","mediaflo @ 266'","T-Mobile @ 106/87.5'","Nextel @ ?","Sprint @ ?",,,,,
"Fairfield","**** North Benson Road","rooftop",,,,"T-Mobile @ 70'","Verizon @ 63'","Nextel @ 58'","Sprint @ 60'",,,,,
"New Milford","Rt. ***, Russeling Rd/*** Parklane Road","guyed lattice power mount","CL&P (structure #2069","68","p0485; T-Mobile adds E911 function","T-Mobile @ 83'/76'4""",,,,,,,,
"West Haven","*** Wood Street","rooftop","A. Tambis Holdings",,,"Verizon @ 65'",,,,,,,,
"Old Lyme","** Swan Avenue","small cell","Verizon","26","p1290. on roof of The Pavillion Restaurant","Verizon @ 26'",,,,,,,,
"New Hartford","** Antolini Road","monopole","AT&T","145","(d0184/184A)previously approved for 103', but other carrier already installed at that level","Cingular/AT&T @ 135'","so. End FD @ 115'","Nextel @ 125'","Sprint @ 145'","Verizon @ 125'","MetroPCS @ 115'","Dish @ 114",,
"Killingworth","Rt **","guyed lattice","Storer Cablevision of Clinton","370","(p0124)Replace existing tower","storer @ 370'",,,,,,,,
"Norwalk","*** Westport Avenue","utility pole","Verizon","37","small cell","Verizon @ 37'",,,,,,,,
"Greenwich","** East Putnam Avenue","rooftop",,"202'11""-204""","YMCA - Sprint @ 208', AT&T @ 225'","Cingular @ 67'",,,,,,,,
"Hartford","** Oak Street","rooftop",,,,"Verizon @ 120'","MetroPCS @ 85'","T-Mobile @ 85'",,,,,,
"Bridgeport","*** Fairfield Avenue","rooftop",,,,"T-Mobile @ 60'",,,,,,,,
"Middletown","*** East Main Street","utility pole","Verizon","27","small cell","Verizon @ 27'",,,,,,,,
"New Britain","** Martin Luther King Drive","rooftop","Ribicoff Apts - City of New Britain Housing Authority",,,"Nextel @ 107'",,,,,,,,
"Southington","** Lazy Lane","self-supporting lattice","Town of Southington","100'","Radio communication tower",,,,,,,,,
"Hebron","*** Buck Road","monopine","Crown Castle","120",,"Verizon @ 97'","Nextel @ 107'","Cingular/AT&T @ 87'",,,,,,
"Bristol","*** North Main Street","rooftop",,,,"Sprint @ 96'",,,,,,,,
"Stamford","*** Main Street","rooftop",,,,"Sprint @ 142'",,,,,,,,
"Willimantic","*** Main Street","small cell","Verizon","46","p1128 - install small cell antennas on two sides of commercial/residential building","Verizon @ 45'",,,,,,,,
"Manchester","** Batson Drive","water tank",,,,"T-Mobile @ 90'",,,,,,,,
"Suffield","*** South Grand Street","monopole","Verizon","139'","d0403; 1097; 1097A","Verizon @ 120'","AT&T @ 135'","Dish @ 110",,,,,,
"New Haven","*** Hamilton Street","rooftop",,,,"Sprint @ 63'",,,,,,,,
"Milford","*** North Street (Route ***)","power mount","CL&P","140","(p0635)add 15' pipe mast to CL&P transmission structure #2336; p0981 - AT&T @ 127'","T-Mobile @ 137'","AT&T @ 127'",,,,,,,
"Stamford","**** East Main Street","rooftop",,,"Soundview Plaza","Cingular @ 90'","T-Mobile @ 97'","Verizon @ 90.9'","Nextel @ 90'","MetroPCS @ 102'",,,,
"Berlin","*** Harding Street","smokestack",,,,"Sprint @ 73'",,,,,,,,
"Wilton","*** Mather St","self-supporting lattice","Crown","180","(d0094) add equipment cabinet","Verizon @ 180'","Cingular @ 150'","T-Mobile @ 96'","Sprint @ 142'","Nextel @ 180'","Cingular/AT&T @ 173'","MetroPCS @ 169'",,
"North Branford","** Parsonage Hill Rd","self-supporting lattice","Ochenkowski","195","equipment cabinets on concrete pad","Cingular/AT&T @ 170'","Nextel @ 160'","Verizon @ 145'",,,,,,
"Portland","** High Street","self-supporting lattice","AT&T/SCLP","80",,"Cingular @ 80'",,,,,,,,
"Hamden","*** Gaylord Mountain Road","guyed lattice","Clear Channel","625","up to 4 equipment cabinets in existing building","Cingular/AT&T @ 180'","MediaFLO @ 520.5'","Dish @ 210'",,,,,,
"Norwalk","** Weed Avenue","in-building IP access",,,"Dolce Norwalk Conference Center","T-Mobile",,,,,,,,
"Groton","*** Welles Road","monopole","SBA","180'","replacement tower and heightr extension of the existing 120-ft monopole. T-Mobil/Sprint to relocate to new tower at 117.5 & 108 levels","AT&T @ 176'","T-Mobile @ 117 & 108",,,,,,,
"Wallingford","** Gaylord Farm Road","water tank","Sprint","147'","Town of Wallingford water tank","Sprint @ 147'","Verizon @ 110'",,,,,,,
"Hartford","*** Asylum Street","rooftop",,"60'",,"Verizon @ 60'",,,,,,,,
"East Granby","* Memorial Drive","self-supporting lattice","Town of East Granby","80","town antennas on at various heights","Nextel @ 84'",,,,,,,,
"Avon","*** West Main Street","in-building IP access",,,"Walmart","T-Mobile",,,,,,,,
"Manchester","*** Utopia Road","rooftop","Cox Communications CT, Inc.",,,"Sprint",,,,,,,,
"Hartford","** Eaton Road","rooftop/in-building",,,,"T-Mobile @ 62'",,,,,,,,
"Meriden","***-*** West Main Street","monopole","Hunters Family Partnership/Crown Castle","100","p0614; on Hunter's property","Cingular/AT&T @ 100'","T-Mobile @ 88'","Nextel @ 80'","Verizon @ 65'","DISH @ 55'",,,,
"Colchester","Chestnut Hill Rd","monopole","SCLP","180","d0112","Cingular @ 180'",,,,,,,,
"Ridgefield","** Halpin Lane","power mount","CL&P (pole #3308)","105","p0489 - add 12' extension to 105' tower, on Rails-to-Trails, building architecturally treated shed","Cingular/AT&T @ 117'",,,,,,,,
"Wallingford","** Wayne Road","self-supporting lattice","Stephen B. Trip","80",,"Cingular @ 70/80'","Verizon @ 65/73'","pagenet @ 55'","Cingular/AT&T @ 87'",,,,,
"Tolland","** Industrial Park Road E","rooftop guyed lattice","John Olender Corp","105'","for company communications",,,,,,,,,
"Seymour","** (**) Rimmon Street","monopole","Seymour/Beacon Falls","150'",,"MetroPCS @ 138'",,,,,,,,
"Salisbury","*** Sharon Road","monopole","AT&T","94","d0501","AT&T @ 90'",,,,,,,,
"Thompson","*** Rich Road","monopole","SBA","150","d0344","T-Mobile @ 147'","Verizon @ 137'","AT&T @ 127'",,,,,,
"Redding","Mountain Road","power mount","CL&P","68","(p0441)cabinets, CL&P Structure 3275","T-Mobile @ 74.5'",,,,,,,,
"Norfolk","*** Winchester Rd","self-supporting lattice","DPS","180","d0118.2","dps @ 180'","lcd @ 147'","dps/AT&T @ 120'",,,,,,
"Coventry","**** Boston Turnpike","rooftop",,,,"T-Mobile @ 37'",,,,,,,,
"Waterford","*** Old Colchester","power mount","CL&P","109","(p0607) replace existing 89' power pole with 109' pole to mount antennas","Cingular/AT&T @ 109'",,,,,,,,
"Southbury","*** Kettletown Road","monopole","T-Mobile","195",,"Cingular @ 185'","Sprint @ 165'","Verizon @ 155'","T-Mobile @ 195'",,,,,
"Norwich","***-*** Elizabeth Street","rooftop",,"14'","carrier: sprint",,,,,,,,,
"Danbury","* Casper Street","in-building IP access",,,"office building","T-Mobile",,,,,,,,
"Westbrook","*** Toby Hill Road","monopole","Sprint","150","up to 4 equipment cabinets on pad","Cingular/AT&T @ 130'","Dish @ 120'",,,,,,,
"Fairfield","*** Pequot Avenue","steeple","Southport Congregational Church",,,"T-Mobile @ 100'",,,,,,,,
"Newtown","*** Berkshire Road (Rt. **)","monopole","SBA","150","(d0220/p0651)Transfer of Certificate to SBA, Inc.","Sprint @ 107.5'","T-Mobile @ 97.5'","town @ 150'",,,,,,
"Waterbury","*** Hamilton Avenue","rooftop",,,,"Verizon @ 27'",,,,,,,,
"Orange","*** Ridge Road","power mount","CL&P (# 3848)","111","p1063 - add 15' extension onto 96' transmission line tower","AT&T @ 127'",,,,,,,,
"Trumbull","*** Edison Road","monopole","Blue Sky Towers","143","d0421; P1133 subpetition to increase height by 13 feet for Town antennas","T-Mobile @ 130'","Town @ 143'","Verizon @ 109'","Dish @ 99'",,,,,
"East Hartford","* Oakland Avenue","rooftop","Message Center Mgmt","125'",,"Verizon @ 73'",,,,,,,,
"Stamford","** Research Drive","satellite dishes","Ascent Media",,"site provided by City of Stamford","T-Mobile @ 119'",,,,,,,,
"West Hartford","** Buena Vista Road","small cell","Town of West Hartford","39","p1196","Verizon @ 44.9'",,,,,,,,
"Beacon Falls","*** Pent Road","power mount","CL&P","82","p0403; CL&P structure 326","Sprint @ 97.6'",,,,,,,,
"Stratford","** Hawley Lane","rooftop","Northcoast Comm.","67' 6""",,"MetroPCS @ 77'",,,,,,,,
"Old Saybrook","** Ford Drive (Rte *, between River St. & Ford Drive)","monopole","Amtrak","150","(p0551)replace existing 104' monopole","T-Mobile @ 150'",,,,,,,,
"New Haven","*** College Street","rooftop",,"161'","AT&T antenna","Cingular @ 161'","T-Mobile @ 210'",,,,,,,
"South Windsor","*** Sand Hill Road","monopole","SBA","190",,"Cingular @ 170'","Verizon @ 140'","T-Mobile @ 160'","Nextel @ 150'","MetroPCS @ 180'","DISH @ 150'",,,
"New Haven","*** Pond Lily Avenue","other (flagpole)","Verizon","80","d0301","Cingular @ 30'","Verizon @ 76'/66'","Nextel @ 56'",,,,,,
"Rocky Hill","**** Silas Deane Highway","rooftop","Stepney Place LLC",,,"Cingular @ 67'",,,,,,,,
"Norwich","*** Rogers Rd","monopole","American Tower","150","d0087A","nextwave @ 139'","t-moible @ 162'","Cingular @ 154'",,,,,,
"Avon","*** Huckleberry Hill Road","other (wood)","SBA","100","d0297","Sprint @ 100'","Cingular @ 90'","T-Mobile @ 80'",,,,,,
"New Haven","*** Davenport Avenue","rooftop","Message Center Mgmt",,"Metrocall Inc.","usa mobility wireless",,,,,,,,
"Stratford","**** Huntington Road","power mount","CL&P (#826)","110","P622A","T-Mobile @ 110'",,,,,,,,
"Greenwich","**** North Street/Banksville","monopole","Crown","175","(d0086.2/p0518) Greenwich AC/A Banksville site","Verizon @ 177'","Cingular int @ 120'","T-Mobile @ 145'","Cingular/AT&T @ 125'","Cingular @ 168'",,,,
"Cheshire","**** Highland Avenue","silo","American Tower Corporation","78","p1212 - Council assumed jurisdiction","Cingular @ 49'","T-Mobile @ 57'","Verizon @ 70'",,,,,,
"Darien","*** Boston Post Road","rooftop","Verizon","43","p1299. install 2 antenna masts on rooftop","Verizon @ 43'",,,,,,,,
"Rocky Hill","** (**) Inwood Road","monopole","American Tower","180",,"Cingular @ 167'","Nextel @ 180'",,,,,,,
"Bethany","* Meyers Rd aka ** Old Amity Road","self-supporting lattice","American Tower Management, Inc","338",,"metricom @ 165'","Verizon @ 180'","Nextel @ 250'","Cingular/AT&T 165'","T-Mobile @ 220'","US Coast Guard @ 220'","light squared @ 326'","Sigfox @ 147'","Sprint @ 240'"
"Meriden","*** Research Parkway","rooftop",,,,"Cingular @ 46'","Sprint @ 52'","Cingular/AT&T @ 47'",,,,,,
"North Haven","** Devine Street","monopole","American Towers LLC","130","tower approved under d0384; extended 10' under p1089","MetroPCS @ 117'","AT&T @ 107'","Verizon @ 130'","Dish @ 96'",,,,,
"Groton","** Briar Hill Road","guyed lattice","Citadel Broadcasting","250",,"Sprint @ 190'","T-Mobile @ 177'",,,,,,,
"New Haven","** Meadow St","building mount","54 Meadow St. Assoc.","170","(d0140) Replace Antennas; PE1430 remove 9 existin antennas & install 12 new antennas & 10 RRUs","Verizon @ 155, 130",,,,,,,,
"Ashford","***-*** Ashford Center Road","monopole","SBA","180","d0239; Certificate transferred from Tower Ventures/National Grid/Lightower on 1/8/09","T-Mobile @ 177'","Cingular/AT&T @ 167'",,,,,,,
"South Windsor","*** Governor's Highway","monopole","Crown Castle","169","replace one cabinet with three new ones","T-Mobile @ 172'","Cingular @ 162'","Sprint/Nextel @ 152'","clearwire @ 132'","Sigfox @ 119'","Dish @ 138'",,,
"Woodstock","**** Route ***","self-supporting lattice","George Davis","180",,"Verizon @ 177'",,,,,,,,
"Fairfield","*** High Street","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Stamford","**** Washington Boulevard","rooftop","Washington Hts. Condo Assoc.",,,"AT&T @ 87'",,,,,,,,
"Norwalk","* Tindall Avenue","self-supporting lattice","Eversource","150","p1156","eversource @ various heights omni and dishes","Verizon @ 110'",,,,,,,
"Trumbull","Video Lane (*** Booth Hill Road)","guyed lattice","Crown Castle","486","d0077","T-Mobile @ 244'","Verizon @ 232'/238'","wedw-dtv @ 360'","mediaflo @ 299'","DISH @ 290'",,,,
"Waterbury","**** Thomaston Avenue","smokestack",,,,"Sprint @ 124'","T-Mobile @ 148'",,,,,,,
"Bristol","*** Queen Street","utility pole","Verizon","31","small cell","Verizon @ 31'",,,,,,,,
"Sprague","Baltic-Hanover Road","lattice","Town of Sprague","175",,"Verizon @ 165'","AT&T @ 175'","T-Mobile @ 155'",,,,,,
"Shelton","**** Bridgeport Avenue","rooftop",,,"carrier: AT&T","AT&T @ 167'",,,,,,,,
"New Haven","** McKinley Avenue","in-building IP access",,,"private home","T-Mobile",,,,,,,,
"Groton","** Nantucket Drive","Water Standpipe","Aquarion Water Co.","93'",,"Cingular @ 72'",,,,,,,,
"Hamden","*** Mix. Ave.","wood utility pole","UI","79","(p0437) replace 30' wood utility pole with 79' wood utility pole","ui @ 79'",,,,,,,,
"Windsor","*** Pigeon Hill Rd","self-supporting lattice","Cellco/Crown Castle","160","(d0058.11) install shelter for permanent generator","Verizon @ 160'","town @ 125/90/75/110'","T-Mobile @ 145'","Cingular @ 169'",,,,,
"Danbury","*** White Street","rooftop mounted","T-Mobile Northeast, LLC","60","Ruth Haas Library at Western CSU","T-Mobile @ 65'",,,,,,,,
"Eastford","** Chaplin Road","monopole","Sprint","150","d0232","Sprint @ 147.5'",,,,,,,,
"Stonington","** Pequotsepos Road","water tower","AT&T Wireless","117' & 92'",,,,,,,,,,
"Branford","*** West Main St","monopole","Crown Castle","130",,"Verizon @ 110'","Cingular/AT&T @ 100'","T-Mobile @ 130'","Sprint/Nextel @ 120",,,,,
"Stratford","Chapel Street (CL&P # ***)","power mount","CL&P","78","CL&P structure 280   pipe masts","Sprint @ 87'",,,,,,,,
"New London","** Debiasi Drive","rooftop","Verizon","52","p1311; 2 faux chimney structures on building roof","Verizon @ 48'",,,,,,,,
"Sterling","*** Ekonk Hill Road","guyed lattice","SBA","200",,"Sprint @ 170'",,,,,,,,
"New Haven","*** Whitney Avenue","rooftop",,,"Nextel Communications, Inc. antenna","Nextel @ 66'",,,,,,,,
"Willington","*** Trask Road/*** River Road","monopole","Willington Fire Department","110","add 2 equip. cabinets","Cingular @ 112'","Cingular/AT&T @ 92.5'","Verizon @ 83'",,,,,,
"Farmington","*** Middle Road","small cell","Passionist Fathers of Connecticut, Inc.","50","p1180","Verizon @ 57'",,,,,,,,
"New London","** Lower Boulevard","o-bracketed tower","City of New London","60",,"T-Mobile @ 57'",,,,,,,,
"Glastonbury","*** Hubbard Street","utility pole","Verizon","26","small cell","Verizon @ 26'",,,,,,,,
"Hartford","*** Constitution Plaza","rooftop",,,,"Sprint @ 82'","Nextel @ 145'",,,,,,,
"Old Saybrook","*** Ingham Hill Rd","monopole","Crown Castle","150","d0051.2","Cingular @ 150'","T-Mobile @ 162'","Verizon @ 122'",,,,,,
"Windsor","*** Matianuck Ave","monopole","Crown","100","d0137.2","Verizon @ 100'","clearwire @ 85'","AT&T @ 75'",,,,,,
"Killingly","** Putnam Turnpike","monopole","TowerCo","150","V'Stream on tower @ 150', Sprint on @ 140', town on @ 118' and 86'","Cingular/AT&T @ 130'","T-Mobile @ 150'","Sprint @ 140'","town @ 118'/86'",,,,,
"Griswold","*** Slater Avenue","small cell","Town of Griswold","28","p1187","Verizon @ 38.1'",,,,,,,,
"Haddam","*** Plains Road (Turkey Hill Rd)","self-supporting lattice","Crown Castle","180","d0058.3/p0434","Verizon @ 180'/174'/150'/125'/60'","Cingular @ 165'","Sprint @ 150'","T-Mobile @ 186'","Dish @ 140'",,,,
"Hartford","** Columbus Boulevard",,,,,,,,,,,,,
"Bridgeport","*** Garfield Avenue","utility pole",,"24","PURA","AT&T @ 24'",,,,,,,,
"Danbury","** Hospital Avenue","rooftop","Danbury Hospital","185","(d0079) d00anbury Hospital","Cingular @ 125'","Sprint @ 131'","T-Mobile @ 82/127/154'","Verizon @ 209'",,,,,
"Stamford","** Commerce Road","rooftop",,,,,,,,,,,,
"New Haven","Edgewood Avenue","utility pole","Verizon","24","small cell; adjacent to 1031 Forest Road","Verizon @ 24'",,,,,,,,
"New Haven","* Middletown Avenue","rooftop guyed lattice","Gillette, Joan",,,,,,,,,,,
"Westport","* Hales Road","utility pole",,"36","PURA","AT&T @ 35.6'",,,,,,,,
"Portland","Gospel Lane","utility pole","Verizon","35","small cell; adjacent to 860 Portland-Cobalt Road","Verizon @ 35'",,,,,,,,
"Norwalk","** Washington Street","rooftop",,"5'","t-mobile communications","AT&T @ 100'","Sprint @ 98'","T-Mobile @ 175'","MetroPCS  @ 168'","sirius sat radio",,,,
"Stamford","*** Glenbrook Road","smoke stack","Glenbrook Industrial Assoc.","70",,"Verizon @ 65'",,,,,,,,
"Lebanon","*** Gates Road","guyed lattice","GHT LLC","120","two towers at this location","Verizon @ 120'",,,,,,,,
"Danbury","** North Street","rooftop",,,,"MetroPCS @ 54'",,,,,,,,
"New Britain","*** Myrtle Street","rooftop",,,,"Sprint @ 109'","T-Mobile @ 90'",,,,,,,
"Vernon","** Windermere Avenue","small cell","Farm Car Care Center Inc.","16","p1182","Verizon @ 30.2'",,,,,,,,
"West Hartford","*** Park Avenue","rooftop",,,,"Verizon @ 43'",,,,,,,,
"Bristol","*** Birch Street","in-building IP access",,,"ESPN","T-Mobile",,,,,,,,
"Norwalk","*** Main Avenue (** Glover Avenue)","rooftop",,,,"Verizon","T-Mobile @ 100'",,,,,,,
"Meriden","** Birdsey Avenue","power mount","CL&P","160","(p0594)Install 12' extension mast on 160' existing transmission pole","Cingular/AT&T @ 164/170'",,,,,,,,
"Monroe","*** Guinea Rd (*** Guinea Road)","self-supporting lattice","Crown Cable","240","d0114","Cingular @ 240'","Cingular int. @ 200'","pagenet @ 180'","Nextel @ 220'","Verizon @ 212'","cl&p @ 185'","DISH @ 165",,
"Lisbon","** Mell Road","monopole","SBA","195","(d0124) replace one equipment cabinet with three new ones","Nextel @ 183'","Sprint @ 173'","MetroPCS @ 145'","T-Mobile @ 193'","Verizon @ 161'",,,,
"Fairfield","*** Jefferson Street","rooftop","Message Center Mgmt","210'","Jewish Home","Cingular @ 52'","Sprint @ 65'","T-Mobile @ 49/68'","Verizon @ 65'","Nextel @ 65'","MetroPCS @ 63'",,,
"East Haven","**** North High Street","rooftop guyed lattice tower","Verizon","45","p1096 - 45' tower on top of apartment building/to 77' agl(not constructed); Verizon P1379","verizon @ 75'",,,,,,,,
"Bridgeport","*** Barnum Avenue","rooftop",,,,"MetroPCS @ 83'","Verizon @ 95'","Sprint @ 80'",,,,,,
"Plainfield","** Spaulding Hill Rd","monopole","American Tower","150","d0136","Verizon @ 110'","Cingular @ 150'",,,,,,,
"Thompson","*** Riverside Drive","monopole","MCFbg Communications","140","d0358","Verizon @ 137'",,,,,,,,
"Hartford","*** Woodland Street","rooftop",,,,"T-Mobile @ 58'",,,,,,,,
"Hebron","** Wall Street","flag-monopole","SBA","150","cabinets on concrete pad","Verizon @ 135'","Cingular/AT&T @ 115'","Sprint @ 145'",,,,,,
"Fairfield","*** Kings Highway","utility pole","Verizon","36","small cell","Verizon @ 36.9'",,,,,,,,
"Stamford","*** Main Street","rooftop",,,,"Verizon @ 48'",,,,,,,,
"Granby","** North Granby Road","monopole","SBA","150",,"Nextel @ 150'","T-Mobile @ 120'","Cingular @ 140'","Cingular/AT&T @ 100'",,,,,
"Hartford","* Pavilion Street","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Stratford","**** Main Street","cupola","Town of Stratford","88' 4""","carrier: AT&T; Sprint located on roof at 80'","Cingular @ 89'","Sprint @ 80'",,,,,,,
"Newtown","* Park Lane","power mount","CL&P","82'","p0773","T-Mobile @ 97'",,,,,,,,
"Westbrook","*** Spencer Plains Rd","self-supporting lattice","DPS","180","(p0061) equipment cabinets on 16x20 concrete pad","dot @ 175'","dps @ 180'","Cingular @ 150'","valley shore comm @ 120'","T-Mobile @ 135'","Sprint @ 140'",,,
"Middletown","*** Cross Street","ssl","City of Middletown","180","Verizon colocated via P1133/EFR","Verizon @ 130'",,,,,,,,
"Old Saybrook","*** Ferry Road","lattice-power mount","CL&P",,,"Cingular @ 195'",,,,,,,,
"Bristol","*** Center Street","steeple",,,"St. Joseph's Church","Cingular @ 86'",,,,,,,,
"Avon","*** Simsbury Road","rooftop","Verizon","48","P1334; small cell in faux chimney on roof of the Residence at Brookside building","Verizon @ 48'",,,,,,,,
"Montville","** Cook Street","guyed lattice","Wireless Solutions","180","p0575","Cingular @ 177'","Verizon @ 168'","T-Mobile @ 150'","Nextel @ 140'",,,,,
"New Haven","*** Water Street","utility pole",,"27","PURA","AT&T @ 27'",,,,,,,,
"Waterbury","** Framingham Drive","rooftop",,,"building permits only","Nextel @ 55'",,,,,,,,
"New London","*** Hempstead Street","rooftop","Nextel","102.3'",,"Nextel @ 96'",,,,,,,,
"Waterbury","*** Wolcott Steet","rooftop",,,,"Verizon @ 31'",,,,,,,,
"South Windsor","**** Sullivan Avenue","rooftop","Town of South Windsor","90'","Town Hall; police, fire, public works antennas",,,,,,,,,
"East Haddam","*** Trowbridge Road/** Nichols Road","monopole","Message Center Mgmt/Town of East Haddam","175","(d0255)New Cingular antennas on in place of AT&T antennas","Cingular @ 170'",,,,,,,,
"Hartford","** Bodwell Street","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Stratford","** Stonybrook Road","monopole","American Towers LLC","120","d0385; p1100 extends 20' from 100' to 120'; motion to reopen & remove flush mount condition - 7/18/19","T-Mobile @ 87' and 97'","Verizon @ 77'","AT&T @ 110' and 120'",,,,,,
"Norwich","*** North Wawecus Hill Road","monopole","American Tower","140","d0270","Cingular @ 127'","T-Mobile @ 137'","Verizon @ 116'","DISH @ 104'",,,,,
"Berlin","**** Wilbur Cross Hwy (Kensington)","rooftop",,,,"Cingular @ 28'","Verizon @ 29.9'",,,,,,,
"Ridgefield","** East Ridge Road","monopole","Town of Ridgefield - Police Station","130","d0113","Verizon @ 130'","Sprint @ 118'","T-Mobile @ 100'",,,,,,
"Manchester","*** Chapel Road","rooftop","Hartford Distributors, Inc.",,,"Sprint",,,,,,,,
"Bozrah","* Polly Lane","guyed lattice","Cordless Data Transfer","185",,"Sprint @ 150'","Cingular @ 192'","Verizon @ 138'",,,,,,
"Glastonbury","**** Main Street","utility pole","Verizon","21","small cell","Verizon @ 21'",,,,,,,,
"New Milford","*** Chestnut Land Road","monopole","Crown Castle","160","d0233","Sprint @ 160'","alltel @ 150'","Cingular @ 130'","Verizon @ 140'","DISH @ 122'",,,,
"Portland","*** Main Street","utility pole","Verizon","36","small cell","Verizon @ 36.9'",,,,,,,,
"Mansfield","*** Stafford Road","utility pole","Verizon","28","small cell","Verizon @ 28'",,,,,,,,
"Colchester","*** Old Hartford Road","guyed lattice","Cordless Data Transfer","180",,"Cingular @ 170'","T-Mobile @ 150'","Sprint @ 175'",,,,,,
"Hamden","*** Kirk Road","monopole","Verizon","120","d471 D& M approved on Jan 17, 2019","Verizon @ 120'",,,,,,,,
"Southington","*** Mill Street","self-supporting lattice","Town of Southington","120'","carriers Springwich Cellular, t-mobile, AT&T, metropcs","Cingular @ 98'","T-Mobile @ 110'","Verizon @ 88'",,,,,,
"North Canaan","Rte *, ** Ashley Falls Road","self-supporting lattice","DPS","120","(d0118.3) Troop B","dps @ 116'",,,,,,,,
"Hartford","Hartford Civic Center","building mount","Hartford Civic Center",,"add fiber optic cable & 2 transmit, 2 receive antennas (Huber & Sunher 1308.17)","Cingular @ ?","Verizon @ 20'",,,,,,,
"East Granby","** South Main Street","monopole","Crown Castle","97",,"Cingular/AT&T @ 77'","T-Mobile @ 87'","Verizon @ 67'","MetroPCS @ 82'","Dish @ 48'",,,,
"Milford","*** Melba Street","s-flagpole","American Towers LLC","136","d0410 - Verizon @ 130', 120', and 110';","Verizon @ var.","MetroPCS @ 100'",,,,,,,
"Danbury","*** Mill Plain Road","rooftop",,,,"Nextel @ 68'","MetroPCS @ 69'",,,,,,,
"Tolland","** Pilgrim Dr.","self-supporting lattice","Stanley Hilinski","140'","cellular/PCS carriers/CB and ham operators","T-Mobile",,,,,,,,
"Bridgeport","**** Main Street","rooftop",,,,"T-Mobile @ 122'","Verizon @ 54'",,,,,,,
"Pomfret","** Tyrone Rd","monopole","AT&T","154","d0142","pomfret school @ 98'","Cingular @ 154'","Sprint @ 167.5'",,,,,,
"Brooklyn","*** Tatnic Hill Rd","guyed lattice","AT&T/SCLP","80",,"Cingular @ 114'; 80'",,,,,,,,
"West Haven","*** Sawmill Road","billboard",,,,"Cingular @ 76'","Verizon @ 91'",,,,,,,
"Wallingford","*** Church Street","power mount","CL&P","80","(p0602) add extension to existing power line structure # 2492, equipment cabinet on concrete pad","Cingular/AT&T @ 86/92'",,,,,,,,
"Salisbury","*** Lime Rock Road (Site *)","small cell","Verizon","21","p1331","Verizon @ 25'",,,,,,,,
"Colchester","Windham Ave/Nunn Rd (*** Munn Road)","self-supporting lattice","DPS","320",,"dps/dep @ 80-320'","Verizon @ 180'/220'",,,,,,,
"Stamford","* Strawberry Hill Court","rooftop","Message Center Mngmt","130'",,"Cingular @ 126'","Sprint @ 120'","MetroPCS @ 121'",,,,,,
"East Hartford","*** (*) Prestige Park Drive","monopole","American Tower","150","d040/d040.2","Cingular @ 150'","Sprint @ 138'","Cingular/AT&T @ 146'","Verizon @ 98'",,,,,
"Wolcott","**** Wolcott Road","self-supporting lattice","AAT Communications","350","Install radio equipment within existing shelter","Nextel @ 200'","Cingular @ 185'","clearwire @ 212'","MetroPCS @ 222'","Dish @ 341'",,,,
"Stamford","*** Ludlow Street","rooftop",,,,"Sprint @ 114'",,,,,,,,
"Old Lyme","*** Mile Creek Road","monopole","Cellco","170","d0202; tower raised 10' per p0877 submitted by T-Mobile","Verizon @ 157.5'","Cingular @ 137.5'","T-Mobile @ 170'",,,,,,
"Bethel","*** Greenwood Avenue","steeple",,,"church of Bethel","T-Mobile @ 78'",,,,,,,,
"Cromwell","** Hicksville Road","church steeple","Cingular Wireless","36'",,,,,,,,,,
"Newington","*** Willard Ave (aka *** Alumni Road)","rooftop","Sprint","55'",,,,,,,,,,
"Trumbull","*** Quarry Road","power mount","CL&P (Structure #844)","150","(p0513)AT&T also on tower","Cingular/AT&T @ 153-160'","Sprint @ 100'",,,,,,,
"Bloomfield","** Brae Burnie Lane","flagpole","T-Mobile","120'","carrier: T-Mobile","T-Mobile @ 70'",,,,,,,,
"Stonington","*** Al Harvey Road","monopole","SBA, Inc","180'",,"Verizon @ 167', 177'",,,,,,,,
"Stamford","**** East Main Street","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Middletown","** Fairchild Road","monopole","SBA","130","d0316 - 3 flush mounted antennas; d0316A - AT&T to raise tower 10'","Nextel @ 120'","Verizon @ 110'","MetroPCS @ 100'","AT&T @ 130'","DISH @ 120'",,,,
